80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:39:d1,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:03,44:48:c1:a5:82:31,44:48:c1:a5:82:32,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,00:4e:35:df:06:50,00:4e:35:df:06:51,80:8d:b7:55:3a:41,80:8d:b7:55:25:e2,80:8d:b7:55:3a:42,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:19:55:51,38:17:c3:19:55:52,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,38:17:c3:1e:ff:01,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:09:91,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:25:f0,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,44:48:c1:a5:82:30,38:17:c3:19:d7:70,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,80:8d:b7:55:3a:50,b4:5d:50:e1:92:31,00:4e:35:df:06:52,80:8d:b7:55:3a:40,38:17:c3:19:55:50,38:17:c3:19:45:b0,b4:5d:50:e1:96:50,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,38:17:c3:1f:09:90,38:17:c3:1f:0e:01,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,44:48:c1:a5:82:21,38:17:c3:19:45:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:a2,00:4e:35:df:06:41,00:4e:35:df:06:40,b4:5d:50:e1:92:23,38:17:c3:1f:22:22,38:17:c3:19:55:42,38:17:c3:1f:09:83,20:a6:cd:50:24:b0,44:48:c1:a5:82:20,38:17:c3:19:45:a0,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:1f:22:30,80:8d:b7:55:4d:10,38:17:c3:1e:ff:11,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:1e:ff:12,38:17:c3:1f:09:92,38:17:c3:1f:22:21,38:17:c3:19:d7:60,38:17:c3:1e:ff:10,9e:2b:77:8e:45:c7,00:4e:35:de:e1:01,b4:5d:50:e1:96:43,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,00:4e:35:de:e1:02,20:a6:cd:50:24:a1,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:25:e0,38:17:c3:19:71:90,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:1f:08:41,38:17:c3:1f:01:80,38:17:c3:19:55:41,38:17:c3:1f:22:20,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:4e:7f:c2:ff:e8,20:a6:cd:42:0b:f1,00:4e:35:de:e1:00,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e2,38:17:c3:19:71:81,a8:bd:27:4c:bd:32,38:17:c3:19:55:40,38:17:c3:1f:08:50,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f2,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:00,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:df:0e:12,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:08:42,38:17:c3:1f:08:40,44:48:c1:91:95:b1,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:df:0e:01,38:17:c3:19:36:30,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a2,32:f7:72:50:57:3b,64:e5:99:c3:13:3c,56:13:79:14:54:6d,0a:05:a7:e3:d9:82,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:24:4f:02,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:01,38:17:c3:24:4f:10,38:17:c3:24:4f:00,00:4e:35:df:27:12,38:17:c3:1b:08:b0,00:4e:35:df:27:11,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:10,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:df:27:01,38:17:c3:19:36:20,x,y,label
-56,-63,-66,-66,-71,-71,-71,-77,-76,-57,-77,-57,-84,-83,-67,-74,-72,-51,-51,-82,-81,-72,-73,-82,-84,-64,-63,-61,-60,-81,-75,-75,-75,-74,-74,-72,-78,-71,-82,-77,-52,-100,-100,-100,-71,-71,-100,-85,-86,-100,-77,-77,-100,-100,-100,-65,-71,-76,-74,-84,-51,-82,-73,-60,-64,-75,-74,-71,-71,-100,-86,-100,-77,-100,-74,-85,-84,-53,-100,-85,-100,-72,-72,-76,-100,-79,-100,-79,-53,-100,-84,-72,-100,-100,-86,-81,-81,-86,-100,-100,-80,-87,-82,-82,-100,-100,-100,-81,-85,-86,-86,-78,-87,-85,-85,-100,-86,-100,-78,-79,-79,-79,-84,-80,-100,-100,-100,-100,-100,-82,-79,-100,-100,-86,-79,-82,-100,-100,-100,-81,-82,-87,-89,-89,-100,-100,-85,-100,-100,-100,-89,-100,-88,-79,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11.0
-56,-65,-68,-68,-68,-68,-68,-75,-75,-59,-75,-59,-84,-83,-62,-74,-73,-51,-51,-84,-81,-72,-77,-82,-84,-63,-62,-61,-56,-77,-74,-76,-76,-72,-72,-70,-78,-70,-86,-77,-50,-100,-100,-100,-75,-74,-100,-85,-86,-100,-70,-77,-100,-100,-100,-69,-68,-75,-73,-84,-51,-82,-73,-60,-63,-76,-72,-70,-75,-100,-86,-100,-75,-100,-71,-86,-85,-50,-100,-83,-100,-73,-73,-81,-100,-79,-100,-83,-50,-100,-83,-74,-100,-100,-86,-81,-81,-86,-100,-100,-80,-87,-82,-85,-100,-100,-100,-84,-83,-86,-86,-78,-87,-85,-85,-100,-86,-100,-82,-83,-82,-79,-84,-80,-100,-100,-100,-100,-100,-84,-79,-100,-100,-86,-79,-85,-100,-100,-100,-83,-84,-82,-83,-84,-100,-100,-85,-100,-100,-100,-89,-100,-88,-79,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11.0
-55,-66,-67,-67,-71,-71,-71,-74,-74,-56,-74,-56,-100,-100,-62,-74,-73,-50,-50,-82,-82,-71,-72,-82,-100,-63,-63,-57,-57,-75,-76,-76,-76,-74,-74,-70,-100,-70,-82,-100,-51,-100,-100,-100,-73,-73,-100,-100,-100,-100,-76,-76,-100,-100,-100,-67,-71,-75,-73,-100,-50,-82,-71,-57,-63,-76,-74,-70,-73,-100,-100,-100,-76,-100,-71,-83,-84,-51,-100,-83,-100,-73,-73,-81,-100,-79,-100,-83,-52,-100,-83,-73,-100,-100,-100,-81,-81,-86,-100,-100,-80,-100,-83,-79,-100,-100,-100,-79,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-82,-79,-100,-80,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-86,-100,-100,-100,-83,-85,-84,-86,-86,-87,-100,-85,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-57,-64,-68,-68,-71,-71,-71,-74,-74,-57,-74,-58,-100,-84,-62,-74,-73,-50,-50,-82,-83,-71,-72,-84,-86,-65,-65,-54,-54,-71,-75,-74,-75,-72,-72,-70,-75,-70,-80,-100,-51,-100,-100,-100,-75,-74,-100,-87,-100,-85,-77,-78,-100,-100,-100,-68,-71,-74,-73,-83,-51,-83,-71,-54,-66,-75,-72,-70,-75,-100,-87,-100,-77,-100,-71,-83,-84,-51,-100,-83,-100,-72,-73,-81,-100,-78,-100,-86,-52,-100,-83,-72,-100,-100,-100,-81,-82,-86,-100,-82,-82,-100,-83,-79,-100,-100,-100,-79,-83,-87,-100,-75,-100,-85,-86,-100,-100,-100,-82,-83,-82,-79,-86,-78,-100,-100,-100,-100,-100,-79,-100,-100,-100,-85,-78,-86,-100,-100,-100,-83,-85,-86,-86,-87,-86,-100,-84,-86,-84,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-57,-62,-67,-67,-70,-70,-70,-73,-73,-60,-73,-61,-85,-85,-63,-74,-75,-52,-52,-83,-83,-71,-72,-84,-85,-63,-63,-53,-53,-71,-79,-78,-79,-75,-75,-70,-75,-70,-82,-100,-51,-100,-100,-85,-73,-73,-100,-84,-100,-84,-77,-77,-100,-100,-100,-67,-70,-73,-73,-85,-53,-83,-71,-53,-63,-78,-75,-70,-72,-100,-86,-84,-77,-100,-71,-83,-84,-51,-100,-83,-100,-75,-73,-81,-100,-80,-100,-86,-51,-100,-83,-75,-100,-100,-100,-80,-80,-86,-100,-83,-80,-100,-82,-79,-100,-100,-100,-81,-83,-87,-100,-75,-100,-85,-85,-100,-100,-100,-82,-83,-82,-80,-86,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-85,-80,-86,-100,-100,-100,-83,-85,-87,-87,-87,-86,-100,-85,-85,-85,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-57,-62,-67,-67,-72,-72,-72,-74,-74,-57,-74,-57,-85,-85,-63,-74,-70,-51,-51,-81,-82,-71,-72,-84,-85,-63,-64,-57,-57,-73,-75,-76,-76,-75,-74,-68,-77,-68,-80,-77,-50,-100,-100,-85,-74,-74,-100,-86,-100,-84,-77,-77,-100,-100,-100,-68,-72,-74,-73,-84,-51,-82,-71,-57,-64,-76,-75,-70,-74,-100,-86,-84,-78,-100,-74,-84,-84,-50,-100,-83,-100,-71,-72,-79,-100,-80,-100,-86,-50,-100,-83,-72,-100,-100,-100,-80,-80,-86,-100,-83,-80,-100,-78,-79,-100,-100,-100,-81,-83,-87,-100,-75,-100,-85,-85,-100,-86,-100,-84,-83,-82,-80,-86,-80,-100,-100,-100,-100,-100,-81,-79,-100,-100,-85,-76,-85,-100,-100,-100,-83,-84,-83,-83,-83,-86,-100,-85,-85,-85,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-56,-63,-72,-72,-73,-73,-73,-74,-74,-60,-74,-60,-85,-85,-63,-73,-67,-59,-59,-83,-83,-69,-69,-84,-85,-64,-64,-55,-55,-78,-69,-69,-69,-73,-73,-68,-77,-66,-80,-77,-50,-100,-100,-85,-74,-74,-100,-86,-100,-84,-79,-79,-100,-100,-100,-72,-74,-74,-73,-84,-59,-84,-70,-54,-64,-69,-73,-70,-74,-100,-86,-84,-78,-100,-72,-84,-84,-50,-100,-83,-100,-72,-72,-80,-100,-78,-100,-84,-50,-100,-83,-72,-100,-100,-85,-81,-81,-86,-100,-83,-81,-86,-79,-76,-100,-100,-100,-76,-83,-87,-100,-75,-100,-85,-85,-100,-86,-100,-84,-83,-84,-79,-86,-80,-100,-100,-100,-100,-100,-76,-79,-100,-100,-85,-77,-83,-100,-100,-100,-84,-85,-82,-82,-82,-84,-100,-85,-85,-85,-86,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-57,-62,-67,-67,-70,-70,-70,-73,-73,-60,-73,-61,-85,-85,-63,-74,-75,-52,-52,-83,-83,-71,-72,-84,-85,-63,-63,-53,-53,-71,-79,-78,-79,-75,-75,-70,-75,-70,-82,-100,-51,-100,-100,-85,-73,-73,-100,-84,-100,-84,-77,-77,-100,-100,-100,-67,-70,-73,-73,-85,-53,-83,-71,-53,-63,-78,-75,-70,-72,-100,-86,-84,-77,-100,-71,-83,-84,-51,-100,-83,-100,-75,-73,-81,-100,-80,-100,-86,-51,-100,-83,-75,-100,-100,-100,-80,-80,-86,-100,-83,-80,-100,-82,-79,-100,-100,-100,-81,-83,-87,-100,-75,-100,-85,-85,-100,-100,-100,-82,-83,-82,-80,-86,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-85,-80,-86,-100,-100,-100,-83,-85,-87,-87,-87,-86,-100,-85,-85,-85,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12.0
-57,-68,-68,-68,-68,-68,-68,-72,-72,-58,-72,-59,-100,-100,-65,-73,-72,-55,-55,-83,-85,-69,-72,-100,-100,-59,-59,-57,-58,-75,-68,-68,-68,-71,-71,-67,-77,-67,-84,-77,-50,-100,-100,-100,-72,-74,-100,-87,-100,-100,-78,-77,-100,-100,-100,-68,-68,-72,-73,-83,-55,-86,-72,-57,-59,-68,-71,-68,-72,-100,-100,-100,-77,-100,-72,-84,-84,-56,-100,-100,-100,-72,-72,-80,-100,-77,-100,-84,-57,-100,-100,-75,-100,-100,-88,-81,-81,-87,-100,-100,-81,-87,-84,-79,-100,-100,-100,-78,-100,-86,-86,-100,-86,-100,-100,-100,-81,-100,-84,-79,-79,-79,-100,-77,-100,-100,-100,-100,-100,-76,-82,-100,-100,-100,-77,-83,-100,-100,-100,-84,-85,-82,-81,-81,-84,-100,-85,-84,-84,-86,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-57,-64,-68,-68,-67,-67,-66,-72,-72,-58,-72,-58,-84,-83,-64,-73,-72,-55,-56,-82,-82,-69,-72,-100,-85,-59,-59,-56,-56,-77,-70,-70,-70,-71,-70,-67,-76,-67,-84,-76,-57,-100,-100,-100,-71,-71,-100,-87,-100,-100,-80,-79,-100,-100,-100,-68,-67,-72,-73,-83,-56,-83,-72,-56,-59,-70,-71,-67,-72,-100,-88,-100,-79,-100,-72,-84,-84,-58,-100,-100,-100,-72,-76,-80,-85,-76,-100,-84,-58,-100,-100,-76,-100,-100,-87,-81,-81,-87,-100,-85,-81,-87,-84,-78,-100,-100,-100,-78,-100,-86,-85,-76,-85,-82,-82,-100,-81,-100,-84,-79,-79,-79,-100,-77,-84,-100,-100,-100,-100,-76,-82,-100,-100,-83,-77,-83,-100,-100,-100,-84,-85,-83,-83,-82,-84,-100,-85,-84,-84,-89,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-58,-64,-68,-68,-68,-68,-68,-73,-73,-58,-73,-58,-84,-83,-63,-73,-71,-56,-56,-85,-85,-69,-72,-100,-85,-60,-60,-56,-56,-72,-69,-69,-69,-67,-67,-67,-75,-67,-81,-75,-55,-100,-100,-100,-71,-71,-100,-85,-100,-100,-77,-77,-100,-100,-100,-69,-68,-73,-73,-83,-56,-83,-72,-56,-60,-69,-68,-67,-72,-100,-88,-100,-77,-100,-72,-84,-84,-55,-100,-100,-100,-72,-76,-77,-86,-78,-100,-84,-55,-100,-100,-76,-100,-100,-85,-81,-81,-86,-100,-86,-81,-87,-82,-78,-100,-100,-100,-78,-100,-84,-84,-75,-84,-82,-82,-100,-82,-100,-78,-79,-79,-79,-100,-78,-84,-100,-100,-100,-100,-76,-82,-100,-83,-84,-77,-83,-100,-100,-100,-84,-85,-81,-81,-81,-81,-100,-84,-86,-84,-87,-100,-100,-100,-79,-79,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-57,-64,-68,-68,-68,-69,-69,-73,-73,-59,-73,-59,-83,-83,-63,-73,-72,-56,-56,-84,-84,-73,-73,-100,-85,-59,-59,-56,-56,-72,-69,-69,-70,-69,-69,-66,-75,-65,-86,-75,-55,-100,-100,-100,-71,-71,-100,-83,-87,-100,-75,-75,-100,-100,-100,-68,-69,-74,-73,-82,-57,-84,-72,-56,-59,-69,-69,-66,-71,-100,-88,-100,-75,-100,-72,-84,-84,-56,-100,-100,-100,-72,-76,-77,-86,-78,-100,-84,-56,-100,-100,-76,-100,-100,-86,-81,-81,-86,-100,-86,-81,-87,-81,-78,-100,-100,-100,-78,-100,-84,-84,-75,-84,-83,-83,-100,-82,-100,-78,-79,-79,-79,-100,-78,-84,-100,-100,-100,-100,-78,-82,-100,-83,-84,-77,-83,-100,-100,-100,-84,-85,-82,-82,-81,-82,-100,-84,-86,-84,-85,-100,-100,-100,-83,-79,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-58,-64,-68,-68,-69,-69,-70,-72,-72,-59,-72,-59,-83,-83,-63,-74,-72,-57,-57,-87,-86,-73,-73,-100,-85,-60,-60,-56,-56,-71,-70,-70,-70,-68,-68,-66,-75,-65,-86,-75,-55,-100,-100,-85,-72,-73,-100,-83,-87,-100,-75,-76,-100,-100,-100,-68,-69,-72,-73,-84,-57,-86,-72,-56,-60,-70,-67,-66,-73,-100,-88,-100,-76,-100,-73,-83,-84,-56,-100,-100,-100,-73,-76,-79,-86,-78,-100,-83,-56,-100,-100,-73,-100,-100,-86,-81,-81,-86,-100,-86,-81,-86,-81,-78,-100,-100,-100,-78,-100,-86,-86,-75,-87,-83,-83,-100,-82,-100,-78,-79,-79,-79,-100,-78,-84,-100,-100,-100,-100,-78,-82,-100,-83,-84,-77,-83,-100,-100,-100,-84,-85,-83,-83,-84,-82,-100,-84,-86,-84,-85,-100,-100,-100,-83,-79,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-59,-65,-72,-72,-68,-68,-68,-72,-72,-63,-72,-63,-83,-83,-76,-74,-72,-57,-57,-82,-82,-73,-73,-100,-85,-60,-59,-56,-56,-73,-68,-68,-68,-72,-72,-66,-76,-67,-79,-75,-58,-100,-100,-85,-70,-70,-100,-86,-87,-100,-75,-75,-100,-100,-100,-72,-68,-72,-73,-85,-57,-82,-73,-56,-60,-68,-72,-66,-70,-100,-88,-100,-75,-100,-73,-84,-85,-56,-100,-100,-100,-72,-72,-76,-86,-78,-100,-86,-56,-100,-100,-72,-100,-100,-86,-81,-81,-86,-100,-86,-81,-86,-83,-78,-100,-100,-100,-78,-100,-86,-86,-75,-87,-83,-83,-100,-82,-100,-79,-79,-79,-79,-100,-78,-84,-100,-100,-100,-100,-78,-82,-100,-84,-84,-77,-84,-100,-100,-100,-82,-83,-83,-83,-84,-82,-100,-86,-85,-84,-86,-100,-100,-100,-83,-79,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13.0
-60,-64,-74,-74,-71,-71,-71,-71,-71,-60,-71,-60,-100,-100,-61,-74,-75,-57,-57,-83,-82,-72,-72,-100,-100,-59,-59,-56,-100,-73,-68,-67,-68,-71,-71,-64,-76,-64,-86,-75,-60,-100,-100,-85,-70,-71,-100,-86,-100,-100,-75,-75,-100,-100,-100,-74,-71,-71,-73,-85,-57,-84,-73,-100,-60,-68,-71,-100,-71,-100,-100,-100,-75,-100,-73,-83,-84,-60,-100,-100,-100,-69,-69,-75,-100,-79,-100,-82,-60,-100,-100,-69,-100,-100,-88,-81,-100,-87,-100,-100,-100,-87,-78,-77,-100,-100,-100,-77,-100,-84,-85,-75,-87,-100,-100,-100,-81,-100,-79,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-78,-82,-100,-84,-100,-100,-85,-100,-100,-100,-82,-83,-79,-78,-78,-100,-100,-86,-85,-100,-87,-100,-100,-100,-100,-100,-100,-85,-85,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14.0
-58,-66,-69,-69,-71,-71,-71,-72,-72,-60,-72,-61,-100,-100,-63,-77,-71,-56,-57,-81,-82,-72,-71,-100,-100,-61,-61,-54,-54,-76,-66,-66,-66,-70,-70,-63,-73,-63,-86,-75,-59,-100,-100,-85,-70,-71,-100,-85,-100,-100,-74,-74,-100,-100,-100,-69,-71,-72,-77,-85,-56,-82,-73,-54,-61,-66,-70,-63,-71,-100,-100,-100,-74,-100,-76,-85,-85,-59,-100,-100,-100,-71,-71,-78,-100,-80,-100,-85,-59,-100,-85,-71,-100,-100,-88,-81,-100,-87,-100,-100,-100,-88,-78,-79,-100,-100,-100,-75,-100,-85,-84,-75,-84,-100,-100,-100,-80,-100,-79,-100,-79,-100,-100,-80,-100,-100,-100,-100,-100,-75,-82,-100,-84,-100,-81,-83,-100,-100,-100,-83,-83,-79,-78,-79,-79,-100,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-84,-84,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14.0
-59,-62,-68,-69,-72,-72,-72,-73,-73,-61,-72,-61,-84,-100,-67,-75,-72,-58,-58,-82,-82,-70,-70,-100,-100,-62,-62,-53,-53,-72,-67,-67,-67,-72,-72,-65,-74,-65,-82,-74,-56,-100,-100,-85,-70,-71,-100,-86,-87,-100,-74,-74,-100,-100,-100,-68,-72,-73,-83,-84,-57,-82,-70,-54,-62,-67,-72,-65,-71,-100,-87,-100,-74,-100,-76,-85,-85,-56,-100,-100,-100,-71,-71,-79,-84,-77,-100,-84,-57,-100,-85,-72,-100,-100,-88,-81,-100,-84,-100,-100,-100,-88,-80,-76,-100,-100,-100,-75,-100,-85,-84,-75,-84,-84,-84,-100,-80,-100,-79,-100,-79,-100,-100,-76,-100,-100,-100,-100,-100,-75,-82,-100,-84,-83,-77,-83,-100,-100,-100,-83,-83,-78,-79,-79,-79,-100,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-84,-84,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14.0
