72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a0,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:40,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:14:01,38:17:c3:19:45:b0,38:17:c3:1f:14:02,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c1,38:17:c3:1f:14:00,38:17:c3:1f:14:11,38:17:c3:1f:09:81,38:17:c3:1f:19:d0,38:17:c3:1f:09:80,38:17:c3:1f:14:12,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:14:10,a8:bd:27:4c:aa:90,38:17:c3:24:47:50,44:48:c1:91:95:b3,a8:bd:27:4c:aa:92,44:48:c1:91:95:b2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:aa:30,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:d0:11,44:48:c1:91:d0:14,9c:d6:43:60:92:e0,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:90,44:48:c1:91:95:a2,a8:bd:27:4c:aa:81,b4:5d:50:e1:96:43,44:48:c1:91:95:a3,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:a1,a8:bd:27:4c:aa:80,44:48:c1:91:d0:04,20:a6:cd:42:0a:c3,44:48:c1:91:d0:02,44:48:c1:91:aa:31,44:48:c1:91:aa:32,a8:bd:27:4c:aa:83,44:48:c1:91:95:a0,38:17:c3:22:5e:f0,20:a6:cd:42:0a:c0,38:17:c3:19:45:a0,66:2a:2f:53:7c:99,b6:e6:2d:69:d5:58,a8:bd:27:4c:aa:82,44:48:c1:91:d0:00,20:a6:cd:42:0b:e3,44:48:c1:91:d0:01,38:17:c3:1f:19:f0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,38:17:c3:19:d7:62,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:70,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e0,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:3a:52,b0:be:76:f8:30:5e,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,38:17:c3:19:71:82,38:17:c3:19:71:90,38:17:c3:1e:ff:12,68:ff:7b:e4:af:39,80:8d:b7:55:35:12,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:11,80:8d:b7:55:29:d0,38:17:c3:1e:ff:10,80:8d:b7:55:39:c0,38:17:c3:19:36:20,38:17:c3:19:36:21,38:17:c3:19:36:22,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,38:17:c3:1f:22:30,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:39:c1,80:8d:b7:55:29:c0,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,20:a6:cd:50:24:a0,68:ff:7b:e4:af:38,00:4e:35:df:06:52,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:50,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,x,y,label
-100,-76,-75,-74,-66,-66,-66,-65,-65,-64,-88,-88,-87,-85,-85,-88,-84,-84,-88,-83,-83,-79,-82,-79,-100,-100,-79,-76,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-87,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-84,-100,-100,-100,-100,-74,-89,-87,-89,-100,-88,-100,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-70,-100,-74,-74,-64,-65,-65,-64,-64,-64,-88,-86,-87,-87,-87,-88,-86,-86,-100,-85,-85,-100,-85,-100,-100,-86,-100,-75,-100,-100,-100,-76,-100,-100,-100,-84,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-88,-89,-100,-91,-90,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-74,-73,-73,-66,-65,-66,-64,-65,-65,-87,-87,-86,-86,-86,-87,-86,-86,-100,-84,-83,-79,-83,-79,-88,-100,-80,-73,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-88,-88,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-89,-88,-88,-88,-100,-88,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-71,-75,-75,-64,-64,-64,-66,-65,-65,-87,-87,-87,-85,-85,-87,-85,-85,-100,-83,-83,-80,-84,-79,-88,-100,-100,-76,-100,-100,-100,-75,-100,-100,-100,-84,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-88,-84,-100,-100,-86,-100,-100,-100,-100,-100,-100,-72,-89,-89,-89,-100,-88,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-78,-78,-61,-63,-63,-67,-68,-67,-100,-100,-100,-88,-88,-100,-90,-89,-100,-85,-86,-76,-87,-75,-100,-100,-76,-70,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-70,-85,-100,-100,-86,-100,-85,-85,-100,-100,-100,-100,-100,-85,-85,-100,-90,-91,-89,-89,-88,-88,-100,-100,-89,-100,-100,-83,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-90,-89,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-78,-78,-82,-82,-62,-62,-62,-67,-66,-66,-100,-100,-100,-89,-90,-100,-89,-88,-100,-86,-86,-75,-86,-76,-100,-100,-76,-70,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-71,-85,-100,-100,-85,-100,-85,-85,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-88,-90,-88,-88,-100,-100,-100,-100,-90,-87,-100,-86,-100,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-86,-100,-86,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-85,-85,-85,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-75,-78,-78,-62,-63,-62,-64,-64,-64,-100,-100,-100,-88,-87,-100,-87,-88,-100,-84,-85,-77,-86,-77,-100,-100,-100,-70,-90,-100,-90,-70,-100,-100,-100,-100,-100,-100,-70,-86,-100,-100,-86,-100,-85,-85,-100,-100,-100,-100,-100,-84,-86,-100,-100,-100,-88,-88,-87,-88,-100,-87,-100,-100,-90,-100,-100,-87,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-86,-100,-86,-100,-100,-100,-100,-81,-90,-89,-89,-100,-89,-90,-87,-86,-86,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-78,-78,-61,-61,-61,-64,-63,-64,-100,-100,-93,-89,-88,-100,-100,-89,-100,-85,-85,-100,-85,-76,-100,-100,-100,-71,-90,-100,-90,-70,-100,-100,-100,-100,-100,-100,-71,-87,-100,-100,-86,-100,-85,-86,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-88,-87,-88,-87,-100,-87,-100,-100,-90,-86,-100,-86,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-100,-100,-100,-100,-89,-88,-89,-100,-89,-89,-85,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-76,-100,-80,-79,-61,-62,-62,-64,-64,-64,-100,-100,-100,-89,-88,-100,-87,-88,-100,-85,-85,-100,-85,-100,-100,-100,-100,-71,-100,-100,-90,-71,-100,-100,-100,-100,-100,-100,-71,-87,-100,-100,-86,-100,-86,-86,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-89,-87,-88,-88,-100,-73,-100,-100,-90,-100,-100,-73,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-79,-90,-88,-89,-100,-89,-90,-86,-86,-86,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-76,-76,-79,-80,-63,-63,-63,-64,-64,-64,-100,-100,-100,-89,-89,-100,-100,-100,-100,-84,-86,-76,-85,-76,-100,-100,-76,-70,-89,-100,-100,-70,-100,-100,-85,-84,-100,-100,-71,-85,-100,-100,-86,-100,-85,-85,-100,-100,-100,-85,-84,-84,-85,-100,-90,-100,-88,-88,-88,-89,-100,-100,-100,-100,-91,-100,-100,-87,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-100,-80,-90,-89,-100,-89,-89,-100,-86,-87,-86,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-77,-79,-83,-84,-62,-57,-58,-70,-100,-100,-100,-100,-100,-88,-88,-100,-88,-88,-100,-86,-86,-100,-86,-100,-100,-100,-100,-77,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-78,-87,-100,-100,-87,-100,-87,-89,-100,-100,-100,-100,-100,-100,-88,-92,-100,-100,-100,-92,-100,-93,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-86,-87,-100,-87,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-77,-86,-86,-60,-62,-61,-62,-63,-63,-100,-100,-100,-91,-92,-100,-89,-100,-100,-87,-86,-80,-86,-79,-100,-100,-80,-72,-100,-100,-100,-71,-100,-100,-85,-86,-100,-100,-72,-88,-100,-100,-89,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-89,-88,-100,-100,-100,-100,-100,-89,-100,-87,-100,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-87,-100,-86,-100,-100,-100,-100,-83,-90,-91,-100,-90,-100,-90,-89,-92,-100,-89,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-100,-86,-86,-57,-60,-60,-64,-62,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-83,-100,-100,-100,-80,-73,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-74,-91,-100,-100,-91,-100,-92,-91,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-88,-88,-89,-88,-100,-87,-100,-100,-100,-100,-100,-87,-100,-87,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-86,-100,-89,-100,-100,-100,-100,-84,-89,-88,-100,-90,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-100,-81,-81,-56,-60,-61,-62,-61,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-80,-90,-80,-100,-100,-80,-72,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-73,-87,-100,-100,-87,-100,-87,-88,-100,-100,-100,-89,-88,-88,-89,-100,-100,-100,-88,-88,-88,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-86,-82,-82,-57,-59,-59,-62,-62,-62,-100,-100,-100,-85,-86,-100,-87,-87,-100,-84,-86,-77,-85,-78,-100,-100,-77,-72,-90,-100,-91,-71,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-87,-88,-88,-87,-100,-84,-100,-100,-100,-100,-100,-86,-100,-90,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-76,-88,-88,-100,-91,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-100,-85,-84,-59,-60,-60,-64,-64,-64,-100,-100,-91,-89,-89,-100,-100,-90,-100,-100,-100,-79,-80,-79,-100,-100,-79,-71,-100,-100,-100,-69,-100,-100,-85,-86,-100,-100,-70,-90,-100,-100,-100,-100,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-88,-87,-87,-87,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-85,-85,-85,-100,-84,-100,-90,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-75,-100,-84,-85,-50,-50,-50,-61,-61,-61,-100,-100,-100,-92,-92,-100,-100,-100,-100,-83,-82,-86,-83,-85,-100,-100,-87,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-92,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-93,-100,-91,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-81,-85,-84,-84,-100,-84,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-84,-82,-82,-51,-51,-51,-59,-59,-59,-100,-100,-100,-90,-92,-100,-100,-100,-100,-85,-84,-82,-84,-81,-100,-100,-82,-80,-100,-100,-100,-80,-100,-100,-84,-84,-100,-100,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-91,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-86,-100,-100,-100,-100,-78,-84,-85,-85,-90,-85,-100,-87,-87,-85,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-79,-80,-81,-80,-49,-50,-51,-60,-60,-60,-100,-100,-100,-88,-90,-100,-100,-100,-100,-84,-84,-82,-84,-81,-100,-100,-82,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-82,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-91,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-88,-85,-86,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-80,-100,-83,-82,-49,-50,-50,-58,-57,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-82,-84,-82,-100,-100,-82,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-83,-89,-100,-100,-100,-100,-92,-92,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-92,-92,-91,-92,-100,-89,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-78,-84,-83,-84,-100,-84,-91,-86,-86,-87,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-100,-81,-81,-50,-49,-50,-57,-57,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-82,-86,-81,-100,-100,-81,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-81,-89,-100,-100,-100,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-84,-100,-100,-100,-83,-100,-100,-87,-100,-83,-100,-100,-100,-100,-88,-84,-84,-84,-91,-84,-93,-100,-87,-86,-88,-90,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
