b8:27:eb:9f:6b:77,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,38:17:c3:1f:01:81,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,38:17:c3:19:d7:70,44:48:c1:a5:82:30,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:39:c0,80:8d:b7:55:25:f1,80:8d:b7:55:39:c2,80:8d:b7:55:3a:51,80:8d:b7:55:39:c1,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:50,44:48:c1:a5:82:21,20:a6:cd:50:24:a2,44:48:c1:a5:82:22,20:a6:cd:50:24:a1,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:df:06:50,38:17:c3:1e:ff:12,38:17:c3:19:45:b0,00:4e:35:df:06:51,60:32:b1:3e:1a:b8,00:4e:35:df:06:52,80:8d:b7:55:3a:40,66:2a:2f:53:7c:99,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1f:01:82,20:a6:cd:50:24:b0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,b4:5d:50:e1:92:33,a8:bd:27:4c:bd:30,38:17:c3:1f:01:80,38:17:c3:1e:ff:01,72:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:30,00:4e:35:de:e1:12,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,68:ff:7b:e4:af:38,80:8d:b7:55:25:e1,68:ff:7b:e4:af:39,b4:5d:50:e1:92:23,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,80:8d:b7:55:25:e0,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:19:71:92,b4:5d:50:e1:96:53,38:17:c3:19:71:90,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:19:71:91,b4:5d:50:e1:96:52,38:17:c3:1f:09:90,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,38:17:c3:1f:09:93,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:00,b4:5d:50:e1:96:51,38:17:c3:1f:09:92,38:17:c3:1f:09:91,b4:5d:50:e1:96:50,38:17:c3:19:45:a2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:31,b4:5d:50:e1:92:20,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:19:55:42,38:17:c3:19:55:41,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:19:55:40,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:08:51,00:4e:35:df:0e:12,38:17:c3:1f:22:21,44:48:c1:91:95:b2,44:48:c1:91:95:b1,38:17:c3:1f:08:52,00:4e:35:de:d7:43,38:17:c3:1f:22:22,00:4e:35:de:d7:42,38:17:c3:1f:22:20,44:48:c1:91:95:b3,38:17:c3:19:36:30,38:17:c3:1f:08:42,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1e:fc:b0,a8:bd:27:4c:bd:22,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:df:0e:11,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,label
-100,-70,-65,-70,-100,-74,-100,-100,-57,-56,-57,-100,-87,-87,-87,-69,-100,-74,-100,-100,-83,-83,-82,-70,-55,-55,-90,-87,-86,-87,-55,-87,-87,-69,-86,-69,-100,-69,-100,-100,-100,-62,-100,-62,-100,-62,-100,-100,-100,-100,-100,-85,-100,-100,-84,-100,-85,-100,-87,-84,-100,-88,-89,-100,-73,-100,-88,-89,-89,-89,-86,-100,-100,-100,-100,-79,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-86,-92,-100,-100,-100,-100,-100,-100,-83,-89,-89,-100,-90,-100,-91,-90,-91,-100,-100,-88,-88,-100,-89,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-32,-73,-71,-81,-71,-73,-100,-74,-57,-57,-58,-100,-88,-85,-86,-70,-74,-75,-74,-100,-100,-100,-100,-67,-54,-55,-88,-100,-86,-87,-54,-86,-87,-100,-86,-69,-100,-100,-100,-100,-100,-62,-100,-62,-100,-63,-100,-100,-100,-100,-100,-81,-100,-100,-83,-100,-82,-73,-86,-85,-100,-90,-90,-100,-73,-100,-90,-90,-91,-91,-84,-90,-100,-100,-100,-79,-100,-100,-100,-92,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-89,-100,-90,-100,-100,-100,-100,-100,-87,-86,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-33,-71,-65,-72,-71,-100,-100,-100,-56,-56,-56,-100,-87,-87,-87,-70,-75,-75,-75,-100,-84,-84,-84,-70,-56,-55,-86,-89,-86,-87,-56,-87,-87,-68,-100,-68,-66,-68,-67,-90,-67,-62,-100,-62,-100,-62,-100,-100,-100,-100,-100,-82,-100,-100,-83,-100,-83,-73,-88,-87,-100,-89,-89,-72,-71,-100,-90,-90,-90,-90,-81,-100,-100,-100,-100,-78,-100,-100,-100,-100,-85,-83,-100,-100,-83,-100,-100,-78,-78,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-89,-100,-100,-100,-100,-88,-88,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-70,-63,-69,-70,-100,-100,-100,-56,-56,-56,-72,-88,-86,-86,-70,-75,-75,-75,-100,-100,-100,-100,-69,-55,-55,-100,-89,-87,-87,-55,-88,-88,-68,-88,-68,-67,-68,-66,-88,-70,-62,-100,-61,-100,-62,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-82,-73,-89,-83,-100,-89,-88,-72,-73,-100,-89,-89,-89,-91,-85,-92,-100,-100,-87,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-79,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-84,-100,-100,-100,-100,-100,-100,-87,-87,-90,-87,-100,-88,-100,-90,-100,-100,-100,-100,-89,-87,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-33,-78,-64,-71,-70,-74,-100,-100,-58,-58,-58,-100,-86,-86,-88,-74,-74,-74,-74,-100,-83,-83,-83,-68,-54,-54,-86,-86,-86,-87,-52,-87,-87,-67,-86,-68,-66,-67,-66,-88,-66,-62,-100,-62,-100,-62,-100,-91,-100,-100,-100,-84,-100,-100,-83,-100,-82,-73,-88,-86,-86,-90,-89,-72,-73,-100,-100,-100,-90,-100,-83,-100,-100,-100,-100,-77,-100,-100,-100,-90,-85,-84,-100,-91,-100,-100,-86,-78,-78,-100,-100,-79,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-83,-100,-100,-100,-100,-100,-100,-85,-100,-90,-100,-100,-89,-100,-100,-100,-100,-100,-100,-88,-87,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-34,-72,-68,-72,-71,-100,-100,-75,-59,-59,-59,-100,-100,-100,-100,-74,-74,-74,-75,-100,-84,-84,-84,-70,-55,-55,-87,-86,-87,-87,-52,-86,-87,-69,-86,-69,-65,-69,-66,-87,-66,-61,-100,-61,-100,-61,-100,-93,-100,-100,-100,-82,-100,-100,-82,-87,-82,-73,-87,-82,-100,-100,-100,-73,-73,-100,-92,-88,-88,-89,-85,-100,-100,-100,-100,-78,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-86,-100,-78,-100,-100,-79,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-85,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-32,-74,-66,-75,-74,-100,-100,-100,-61,-61,-61,-80,-100,-100,-100,-79,-79,-100,-79,-100,-84,-83,-83,-71,-64,-64,-81,-81,-80,-87,-61,-87,-88,-66,-81,-66,-69,-66,-69,-87,-69,-64,-100,-64,-100,-64,-100,-100,-100,-100,-100,-81,-100,-100,-80,-100,-81,-74,-85,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-82,-100,-100,-100,-89,-83,-100,-100,-100,-100,-100,-81,-100,-100,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-83,-81,-90,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-91,-89,-100,-100,-93,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-33,-75,-66,-75,-100,-81,-81,-81,-61,-60,-61,-100,-100,-100,-100,-78,-78,-78,-78,-100,-82,-82,-81,-73,-62,-61,-88,-81,-81,-87,-60,-86,-86,-68,-81,-68,-72,-68,-72,-86,-72,-63,-100,-63,-100,-63,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-82,-100,-86,-89,-90,-100,-100,-100,-73,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-89,-84,-82,-81,-93,-81,-100,-85,-100,-100,-100,-82,-84,-100,-84,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-88,-100,-100,-100,-90,-100,-91,-92,-100,-100,-86,-87,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-35,-100,-74,-100,-77,-80,-100,-100,-61,-61,-61,-100,-100,-100,-100,-79,-79,-79,-80,-100,-82,-82,-82,-73,-62,-61,-82,-81,-82,-87,-59,-86,-87,-100,-82,-67,-74,-100,-75,-90,-84,-63,-100,-63,-100,-63,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-84,-100,-85,-89,-91,-100,-100,-100,-100,-100,-100,-100,-93,-100,-82,-91,-100,-100,-100,-82,-100,-100,-100,-92,-88,-100,-100,-100,-100,-87,-100,-100,-84,-100,-100,-83,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-89,-88,-100,-89,-90,-100,-100,-90,-100,-100,-88,-87,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-33,-77,-53,-100,-78,-80,-80,-80,-60,-60,-61,-100,-100,-100,-100,-78,-78,-78,-78,-100,-81,-81,-82,-73,-62,-62,-100,-100,-100,-87,-61,-87,-86,-67,-100,-67,-75,-67,-76,-100,-75,-62,-100,-62,-100,-63,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-85,-100,-87,-89,-100,-100,-100,-100,-100,-100,-89,-100,-92,-100,-83,-90,-100,-100,-86,-100,-100,-92,-89,-90,-82,-100,-100,-93,-100,-100,-83,-100,-100,-100,-100,-83,-83,-83,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-83,-82,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-32,-75,-100,-74,-100,-100,-100,-100,-62,-62,-62,-100,-100,-100,-100,-77,-78,-77,-77,-100,-82,-82,-82,-78,-64,-64,-81,-80,-80,-85,-60,-86,-85,-100,-80,-100,-73,-100,-73,-100,-73,-63,-100,-64,-100,-63,-100,-100,-100,-100,-100,-83,-100,-100,-83,-100,-82,-100,-86,-100,-89,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-92,-100,-100,-100,-100,-100,-89,-89,-89,-87,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-82,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-88,-91,-89,-90,-100,-100,-100,-85,-85,-88,-87,-85,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-33,-76,-67,-77,-74,-81,-81,-80,-61,-61,-61,-79,-100,-100,-100,-79,-79,-79,-78,-100,-82,-100,-100,-68,-61,-61,-79,-80,-79,-87,-60,-87,-87,-67,-80,-68,-73,-68,-73,-87,-73,-63,-100,-63,-100,-63,-100,-100,-100,-100,-100,-81,-100,-100,-82,-100,-82,-73,-88,-100,-90,-100,-100,-72,-100,-100,-89,-92,-100,-91,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-90,-100,-100,-100,-100,-100,-100,-81,-82,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-88,-88,-100,-87,-88,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-33,-76,-64,-75,-75,-100,-100,-100,-62,-62,-62,-100,-100,-100,-100,-71,-72,-72,-72,-100,-100,-100,-100,-78,-65,-64,-80,-79,-79,-86,-61,-85,-85,-68,-86,-68,-62,-68,-62,-89,-61,-74,-100,-73,-100,-74,-100,-91,-100,-100,-100,-100,-100,-100,-75,-100,-75,-76,-84,-85,-85,-100,-100,-75,-76,-100,-100,-100,-100,-100,-80,-100,-100,-100,-87,-79,-100,-100,-100,-87,-85,-76,-75,-84,-76,-100,-88,-79,-100,-100,-77,-76,-100,-100,-89,-100,-91,-100,-100,-89,-100,-100,-100,-100,-100,-78,-80,-80,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-35,-77,-65,-78,-100,-78,-82,-81,-63,-62,-63,-79,-100,-100,-100,-73,-72,-72,-72,-100,-100,-81,-81,-75,-62,-62,-79,-78,-79,-87,-61,-86,-87,-68,-79,-69,-62,-68,-62,-100,-62,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-71,-100,-100,-72,-100,-71,-100,-85,-86,-86,-100,-100,-100,-77,-100,-91,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-89,-84,-78,-74,-84,-78,-83,-100,-100,-100,-100,-77,-77,-77,-75,-90,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-81,-81,-81,-100,-100,-100,-100,-100,-100,-83,-83,-87,-100,-100,-87,-100,-100,-100,-100,-100,-100,-84,-84,-100,-83,-85,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-32,-77,-66,-100,-77,-82,-81,-82,-62,-62,-62,-100,-88,-89,-89,-72,-71,-72,-71,-100,-81,-80,-100,-77,-64,-63,-79,-79,-79,-85,-61,-85,-84,-69,-79,-69,-63,-69,-63,-100,-63,-72,-100,-73,-100,-72,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-71,-100,-84,-87,-88,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-90,-84,-100,-100,-85,-100,-100,-100,-100,-100,-100,-78,-77,-77,-76,-91,-100,-90,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-91,-92,-100,-100,-86,-85,-100,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-35,-100,-65,-77,-100,-81,-81,-81,-63,-63,-63,-79,-100,-100,-100,-71,-71,-71,-70,-100,-81,-81,-81,-78,-63,-64,-84,-80,-80,-86,-62,-85,-85,-68,-80,-69,-62,-69,-62,-87,-62,-100,-100,-71,-100,-100,-100,-91,-100,-100,-100,-73,-100,-100,-72,-87,-72,-100,-85,-87,-86,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-90,-84,-78,-100,-85,-77,-100,-87,-100,-100,-100,-78,-76,-76,-76,-91,-100,-92,-100,-100,-89,-100,-100,-100,-100,-100,-83,-82,-100,-87,-100,-100,-100,-100,-100,-84,-84,-100,-100,-92,-100,-92,-100,-87,-100,-81,-100,-83,-83,-100,-83,-83,-100,-100,-100,-92,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-31,-77,-65,-76,-76,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-71,-71,-71,-71,-100,-81,-80,-80,-75,-63,-63,-80,-81,-80,-85,-62,-86,-86,-68,-81,-68,-62,-68,-62,-92,-62,-72,-100,-71,-100,-72,-100,-93,-100,-100,-100,-71,-100,-100,-72,-84,-73,-100,-84,-87,-100,-100,-100,-100,-77,-100,-91,-100,-100,-100,-83,-100,-100,-100,-85,-78,-100,-100,-100,-88,-88,-77,-74,-100,-77,-82,-100,-73,-100,-100,-77,-75,-76,-77,-91,-100,-90,-100,-100,-89,-100,-100,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-83,-83,-100,-83,-83,-90,-100,-100,-100,-100,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-30,-77,-68,-77,-78,-100,-81,-81,-70,-64,-64,-100,-100,-100,-100,-72,-92,-71,-72,-100,-100,-80,-81,-75,-63,-63,-80,-81,-80,-85,-63,-85,-86,-69,-80,-69,-63,-68,-64,-88,-64,-72,-100,-72,-100,-72,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-73,-100,-87,-86,-100,-89,-100,-76,-76,-100,-90,-100,-100,-100,-82,-100,-100,-100,-100,-79,-100,-100,-100,-90,-79,-78,-75,-100,-78,-100,-84,-100,-79,-100,-78,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-83,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-88,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-35,-100,-100,-100,-100,-100,-100,-100,-60,-60,-61,-75,-100,-100,-100,-78,-78,-79,-78,-100,-80,-100,-100,-75,-67,-68,-77,-76,-76,-92,-64,-100,-90,-69,-76,-100,-59,-70,-59,-87,-60,-77,-100,-77,-100,-77,-100,-100,-100,-100,-100,-74,-100,-100,-74,-100,-74,-100,-87,-91,-91,-100,-100,-100,-100,-100,-100,-90,-90,-89,-82,-90,-100,-100,-100,-100,-100,-89,-90,-90,-85,-80,-75,-83,-100,-81,-100,-100,-100,-100,-100,-76,-75,-76,-86,-100,-87,-100,-100,-85,-100,-100,-100,-100,-100,-82,-82,-83,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-88,-100,-88,-100,-88,-88,-100,-100,-85,-84,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-36,-100,-74,-100,-100,-100,-100,-100,-62,-62,-62,-100,-100,-100,-100,-79,-79,-79,-80,-100,-83,-82,-82,-77,-67,-68,-77,-77,-77,-100,-64,-100,-100,-71,-77,-71,-62,-71,-62,-100,-62,-76,-100,-75,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-73,-100,-73,-100,-87,-100,-90,-100,-100,-100,-100,-100,-100,-90,-90,-89,-84,-86,-100,-100,-84,-100,-100,-100,-100,-89,-82,-80,-76,-83,-79,-100,-100,-100,-100,-100,-79,-77,-76,-76,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-83,-85,-89,-100,-100,-100,-100,-100,-82,-83,-100,-100,-86,-100,-85,-100,-88,-90,-100,-100,-79,-80,-100,-79,-80,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
