38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:19:55:42,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,b0:be:76:f8:30:5e,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:58:b1,68:ff:7b:e4:af:39,64:e5:99:c3:13:3c,00:4e:35:df:06:52,38:17:c3:24:58:a1,38:17:c3:24:58:a2,20:4e:7f:c2:ff:e8,38:17:c3:24:58:a0,32:f7:72:50:57:3b,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:40,68:ff:7b:e4:af:38,44:48:c1:a5:82:30,44:48:c1:a5:82:32,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:1f:08:50,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,38:17:c3:1f:01:90,38:17:c3:1f:01:92,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,38:17:c3:1f:01:91,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:1f:01:81,80:8d:b7:55:25:e3,80:8d:b7:55:25:e0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,44:48:c1:a5:82:21,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,44:48:c1:a5:82:20,44:48:c1:a5:82:22,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,38:17:c3:19:d7:62,38:17:c3:1e:ff:11,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:45:b2,72:32:b1:3e:1a:b7,80:8d:b7:55:25:e1,38:17:c3:1f:01:80,80:8d:b7:55:25:e2,38:17:c3:1f:01:82,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,72:32:b1:3e:1a:b8,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,20:a6:cd:50:24:a0,00:4e:35:df:06:41,00:4e:35:df:06:42,b4:5d:50:e1:92:33,80:8d:b7:55:39:c0,38:17:c3:19:d7:60,38:17:c3:19:d7:61,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:40,38:17:c3:1e:ff:01,00:4e:35:de:e1:12,38:17:c3:1e:ff:00,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:02,38:17:c3:1f:22:30,38:17:c3:1f:09:83,00:4e:35:de:e1:02,b4:5d:50:e1:96:53,b4:5d:50:e1:92:21,38:17:c3:19:71:90,b4:5d:50:e1:92:20,b4:5d:50:e1:96:51,38:17:c3:19:71:92,b4:5d:50:e1:92:22,b4:5d:50:e1:96:52,38:17:c3:19:71:91,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:96:50,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:d7:52,a8:bd:27:4c:bd:30,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:19:71:82,00:4e:35:de:d7:42,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:20,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,38:17:c3:1f:22:22,00:4e:35:de:d7:43,38:17:c3:1f:08:41,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:01,38:17:c3:1f:0f:90,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:1b:08:a1,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,label
-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-62,-62,-85,-100,-100,-100,-74,-73,-77,-74,-100,-100,-100,-59,-60,-60,-100,-90,-100,-78,-78,-79,-78,-89,-84,-83,-84,-100,-100,-100,-82,-81,-61,-82,-81,-69,-100,-90,-100,-100,-68,-100,-100,-100,-68,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-80,-69,-100,-100,-82,-100,-100,-100,-85,-100,-100,-100,-100,-100,-88,-100,-84,-92,-85,-100,-100,-100,-100,-100,-100,-80,-81,-82,-100,-100,-100,-100,-100,-85,-85,-91,-91,-100,-100,-100,-100,-100,-87,-91,-88,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-67,-77,-77,-100,-100,-61,-61,-88,-67,-68,-100,-73,-74,-100,-74,-82,-83,-100,-59,-61,-60,-100,-90,-100,-78,-78,-78,-78,-100,-83,-84,-83,-100,-100,-100,-79,-80,-60,-80,-100,-100,-100,-91,-100,-100,-68,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-78,-78,-100,-81,-81,-79,-100,-100,-100,-84,-100,-100,-100,-87,-100,-88,-100,-100,-100,-87,-100,-85,-100,-84,-100,-100,-85,-100,-100,-100,-80,-82,-79,-100,-100,-100,-100,-100,-88,-88,-91,-92,-100,-100,-87,-100,-100,-90,-90,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-67,-100,-77,-83,-100,-61,-61,-90,-67,-71,-100,-74,-74,-100,-74,-83,-83,-100,-60,-62,-61,-100,-100,-100,-77,-76,-77,-76,-100,-100,-100,-100,-100,-100,-100,-79,-80,-61,-79,-79,-70,-71,-89,-88,-89,-73,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-79,-70,-100,-100,-100,-100,-100,-100,-91,-100,-88,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-90,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-63,-71,-76,-100,-100,-63,-63,-85,-69,-63,-100,-100,-100,-78,-100,-100,-100,-100,-60,-67,-67,-100,-100,-100,-77,-76,-77,-77,-100,-78,-100,-100,-100,-73,-82,-80,-80,-62,-79,-80,-64,-64,-85,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-79,-65,-89,-100,-83,-85,-72,-100,-82,-100,-84,-100,-100,-100,-100,-100,-90,-89,-88,-100,-100,-90,-100,-100,-100,-79,-79,-87,-100,-100,-100,-100,-100,-100,-82,-89,-88,-100,-100,-100,-100,-100,-81,-100,-81,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-63,-74,-75,-100,-100,-64,-65,-83,-63,-64,-100,-79,-79,-73,-80,-83,-82,-83,-63,-65,-65,-100,-100,-100,-77,-77,-77,-77,-100,-79,-100,-100,-100,-100,-83,-79,-79,-64,-79,-80,-65,-100,-86,-88,-88,-71,-100,-100,-100,-71,-71,-100,-100,-90,-100,-100,-100,-100,-100,-82,-100,-82,-100,-86,-90,-100,-100,-69,-69,-100,-82,-82,-78,-64,-91,-91,-100,-100,-70,-100,-82,-100,-86,-100,-100,-100,-89,-100,-88,-100,-88,-100,-100,-88,-100,-100,-100,-78,-78,-80,-100,-100,-100,-100,-100,-82,-83,-100,-91,-100,-100,-100,-100,-100,-86,-94,-87,-87,-86,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-64,-77,-77,-100,-100,-65,-66,-84,-64,-64,-100,-77,-78,-74,-77,-100,-100,-100,-62,-64,-64,-79,-100,-100,-76,-76,-100,-77,-100,-78,-78,-78,-100,-100,-83,-79,-80,-66,-80,-79,-100,-64,-87,-87,-87,-72,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-91,-100,-100,-70,-70,-100,-83,-83,-79,-100,-100,-100,-85,-100,-100,-100,-83,-100,-86,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-88,-100,-100,-100,-79,-79,-78,-100,-100,-100,-100,-100,-83,-82,-91,-100,-100,-100,-100,-100,-100,-86,-93,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-82,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-64,-100,-78,-100,-100,-66,-66,-85,-64,-68,-100,-100,-100,-72,-100,-100,-100,-100,-62,-63,-64,-100,-100,-100,-76,-76,-76,-76,-100,-79,-100,-100,-100,-78,-100,-79,-80,-66,-80,-78,-64,-64,-87,-88,-87,-73,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-72,-100,-100,-84,-79,-64,-100,-100,-85,-100,-100,-100,-83,-100,-84,-100,-100,-100,-90,-100,-90,-89,-89,-100,-89,-88,-100,-90,-100,-78,-78,-78,-100,-100,-100,-100,-100,-82,-100,-91,-90,-100,-91,-89,-100,-100,-88,-93,-88,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-64,-74,-73,-100,-100,-66,-66,-84,-64,-63,-100,-78,-100,-73,-100,-100,-100,-82,-62,-64,-64,-75,-100,-100,-76,-77,-76,-76,-100,-75,-77,-77,-100,-100,-100,-79,-79,-66,-79,-79,-65,-64,-86,-86,-87,-72,-100,-100,-100,-72,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-90,-100,-100,-100,-100,-100,-100,-100,-78,-64,-100,-100,-85,-100,-100,-100,-86,-100,-85,-100,-100,-100,-100,-100,-89,-89,-100,-100,-89,-88,-100,-88,-100,-78,-78,-79,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-86,-100,-85,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-84,-100,-75,-100,-100,-100,-100,-100,-64,-76,-75,-100,-100,-66,-66,-85,-64,-63,-100,-78,-100,-72,-78,-100,-100,-100,-62,-64,-64,-100,-90,-100,-76,-77,-77,-76,-89,-79,-100,-100,-100,-77,-83,-79,-79,-66,-79,-79,-64,-63,-88,-87,-86,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-83,-100,-89,-100,-100,-100,-100,-71,-100,-83,-84,-78,-64,-100,-100,-100,-100,-100,-100,-84,-100,-82,-100,-100,-100,-89,-100,-100,-91,-89,-100,-90,-100,-100,-89,-100,-78,-78,-79,-100,-100,-100,-100,-100,-86,-86,-91,-91,-100,-100,-100,-100,-100,-85,-92,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-61,-74,-74,-100,-100,-67,-67,-81,-61,-61,-100,-100,-100,-75,-100,-100,-100,-100,-61,-62,-62,-100,-93,-100,-74,-74,-75,-74,-100,-75,-74,-74,-100,-78,-80,-77,-77,-67,-77,-78,-73,-73,-88,-88,-90,-72,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-85,-72,-100,-100,-100,-100,-71,-100,-85,-100,-100,-100,-91,-100,-100,-100,-100,-86,-100,-100,-86,-100,-100,-84,-100,-86,-86,-87,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-79,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-82,-100,-76,-100,-100,-100,-100,-100,-63,-76,-76,-80,-100,-65,-65,-81,-63,-63,-100,-79,-79,-77,-79,-100,-100,-100,-62,-63,-63,-71,-100,-100,-78,-78,-79,-79,-100,-78,-77,-77,-100,-100,-82,-76,-76,-65,-76,-76,-100,-73,-87,-87,-88,-74,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-75,-75,-100,-100,-100,-87,-72,-100,-100,-87,-100,-75,-100,-85,-100,-100,-100,-100,-100,-90,-100,-100,-87,-100,-100,-87,-100,-100,-86,-100,-87,-86,-87,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-86,-91,-89,-100,-92,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-100,-83,-82,-82,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-62,-74,-100,-84,-100,-68,-68,-83,-61,-62,-100,-77,-100,-100,-78,-100,-100,-87,-64,-68,-68,-79,-100,-100,-73,-72,-74,-100,-100,-81,-80,-80,-100,-100,-100,-81,-82,-68,-81,-82,-74,-73,-88,-87,-87,-100,-88,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-71,-100,-100,-85,-84,-83,-73,-100,-100,-100,-100,-71,-100,-86,-100,-87,-100,-90,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-90,-100,-83,-83,-82,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-88,-100,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-75,-76,-78,-100,-100,-79,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-75,-77,-100,-70,-70,-85,-100,-100,-100,-86,-87,-76,-86,-100,-100,-100,-62,-65,-65,-77,-100,-100,-72,-72,-71,-100,-100,-100,-100,-77,-100,-100,-100,-77,-76,-70,-76,-76,-66,-66,-87,-86,-86,-100,-88,-88,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-83,-73,-73,-100,-100,-77,-84,-66,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-91,-100,-91,-100,-100,-91,-100,-100,-100,-84,-83,-84,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-85,-100,-100,-100,-82,-92,-82,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-74,-75,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-62,-75,-74,-83,-100,-72,-71,-85,-61,-61,-100,-100,-100,-74,-80,-100,-100,-100,-63,-60,-61,-75,-100,-100,-73,-72,-73,-72,-100,-79,-79,-79,-100,-100,-100,-81,-82,-71,-82,-81,-100,-100,-88,-88,-87,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-67,-67,-100,-100,-81,-83,-100,-100,-100,-100,-100,-67,-100,-81,-100,-92,-100,-100,-100,-100,-100,-100,-89,-100,-100,-89,-100,-100,-100,-100,-83,-82,-83,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-88,-100,-100,-100,-87,-100,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-63,-75,-75,-77,-100,-67,-67,-88,-62,-62,-100,-74,-75,-71,-75,-100,-100,-100,-63,-66,-65,-100,-100,-100,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-68,-79,-79,-73,-72,-90,-100,-100,-75,-84,-84,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-85,-100,-100,-75,-76,-100,-76,-76,-86,-72,-100,-100,-100,-100,-76,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-85,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-81,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-82,-78,-100,-70,-69,-89,-100,-100,-100,-84,-84,-74,-85,-100,-100,-100,-68,-68,-69,-100,-100,-100,-78,-77,-77,-78,-100,-100,-100,-100,-100,-80,-83,-79,-78,-69,-80,-80,-100,-100,-89,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-100,-100,-93,-100,-100,-72,-100,-100,-77,-78,-85,-100,-100,-100,-100,-100,-72,-100,-83,-100,-100,-100,-100,-100,-86,-100,-100,-87,-100,-100,-86,-100,-100,-88,-100,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-85,-86,-100,-87,-88,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-57,-79,-79,-100,-100,-69,-68,-88,-56,-57,-88,-100,-100,-75,-82,-82,-82,-82,-64,-66,-66,-100,-100,-100,-77,-77,-77,-76,-100,-100,-100,-84,-100,-100,-100,-79,-79,-68,-79,-79,-72,-72,-88,-89,-88,-80,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-71,-71,-100,-78,-78,-85,-71,-100,-100,-100,-100,-71,-100,-81,-100,-100,-100,-100,-100,-88,-100,-100,-88,-100,-100,-86,-100,-100,-86,-100,-85,-85,-86,-100,-100,-100,-100,-100,-80,-81,-90,-90,-100,-100,-87,-89,-88,-89,-90,-89,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-76,-74,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-57,-80,-80,-100,-100,-69,-70,-86,-58,-56,-100,-100,-100,-75,-100,-82,-83,-100,-64,-65,-65,-100,-100,-100,-79,-79,-79,-79,-100,-84,-84,-83,-100,-100,-100,-80,-81,-69,-80,-79,-100,-100,-88,-88,-90,-80,-90,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-69,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-91,-100,-100,-100,-100,-87,-100,-100,-89,-100,-100,-88,-100,-86,-86,-87,-100,-100,-100,-100,-100,-81,-81,-100,-89,-100,-100,-100,-100,-88,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-76,-75,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-91,-100,-82,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-70,-70,-86,-100,-100,-100,-82,-100,-73,-82,-82,-100,-82,-64,-64,-64,-100,-100,-100,-79,-79,-79,-80,-100,-100,-100,-100,-100,-100,-100,-80,-80,-69,-79,-80,-75,-74,-88,-88,-88,-79,-88,-89,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-69,-100,-78,-78,-87,-76,-100,-100,-85,-100,-68,-100,-80,-100,-100,-100,-90,-100,-88,-100,-100,-87,-100,-100,-88,-100,-100,-88,-100,-86,-87,-86,-100,-100,-100,-91,-100,-80,-100,-90,-90,-100,-90,-88,-87,-100,-100,-89,-91,-100,-100,-90,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-76,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-57,-80,-100,-77,-100,-69,-69,-88,-56,-57,-100,-100,-100,-74,-100,-100,-83,-100,-67,-65,-65,-100,-100,-100,-79,-78,-79,-79,-100,-83,-83,-100,-100,-100,-100,-78,-77,-69,-78,-78,-75,-100,-88,-88,-88,-77,-88,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-89,-100,-86,-69,-100,-100,-100,-78,-86,-100,-89,-100,-100,-100,-68,-100,-80,-100,-100,-100,-91,-100,-89,-100,-100,-87,-100,-100,-88,-100,-100,-88,-100,-86,-86,-86,-100,-100,-100,-100,-100,-80,-80,-100,-100,-91,-88,-90,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-81,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-58,-100,-76,-100,-100,-69,-69,-87,-58,-58,-100,-81,-80,-100,-80,-100,-100,-100,-68,-67,-67,-100,-100,-100,-78,-78,-78,-78,-100,-82,-81,-82,-100,-100,-100,-81,-81,-69,-81,-82,-69,-100,-91,-100,-100,-78,-100,-100,-100,-78,-77,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-71,-71,-100,-77,-77,-90,-69,-100,-100,-100,-100,-71,-100,-81,-100,-100,-100,-100,-100,-85,-100,-100,-89,-100,-100,-100,-100,-100,-87,-100,-89,-100,-100,-100,-100,-100,-100,-100,-83,-82,-90,-100,-100,-100,-85,-89,-100,-88,-90,-88,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
