bssid,ssid,capabilities,frequency
38:17:c3:19:45:b2,eduroam,[WPA2-EAP-CCMP][ESS],5180
72:32:b1:3e:1a:b7,,[WPA2-PSK-CCMP][ESS],5745
80:8d:b7:55:25:e1,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:01:80,csu-guest,[ESS],2437
80:8d:b7:55:25:e2,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:01:82,eduroam,[WPA2-EAP-CCMP][ESS],2437
ac:e2:d3:c4:08:e6,DIRECT-DF-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][ESS][WPS],2437
20:a6:cd:50:24:b0,csu-guest,[ESS],5240
20:a6:cd:50:24:a2,eduroam,[WPA2-EAP-CCMP][ESS],2437
72:32:b1:3e:1a:b8,,[WPA2-PSK-CCMP][ESS],2457
80:8d:b7:55:3a:41,csu-eid,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:3a:42,eduroam,[WPA2-EAP-CCMP][ESS],2412
20:a6:cd:50:24:a0,csu-guest,[ESS],2437
00:4e:35:df:06:41,eduroam,[WPA2-EAP-CCMP][ESS],2412
00:4e:35:df:06:42,csu-guest,[ESS],2412
b4:5d:50:e1:92:33,engr_labs,[WPA2-PSK-CCMP][ESS],5220
80:8d:b7:55:39:c0,csu-guest,[ESS],2412
38:17:c3:19:d7:60,csu-guest,[ESS],2462
38:17:c3:19:d7:61,csu-eid,[WPA2-EAP-CCMP][ESS],2462
b4:5d:50:e1:92:23,engr_labs,[WPA2-PSK-CCMP][ESS],2462
60:32:b1:3e:1a:b8,LIMS,[WPA2-PSK-CCMP][ESS][WPS],2457
80:8d:b7:55:3a:40,csu-guest,[ESS],2412
38:17:c3:1e:ff:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412
00:4e:35:de:e1:12,csu-guest,[ESS],5765
38:17:c3:1e:ff:00,csu-guest,[ESS],2412
60:32:b1:3e:1a:b7,LIMS,[WPA2-PSK-CCMP][ESS][WPS],5745
38:17:c3:1e:ff:02,eduroam,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:22:30,csu-guest,[ESS],5805
38:17:c3:1f:09:83,engr_labs,[WPA2-PSK-CCMP][ESS],2462
00:4e:35:de:e1:02,csu-guest,[ESS],2412
b4:5d:50:e1:96:53,engr_labs,[WPA2-PSK-CCMP][ESS],5180
b4:5d:50:e1:92:21,csu-guest,[ESS],2462
38:17:c3:19:71:90,csu-guest,[ESS],5745
b4:5d:50:e1:92:20,csu-eid,[WPA2-EAP-CCMP][ESS],2462
b4:5d:50:e1:96:51,csu-eid,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:19:71:92,eduroam,[WPA2-EAP-CCMP][ESS],5745
