ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,80:8d:b7:55:35:03,38:17:c3:1f:01:82,38:17:c3:1f:01:81,b0:be:76:f8:30:5e,80:8d:b7:55:35:01,38:17:c3:1f:01:80,80:8d:b7:55:35:02,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,38:17:c3:1f:01:90,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,38:17:c3:1f:01:92,38:17:c3:19:d7:62,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,44:48:c1:a5:82:31,38:17:c3:19:d7:71,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,38:17:c3:19:d7:70,38:17:c3:19:d7:72,44:48:c1:a5:82:21,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,44:48:c1:a5:82:30,00:4e:35:df:06:50,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,44:48:c1:a5:82:20,44:48:c1:a5:82:22,00:4e:35:df:06:42,20:a6:cd:50:24:a0,38:17:c3:19:45:b2,80:8d:b7:55:35:00,80:8d:b7:55:39:c2,80:8d:b7:55:25:e1,38:17:c3:1e:ff:02,20:a6:cd:50:24:a2,38:17:c3:19:55:50,38:17:c3:1e:ff:01,00:4e:35:df:06:40,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,38:17:c3:1e:ff:00,38:17:c3:19:45:b1,38:17:c3:1f:22:30,00:4e:35:df:06:41,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,68:ff:7b:e4:af:39,38:17:c3:19:55:52,60:32:b1:3e:1a:b8,38:17:c3:19:71:90,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:31,38:17:c3:19:55:51,b4:5d:50:e1:92:33,00:4e:35:de:e1:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:55:41,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:1f:08:41,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:1f:08:50,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,38:17:c3:1f:22:32,00:4e:35:de:d7:42,00:4e:35:de:d7:43,38:17:c3:1f:22:20,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:d7:40,00:4e:35:de:d7:41,38:17:c3:19:71:80,38:17:c3:19:71:81,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:82,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:df:0e:12,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,20:a6:cd:42:0b:e3,38:17:c3:24:4f:11,20:a6:cd:42:0b:f0,38:17:c3:1f:22:21,38:17:c3:24:4f:00,20:a6:cd:42:0b:f2,38:17:c3:19:45:a1,32:f7:72:50:57:3b,b4:5d:50:e1:96:53,38:17:c3:19:45:a0,38:17:c3:1f:00:b0,00:4e:35:df:27:01,38:17:c3:19:36:32,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:1f:09:92,00:4e:35:df:27:12,00:4e:35:df:27:02,70:56:81:c9:91:ab,00:4e:35:df:27:00,38:17:c3:1f:09:91,38:17:c3:1f:09:83,56:13:79:14:54:6d,b4:5d:50:e1:96:43,38:17:c3:19:45:a2,20:a6:cd:42:0b:f1,38:17:c3:24:4f:12,b4:5d:50:e1:96:51,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,38:17:c3:19:36:30,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,x,y,label
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,458.79999999999984,14.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,458.79999999999984,14.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,458.79999999999984,14.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,458.79999999999984,14.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,458.79999999999984,14.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-68,-85,-86,-85,-82,-82,-83,-77,-76,-77,-77,-80,-80,-100,-100,-67,-81,-100,-79,-100,-64,-100,-100,-80,-81,-64,-64,-100,-93,-81,-81,-68,-69,-75,-67,-93,-75,-67,-89,-92,-65,-67,-67,-68,-76,-100,-100,-98,-76,-77,-100,-100,-100,-100,-91,-91,-79,-92,-93,-93,-66,-65,-74,-100,-100,-83,-72,-92,-100,-100,-86,-100,-75,-100,-81,-100,-100,-92,-74,-87,-86,-94,-100,-92,-100,-85,-88,-98,-100,-100,-92,-86,-84,-87,-80,-87,-87,-80,-80,-100,-84,-87,-90,-97,-91,-92,-100,-100,-100,-95,-100,-86,-86,-87,-85,-100,-97,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-87,-83,545.0,472.99999999999983,15.0
-70,-100,-100,-89,-83,-83,-83,-75,-75,-75,-75,-67,-80,-100,-100,-66,-77,-100,-76,-100,-71,-100,-97,-78,-78,-71,-72,-100,-100,-78,-78,-72,-69,-69,-72,-89,-69,-64,-87,-89,-79,-64,-64,-72,-73,-100,-100,-100,-73,-74,-100,-100,-100,-100,-81,-78,-68,-76,-100,-100,-79,-79,-83,-100,-100,-76,-74,-81,-100,-100,-81,-100,-88,-100,-83,-100,-100,-88,-83,-100,-100,-84,-100,-94,-95,-81,-100,-89,-100,-100,-100,-95,-81,-95,-80,-97,-98,-83,-79,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-89,-90,-84,-84,-85,-84,-100,-97,-94,-100,-97,-95,-93,-91,-100,-94,-97,-97,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-83,-100,-100,-100,-90,-83,-84,545.0,487.1999999999998,16.0
-70,-100,-96,-89,-84,-86,-84,-75,-75,-75,-75,-74,-76,-100,-100,-65,-77,-100,-77,-100,-72,-100,-95,-78,-78,-72,-73,-100,-100,-78,-78,-72,-68,-68,-71,-90,-75,-67,-88,-90,-78,-67,-67,-71,-73,-100,-100,-100,-73,-73,-100,-100,-100,-100,-81,-83,-74,-81,-100,-97,-85,-79,-83,-100,-100,-76,-80,-81,-100,-100,-82,-100,-88,-100,-83,-100,-100,-88,-84,-100,-100,-84,-100,-97,-100,-82,-100,-91,-100,-100,-96,-92,-81,-93,-82,-95,-96,-85,-82,-96,-85,-85,-86,-100,-100,-100,-100,-100,-100,-90,-90,-84,-84,-84,-85,-100,-94,-97,-100,-97,-92,-95,-93,-100,-93,-100,-100,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-85,-100,-100,-100,-91,-100,-100,-100,-100,-100,-98,-100,-100,-100,-98,-94,-100,-100,-100,-83,-100,-100,-100,-92,-83,-84,545.0,487.1999999999998,16.0
-70,-100,-96,-89,-84,-86,-83,-75,-75,-75,-76,-74,-81,-100,-100,-66,-77,-100,-77,-100,-72,-100,-95,-78,-78,-72,-72,-100,-100,-78,-78,-72,-68,-69,-71,-90,-75,-65,-88,-90,-79,-65,-65,-71,-73,-100,-100,-100,-73,-73,-100,-100,-100,-100,-81,-79,-74,-81,-100,-97,-80,-80,-83,-100,-100,-77,-80,-81,-100,-100,-82,-100,-88,-100,-83,-100,-100,-88,-83,-100,-100,-85,-100,-97,-95,-82,-100,-91,-100,-100,-96,-95,-81,-95,-81,-97,-98,-84,-81,-96,-85,-86,-86,-100,-100,-100,-100,-100,-100,-89,-90,-83,-84,-84,-84,-100,-97,-97,-100,-97,-95,-93,-91,-100,-97,-97,-97,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-96,-100,-100,-100,-96,-96,-100,-100,-100,-89,-100,-100,-100,-90,-89,-90,545.0,487.1999999999998,16.0
-70,-100,-96,-89,-84,-86,-84,-75,-75,-75,-75,-74,-76,-100,-100,-65,-77,-100,-77,-100,-72,-100,-95,-78,-78,-72,-73,-100,-100,-78,-78,-72,-68,-68,-71,-90,-75,-67,-88,-90,-78,-67,-67,-71,-73,-100,-100,-100,-73,-73,-100,-100,-100,-100,-81,-83,-74,-81,-100,-97,-85,-79,-83,-100,-100,-76,-80,-81,-100,-100,-82,-100,-88,-100,-83,-100,-100,-88,-84,-100,-100,-84,-100,-97,-100,-82,-100,-91,-100,-100,-96,-92,-81,-93,-82,-95,-96,-85,-82,-96,-85,-85,-86,-100,-100,-100,-100,-100,-100,-90,-90,-84,-84,-84,-85,-100,-94,-97,-100,-97,-92,-95,-93,-100,-93,-100,-100,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-85,-100,-100,-100,-91,-100,-100,-100,-100,-100,-98,-100,-100,-100,-98,-94,-100,-100,-100,-83,-100,-100,-100,-92,-83,-84,545.0,487.1999999999998,16.0
-70,-100,-96,-89,-84,-87,-83,-75,-76,-75,-76,-73,-79,-100,-100,-67,-78,-100,-82,-100,-72,-100,-93,-78,-78,-72,-72,-100,-100,-78,-77,-72,-68,-69,-72,-90,-75,-63,-88,-89,-80,-63,-63,-72,-73,-100,-100,-100,-74,-73,-100,-100,-100,-100,-81,-78,-74,-81,-100,-97,-75,-80,-83,-100,-100,-77,-74,-81,-100,-100,-82,-100,-88,-100,-84,-100,-100,-88,-83,-100,-100,-85,-100,-97,-95,-81,-100,-91,-100,-100,-96,-97,-81,-97,-81,-100,-100,-84,-81,-96,-86,-86,-87,-100,-100,-100,-100,-100,-100,-89,-91,-83,-83,-84,-83,-100,-100,-97,-100,-97,-97,-90,-90,-100,-97,-94,-94,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-96,-100,-100,-100,-96,-96,-100,-100,-100,-89,-100,-100,-100,-90,-89,-90,545.0,487.1999999999998,16.0
-70,-100,-96,-92,-83,-86,-83,-77,-77,-77,-77,-72,-85,-100,-100,-67,-83,-100,-82,-100,-71,-100,-93,-77,-77,-70,-71,-100,-100,-76,-76,-72,-68,-69,-72,-87,-75,-62,-88,-87,-74,-62,-62,-72,-73,-100,-100,-100,-74,-73,-100,-100,-100,-100,-81,-82,-80,-81,-100,-97,-74,-75,-79,-100,-100,-78,-73,-81,-100,-100,-82,-100,-84,-100,-85,-100,-100,-87,-79,-100,-100,-85,-100,-97,-91,-81,-100,-91,-100,-100,-96,-100,-80,-100,-80,-100,-100,-80,-80,-96,-86,-83,-83,-100,-100,-100,-100,-100,-100,-89,-91,-84,-84,-85,-84,-100,-100,-97,-100,-100,-100,-92,-92,-100,-97,-94,-94,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-96,-100,-100,-100,-96,-96,-100,-100,-100,-89,-100,-100,-100,-90,-89,-90,545.0,487.1999999999998,16.0
-71,-100,-96,-92,-86,-89,-86,-78,-77,-77,-78,-80,-78,-100,-100,-64,-80,-100,-84,-100,-72,-100,-96,-75,-78,-72,-73,-100,-97,-75,-75,-73,-72,-73,-73,-87,-79,-63,-87,-86,-86,-63,-63,-73,-78,-100,-100,-100,-78,-78,-100,-100,-100,-100,-88,-96,-80,-95,-100,-97,-81,-81,-76,-100,-100,-80,-75,-92,-100,-100,-83,-100,-85,-100,-81,-100,-100,-89,-76,-100,-100,-94,-100,-92,-88,-83,-100,-93,-100,-100,-78,-100,-82,-100,-85,-100,-100,-84,-85,-91,-81,-81,-85,-100,-100,-100,-100,-100,-100,-85,-95,-85,-85,-86,-86,-100,-97,-100,-100,-100,-97,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-95,-100,-100,-100,-94,-98,-100,-100,-100,-93,-100,-100,-100,-90,-93,-93,545.0,501.3999999999998,17.0
