72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,38:17:c3:1f:14:00,38:17:c3:1f:14:01,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:12,44:48:c1:91:d0:11,b4:5d:50:e1:96:43,44:48:c1:91:d0:10,44:48:c1:91:d0:14,b4:5d:50:e1:96:40,44:48:c1:91:d0:00,b4:5d:50:e1:96:41,44:48:c1:91:d0:01,44:48:c1:91:d0:02,44:48:c1:91:d0:04,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:1f:09:83,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:14:10,38:17:c3:1f:09:81,38:17:c3:19:45:a0,38:17:c3:1f:14:12,38:17:c3:24:47:52,44:48:c1:91:95:b3,38:17:c3:24:47:50,38:17:c3:24:47:51,44:48:c1:91:95:b2,44:48:c1:91:95:b0,a8:bd:27:4c:aa:93,20:a6:cd:42:13:e2,38:17:c3:19:45:b1,44:48:c1:91:95:b1,38:17:c3:19:45:b0,a8:bd:27:4c:aa:92,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:aa:22,a8:bd:27:4c:aa:90,38:17:c3:1f:19:d0,20:a6:cd:42:13:f0,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,44:48:c1:91:95:a3,38:17:c3:1f:09:80,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,44:48:c1:91:95:a2,44:48:c1:91:aa:20,a8:bd:27:4c:aa:82,44:48:c1:91:aa:21,44:48:c1:91:aa:30,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a1,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:80,38:17:c3:22:61:90,44:48:c1:91:95:a0,ac:e2:d3:c4:08:e6,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:f1,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:10,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:35:12,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,38:17:c3:19:71:90,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:36:21,80:8d:b7:55:29:c0,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,38:17:c3:1e:ff:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,00:4e:35:df:06:40,00:4e:35:df:06:50,80:8d:b7:55:29:d1,20:a6:cd:50:24:b0,00:4e:35:df:06:52,38:17:c3:19:71:91,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:42,38:17:c3:1f:22:30,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:22:21,38:17:c3:1f:22:22,x,y,label
-74,-73,-76,-61,-61,-61,-61,-60,-60,-100,-72,-71,-72,-100,-100,-100,-85,-86,-100,-86,-85,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-75,-100,-100,-76,-100,-86,-76,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-90,-100,-100,-91,-100,-100,-79,-100,-100,-100,-84,-100,-84,-84,-100,-100,-81,-100,-86,-87,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-75,-73,-76,-62,-62,-61,-60,-60,-60,-100,-72,-71,-72,-100,-100,-100,-86,-87,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-75,-100,-87,-76,-100,-100,-76,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-91,-100,-100,-78,-100,-100,-100,-92,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-83,-100,-100,-100,-79,-100,-86,-87,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-71,-75,-77,-62,-62,-61,-60,-60,-60,-100,-72,-71,-72,-100,-100,-100,-86,-86,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-75,-79,-87,-76,-100,-100,-77,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-90,-100,-100,-77,-100,-100,-100,-90,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-71,-70,-79,-62,-62,-62,-60,-60,-60,-89,-73,-71,-73,-100,-100,-100,-86,-87,-89,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-79,-100,-77,-100,-89,-77,-100,-100,-100,-100,-100,-100,-91,-100,-92,-100,-89,-100,-100,-100,-100,-100,-100,-90,-100,-100,-77,-100,-100,-100,-90,-100,-100,-100,-100,-100,-84,-100,-100,-88,-100,-100,-84,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-71,-70,-79,-61,-61,-62,-63,-63,-63,-100,-73,-72,-73,-86,-87,-87,-100,-91,-100,-100,-90,-100,-100,-100,-100,-100,-87,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-77,-83,-100,-76,-100,-100,-77,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-85,-100,-86,-100,-100,-100,-85,-100,-100,-78,-100,-100,-100,-89,-100,-100,-88,-100,-100,-81,-100,-100,-86,-85,-100,-81,-80,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-71,-80,-62,-62,-62,-63,-64,-63,-87,-73,-72,-73,-86,-87,-87,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-76,-100,-100,-76,-100,-100,-76,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-91,-85,-100,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-88,-100,-88,-89,-100,-100,-80,-100,-100,-100,-100,-100,-79,-80,-100,-100,-80,-100,-100,-100,-88,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-69,-71,-80,-62,-62,-62,-65,-66,-64,-85,-73,-72,-73,-87,-100,-89,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-74,-85,-100,-76,-100,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-91,-84,-100,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-89,-90,-88,-89,-100,-100,-80,-100,-100,-100,-100,-100,-79,-80,-100,-100,-80,-100,-100,-100,-88,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-71,-80,-62,-62,-61,-65,-65,-65,-85,-72,-72,-73,-87,-100,-89,-100,-92,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-74,-85,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-85,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-89,-90,-90,-89,-100,-100,-80,-100,-100,-100,-100,-100,-79,-80,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-71,-80,-61,-62,-61,-65,-64,-64,-100,-71,-71,-100,-100,-100,-100,-100,-92,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-76,-100,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-83,-100,-100,-100,-84,-100,-100,-80,-100,-100,-100,-89,-89,-90,-89,-100,-100,-78,-100,-100,-100,-100,-100,-79,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-71,-80,-61,-62,-62,-64,-63,-64,-100,-71,-71,-71,-100,-100,-100,-100,-89,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-76,-83,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-84,-100,-100,-100,-84,-100,-100,-80,-100,-100,-100,-89,-89,-89,-89,-100,-100,-78,-100,-100,-100,-100,-100,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-80,-79,-78,-56,-57,-56,-55,-56,-56,-89,-73,-72,-73,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-75,-84,-100,-75,-100,-82,-75,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-88,-87,-87,-87,-100,-100,-100,-85,-100,-100,-78,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-84,-100,-100,-100,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-80,-77,-77,-56,-56,-56,-55,-55,-56,-89,-73,-72,-73,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-74,-84,-100,-75,-100,-81,-75,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-87,-86,-87,-85,-100,-100,-100,-85,-100,-100,-78,-100,-100,-100,-90,-100,-100,-100,-100,-100,-82,-100,-100,-82,-80,-100,-82,-83,-100,-100,-81,-100,-84,-84,-88,-83,-84,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-73,-78,-56,-56,-56,-55,-55,-55,-89,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-83,-100,-75,-100,-81,-75,-100,-100,-100,-100,-100,-100,-86,-100,-88,-100,-89,-86,-89,-86,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-82,-100,-100,-81,-81,-100,-83,-83,-100,-100,-83,-100,-86,-84,-92,-85,-83,-100,-87,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-74,-78,-56,-56,-56,-55,-54,-55,-100,-72,-72,-73,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-83,-100,-75,-100,-81,-74,-100,-100,-100,-100,-100,-100,-86,-100,-87,-100,-87,-86,-87,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-89,-100,-100,-88,-100,-100,-82,-100,-100,-81,-81,-100,-83,-83,-100,-100,-100,-100,-86,-84,-92,-85,-83,-100,-100,-94,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-74,-78,-55,-54,-55,-55,-54,-55,-100,-73,-72,-72,-100,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-83,-100,-74,-100,-100,-74,-100,-100,-100,-100,-100,-100,-86,-100,-87,-100,-87,-86,-86,-86,-100,-100,-100,-87,-100,-100,-78,-100,-100,-100,-89,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-100,-79,-55,-56,-55,-55,-54,-54,-100,-73,-72,-74,-100,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-82,-100,-75,-100,-83,-75,-100,-100,-100,-100,-100,-100,-86,-100,-87,-100,-87,-86,-86,-86,-100,-100,-100,-87,-100,-100,-78,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-83,-100,-85,-85,-90,-84,-85,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-74,-83,-50,-51,-51,-48,-48,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-84,-100,-81,-100,-77,-81,-100,-100,-100,-100,-100,-100,-90,-100,-89,-100,-88,-100,-90,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-74,-82,-49,-49,-48,-49,-50,-50,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-86,-100,-80,-100,-77,-79,-100,-100,-100,-100,-100,-100,-90,-100,-87,-100,-87,-100,-87,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-76,-100,-100,-100,-88,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-77,-78,-83,-52,-50,-51,-49,-50,-49,-100,-77,-79,-78,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-86,-100,-80,-100,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-87,-100,-87,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-88,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-77,-74,-83,-52,-52,-51,-49,-49,-49,-100,-77,-79,-78,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-84,-100,-79,-100,-77,-79,-100,-100,-100,-100,-100,-100,-88,-100,-88,-100,-86,-100,-87,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-79,-84,-52,-52,-51,-48,-48,-49,-100,-100,-100,-100,-100,-100,-100,-89,-87,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-80,-84,-100,-81,-100,-77,-80,-100,-100,-100,-100,-100,-100,-88,-100,-88,-100,-87,-100,-87,-100,-100,-100,-100,-90,-100,-100,-84,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-77,-100,-81,-100,-100,-80,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-81,-84,-52,-51,-51,-48,-48,-48,-89,-77,-77,-78,-100,-100,-100,-89,-87,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-80,-84,-100,-80,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-86,-100,-88,-100,-100,-100,-100,-90,-100,-100,-84,-100,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-80,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
