38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:19:45:b2,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,a8:bd:27:4c:aa:83,20:a6:cd:42:0a:c3,38:17:c3:1f:00:b0,38:17:c3:1f:14:00,60:32:b1:3e:1a:b7,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:91,44:48:c1:91:d0:04,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:d2,38:17:c3:24:47:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:24:47:50,b4:5d:50:e1:96:50,44:48:c1:91:d0:01,38:17:c3:1f:19:d0,38:17:c3:1f:14:02,38:17:c3:1f:09:90,38:17:c3:1f:14:11,38:17:c3:19:45:b1,38:17:c3:1f:14:10,38:17:c3:1f:14:01,b4:5d:50:e1:96:41,b4:5d:50:e1:96:40,38:17:c3:19:45:b0,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:d0:02,a8:bd:27:4c:aa:93,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,a8:bd:27:4c:aa:90,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,44:48:c1:91:95:a3,38:17:c3:19:45:a1,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:80,38:17:c3:1f:14:12,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:92,44:48:c1:91:95:b1,44:48:c1:91:95:b3,a8:bd:27:4c:aa:91,38:17:c3:1f:09:83,44:48:c1:91:95:b0,20:a6:cd:42:0a:c2,44:48:c1:91:95:b2,44:48:c1:91:d0:00,38:17:c3:1f:09:82,38:17:c3:1f:09:81,38:17:c3:1f:09:80,44:48:c1:91:95:a2,44:48:c1:91:95:a0,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:19:d7:70,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,20:a6:cd:42:13:f0,44:48:c1:91:aa:30,38:17:c3:24:56:50,ac:e2:d3:c4:08:e6,20:a6:cd:42:13:f1,20:a6:cd:42:0b:e3,38:17:c3:22:61:90,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:1f:19:f0,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,08:36:c9:53:bf:8b,38:17:c3:19:d7:72,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,68:ff:7b:e4:af:39,38:17:c3:1e:ff:10,80:8d:b7:55:3a:52,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,38:17:c3:19:71:90,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:36:22,38:17:c3:19:36:21,20:a6:cd:50:24:a0,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:02,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:71:80,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:19:71:81,80:8d:b7:55:39:c2,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:40,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:22:30,38:17:c3:1f:22:32,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,00:4e:35:df:06:42,00:4e:35:df:06:51,38:17:c3:1f:22:31,20:a6:cd:50:24:b1,00:4e:35:de:e1:12,00:4e:35:df:06:41,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:01,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,38:17:c3:1f:0e:01,x,y,label
-57,-57,-46,-46,-81,-78,-76,-85,-83,-46,-100,-79,-100,-88,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-78,-81,-79,-100,-100,-100,-81,-86,-87,-100,-100,-84,-57,-88,-83,-100,-100,-100,-85,-86,-100,-100,-100,-100,-87,-84,-78,-100,-84,-100,-100,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-83,-100,-100,-100,-100,-82,-88,-100,-100,-87,-87,-100,-100,-100,-81,-100,-100,-82,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-55,-55,-46,-46,-81,-100,-76,-70,-83,-46,-80,-80,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-89,-79,-81,-79,-80,-100,-100,-82,-100,-87,-88,-100,-84,-55,-86,-82,-100,-82,-92,-85,-85,-100,-100,-100,-100,-87,-100,-79,-100,-85,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-82,-100,-82,-100,-100,-100,-100,-82,-88,-86,-87,-87,-89,-100,-87,-82,-83,-83,-100,-81,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-53,-53,-47,-47,-81,-78,-76,-83,-88,-47,-80,-79,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-84,-76,-81,-77,-79,-100,-100,-81,-100,-100,-100,-100,-84,-54,-100,-85,-100,-79,-90,-86,-86,-100,-100,-100,-78,-90,-87,-76,-100,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-84,-100,-100,-100,-100,-100,-77,-100,-83,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-100,-100,-100,-85,-86,-100,-84,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-55,-54,-47,-47,-81,-80,-76,-86,-89,-47,-81,-78,-83,-84,-83,-100,-100,-92,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-83,-76,-81,-77,-81,-100,-100,-82,-100,-100,-100,-100,-86,-55,-100,-87,-100,-78,-90,-86,-86,-100,-100,-100,-78,-90,-87,-76,-100,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-84,-100,-100,-100,-100,-100,-86,-100,-81,-100,-100,-100,-88,-84,-87,-86,-87,-85,-87,-100,-100,-84,-85,-86,-100,-83,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-54,-55,-47,-47,-81,-76,-78,-86,-89,-47,-81,-78,-83,-83,-84,-100,-91,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-83,-76,-81,-77,-81,-100,-100,-81,-100,-100,-100,-100,-86,-54,-100,-85,-100,-78,-100,-86,-86,-100,-100,-100,-80,-100,-86,-77,-100,-85,-100,-100,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-73,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-81,-100,-100,-100,-88,-83,-88,-86,-87,-85,-88,-100,-100,-84,-84,-84,-100,-83,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-54,-54,-47,-48,-81,-76,-73,-78,-90,-47,-81,-78,-83,-84,-84,-100,-91,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-77,-81,-77,-81,-100,-100,-81,-100,-100,-100,-100,-85,-55,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-80,-90,-86,-77,-100,-85,-100,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-83,-87,-86,-87,-86,-88,-100,-100,-100,-84,-84,-100,-83,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-55,-55,-47,-47,-81,-100,-73,-87,-91,-47,-100,-79,-84,-84,-84,-100,-100,-89,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-77,-82,-77,-100,-100,-100,-81,-100,-100,-100,-100,-84,-55,-100,-85,-100,-100,-100,-86,-100,-100,-100,-100,-79,-90,-100,-77,-100,-85,-100,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-83,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-88,-85,-87,-85,-87,-100,-100,-100,-85,-100,-100,-83,-87,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-55,-55,-47,-47,-81,-82,-77,-65,-85,-47,-100,-78,-84,-83,-83,-100,-100,-89,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-77,-81,-77,-100,-100,-100,-81,-100,-100,-100,-100,-84,-55,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-77,-100,-86,-100,-100,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-83,-100,-100,-100,-100,-100,-80,-100,-84,-100,-100,-100,-100,-83,-88,-85,-86,-86,-88,-100,-100,-100,-85,-86,-100,-84,-87,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-47,-47,-49,-49,-83,-100,-73,-82,-100,-49,-84,-83,-100,-87,-87,-89,-100,-90,-92,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-78,-83,-79,-83,-100,-100,-83,-100,-87,-100,-100,-86,-47,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-78,-78,-100,-87,-100,-100,-87,-81,-100,-100,-100,-100,-88,-88,-100,-100,-100,-85,-100,-100,-100,-79,-100,-100,-100,-100,-100,-81,-100,-84,-100,-100,-100,-100,-79,-87,-100,-100,-100,-87,-100,-100,-100,-80,-100,-100,-78,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-46,-46,-49,-49,-81,-100,-73,-86,-100,-49,-84,-83,-100,-86,-87,-89,-100,-89,-92,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-88,-78,-81,-79,-82,-100,-100,-81,-100,-86,-100,-100,-87,-47,-100,-87,-100,-100,-94,-85,-86,-100,-100,-100,-84,-100,-86,-79,-100,-87,-100,-100,-87,-87,-100,-100,-100,-100,-87,-88,-88,-100,-100,-85,-100,-100,-100,-80,-100,-100,-100,-100,-100,-80,-100,-63,-100,-100,-100,-100,-81,-87,-100,-100,-100,-87,-100,-100,-100,-80,-100,-100,-80,-86,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-46,-46,-48,-48,-82,-100,-78,-87,-86,-48,-100,-83,-100,-88,-87,-100,-92,-92,-91,-100,-90,-100,-91,-91,-100,-100,-100,-100,-100,-92,-100,-100,-82,-86,-78,-81,-78,-82,-100,-100,-81,-100,-87,-100,-100,-87,-46,-100,-88,-100,-82,-94,-87,-87,-100,-100,-100,-100,-100,-87,-78,-100,-87,-100,-100,-87,-84,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-77,-100,-82,-100,-100,-100,-88,-78,-85,-100,-100,-85,-86,-100,-100,-80,-80,-80,-100,-79,-85,-86,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-46,-46,-49,-49,-81,-80,-76,-88,-90,-49,-100,-81,-86,-87,-88,-100,-92,-92,-91,-100,-90,-100,-91,-91,-100,-100,-100,-100,-100,-92,-100,-100,-100,-87,-78,-80,-79,-100,-100,-100,-81,-100,-88,-100,-100,-100,-46,-88,-88,-100,-82,-100,-88,-87,-100,-100,-100,-82,-100,-87,-79,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-86,-87,-100,-100,-82,-83,-100,-100,-81,-100,-100,-100,-100,-100,-81,-100,-83,-100,-100,-100,-88,-80,-86,-87,-86,-86,-85,-100,-100,-80,-81,-80,-100,-81,-85,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-46,-46,-49,-49,-81,-81,-80,-85,-90,-49,-82,-83,-87,-87,-88,-100,-100,-92,-100,-100,-92,-100,-100,-91,-100,-100,-100,-100,-100,-93,-100,-100,-80,-87,-76,-81,-76,-81,-100,-100,-81,-100,-88,-100,-100,-87,-47,-88,-88,-100,-100,-100,-88,-100,-100,-100,-100,-82,-100,-87,-76,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-86,-87,-100,-100,-82,-82,-100,-100,-80,-100,-100,-100,-100,-100,-78,-100,-84,-100,-100,-100,-100,-80,-86,-87,-86,-86,-86,-100,-100,-80,-81,-81,-100,-79,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-46,-46,-49,-49,-81,-81,-80,-85,-91,-48,-81,-83,-86,-86,-87,-100,-100,-93,-100,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-91,-100,-100,-81,-86,-77,-81,-77,-81,-100,-100,-81,-100,-100,-100,-100,-87,-47,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-81,-100,-100,-77,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-86,-87,-88,-100,-100,-81,-82,-100,-100,-79,-100,-100,-100,-100,-100,-80,-100,-83,-100,-100,-100,-100,-79,-86,-100,-100,-100,-86,-100,-100,-81,-81,-81,-100,-79,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-55,-55,-49,-49,-80,-100,-78,-83,-100,-49,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-78,-80,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100,-55,-100,-90,-100,-100,-96,-100,-100,-100,-100,-100,-75,-93,-82,-78,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-84,-100,-100,-100,-100,-100,-81,-100,-76,-100,-100,-100,-85,-84,-86,-100,-100,-100,-85,-87,-86,-100,-81,-100,-100,-83,-85,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-54,-54,-49,-49,-80,-100,-78,-84,-90,-49,-79,-84,-100,-87,-100,-92,-100,-92,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-76,-80,-77,-78,-100,-100,-80,-100,-91,-100,-100,-100,-55,-100,-90,-100,-100,-96,-84,-82,-100,-100,-100,-75,-93,-84,-77,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-76,-100,-100,-83,-100,-100,-100,-100,-100,-81,-100,-77,-100,-100,-100,-85,-82,-85,-100,-100,-100,-85,-87,-86,-81,-81,-76,-100,-83,-85,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-55,-54,-49,-49,-78,-100,-77,-82,-90,-49,-79,-84,-100,-90,-100,-90,-100,-93,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-76,-79,-77,-78,-100,-100,-79,-100,-91,-100,-100,-89,-55,-100,-100,-100,-85,-100,-85,-82,-100,-100,-100,-76,-100,-84,-76,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-84,-100,-100,-100,-100,-100,-72,-100,-74,-100,-100,-100,-87,-84,-86,-100,-100,-100,-87,-86,-87,-80,-80,-81,-100,-83,-86,-86,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-55,-55,-51,-51,-80,-100,-77,-84,-85,-48,-79,-84,-100,-88,-100,-90,-100,-91,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-80,-78,-100,-100,-100,-79,-100,-100,-100,-100,-89,-55,-100,-100,-100,-85,-100,-82,-82,-100,-100,-100,-76,-100,-83,-78,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-83,-100,-100,-100,-100,-100,-62,-100,-75,-100,-100,-100,-87,-84,-84,-84,-83,-84,-85,-86,-87,-80,-80,-81,-100,-84,-85,-84,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-55,-55,-54,-54,-80,-76,-77,-84,-85,-52,-80,-84,-86,-87,-85,-100,-100,-89,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-86,-79,-80,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-55,-88,-100,-100,-100,-88,-83,-82,-100,-100,-100,-100,-100,-84,-79,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-81,-100,-100,-100,-100,-100,-84,-100,-78,-100,-100,-100,-88,-81,-83,-84,-83,-84,-84,-100,-100,-100,-80,-100,-100,-82,-83,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
