b0:be:76:f8:30:5e,44:48:c1:a5:82:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,00:4e:35:df:06:51,00:4e:35:df:06:50,ea:9e:b4:53:24:54,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:25:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f0,80:8d:b7:55:39:d0,00:4e:35:df:06:52,80:8d:b7:55:35:10,38:17:c3:19:d7:70,44:48:c1:a5:82:21,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:71:90,44:48:c1:a5:82:22,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:23,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:39:c2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:19:45:b1,20:a6:cd:50:24:b1,b4:5d:50:e1:92:33,b4:5d:50:e1:92:22,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:1e:ff:10,44:48:c1:a5:82:20,20:a6:cd:50:24:b0,b4:5d:50:e1:92:21,b8:27:eb:9f:6b:77,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:35:02,38:17:c3:19:d7:62,38:17:c3:19:d7:61,60:32:b1:3e:1a:b7,38:17:c3:1f:01:81,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,38:17:c3:19:55:52,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:19:45:a0,38:17:c3:19:55:50,66:2a:2f:53:7c:99,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:39:c1,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1f:01:82,68:ff:7b:e4:af:38,20:a6:cd:50:24:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,38:17:c3:1f:01:80,b4:5d:50:e1:92:31,00:4e:35:df:06:42,b4:5d:50:e1:96:43,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,00:4e:35:df:06:41,b4:5d:50:e1:92:20,38:17:c3:1f:09:83,72:32:b1:3e:1a:b7,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,38:17:c3:19:55:42,38:17:c3:19:55:41,b4:5d:50:e1:92:32,38:17:c3:19:55:40,00:4e:35:df:06:40,00:4e:35:de:e1:12,38:17:c3:1f:22:30,00:4e:35:de:e1:10,00:4e:35:de:e1:00,00:4e:35:de:e1:11,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,44:48:c1:91:95:b3,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:50,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,3e:33:00:4a:90:c1,00:4e:35:de:d7:52,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:53,00:4e:35:de:d7:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1f:22:22,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,38:17:c3:19:36:31,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:19:71:81,38:17:c3:1e:fc:a0,38:17:c3:19:71:82,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,00:4e:35:df:27:01,38:17:c3:24:58:a0,00:4e:35:df:27:00,38:17:c3:24:4f:01,00:4e:35:df:27:02,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:a1,00:4e:35:de:d7:41,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,label
-67,-64,-77,-77,-77,-70,-69,-72,-72,-69,-64,-64,-69,-68,-74,-83,-83,-77,-70,-72,-68,-83,-66,-64,-64,-64,-79,-85,-66,-68,-100,-100,-90,-78,-75,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-66,-94,-100,-40,-73,-71,-73,-100,-100,-85,-100,-100,-100,-100,-100,-81,-100,-100,-85,-100,-100,-100,-86,-77,-77,-61,-67,-64,-100,-86,-100,-81,-100,-62,-65,-100,-79,-75,-100,-100,-100,-76,-82,-100,-85,-100,-100,-80,-100,-79,-100,-100,-77,-85,-78,-78,-77,-100,-85,-85,-85,-100,-73,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-94,-100,-100,-89,-100,-100,-100,-100,-100,-100,-79,-88,-78,-79,-79,-100,-88,-100,-100,-91,-90,-91,-86,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-62,-64,-77,-77,-77,-68,-68,-72,-71,-66,-64,-64,-70,-70,-75,-82,-83,-77,-68,-72,-70,-82,-66,-64,-64,-64,-77,-87,-65,-69,-77,-77,-90,-85,-77,-74,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-66,-100,-81,-37,-80,-73,-73,-85,-100,-86,-100,-100,-100,-100,-82,-82,-100,-100,-85,-100,-100,-82,-86,-77,-77,-62,-65,-66,-100,-100,-100,-86,-100,-62,-65,-100,-79,-75,-100,-100,-100,-76,-81,-100,-100,-100,-100,-80,-77,-79,-77,-100,-79,-86,-77,-78,-78,-100,-85,-85,-85,-86,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-94,-90,-100,-88,-100,-100,-100,-100,-100,-100,-79,-91,-79,-79,-79,-89,-87,-100,-100,-91,-77,-91,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-67,-64,-77,-77,-77,-69,-68,-72,-72,-69,-64,-64,-70,-70,-74,-82,-83,-78,-69,-72,-69,-82,-67,-64,-64,-64,-77,-87,-66,-70,-77,-79,-88,-85,-77,-74,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-66,-93,-81,-36,-80,-72,-100,-85,-100,-86,-100,-100,-100,-100,-83,-82,-100,-100,-85,-100,-100,-83,-84,-77,-77,-62,-65,-66,-100,-100,-100,-86,-83,-61,-65,-100,-80,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-77,-79,-77,-75,-77,-87,-76,-100,-76,-100,-84,-86,-85,-86,-79,-81,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-90,-100,-88,-100,-100,-100,-100,-100,-100,-79,-91,-79,-79,-79,-89,-87,-100,-100,-100,-77,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-61,-70,-74,-73,-74,-64,-64,-69,-69,-66,-70,-70,-68,-68,-76,-83,-83,-74,-64,-69,-68,-84,-65,-62,-62,-62,-79,-84,-65,-68,-79,-78,-77,-85,-76,-77,-76,-100,-100,-62,-100,-90,-100,-100,-100,-90,-85,-100,-77,-100,-90,-65,-93,-84,-39,-72,-70,-74,-86,-83,-82,-100,-100,-100,-100,-78,-77,-100,-71,-84,-100,-100,-78,-80,-100,-100,-62,-67,-100,-100,-100,-100,-85,-100,-60,-100,-100,-85,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-85,-100,-100,-76,-83,-77,-78,-76,-100,-83,-83,-84,-84,-100,-80,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-90,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-64,-72,-74,-74,-74,-64,-64,-71,-71,-66,-72,-72,-67,-68,-76,-84,-83,-74,-64,-71,-68,-83,-66,-62,-62,-62,-79,-84,-66,-68,-79,-78,-82,-84,-76,-77,-76,-87,-87,-63,-100,-90,-100,-100,-100,-91,-85,-83,-77,-88,-90,-65,-90,-84,-36,-72,-71,-74,-85,-83,-82,-100,-100,-100,-100,-78,-78,-100,-71,-84,-100,-100,-78,-80,-76,-76,-63,-66,-67,-100,-100,-90,-84,-100,-62,-67,-100,-85,-74,-100,-100,-100,-73,-83,-100,-100,-100,-100,-100,-100,-85,-100,-74,-73,-83,-74,-78,-74,-100,-83,-83,-84,-84,-100,-79,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-89,-84,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-62,-72,-74,-74,-72,-64,-63,-70,-70,-67,-72,-72,-68,-68,-76,-84,-83,-74,-64,-70,-68,-84,-65,-62,-61,-61,-79,-100,-65,-68,-100,-100,-82,-84,-76,-77,-100,-87,-87,-63,-100,-90,-100,-100,-100,-90,-83,-83,-100,-88,-90,-65,-90,-100,-36,-100,-71,-100,-85,-100,-81,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-80,-76,-76,-63,-66,-67,-100,-83,-90,-80,-100,-60,-67,-100,-83,-74,-100,-100,-100,-74,-100,-100,-82,-100,-100,-100,-100,-82,-100,-73,-75,-83,-76,-100,-75,-100,-77,-83,-85,-85,-100,-79,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-89,-83,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-63,-70,-74,-74,-74,-64,-64,-69,-69,-66,-70,-70,-68,-68,-76,-84,-83,-74,-65,-69,-68,-85,-65,-62,-61,-61,-100,-84,-64,-68,-79,-78,-100,-83,-76,-77,-100,-89,-87,-62,-100,-100,-100,-100,-100,-90,-84,-100,-100,-89,-100,-65,-89,-100,-35,-75,-75,-76,-100,-100,-81,-100,-100,-100,-100,-77,-77,-100,-75,-100,-100,-100,-78,-79,-76,-76,-63,-67,-67,-100,-83,-90,-83,-83,-63,-67,-100,-83,-74,-100,-100,-100,-74,-84,-100,-82,-100,-100,-100,-100,-82,-100,-73,-76,-82,-76,-79,-75,-100,-83,-83,-86,-85,-79,-79,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-87,-88,-100,-100,-100,-100,-84,-87,-84,-85,-84,-100,-100,-100,-100,-100,-100,-90,-90,-100,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-62,-71,-75,-75,-75,-65,-65,-70,-70,-66,-71,-71,-68,-68,-76,-84,-84,-75,-65,-70,-69,-85,-65,-61,-62,-62,-100,-84,-65,-70,-78,-78,-86,-83,-76,-100,-100,-89,-87,-62,-100,-100,-100,-100,-100,-92,-83,-83,-100,-89,-100,-100,-91,-100,-35,-76,-71,-76,-100,-100,-82,-100,-100,-100,-100,-77,-77,-100,-76,-100,-100,-100,-78,-79,-75,-75,-62,-64,-67,-100,-100,-91,-84,-83,-62,-66,-100,-83,-74,-100,-100,-100,-74,-84,-100,-82,-100,-100,-100,-100,-82,-100,-74,-75,-83,-76,-79,-75,-100,-83,-84,-86,-85,-79,-79,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-87,-88,-100,-100,-100,-100,-84,-88,-84,-83,-84,-100,-100,-100,-100,-91,-90,-90,-90,-100,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-63,-72,-74,-74,-74,-65,-65,-69,-69,-65,-72,-72,-68,-67,-77,-84,-85,-75,-65,-69,-68,-84,-65,-62,-61,-61,-100,-100,-65,-68,-78,-77,-84,-100,-77,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-91,-83,-83,-100,-100,-100,-65,-91,-100,-37,-77,-65,-76,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-81,-77,-76,-64,-64,-67,-100,-85,-93,-86,-100,-61,-66,-100,-84,-74,-100,-100,-100,-74,-100,-100,-83,-100,-100,-100,-100,-84,-100,-74,-82,-83,-78,-80,-77,-100,-83,-84,-85,-100,-79,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-82,-88,-82,-82,-82,-100,-100,-100,-100,-91,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-63,-69,-79,-79,-79,-64,-63,-72,-100,-71,-69,-69,-76,-76,-100,-82,-82,-79,-64,-72,-76,-83,-100,-59,-60,-60,-100,-83,-74,-77,-80,-100,-69,-83,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-74,-100,-100,-43,-76,-75,-75,-100,-100,-86,-100,-100,-100,-100,-78,-78,-100,-76,-100,-100,-100,-79,-79,-77,-100,-100,-68,-100,-100,-100,-100,-100,-89,-64,-68,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-84,-77,-100,-77,-85,-78,-80,-78,-100,-84,-84,-82,-81,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-77,-90,-78,-77,-78,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-61,-66,-80,-79,-79,-69,-69,-73,-73,-74,-66,-66,-76,-76,-100,-82,-83,-78,-69,-73,-76,-84,-73,-59,-59,-59,-100,-83,-72,-75,-80,-100,-69,-82,-77,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-88,-82,-84,-100,-100,-100,-72,-90,-100,-41,-76,-74,-77,-100,-100,-86,-100,-100,-100,-100,-79,-79,-100,-77,-100,-100,-100,-79,-77,-77,-76,-66,-68,-100,-100,-77,-90,-86,-87,-66,-68,-100,-82,-72,-100,-100,-100,-72,-100,-100,-100,-100,-100,-77,-100,-82,-77,-72,-78,-86,-78,-80,-77,-100,-84,-85,-82,-82,-82,-100,-100,-100,-100,-100,-83,-87,-100,-100,-100,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-80,-90,-80,-80,-80,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-61,-67,-78,-79,-79,-67,-67,-70,-70,-73,-66,-67,-74,-74,-100,-82,-83,-78,-67,-70,-74,-84,-73,-58,-58,-59,-100,-81,-73,-74,-100,-100,-100,-84,-77,-80,-80,-100,-100,-65,-100,-100,-100,-100,-100,-91,-82,-86,-80,-100,-100,-72,-91,-100,-44,-100,-74,-77,-100,-100,-87,-100,-90,-100,-100,-79,-78,-100,-77,-86,-100,-100,-79,-79,-76,-76,-65,-66,-100,-100,-77,-88,-86,-87,-65,-68,-100,-82,-72,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-82,-100,-72,-80,-85,-81,-81,-81,-100,-84,-85,-83,-82,-81,-80,-100,-100,-100,-100,-82,-87,-100,-100,-100,-100,-100,-100,-89,-87,-87,-100,-100,-100,-100,-100,-100,-83,-90,-83,-82,-83,-86,-87,-100,-100,-86,-100,-100,-100,-100,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-61,-66,-78,-78,-79,-66,-66,-71,-71,-73,-66,-66,-78,-77,-84,-84,-84,-78,-66,-71,-78,-84,-73,-59,-59,-59,-100,-82,-72,-74,-100,-79,-100,-84,-77,-80,-80,-100,-100,-64,-100,-100,-100,-100,-100,-89,-82,-86,-80,-100,-100,-72,-89,-100,-43,-75,-73,-100,-100,-100,-87,-100,-90,-100,-100,-79,-79,-100,-76,-86,-100,-100,-79,-72,-77,-77,-65,-66,-100,-100,-100,-88,-86,-100,-65,-68,-100,-82,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-72,-76,-85,-76,-81,-76,-100,-84,-85,-83,-82,-81,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-100,-100,-100,-78,-88,-78,-78,-78,-86,-87,-100,-100,-86,-88,-100,-100,-100,-93,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-61,-66,-76,-78,-78,-66,-66,-72,-72,-72,-66,-66,-76,-77,-79,-84,-84,-78,-67,-72,-76,-84,-73,-59,-59,-59,-79,-80,-73,-100,-79,-79,-100,-78,-75,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-89,-83,-100,-100,-100,-100,-73,-89,-100,-46,-75,-73,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-76,-100,-100,-100,-78,-77,-77,-77,-65,-66,-66,-100,-77,-89,-86,-100,-65,-66,-100,-84,-72,-100,-100,-100,-72,-100,-100,-88,-100,-100,-100,-100,-83,-100,-72,-80,-85,-80,-100,-80,-100,-85,-85,-81,-82,-83,-82,-100,-100,-100,-100,-83,-87,-100,-100,-100,-100,-100,-100,-87,-89,-87,-100,-100,-100,-100,-100,-100,-78,-88,-78,-78,-78,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-61,-66,-78,-78,-78,-67,-67,-74,-74,-72,-66,-66,-75,-76,-76,-84,-84,-78,-67,-74,-76,-83,-63,-59,-59,-59,-80,-80,-62,-76,-80,-100,-83,-84,-76,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-90,-83,-100,-100,-100,-100,-64,-89,-83,-44,-100,-100,-77,-87,-86,-88,-100,-100,-100,-100,-78,-78,-100,-66,-100,-100,-100,-78,-76,-77,-77,-66,-66,-66,-100,-77,-90,-100,-100,-65,-66,-100,-83,-72,-100,-100,-100,-72,-100,-100,-88,-100,-81,-100,-100,-83,-79,-72,-73,-85,-75,-84,-75,-100,-85,-84,-81,-82,-84,-85,-100,-100,-100,-100,-84,-87,-100,-100,-100,-100,-100,-100,-88,-89,-85,-100,-100,-88,-100,-100,-100,-82,-89,-83,-82,-83,-87,-85,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-63,-70,-74,-73,-74,-64,-64,-69,-67,-74,-70,-70,-73,-73,-74,-100,-100,-73,-64,-69,-73,-100,-70,-60,-60,-60,-100,-100,-70,-73,-80,-79,-86,-100,-83,-100,-72,-100,-100,-67,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-68,-91,-100,-39,-77,-73,-78,-86,-86,-100,-100,-100,-100,-100,-77,-74,-100,-78,-86,-100,-100,-77,-82,-83,-100,-67,-62,-62,-100,-100,-100,-90,-100,-67,-62,-100,-100,-76,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-82,-73,-77,-73,-100,-82,-81,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-64,-69,-73,-73,-73,-64,-64,-70,-70,-73,-69,-69,-74,-74,-74,-100,-100,-73,-64,-70,-75,-100,-70,-59,-59,-59,-100,-100,-70,-73,-80,-79,-85,-85,-83,-100,-72,-100,-100,-67,-100,-100,-100,-100,-100,-90,-100,-85,-100,-100,-100,-70,-91,-100,-38,-78,-75,-78,-85,-85,-100,-100,-100,-100,-100,-75,-76,-100,-78,-84,-100,-100,-76,-84,-83,-100,-66,-62,-62,-100,-100,-89,-90,-100,-67,-62,-100,-100,-76,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-83,-74,-77,-74,-100,-84,-82,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-56,-70,-72,-72,-72,-65,-64,-69,-69,-52,-70,-70,-75,-75,-72,-100,-100,-73,-65,-70,-75,-100,-69,-57,-57,-57,-79,-100,-69,-100,-79,-79,-76,-85,-83,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-90,-100,-85,-100,-100,-100,-69,-90,-100,-38,-78,-74,-78,-83,-85,-100,-100,-100,-100,-100,-76,-77,-100,-78,-85,-100,-100,-77,-82,-83,-84,-67,-62,-62,-100,-100,-90,-87,-100,-68,-62,-100,-100,-75,-100,-100,-100,-76,-100,-100,-100,-100,-100,-77,-77,-100,-100,-75,-77,-82,-77,-79,-74,-100,-82,-83,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
