b8:27:eb:9f:6b:77,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b4:5d:50:e1:92:33,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,38:17:c3:19:d7:70,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:1f:01:81,80:8d:b7:55:39:c2,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,00:4e:35:df:06:51,00:4e:35:df:06:40,80:8d:b7:55:3a:40,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:45:a1,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:45:a0,80:8d:b7:55:39:c1,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:b0,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,38:17:c3:19:55:50,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,44:48:c1:a5:82:22,44:48:c1:a5:82:21,00:4e:35:df:06:50,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,38:17:c3:19:d7:60,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,b4:5d:50:e1:92:21,38:17:c3:1f:09:93,b4:5d:50:e1:96:43,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:19:55:52,00:4e:35:de:e1:10,38:17:c3:1f:22:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,b4:5d:50:e1:96:51,20:a6:cd:42:0b:e3,38:17:c3:19:71:90,38:17:c3:1f:22:32,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:08:51,44:48:c1:91:95:b3,44:48:c1:91:95:b0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b1,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,38:17:c3:1f:22:20,a8:bd:27:4c:bd:32,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:41,38:17:c3:1f:08:52,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,00:4e:35:df:27:01,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:58:a2,00:4e:35:df:27:00,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:24:58:a0,32:f7:72:50:57:3b,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b0,38:17:c3:1b:08:a2,x,y,label
-41,-100,-73,-78,-77,-78,-59,-59,-56,-56,-67,-68,-68,-66,-75,-74,-74,-75,-85,-78,-74,-59,-57,-68,-55,-86,-74,-100,-100,-88,-100,-100,-74,-100,-77,-100,-100,-100,-85,-85,-89,-100,-76,-89,-75,-100,-89,-100,-55,-81,-74,-74,-100,-75,-76,-83,-67,-67,-100,-100,-100,-76,-100,-67,-100,-100,-55,-84,-100,-89,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-85,-55,-55,-74,-81,-100,-100,-100,-55,-100,-80,-86,-81,-100,-100,-100,-100,-100,-100,-82,-83,-83,-100,-87,-78,-82,-78,-79,-90,-100,-80,-100,-100,-89,-100,-100,-85,-87,-100,-100,-86,-85,-84,-87,-89,-100,-100,-100,-100,-100,-100,-87,-86,-100,-87,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-38,-75,-72,-78,-78,-78,-60,-60,-56,-57,-67,-66,-66,-63,-80,-71,-100,-75,-86,-78,-74,-60,-57,-66,-55,-85,-71,-83,-83,-88,-100,-100,-71,-100,-74,-100,-100,-100,-84,-84,-88,-100,-100,-100,-100,-100,-89,-100,-55,-81,-75,-74,-76,-75,-76,-86,-69,-69,-100,-100,-100,-76,-100,-69,-100,-100,-55,-86,-100,-87,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-85,-55,-55,-74,-82,-100,-100,-83,-55,-100,-79,-86,-82,-100,-100,-100,-100,-100,-100,-82,-83,-83,-100,-100,-78,-83,-78,-79,-90,-100,-78,-100,-100,-87,-100,-100,-85,-87,-100,-100,-87,-85,-84,-89,-89,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-86,-87,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-38,-69,-66,-80,-80,-81,-69,-68,-62,-62,-69,-69,-70,-66,-75,-70,-76,-100,-84,-80,-70,-66,-62,-70,-59,-84,-70,-100,-100,-86,-78,-86,-71,-100,-100,-86,-100,-100,-86,-85,-85,-100,-75,-86,-100,-89,-86,-100,-58,-83,-100,-70,-73,-100,-72,-83,-68,-68,-100,-100,-100,-73,-100,-68,-100,-100,-59,-100,-100,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-66,-66,-70,-100,-86,-100,-100,-65,-100,-75,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-75,-88,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-78,-77,-89,-92,-100,-89,-100,-100,-100,-100,-86,-86,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-37,-67,-72,-81,-81,-81,-69,-69,-60,-60,-69,-69,-69,-58,-76,-69,-78,-77,-83,-81,-75,-69,-60,-69,-58,-84,-69,-85,-84,-86,-78,-86,-69,-100,-100,-86,-100,-100,-84,-84,-85,-100,-75,-86,-78,-89,-87,-100,-58,-79,-100,-75,-73,-67,-73,-83,-68,-68,-100,-100,-100,-72,-100,-68,-100,-100,-58,-100,-100,-84,-100,-100,-80,-100,-100,-100,-100,-100,-81,-100,-100,-61,-60,-75,-100,-88,-100,-84,-60,-100,-75,-85,-100,-100,-100,-100,-100,-100,-100,-81,-81,-81,-100,-100,-81,-84,-82,-75,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-79,-80,-89,-92,-88,-89,-100,-100,-100,-100,-87,-86,-100,-87,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-39,-69,-66,-80,-80,-79,-66,-66,-59,-59,-69,-69,-69,-69,-74,-69,-77,-77,-84,-81,-73,-66,-59,-69,-57,-84,-73,-85,-85,-85,-100,-86,-73,-100,-100,-87,-100,-100,-85,-83,-84,-100,-100,-88,-78,-100,-84,-100,-59,-81,-69,-73,-73,-69,-73,-83,-68,-68,-81,-82,-100,-74,-100,-68,-82,-100,-59,-100,-100,-86,-100,-100,-85,-100,-100,-100,-100,-100,-81,-100,-85,-61,-60,-75,-85,-81,-100,-85,-61,-100,-75,-84,-85,-100,-100,-100,-100,-100,-100,-80,-81,-81,-100,-100,-81,-85,-81,-75,-100,-100,-75,-100,-100,-86,-100,-100,-100,-100,-87,-100,-79,-79,-79,-100,-100,-88,-100,-100,-100,-100,-100,-86,-87,-100,-87,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-38,-68,-69,-80,-79,-80,-69,-69,-58,-58,-70,-70,-70,-74,-76,-73,-77,-77,-81,-79,-77,-68,-58,-71,-59,-84,-73,-84,-84,-85,-100,-86,-73,-100,-100,-87,-100,-100,-84,-85,-85,-100,-100,-88,-78,-100,-85,-100,-59,-80,-68,-77,-100,-68,-73,-76,-68,-68,-81,-81,-100,-73,-100,-68,-82,-100,-59,-100,-100,-86,-100,-100,-83,-100,-100,-100,-100,-100,-82,-100,-85,-61,-60,-77,-84,-81,-100,-85,-61,-100,-76,-81,-83,-100,-100,-100,-100,-90,-100,-77,-81,-81,-100,-100,-82,-84,-82,-76,-100,-100,-76,-100,-100,-86,-100,-100,-82,-81,-87,-100,-79,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-37,-67,-65,-80,-80,-79,-66,-66,-58,-58,-70,-70,-70,-73,-75,-72,-77,-78,-83,-81,-78,-66,-59,-70,-59,-85,-72,-84,-84,-85,-83,-100,-71,-100,-100,-100,-100,-100,-84,-86,-85,-100,-100,-100,-100,-100,-85,-100,-59,-78,-68,-78,-74,-68,-73,-83,-68,-68,-80,-81,-100,-73,-100,-68,-81,-100,-58,-100,-100,-57,-100,-100,-80,-100,-100,-100,-100,-100,-82,-100,-100,-62,-62,-78,-84,-87,-100,-85,-62,-100,-76,-83,-84,-100,-100,-100,-100,-90,-100,-77,-100,-100,-100,-100,-82,-84,-82,-75,-100,-100,-75,-100,-100,-100,-100,-100,-83,-83,-100,-100,-79,-79,-79,-100,-100,-87,-100,-100,-100,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-38,-67,-68,-79,-79,-79,-67,-66,-58,-58,-69,-68,-68,-70,-72,-71,-78,-77,-81,-79,-76,-65,-58,-69,-62,-83,-71,-85,-84,-87,-83,-100,-72,-100,-100,-100,-100,-100,-87,-86,-87,-100,-100,-100,-78,-100,-87,-100,-62,-82,-68,-78,-74,-68,-73,-83,-66,-66,-83,-83,-100,-73,-100,-66,-83,-100,-62,-100,-100,-77,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-84,-63,-63,-77,-86,-87,-100,-100,-63,-100,-77,-81,-87,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-83,-87,-83,-76,-100,-100,-77,-100,-100,-87,-100,-100,-81,-82,-100,-100,-79,-79,-77,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-43,-68,-67,-76,-76,-76,-64,-64,-62,-62,-71,-71,-100,-71,-77,-73,-100,-74,-82,-75,-71,-62,-62,-71,-70,-85,-73,-85,-86,-100,-74,-90,-73,-100,-100,-100,-100,-100,-84,-84,-100,-100,-79,-91,-100,-88,-100,-100,-70,-76,-69,-72,-79,-68,-79,-85,-66,-66,-100,-100,-100,-79,-100,-67,-100,-100,-70,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-84,-62,-62,-100,-83,-100,-100,-86,-62,-100,-81,-81,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-76,-87,-100,-81,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-80,-80,-90,-90,-88,-100,-100,-88,-100,-100,-82,-81,-100,-82,-83,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-39,-68,-69,-78,-77,-78,-62,-62,-65,-65,-71,-71,-100,-67,-79,-77,-75,-75,-82,-77,-72,-62,-65,-71,-62,-82,-73,-86,-84,-100,-74,-90,-73,-75,-100,-100,-100,-100,-81,-82,-100,-100,-79,-91,-100,-88,-90,-100,-62,-79,-69,-72,-81,-68,-80,-86,-71,-71,-100,-100,-100,-81,-100,-71,-100,-100,-62,-80,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-82,-100,-81,-67,-67,-71,-83,-88,-100,-86,-67,-100,-82,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-81,-85,-81,-82,-87,-100,-81,-100,-100,-100,-100,-100,-82,-81,-100,-100,-80,-80,-80,-90,-90,-84,-100,-100,-88,-89,-100,-81,-81,-100,-82,-81,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-39,-72,-68,-78,-77,-78,-61,-61,-69,-69,-70,-69,-70,-69,-79,-77,-75,-75,-81,-78,-72,-61,-69,-70,-63,-83,-77,-83,-83,-100,-87,-100,-77,-75,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-74,-100,-90,-100,-63,-77,-72,-71,-82,-72,-82,-83,-72,-72,-78,-78,-100,-80,-100,-72,-78,-100,-63,-80,-83,-90,-100,-100,-77,-100,-100,-100,-100,-100,-82,-100,-84,-67,-67,-71,-83,-88,-100,-84,-67,-100,-80,-80,-100,-100,-92,-100,-100,-100,-100,-83,-84,-85,-100,-86,-81,-85,-81,-79,-86,-100,-80,-100,-100,-100,-86,-100,-100,-100,-100,-100,-82,-81,-82,-100,-100,-84,-100,-100,-100,-89,-100,-82,-83,-100,-84,-82,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-38,-72,-68,-78,-77,-78,-61,-61,-68,-68,-70,-70,-70,-69,-77,-77,-75,-76,-80,-78,-72,-61,-68,-70,-63,-83,-77,-83,-83,-100,-88,-100,-77,-75,-100,-88,-100,-100,-83,-84,-100,-100,-100,-100,-76,-100,-92,-100,-62,-79,-72,-72,-82,-72,-82,-85,-71,-72,-78,-78,-100,-81,-100,-72,-78,-100,-63,-85,-100,-90,-100,-100,-77,-100,-100,-100,-100,-100,-82,-100,-83,-72,-72,-71,-83,-88,-100,-84,-72,-100,-78,-80,-100,-100,-92,-100,-100,-100,-100,-83,-84,-85,-100,-86,-81,-100,-82,-78,-86,-100,-78,-100,-100,-100,-86,-100,-100,-100,-100,-100,-81,-81,-80,-100,-91,-88,-100,-100,-88,-100,-100,-79,-79,-100,-80,-80,-100,-100,-100,-100,-100,-100,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-35,-71,-71,-79,-79,-79,-64,-63,-67,-67,-69,-69,-69,-67,-77,-75,-74,-75,-81,-78,-71,-64,-67,-69,-63,-83,-75,-84,-85,-100,-85,-100,-75,-75,-100,-88,-100,-100,-83,-84,-100,-100,-100,-100,-69,-90,-92,-100,-63,-77,-71,-71,-82,-72,-82,-83,-70,-70,-77,-78,-100,-82,-100,-70,-78,-100,-63,-85,-100,-87,-100,-100,-84,-100,-100,-100,-100,-100,-82,-100,-82,-72,-72,-71,-100,-100,-100,-85,-72,-100,-78,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-83,-100,-83,-78,-87,-100,-78,-100,-100,-100,-87,-100,-100,-81,-100,-100,-81,-81,-80,-100,-91,-88,-100,-100,-88,-100,-100,-81,-83,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-40,-72,-70,-77,-77,-78,-61,-60,-69,-69,-70,-70,-70,-70,-77,-77,-76,-75,-81,-78,-71,-61,-69,-70,-63,-81,-77,-84,-83,-100,-85,-100,-77,-100,-100,-88,-100,-100,-78,-83,-100,-100,-100,-89,-75,-90,-92,-100,-61,-67,-72,-71,-82,-72,-81,-84,-72,-73,-77,-78,-100,-82,-100,-72,-79,-100,-63,-100,-100,-83,-100,-100,-84,-100,-100,-100,-100,-100,-82,-100,-85,-73,-73,-71,-100,-90,-100,-84,-73,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-83,-100,-83,-100,-87,-100,-78,-100,-100,-87,-87,-100,-80,-81,-100,-100,-81,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-80,-82,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-41,-64,-64,-77,-77,-77,-69,-69,-70,-70,-70,-70,-69,-68,-100,-100,-100,-100,-80,-77,-75,-69,-70,-70,-66,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-89,-100,-100,-66,-79,-100,-75,-71,-100,-70,-83,-59,-59,-100,-100,-100,-71,-100,-59,-100,-100,-66,-81,-84,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-80,-67,-67,-75,-100,-100,-100,-100,-68,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-78,-100,-100,-100,-100,-100,-80,-81,-100,-100,-77,-77,-76,-100,-100,-87,-90,-100,-100,-88,-100,-83,-83,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-44,-64,-64,-78,-78,-78,-66,-66,-69,-68,-70,-70,-69,-73,-74,-79,-75,-75,-83,-78,-75,-66,-69,-70,-66,-82,-79,-87,-100,-90,-100,-100,-80,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-75,-89,-90,-100,-66,-77,-64,-76,-71,-64,-71,-83,-58,-59,-77,-77,-100,-70,-100,-59,-77,-100,-66,-81,-84,-100,-100,-100,-87,-100,-100,-100,-100,-100,-82,-100,-81,-67,-67,-75,-82,-84,-100,-100,-68,-100,-79,-83,-83,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-82,-83,-83,-80,-87,-100,-81,-100,-100,-100,-100,-100,-84,-83,-100,-100,-77,-77,-82,-100,-100,-87,-90,-100,-100,-88,-100,-83,-83,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-44,-63,-63,-77,-77,-77,-65,-65,-69,-69,-69,-69,-69,-68,-75,-78,-74,-74,-84,-78,-73,-65,-69,-69,-65,-84,-78,-87,-100,-90,-100,-90,-78,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-89,-74,-100,-91,-100,-65,-79,-63,-73,-71,-63,-71,-83,-58,-59,-77,-77,-100,-71,-100,-59,-78,-100,-66,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-82,-100,-81,-70,-70,-72,-82,-88,-100,-100,-70,-100,-80,-85,-85,-100,-100,-100,-100,-86,-100,-82,-82,-83,-100,-100,-82,-84,-81,-80,-85,-100,-80,-100,-100,-84,-100,-85,-84,-84,-100,-100,-78,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-83,-85,-100,-100,-100,-100,-89,-100,-100,-100,-84,-85,-100,-100,-100,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-38,-63,-64,-77,-77,-77,-65,-65,-71,-71,-71,-71,-71,-68,-72,-78,-74,-74,-82,-78,-74,-66,-71,-71,-65,-84,-78,-100,-100,-100,-100,-90,-78,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-89,-74,-100,-91,-100,-66,-79,-63,-74,-100,-63,-71,-82,-59,-59,-100,-100,-100,-71,-100,-60,-78,-100,-66,-80,-84,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-79,-69,-69,-74,-83,-88,-100,-100,-69,-100,-78,-83,-83,-100,-100,-100,-100,-86,-100,-82,-82,-84,-100,-85,-82,-84,-81,-74,-86,-100,-79,-100,-100,-84,-100,-85,-83,-83,-100,-100,-78,-78,-77,-88,-88,-100,-89,-100,-100,-89,-100,-86,-87,-100,-88,-86,-100,-100,-100,-100,-89,-88,-100,-85,-84,-85,-100,-100,-100,-84,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-38,-64,-63,-78,-78,-78,-70,-70,-68,-68,-71,-70,-70,-68,-72,-78,-74,-74,-83,-78,-76,-70,-68,-70,-66,-84,-79,-100,-100,-100,-87,-100,-79,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-73,-100,-100,-100,-66,-78,-64,-76,-100,-100,-72,-83,-59,-59,-100,-78,-100,-71,-100,-59,-79,-100,-66,-80,-83,-89,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-67,-66,-76,-83,-100,-100,-100,-67,-100,-80,-82,-83,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-85,-80,-83,-80,-80,-85,-100,-80,-100,-100,-100,-100,-100,-84,-84,-100,-100,-79,-79,-79,-88,-88,-88,-89,-100,-100,-89,-100,-81,-81,-100,-82,-81,-100,-100,-100,-100,-100,-88,-100,-85,-84,-85,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
