38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:43,44:48:c1:91:d0:04,38:17:c3:1f:14:01,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:24:47:51,38:17:c3:1f:09:93,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:00:a1,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,38:17:c3:1f:00:a2,44:48:c1:91:d0:00,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:d0:02,38:17:c3:1f:14:12,38:17:c3:1f:19:d1,38:17:c3:1f:14:11,38:17:c3:1f:19:d2,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:45:b1,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,44:48:c1:91:95:b3,a8:bd:27:4c:aa:92,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,44:48:c1:91:95:a0,44:48:c1:91:95:a3,a8:bd:27:4c:aa:82,38:17:c3:1f:09:83,a8:bd:27:4c:aa:81,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,20:a6:cd:42:0b:e3,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:24:47:50,38:17:c3:1f:09:90,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,44:48:c1:91:d0:01,b4:5d:50:e1:96:40,38:17:c3:1f:19:d0,44:48:c1:91:95:a2,44:48:c1:91:95:b2,38:17:c3:1f:14:10,a8:bd:27:4c:aa:90,38:17:c3:19:45:b0,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:80,38:17:c3:19:d7:70,38:17:c3:1f:19:c0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:a0,38:17:c3:1a:cf:d0,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,38:17:c3:22:61:90,80:8d:b7:55:25:e3,38:17:c3:1f:19:f0,38:17:c3:22:5e:f0,20:a6:cd:42:13:f2,20:a6:cd:42:13:f1,20:a6:cd:42:13:f0,38:17:c3:19:36:30,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:36:31,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:10,b0:be:76:f8:30:5e,68:ff:7b:e4:af:39,38:17:c3:1e:ff:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,68:ff:7b:e4:af:38,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:39:d0,38:17:c3:19:71:90,38:17:c3:1e:ff:12,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1e:ff:11,38:17:c3:19:36:22,80:8d:b7:55:39:c1,ea:9e:b4:53:24:54,80:8d:b7:55:39:c0,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,38:17:c3:1f:22:30,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1e:ff:00,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c0,20:a6:cd:50:24:a2,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:de:e1:12,00:4e:35:df:06:51,38:17:c3:1f:22:31,00:4e:35:df:06:50,20:a6:cd:50:24:b2,00:4e:35:df:06:41,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:0e:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:01,38:17:c3:1f:0e:12,80:8d:b7:55:4d:02,x,y,label
-59,-71,-59,-59,-66,-64,-76,-77,-77,-89,-89,-90,-100,-100,-75,-87,-87,-88,-84,-86,-85,-86,-86,-66,-82,-72,-82,-83,-66,-82,-100,-100,-82,-72,-100,-72,-100,-100,-100,-84,-84,-85,-84,-100,-85,-100,-82,-100,-100,-79,-86,-100,-100,-100,-85,-77,-88,-90,-84,-86,-66,-83,-74,-81,-100,-100,-100,-100,-72,-86,-83,-100,-78,-84,-100,-86,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-87,-100,-100,-100,-100,-100,-86,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-59,-70,-60,-60,-69,-66,-77,-77,-77,-88,-89,-100,-88,-83,-74,-86,-87,-86,-84,-88,-84,-86,-86,-62,-85,-74,-83,-83,-62,-100,-100,-87,-100,-73,-100,-72,-100,-100,-100,-84,-84,-87,-85,-100,-86,-100,-80,-100,-100,-79,-87,-79,-100,-100,-85,-77,-86,-88,-84,-89,-63,-83,-74,-100,-100,-100,-100,-100,-73,-86,-84,-85,-79,-87,-100,-84,-100,-79,-85,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-88,-100,-100,-100,-100,-87,-86,-88,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-59,-71,-59,-59,-69,-61,-78,-78,-77,-88,-89,-90,-86,-83,-73,-86,-86,-86,-85,-86,-85,-86,-85,-62,-85,-72,-83,-83,-62,-100,-100,-87,-100,-73,-100,-73,-100,-100,-100,-83,-84,-85,-86,-100,-85,-100,-79,-100,-100,-80,-87,-78,-100,-100,-84,-79,-86,-89,-85,-87,-62,-83,-73,-100,-100,-100,-100,-100,-73,-86,-83,-90,-82,-87,-100,-84,-85,-82,-84,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-87,-100,-100,-100,-100,-87,-100,-86,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-59,-75,-59,-59,-100,-77,-83,-100,-100,-88,-89,-100,-86,-86,-78,-100,-100,-100,-100,-89,-100,-100,-100,-66,-88,-78,-100,-100,-66,-88,-100,-100,-86,-70,-100,-70,-100,-100,-100,-86,-88,-85,-85,-100,-85,-100,-78,-100,-100,-80,-100,-79,-100,-100,-84,-84,-100,-90,-89,-100,-66,-100,-78,-87,-100,-100,-100,-100,-70,-85,-87,-90,-100,-85,-100,-86,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-86,-85,-90,-100,-86,-86,-100,-89,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-59,-74,-59,-59,-71,-72,-85,-100,-85,-88,-89,-100,-86,-86,-78,-100,-100,-100,-100,-89,-100,-100,-100,-66,-88,-78,-86,-86,-65,-88,-100,-100,-86,-69,-100,-69,-100,-100,-100,-86,-86,-86,-86,-100,-85,-100,-80,-100,-100,-81,-100,-81,-100,-100,-83,-86,-100,-90,-88,-88,-66,-85,-77,-87,-100,-100,-100,-100,-69,-86,-85,-90,-80,-87,-100,-86,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-88,-89,-90,-100,-86,-86,-100,-89,-91,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-59,-75,-59,-58,-77,-76,-84,-100,-84,-89,-89,-90,-89,-86,-79,-88,-88,-88,-87,-85,-87,-85,-85,-66,-89,-79,-88,-87,-66,-100,-100,-100,-100,-69,-100,-69,-100,-100,-100,-86,-86,-86,-87,-100,-100,-100,-79,-100,-100,-81,-88,-81,-100,-100,-87,-84,-89,-89,-87,-85,-66,-86,-79,-100,-100,-100,-100,-100,-69,-89,-90,-87,-81,-87,-100,-100,-100,-81,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-88,-89,-89,-88,-86,-86,-89,-89,-91,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-59,-73,-59,-59,-77,-75,-85,-100,-84,-89,-89,-90,-85,-100,-78,-91,-89,-89,-88,-85,-87,-84,-84,-63,-87,-79,-83,-83,-63,-100,-100,-100,-100,-72,-100,-72,-100,-100,-100,-86,-85,-88,-87,-100,-100,-100,-79,-100,-92,-79,-88,-79,-100,-100,-86,-85,-88,-89,-88,-85,-62,-84,-79,-100,-100,-100,-100,-100,-72,-86,-85,-87,-79,-87,-100,-100,-100,-83,-88,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-89,-88,-88,-86,-89,-91,-91,-88,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-72,-58,-58,-77,-73,-84,-100,-100,-100,-100,-100,-87,-87,-79,-86,-87,-88,-89,-85,-89,-84,-84,-63,-85,-78,-84,-85,-63,-100,-87,-100,-100,-72,-100,-72,-100,-100,-100,-85,-85,-88,-87,-100,-100,-100,-78,-100,-92,-79,-89,-79,-100,-100,-78,-83,-86,-100,-88,-85,-63,-85,-78,-100,-100,-100,-100,-100,-72,-86,-84,-100,-79,-89,-100,-100,-100,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-91,-91,-89,-90,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-72,-58,-58,-74,-70,-84,-100,-100,-92,-100,-100,-86,-87,-69,-88,-87,-88,-89,-85,-89,-84,-84,-63,-86,-79,-86,-86,-63,-86,-87,-100,-86,-72,-100,-72,-100,-100,-100,-86,-87,-100,-88,-100,-100,-100,-83,-100,-100,-77,-89,-78,-100,-100,-86,-85,-89,-92,-88,-84,-64,-87,-78,-86,-100,-100,-100,-100,-72,-89,-87,-100,-78,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-86,-86,-100,-100,-86,-86,-100,-100,-100,-89,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-54,-74,-55,-55,-72,-72,-86,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-87,-100,-86,-87,-57,-100,-100,-100,-100,-57,-100,-100,-100,-100,-68,-100,-68,-100,-100,-100,-82,-82,-85,-84,-100,-85,-100,-100,-100,-100,-81,-84,-80,-100,-100,-86,-87,-90,-100,-100,-87,-57,-100,-100,-100,-100,-100,-100,-100,-68,-84,-82,-89,-81,-100,-100,-84,-86,-78,-84,-100,-94,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-57,-75,-57,-57,-72,-72,-81,-81,-81,-100,-100,-100,-100,-100,-100,-87,-87,-87,-100,-86,-100,-86,-88,-60,-88,-100,-100,-100,-60,-100,-100,-100,-100,-71,-100,-70,-100,-100,-100,-88,-87,-85,-84,-100,-85,-100,-82,-100,-100,-79,-86,-79,-100,-100,-86,-81,-87,-94,-100,-87,-60,-100,-75,-100,-100,-100,-100,-100,-71,-84,-87,-89,-80,-100,-100,-84,-86,-84,-84,-100,-94,-76,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-58,-75,-58,-58,-100,-100,-81,-80,-80,-91,-100,-100,-100,-100,-77,-87,-87,-87,-100,-86,-100,-100,-88,-60,-87,-77,-100,-100,-60,-100,-100,-100,-100,-71,-100,-71,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-83,-100,-100,-80,-86,-81,-100,-100,-80,-80,-87,-94,-100,-87,-61,-100,-76,-100,-100,-100,-100,-100,-71,-89,-88,-100,-81,-100,-100,-100,-100,-82,-100,-100,-100,-75,-100,-91,-88,-100,-100,-100,-100,-100,-86,-87,-87,-100,-88,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-57,-75,-57,-57,-100,-80,-82,-81,-82,-91,-100,-100,-100,-89,-76,-87,-87,-87,-100,-87,-100,-100,-86,-60,-87,-76,-100,-100,-60,-100,-100,-100,-100,-71,-100,-71,-100,-100,-100,-88,-89,-100,-90,-100,-100,-100,-84,-100,-100,-81,-81,-80,-100,-100,-80,-81,-87,-100,-100,-88,-60,-100,-76,-100,-100,-100,-100,-100,-71,-89,-90,-100,-80,-86,-100,-100,-100,-83,-100,-100,-100,-76,-100,-91,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-57,-75,-57,-57,-100,-80,-81,-81,-82,-100,-100,-100,-100,-89,-76,-87,-88,-87,-100,-85,-100,-100,-86,-60,-87,-76,-100,-100,-60,-100,-100,-100,-100,-71,-100,-71,-100,-100,-100,-88,-88,-100,-90,-100,-100,-100,-82,-100,-100,-80,-83,-81,-100,-100,-85,-81,-87,-100,-100,-88,-60,-100,-76,-100,-100,-100,-100,-100,-71,-89,-88,-100,-80,-86,-100,-100,-100,-78,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-85,-100,-100,-100,-100,-86,-85,-100,-100,-83,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-57,-75,-57,-57,-100,-100,-81,-100,-100,-100,-100,-100,-100,-89,-76,-87,-86,-87,-100,-88,-100,-100,-100,-61,-87,-76,-100,-100,-61,-100,-100,-100,-100,-71,-100,-71,-100,-100,-100,-89,-88,-100,-88,-100,-100,-100,-83,-100,-100,-81,-66,-81,-100,-100,-85,-81,-87,-90,-100,-100,-60,-100,-76,-100,-100,-100,-100,-100,-71,-90,-89,-100,-80,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-91,-86,-100,-100,-100,-100,-100,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-56,-78,-56,-56,-100,-100,-84,-84,-84,-89,-89,-90,-88,-88,-100,-100,-100,-100,-100,-85,-100,-84,-83,-61,-100,-100,-100,-100,-61,-100,-100,-100,-100,-74,-100,-67,-100,-100,-100,-86,-85,-100,-87,-100,-100,-100,-85,-100,-100,-81,-86,-81,-100,-100,-78,-84,-100,-90,-100,-84,-61,-100,-100,-100,-100,-100,-100,-100,-74,-89,-85,-100,-81,-100,-100,-100,-100,-86,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-54,-78,-57,-57,-100,-100,-84,-84,-85,-90,-89,-90,-90,-90,-100,-100,-100,-100,-100,-84,-100,-85,-84,-62,-91,-100,-100,-100,-62,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-82,-82,-100,-88,-100,-100,-100,-85,-100,-100,-87,-86,-85,-100,-100,-86,-84,-100,-90,-100,-86,-62,-100,-100,-100,-100,-100,-100,-100,-75,-90,-82,-100,-87,-100,-100,-100,-83,-86,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-89,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-55,-78,-58,-58,-81,-100,-84,-84,-85,-90,-100,-100,-90,-90,-100,-100,-100,-100,-100,-85,-100,-85,-85,-61,-90,-100,-87,-86,-61,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-83,-83,-100,-88,-100,-100,-100,-82,-100,-100,-84,-85,-82,-100,-100,-79,-84,-100,-90,-100,-86,-61,-100,-100,-100,-100,-100,-100,-100,-80,-90,-83,-100,-83,-83,-100,-83,-83,-82,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-83,-84,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-55,-79,-57,-57,-81,-76,-85,-100,-100,-90,-90,-92,-90,-89,-83,-100,-100,-100,-100,-85,-100,-85,-85,-61,-90,-84,-87,-88,-61,-100,-100,-100,-100,-74,-100,-74,-100,-100,-100,-84,-84,-100,-87,-100,-100,-100,-70,-100,-100,-84,-86,-70,-100,-100,-79,-85,-100,-91,-100,-85,-61,-100,-83,-100,-100,-100,-100,-100,-74,-88,-85,-100,-70,-85,-100,-83,-82,-77,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-84,-100,-89,-88,-88,-91,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
