38:17:c3:1f:00:a0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,60:32:b1:3e:1a:b8,44:48:c1:91:d0:12,44:48:c1:91:d0:10,44:48:c1:91:d0:14,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:43,44:48:c1:91:d0:04,20:a6:cd:42:0a:c3,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,20:a6:cd:42:0a:c0,38:17:c3:1f:09:82,38:17:c3:1f:09:81,38:17:c3:1f:14:02,38:17:c3:1f:09:83,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:a3,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,44:48:c1:91:95:a0,a8:bd:27:4c:aa:83,38:17:c3:1f:00:b0,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,38:17:c3:24:47:50,38:17:c3:1f:19:d0,38:17:c3:1f:09:80,38:17:c3:1f:14:00,44:48:c1:91:95:b2,44:48:c1:91:95:a2,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,20:a6:cd:42:0a:c1,38:17:c3:19:45:b1,38:17:c3:19:45:b2,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,38:17:c3:1f:14:01,20:a6:cd:42:0a:c2,38:17:c3:19:45:b0,9c:d6:43:60:92:e0,72:32:b1:3e:1a:b8,44:48:c1:91:d0:00,44:48:c1:91:d0:02,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,38:17:c3:19:45:a1,44:48:c1:91:95:a1,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,38:17:c3:1f:14:10,a8:bd:27:4c:aa:90,38:17:c3:1f:09:90,20:a6:cd:42:13:e0,38:17:c3:19:45:a2,44:48:c1:91:aa:22,38:17:c3:19:45:a0,a8:bd:27:4c:aa:80,38:17:c3:19:d7:70,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,20:a6:cd:42:0b:e3,38:17:c3:24:56:50,ac:e2:d3:c4:08:e6,00:4e:35:de:d7:43,38:17:c3:22:5e:f0,20:a6:cd:42:13:f0,38:17:c3:1f:19:c0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:22:61:90,38:17:c3:1f:19:f2,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:19:36:30,80:8d:b7:55:25:e3,80:8d:b7:55:25:e1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:3a:52,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:42,80:8d:b7:55:35:01,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:00,80:8d:b7:55:35:02,68:ff:7b:e4:af:39,ea:9e:b4:53:24:54,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:71:91,80:8d:b7:55:39:c2,38:17:c3:1e:ff:10,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:19:71:92,68:ff:7b:e4:af:38,38:17:c3:19:36:22,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:19:36:20,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,80:8d:b7:55:39:c0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,38:17:c3:1f:22:30,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:de:e1:12,20:a6:cd:50:24:b0,00:4e:35:df:06:52,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1f:0e:10,00:4e:35:df:06:41,20:a6:cd:50:24:b1,00:4e:35:df:06:42,20:a6:cd:50:24:b2,00:4e:35:df:06:40,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,80:8d:b7:55:4d:00,x,y,label
-66,-71,-59,-59,-68,-84,-86,-85,-85,-86,-86,-86,-87,-86,-86,-100,-84,-100,-100,-100,-100,-100,-100,-87,-72,-86,-89,-100,-100,-100,-100,-100,-100,-82,-59,-85,-86,-87,-100,-100,-91,-92,-100,-71,-90,-100,-65,-65,-100,-71,-100,-85,-86,-100,-88,-72,-84,-85,-92,-100,-100,-100,-76,-75,-89,-100,-100,-82,-82,-82,-100,-100,-100,-100,-75,-85,-89,-100,-85,-100,-84,-100,-88,-100,-100,-84,-100,-79,-100,-100,-100,-100,-100,-90,-100,-100,-87,-87,-86,-86,-100,-87,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-68,-71,-60,-59,-67,-85,-85,-84,-84,-84,-84,-86,-87,-86,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-73,-86,-88,-100,-100,-100,-86,-86,-100,-82,-59,-85,-84,-86,-100,-100,-91,-92,-100,-72,-90,-100,-67,-67,-100,-71,-100,-85,-86,-100,-88,-73,-100,-85,-100,-71,-100,-100,-72,-72,-88,-100,-100,-85,-100,-84,-100,-100,-100,-100,-72,-85,-100,-100,-100,-100,-100,-86,-100,-100,-100,-84,-100,-79,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-66,-71,-61,-60,-70,-85,-84,-85,-87,-87,-88,-89,-87,-86,-83,-100,-84,-100,-100,-100,-100,-100,-87,-88,-73,-87,-88,-100,-100,-100,-85,-86,-100,-82,-60,-84,-88,-91,-87,-85,-90,-92,-88,-73,-90,-100,-66,-66,-100,-71,-100,-86,-86,-100,-100,-73,-100,-86,-89,-71,-84,-84,-77,-77,-88,-100,-100,-84,-100,-84,-83,-100,-100,-100,-77,-84,-87,-100,-100,-100,-84,-86,-100,-100,-100,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-86,-100,-87,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-66,-73,-60,-60,-69,-81,-82,-82,-87,-87,-88,-88,-89,-90,-87,-100,-85,-100,-100,-100,-100,-100,-87,-88,-72,-87,-100,-100,-100,-91,-86,-85,-100,-84,-59,-81,-86,-89,-87,-85,-90,-100,-88,-72,-100,-100,-66,-66,-100,-100,-100,-86,-86,-100,-100,-72,-100,-86,-88,-71,-84,-84,-77,-77,-90,-88,-100,-83,-100,-100,-83,-100,-100,-100,-77,-84,-88,-100,-83,-100,-84,-87,-87,-100,-100,-83,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-88,-86,-87,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-66,-73,-60,-61,-74,-82,-81,-82,-87,-87,-87,-89,-89,-89,-85,-100,-88,-100,-100,-100,-100,-100,-100,-100,-72,-87,-100,-100,-100,-91,-87,-86,-100,-83,-61,-81,-87,-89,-100,-100,-91,-100,-100,-72,-100,-100,-66,-66,-100,-100,-100,-86,-86,-100,-100,-72,-100,-87,-88,-71,-100,-100,-72,-72,-88,-88,-100,-83,-100,-83,-100,-100,-100,-100,-72,-84,-88,-100,-85,-100,-100,-85,-87,-100,-100,-84,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-88,-86,-87,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-62,-79,-55,-54,-75,-84,-86,-84,-88,-88,-89,-92,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-83,-55,-85,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-100,-83,-82,-100,-100,-100,-100,-82,-100,-77,-100,-100,-74,-74,-84,-100,-100,-85,-86,-87,-84,-100,-100,-100,-75,-86,-85,-100,-85,-100,-84,-100,-83,-100,-100,-82,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-86,-88,-86,-83,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-62,-79,-55,-55,-77,-84,-86,-84,-87,-88,-87,-93,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-83,-55,-85,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-79,-100,-82,-83,-100,-100,-100,-100,-82,-100,-80,-100,-100,-73,-73,-84,-100,-84,-85,-85,-88,-84,-100,-100,-100,-73,-87,-85,-100,-84,-100,-84,-83,-83,-100,-100,-82,-100,-77,-100,-100,-100,-100,-100,-87,-100,-86,-82,-83,-86,-88,-86,-83,-83,-82,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-62,-81,-55,-55,-73,-100,-100,-84,-87,-87,-87,-93,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-82,-82,-100,-81,-55,-100,-87,-93,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-80,-100,-82,-82,-100,-100,-100,-100,-82,-100,-74,-100,-100,-75,-75,-85,-100,-84,-85,-85,-88,-84,-100,-100,-100,-75,-87,-85,-100,-84,-100,-84,-81,-82,-100,-100,-100,-100,-78,-100,-100,-100,-100,-86,-87,-100,-87,-82,-82,-100,-100,-87,-100,-83,-82,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-62,-78,-55,-55,-75,-100,-100,-87,-88,-87,-89,-93,-100,-100,-90,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-82,-82,-100,-83,-55,-100,-90,-91,-100,-100,-100,-100,-86,-100,-100,-100,-62,-62,-100,-80,-100,-82,-82,-100,-87,-100,-100,-82,-100,-75,-100,-100,-73,-73,-83,-82,-83,-88,-100,-100,-83,-100,-100,-100,-74,-88,-83,-100,-83,-100,-82,-81,-83,-100,-100,-86,-100,-73,-100,-100,-100,-100,-86,-87,-100,-87,-82,-82,-88,-87,-89,-100,-100,-100,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-60,-81,-55,-55,-73,-84,-85,-86,-89,-92,-89,-100,-100,-100,-72,-86,-88,-100,-100,-100,-100,-100,-82,-86,-100,-87,-100,-100,-100,-100,-82,-83,-100,-81,-55,-85,-88,-91,-87,-100,-100,-100,-86,-100,-100,-100,-61,-61,-92,-100,-100,-82,-83,-100,-87,-100,-100,-82,-100,-76,-100,-100,-75,-75,-86,-84,-84,-87,-100,-88,-83,-100,-100,-100,-75,-89,-84,-100,-82,-100,-82,-82,-82,-100,-100,-83,-100,-73,-100,-100,-100,-100,-100,-86,-100,-100,-83,-82,-88,-87,-89,-83,-83,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-59,-76,-58,-58,-73,-86,-85,-85,-89,-92,-100,-91,-100,-100,-90,-100,-88,-100,-100,-100,-100,-100,-82,-86,-100,-87,-100,-100,-100,-100,-80,-80,-100,-79,-58,-87,-88,-91,-87,-100,-100,-100,-100,-100,-100,-100,-59,-59,-92,-100,-86,-82,-82,-100,-85,-100,-100,-82,-100,-75,-100,-100,-75,-74,-84,-86,-84,-86,-85,-86,-83,-100,-100,-100,-75,-87,-85,-100,-82,-100,-84,-81,-86,-100,-100,-83,-100,-80,-100,-100,-100,-100,-100,-86,-100,-100,-83,-82,-100,-100,-100,-83,-82,-83,-87,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-57,-79,-55,-55,-76,-85,-86,-87,-100,-100,-100,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-87,-55,-84,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-57,-57,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-90,-77,-100,-100,-78,-78,-85,-85,-85,-83,-84,-84,-81,-100,-100,-100,-78,-85,-84,-100,-100,-100,-81,-100,-85,-100,-100,-82,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-58,-78,-55,-55,-74,-85,-86,-85,-89,-100,-100,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-100,-100,-100,-86,-85,-100,-87,-55,-83,-90,-100,-100,-100,-90,-100,-86,-81,-100,-100,-57,-57,-100,-79,-100,-84,-84,-100,-100,-81,-100,-83,-90,-77,-100,-100,-78,-78,-85,-84,-86,-85,-85,-84,-82,-100,-100,-100,-78,-84,-85,-100,-82,-100,-82,-86,-85,-100,-100,-82,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-57,-79,-55,-55,-73,-85,-85,-85,-91,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-86,-87,-80,-87,-100,-100,-100,-100,-85,-84,-100,-87,-55,-85,-91,-100,-100,-100,-91,-100,-87,-81,-100,-100,-57,-57,-100,-79,-100,-84,-83,-100,-100,-81,-100,-84,-90,-80,-100,-100,-78,-78,-84,-85,-85,-85,-83,-84,-83,-100,-100,-100,-79,-85,-84,-100,-81,-100,-82,-86,-90,-100,-100,-82,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-84,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-58,-79,-55,-55,-76,-85,-86,-85,-90,-100,-100,-100,-100,-100,-92,-100,-88,-100,-100,-100,-100,-100,-86,-87,-100,-87,-100,-100,-100,-100,-85,-85,-100,-87,-55,-85,-90,-100,-100,-100,-91,-100,-87,-100,-100,-100,-57,-57,-100,-100,-100,-84,-84,-100,-100,-100,-100,-84,-100,-80,-100,-100,-79,-78,-85,-85,-85,-84,-84,-84,-81,-100,-100,-100,-79,-84,-85,-100,-82,-100,-82,-85,-88,-100,-100,-80,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-85,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-57,-78,-55,-55,-74,-86,-87,-85,-91,-100,-100,-100,-100,-100,-90,-87,-88,-100,-100,-100,-100,-100,-86,-85,-81,-87,-100,-100,-100,-100,-100,-84,-100,-86,-55,-86,-90,-100,-100,-100,-90,-100,-86,-100,-100,-100,-57,-57,-100,-100,-100,-84,-83,-100,-100,-82,-100,-84,-92,-100,-100,-100,-79,-79,-84,-85,-85,-84,-84,-83,-81,-100,-100,-100,-79,-84,-85,-100,-82,-100,-82,-85,-88,-100,-100,-80,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-93,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-57,-80,-56,-55,-76,-85,-85,-86,-90,-91,-100,-100,-100,-100,-90,-91,-84,-100,-100,-100,-100,-100,-86,-85,-81,-88,-100,-100,-100,-100,-85,-85,-100,-86,-55,-86,-91,-100,-100,-87,-90,-100,-86,-100,-100,-100,-57,-57,-100,-80,-100,-83,-84,-100,-100,-82,-100,-84,-92,-79,-88,-100,-77,-77,-84,-85,-85,-83,-83,-85,-82,-100,-100,-100,-77,-84,-85,-100,-82,-100,-82,-85,-100,-100,-100,-77,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-93,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-55,-76,-49,-49,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-73,-100,-83,-70,-100,-100,-100,-100,-86,-85,-100,-86,-49,-100,-100,-100,-100,-100,-100,-100,-84,-82,-100,-100,-55,-55,-100,-100,-100,-80,-80,-100,-100,-82,-100,-80,-100,-75,-100,-100,-80,-80,-100,-100,-100,-87,-88,-88,-100,-100,-100,-100,-80,-88,-100,-100,-81,-100,-100,-86,-81,-100,-100,-75,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-85,-100,-100,-83,-81,-100,-89,-89,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-56,-76,-49,-48,-75,-100,-100,-87,-90,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-85,-100,-83,-87,-100,-100,-100,-100,-86,-85,-100,-86,-48,-88,-100,-100,-100,-100,-100,-100,-84,-82,-100,-100,-56,-56,-100,-100,-100,-80,-80,-100,-100,-82,-100,-80,-100,-75,-100,-100,-77,-77,-89,-100,-100,-87,-88,-88,-100,-100,-100,-100,-77,-88,-89,-100,-81,-100,-100,-86,-82,-100,-100,-75,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-85,-85,-100,-83,-81,-100,-87,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
