b0:be:76:f8:30:5e,66:2a:2f:53:7c:99,b8:27:eb:9f:6b:77,44:48:c1:a5:82:32,44:48:c1:a5:82:30,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:12,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:61,b4:5d:50:e1:92:33,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,38:17:c3:19:d7:70,38:17:c3:19:d7:60,20:a6:cd:50:24:b0,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:d7:62,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:10,80:8d:b7:55:3a:50,38:17:c3:1e:ff:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:25:e3,38:17:c3:1f:22:31,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:01:90,38:17:c3:1f:22:30,b4:5d:50:e1:92:21,60:32:b1:3e:1a:b7,38:17:c3:1f:01:81,38:17:c3:1f:22:32,b4:5d:50:e1:92:20,38:17:c3:19:45:b0,80:8d:b7:55:25:e2,44:48:c1:a5:82:21,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1f:01:82,38:17:c3:1e:ff:02,60:32:b1:3e:1a:b8,38:17:c3:1f:0e:00,00:4e:35:df:06:51,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:1f:09:93,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,b4:5d:50:e1:92:22,68:ff:7b:e4:af:39,00:4e:35:df:06:52,38:17:c3:1f:01:80,38:17:c3:19:45:a0,00:4e:35:de:e1:12,38:17:c3:1f:09:90,72:32:b1:3e:1a:b7,00:4e:35:df:06:50,20:a6:cd:50:24:a1,38:17:c3:1f:09:83,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,38:17:c3:1e:ff:01,20:a6:cd:50:24:a2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a0,00:4e:35:df:06:42,44:48:c1:a5:82:20,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1e:ff:00,b4:5d:50:e1:92:31,38:17:c3:19:55:50,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:40,b4:5d:50:e1:96:43,38:17:c3:19:71:90,00:4e:35:df:06:41,20:a6:cd:42:0b:e3,00:4e:35:de:e1:11,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:55:40,00:4e:35:de:e1:02,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:19:55:41,20:a6:cd:42:0b:f3,44:48:c1:91:95:b2,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,00:4e:35:de:e1:00,9c:d6:43:60:92:e0,00:4e:35:de:e1:01,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:55:42,a8:bd:27:4c:bd:30,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:32,38:17:c3:1f:08:40,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:22,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,38:17:c3:19:71:81,00:4e:35:de:d7:43,38:17:c3:19:36:30,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,00:4e:35:de:d7:40,00:4e:35:de:d7:41,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:19:71:82,38:17:c3:1f:08:41,00:4e:35:df:0e:12,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:01,38:17:c3:1b:08:a1,00:4e:35:df:27:02,38:17:c3:1b:08:a0,00:4e:35:df:27:12,da:3b:bf:91:24:81,x,y,label
-66,-82,-30,-68,-69,-66,-69,-70,-66,-66,-61,-61,-70,-75,-75,-75,-68,-75,-75,-75,-83,-84,-84,-80,-70,-67,-61,-75,-75,-83,-84,-94,-72,-72,-70,-70,-84,-100,-100,-100,-100,-86,-72,-70,-90,-74,-100,-100,-100,-77,-86,-100,-100,-100,-86,-85,-81,-100,-87,-86,-100,-81,-65,-72,-72,-100,-100,-85,-100,-72,-100,-100,-100,-90,-100,-85,-79,-72,-100,-100,-79,-100,-100,-72,-100,-100,-82,-65,-100,-100,-82,-73,-100,-73,-65,-79,-80,-100,-79,-86,-86,-85,-73,-100,-87,-73,-100,-80,-79,-100,-100,-86,-84,-79,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-85,-100,-100,-100,-81,-81,-100,-100,-81,-81,-100,-100,-100,-87,-91,-88,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-63,-84,-29,-66,-66,-68,-71,-71,-64,-64,-63,-63,-70,-76,-76,-76,-66,-76,-76,-76,-83,-83,-84,-79,-71,-64,-63,-76,-76,-84,-86,-91,-71,-70,-70,-70,-85,-100,-100,-100,-100,-100,-70,-70,-100,-74,-100,-100,-100,-77,-86,-100,-100,-100,-87,-85,-82,-100,-87,-88,-100,-81,-66,-72,-70,-100,-100,-100,-100,-72,-100,-100,-100,-90,-100,-88,-100,-71,-100,-100,-77,-100,-83,-71,-100,-100,-82,-65,-100,-100,-100,-73,-100,-75,-65,-79,-80,-100,-80,-86,-85,-84,-100,-100,-87,-74,-100,-77,-78,-100,-86,-87,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-79,-79,-100,-100,-100,-88,-91,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-66,-77,-30,-62,-62,-68,-70,-70,-67,-67,-61,-61,-69,-78,-78,-78,-62,-75,-76,-76,-83,-84,-85,-79,-69,-67,-61,-77,-77,-85,-85,-90,-73,-73,-69,-70,-84,-100,-100,-100,-100,-100,-73,-70,-85,-100,-100,-100,-100,-79,-100,-100,-100,-87,-87,-100,-80,-100,-100,-88,-100,-82,-65,-72,-72,-100,-100,-100,-100,-70,-100,-100,-100,-88,-84,-88,-82,-70,-100,-100,-77,-100,-83,-70,-100,-100,-82,-64,-100,-100,-81,-100,-100,-73,-64,-100,-100,-100,-80,-85,-84,-84,-73,-100,-87,-73,-100,-77,-78,-100,-86,-87,-83,-81,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-82,-80,-100,-100,-79,-79,-100,-100,-100,-88,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-64,-81,-34,-66,-66,-70,-70,-70,-65,-65,-61,-62,-70,-79,-79,-79,-66,-72,-73,-74,-84,-85,-83,-80,-70,-65,-63,-79,-74,-84,-83,-100,-83,-83,-64,-64,-84,-100,-100,-100,-100,-100,-83,-64,-100,-100,-100,-100,-100,-82,-100,-100,-100,-90,-90,-84,-84,-100,-100,-100,-100,-78,-61,-64,-64,-100,-100,-100,-73,-72,-100,-100,-100,-100,-84,-100,-100,-72,-100,-100,-79,-100,-100,-73,-100,-100,-79,-61,-100,-100,-79,-65,-100,-71,-61,-80,-80,-100,-80,-80,-80,-80,-69,-100,-100,-68,-100,-79,-79,-84,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-79,-100,-100,-100,-100,-91,-100,-100,-84,-84,-100,-100,-84,-85,-100,-100,-92,-100,-100,-100,-100,-87,-84,-84,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-62,-84,-30,-60,-60,-72,-70,-70,-63,-64,-60,-60,-70,-78,-78,-79,-60,-72,-73,-74,-82,-84,-84,-84,-70,-64,-60,-78,-74,-84,-83,-87,-77,-77,-64,-64,-84,-89,-89,-100,-100,-100,-77,-64,-100,-100,-100,-100,-100,-80,-100,-100,-100,-90,-90,-84,-79,-100,-100,-100,-100,-80,-66,-62,-63,-100,-100,-100,-73,-73,-100,-100,-100,-100,-84,-100,-100,-74,-100,-100,-78,-100,-100,-74,-100,-100,-80,-66,-100,-100,-81,-63,-100,-70,-66,-85,-80,-100,-84,-80,-78,-79,-70,-100,-100,-70,-100,-77,-78,-84,-100,-100,-86,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-73,-100,-79,-100,-100,-100,-100,-91,-100,-100,-79,-79,-89,-100,-80,-79,-100,-100,-89,-100,-100,-100,-100,-87,-84,-84,-88,-84,-87,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-60,-82,-29,-69,-69,-68,-68,-68,-62,-62,-62,-60,-67,-78,-79,-79,-69,-72,-75,-74,-82,-83,-84,-84,-68,-63,-63,-80,-74,-83,-100,-90,-77,-77,-61,-61,-100,-89,-89,-100,-100,-100,-79,-61,-100,-75,-76,-90,-89,-80,-100,-100,-100,-90,-100,-100,-81,-100,-100,-100,-100,-78,-64,-63,-63,-100,-100,-100,-75,-71,-100,-100,-100,-86,-75,-100,-85,-72,-100,-100,-79,-100,-82,-72,-100,-100,-76,-64,-100,-100,-78,-63,-100,-70,-64,-85,-85,-100,-84,-80,-79,-80,-71,-100,-87,-70,-100,-79,-79,-100,-86,-86,-85,-79,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-73,-100,-78,-100,-100,-100,-86,-88,-100,-100,-83,-82,-88,-100,-82,-82,-100,-87,-88,-100,-100,-100,-100,-100,-85,-84,-100,-84,-87,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-61,-81,-29,-59,-59,-71,-70,-70,-65,-64,-61,-61,-70,-78,-73,-78,-59,-72,-74,-74,-84,-85,-100,-81,-70,-64,-60,-77,-74,-84,-100,-89,-78,-78,-61,-61,-85,-91,-100,-100,-100,-87,-79,-61,-100,-80,-81,-90,-89,-79,-100,-100,-100,-90,-100,-84,-81,-100,-100,-84,-100,-80,-65,-63,-63,-100,-100,-100,-81,-72,-100,-100,-100,-86,-75,-100,-84,-72,-100,-100,-80,-100,-82,-73,-100,-100,-79,-64,-100,-100,-80,-100,-100,-70,-64,-82,-85,-100,-82,-80,-79,-79,-71,-100,-87,-71,-100,-80,-81,-83,-86,-86,-85,-79,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-88,-80,-100,-79,-100,-100,-100,-86,-88,-100,-100,-83,-82,-89,-100,-82,-82,-100,-87,-88,-100,-100,-100,-84,-100,-84,-86,-100,-85,-100,-87,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-63,-83,-29,-63,-63,-72,-68,-68,-63,-62,-63,-62,-68,-77,-77,-78,-63,-74,-72,-74,-83,-84,-100,-82,-68,-62,-63,-77,-73,-83,-86,-90,-79,-78,-61,-61,-85,-90,-100,-100,-100,-87,-79,-62,-100,-80,-81,-100,-100,-83,-100,-100,-100,-100,-87,-83,-81,-100,-100,-84,-100,-80,-65,-100,-100,-100,-100,-85,-78,-72,-100,-100,-100,-100,-100,-84,-84,-72,-100,-100,-78,-100,-100,-73,-100,-100,-79,-65,-100,-100,-80,-100,-100,-71,-65,-82,-100,-100,-82,-80,-79,-79,-71,-100,-84,-71,-100,-79,-81,-83,-85,-84,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-88,-79,-100,-79,-88,-100,-100,-100,-100,-100,-100,-85,-84,-88,-86,-85,-84,-100,-100,-100,-85,-100,-100,-86,-100,-84,-86,-100,-85,-100,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-62,-82,-30,-64,-65,-69,-68,-67,-63,-63,-63,-62,-68,-80,-80,-80,-65,-76,-74,-74,-84,-83,-100,-83,-68,-63,-63,-80,-73,-84,-86,-89,-79,-100,-64,-64,-100,-92,-90,-100,-100,-100,-79,-64,-100,-75,-76,-100,-100,-82,-100,-100,-100,-90,-87,-83,-81,-100,-100,-82,-100,-79,-69,-63,-63,-100,-100,-86,-75,-75,-100,-100,-100,-100,-100,-84,-84,-75,-100,-100,-78,-100,-81,-75,-100,-100,-71,-70,-100,-100,-80,-63,-100,-71,-70,-82,-84,-100,-84,-79,-79,-79,-100,-100,-84,-71,-100,-78,-76,-100,-85,-84,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-79,-100,-79,-88,-100,-100,-84,-100,-100,-100,-79,-80,-89,-86,-80,-80,-100,-100,-87,-86,-100,-100,-86,-100,-100,-84,-100,-100,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-59,-81,-31,-65,-65,-71,-70,-70,-63,-63,-66,-66,-70,-76,-77,-77,-65,-75,-100,-100,-100,-100,-100,-84,-70,-63,-66,-77,-100,-88,-100,-86,-80,-79,-61,-61,-100,-87,-87,-100,-100,-100,-80,-61,-100,-100,-100,-100,-100,-75,-85,-100,-100,-100,-87,-88,-85,-100,-86,-100,-100,-77,-69,-66,-66,-100,-100,-100,-76,-71,-100,-100,-100,-84,-89,-87,-82,-71,-100,-100,-81,-100,-100,-71,-100,-100,-77,-72,-100,-100,-78,-67,-100,-72,-69,-84,-100,-100,-84,-100,-83,-82,-72,-100,-100,-72,-100,-81,-80,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-82,-100,-83,-100,-100,-100,-83,-100,-100,-100,-82,-83,-100,-100,-82,-83,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-60,-79,-29,-65,-64,-71,-69,-70,-64,-64,-69,-69,-69,-76,-77,-77,-64,-76,-100,-100,-100,-100,-83,-85,-69,-64,-69,-77,-100,-88,-100,-86,-79,-80,-62,-62,-83,-87,-86,-100,-100,-100,-80,-63,-100,-100,-100,-100,-100,-75,-86,-100,-100,-92,-86,-88,-85,-100,-86,-100,-100,-77,-71,-67,-67,-100,-100,-87,-76,-70,-100,-100,-100,-84,-89,-87,-82,-70,-100,-100,-83,-100,-100,-69,-100,-100,-76,-71,-100,-100,-77,-67,-100,-72,-71,-85,-85,-100,-85,-82,-82,-82,-72,-100,-100,-72,-100,-85,-85,-80,-100,-100,-80,-78,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-86,-82,-100,-78,-100,-100,-100,-83,-92,-85,-83,-85,-84,-90,-100,-85,-84,-100,-100,-90,-87,-94,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-60,-81,-30,-65,-65,-70,-70,-70,-64,-63,-69,-68,-69,-78,-78,-78,-64,-76,-100,-80,-86,-86,-84,-84,-70,-63,-69,-78,-81,-86,-84,-87,-80,-79,-64,-64,-83,-87,-87,-100,-100,-100,-80,-63,-100,-76,-76,-100,-100,-78,-86,-100,-100,-92,-86,-100,-84,-100,-100,-100,-100,-77,-74,-65,-66,-100,-100,-87,-77,-69,-100,-100,-100,-91,-100,-100,-77,-69,-100,-100,-79,-100,-100,-68,-100,-100,-76,-70,-100,-100,-77,-66,-100,-72,-71,-85,-85,-100,-85,-82,-83,-83,-100,-100,-100,-100,-100,-80,-80,-79,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-85,-80,-100,-78,-100,-100,-100,-100,-92,-84,-85,-81,-80,-90,-100,-80,-81,-100,-100,-90,-87,-94,-100,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-60,-80,-30,-68,-68,-70,-73,-73,-66,-66,-66,-66,-73,-78,-78,-78,-68,-76,-80,-80,-88,-87,-83,-83,-74,-66,-66,-78,-80,-88,-84,-87,-79,-78,-62,-62,-83,-89,-87,-100,-100,-85,-78,-61,-100,-77,-78,-100,-100,-78,-100,-100,-100,-100,-100,-100,-85,-100,-100,-89,-100,-78,-74,-66,-65,-100,-100,-87,-78,-72,-100,-100,-100,-91,-87,-87,-81,-72,-100,-100,-79,-100,-100,-72,-100,-100,-77,-74,-100,-100,-78,-65,-100,-72,-74,-84,-84,-100,-84,-100,-81,-83,-67,-100,-100,-72,-100,-80,-80,-81,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-79,-100,-79,-100,-100,-100,-100,-100,-82,-82,-81,-80,-100,-100,-80,-81,-100,-100,-100,-86,-100,-100,-100,-85,-87,-89,-86,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-59,-80,-29,-65,-66,-69,-70,-70,-66,-66,-66,-66,-70,-76,-75,-76,-65,-70,-79,-79,-90,-87,-82,-86,-70,-66,-65,-77,-79,-89,-100,-87,-78,-78,-64,-64,-100,-87,-88,-100,-100,-85,-79,-64,-100,-73,-77,-100,-100,-78,-100,-100,-100,-100,-100,-100,-85,-100,-100,-89,-100,-78,-67,-67,-67,-100,-100,-89,-77,-73,-100,-100,-100,-100,-88,-87,-81,-73,-100,-100,-79,-100,-87,-73,-100,-100,-77,-68,-100,-100,-78,-67,-100,-73,-67,-87,-87,-100,-87,-83,-83,-83,-73,-100,-84,-73,-100,-79,-80,-81,-86,-85,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-80,-100,-80,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-88,-100,-100,-87,-86,-100,-87,-100,-100,-87,-85,-87,-100,-87,-100,-88,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-60,-80,-30,-65,-65,-69,-70,-70,-66,-66,-66,-66,-70,-75,-75,-75,-65,-77,-81,-81,-86,-88,-82,-85,-71,-66,-65,-75,-81,-86,-83,-88,-78,-100,-63,-63,-82,-87,-88,-100,-100,-100,-79,-63,-100,-77,-77,-100,-100,-68,-100,-100,-100,-100,-87,-100,-86,-100,-100,-100,-100,-79,-71,-69,-67,-100,-100,-89,-77,-73,-100,-100,-100,-100,-88,-100,-77,-73,-100,-100,-80,-100,-86,-73,-100,-100,-79,-71,-100,-100,-100,-67,-100,-74,-71,-86,-86,-100,-86,-83,-82,-83,-73,-100,-85,-73,-100,-80,-80,-100,-85,-85,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-87,-86,-100,-85,-100,-100,-86,-100,-100,-100,-87,-100,-88,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-63,-85,-30,-63,-63,-68,-71,-71,-63,-63,-100,-100,-71,-73,-73,-72,-63,-75,-100,-100,-82,-81,-100,-100,-71,-63,-100,-73,-100,-82,-100,-90,-78,-100,-59,-59,-100,-100,-100,-100,-100,-100,-100,-59,-85,-100,-100,-87,-88,-75,-83,-100,-100,-88,-82,-100,-100,-100,-83,-100,-100,-75,-72,-60,-60,-100,-100,-90,-100,-72,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-75,-100,-100,-72,-100,-100,-75,-72,-100,-100,-75,-100,-100,-74,-72,-100,-100,-100,-100,-100,-77,-100,-100,-100,-81,-74,-100,-75,-100,-100,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-78,-78,-100,-100,-77,-78,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-63,-61,-31,-70,-70,-71,-71,-68,-66,-66,-70,-70,-68,-74,-75,-75,-70,-76,-100,-100,-84,-83,-85,-100,-68,-66,-70,-73,-100,-85,-85,-92,-78,-100,-59,-59,-100,-100,-100,-100,-100,-100,-78,-59,-90,-100,-100,-87,-88,-76,-84,-100,-100,-88,-82,-100,-100,-100,-84,-100,-100,-74,-72,-60,-60,-100,-100,-90,-82,-72,-100,-100,-100,-100,-100,-100,-81,-71,-100,-100,-73,-100,-100,-72,-100,-100,-75,-72,-100,-100,-75,-100,-100,-72,-72,-100,-100,-100,-100,-78,-77,-78,-100,-100,-80,-72,-100,-72,-100,-100,-82,-81,-77,-67,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-100,-79,-100,-100,-100,-77,-100,-100,-100,-79,-80,-89,-100,-79,-80,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-59,-83,-29,-65,-65,-70,-71,-71,-65,-65,-67,-66,-70,-73,-73,-73,-65,-75,-78,-79,-83,-83,-85,-87,-71,-65,-67,-73,-78,-83,-85,-92,-76,-76,-60,-59,-100,-100,-100,-100,-100,-87,-76,-60,-83,-79,-80,-100,-100,-76,-84,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-74,-71,-60,-60,-100,-100,-90,-80,-71,-100,-100,-100,-100,-84,-100,-79,-71,-100,-100,-73,-100,-100,-71,-100,-100,-75,-71,-100,-100,-76,-60,-100,-73,-71,-100,-100,-100,-100,-78,-77,-78,-73,-100,-82,-73,-100,-73,-73,-86,-82,-81,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-89,-100,-82,-82,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-63,-82,-28,-66,-66,-68,-72,-72,-63,-63,-68,-68,-72,-73,-73,-73,-65,-76,-72,-79,-83,-83,-85,-87,-72,-63,-68,-73,-79,-83,-85,-93,-76,-76,-58,-58,-100,-92,-100,-100,-100,-87,-76,-58,-83,-80,-79,-100,-100,-76,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-74,-72,-60,-60,-100,-100,-90,-80,-71,-100,-100,-100,-100,-84,-100,-86,-71,-100,-100,-74,-100,-100,-71,-100,-100,-75,-72,-100,-100,-75,-60,-100,-73,-71,-88,-87,-100,-88,-80,-79,-79,-73,-100,-81,-73,-100,-74,-74,-86,-81,-82,-76,-80,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-77,-100,-100,-100,-85,-86,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
