60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a1,38:17:c3:1f:00:b1,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c3,38:17:c3:1f:00:b2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:02,44:48:c1:91:d0:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:14:12,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:d0:12,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:95:a3,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,44:48:c1:91:95:b3,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,38:17:c3:1f:00:b0,44:48:c1:91:d0:01,38:17:c3:1f:14:00,38:17:c3:19:45:b0,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,44:48:c1:91:d0:11,44:48:c1:91:95:a2,38:17:c3:24:47:50,a8:bd:27:4c:aa:80,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,66:2a:2f:53:7c:99,44:48:c1:91:d0:04,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:a1,44:48:c1:91:95:a0,38:17:c3:1f:19:d1,38:17:c3:1f:09:91,38:17:c3:19:45:a0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:09:92,b4:5d:50:e1:96:50,38:17:c3:1f:09:80,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:90,86:0d:8e:aa:25:a4,ac:e2:d3:c4:08:e6,b6:e6:2d:69:d5:58,a8:bd:27:4c:aa:93,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e3,38:17:c3:19:d7:62,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,38:17:c3:19:d7:70,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,80:8d:b7:55:3a:42,80:8d:b7:55:25:f3,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,80:8d:b7:55:39:c0,80:8d:b7:55:35:02,80:8d:b7:55:25:f1,80:8d:b7:55:39:d2,80:8d:b7:55:25:f2,80:8d:b7:55:39:d0,80:8d:b7:55:35:01,20:a6:cd:50:24:a2,80:8d:b7:55:39:d1,20:a6:cd:50:24:a1,80:8d:b7:55:39:c1,ea:9e:b4:53:24:54,38:17:c3:19:36:21,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:29:d0,38:17:c3:1e:ff:10,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:1e:ff:12,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:c2,38:17:c3:1e:ff:11,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:1f:0e:02,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:71:80,00:4e:35:df:06:41,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:30,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:12,x,y,timestamp
-71,-86,-52,-59,-100,-100,-100,-82,-59,-87,-100,-100,-100,-100,-70,-70,-81,-83,-82,-75,-88,-75,-89,-88,-84,-84,-92,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-52,-100,-59,-100,-71,-83,-75,-88,-100,-91,-100,-100,-76,-100,-100,-100,-100,-86,-82,-81,-100,-100,-100,-100,-82,-52,-100,-100,-100,-100,-100,-86,-83,-100,-79,-100,-100,-77,-100,-100,-100,-79,-100,-100,-89,-100,-80,-100,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,644,979490703519
-76,-81,-52,-57,-82,-88,-100,-100,-57,-100,-100,-100,-100,-100,-71,-100,-100,-79,-79,-72,-86,-72,-86,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-52,-82,-57,-100,-71,-79,-72,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-79,-52,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-74,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1017553947905
-70,-84,-52,-58,-82,-88,-100,-100,-58,-100,-100,-100,-100,-100,-71,-71,-83,-78,-78,-73,-86,-72,-86,-86,-84,-82,-90,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-52,-82,-58,-100,-72,-78,-73,-85,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-79,-52,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-77,-100,-100,-100,-79,-83,-100,-86,-100,-100,-85,-85,-86,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1020889320444
-71,-82,-54,-57,-82,-88,-100,-81,-57,-100,-100,-100,-100,-100,-75,-74,-83,-79,-79,-82,-86,-82,-87,-87,-82,-82,-90,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-54,-82,-57,-100,-75,-79,-82,-87,-100,-91,-100,-100,-100,-100,-100,-100,-100,-88,-77,-77,-100,-100,-100,-100,-78,-54,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-74,-100,-100,-100,-79,-83,-100,-86,-100,-100,-85,-86,-86,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1024338953137
-73,-82,-51,-57,-100,-87,-100,-81,-57,-100,-100,-100,-100,-100,-72,-72,-84,-79,-79,-73,-86,-73,-86,-86,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-57,-100,-72,-79,-73,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-79,-79,-100,-100,-100,-100,-79,-52,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-76,-100,-100,-100,-100,-100,-100,-86,-100,-100,-86,-86,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1027855241521
-73,-83,-53,-55,-84,-87,-100,-84,-55,-100,-100,-100,-100,-100,-73,-74,-84,-79,-79,-82,-87,-83,-86,-87,-83,-84,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-53,-100,-56,-100,-72,-79,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-79,-100,-100,-100,-100,-79,-52,-100,-100,-100,-100,-100,-100,-83,-100,-81,-100,-100,-72,-100,-100,-100,-76,-82,-81,-85,-100,-81,-85,-85,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1031233482214
-72,-83,-52,-57,-84,-87,-100,-85,-57,-100,-100,-100,-100,-100,-77,-78,-84,-80,-80,-80,-88,-80,-87,-87,-83,-84,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-52,-100,-57,-100,-77,-80,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-80,-100,-100,-100,-100,-80,-52,-100,-100,-100,-100,-100,-100,-83,-100,-81,-100,-100,-77,-100,-100,-100,-76,-82,-81,-85,-80,-81,-85,-85,-85,-87,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,158,644,1034705758753
-72,-83,-48,-58,-100,-84,-100,-85,-58,-100,-100,-100,-100,-100,-75,-75,-87,-78,-78,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-48,-100,-58,-100,-75,-78,-75,-100,-100,-90,-100,-100,-77,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-79,-48,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-75,-100,-100,-100,-100,-82,-100,-84,-100,-100,-85,-85,-85,-89,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1073986373370
-70,-83,-48,-59,-100,-84,-100,-85,-59,-100,-100,-100,-100,-100,-75,-75,-84,-79,-79,-75,-100,-75,-100,-89,-100,-100,-90,-100,-100,-77,-76,-100,-100,-100,-100,-100,-100,-48,-100,-59,-100,-75,-79,-75,-89,-100,-90,-100,-100,-77,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-79,-48,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-100,-100,-79,-100,-78,-85,-78,-77,-85,-86,-85,-88,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1077458556294
-74,-85,-47,-57,-100,-84,-100,-85,-57,-100,-100,-100,-100,-100,-76,-74,-89,-78,-78,-75,-100,-75,-100,-90,-100,-100,-90,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-48,-100,-57,-100,-76,-78,-75,-89,-100,-90,-100,-100,-77,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-78,-48,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-75,-100,-100,-100,-79,-100,-78,-85,-78,-78,-85,-85,-85,-89,-82,-83,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1080896990525
-74,-83,-47,-59,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-72,-73,-85,-78,-78,-74,-100,-74,-100,-89,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-48,-100,-60,-100,-74,-78,-74,-88,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-100,-78,-47,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-75,-100,-100,-100,-79,-100,-78,-85,-78,-78,-85,-85,-85,-87,-82,-83,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1084492394679
-76,-84,-49,-59,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-79,-78,-85,-78,-78,-82,-100,-82,-100,-89,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-50,-100,-59,-100,-74,-78,-82,-88,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-78,-49,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-75,-100,-100,-100,-76,-100,-78,-86,-78,-78,-85,-85,-85,-87,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1087939547448
-79,-85,-51,-58,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-78,-78,-85,-80,-80,-81,-100,-81,-100,-89,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-51,-100,-58,-100,-78,-80,-81,-88,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-78,-51,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-74,-100,-100,-100,-76,-100,-78,-86,-78,-78,-85,-85,-85,-87,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,644,1091294071295
-100,-100,-49,-53,-100,-78,-100,-100,-53,-100,-100,-100,-100,-100,-73,-73,-100,-73,-73,-76,-100,-76,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-49,-100,-53,-100,-100,-73,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100,-77,-49,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-75,-100,-100,-100,-73,-82,-100,-83,-100,-100,-83,-84,-84,-85,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1143197950605
-77,-86,-49,-53,-100,-87,-100,-87,-53,-100,-100,-100,-100,-100,-75,-75,-100,-73,-73,-82,-100,-82,-100,-90,-81,-82,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-49,-100,-53,-100,-75,-73,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-78,-49,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-77,-100,-100,-100,-74,-80,-77,-82,-78,-78,-82,-82,-82,-85,-80,-80,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1146489438836
-76,-83,-46,-52,-100,-88,-100,-87,-52,-100,-100,-100,-100,-100,-75,-74,-100,-74,-74,-83,-100,-83,-100,-90,-81,-82,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-46,-100,-52,-100,-75,-74,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-78,-47,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-76,-100,-100,-100,-72,-80,-77,-83,-78,-77,-83,-83,-84,-85,-80,-79,-85,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1149903421606
-76,-83,-48,-52,-100,-88,-100,-86,-52,-100,-100,-100,-100,-100,-77,-77,-100,-77,-77,-81,-100,-81,-100,-90,-81,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-48,-100,-52,-100,-77,-77,-81,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-78,-48,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-82,-80,-82,-86,-78,-77,-83,-86,-85,-100,-80,-79,-85,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1153352907375
-76,-83,-48,-52,-100,-88,-100,-86,-52,-100,-100,-100,-100,-100,-77,-77,-79,-77,-77,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-48,-100,-52,-100,-77,-77,-82,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-78,-48,-100,-100,-100,-100,-100,-91,-100,-100,-80,-100,-100,-74,-100,-100,-100,-82,-80,-80,-85,-80,-77,-85,-85,-85,-86,-80,-79,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1156813332837
-74,-83,-48,-52,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-77,-77,-79,-76,-77,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-48,-100,-52,-100,-77,-77,-81,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-77,-48,-100,-100,-100,-100,-100,-91,-100,-100,-80,-100,-100,-74,-100,-100,-100,-78,-100,-80,-86,-80,-100,-85,-86,-85,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,193,644,1160348388145
-73,-86,-48,-60,-100,-87,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-82,-79,-79,-77,-100,-78,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-48,-100,-60,-100,-100,-79,-78,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-76,-48,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-74,-100,-100,-84,-100,-100,-84,-84,-84,-86,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,210,644,1218001502994
-76,-85,-47,-59,-100,-87,-100,-87,-59,-100,-100,-100,-100,-100,-75,-76,-83,-81,-81,-77,-100,-77,-100,-100,-82,-81,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-47,-100,-59,-100,-75,-81,-76,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-76,-100,-100,-100,-100,-76,-46,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-77,-100,-100,-100,-73,-78,-77,-85,-78,-77,-85,-85,-84,-86,-78,-78,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,210,644,1221253966148
-73,-85,-48,-58,-100,-87,-100,-87,-58,-100,-100,-100,-100,-100,-77,-77,-83,-80,-81,-79,-100,-79,-100,-100,-82,-81,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-48,-100,-58,-100,-77,-80,-79,-100,-89,-100,-100,-100,-82,-100,-100,-100,-100,-100,-78,-76,-100,-100,-100,-100,-76,-48,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-74,-78,-78,-82,-77,-78,-82,-82,-82,-87,-78,-78,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,210,644,1224784677918
-72,-85,-46,-58,-100,-87,-100,-100,-58,-100,-100,-100,-100,-100,-77,-77,-83,-80,-80,-79,-100,-78,-100,-100,-83,-81,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-47,-100,-58,-100,-77,-80,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-78,-47,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-72,-100,-100,-100,-74,-78,-77,-82,-78,-77,-82,-82,-82,-86,-79,-79,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,210,644,1228394108764
