38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:41,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:55:42,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:50,38:17:c3:19:55:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a0,b0:be:76:f8:30:5e,38:17:c3:24:58:a2,38:17:c3:24:58:a1,00:4e:35:df:06:50,70:56:81:c9:91:ab,32:f7:72:50:57:3b,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:03,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a0,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:51,00:4e:35:df:06:40,b4:5d:50:e1:92:33,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:70,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:d7:62,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,20:a6:cd:50:24:b2,38:17:c3:1e:ff:01,38:17:c3:1e:ff:11,80:8d:b7:55:35:00,38:17:c3:1f:01:80,38:17:c3:19:d7:60,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,38:17:c3:1e:ff:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:41,38:17:c3:19:45:b0,60:32:b1:3e:1a:b8,38:17:c3:19:45:a1,38:17:c3:19:45:a0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,00:4e:35:de:e1:12,b4:5d:50:e1:92:22,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:50,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,00:4e:35:de:d7:40,a8:bd:27:4c:bd:20,38:17:c3:19:71:92,9c:d6:43:60:92:e0,38:17:c3:19:71:91,38:17:c3:1f:22:32,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:71:82,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:11,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:24:4f:01,38:17:c3:24:4f:00,00:4e:35:de:d7:41,x,y,timestamp
-78,-78,-82,-100,-100,-100,-100,-100,-78,-82,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-79,-100,-100,-78,-78,-62,-70,-70,-74,-64,-64,-100,-100,-74,-74,-56,-56,-100,-79,-79,-58,-58,-86,-79,-83,-80,-80,-80,-100,-100,-100,-100,-78,-70,-88,-64,-74,-56,-58,-83,-80,-80,-100,-100,-47,-47,-70,-70,-79,-100,-80,-47,-80,-100,-100,-80,-84,-100,-100,-100,-100,-80,-83,-84,-100,-100,-100,-74,-100,-79,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-77,-100,-82,-100,-100,-91,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,543,1389419325005
-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-76,-100,-100,-66,-66,-59,-72,-71,-78,-65,-65,-85,-85,-79,-78,-53,-53,-72,-73,-73,-52,-52,-83,-100,-100,-74,-75,-76,-100,-100,-100,-100,-66,-71,-86,-64,-79,-53,-52,-100,-75,-76,-86,-100,-46,-46,-68,-68,-76,-100,-100,-46,-100,-68,-90,-100,-84,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-82,-100,-89,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1430512532007
-80,-81,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-76,-100,-100,-66,-66,-61,-70,-70,-80,-60,-60,-85,-87,-79,-79,-54,-54,-71,-73,-74,-52,-52,-82,-79,-84,-76,-76,-76,-100,-100,-100,-100,-66,-70,-86,-60,-79,-54,-52,-84,-76,-76,-85,-100,-45,-45,-68,-67,-76,-77,-82,-44,-100,-68,-90,-82,-84,-72,-72,-100,-86,-100,-83,-84,-85,-100,-100,-72,-84,-100,-77,-100,-100,-85,-84,-100,-82,-82,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-89,-82,-100,-89,-88,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-80,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1434121427546
-81,-81,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-80,-100,-100,-65,-65,-58,-68,-68,-75,-63,-63,-100,-87,-75,-75,-54,-54,-69,-73,-73,-52,-52,-81,-79,-81,-73,-73,-73,-100,-100,-100,-100,-65,-68,-86,-63,-75,-53,-52,-81,-73,-80,-84,-100,-44,-44,-68,-68,-80,-76,-81,-44,-72,-68,-100,-80,-83,-72,-72,-100,-86,-100,-81,-81,-84,-100,-100,-72,-100,-100,-77,-100,-100,-84,-82,-100,-81,-82,-100,-100,-100,-76,-100,-100,-100,-100,-88,-100,-85,-81,-86,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-81,-80,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1437804007623
-79,-80,-83,-100,-100,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-76,-100,-100,-73,-74,-67,-70,-70,-77,-58,-58,-100,-100,-77,-77,-55,-55,-69,-75,-76,-57,-57,-81,-81,-86,-76,-74,-74,-100,-100,-100,-100,-74,-70,-100,-58,-77,-55,-57,-85,-74,-76,-87,-100,-49,-49,-69,-69,-76,-73,-80,-49,-72,-69,-100,-80,-86,-69,-69,-82,-83,-100,-85,-85,-86,-100,-100,-100,-83,-100,-72,-100,-100,-86,-79,-100,-80,-80,-100,-100,-100,-72,-100,-79,-100,-100,-88,-100,-89,-81,-86,-90,-100,-100,-100,-82,-100,-100,-100,-81,-100,-80,-100,-100,-82,-81,-80,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1441571496239
-80,-80,-83,-100,-100,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-82,-100,-100,-65,-66,-58,-68,-68,-77,-59,-59,-84,-85,-77,-77,-53,-53,-70,-76,-76,-55,-55,-87,-81,-85,-78,-73,-73,-100,-100,-84,-100,-65,-68,-85,-59,-76,-53,-54,-84,-73,-82,-85,-100,-44,-44,-64,-64,-82,-77,-80,-43,-76,-65,-100,-80,-84,-71,-70,-82,-83,-82,-84,-84,-85,-100,-100,-71,-83,-82,-78,-100,-100,-84,-82,-100,-80,-80,-100,-100,-100,-77,-100,-79,-100,-100,-100,-100,-89,-100,-100,-88,-87,-100,-100,-82,-100,-100,-100,-78,-79,-79,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1445414836239
-76,-76,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-79,-100,-100,-65,-65,-61,-68,-68,-75,-65,-65,-84,-85,-76,-76,-58,-58,-73,-78,-78,-53,-54,-87,-100,-86,-78,-73,-73,-100,-100,-84,-100,-65,-68,-85,-66,-76,-58,-53,-86,-73,-79,-85,-100,-44,-44,-67,-67,-79,-74,-80,-44,-76,-67,-100,-81,-85,-73,-73,-100,-100,-82,-86,-86,-85,-100,-100,-72,-100,-82,-74,-100,-100,-84,-82,-100,-80,-80,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-85,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-78,-79,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,526,1449322195393
-76,-76,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-82,-100,-100,-75,-75,-66,-74,-73,-82,-61,-61,-100,-100,-82,-81,-59,-58,-71,-100,-100,-57,-56,-100,-81,-86,-76,-69,-69,-100,-100,-100,-100,-75,-74,-100,-61,-82,-59,-57,-87,-69,-82,-88,-100,-54,-54,-68,-100,-81,-74,-80,-54,-100,-68,-92,-79,-82,-72,-72,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-74,-100,-100,-87,-81,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-81,-100,-86,-88,-100,-100,-80,-100,-80,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1491911408857
-76,-76,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-79,-100,-100,-77,-77,-66,-74,-73,-76,-66,-66,-100,-100,-76,-76,-59,-58,-71,-100,-76,-58,-58,-100,-82,-87,-76,-70,-70,-100,-100,-100,-100,-75,-74,-100,-65,-75,-59,-58,-87,-70,-80,-88,-100,-52,-52,-68,-67,-79,-74,-81,-52,-76,-68,-92,-81,-79,-71,-71,-100,-100,-100,-88,-100,-88,-100,-100,-71,-100,-81,-74,-100,-100,-87,-81,-100,-81,-81,-100,-100,-100,-74,-100,-100,-100,-100,-91,-100,-88,-81,-100,-86,-87,-100,-100,-80,-100,-80,-100,-77,-77,-77,-100,-100,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1495657537088
-78,-78,-100,-100,-100,-100,-100,-100,-78,-80,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-78,-100,-100,-76,-76,-66,-100,-100,-78,-65,-66,-100,-100,-78,-79,-62,-62,-69,-76,-76,-57,-57,-86,-82,-85,-74,-70,-69,-100,-100,-100,-100,-77,-100,-100,-66,-78,-63,-57,-85,-70,-78,-100,-100,-53,-53,-70,-69,-78,-70,-79,-53,-76,-69,-100,-80,-79,-71,-71,-100,-100,-100,-85,-85,-100,-100,-100,-71,-100,-100,-74,-100,-100,-100,-81,-100,-80,-80,-100,-100,-100,-74,-100,-100,-100,-100,-91,-100,-88,-83,-100,-100,-88,-100,-100,-82,-100,-83,-100,-78,-78,-79,-100,-100,-100,-100,-100,-100,-87,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1499526568396
-78,-78,-100,-100,-100,-100,-100,-100,-78,-80,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-79,-100,-100,-77,-78,-65,-74,-74,-78,-66,-66,-100,-100,-78,-79,-63,-63,-71,-76,-76,-57,-57,-86,-100,-85,-74,-69,-69,-100,-100,-100,-100,-78,-74,-100,-66,-79,-63,-57,-84,-69,-80,-100,-100,-53,-53,-69,-69,-79,-74,-80,-53,-76,-69,-100,-80,-79,-71,-71,-100,-100,-83,-85,-85,-100,-100,-100,-71,-100,-100,-74,-100,-100,-100,-83,-100,-80,-80,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-82,-100,-83,-100,-78,-78,-79,-100,-100,-100,-100,-100,-100,-86,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1503283505319
-78,-78,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-79,-100,-100,-78,-77,-65,-74,-74,-78,-66,-66,-100,-100,-78,-79,-63,-63,-73,-100,-100,-57,-57,-86,-100,-85,-77,-70,-70,-100,-100,-100,-100,-78,-74,-100,-66,-79,-63,-57,-86,-70,-79,-100,-100,-53,-53,-69,-69,-79,-74,-80,-53,-76,-69,-100,-80,-80,-71,-71,-100,-100,-83,-86,-85,-100,-100,-100,-72,-100,-84,-74,-100,-100,-100,-82,-100,-80,-80,-100,-100,-100,-74,-100,-85,-100,-100,-100,-100,-85,-83,-100,-85,-87,-100,-100,-100,-100,-82,-100,-78,-100,-79,-100,-100,-100,-100,-100,-100,-86,-86,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1507003142935
-77,-77,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-80,-100,-100,-77,-78,-66,-74,-74,-78,-66,-67,-100,-100,-78,-78,-63,-63,-72,-76,-100,-57,-57,-100,-100,-86,-76,-70,-70,-100,-100,-100,-100,-78,-74,-100,-66,-78,-63,-57,-85,-70,-80,-100,-100,-53,-53,-69,-69,-80,-74,-80,-53,-76,-69,-100,-80,-86,-71,-71,-100,-100,-82,-86,-86,-100,-100,-100,-72,-100,-84,-74,-100,-100,-100,-82,-100,-80,-80,-100,-100,-100,-74,-100,-85,-100,-100,-100,-100,-85,-82,-100,-85,-87,-100,-100,-82,-100,-84,-100,-78,-100,-79,-100,-100,-100,-100,-100,-100,-87,-87,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,509,1510793253551
-79,-79,-100,-100,-100,-78,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-77,-100,-100,-75,-75,-67,-100,-100,-76,-61,-61,-100,-100,-75,-75,-60,-60,-74,-78,-77,-64,-64,-100,-100,-84,-76,-73,-73,-100,-100,-100,-100,-75,-100,-100,-62,-76,-60,-64,-83,-73,-77,-100,-100,-100,-58,-63,-63,-77,-74,-83,-100,-78,-63,-100,-83,-81,-75,-76,-100,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-73,-100,-74,-100,-100,-100,-100,-85,-79,-85,-85,-100,-100,-100,-79,-100,-80,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1550918459322
-76,-76,-76,-100,-100,-78,-100,-100,-76,-79,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-77,-100,-100,-77,-77,-71,-76,-77,-76,-62,-62,-100,-100,-76,-76,-61,-62,-73,-78,-76,-65,-65,-100,-78,-82,-76,-73,-72,-100,-100,-100,-100,-77,-77,-100,-63,-76,-61,-65,-82,-73,-77,-100,-100,-60,-59,-62,-62,-77,-74,-81,-60,-78,-62,-100,-81,-80,-75,-75,-100,-100,-78,-82,-82,-100,-100,-100,-75,-100,-78,-74,-100,-100,-100,-78,-100,-81,-81,-100,-100,-100,-73,-100,-74,-100,-100,-100,-100,-87,-79,-87,-87,-100,-100,-100,-78,-100,-80,-100,-79,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1554602832092
-75,-75,-76,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-77,-100,-100,-76,-76,-72,-78,-77,-75,-62,-62,-100,-100,-76,-75,-60,-60,-73,-73,-74,-66,-66,-100,-78,-83,-100,-72,-72,-100,-100,-100,-100,-76,-78,-100,-62,-76,-61,-66,-83,-72,-77,-100,-100,-59,-58,-61,-61,-77,-74,-80,-58,-74,-61,-100,-80,-80,-75,-75,-100,-100,-78,-83,-83,-100,-100,-100,-76,-100,-78,-74,-100,-100,-100,-77,-100,-81,-80,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-87,-100,-88,-87,-100,-100,-100,-77,-100,-78,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1558300924092
-76,-76,-77,-100,-100,-77,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-77,-100,-100,-76,-76,-70,-79,-77,-76,-62,-62,-100,-100,-76,-76,-60,-60,-100,-73,-74,-67,-67,-100,-78,-82,-74,-73,-73,-100,-100,-100,-100,-76,-78,-100,-62,-76,-61,-66,-83,-73,-78,-100,-100,-58,-59,-61,-61,-78,-74,-82,-61,-74,-61,-100,-82,-80,-100,-100,-100,-100,-78,-82,-82,-100,-100,-100,-76,-100,-78,-74,-100,-100,-100,-77,-100,-82,-82,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-84,-100,-84,-85,-100,-100,-100,-77,-100,-78,-100,-81,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1561966327554
-76,-76,-77,-100,-100,-77,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-78,-100,-100,-76,-76,-71,-79,-100,-77,-64,-64,-100,-100,-77,-77,-62,-61,-71,-74,-74,-65,-65,-100,-100,-83,-76,-72,-72,-100,-100,-100,-100,-76,-100,-100,-64,-77,-61,-65,-83,-72,-78,-100,-100,-60,-61,-61,-61,-77,-73,-82,-61,-74,-61,-100,-82,-80,-100,-74,-100,-100,-78,-83,-83,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-77,-100,-82,-82,-100,-100,-100,-72,-100,-77,-100,-100,-88,-100,-83,-100,-83,-83,-88,-100,-100,-100,-100,-100,-100,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-91,-86,-87,-86,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1565692846708
-76,-76,-77,-100,-100,-77,-100,-100,-76,-78,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-78,-100,-100,-76,-76,-69,-100,-100,-77,-63,-63,-100,-100,-78,-78,-62,-61,-71,-74,-73,-67,-67,-100,-100,-83,-76,-72,-72,-100,-100,-100,-100,-77,-100,-100,-63,-78,-61,-67,-83,-72,-78,-100,-100,-62,-62,-62,-62,-78,-72,-85,-62,-74,-62,-100,-85,-80,-74,-74,-100,-100,-100,-83,-83,-100,-100,-100,-74,-100,-100,-72,-100,-100,-100,-77,-100,-85,-85,-100,-100,-100,-72,-100,-74,-100,-100,-88,-100,-81,-100,-82,-82,-89,-100,-100,-100,-100,-80,-100,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-91,-86,-87,-86,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,492,1569364571169
-79,-79,-73,-100,-100,-73,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-78,-100,-100,-79,-100,-71,-74,-100,-76,-66,-66,-100,-100,-100,-76,-57,-58,-69,-74,-75,-65,-65,-100,-100,-77,-71,-100,-70,-100,-100,-100,-100,-100,-100,-100,-66,-76,-58,-65,-77,-70,-78,-100,-100,-62,-62,-63,-63,-78,-71,-82,-62,-74,-63,-100,-83,-79,-68,-100,-100,-100,-100,-77,-77,-88,-100,-100,-68,-100,-81,-71,-100,-100,-100,-79,-100,-82,-82,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-84,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-80,-100,-81,-100,-100,-85,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1616094306326
-80,-80,-74,-100,-100,-74,-100,-100,-80,-74,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-84,-100,-100,-77,-78,-74,-100,-76,-75,-65,-65,-100,-100,-75,-75,-59,-59,-69,-74,-74,-65,-65,-100,-83,-78,-77,-71,-71,-100,-100,-100,-100,-77,-100,-100,-65,-75,-59,-65,-77,-71,-83,-100,-100,-62,-62,-65,-65,-100,-72,-82,-62,-74,-65,-100,-82,-82,-67,-67,-100,-100,-100,-78,-77,-100,-100,-100,-67,-100,-100,-72,-100,-100,-100,-78,-100,-82,-82,-100,-100,-100,-72,-100,-73,-100,-100,-100,-100,-80,-77,-81,-80,-87,-100,-100,-77,-100,-78,-100,-81,-100,-81,-84,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-83,-85,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1630392054327
-80,-81,-74,-100,-100,-74,-100,-100,-81,-74,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-78,-78,-75,-77,-76,-75,-65,-65,-100,-100,-75,-75,-59,-59,-69,-74,-73,-65,-65,-100,-100,-77,-77,-71,-71,-100,-100,-100,-100,-78,-77,-100,-65,-75,-59,-65,-78,-71,-100,-100,-100,-61,-62,-65,-65,-100,-72,-82,-61,-74,-65,-100,-82,-81,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-67,-100,-100,-72,-100,-100,-100,-80,-100,-82,-82,-100,-100,-100,-72,-100,-80,-100,-100,-100,-100,-80,-77,-81,-80,-87,-100,-100,-77,-100,-78,-100,-81,-100,-82,-83,-84,-100,-100,-100,-100,-86,-87,-89,-100,-100,-92,-100,-88,-82,-100,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1634138521712
