60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,b4:5d:50:e1:96:53,38:17:c3:1f:00:b1,b4:5d:50:e1:96:52,38:17:c3:1f:00:b2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,44:48:c1:91:d0:02,44:48:c1:91:d0:00,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:09:83,38:17:c3:1f:09:81,38:17:c3:1f:09:82,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:a3,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,44:48:c1:91:95:b3,38:17:c3:1f:09:93,b4:5d:50:e1:96:50,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,44:48:c1:91:d0:11,38:17:c3:1f:14:10,38:17:c3:19:45:a0,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,66:2a:2f:53:7c:99,20:a6:cd:42:0a:c0,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:aa:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:14:00,38:17:c3:1f:09:80,44:48:c1:91:95:b2,38:17:c3:24:47:50,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:40,20:a6:cd:42:0a:d2,38:17:c3:1f:19:c0,a8:bd:27:4c:aa:90,38:17:c3:19:45:a2,38:17:c3:19:45:a1,a8:bd:27:4c:aa:82,38:17:c3:1f:00:a0,38:17:c3:19:45:b0,44:48:c1:91:95:a2,a8:bd:27:4c:aa:92,38:17:c3:24:47:51,b6:e6:2d:69:d5:58,44:48:c1:91:aa:21,a8:bd:27:4c:aa:81,44:48:c1:91:aa:20,20:a6:cd:42:13:e0,a8:bd:27:4c:aa:80,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:e1,38:17:c3:1f:19:e0,38:17:c3:1f:19:e2,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:f1,80:8d:b7:55:35:02,80:8d:b7:55:35:13,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:19:71:90,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,80:8d:b7:55:35:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,20:a6:cd:50:24:a2,38:17:c3:19:71:91,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:29:c2,38:17:c3:19:71:81,38:17:c3:19:71:82,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:12,80:8d:b7:55:29:c1,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:19:36:22,38:17:c3:19:36:21,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c0,38:17:c3:19:36:20,20:a6:cd:50:24:a0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b1,38:17:c3:1f:0e:10,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:0e:12,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:00,38:17:c3:1f:0e:11,x,y,timestamp
-60,-78,-63,-63,-100,-79,-80,-82,-87,-69,-100,-69,-76,-77,-80,-84,-100,-100,-90,-100,-74,-74,-82,-83,-83,-78,-100,-100,-87,-100,-100,-100,-100,-87,-69,-80,-83,-90,-74,-79,-82,-100,-100,-100,-80,-67,-67,-100,-100,-100,-100,-100,-100,-67,-82,-100,-100,-86,-86,-86,-85,-85,-100,-100,-100,-100,-100,-100,-80,-86,-100,-100,-79,-78,-76,-63,-86,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,674,1183352353992
-64,-79,-55,-55,-83,-100,-100,-80,-83,-69,-83,-69,-80,-80,-81,-100,-100,-100,-87,-100,-76,-75,-100,-100,-100,-83,-100,-100,-86,-100,-100,-100,-100,-83,-69,-81,-100,-100,-76,-80,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-83,-84,-85,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-80,-79,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1237247302149
-69,-79,-55,-55,-84,-100,-100,-85,-84,-71,-84,-71,-80,-80,-100,-80,-79,-100,-87,-86,-76,-76,-87,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-84,-70,-82,-79,-86,-76,-81,-83,-100,-100,-100,-82,-71,-71,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-84,-84,-85,-83,-82,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-82,-82,-100,-56,-82,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-77,-82,-100,-100,-100,-100,-100,-89,-89,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1251595570535
-65,-79,-55,-56,-85,-100,-100,-83,-84,-70,-84,-70,-80,-80,-82,-100,-79,-100,-87,-86,-76,-76,-87,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-84,-70,-100,-100,-87,-77,-82,-83,-100,-100,-100,-82,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-82,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-81,-82,-80,-56,-83,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-77,-82,-100,-100,-100,-100,-82,-89,-89,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1255117656535
-66,-78,-55,-53,-84,-100,-100,-85,-84,-69,-84,-69,-80,-81,-82,-80,-80,-100,-87,-87,-76,-76,-100,-100,-100,-80,-100,-100,-81,-100,-100,-100,-100,-85,-69,-100,-80,-86,-76,-82,-83,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-84,-82,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-81,-82,-80,-53,-83,-87,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-76,-100,-100,-100,-100,-100,-82,-88,-88,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1258666155766
-66,-79,-55,-55,-85,-100,-100,-85,-85,-70,-85,-70,-79,-81,-82,-80,-80,-85,-87,-85,-76,-76,-100,-100,-100,-80,-100,-100,-86,-100,-100,-100,-100,-85,-70,-81,-79,-86,-76,-100,-100,-100,-100,-100,-81,-71,-71,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-84,-84,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-81,-82,-82,-55,-81,-87,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1262138090920
-67,-79,-56,-55,-84,-100,-100,-84,-85,-70,-85,-70,-82,-81,-81,-80,-80,-86,-86,-86,-77,-76,-100,-100,-100,-81,-100,-100,-86,-100,-100,-100,-100,-85,-70,-82,-79,-86,-76,-100,-100,-100,-100,-100,-81,-71,-71,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-85,-85,-84,-83,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-81,-100,-80,-55,-82,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-77,-82,-100,-100,-100,-100,-82,-89,-88,-82,-81,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,130,674,1265748048305
-68,-80,-55,-55,-100,-85,-100,-83,-85,-62,-85,-62,-83,-81,-100,-100,-100,-100,-100,-100,-72,-72,-80,-100,-80,-77,-100,-100,-100,-100,-100,-100,-100,-86,-62,-83,-100,-100,-72,-80,-100,-100,-100,-100,-100,-66,-65,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-88,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-79,-79,-80,-55,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-76,-100,-100,-100,-100,-100,-100,-100,-80,-80,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1305936529461
-73,-81,-56,-56,-100,-85,-85,-83,-85,-62,-85,-62,-83,-81,-82,-100,-100,-100,-100,-100,-72,-72,-80,-100,-80,-76,-100,-100,-100,-100,-100,-100,-100,-86,-62,-83,-100,-100,-71,-79,-100,-100,-100,-100,-83,-67,-67,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-88,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-79,-78,-79,-56,-81,-100,-100,-100,-100,-100,-79,-100,-100,-80,-100,-100,-100,-75,-82,-100,-100,-100,-100,-100,-88,-88,-81,-82,-85,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1309338828538
-71,-79,-55,-55,-86,-85,-85,-83,-86,-61,-86,-61,-84,-81,-82,-100,-100,-100,-100,-100,-72,-71,-80,-80,-79,-76,-100,-100,-100,-100,-100,-100,-100,-86,-61,-83,-100,-100,-71,-78,-100,-100,-100,-100,-83,-66,-66,-100,-100,-100,-100,-100,-100,-66,-79,-100,-100,-100,-88,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-78,-79,-79,-55,-80,-100,-100,-100,-100,-100,-78,-100,-100,-79,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-88,-89,-81,-82,-85,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1312945579462
-69,-80,-55,-55,-86,-100,-100,-100,-86,-61,-86,-61,-83,-100,-84,-100,-100,-100,-100,-100,-72,-72,-81,-81,-80,-76,-100,-100,-100,-100,-100,-100,-100,-86,-61,-84,-100,-100,-72,-78,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-100,-66,-79,-100,-100,-100,-88,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-78,-78,-79,-55,-81,-100,-100,-100,-100,-100,-79,-100,-100,-79,-100,-100,-100,-75,-80,-100,-100,-100,-100,-80,-88,-88,-81,-82,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1316379840385
-69,-79,-55,-55,-100,-84,-83,-100,-85,-62,-100,-62,-85,-82,-84,-100,-100,-100,-100,-100,-72,-72,-81,-81,-80,-76,-100,-100,-100,-100,-100,-100,-100,-86,-62,-84,-100,-100,-72,-78,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-88,-88,-100,-81,-81,-100,-100,-100,-100,-100,-100,-84,-88,-100,-100,-78,-78,-80,-55,-82,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-100,-100,-75,-80,-100,-100,-100,-100,-80,-88,-88,-81,-82,-86,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1319900579770
-71,-81,-55,-55,-100,-84,-83,-100,-85,-62,-100,-62,-83,-83,-85,-100,-100,-100,-100,-100,-72,-72,-80,-100,-80,-77,-100,-100,-100,-100,-100,-100,-100,-86,-61,-100,-100,-100,-72,-78,-100,-100,-100,-100,-84,-66,-66,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-88,-88,-100,-82,-82,-100,-100,-100,-100,-100,-100,-84,-89,-100,-100,-78,-78,-80,-55,-82,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-86,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,674,1323490166231
-73,-81,-52,-52,-100,-100,-100,-89,-100,-62,-100,-62,-86,-84,-100,-100,-100,-100,-100,-100,-74,-74,-81,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-89,-62,-100,-100,-100,-74,-79,-87,-100,-91,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-88,-88,-88,-78,-78,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-79,-78,-78,-52,-78,-100,-100,-100,-100,-100,-79,-100,-100,-80,-100,-100,-100,-80,-100,-100,-100,-100,-100,-81,-86,-87,-81,-81,-86,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1373391097388
-71,-81,-53,-54,-100,-100,-100,-89,-100,-60,-100,-60,-84,-84,-83,-100,-100,-100,-100,-100,-70,-70,-85,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-89,-60,-100,-100,-100,-70,-79,-87,-100,-91,-100,-84,-71,-71,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-88,-89,-88,-82,-82,-100,-100,-100,-100,-100,-100,-84,-88,-100,-100,-79,-78,-78,-54,-82,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-79,-100,-100,-100,-100,-100,-81,-86,-87,-81,-81,-86,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1376808730388
-71,-88,-53,-53,-100,-100,-100,-84,-88,-62,-100,-62,-84,-84,-83,-100,-100,-100,-90,-100,-70,-70,-82,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-88,-63,-100,-100,-100,-70,-79,-87,-100,-91,-100,-84,-71,-72,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-88,-88,-88,-80,-80,-100,-100,-100,-100,-100,-100,-84,-88,-100,-100,-79,-79,-78,-54,-80,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-78,-78,-100,-100,-100,-100,-81,-88,-88,-82,-81,-86,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1380255032773
-66,-88,-53,-53,-100,-100,-100,-84,-88,-59,-100,-59,-83,-100,-83,-100,-100,-100,-90,-100,-72,-72,-80,-79,-79,-77,-100,-100,-100,-100,-100,-100,-100,-88,-59,-84,-100,-100,-72,-80,-100,-100,-100,-93,-83,-69,-69,-100,-100,-100,-100,-100,-100,-70,-80,-100,-100,-88,-88,-88,-79,-79,-100,-100,-100,-100,-100,-100,-84,-87,-100,-100,-81,-81,-77,-53,-80,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-78,-85,-100,-100,-100,-100,-82,-88,-88,-82,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1383748569312
-66,-100,-51,-51,-100,-100,-100,-87,-100,-67,-100,-67,-83,-100,-100,-100,-100,-100,-100,-100,-75,-75,-80,-79,-79,-74,-100,-100,-100,-100,-100,-100,-100,-100,-68,-84,-100,-100,-75,-80,-100,-100,-100,-93,-83,-70,-70,-100,-100,-100,-100,-100,-100,-70,-83,-100,-100,-100,-91,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-83,-81,-73,-52,-80,-100,-100,-100,-100,-100,-74,-100,-100,-77,-100,-100,-100,-80,-85,-100,-100,-100,-100,-82,-85,-85,-82,-100,-87,-87,-87,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1387292888928
-71,-86,-57,-57,-100,-100,-100,-83,-89,-65,-100,-65,-87,-100,-100,-100,-100,-100,-100,-100,-73,-73,-82,-82,-83,-77,-100,-100,-100,-100,-100,-100,-100,-88,-65,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-70,-83,-100,-100,-100,-88,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-77,-57,-81,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-83,-84,-100,-82,-86,-87,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,160,674,1390721223851
-71,-100,-55,-55,-100,-100,-100,-100,-100,-52,-100,-52,-85,-100,-100,-100,-100,-100,-100,-100,-77,-78,-84,-100,-100,-81,-100,-100,-100,-100,-100,-100,-89,-100,-52,-100,-100,-100,-78,-77,-100,-100,-100,-100,-84,-72,-72,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-81,-55,-78,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-75,-79,-100,-100,-100,-100,-79,-87,-86,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1464726300009
-71,-83,-54,-53,-100,-100,-100,-85,-100,-51,-100,-52,-85,-81,-100,-100,-100,-100,-100,-100,-76,-76,-84,-100,-81,-78,-100,-100,-100,-100,-100,-100,-89,-100,-52,-100,-100,-100,-77,-78,-100,-100,-100,-100,-84,-70,-71,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-81,-53,-77,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-73,-76,-100,-100,-100,-100,-78,-87,-87,-78,-78,-89,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1468164010394
