_id,x,y,bssid,ssid,capabilities,frequency,level,atTimestamp
1,267.4443359375,669.299072265625,ea:9e:b4:53:24:54,DIRECT-54-HP M227f LaserJet,[WPA2-PSK-CCMP][ESS][WPS],2437.0,-51.0,2677819375904.0
2,267.4443359375,669.299072265625,38:17:c3:1f:0e:00,csu-guest,[ESS],2412.0,-52.0,2677819375904.0
3,267.4443359375,669.299072265625,38:17:c3:1f:0e:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-52.0,2677819375904.0
4,267.4443359375,669.299072265625,38:17:c3:1f:0e:02,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-53.0,2677819375904.0
5,267.4443359375,669.299072265625,38:17:c3:1f:0e:11,csu-eid,[WPA2-EAP-CCMP][ESS],5180.0,-55.0,2677819375904.0
6,267.4443359375,669.299072265625,38:17:c3:1f:0e:12,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-56.0,2677819375904.0
7,267.4443359375,669.299072265625,38:17:c3:1f:0e:10,csu-guest,[ESS],5180.0,-56.0,2677819375904.0
8,267.4443359375,669.299072265625,80:8d:b7:55:35:13,engr_labs,[WPA2-PSK-CCMP][ESS],5765.0,-69.0,2677819375904.0
9,267.4443359375,669.299072265625,80:8d:b7:55:35:12,eduroam,[WPA2-EAP-CCMP][ESS],5765.0,-70.0,2677819375904.0
10,267.4443359375,669.299072265625,80:8d:b7:55:35:10,csu-guest,[ESS],5765.0,-70.0,2677819375904.0
11,267.4443359375,669.299072265625,80:8d:b7:55:35:11,csu-eid,[WPA2-EAP-CCMP][ESS],5765.0,-71.0,2677819375904.0
12,267.4443359375,669.299072265625,b0:be:76:f8:30:5e,TP-Link_305E,[WPA2-PSK-CCMP][ESS][WPS],2417.0,-72.0,2677819375904.0
13,267.4443359375,669.299072265625,80:8d:b7:55:39:c2,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-73.0,2677819375904.0
14,267.4443359375,669.299072265625,38:17:c3:1f:01:82,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-74.0,2677819375904.0
15,267.4443359375,669.299072265625,80:8d:b7:55:39:c1,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-74.0,2677819375904.0
16,267.4443359375,669.299072265625,38:17:c3:1f:01:80,csu-guest,[ESS],2437.0,-74.0,2677819375904.0
17,267.4443359375,669.299072265625,80:8d:b7:55:39:c0,csu-guest,[ESS],2412.0,-75.0,2677819375904.0
18,267.4443359375,669.299072265625,80:8d:b7:55:39:d2,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-76.0,2677819375904.0
19,267.4443359375,669.299072265625,80:8d:b7:55:39:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-76.0,2677819375904.0
20,267.4443359375,669.299072265625,80:8d:b7:55:39:d0,csu-guest,[ESS],5240.0,-76.0,2677819375904.0
21,267.4443359375,669.299072265625,80:8d:b7:55:35:03,engr_labs,[WPA2-PSK-CCMP][ESS],2462.0,-76.0,2677819375904.0
22,267.4443359375,669.299072265625,80:8d:b7:55:35:02,eduroam,[WPA2-EAP-CCMP][ESS],2462.0,-76.0,2677819375904.0
23,267.4443359375,669.299072265625,80:8d:b7:55:35:01,csu-eid,[WPA2-EAP-CCMP][ESS],2462.0,-77.0,2677819375904.0
24,267.4443359375,669.299072265625,80:8d:b7:55:35:00,csu-guest,[ESS],2462.0,-77.0,2677819375904.0
25,267.4443359375,669.299072265625,80:8d:b7:55:3a:52,eduroam,[WPA2-EAP-CCMP][ESS],5785.0,-79.0,2677819375904.0
