38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:10,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:13,38:17:c3:1f:01:90,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:35:02,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:35:00,80:8d:b7:55:35:01,38:17:c3:1f:01:82,80:8d:b7:55:25:f0,44:48:c1:a5:82:31,44:48:c1:a5:82:32,44:48:c1:a5:82:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,20:a6:cd:50:24:a1,80:8d:b7:55:25:e2,44:48:c1:a5:82:20,44:48:c1:a5:82:21,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e1,80:8d:b7:55:3a:52,44:48:c1:a5:82:22,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,00:4e:35:df:06:50,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,38:17:c3:19:d7:60,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,38:17:c3:19:d7:62,b4:5d:50:e1:92:23,b4:5d:50:e1:96:53,38:17:c3:1f:22:30,38:17:c3:1f:0e:11,38:17:c3:1f:01:80,38:17:c3:1f:01:81,b0:be:76:f8:30:5e,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:25:e0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,72:32:b1:3e:1a:b8,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,00:4e:35:df:06:41,00:4e:35:df:06:42,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,72:32:b1:3e:1a:b7,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:50,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,60:32:b1:3e:1a:b8,b4:5d:50:e1:96:50,60:32:b1:3e:1a:b7,66:2a:2f:53:7c:99,b4:5d:50:e1:92:33,38:17:c3:19:45:a2,38:17:c3:1f:09:90,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:de:e1:11,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,68:ff:7b:e4:af:38,38:17:c3:19:71:90,00:4e:35:de:e1:00,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:1f:09:83,00:4e:35:de:e1:10,b4:5d:50:e1:96:52,b4:5d:50:e1:92:30,00:4e:35:de:e1:02,b4:5d:50:e1:96:51,20:a6:cd:42:0b:f3,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,b4:5d:50:e1:92:21,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:22,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,a8:bd:27:4c:bd:31,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:1f:08:52,00:4e:35:de:e1:01,38:17:c3:19:55:40,44:48:c1:91:95:b0,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:1f:22:20,38:17:c3:1f:22:21,00:4e:35:de:d7:50,38:17:c3:19:71:92,00:4e:35:df:0e:12,44:48:c1:91:95:b3,38:17:c3:19:71:91,38:17:c3:1f:22:22,38:17:c3:1f:22:31,38:17:c3:1f:22:32,00:4e:35:de:d7:43,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:de:d7:41,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,timestamp
-76,-75,-65,-100,-100,-100,-72,-75,-58,-58,-58,-76,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-62,-62,-62,-81,-80,-80,-100,-100,-66,-66,-100,-100,-68,-65,-100,-89,-100,-69,-69,-78,-77,-100,-100,-100,-78,-100,-100,-100,-100,-89,-100,-100,-100,-100,-75,-100,-100,-68,-69,-69,-70,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-83,-80,-80,-80,-100,-100,-86,-100,-100,-82,-89,-81,-100,-100,-88,-100,-87,-81,-100,-91,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-89,-92,-100,-89,-100,-100,-85,-85,-86,-100,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1925764185069
-75,-75,-66,-100,-100,-100,-73,-75,-59,-58,-59,-75,-75,-100,-100,-100,-81,-100,-74,-79,-81,-100,-100,-62,-62,-62,-100,-100,-100,-100,-100,-70,-87,-100,-100,-69,-65,-89,-100,-100,-69,-69,-78,-77,-100,-100,-100,-100,-89,-87,-100,-100,-100,-100,-100,-100,-91,-75,-100,-100,-67,-71,-71,-71,-100,-100,-100,-85,-100,-100,-100,-100,-83,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-84,-100,-84,-89,-81,-100,-100,-83,-100,-100,-81,-100,-100,-100,-89,-100,-100,-100,-83,-100,-100,-89,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-82,-84,-100,-100,-100,-89,-81,-100,-85,-85,-85,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1928412359187
-75,-100,-64,-100,-82,-100,-71,-73,-58,-57,-57,-73,-73,-100,-100,-100,-81,-100,-74,-81,-81,-100,-88,-64,-64,-64,-80,-79,-80,-100,-100,-65,-65,-100,-100,-67,-65,-87,-100,-100,-68,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-74,-100,-100,-65,-72,-72,-71,-81,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-85,-80,-79,-80,-100,-100,-100,-100,-100,-85,-90,-81,-100,-100,-100,-82,-100,-80,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-91,-89,-100,-100,-100,-88,-100,-100,-100,-100,-100,-88,-100,-100,-86,-87,-85,-100,-100,-85,-100,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1931058152054
-76,-77,-65,-100,-100,-100,-71,-76,-57,-59,-59,-76,-75,-100,-100,-100,-78,-80,-100,-79,-78,-100,-81,-100,-100,-100,-80,-80,-81,-100,-83,-64,-64,-100,-83,-68,-64,-100,-100,-100,-68,-72,-77,-77,-100,-100,-100,-77,-89,-90,-100,-100,-88,-91,-100,-100,-94,-76,-100,-100,-66,-72,-72,-72,-83,-100,-100,-83,-100,-100,-100,-100,-82,-83,-100,-100,-100,-84,-80,-81,-80,-100,-100,-100,-100,-100,-84,-87,-81,-100,-100,-83,-83,-83,-79,-100,-100,-100,-89,-100,-100,-100,-83,-100,-100,-89,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-90,-81,-100,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1933763724147
-100,-100,-69,-100,-81,-100,-70,-71,-58,-58,-57,-71,-72,-100,-100,-100,-77,-100,-100,-77,-77,-100,-81,-67,-66,-67,-81,-81,-81,-100,-100,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-91,-75,-100,-100,-67,-67,-67,-67,-83,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-91,-78,-78,-78,-100,-100,-85,-100,-100,-100,-87,-83,-100,-100,-82,-83,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-89,-85,-100,-100,-100,-100,-91,-100,-100,-86,-87,-86,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1936402323316
-74,-75,-71,-100,-100,-100,-71,-75,-57,-58,-58,-100,-74,-100,-100,-100,-100,-79,-100,-100,-100,-100,-81,-63,-63,-63,-82,-81,-80,-100,-83,-65,-65,-100,-83,-66,-66,-88,-86,-87,-65,-65,-81,-82,-100,-100,-100,-82,-86,-87,-100,-100,-86,-100,-100,-100,-91,-74,-100,-100,-69,-68,-68,-68,-82,-100,-100,-85,-100,-100,-78,-100,-84,-86,-100,-100,-100,-88,-76,-77,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-100,-81,-86,-81,-81,-100,-92,-92,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-100,-100,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,336,1939156059111
-100,-73,-100,-100,-100,-79,-66,-69,-65,-65,-65,-100,-69,-100,-100,-100,-84,-78,-82,-100,-100,-100,-77,-65,-65,-65,-77,-77,-77,-100,-78,-68,-68,-100,-80,-64,-68,-87,-85,-85,-65,-64,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-72,-100,-100,-66,-70,-70,-70,-79,-100,-100,-100,-100,-77,-100,-100,-82,-82,-100,-100,-100,-90,-100,-84,-100,-100,-100,-100,-100,-100,-88,-87,-81,-100,-100,-81,-100,-82,-82,-81,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-86,-86,-100,-87,-87,-87,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,1999188492904
-100,-100,-100,-100,-100,-100,-67,-69,-65,-65,-65,-70,-70,-87,-88,-87,-84,-100,-100,-85,-84,-100,-77,-65,-65,-65,-77,-77,-77,-100,-100,-68,-68,-100,-100,-65,-68,-100,-100,-100,-65,-65,-74,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-82,-82,-81,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-86,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-91,-85,-100,-100,-88,-88,-89,-100,-100,-89,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,2001835099470
-100,-75,-70,-100,-78,-79,-67,-69,-65,-65,-65,-70,-70,-100,-100,-100,-100,-80,-100,-84,-100,-100,-77,-65,-65,-65,-77,-78,-76,-100,-79,-100,-100,-100,-79,-64,-100,-86,-85,-85,-65,-65,-76,-77,-100,-100,-100,-77,-100,-100,-100,-100,-100,-90,-100,-100,-88,-71,-100,-100,-66,-70,-69,-72,-79,-100,-100,-100,-100,-77,-77,-78,-83,-82,-100,-100,-100,-89,-82,-82,-83,-100,-100,-100,-100,-100,-100,-89,-80,-100,-100,-82,-82,-83,-81,-80,-100,-100,-85,-100,-100,-100,-83,-100,-100,-85,-100,-100,-100,-87,-100,-100,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-86,-100,-100,-87,-87,-88,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,2004507705517
-73,-73,-69,-100,-100,-100,-67,-70,-66,-65,-65,-70,-70,-100,-100,-100,-84,-77,-79,-84,-84,-100,-77,-64,-65,-65,-77,-77,-77,-100,-79,-68,-68,-100,-79,-65,-68,-85,-85,-86,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-72,-100,-100,-66,-70,-69,-100,-79,-100,-100,-100,-100,-77,-77,-78,-100,-82,-100,-100,-100,-89,-100,-82,-100,-100,-100,-100,-100,-100,-89,-87,-81,-100,-100,-82,-100,-100,-81,-81,-100,-90,-100,-100,-100,-100,-81,-100,-100,-86,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-92,-100,-86,-100,-100,-88,-88,-88,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,2007263293760
-72,-73,-70,-100,-100,-100,-67,-70,-66,-66,-66,-70,-69,-100,-100,-100,-84,-80,-100,-84,-86,-91,-77,-65,-64,-65,-76,-78,-77,-100,-78,-68,-68,-100,-79,-64,-68,-85,-85,-85,-64,-65,-74,-74,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-81,-91,-100,-66,-70,-69,-60,-78,-100,-100,-100,-100,-77,-77,-77,-100,-100,-100,-100,-100,-89,-100,-83,-100,-100,-100,-100,-100,-100,-100,-86,-81,-100,-100,-81,-100,-100,-81,-81,-100,-90,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-87,-100,-100,-88,-89,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,2009922506838
-100,-100,-69,-100,-100,-100,-67,-70,-66,-65,-65,-70,-70,-100,-100,-100,-83,-100,-100,-84,-84,-100,-79,-65,-65,-65,-79,-77,-77,-100,-100,-68,-68,-100,-100,-65,-68,-100,-100,-100,-65,-64,-75,-75,-100,-100,-100,-74,-91,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-66,-100,-70,-70,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-83,-83,-82,-100,-100,-83,-100,-100,-100,-88,-81,-100,-100,-81,-100,-82,-81,-100,-100,-90,-85,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-88,-100,-100,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-86,-100,-100,-91,-89,-89,-100,-100,-89,-90,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,312,2012498454022
-100,-100,-100,-100,-100,-100,-70,-74,-58,-58,-59,-74,-74,-100,-100,-100,-81,-100,-66,-100,-81,-100,-80,-66,-66,-66,-81,-80,-81,-100,-82,-75,-75,-87,-83,-58,-75,-88,-88,-87,-58,-58,-75,-74,-100,-100,-100,-75,-88,-100,-89,-90,-100,-88,-100,-100,-90,-73,-100,-100,-76,-67,-65,-67,-82,-100,-100,-85,-100,-100,-100,-100,-78,-77,-100,-100,-100,-86,-100,-78,-100,-100,-100,-85,-100,-100,-86,-87,-84,-100,-100,-84,-78,-85,-83,-84,-100,-100,-89,-100,-100,-100,-84,-100,-84,-89,-100,-100,-100,-88,-100,-100,-100,-100,-91,-100,-100,-88,-100,-100,-100,-100,-100,-89,-100,-100,-100,-88,-89,-87,-88,-100,-100,-92,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2065851622305
-74,-73,-69,-100,-100,-100,-71,-75,-59,-57,-58,-75,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-66,-66,-66,-80,-80,-81,-100,-100,-75,-74,-87,-100,-100,-75,-87,-88,-88,-100,-100,-77,-77,-100,-100,-100,-77,-100,-100,-88,-89,-100,-88,-100,-100,-91,-73,-100,-100,-76,-67,-67,-67,-100,-100,-100,-100,-100,-76,-76,-76,-78,-78,-100,-100,-100,-86,-78,-78,-100,-100,-100,-82,-85,-100,-85,-87,-84,-100,-100,-85,-100,-86,-83,-84,-90,-92,-90,-100,-100,-100,-85,-100,-84,-90,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-91,-100,-100,-87,-88,-89,-100,-100,-87,-92,-92,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2068608413309
-78,-74,-70,-83,-100,-100,-71,-74,-58,-58,-59,-75,-75,-100,-100,-100,-81,-100,-100,-82,-81,-100,-82,-66,-66,-66,-81,-80,-81,-100,-100,-74,-75,-88,-100,-59,-75,-87,-88,-87,-59,-59,-77,-76,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-89,-75,-100,-100,-77,-67,-66,-66,-82,-100,-100,-100,-100,-76,-76,-76,-78,-78,-100,-100,-100,-85,-78,-78,-80,-100,-100,-100,-100,-100,-86,-86,-83,-100,-100,-86,-100,-85,-83,-100,-89,-91,-100,-100,-100,-100,-86,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-81,-100,-90,-100,-90,-100,-100,-88,-87,-86,-100,-100,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2071267471699
-74,-74,-69,-100,-100,-100,-70,-75,-59,-59,-58,-75,-74,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-66,-66,-67,-81,-81,-81,-100,-83,-74,-75,-100,-100,-59,-75,-87,-88,-89,-59,-58,-79,-79,-100,-100,-100,-100,-87,-100,-89,-89,-100,-89,-100,-100,-90,-76,-100,-100,-75,-100,-68,-67,-83,-100,-100,-100,-100,-75,-74,-75,-78,-78,-100,-100,-100,-86,-78,-80,-100,-100,-100,-100,-100,-100,-86,-85,-84,-100,-100,-88,-73,-87,-83,-83,-88,-91,-100,-100,-100,-100,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-93,-100,-90,-100,-100,-88,-89,-88,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2073935991913
-100,-74,-68,-100,-100,-100,-71,-74,-59,-58,-59,-74,-75,-100,-100,-100,-82,-100,-77,-82,-81,-100,-81,-66,-66,-66,-80,-81,-81,-100,-82,-74,-75,-86,-81,-59,-75,-100,-100,-100,-59,-58,-75,-74,-100,-100,-100,-73,-100,-100,-89,-100,-100,-100,-100,-100,-92,-100,-100,-100,-77,-67,-67,-66,-100,-100,-100,-85,-100,-100,-100,-100,-78,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-86,-100,-85,-89,-83,-100,-100,-87,-79,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-86,-86,-87,-88,-87,-86,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2076579507645
-74,-100,-70,-100,-100,-100,-70,-73,-59,-59,-58,-74,-74,-100,-100,-100,-81,-80,-100,-100,-82,-100,-81,-66,-66,-67,-81,-81,-81,-100,-83,-74,-75,-85,-84,-59,-75,-88,-88,-87,-59,-59,-74,-74,-100,-100,-100,-74,-88,-100,-88,-100,-100,-100,-100,-100,-91,-100,-100,-100,-76,-67,-66,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-85,-100,-88,-100,-100,-100,-100,-85,-100,-85,-87,-83,-100,-100,-100,-78,-86,-83,-84,-100,-100,-100,-100,-100,-100,-87,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-88,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,288,2079251821140
-73,-73,-67,-82,-100,-100,-73,-77,-64,-64,-65,-77,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-78,-66,-67,-67,-78,-77,-78,-100,-80,-76,-76,-100,-80,-55,-77,-86,-87,-86,-55,-56,-72,-72,-100,-100,-100,-72,-89,-89,-87,-90,-89,-89,-100,-100,-86,-72,-100,-100,-74,-67,-67,-67,-79,-100,-100,-84,-100,-73,-73,-74,-81,-81,-100,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-85,-88,-100,-100,-81,-100,-81,-100,-100,-87,-87,-88,-100,-100,-100,-82,-100,-100,-88,-100,-100,-100,-89,-100,-100,-90,-100,-91,-100,-100,-100,-100,-100,-100,-87,-87,-88,-100,-100,-85,-85,-85,-100,-100,-86,-87,-100,-100,-87,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,263,2140380713584
-73,-72,-67,-100,-100,-100,-72,-100,-63,-64,-63,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-67,-66,-67,-77,-77,-77,-100,-81,-100,-100,-85,-81,-100,-100,-87,-86,-86,-100,-100,-72,-71,-100,-100,-100,-100,-89,-100,-89,-89,-100,-90,-100,-100,-87,-72,-100,-100,-73,-66,-67,-67,-81,-100,-100,-100,-100,-76,-100,-76,-81,-80,-100,-100,-100,-100,-80,-79,-100,-100,-100,-85,-100,-100,-100,-85,-88,-100,-100,-83,-80,-82,-100,-100,-88,-89,-88,-100,-100,-100,-83,-100,-100,-88,-100,-100,-100,-89,-100,-100,-90,-100,-91,-100,-100,-100,-100,-100,-87,-88,-86,-100,-100,-100,-85,-85,-84,-100,-100,-85,-87,-100,-100,-87,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,263,2143135592192
-73,-75,-67,-83,-100,-83,-72,-78,-64,-63,-64,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-66,-67,-67,-78,-78,-78,-100,-80,-100,-100,-100,-80,-55,-100,-88,-86,-87,-56,-81,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-87,-73,-100,-100,-74,-66,-67,-67,-80,-100,-100,-100,-100,-100,-74,-75,-81,-81,-100,-100,-100,-100,-81,-80,-80,-100,-100,-87,-85,-100,-100,-86,-87,-100,-100,-81,-81,-81,-100,-100,-86,-88,-87,-100,-100,-100,-81,-100,-100,-87,-100,-100,-100,-89,-100,-100,-89,-90,-92,-100,-100,-90,-100,-100,-87,-88,-88,-87,-100,-100,-86,-85,-86,-100,-100,-86,-88,-100,-100,-88,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,263,2145812916260
-73,-100,-67,-82,-100,-100,-72,-77,-64,-65,-64,-78,-77,-100,-100,-100,-81,-77,-80,-81,-81,-100,-100,-67,-67,-66,-100,-100,-100,-100,-80,-77,-77,-85,-80,-56,-76,-100,-100,-100,-55,-55,-72,-72,-100,-100,-100,-72,-100,-88,-100,-100,-90,-100,-100,-100,-86,-73,-100,-100,-73,-67,-67,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-84,-88,-100,-100,-79,-100,-100,-89,-88,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-89,-100,-100,-91,-100,-90,-100,-90,-100,-83,-81,-89,-100,-87,-100,-79,-100,-84,-84,-84,-100,-100,-85,-100,-91,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,263,2148486051943
