b8:27:eb:9f:6b:77,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:92,38:17:c3:1f:01:90,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:01,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,80:8d:b7:55:35:00,80:8d:b7:55:25:e3,44:48:c1:a5:82:32,44:48:c1:a5:82:30,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,44:48:c1:a5:82:20,80:8d:b7:55:25:e1,80:8d:b7:55:3a:40,20:a6:cd:50:24:b1,38:17:c3:19:d7:61,20:a6:cd:50:24:b0,38:17:c3:19:d7:60,20:a6:cd:50:24:b2,72:32:b1:3e:1a:b8,38:17:c3:19:d7:62,ac:e2:d3:c4:08:e6,00:4e:35:df:06:52,00:4e:35:df:06:51,00:4e:35:df:06:50,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:42,b4:5d:50:e1:92:23,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,00:4e:35:de:e1:12,60:32:b1:3e:1a:b7,80:8d:b7:55:35:03,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,38:17:c3:1f:01:81,80:8d:b7:55:25:e0,44:48:c1:a5:82:21,44:48:c1:a5:82:22,b4:5d:50:e1:92:33,38:17:c3:1f:09:90,38:17:c3:1f:01:80,38:17:c3:1f:01:82,b4:5d:50:e1:92:31,38:17:c3:19:45:b2,38:17:c3:19:45:b1,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,66:2a:2f:53:7c:99,b4:5d:50:e1:92:32,38:17:c3:19:45:b0,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:1f:22:30,38:17:c3:19:71:90,68:ff:7b:e4:af:39,b4:5d:50:e1:92:30,20:a6:cd:42:0b:e3,38:17:c3:1f:09:83,20:a6:cd:50:24:a0,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,38:17:c3:1f:22:20,a8:bd:27:4c:bd:30,38:17:c3:1e:ff:00,38:17:c3:1f:09:93,38:17:c3:1f:09:92,68:ff:7b:e4:af:38,38:17:c3:19:71:91,38:17:c3:1f:09:91,38:17:c3:1f:22:32,38:17:c3:19:71:92,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0b:f0,00:4e:35:de:e1:02,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:21,a8:bd:27:4c:bd:31,38:17:c3:1f:08:50,38:17:c3:1f:08:52,38:17:c3:1f:08:51,44:48:c1:91:95:b0,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:55:40,38:17:c3:19:55:42,38:17:c3:1f:22:31,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:e1:01,38:17:c3:19:55:41,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:de:e1:00,00:4e:35:df:0e:12,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:de:d7:43,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,38:17:c3:1e:fc:b0,38:17:c3:1f:08:42,38:17:c3:1e:fc:b1,38:17:c3:19:71:82,38:17:c3:1f:22:22,38:17:c3:19:71:80,00:4e:35:df:0e:11,38:17:c3:1e:fc:b2,00:4e:35:df:0e:10,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:24:4f:12,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:19:71:81,00:4e:35:de:d7:40,00:4e:35:df:27:12,38:17:c3:1b:08:b0,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,timestamp
-100,-100,-100,-100,-74,-100,-100,-100,-72,-71,-71,-71,-60,-100,-100,-100,-64,-64,-100,-85,-87,-80,-80,-66,-66,-79,-100,-65,-65,-59,-59,-59,-77,-77,-77,-76,-100,-100,-70,-100,-100,-87,-90,-87,-90,-87,-100,-88,-100,-73,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-71,-71,-84,-100,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-95,-100,-84,-84,-100,-100,-100,-93,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-87,-100,-89,-100,-88,-100,-89,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,428,3100848864159
-36,-80,-79,-79,-77,-100,-100,-100,-72,-72,-72,-72,-60,-100,-100,-100,-64,-64,-89,-89,-100,-81,-80,-66,-63,-80,-100,-63,-63,-58,-58,-58,-76,-76,-77,-76,-70,-100,-70,-100,-100,-89,-100,-90,-100,-88,-100,-100,-100,-75,-100,-75,-100,-100,-81,-100,-100,-100,-100,-100,-100,-83,-88,-100,-70,-70,-100,-100,-70,-70,-84,-100,-100,-100,-85,-100,-100,-100,-100,-86,-84,-100,-84,-89,-100,-100,-78,-100,-100,-90,-100,-100,-84,-100,-100,-100,-81,-83,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-83,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,428,3103519456561
-33,-100,-100,-100,-100,-86,-100,-100,-81,-82,-81,-81,-64,-100,-100,-100,-67,-67,-83,-82,-82,-84,-84,-78,-71,-85,-100,-72,-72,-66,-65,-66,-73,-74,-74,-74,-69,-100,-76,-100,-72,-89,-100,-89,-100,-88,-100,-100,-89,-73,-74,-76,-71,-100,-80,-100,-81,-81,-100,-100,-100,-79,-100,-100,-70,-69,-100,-100,-76,-76,-86,-100,-100,-100,-87,-100,-100,-100,-100,-88,-100,-100,-89,-100,-74,-75,-75,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-88,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3155527381742
-35,-74,-74,-74,-73,-100,-100,-100,-72,-71,-72,-71,-61,-100,-100,-100,-62,-62,-84,-84,-84,-100,-100,-100,-66,-100,-100,-66,-66,-63,-63,-63,-74,-74,-74,-75,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-75,-77,-75,-100,-100,-100,-86,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-77,-77,-83,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-85,-100,-100,-100,-100,-100,-100,-85,-89,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-88,-100,-85,-89,-100,-100,-100,-100,-100,-100,-92,-100,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3158210476020
-33,-100,-74,-100,-75,-85,-84,-84,-77,-77,-77,-77,-63,-100,-100,-100,-65,-66,-81,-81,-82,-100,-100,-80,-69,-84,-100,-69,-68,-63,-63,-63,-79,-80,-79,-79,-71,-100,-76,-100,-100,-100,-100,-100,-100,-100,-89,-100,-88,-77,-77,-78,-74,-74,-80,-100,-100,-80,-100,-100,-100,-80,-100,-100,-71,-71,-100,-100,-76,-77,-86,-100,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-81,-89,-100,-100,-90,-100,-100,-100,-100,-90,-100,-100,-88,-100,-87,-100,-100,-100,-100,-100,-100,-83,-84,-100,-86,-87,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3160846864980
-33,-75,-100,-75,-76,-100,-100,-100,-79,-78,-78,-78,-63,-100,-100,-100,-64,-64,-83,-82,-82,-85,-84,-79,-71,-83,-100,-71,-70,-66,-65,-64,-77,-76,-78,-77,-71,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-81,-87,-100,-81,-100,-100,-100,-81,-100,-78,-70,-70,-100,-100,-77,-76,-86,-100,-100,-100,-87,-100,-100,-100,-100,-87,-100,-100,-100,-100,-79,-77,-77,-100,-100,-100,-100,-84,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-90,-100,-86,-87,-100,-100,-100,-100,-91,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-82,-81,-93,-100,-82,-81,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3163514237642
-35,-72,-72,-72,-72,-100,-100,-100,-77,-77,-77,-77,-63,-100,-100,-100,-64,-64,-100,-84,-84,-84,-84,-78,-72,-84,-100,-71,-72,-67,-67,-67,-76,-78,-76,-76,-71,-100,-100,-100,-74,-100,-100,-91,-100,-100,-89,-100,-100,-77,-77,-77,-74,-74,-81,-89,-81,-81,-100,-100,-100,-78,-100,-100,-71,-71,-100,-100,-77,-77,-86,-100,-100,-100,-82,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-75,-100,-100,-86,-90,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3166175988844
-34,-71,-73,-71,-70,-100,-100,-100,-78,-78,-77,-77,-63,-100,-100,-100,-64,-64,-100,-82,-82,-83,-83,-78,-73,-84,-100,-73,-73,-67,-66,-67,-77,-77,-77,-76,-70,-100,-77,-82,-100,-100,-100,-92,-100,-100,-100,-100,-92,-76,-100,-71,-74,-100,-81,-88,-76,-81,-100,-100,-100,-78,-100,-100,-72,-71,-100,-100,-77,-77,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-85,-100,-100,-75,-75,-100,-100,-85,-100,-83,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-82,-100,-100,-85,-90,-100,-100,-100,-100,-92,-100,-100,-89,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-84,-91,-100,-85,-84,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,3168838823849
-31,-100,-100,-100,-76,-100,-100,-100,-71,-72,-72,-72,-64,-100,-100,-100,-64,-64,-86,-86,-85,-77,-77,-76,-72,-77,-100,-71,-72,-64,-64,-64,-75,-75,-75,-74,-76,-100,-71,-100,-100,-100,-92,-100,-100,-100,-100,-93,-88,-73,-74,-73,-100,-100,-81,-87,-81,-81,-100,-100,-100,-80,-100,-100,-76,-76,-100,-100,-72,-71,-89,-100,-100,-100,-90,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-92,-82,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-86,-86,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4079213524800
-28,-100,-77,-100,-73,-100,-100,-100,-71,-71,-71,-71,-65,-100,-100,-100,-65,-65,-86,-85,-86,-77,-77,-100,-72,-77,-100,-72,-71,-62,-67,-66,-75,-76,-76,-75,-73,-100,-70,-100,-72,-100,-100,-90,-100,-100,-100,-100,-90,-100,-76,-76,-72,-73,-81,-86,-77,-81,-100,-100,-100,-82,-100,-80,-74,-73,-100,-100,-71,-72,-89,-100,-100,-100,-89,-100,-100,-100,-100,-83,-90,-100,-84,-100,-100,-78,-78,-100,-100,-88,-100,-100,-88,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-78,-100,-86,-86,-100,-78,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4081990218149
-30,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-64,-100,-91,-100,-65,-64,-87,-88,-88,-77,-76,-77,-73,-100,-81,-72,-73,-64,-63,-64,-74,-74,-74,-74,-100,-100,-70,-100,-71,-100,-100,-100,-100,-100,-100,-100,-89,-76,-77,-76,-71,-71,-100,-100,-76,-100,-100,-100,-100,-80,-100,-75,-100,-100,-100,-85,-70,-70,-88,-100,-100,-100,-89,-100,-100,-100,-100,-80,-89,-100,-100,-100,-100,-100,-78,-100,-100,-88,-100,-83,-89,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-88,-84,-84,-85,-100,-100,-100,-79,-81,-89,-88,-88,-100,-80,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4084652042112
-30,-100,-100,-100,-73,-100,-100,-100,-72,-71,-71,-72,-65,-100,-90,-100,-64,-65,-87,-87,-87,-77,-77,-80,-73,-77,-100,-73,-73,-63,-65,-65,-75,-75,-74,-74,-69,-100,-75,-100,-71,-100,-100,-100,-100,-100,-100,-100,-87,-76,-76,-76,-71,-70,-100,-100,-82,-83,-100,-100,-100,-79,-100,-77,-74,-74,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-83,-88,-100,-100,-100,-79,-80,-79,-100,-100,-88,-100,-100,-90,-100,-100,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-83,-100,-100,-100,-78,-80,-88,-90,-89,-100,-80,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4087310198002
-30,-100,-100,-100,-100,-100,-100,-100,-72,-72,-73,-72,-65,-100,-90,-100,-65,-65,-86,-84,-85,-77,-77,-75,-72,-77,-80,-73,-73,-63,-63,-63,-75,-75,-75,-75,-75,-100,-73,-100,-100,-100,-92,-100,-92,-100,-83,-90,-84,-100,-75,-75,-100,-71,-82,-88,-100,-82,-100,-100,-100,-79,-100,-78,-75,-75,-100,-100,-73,-72,-87,-100,-100,-100,-86,-100,-100,-100,-100,-81,-87,-100,-100,-100,-78,-79,-78,-100,-100,-88,-100,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-90,-85,-84,-85,-100,-100,-100,-100,-79,-88,-86,-88,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4089961870766
-31,-77,-78,-78,-77,-100,-100,-100,-72,-100,-72,-72,-100,-100,-100,-100,-100,-100,-86,-86,-86,-77,-78,-76,-71,-77,-79,-72,-73,-64,-63,-63,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-77,-71,-70,-80,-89,-80,-100,-100,-100,-100,-81,-100,-79,-100,-76,-100,-100,-72,-73,-87,-100,-100,-100,-87,-100,-100,-100,-100,-82,-87,-100,-100,-100,-100,-100,-78,-100,-100,-87,-91,-100,-86,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-89,-100,-90,-85,-84,-100,-100,-100,-100,-79,-79,-88,-87,-85,-100,-79,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,391,4092748192763
-35,-100,-100,-100,-77,-100,-100,-100,-78,-78,-78,-78,-68,-100,-100,-100,-67,-68,-85,-84,-84,-100,-100,-72,-71,-100,-76,-70,-70,-58,-58,-59,-72,-74,-73,-73,-70,-100,-75,-100,-66,-100,-100,-100,-90,-100,-100,-100,-100,-81,-81,-82,-66,-65,-77,-100,-78,-76,-100,-100,-100,-81,-100,-80,-71,-71,-100,-100,-75,-74,-89,-100,-100,-100,-91,-100,-100,-100,-100,-86,-89,-100,-100,-100,-71,-72,-72,-100,-100,-88,-100,-100,-91,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-87,-100,-100,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-89,-87,-100,-90,-100,-87,-100,-100,-100,-89,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4150894518555
-34,-100,-100,-100,-77,-85,-100,-100,-78,-79,-78,-78,-65,-100,-100,-100,-65,-64,-83,-84,-83,-84,-84,-71,-71,-84,-100,-71,-71,-58,-58,-58,-72,-72,-73,-72,-73,-100,-76,-100,-69,-100,-90,-100,-90,-100,-100,-89,-100,-78,-78,-79,-69,-69,-79,-89,-79,-79,-100,-100,-100,-81,-100,-81,-73,-74,-100,-100,-76,-76,-89,-100,-100,-100,-89,-100,-100,-100,-100,-87,-89,-100,-100,-100,-70,-70,-69,-100,-100,-88,-92,-83,-90,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-87,-89,-100,-100,-100,-100,-90,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-91,-100,-90,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4153568498457
-100,-100,-100,-100,-76,-100,-100,-100,-77,-78,-79,-78,-64,-100,-100,-100,-64,-64,-83,-84,-83,-84,-83,-70,-71,-83,-76,-73,-74,-58,-58,-58,-72,-71,-71,-71,-100,-80,-76,-79,-100,-100,-91,-100,-90,-100,-100,-90,-85,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-100,-80,-76,-76,-90,-100,-100,-100,-88,-100,-100,-100,-100,-88,-88,-100,-100,-100,-70,-70,-71,-100,-100,-87,-89,-81,-89,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-87,-88,-89,-100,-100,-89,-88,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4156198370959
-32,-100,-100,-100,-78,-100,-100,-100,-78,-79,-78,-78,-64,-100,-100,-100,-64,-64,-83,-83,-84,-100,-100,-70,-72,-100,-77,-72,-72,-58,-58,-58,-72,-71,-72,-72,-72,-79,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-85,-75,-76,-76,-69,-69,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-73,-72,-100,-80,-100,-100,-89,-100,-100,-100,-90,-100,-100,-100,-100,-89,-89,-100,-100,-100,-69,-65,-70,-100,-100,-87,-100,-83,-90,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-86,-92,-89,-91,-100,-90,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4158884050080
-33,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-79,-65,-100,-100,-100,-65,-65,-83,-83,-84,-83,-83,-71,-72,-83,-78,-71,-72,-59,-59,-59,-72,-71,-72,-71,-73,-100,-75,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-68,-69,-79,-89,-100,-100,-100,-100,-100,-81,-100,-100,-73,-73,-100,-100,-75,-76,-88,-100,-100,-100,-88,-100,-100,-100,-100,-87,-90,-91,-100,-100,-71,-71,-71,-100,-100,-88,-100,-81,-89,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-90,-100,-100,-86,-100,-87,-84,-100,-100,-100,-100,-100,-100,-100,-88,-90,-90,-100,-100,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4161548139044
-33,-83,-82,-82,-75,-84,-100,-100,-79,-79,-100,-79,-65,-100,-100,-100,-65,-65,-84,-83,-83,-84,-83,-71,-72,-84,-100,-72,-72,-59,-59,-59,-72,-71,-72,-72,-73,-100,-75,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-74,-69,-68,-79,-100,-79,-79,-100,-100,-100,-81,-100,-100,-73,-73,-100,-100,-75,-76,-89,-100,-100,-100,-89,-100,-100,-100,-100,-87,-89,-100,-100,-100,-70,-71,-70,-100,-100,-88,-91,-82,-90,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-88,-89,-100,-100,-100,-100,-90,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-88,-100,-100,-89,-89,-100,-100,-100,-100,-91,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,369,4164199151079
