60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:a0,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:00:b2,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:14:10,44:48:c1:91:d0:11,38:17:c3:1f:14:12,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:1f:14:11,44:48:c1:91:d0:10,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:00,38:17:c3:1f:14:00,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:82,44:48:c1:91:d0:02,44:48:c1:91:95:a2,44:48:c1:91:95:b2,44:48:c1:91:95:b0,44:48:c1:91:95:b3,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,38:17:c3:24:47:50,20:a6:cd:42:0a:c1,44:48:c1:91:95:b1,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,38:17:c3:24:47:52,a8:bd:27:4c:aa:90,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:92,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,00:4e:35:de:d7:43,44:48:c1:91:d0:04,38:17:c3:1f:09:81,44:48:c1:91:95:a0,b4:5d:50:e1:96:43,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:95:a3,38:17:c3:1f:09:80,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,b4:5d:50:e1:96:40,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:83,38:17:c3:24:56:50,44:48:c1:91:aa:21,38:17:c3:1f:09:83,44:48:c1:91:95:a1,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:f3,38:17:c3:19:d7:60,38:17:c3:19:d7:61,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,38:17:c3:19:d7:71,20:a6:cd:42:0b:f1,38:17:c3:19:d7:72,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,68:ff:7b:e4:af:39,80:8d:b7:55:25:f2,72:32:b1:3e:1a:b7,80:8d:b7:55:35:10,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:52,80:8d:b7:55:3a:41,80:8d:b7:55:35:11,80:8d:b7:55:3a:42,38:17:c3:1e:ff:10,80:8d:b7:55:3a:40,80:8d:b7:55:3a:51,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,ea:9e:b4:53:24:54,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:19:71:91,38:17:c3:19:71:81,38:17:c3:19:71:80,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:02,80:8d:b7:55:29:c1,80:8d:b7:55:29:d0,80:8d:b7:55:29:c2,68:ff:7b:e4:af:38,80:8d:b7:55:29:d2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,00:4e:35:df:06:52,38:17:c3:1f:0e:10,80:8d:b7:55:29:d1,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,20:a6:cd:50:24:b2,00:4e:35:df:06:41,00:4e:35:df:06:51,00:4e:35:df:06:50,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:22,x,y,timestamp
-100,-77,-76,-56,-58,-66,-66,-66,-58,-87,-88,-89,-89,-100,-100,-100,-100,-100,-70,-85,-70,-87,-85,-70,-85,-100,-86,-85,-86,-81,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-86,-100,-100,-100,-90,-100,-100,-89,-100,-100,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,191,687,1150621345923
-100,-100,-78,-56,-56,-65,-65,-65,-57,-90,-90,-100,-91,-100,-100,-100,-100,-100,-71,-90,-70,-100,-89,-70,-100,-100,-84,-84,-84,-84,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-92,-88,-86,-88,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-80,-82,-100,-100,-91,-100,-89,-100,-100,-100,-100,-100,-91,-90,-91,-91,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,191,687,1153185631439
-100,-100,-85,-48,-47,-62,-62,-62,-47,-88,-88,-88,-88,-100,-100,-100,-100,-100,-79,-88,-79,-100,-88,-79,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-89,-89,-86,-88,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-83,-83,-83,-77,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1207360414596
-78,-76,-86,-47,-47,-62,-62,-62,-46,-88,-88,-89,-88,-91,-100,-100,-100,-100,-82,-90,-81,-90,-90,-82,-100,-100,-82,-83,-82,-86,-100,-100,-87,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-88,-88,-100,-87,-100,-100,-90,-100,-100,-100,-100,-100,-90,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-88,-100,-85,-87,-100,-100,-100,-87,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1209936002717
-82,-100,-87,-48,-47,-62,-62,-62,-47,-88,-89,-90,-89,-89,-100,-100,-100,-100,-82,-90,-81,-90,-89,-81,-100,-100,-83,-82,-82,-86,-87,-100,-86,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-89,-86,-87,-100,-100,-89,-100,-100,-100,-100,-100,-89,-100,-87,-100,-100,-100,-100,-78,-85,-100,-100,-87,-100,-100,-100,-100,-100,-88,-100,-100,-89,-100,-84,-87,-87,-88,-100,-90,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1212592267773
-100,-84,-85,-48,-48,-61,-61,-61,-48,-88,-90,-100,-90,-82,-100,-100,-100,-100,-81,-91,-81,-89,-89,-81,-90,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-90,-90,-91,-90,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-78,-71,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-100,-88,-100,-100,-88,-88,-87,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1215252101476
-100,-77,-85,-48,-48,-63,-62,-62,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-89,-89,-100,-93,-100,-84,-83,-83,-86,-86,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-90,-90,-100,-100,-100,-88,-90,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-87,-100,-100,-100,-100,-100,-89,-90,-100,-88,-100,-85,-88,-89,-87,-100,-88,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1217912834501
-100,-100,-84,-48,-47,-62,-61,-61,-48,-87,-88,-88,-87,-100,-100,-100,-100,-100,-81,-91,-80,-100,-91,-81,-100,-100,-84,-84,-83,-100,-86,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-90,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-100,-87,-87,-100,-87,-100,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,206,687,1220360780005
-100,-100,-88,-43,-42,-56,-56,-57,-42,-91,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-100,-100,-83,-100,-100,-78,-77,-78,-84,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-83,-100,-100,-87,-88,-87,-100,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1263054732696
-100,-100,-86,-43,-44,-56,-56,-56,-43,-92,-100,-100,-94,-100,-100,-100,-100,-100,-79,-100,-79,-100,-100,-79,-100,-100,-78,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-94,-87,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-87,-100,-100,-100,-100,-100,-83,-100,-100,-82,-100,-86,-87,-88,-88,-100,-82,-100,-82,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1265622402275
-100,-83,-86,-42,-44,-55,-55,-55,-44,-100,-100,-100,-93,-100,-100,-100,-100,-100,-78,-100,-77,-100,-100,-78,-100,-100,-79,-78,-79,-84,-84,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-85,-100,-100,-87,-100,-86,-100,-100,-100,-81,-100,-100,-80,-100,-86,-87,-88,-88,-100,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1268190849562
-100,-100,-86,-43,-42,-100,-57,-57,-42,-89,-100,-100,-90,-100,-100,-100,-100,-100,-77,-91,-77,-100,-91,-77,-100,-100,-82,-82,-83,-82,-82,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-84,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1270740269920
-100,-100,-86,-42,-43,-53,-53,-53,-43,-89,-100,-100,-91,-100,-100,-100,-100,-100,-78,-100,-79,-100,-93,-78,-100,-100,-83,-83,-82,-82,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-89,-90,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-85,-84,-79,-87,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-83,-100,-100,-90,-90,-90,-100,-83,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1273303085123
-100,-100,-85,-42,-42,-53,-53,-53,-42,-88,-90,-100,-89,-100,-100,-100,-100,-100,-77,-92,-77,-100,-92,-77,-100,-100,-81,-81,-79,-82,-81,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-92,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-86,-87,-88,-88,-100,-86,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,687,1275861458764
-100,-100,-85,-47,-49,-53,-53,-53,-48,-90,-89,-90,-88,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-81,-100,-100,-78,-78,-76,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1324001433611
-80,-80,-84,-46,-47,-55,-56,-56,-48,-90,-90,-88,-89,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-80,-100,-100,-79,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-89,-100,-100,-100,-100,-91,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-82,-89,-100,-82,-91,-84,-86,-87,-87,-84,-83,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1326531137353
-100,-100,-85,-45,-47,-52,-52,-52,-47,-91,-100,-100,-89,-88,-100,-100,-100,-100,-82,-100,-82,-100,-100,-81,-100,-100,-76,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-83,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-90,-80,-88,-100,-100,-100,-100,-100,-80,-88,-80,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1329119825684
-100,-100,-84,-47,-47,-54,-54,-54,-46,-88,-87,-89,-88,-100,-100,-100,-100,-100,-77,-100,-78,-100,-100,-78,-100,-100,-79,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-87,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-85,-100,-84,-100,-100,-100,-85,-84,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1331681551824
-100,-81,-83,-46,-48,-52,-52,-52,-48,-87,-88,-89,-89,-100,-100,-100,-100,-100,-78,-100,-79,-100,-100,-79,-100,-100,-80,-80,-81,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-88,-100,-100,-88,-100,-82,-100,-100,-100,-79,-100,-100,-79,-89,-87,-85,-85,-85,-87,-79,-87,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1334326030317
-100,-100,-83,-46,-46,-100,-100,-100,-46,-88,-88,-89,-89,-100,-100,-100,-100,-100,-84,-100,-84,-100,-100,-83,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-82,-100,-85,-100,-85,-100,-85,-82,-85,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,236,687,1336883356770
-100,-84,-87,-49,-50,-53,-53,-53,-50,-92,-100,-100,-90,-100,-100,-100,-100,-100,-88,-100,-87,-100,-100,-87,-100,-100,-76,-75,-75,-89,-89,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-88,-92,-93,-100,-100,-86,-100,-100,-100,-100,-100,-86,-100,-92,-100,-100,-100,-100,-73,-89,-100,-100,-84,-100,-100,-100,-100,-100,-83,-86,-85,-84,-85,-84,-100,-79,-80,-83,-84,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,251,687,1378972923567
