60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:14:11,b4:5d:50:e1:96:51,38:17:c3:1f:14:12,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,60:32:b1:3e:1a:b8,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:c3,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:b0,44:48:c1:91:95:b3,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:09:92,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:a3,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f2,20:a6:cd:42:13:f1,38:17:c3:1f:00:b0,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,44:48:c1:91:d0:11,38:17:c3:1f:00:a0,38:17:c3:1f:19:d0,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,38:17:c3:1f:09:90,38:17:c3:24:47:50,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:90,20:a6:cd:42:13:f0,38:17:c3:19:36:30,38:17:c3:22:61:90,38:17:c3:19:d7:70,72:32:b1:3e:1a:b8,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:04,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:14:00,38:17:c3:24:56:50,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,38:17:c3:22:61:92,20:a6:cd:42:13:e2,00:4e:35:de:d7:43,20:a6:cd:42:13:e0,38:17:c3:1f:1c:10,38:17:c3:1a:cf:d0,b4:5d:50:e1:96:43,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c1,44:48:c1:91:d0:02,20:a6:cd:42:0a:c0,38:17:c3:1f:19:c2,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c2,66:2a:2f:53:7c:99,44:48:c1:91:aa:21,44:48:c1:91:aa:22,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,44:48:c1:91:d0:01,44:48:c1:91:aa:20,38:17:c3:1f:09:81,44:48:c1:91:95:a0,ac:e2:d3:c4:08:e6,38:17:c3:1f:09:80,38:17:c3:1f:19:c0,80:8d:b7:55:25:e3,44:48:c1:91:95:a1,38:17:c3:19:45:a1,44:48:c1:91:95:a2,38:17:c3:1f:19:f2,38:17:c3:1f:19:c1,20:a6:cd:42:0b:e3,38:17:c3:19:45:a0,44:48:c1:91:d0:00,38:17:c3:19:45:a2,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:60,38:17:c3:19:d7:62,20:a6:cd:42:0b:e2,72:32:b1:3e:1a:b7,38:17:c3:19:d7:61,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:12,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,80:8d:b7:55:3a:40,80:8d:b7:55:29:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,68:ff:7b:e4:af:39,38:17:c3:19:71:90,38:17:c3:19:71:91,00:4e:35:df:06:52,38:17:c3:1e:ff:11,20:a6:cd:50:24:b0,68:ff:7b:e4:af:38,38:17:c3:19:71:92,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:ff:01,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:1e:ff:00,38:17:c3:19:71:80,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:1e:ff:12,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:0e:10,80:8d:b7:55:39:c2,00:4e:35:df:06:40,80:8d:b7:55:39:c0,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:19:36:22,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,00:4e:35:df:06:41,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,44:48:c1:a5:82:30,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:50,38:17:c3:1f:0e:01,00:4e:35:de:e1:11,38:17:c3:1f:22:20,00:4e:35:de:e1:10,38:17:c3:1f:22:22,38:17:c3:1f:22:21,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:0e:00,80:8d:b7:55:4d:10,80:8d:b7:55:4d:01,38:17:c3:1f:0e:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:11,80:8d:b7:55:4d:12,80:8d:b7:55:4d:02,x,y,label
-71,-57,-57,-71,-83,-71,-83,-84,-70,-79,-79,-79,-78,-78,-79,-81,-54,-55,-100,-100,-100,-100,-79,-79,-100,-85,-84,-87,-87,-85,-87,-86,-100,-100,-100,-100,-100,-100,-55,-71,-83,-79,-77,-55,-100,-100,-83,-80,-85,-87,-100,-85,-100,-100,-100,-100,-100,-69,-68,-100,-83,-100,-81,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-79,-100,-78,-100,-100,-79,-100,-100,-100,-100,-100,-82,-100,-82,-100,-74,-83,-100,-89,-100,-79,-100,-100,-100,-100,-78,-100,-70,-100,-86,-100,-85,-84,-85,-100,-100,-85,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-72,-56,-56,-69,-81,-69,-81,-81,-74,-78,-78,-78,-82,-81,-82,-75,-57,-57,-100,-100,-100,-100,-77,-77,-100,-86,-85,-85,-86,-85,-85,-86,-86,-100,-73,-100,-100,-100,-56,-70,-81,-78,-81,-57,-100,-100,-81,-77,-85,-85,-74,-86,-100,-100,-100,-80,-100,-63,-63,-78,-83,-74,-84,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-81,-81,-81,-83,-80,-100,-100,-80,-100,-100,-100,-100,-100,-82,-100,-84,-100,-76,-83,-100,-89,-100,-79,-100,-100,-100,-100,-80,-100,-70,-100,-86,-100,-86,-85,-85,-100,-100,-85,-100,-81,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-71,-56,-56,-69,-80,-69,-81,-80,-71,-78,-78,-77,-82,-82,-81,-74,-57,-57,-100,-100,-100,-100,-77,-77,-100,-86,-85,-83,-83,-85,-84,-86,-86,-100,-74,-74,-100,-100,-55,-70,-81,-77,-82,-57,-100,-100,-81,-78,-85,-84,-74,-85,-100,-100,-100,-80,-69,-63,-63,-79,-71,-74,-84,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-81,-100,-80,-83,-77,-100,-84,-79,-88,-100,-100,-100,-100,-100,-100,-85,-100,-78,-84,-100,-89,-100,-79,-100,-100,-100,-78,-80,-100,-70,-100,-87,-100,-85,-85,-86,-100,-100,-86,-78,-81,-84,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-71,-56,-56,-69,-81,-69,-81,-81,-73,-77,-77,-78,-80,-82,-81,-58,-57,-57,-100,-100,-100,-100,-78,-78,-100,-84,-86,-84,-84,-100,-84,-85,-84,-100,-74,-74,-100,-100,-55,-69,-82,-78,-82,-58,-100,-100,-82,-78,-85,-84,-74,-86,-100,-100,-100,-80,-69,-63,-63,-79,-71,-74,-84,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-80,-83,-79,-100,-84,-80,-87,-100,-100,-100,-100,-100,-100,-83,-100,-71,-85,-100,-100,-100,-100,-100,-100,-100,-78,-80,-100,-100,-100,-86,-100,-86,-86,-86,-100,-100,-86,-78,-100,-84,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-71,-56,-56,-69,-81,-69,-81,-82,-70,-78,-77,-77,-82,-82,-82,-76,-58,-57,-100,-100,-100,-100,-78,-78,-100,-85,-86,-84,-84,-85,-85,-85,-86,-100,-73,-74,-100,-100,-55,-69,-81,-78,-83,-58,-100,-100,-82,-78,-85,-84,-74,-86,-100,-100,-100,-100,-70,-63,-63,-75,-84,-71,-84,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-81,-77,-81,-100,-82,-81,-87,-100,-100,-100,-100,-100,-100,-83,-100,-76,-85,-100,-100,-100,-80,-100,-100,-100,-77,-100,-100,-80,-100,-86,-100,-86,-86,-86,-78,-100,-87,-77,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-72,-54,-54,-70,-87,-70,-87,-87,-59,-78,-77,-77,-83,-82,-82,-80,-56,-55,-100,-100,-100,-100,-78,-78,-100,-83,-83,-84,-84,-83,-84,-85,-83,-100,-74,-100,-100,-100,-53,-70,-89,-78,-83,-56,-100,-100,-82,-78,-84,-86,-75,-84,-100,-100,-100,-79,-59,-69,-70,-82,-84,-76,-84,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-79,-77,-80,-100,-82,-80,-87,-100,-100,-100,-100,-100,-100,-83,-100,-74,-85,-100,-100,-100,-80,-100,-100,-100,-77,-100,-100,-80,-100,-86,-78,-82,-81,-82,-78,-79,-82,-77,-100,-100,-78,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-54,-54,-70,-88,-70,-88,-88,-63,-87,-87,-87,-83,-82,-83,-68,-55,-55,-100,-100,-100,-100,-77,-77,-100,-82,-82,-100,-100,-82,-84,-85,-86,-100,-75,-75,-100,-100,-53,-70,-88,-87,-82,-56,-100,-100,-100,-77,-81,-88,-74,-85,-100,-87,-100,-79,-59,-68,-68,-82,-81,-71,-82,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-80,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-83,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-78,-81,-81,-81,-100,-79,-81,-100,-100,-85,-78,-73,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-54,-54,-69,-88,-69,-88,-88,-61,-87,-84,-86,-83,-83,-83,-79,-56,-56,-100,-100,-100,-100,-76,-76,-100,-83,-83,-100,-100,-82,-85,-86,-85,-100,-75,-76,-100,-100,-53,-69,-88,-86,-83,-56,-100,-100,-100,-76,-83,-87,-75,-85,-100,-86,-100,-79,-59,-67,-67,-82,-79,-74,-82,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-81,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-82,-100,-77,-83,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-79,-82,-81,-82,-100,-79,-82,-100,-84,-83,-78,-73,-83,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-55,-54,-69,-86,-69,-87,-86,-64,-87,-86,-86,-82,-82,-83,-79,-56,-56,-100,-100,-100,-100,-77,-77,-100,-82,-82,-100,-100,-82,-85,-84,-83,-100,-75,-75,-100,-100,-53,-70,-87,-87,-82,-56,-100,-100,-100,-77,-83,-86,-75,-84,-100,-86,-100,-79,-60,-67,-68,-100,-81,-74,-81,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-81,-100,-72,-81,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-79,-82,-82,-81,-100,-79,-82,-100,-83,-83,-78,-100,-83,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-55,-55,-70,-86,-71,-84,-85,-64,-86,-85,-85,-83,-83,-83,-76,-57,-56,-100,-100,-100,-100,-76,-77,-100,-84,-82,-100,-100,-83,-84,-86,-85,-85,-100,-75,-100,-100,-53,-71,-85,-85,-84,-57,-100,-100,-100,-77,-83,-87,-75,-85,-100,-87,-100,-79,-64,-67,-68,-82,-82,-74,-84,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-79,-81,-100,-82,-100,-81,-80,-100,-100,-100,-100,-100,-100,-100,-86,-100,-76,-81,-100,-100,-100,-78,-100,-100,-100,-77,-100,-100,-100,-100,-100,-79,-81,-81,-81,-78,-77,-81,-78,-83,-83,-78,-100,-83,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-55,-55,-70,-85,-71,-85,-86,-59,-86,-85,-85,-85,-84,-84,-75,-57,-57,-100,-100,-100,-100,-78,-79,-100,-81,-82,-100,-100,-82,-84,-84,-84,-85,-75,-75,-100,-100,-54,-71,-86,-85,-84,-57,-100,-100,-100,-78,-81,-86,-75,-85,-100,-87,-100,-79,-51,-67,-67,-82,-81,-75,-84,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-79,-80,-100,-82,-100,-81,-79,-100,-100,-100,-100,-100,-100,-100,-86,-100,-77,-81,-100,-100,-100,-78,-100,-100,-100,-75,-100,-100,-100,-100,-100,-79,-82,-81,-82,-78,-77,-82,-78,-83,-83,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-75,-52,-52,-74,-82,-74,-85,-86,-73,-87,-86,-87,-85,-84,-84,-80,-49,-49,-100,-100,-100,-100,-76,-76,-100,-83,-83,-100,-100,-84,-83,-83,-83,-85,-75,-75,-100,-100,-51,-74,-86,-86,-84,-49,-100,-100,-100,-76,-83,-86,-75,-83,-100,-87,-100,-81,-73,-71,-71,-81,-82,-78,-81,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-79,-82,-100,-83,-100,-81,-83,-100,-100,-100,-100,-100,-100,-100,-82,-100,-72,-82,-100,-85,-100,-78,-100,-100,-100,-75,-78,-100,-78,-100,-100,-82,-84,-85,-85,-78,-81,-84,-78,-100,-100,-78,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-73,-50,-51,-76,-87,-75,-86,-86,-66,-88,-87,-87,-84,-84,-84,-80,-49,-49,-100,-100,-100,-100,-76,-76,-100,-84,-83,-100,-100,-84,-83,-84,-84,-100,-75,-100,-100,-100,-50,-75,-86,-88,-84,-49,-100,-100,-100,-76,-84,-100,-100,-84,-100,-100,-100,-81,-73,-71,-71,-81,-82,-78,-81,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-82,-100,-72,-82,-100,-85,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-81,-84,-84,-84,-79,-81,-83,-100,-81,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-76,-52,-52,-73,-84,-73,-84,-85,-71,-87,-88,-87,-82,-83,-83,-80,-49,-49,-100,-100,-100,-100,-76,-76,-100,-86,-85,-100,-100,-84,-83,-84,-84,-100,-77,-77,-100,-100,-50,-74,-85,-88,-83,-49,-100,-100,-100,-77,-85,-100,-100,-83,-100,-100,-100,-81,-73,-71,-71,-80,-84,-73,-81,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-82,-100,-77,-82,-100,-85,-100,-100,-100,-100,-100,-76,-78,-100,-78,-100,-100,-81,-85,-84,-85,-79,-81,-84,-100,-81,-80,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-74,-51,-51,-74,-87,-74,-87,-87,-72,-87,-87,-88,-84,-83,-85,-82,-49,-49,-100,-100,-100,-100,-76,-76,-100,-82,-83,-100,-100,-84,-83,-83,-84,-100,-77,-77,-100,-100,-51,-75,-88,-87,-83,-49,-100,-100,-81,-77,-83,-100,-100,-84,-100,-100,-100,-83,-72,-71,-71,-80,-83,-73,-80,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-80,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-81,-100,-53,-82,-100,-87,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-81,-84,-84,-83,-79,-81,-84,-100,-81,-81,-78,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-75,-51,-51,-74,-87,-74,-87,-87,-74,-86,-86,-86,-83,-83,-85,-82,-49,-49,-100,-100,-100,-100,-78,-78,-100,-84,-83,-100,-100,-83,-83,-84,-83,-100,-75,-77,-100,-100,-49,-74,-88,-86,-83,-49,-100,-100,-83,-78,-83,-100,-100,-84,-100,-100,-100,-81,-72,-71,-70,-80,-82,-73,-80,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-82,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-82,-100,-73,-83,-100,-85,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-82,-85,-85,-84,-79,-81,-84,-100,-81,-81,-78,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-75,-52,-51,-76,-85,-76,-87,-85,-68,-86,-86,-86,-83,-100,-85,-82,-49,-49,-100,-100,-100,-100,-77,-77,-100,-83,-83,-100,-100,-83,-84,-82,-83,-100,-75,-75,-100,-100,-51,-76,-86,-86,-83,-49,-100,-100,-83,-77,-84,-100,-75,-83,-100,-100,-100,-82,-72,-71,-72,-79,-82,-74,-82,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-82,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-82,-100,-73,-83,-100,-85,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-84,-84,-84,-79,-82,-84,-100,-80,-81,-78,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
