80:8d:b7:55:39:c0,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:31,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:50,80:8d:b7:55:3a:52,00:4e:35:df:06:51,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1e:ff:12,38:17:c3:19:55:52,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,38:17:c3:1e:ff:11,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:09:93,b4:5d:50:e1:92:30,b4:5d:50:e1:92:33,20:a6:cd:42:0b:e3,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,38:17:c3:19:55:50,20:a6:cd:50:24:a0,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,38:17:c3:1f:22:30,b4:5d:50:e1:92:21,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,38:17:c3:1f:01:81,80:8d:b7:55:3a:42,00:4e:35:df:06:41,00:4e:35:df:06:40,20:a6:cd:50:24:a2,38:17:c3:1e:ff:02,b4:5d:50:e1:92:32,60:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,b4:5d:50:e1:92:22,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,80:8d:b7:55:3a:40,38:17:c3:1f:01:82,68:ff:7b:e4:af:39,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,72:32:b1:3e:1a:b7,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,38:17:c3:19:71:90,20:a6:cd:42:0b:f0,44:48:c1:a5:82:22,44:48:c1:a5:82:21,44:48:c1:a5:82:20,b4:5d:50:e1:96:52,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:83,38:17:c3:1f:22:20,20:a6:cd:42:0b:f2,00:4e:35:de:e1:02,38:17:c3:1f:08:50,38:17:c3:1f:00:b0,38:17:c3:1f:09:82,38:17:c3:1f:08:51,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:45:a1,38:17:c3:19:55:40,38:17:c3:19:45:a0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,00:4e:35:de:d7:51,44:48:c1:91:95:b1,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,38:17:c3:1f:22:22,38:17:c3:1f:08:52,00:4e:35:de:d7:50,38:17:c3:1f:22:21,00:4e:35:df:0e:12,00:4e:35:de:d7:42,38:17:c3:19:71:82,a8:bd:27:4c:bd:22,38:17:c3:19:71:81,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:41,38:17:c3:1e:fc:b2,00:4e:35:de:d7:40,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:b0,00:4e:35:df:27:02,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:1b:08:a2,38:17:c3:24:4f:01,00:4e:35:df:27:12,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a0,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:df:27:00,38:17:c3:19:36:21,38:17:c3:19:36:20,x,y,label
-100,-100,-100,-72,-72,-72,-61,-61,-100,-100,-65,-24,-67,-77,-75,-65,-73,-68,-68,-73,-72,-72,-61,-61,-82,-81,-100,-100,-67,-54,-67,-55,-69,-100,-86,-85,-84,-68,-78,-78,-84,-100,-100,-68,-78,-77,-100,-82,-81,-100,-74,-73,-61,-89,-76,-65,-73,-69,-82,-100,-67,-54,-87,-84,-79,-69,-100,-77,-82,-100,-79,-100,-42,-58,-100,-57,-70,-69,-100,-100,-82,-82,-69,-100,-76,-100,-72,-58,-78,-84,-100,-100,-100,-100,-100,-100,-79,-60,-100,-78,-100,-100,-86,-75,-76,-79,-100,-100,-83,-100,-63,-63,-63,-100,-78,-78,-71,-100,-83,-82,-100,-100,-100,-100,-100,-78,-80,-100,-100,-80,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-87,-100,-100,-100,-100,-100,-86,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-60,-100,-100,-73,-73,-73,-61,-61,-100,-100,-64,-22,-61,-77,-75,-64,-66,-69,-68,-73,-73,-73,-61,-61,-81,-81,-100,-100,-67,-54,-69,-54,-70,-100,-87,-87,-84,-69,-78,-78,-85,-100,-100,-69,-78,-78,-100,-82,-82,-100,-74,-73,-61,-89,-77,-64,-73,-69,-81,-100,-69,-55,-87,-84,-79,-69,-100,-78,-82,-100,-79,-100,-78,-64,-100,-58,-69,-70,-100,-100,-82,-82,-71,-100,-73,-100,-100,-58,-78,-84,-100,-100,-100,-100,-100,-80,-79,-58,-100,-76,-100,-100,-85,-73,-76,-79,-100,-100,-83,-100,-63,-63,-63,-100,-78,-79,-71,-71,-82,-83,-100,-100,-100,-100,-100,-79,-81,-100,-100,-80,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-78,-100,-100,-100,-83,-83,-82,-100,-80,-78,-100,-87,-100,-100,-100,-100,-100,-86,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-60,-100,-100,-73,-73,-73,-62,-62,-100,-100,-65,-23,-61,-78,-77,-65,-68,-69,-68,-72,-72,-72,-61,-62,-82,-81,-100,-100,-69,-54,-69,-54,-77,-100,-86,-86,-85,-69,-76,-100,-85,-100,-100,-68,-77,-78,-100,-82,-82,-100,-100,-73,-61,-90,-78,-65,-72,-69,-81,-100,-69,-55,-86,-85,-100,-69,-100,-78,-81,-100,-79,-100,-77,-60,-100,-58,-70,-70,-100,-100,-81,-80,-70,-100,-73,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-80,-79,-58,-100,-80,-100,-100,-85,-73,-73,-79,-100,-100,-83,-100,-65,-63,-63,-100,-78,-79,-71,-71,-82,-83,-100,-100,-100,-100,-100,-79,-80,-100,-100,-80,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-75,-100,-100,-100,-83,-83,-82,-100,-80,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-62,-100,-100,-73,-73,-73,-62,-62,-100,-100,-65,-23,-62,-78,-77,-65,-66,-69,-69,-73,-72,-72,-61,-62,-82,-81,-100,-100,-69,-55,-69,-55,-77,-100,-86,-86,-85,-69,-76,-79,-85,-100,-100,-68,-77,-78,-100,-82,-81,-100,-100,-72,-62,-90,-78,-65,-73,-69,-81,-100,-69,-55,-86,-85,-80,-69,-100,-78,-81,-100,-79,-100,-76,-61,-100,-59,-70,-70,-100,-100,-82,-80,-70,-100,-74,-100,-100,-59,-79,-82,-100,-100,-100,-100,-100,-80,-79,-58,-100,-61,-100,-100,-85,-74,-74,-79,-100,-100,-84,-100,-63,-63,-63,-100,-78,-78,-71,-71,-84,-82,-100,-100,-100,-100,-100,-80,-83,-100,-100,-80,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-81,-100,-100,-100,-83,-83,-82,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-63,-74,-74,-73,-73,-73,-62,-62,-100,-100,-67,-22,-66,-78,-77,-67,-70,-69,-69,-70,-69,-70,-62,-63,-84,-83,-83,-83,-69,-54,-68,-55,-77,-87,-86,-86,-85,-68,-76,-79,-85,-100,-100,-68,-79,-79,-100,-84,-85,-100,-75,-73,-60,-90,-78,-67,-70,-70,-84,-84,-68,-55,-86,-85,-80,-68,-100,-78,-85,-100,-80,-82,-75,-60,-100,-63,-63,-76,-100,-100,-85,-84,-76,-100,-73,-100,-100,-63,-80,-82,-100,-83,-100,-100,-83,-74,-74,-63,-100,-61,-100,-100,-85,-73,-73,-80,-100,-100,-84,-100,-63,-65,-65,-100,-78,-81,-73,-71,-84,-82,-100,-100,-100,-100,-100,-74,-80,-100,-100,-80,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-87,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-63,-74,-74,-72,-72,-72,-62,-61,-87,-87,-65,-19,-71,-73,-73,-65,-67,-100,-100,-70,-70,-70,-62,-63,-84,-83,-83,-83,-66,-56,-66,-55,-59,-87,-100,-86,-100,-69,-87,-81,-100,-100,-100,-69,-79,-80,-100,-84,-83,-100,-75,-72,-62,-87,-73,-65,-70,-70,-84,-84,-66,-56,-86,-88,-100,-68,-100,-80,-83,-100,-82,-82,-77,-58,-100,-63,-63,-76,-100,-100,-83,-83,-76,-100,-73,-100,-100,-63,-80,-61,-100,-83,-100,-100,-83,-75,-75,-63,-100,-100,-100,-100,-87,-73,-73,-81,-100,-100,-100,-100,-65,-65,-65,-100,-77,-81,-73,-100,-100,-100,-100,-100,-100,-100,-100,-75,-79,-100,-100,-80,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-86,-81,-100,-80,-81,-100,-100,-100,-82,-80,-81,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-61,-74,-74,-72,-72,-72,-62,-62,-87,-87,-66,-22,-71,-73,-73,-66,-67,-100,-100,-70,-70,-70,-62,-60,-84,-83,-83,-84,-66,-54,-67,-55,-59,-87,-86,-85,-100,-69,-87,-81,-100,-83,-100,-69,-79,-79,-100,-84,-84,-100,-75,-72,-62,-88,-73,-66,-69,-70,-84,-83,-66,-55,-86,-88,-100,-69,-100,-78,-85,-100,-81,-82,-72,-57,-100,-61,-69,-69,-83,-100,-85,-83,-69,-100,-74,-100,-100,-63,-80,-82,-100,-83,-100,-100,-83,-74,-75,-63,-100,-100,-100,-100,-87,-74,-75,-81,-100,-100,-100,-100,-65,-64,-65,-100,-77,-81,-73,-100,-100,-100,-100,-100,-100,-100,-100,-75,-80,-100,-100,-80,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-79,-81,-100,-86,-81,-100,-80,-81,-100,-100,-100,-82,-80,-81,-84,-82,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-60,-100,-100,-72,-72,-72,-62,-62,-86,-87,-66,-22,-69,-73,-73,-66,-69,-100,-70,-70,-70,-70,-62,-60,-84,-85,-83,-84,-65,-55,-65,-55,-59,-100,-87,-86,-100,-69,-73,-80,-100,-83,-100,-69,-78,-78,-100,-83,-84,-100,-100,-72,-62,-88,-73,-66,-70,-70,-85,-83,-64,-55,-86,-88,-81,-69,-100,-78,-83,-100,-81,-100,-73,-62,-100,-61,-69,-69,-83,-100,-83,-83,-69,-100,-73,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-75,-75,-63,-100,-100,-85,-100,-88,-74,-74,-81,-100,-100,-100,-100,-64,-64,-65,-100,-77,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-80,-100,-100,-80,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-79,-82,-100,-86,-81,-100,-80,-81,-100,-100,-100,-82,-80,-81,-85,-82,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-60,-73,-74,-71,-71,-71,-62,-62,-86,-87,-66,-22,-71,-100,-100,-66,-63,-70,-70,-69,-70,-70,-61,-61,-83,-84,-83,-84,-65,-55,-65,-55,-74,-87,-87,-86,-100,-69,-73,-80,-100,-83,-100,-69,-78,-78,-100,-84,-84,-100,-74,-71,-62,-88,-100,-66,-70,-71,-84,-83,-65,-55,-86,-88,-81,-69,-100,-78,-84,-100,-81,-100,-74,-61,-100,-62,-69,-69,-83,-100,-84,-100,-69,-100,-74,-100,-100,-62,-100,-82,-100,-100,-100,-100,-100,-75,-75,-62,-100,-100,-85,-100,-88,-74,-74,-81,-100,-100,-82,-100,-64,-64,-64,-100,-77,-81,-100,-73,-81,-81,-100,-100,-100,-100,-100,-75,-80,-100,-100,-80,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-87,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-85,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-63,-73,-74,-73,-73,-73,-62,-62,-86,-100,-70,-20,-66,-75,-75,-70,-67,-70,-70,-70,-70,-70,-62,-63,-83,-82,-100,-100,-68,-54,-68,-54,-74,-87,-87,-86,-100,-70,-75,-80,-100,-100,-100,-70,-78,-78,-100,-83,-83,-100,-74,-73,-62,-89,-76,-70,-70,-71,-83,-100,-68,-54,-86,-88,-82,-69,-100,-100,-83,-100,-81,-100,-74,-60,-100,-62,-68,-69,-85,-100,-83,-100,-68,-100,-74,-100,-100,-61,-100,-85,-100,-100,-100,-100,-100,-74,-74,-62,-100,-78,-85,-100,-88,-75,-74,-81,-100,-100,-83,-100,-67,-67,-68,-100,-78,-81,-100,-62,-81,-81,-100,-100,-100,-100,-100,-74,-80,-100,-100,-80,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-82,-79,-83,-83,-86,-100,-100,-100,-81,-86,-86,-100,-100,-100,-100,-84,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-62,-69,-69,-72,-72,-72,-64,-64,-100,-100,-70,-20,-68,-75,-75,-70,-70,-70,-70,-71,-71,-71,-62,-62,-82,-82,-100,-100,-68,-62,-68,-62,-77,-87,-100,-100,-100,-67,-76,-100,-100,-100,-100,-67,-100,-81,-100,-85,-86,-100,-70,-72,-64,-89,-76,-71,-70,-71,-82,-100,-68,-62,-100,-86,-82,-67,-100,-100,-85,-100,-81,-83,-79,-63,-100,-62,-70,-70,-85,-100,-85,-82,-70,-100,-72,-100,-100,-59,-100,-83,-100,-81,-100,-100,-82,-74,-78,-62,-100,-74,-100,-100,-100,-72,-72,-80,-100,-100,-81,-100,-65,-65,-65,-100,-78,-81,-71,-62,-81,-81,-100,-100,-100,-100,-100,-78,-83,-100,-100,-83,-69,-70,-100,-70,-100,-82,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-82,-82,-82,-83,-87,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-84,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-62,-69,-69,-71,-72,-72,-63,-63,-100,-100,-70,-20,-69,-100,-100,-69,-72,-72,-72,-71,-71,-71,-62,-62,-83,-82,-100,-100,-68,-62,-68,-62,-77,-87,-84,-84,-100,-67,-81,-100,-100,-100,-100,-67,-82,-82,-100,-85,-85,-100,-70,-72,-63,-100,-100,-70,-71,-76,-82,-100,-68,-62,-100,-86,-100,-67,-100,-82,-84,-100,-81,-83,-80,-50,-100,-59,-70,-70,-100,-100,-85,-82,-70,-100,-73,-100,-100,-60,-100,-83,-100,-82,-100,-100,-82,-75,-75,-100,-100,-74,-100,-100,-87,-73,-73,-80,-100,-100,-81,-100,-66,-66,-66,-100,-80,-81,-71,-100,-81,-81,-100,-100,-100,-100,-100,-75,-83,-100,-100,-83,-69,-70,-100,-70,-100,-83,-82,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-62,-69,-69,-72,-72,-72,-63,-63,-100,-100,-70,-20,-68,-100,-100,-70,-72,-72,-72,-71,-71,-71,-62,-62,-82,-83,-100,-100,-68,-62,-67,-62,-67,-87,-83,-84,-100,-67,-81,-100,-100,-100,-100,-67,-82,-83,-100,-84,-84,-100,-70,-72,-64,-89,-100,-70,-71,-79,-83,-100,-68,-62,-84,-85,-100,-67,-100,-83,-85,-100,-81,-83,-79,-66,-100,-59,-69,-70,-100,-100,-84,-82,-69,-100,-74,-100,-100,-60,-100,-83,-100,-82,-100,-100,-82,-76,-75,-60,-100,-78,-100,-100,-88,-74,-74,-80,-100,-100,-81,-100,-66,-66,-67,-100,-81,-80,-71,-100,-81,-81,-100,-100,-100,-100,-100,-75,-83,-100,-100,-83,-69,-70,-100,-70,-100,-83,-82,-100,-100,-100,-83,-100,-100,-100,-100,-80,-100,-100,-82,-83,-100,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-62,-69,-69,-72,-72,-72,-63,-63,-100,-100,-70,-21,-68,-100,-75,-71,-71,-72,-72,-71,-71,-71,-62,-62,-82,-83,-100,-100,-68,-62,-67,-62,-67,-87,-83,-84,-100,-67,-80,-80,-86,-100,-100,-67,-83,-82,-100,-85,-85,-100,-100,-72,-63,-89,-100,-71,-72,-79,-81,-100,-68,-63,-84,-85,-80,-67,-100,-83,-85,-100,-80,-82,-79,-63,-100,-60,-69,-70,-100,-100,-84,-100,-69,-100,-75,-100,-100,-59,-80,-82,-100,-82,-100,-100,-82,-76,-75,-60,-100,-78,-100,-100,-88,-75,-75,-80,-100,-100,-81,-100,-66,-66,-65,-100,-81,-81,-100,-100,-81,-80,-100,-100,-100,-80,-100,-78,-83,-100,-100,-83,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-84,-100,-100,-100,-79,-80,-79,-100,-81,-83,-100,-87,-81,-100,-100,-100,-86,-85,-100,-84,-100,-100,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-63,-69,-69,-72,-72,-72,-63,-63,-100,-100,-71,-20,-69,-100,-75,-71,-71,-72,-71,-71,-71,-71,-62,-62,-82,-82,-100,-100,-68,-62,-68,-62,-67,-86,-83,-84,-100,-66,-75,-80,-86,-100,-100,-67,-83,-83,-100,-84,-84,-100,-69,-72,-63,-89,-100,-71,-71,-79,-81,-100,-68,-62,-84,-85,-80,-67,-100,-83,-85,-100,-81,-82,-76,-64,-100,-60,-69,-69,-100,-100,-85,-100,-69,-100,-74,-100,-100,-60,-80,-82,-100,-82,-100,-100,-82,-76,-100,-60,-100,-74,-100,-100,-88,-73,-74,-80,-100,-100,-81,-100,-66,-66,-65,-100,-81,-81,-100,-100,-81,-80,-100,-100,-100,-80,-100,-78,-83,-100,-100,-82,-100,-100,-100,-70,-100,-84,-84,-100,-100,-100,-83,-100,-100,-100,-79,-80,-79,-100,-84,-83,-100,-87,-100,-100,-100,-100,-86,-85,-100,-84,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-63,-69,-69,-72,-72,-72,-64,-64,-100,-100,-71,-20,-65,-100,-75,-71,-73,-72,-71,-71,-71,-71,-62,-63,-83,-83,-100,-100,-68,-62,-68,-62,-100,-86,-100,-100,-100,-67,-81,-80,-86,-100,-100,-100,-83,-83,-100,-85,-84,-100,-69,-73,-63,-100,-100,-71,-71,-100,-82,-100,-68,-62,-100,-86,-80,-67,-100,-100,-84,-100,-81,-82,-76,-65,-100,-59,-70,-69,-100,-100,-84,-100,-69,-100,-76,-100,-100,-60,-80,-82,-100,-82,-100,-100,-82,-74,-100,-60,-100,-74,-100,-100,-100,-76,-74,-82,-100,-100,-80,-100,-66,-66,-65,-100,-80,-81,-100,-100,-80,-80,-100,-100,-100,-80,-100,-78,-83,-100,-100,-82,-71,-69,-100,-70,-100,-83,-83,-100,-100,-100,-83,-100,-100,-100,-80,-80,-80,-100,-84,-84,-100,-87,-100,-100,-100,-100,-86,-85,-100,-84,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-59,-69,-69,-74,-73,-74,-67,-68,-100,-100,-72,-22,-69,-100,-100,-72,-70,-73,-71,-71,-72,-72,-62,-59,-81,-81,-100,-100,-63,-62,-63,-62,-69,-86,-100,-100,-100,-64,-84,-80,-100,-100,-100,-63,-78,-78,-100,-85,-84,-100,-69,-73,-67,-100,-100,-73,-72,-73,-81,-100,-63,-62,-100,-86,-100,-64,-100,-78,-85,-100,-82,-100,-75,-52,-100,-59,-68,-67,-100,-100,-85,-100,-67,-100,-73,-100,-100,-63,-80,-85,-82,-100,-100,-100,-100,-74,-100,-63,-100,-74,-100,-100,-100,-73,-74,-82,-100,-100,-80,-100,-70,-100,-100,-100,-80,-81,-69,-100,-80,-80,-100,-100,-100,-100,-100,-78,-83,-100,-100,-80,-71,-69,-83,-70,-83,-83,-87,-100,-100,-100,-83,-100,-100,-100,-80,-100,-80,-100,-80,-84,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,543.9999999999999,20
-59,-78,-79,-72,-72,-72,-67,-67,-100,-100,-71,-21,-72,-100,-100,-71,-69,-73,-73,-73,-72,-73,-59,-59,-82,-81,-100,-100,-63,-61,-64,-61,-69,-100,-100,-100,-100,-64,-79,-79,-100,-100,-100,-63,-78,-78,-100,-85,-84,-100,-79,-72,-67,-100,-100,-72,-72,-73,-81,-100,-63,-61,-100,-100,-79,-63,-100,-78,-85,-100,-82,-100,-79,-52,-100,-64,-68,-67,-100,-100,-85,-100,-67,-100,-74,-100,-70,-64,-80,-85,-82,-100,-100,-100,-100,-77,-77,-63,-100,-100,-100,-100,-100,-74,-74,-82,-100,-100,-83,-100,-70,-69,-70,-100,-100,-82,-70,-100,-83,-83,-100,-100,-100,-100,-100,-100,-80,-100,-100,-81,-100,-100,-83,-100,-83,-83,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-80,-85,-100,-83,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,543.9999999999999,20
