38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,b4:5d:50:e1:96:51,38:17:c3:1f:14:12,b4:5d:50:e1:96:53,38:17:c3:1f:14:11,b4:5d:50:e1:96:52,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,20:a6:cd:42:0a:d1,44:48:c1:91:d0:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,44:48:c1:91:d0:10,44:48:c1:91:d0:14,38:17:c3:1f:14:01,44:48:c1:91:d0:04,b4:5d:50:e1:96:41,38:17:c3:1f:14:02,a8:bd:27:4c:aa:82,44:48:c1:91:d0:00,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:c0,38:17:c3:1f:09:92,38:17:c3:24:47:52,38:17:c3:1f:09:91,38:17:c3:24:47:51,38:17:c3:1f:09:93,44:48:c1:91:95:a3,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:81,38:17:c3:1f:09:82,ac:e2:d3:c4:08:e6,44:48:c1:91:aa:31,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,44:48:c1:91:d0:11,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,44:48:c1:91:d0:01,38:17:c3:1f:19:d0,38:17:c3:19:45:b0,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:09:90,38:17:c3:24:47:50,38:17:c3:1f:09:80,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,38:17:c3:22:61:90,38:17:c3:19:36:30,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c1,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a0,38:17:c3:1f:09:81,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,20:a6:cd:42:13:e1,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:40,38:17:c3:19:45:a0,38:17:c3:22:5e:f0,38:17:c3:1a:cf:d0,38:17:c3:1f:1c:10,72:32:b1:3e:1a:b8,44:48:c1:91:95:a1,44:48:c1:91:aa:22,b0:b8:67:3d:c2:f1,b0:b8:67:3d:c2:f0,38:17:c3:19:d7:70,b0:b8:67:3d:c2:f2,44:48:c1:91:d0:02,38:17:c3:1f:19:c1,20:a6:cd:42:13:e2,38:17:c3:1f:1c:12,20:a6:cd:42:13:e0,44:48:c1:91:aa:21,44:48:c1:91:aa:20,44:48:c1:91:9d:50,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d2,38:17:c3:1f:19:c2,44:48:c1:91:95:a2,b6:e6:2d:69:d5:58,38:17:c3:1f:19:f0,38:17:c3:1f:19:c0,86:0d:8e:aa:25:a4,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:19:36:31,38:17:c3:19:36:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:71,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e3,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:35:02,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,b0:be:76:f8:30:5e,80:8d:b7:55:29:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:42,80:8d:b7:55:35:01,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:00,20:a6:cd:50:24:a2,68:ff:7b:e4:af:39,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,68:ff:7b:e4:af:38,20:a6:cd:50:24:b2,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:71:92,20:a6:cd:50:24:a1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,38:17:c3:1e:ff:11,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1e:ff:02,38:17:c3:1f:22:30,00:4e:35:df:06:52,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,38:17:c3:1e:ff:12,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:1e:ff:10,38:17:c3:19:36:20,38:17:c3:1e:ff:00,38:17:c3:1f:22:31,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,00:4e:35:df:06:42,38:17:c3:1f:22:32,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,00:4e:35:de:e1:12,00:4e:35:df:06:50,00:4e:35:de:e1:11,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:de:e1:10,44:48:c1:a5:82:30,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,b4:5d:50:e1:92:23,00:4e:35:de:e1:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,80:8d:b7:55:4d:02,38:17:c3:1f:0e:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,80:8d:b7:55:4d:11,80:8d:b7:55:4d:10,80:8d:b7:55:4d:12,x,y,label
-53,-72,-54,-54,-86,-73,-87,-73,-86,-65,-57,-57,-83,-83,-82,-83,-85,-83,-68,-82,-100,-69,-73,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-81,-100,-82,-100,-81,-87,-80,-76,-85,-84,-83,-73,-84,-74,-100,-73,-86,-57,-82,-83,-81,-68,-78,-100,-78,-100,-84,-82,-100,-100,-83,-74,-100,-100,-87,-100,-72,-82,-82,-82,-79,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-100,-65,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-85,-81,-79,-81,-100,-81,-81,-83,-100,-100,-83,-100,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-53,-74,-53,-53,-86,-72,-87,-72,-86,-63,-57,-57,-84,-82,-84,-84,-82,-82,-67,-82,-100,-66,-73,-100,-100,-100,-100,-100,-100,-75,-74,-78,-100,-82,-100,-82,-100,-83,-87,-79,-76,-86,-85,-86,-73,-81,-74,-100,-72,-86,-57,-84,-82,-81,-66,-78,-100,-75,-100,-84,-82,-100,-81,-85,-74,-100,-100,-86,-100,-75,-82,-100,-82,-76,-76,-100,-82,-100,-100,-100,-78,-100,-77,-100,-100,-100,-64,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-87,-86,-81,-100,-82,-100,-81,-81,-83,-100,-100,-100,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-53,-74,-55,-55,-100,-72,-100,-72,-100,-64,-55,-55,-84,-83,-84,-84,-82,-83,-67,-82,-83,-66,-73,-100,-100,-100,-100,-100,-100,-75,-75,-82,-80,-82,-100,-82,-100,-83,-84,-80,-76,-86,-85,-85,-73,-81,-77,-100,-72,-100,-55,-83,-82,-81,-67,-78,-100,-75,-100,-84,-82,-100,-81,-85,-73,-100,-100,-86,-100,-74,-82,-100,-81,-77,-77,-100,-82,-100,-100,-100,-100,-83,-77,-100,-100,-100,-65,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-86,-86,-82,-78,-82,-78,-82,-81,-83,-78,-100,-100,-85,-83,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-54,-74,-55,-55,-100,-73,-100,-73,-100,-64,-55,-55,-84,-83,-84,-86,-83,-83,-67,-100,-83,-67,-73,-100,-100,-100,-100,-100,-100,-75,-71,-81,-81,-81,-100,-82,-100,-81,-84,-80,-75,-86,-85,-85,-73,-81,-75,-100,-73,-100,-55,-85,-83,-80,-67,-100,-100,-76,-100,-100,-82,-100,-81,-85,-73,-100,-100,-86,-100,-74,-100,-100,-79,-77,-77,-100,-81,-100,-100,-100,-78,-83,-77,-100,-100,-100,-65,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-81,-78,-82,-78,-81,-81,-81,-77,-100,-90,-84,-82,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-50,-76,-52,-52,-85,-75,-85,-75,-85,-70,-49,-49,-85,-83,-87,-85,-83,-83,-70,-100,-83,-70,-61,-100,-100,-100,-100,-100,-100,-71,-71,-80,-81,-85,-100,-82,-100,-85,-84,-80,-59,-82,-81,-81,-62,-81,-71,-100,-75,-85,-49,-86,-83,-80,-69,-100,-100,-71,-100,-100,-86,-100,-81,-82,-61,-100,-100,-86,-100,-74,-100,-100,-79,-77,-77,-100,-81,-100,-100,-100,-78,-83,-78,-100,-100,-100,-65,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-83,-78,-83,-78,-83,-83,-80,-77,-100,-90,-84,-82,-100,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-51,-76,-51,-51,-87,-75,-87,-75,-86,-66,-49,-49,-85,-100,-86,-85,-100,-83,-69,-100,-100,-70,-61,-100,-100,-100,-100,-100,-100,-73,-73,-82,-100,-85,-100,-86,-100,-88,-100,-81,-76,-82,-83,-82,-75,-83,-72,-100,-75,-85,-49,-84,-100,-100,-69,-100,-100,-73,-100,-100,-86,-100,-100,-81,-76,-100,-100,-100,-100,-76,-100,-86,-100,-77,-76,-100,-81,-100,-100,-100,-100,-100,-77,-100,-100,-100,-73,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-100,-83,-82,-80,-100,-100,-100,-100,-81,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-51,-76,-51,-51,-87,-76,-87,-75,-86,-73,-49,-49,-85,-100,-86,-85,-100,-83,-69,-81,-100,-70,-61,-100,-100,-100,-100,-100,-100,-73,-73,-79,-85,-85,-100,-87,-100,-86,-100,-81,-76,-82,-82,-81,-76,-82,-71,-100,-76,-85,-49,-84,-100,-85,-70,-100,-100,-73,-100,-100,-86,-100,-82,-81,-76,-100,-100,-100,-100,-76,-100,-86,-86,-77,-76,-100,-81,-100,-100,-100,-78,-100,-76,-100,-100,-100,-66,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-82,-100,-83,-82,-80,-100,-100,-100,-100,-81,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-51,-76,-51,-51,-87,-75,-87,-76,-86,-71,-49,-49,-85,-85,-86,-85,-85,-84,-69,-82,-81,-69,-76,-100,-100,-100,-100,-100,-100,-73,-73,-79,-86,-86,-100,-86,-100,-86,-100,-81,-75,-82,-81,-82,-76,-82,-70,-100,-76,-100,-49,-84,-84,-86,-69,-100,-100,-73,-100,-100,-85,-100,-82,-82,-76,-100,-100,-100,-100,-76,-82,-86,-85,-77,-76,-100,-82,-100,-100,-100,-79,-81,-76,-100,-100,-100,-71,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-83,-100,-82,-100,-82,-82,-81,-100,-81,-81,-100,-80,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-51,-76,-52,-52,-86,-76,-86,-76,-86,-71,-49,-49,-100,-85,-100,-100,-84,-84,-69,-82,-82,-69,-76,-100,-100,-100,-100,-100,-100,-73,-73,-81,-86,-86,-100,-86,-100,-85,-100,-81,-76,-82,-82,-82,-76,-82,-70,-100,-76,-87,-49,-100,-84,-85,-69,-100,-100,-73,-100,-100,-86,-100,-81,-82,-100,-100,-100,-100,-100,-76,-82,-84,-85,-77,-77,-100,-82,-100,-100,-100,-79,-82,-73,-100,-100,-100,-71,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-83,-100,-82,-100,-83,-82,-81,-100,-81,-81,-100,-80,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-51,-75,-52,-52,-86,-76,-86,-76,-87,-67,-49,-49,-86,-84,-85,-87,-85,-83,-69,-82,-82,-69,-76,-100,-100,-100,-100,-100,-100,-73,-73,-81,-86,-86,-100,-86,-100,-87,-100,-81,-76,-81,-82,-82,-76,-82,-72,-100,-76,-86,-49,-84,-84,-85,-69,-100,-100,-74,-100,-84,-87,-100,-81,-82,-100,-100,-100,-100,-100,-76,-82,-84,-85,-100,-77,-100,-82,-100,-100,-100,-79,-82,-73,-100,-100,-100,-66,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-82,-100,-82,-100,-82,-82,-81,-100,-81,-81,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-49,-78,-49,-49,-86,-77,-86,-77,-87,-68,-52,-52,-86,-86,-85,-87,-86,-85,-100,-84,-82,-100,-75,-85,-100,-100,-100,-100,-100,-74,-74,-81,-84,-85,-100,-85,-100,-84,-100,-85,-76,-84,-85,-84,-75,-100,-75,-100,-77,-86,-52,-84,-84,-85,-69,-83,-100,-74,-100,-84,-85,-100,-82,-85,-75,-100,-100,-100,-100,-76,-82,-83,-84,-76,-76,-100,-81,-100,-100,-100,-72,-82,-76,-100,-100,-100,-68,-100,-100,-100,-100,-81,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-74,-79,-80,-79,-100,-100,-100,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-49,-78,-49,-49,-100,-75,-88,-75,-100,-71,-51,-51,-84,-86,-83,-84,-86,-84,-71,-85,-100,-71,-75,-85,-100,-100,-100,-100,-100,-73,-72,-82,-84,-85,-100,-85,-100,-85,-100,-81,-77,-84,-85,-86,-75,-81,-76,-100,-75,-90,-51,-83,-84,-100,-71,-83,-100,-73,-100,-100,-85,-100,-80,-85,-75,-100,-100,-88,-100,-78,-100,-83,-84,-76,-76,-100,-81,-100,-100,-100,-72,-100,-76,-100,-100,-100,-68,-100,-100,-100,-100,-79,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-80,-73,-79,-79,-79,-100,-100,-100,-77,-80,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-49,-78,-49,-49,-88,-76,-87,-76,-88,-67,-51,-51,-84,-86,-84,-84,-86,-85,-71,-85,-100,-71,-75,-85,-100,-100,-100,-100,-100,-72,-73,-82,-84,-85,-100,-85,-100,-85,-100,-80,-77,-85,-84,-84,-75,-81,-69,-100,-76,-87,-51,-84,-84,-100,-71,-83,-100,-73,-100,-100,-86,-100,-80,-85,-75,-100,-100,-88,-100,-78,-100,-83,-84,-76,-76,-100,-81,-100,-100,-100,-72,-100,-75,-100,-100,-100,-71,-100,-100,-100,-100,-79,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-73,-79,-79,-79,-100,-77,-76,-77,-79,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-49,-77,-49,-49,-87,-76,-88,-76,-88,-69,-51,-51,-84,-100,-84,-85,-100,-85,-71,-82,-100,-71,-75,-100,-100,-100,-100,-100,-100,-73,-73,-82,-100,-85,-100,-84,-100,-85,-100,-81,-77,-85,-84,-84,-100,-81,-77,-100,-76,-87,-51,-84,-100,-100,-72,-100,-100,-73,-100,-100,-85,-100,-81,-85,-75,-100,-100,-87,-100,-78,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-72,-100,-75,-100,-100,-100,-71,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-74,-79,-74,-79,-79,-79,-74,-77,-77,-77,-79,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-49,-78,-49,-49,-88,-76,-88,-76,-88,-71,-51,-52,-84,-100,-84,-84,-100,-85,-71,-82,-100,-71,-74,-100,-100,-100,-100,-100,-100,-72,-73,-83,-100,-84,-100,-83,-100,-84,-100,-81,-76,-83,-84,-85,-75,-81,-75,-100,-76,-87,-52,-84,-100,-100,-71,-100,-100,-73,-100,-100,-85,-100,-81,-85,-74,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-72,-100,-75,-100,-100,-100,-75,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-74,-80,-74,-79,-79,-79,-74,-77,-77,-77,-78,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-48,-77,-49,-49,-88,-75,-88,-75,-100,-48,-51,-51,-84,-86,-84,-84,-87,-86,-71,-82,-100,-71,-74,-100,-100,-100,-100,-100,-100,-73,-74,-82,-84,-85,-100,-86,-100,-85,-100,-80,-76,-83,-84,-85,-75,-79,-76,-100,-75,-87,-51,-84,-86,-83,-71,-100,-100,-74,-100,-100,-85,-100,-81,-85,-74,-100,-100,-87,-100,-100,-100,-100,-84,-75,-75,-100,-80,-100,-100,-100,-72,-100,-73,-100,-100,-100,-69,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-74,-79,-73,-79,-79,-79,-73,-77,-77,-77,-78,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
