38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,b0:be:76:f8:30:5e,68:ff:7b:e4:af:38,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a2,38:17:c3:24:58:a1,32:f7:72:50:57:3b,00:4e:35:df:06:50,00:4e:35:df:06:51,70:56:81:c9:91:ab,38:17:c3:19:55:50,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:24:58:a0,38:17:c3:19:55:41,68:ff:7b:e4:af:39,66:2a:2f:53:7c:99,38:17:c3:1f:08:51,38:17:c3:1f:08:50,44:48:c1:a5:82:30,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1f:08:42,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,38:17:c3:1f:01:81,80:8d:b7:55:3a:52,80:8d:b7:55:25:f1,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:12,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,20:a6:cd:50:24:b2,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:41,a8:bd:27:4c:bd:32,38:17:c3:1f:09:93,b4:5d:50:e1:92:33,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:39:c0,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:1f:09:90,38:17:c3:19:71:90,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,44:48:c1:a5:82:22,80:8d:b7:55:3a:42,38:17:c3:19:d7:61,38:17:c3:19:d7:62,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:96:53,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,b4:5d:50:e1:96:50,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:31,60:32:b1:3e:1a:b8,38:17:c3:1f:01:82,80:8d:b7:55:25:e1,44:48:c1:a5:82:21,38:17:c3:19:45:a1,38:17:c3:19:45:a2,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,38:17:c3:1f:01:80,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a2,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,38:17:c3:1f:09:91,b4:5d:50:e1:96:43,20:a6:cd:50:24:a0,b4:5d:50:e1:92:21,38:17:c3:19:71:92,38:17:c3:19:71:91,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:09:92,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,38:17:c3:1f:22:30,00:4e:35:df:06:40,00:4e:35:de:e1:01,38:17:c3:19:45:a0,38:17:c3:1f:00:b0,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,00:4e:35:de:e1:00,38:17:c3:1e:ff:02,00:4e:35:de:e1:02,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,00:4e:35:de:d7:52,00:4e:35:df:0e:12,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:52,38:17:c3:1f:22:22,38:17:c3:1f:22:21,00:4e:35:de:d7:53,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:43,00:4e:35:df:0e:10,00:4e:35:de:d7:41,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:df:0e:02,38:17:c3:19:36:31,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,38:17:c3:1f:22:20,00:4e:35:df:0e:00,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:4f:10,00:4e:35:df:27:01,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,00:4e:35:df:27:12,38:17:c3:1b:08:b2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b1,00:4e:35:df:27:11,00:4e:35:df:27:10,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,x,y,label
-74,-74,-100,-100,-62,-100,-100,-100,-100,-100,-100,-77,-77,-100,-74,-100,-100,-69,-77,-100,-100,-100,-71,-90,-81,-85,-86,-53,-100,-100,-100,-100,-64,-63,-63,-66,-66,-65,-82,-81,-53,-53,-56,-64,-64,-81,-80,-53,-53,-78,-79,-100,-69,-79,-69,-80,-85,-100,-83,-86,-83,-100,-100,-72,-86,-100,-72,-62,-66,-81,-53,-81,-79,-57,-86,-83,-100,-72,-79,-100,-100,-68,-68,-66,-58,-59,-66,-83,-55,-65,-80,-100,-79,-79,-100,-100,-68,-77,-100,-72,-100,-71,-73,-74,-72,-80,-100,-72,-55,-100,-100,-76,-100,-100,-55,-72,-66,-100,-83,-85,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-85,-72,-82,-100,-100,-100,-100,-100,-100,-82,-79,-81,-78,-78,-100,-100,-82,-83,-83,-100,-100,-100,-87,-100,-87,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,373.5999999999999,8
-74,-74,-100,-100,-58,-100,-100,-100,-100,-100,-100,-73,-78,-100,-74,-100,-100,-69,-77,-79,-80,-100,-71,-90,-81,-86,-85,-53,-100,-100,-100,-100,-64,-67,-66,-64,-64,-65,-82,-81,-53,-53,-54,-66,-64,-79,-79,-53,-53,-79,-79,-100,-69,-79,-69,-76,-85,-100,-83,-86,-83,-100,-100,-72,-86,-100,-70,-67,-64,-81,-53,-79,-79,-56,-86,-83,-100,-72,-80,-100,-100,-68,-68,-66,-56,-56,-66,-83,-55,-66,-80,-100,-79,-79,-100,-100,-68,-100,-100,-74,-100,-70,-69,-68,-70,-80,-100,-73,-55,-100,-100,-76,-100,-100,-55,-74,-66,-100,-100,-85,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-86,-72,-82,-100,-100,-100,-100,-100,-100,-82,-79,-81,-78,-78,-100,-100,-83,-83,-84,-86,-84,-100,-87,-100,-100,-100,-100,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,373.5999999999999,8
-74,-74,-100,-100,-61,-100,-100,-100,-100,-100,-100,-71,-71,-100,-74,-100,-100,-69,-71,-79,-80,-100,-71,-82,-87,-85,-86,-53,-100,-100,-100,-100,-64,-64,-63,-68,-68,-68,-82,-81,-51,-51,-53,-66,-64,-80,-80,-53,-53,-77,-77,-100,-69,-77,-69,-73,-85,-100,-79,-86,-80,-100,-100,-69,-85,-100,-69,-63,-68,-81,-51,-80,-76,-53,-84,-80,-100,-69,-81,-100,-100,-67,-68,-63,-53,-53,-67,-100,-58,-67,-80,-100,-81,-80,-100,-100,-68,-77,-100,-76,-100,-69,-69,-78,-69,-83,-100,-76,-57,-100,-100,-76,-100,-100,-57,-76,-67,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-87,-72,-82,-100,-100,-100,-100,-100,-100,-82,-84,-83,-84,-83,-100,-100,-83,-83,-84,-86,-84,-100,-88,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-75,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-71,-74,-100,-100,-100,-100,-69,-74,-100,-100,-100,-100,-82,-88,-86,-84,-55,-100,-100,-100,-100,-100,-66,-66,-68,-68,-68,-85,-84,-52,-51,-51,-100,-100,-83,-83,-55,-55,-78,-78,-100,-69,-77,-69,-73,-83,-84,-79,-83,-80,-100,-100,-69,-83,-100,-73,-63,-68,-85,-52,-83,-78,-55,-82,-80,-100,-69,-81,-100,-100,-69,-69,-66,-54,-54,-67,-100,-59,-67,-75,-76,-81,-80,-100,-100,-69,-75,-100,-76,-100,-73,-72,-77,-73,-81,-100,-75,-59,-100,-100,-75,-100,-100,-59,-76,-67,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-87,-69,-83,-100,-100,-100,-100,-100,-100,-82,-84,-82,-84,-83,-100,-100,-100,-100,-100,-84,-100,-100,-88,-100,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-75,-74,-100,-100,-61,-100,-100,-100,-100,-100,-100,-71,-71,-100,-74,-100,-100,-69,-71,-100,-100,-100,-100,-82,-88,-86,-85,-56,-100,-100,-100,-100,-100,-64,-63,-68,-68,-68,-84,-85,-51,-51,-53,-100,-100,-82,-82,-55,-55,-77,-78,-100,-68,-78,-68,-74,-83,-82,-79,-83,-80,-100,-100,-69,-84,-100,-70,-63,-68,-85,-51,-82,-77,-55,-83,-80,-100,-69,-82,-100,-100,-69,-69,-45,-54,-54,-67,-100,-60,-67,-77,-77,-82,-80,-100,-100,-70,-77,-100,-76,-100,-70,-70,-77,-70,-81,-100,-76,-60,-100,-100,-75,-100,-100,-60,-76,-67,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-87,-69,-83,-100,-100,-100,-100,-100,-100,-82,-84,-82,-84,-83,-100,-100,-100,-100,-100,-84,-100,-100,-88,-84,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-75,-74,-100,-100,-64,-100,-100,-100,-100,-100,-100,-71,-71,-100,-74,-100,-100,-68,-71,-100,-100,-100,-100,-100,-83,-86,-85,-55,-100,-100,-100,-78,-66,-64,-64,-68,-68,-68,-84,-85,-51,-51,-52,-100,-100,-82,-82,-55,-55,-77,-77,-79,-68,-78,-69,-77,-83,-84,-79,-84,-80,-100,-100,-69,-84,-100,-71,-63,-68,-85,-51,-82,-78,-55,-84,-80,-100,-69,-81,-100,-100,-69,-69,-69,-55,-55,-100,-83,-60,-100,-77,-77,-82,-81,-100,-100,-69,-77,-100,-100,-100,-70,-71,-78,-71,-81,-100,-76,-60,-100,-100,-75,-100,-79,-60,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-77,-100,-69,-83,-100,-100,-100,-100,-100,-100,-83,-100,-82,-83,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-83,-83,-83,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-75,-75,-100,-100,-64,-100,-100,-100,-100,-100,-100,-71,-71,-100,-74,-100,-100,-69,-71,-100,-100,-100,-100,-100,-83,-86,-85,-56,-100,-100,-100,-78,-66,-66,-66,-67,-67,-67,-84,-84,-50,-50,-52,-100,-100,-81,-80,-56,-56,-78,-78,-79,-68,-78,-69,-77,-82,-83,-79,-83,-79,-100,-100,-69,-84,-100,-73,-66,-67,-84,-50,-81,-78,-55,-83,-79,-100,-69,-81,-100,-100,-68,-68,-65,-54,-55,-100,-83,-57,-100,-76,-77,-82,-81,-100,-100,-68,-76,-100,-100,-100,-73,-72,-79,-73,-81,-100,-76,-57,-100,-100,-77,-100,-79,-57,-75,-100,-83,-84,-84,-100,-100,-100,-78,-100,-100,-84,-100,-100,-100,-100,-100,-79,-78,-86,-69,-82,-100,-100,-100,-100,-100,-100,-82,-100,-81,-83,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-85,-84,-85,-83,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-76,-76,-100,-100,-63,-100,-100,-100,-100,-100,-100,-72,-72,-100,-76,-100,-100,-68,-72,-100,-100,-100,-100,-100,-87,-86,-86,-54,-100,-100,-100,-78,-66,-64,-64,-66,-66,-66,-84,-84,-50,-50,-52,-100,-67,-81,-80,-54,-54,-77,-77,-79,-68,-77,-68,-77,-82,-83,-78,-83,-77,-100,-100,-70,-83,-100,-73,-63,-66,-84,-50,-80,-77,-54,-83,-77,-100,-70,-78,-100,-100,-68,-68,-67,-54,-54,-100,-83,-59,-68,-79,-79,-79,-77,-100,-100,-69,-76,-100,-100,-100,-73,-73,-79,-73,-81,-100,-100,-59,-100,-100,-77,-100,-79,-59,-75,-100,-83,-100,-84,-100,-100,-100,-78,-100,-100,-84,-100,-100,-100,-100,-100,-79,-77,-87,-69,-82,-100,-100,-100,-100,-100,-100,-82,-100,-83,-83,-83,-100,-100,-100,-100,-100,-83,-100,-100,-88,-85,-84,-85,-86,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-76,-76,-100,-100,-60,-86,-100,-100,-100,-100,-100,-73,-72,-100,-76,-100,-100,-68,-73,-76,-100,-100,-100,-100,-84,-86,-85,-55,-100,-100,-100,-78,-100,-64,-64,-68,-69,-68,-83,-83,-51,-51,-59,-100,-67,-80,-80,-55,-55,-77,-77,-81,-68,-77,-68,-76,-78,-83,-82,-83,-82,-100,-100,-74,-83,-100,-73,-69,-69,-83,-51,-80,-77,-57,-83,-82,-100,-74,-80,-100,-100,-68,-75,-71,-57,-57,-100,-83,-51,-68,-79,-77,-79,-80,-100,-100,-69,-76,-100,-76,-100,-73,-73,-67,-73,-81,-100,-76,-52,-100,-100,-84,-100,-100,-51,-75,-100,-83,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-79,-77,-87,-74,-81,-100,-100,-100,-100,-100,-100,-82,-100,-81,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-83,-85,-84,-85,-83,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-71,-71,-100,-100,-55,-86,-100,-100,-100,-100,-100,-73,-72,-100,-71,-100,-100,-68,-70,-76,-100,-100,-100,-100,-81,-86,-85,-56,-100,-100,-100,-100,-100,-69,-69,-69,-69,-68,-83,-83,-50,-50,-59,-100,-100,-80,-79,-56,-56,-77,-77,-81,-67,-77,-67,-76,-79,-100,-82,-100,-82,-100,-100,-74,-81,-100,-77,-69,-69,-83,-50,-81,-77,-57,-100,-82,-100,-74,-83,-100,-100,-74,-74,-72,-57,-57,-100,-79,-51,-100,-77,-77,-82,-83,-88,-100,-74,-77,-100,-76,-81,-77,-77,-64,-77,-100,-100,-76,-52,-100,-100,-84,-100,-100,-51,-100,-100,-81,-82,-82,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-74,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-83,-100,-84,-100,-100,-100,-100,-100,-86,-84,-83,-83,-84,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-72,-71,-100,-100,-60,-86,-100,-100,-100,-100,-100,-72,-73,-100,-71,-100,-100,-68,-73,-76,-100,-100,-77,-100,-83,-86,-85,-57,-100,-100,-100,-100,-64,-69,-69,-69,-69,-68,-83,-82,-50,-50,-59,-63,-63,-80,-80,-57,-57,-78,-77,-81,-68,-77,-68,-76,-79,-100,-83,-100,-83,-100,-100,-71,-82,-100,-78,-69,-69,-82,-50,-81,-77,-59,-87,-83,-100,-74,-82,-100,-100,-74,-74,-72,-59,-59,-100,-79,-52,-69,-77,-77,-82,-83,-88,-100,-74,-77,-100,-76,-81,-78,-78,-78,-78,-83,-100,-76,-52,-100,-100,-83,-100,-100,-53,-100,-100,-81,-82,-82,-100,-100,-76,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-87,-70,-81,-100,-100,-100,-100,-100,-100,-81,-100,-82,-100,-100,-85,-89,-84,-100,-100,-100,-100,-100,-85,-84,-83,-83,-84,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-71,-70,-100,-100,-60,-100,-100,-100,-100,-100,-100,-72,-73,-100,-71,-100,-100,-67,-72,-100,-100,-100,-77,-100,-85,-100,-100,-56,-100,-100,-100,-100,-63,-69,-69,-69,-69,-69,-82,-83,-50,-50,-58,-63,-63,-80,-80,-56,-55,-77,-77,-100,-67,-77,-67,-74,-80,-100,-83,-100,-83,-100,-100,-74,-82,-100,-77,-69,-69,-83,-50,-81,-77,-57,-87,-83,-100,-74,-80,-100,-100,-75,-75,-69,-57,-57,-100,-79,-52,-69,-77,-77,-81,-83,-88,-100,-75,-77,-100,-100,-81,-77,-77,-77,-77,-87,-100,-100,-52,-100,-100,-84,-100,-100,-53,-100,-100,-81,-82,-82,-100,-100,-76,-84,-100,-100,-84,-100,-100,-100,-100,-100,-85,-83,-87,-70,-82,-100,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-85,-89,-84,-100,-100,-100,-100,-100,-85,-84,-85,-83,-84,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-72,-72,-100,-100,-60,-85,-100,-100,-100,-100,-100,-72,-73,-100,-72,-100,-100,-67,-72,-100,-100,-100,-77,-100,-84,-86,-86,-56,-100,-100,-100,-100,-63,-68,-68,-69,-69,-69,-82,-83,-51,-51,-58,-63,-63,-80,-80,-56,-56,-77,-78,-100,-67,-77,-67,-74,-78,-100,-83,-100,-84,-100,-100,-74,-82,-100,-77,-68,-69,-83,-51,-81,-77,-57,-87,-84,-100,-74,-80,-100,-100,-75,-75,-69,-57,-57,-100,-80,-52,-69,-77,-77,-79,-80,-100,-100,-75,-100,-100,-100,-100,-77,-77,-67,-77,-84,-100,-100,-52,-100,-100,-85,-100,-100,-52,-100,-100,-81,-82,-80,-100,-100,-76,-84,-100,-100,-84,-100,-100,-100,-100,-100,-85,-83,-86,-70,-82,-100,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-85,-84,-85,-83,-85,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-72,-72,-100,-100,-60,-85,-100,-100,-100,-100,-100,-72,-72,-100,-72,-100,-100,-67,-72,-100,-100,-100,-100,-100,-86,-86,-86,-56,-100,-100,-100,-81,-63,-69,-69,-69,-69,-69,-82,-83,-50,-50,-57,-63,-63,-80,-80,-56,-56,-78,-78,-100,-67,-77,-67,-76,-79,-100,-82,-100,-84,-100,-100,-75,-82,-100,-77,-68,-69,-83,-51,-80,-77,-57,-87,-83,-100,-75,-80,-100,-100,-75,-75,-56,-57,-57,-69,-80,-52,-69,-77,-77,-80,-79,-100,-100,-75,-100,-100,-100,-100,-77,-77,-67,-77,-85,-100,-100,-52,-100,-100,-82,-89,-100,-52,-100,-69,-81,-82,-80,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-83,-86,-100,-81,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-85,-86,-88,-100,-100,-100,-100,-100,-100,-86,-84,-85,-100,-85,-100,-82,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-72,-72,-100,-100,-57,-85,-100,-100,-100,-100,-100,-69,-69,-100,-72,-100,-100,-65,-69,-100,-100,-100,-100,-84,-82,-86,-86,-58,-100,-100,-100,-81,-100,-65,-64,-70,-70,-70,-100,-100,-61,-61,-60,-67,-67,-82,-81,-58,-58,-73,-74,-82,-65,-73,-65,-75,-84,-100,-86,-100,-87,-100,-100,-72,-82,-100,-75,-64,-70,-100,-61,-80,-74,-61,-100,-87,-89,-72,-80,-100,-100,-74,-74,-76,-61,-61,-68,-80,-49,-68,-100,-100,-79,-79,-100,-100,-74,-100,-100,-73,-100,-75,-75,-80,-75,-81,-82,-73,-49,-100,-100,-82,-89,-100,-52,-100,-68,-100,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-67,-81,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-85,-87,-88,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-85,-100,-82,-100,-86,-84,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-71,-72,-100,-100,-57,-85,-100,-100,-100,-100,-100,-65,-70,-100,-100,-100,-100,-65,-69,-100,-100,-100,-79,-81,-68,-84,-83,-57,-100,-100,-100,-100,-100,-64,-64,-69,-69,-69,-100,-100,-60,-60,-46,-67,-67,-82,-82,-57,-57,-75,-75,-82,-65,-75,-65,-76,-84,-100,-86,-100,-87,-100,-100,-72,-80,-100,-77,-63,-69,-100,-60,-81,-75,-61,-100,-87,-89,-72,-78,-100,-100,-73,-73,-75,-61,-61,-68,-83,-49,-68,-100,-100,-78,-78,-100,-100,-73,-100,-100,-73,-100,-76,-77,-76,-76,-81,-81,-73,-49,-100,-100,-84,-100,-83,-49,-100,-68,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-85,-100,-84,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-72,-72,-100,-100,-59,-85,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-65,-68,-79,-78,-100,-79,-83,-82,-84,-86,-57,-100,-100,-100,-100,-100,-65,-65,-70,-70,-69,-86,-85,-60,-60,-61,-67,-67,-82,-81,-57,-57,-75,-75,-82,-65,-75,-65,-76,-83,-100,-84,-100,-85,-100,-100,-72,-79,-100,-77,-65,-69,-85,-60,-81,-75,-61,-100,-85,-89,-72,-79,-100,-100,-73,-73,-75,-61,-61,-68,-83,-49,-68,-100,-100,-79,-79,-100,-100,-73,-81,-100,-73,-100,-76,-76,-81,-76,-81,-81,-73,-49,-100,-100,-84,-100,-83,-49,-100,-68,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-85,-100,-84,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-72,-72,-100,-100,-58,-85,-100,-100,-100,-100,-100,-69,-69,-100,-72,-100,-100,-65,-69,-79,-78,-100,-79,-83,-80,-84,-85,-58,-100,-100,-100,-100,-100,-64,-63,-69,-69,-70,-86,-85,-61,-62,-60,-100,-100,-82,-81,-58,-58,-75,-75,-82,-65,-76,-65,-75,-83,-100,-84,-100,-85,-100,-100,-71,-79,-100,-75,-64,-70,-85,-62,-82,-76,-62,-100,-85,-100,-71,-80,-100,-86,-74,-74,-74,-62,-61,-69,-85,-45,-69,-100,-100,-80,-80,-100,-100,-73,-81,-100,-100,-100,-75,-74,-82,-75,-81,-81,-100,-49,-100,-100,-84,-100,-83,-49,-73,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-70,-100,-100,-100,-86,-100,-100,-100,-100,-100,-84,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-87,-100,-100,-100,-100,-100,-100,-86,-86,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
