80:8d:b7:55:39:c0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:19:d7:72,38:17:c3:19:d7:71,00:4e:35:df:06:50,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:52,80:8d:b7:55:25:f3,80:8d:b7:55:3a:51,60:32:b1:3e:1a:b7,20:a6:cd:50:24:b2,38:17:c3:19:55:52,20:a6:cd:50:24:b1,38:17:c3:19:55:51,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:61,00:4e:35:df:06:41,20:a6:cd:50:24:a2,ac:e2:d3:c4:08:e6,00:4e:35:df:06:40,80:8d:b7:55:25:e3,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,38:17:c3:1f:09:93,00:4e:35:de:e1:11,b4:5d:50:e1:92:30,38:17:c3:1f:09:91,38:17:c3:1f:09:92,68:ff:7b:e4:af:39,a8:bd:27:4c:bd:31,38:17:c3:19:71:91,a8:bd:27:4c:bd:32,38:17:c3:1f:09:83,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,80:8d:b7:55:35:00,38:17:c3:19:d7:70,00:4e:35:df:06:52,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,44:48:c1:a5:82:20,80:8d:b7:55:3a:40,38:17:c3:19:55:50,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,00:4e:35:df:06:42,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,38:17:c3:19:71:90,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:21,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,00:4e:35:df:06:51,38:17:c3:19:d7:62,72:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,00:4e:35:de:e1:10,72:32:b1:3e:1a:b8,38:17:c3:19:55:42,38:17:c3:19:55:41,20:a6:cd:42:0b:e3,38:17:c3:1f:01:80,20:a6:cd:50:24:b0,38:17:c3:19:55:40,68:ff:7b:e4:af:38,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:19:45:b0,38:17:c3:1e:ff:00,b4:5d:50:e1:96:50,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,38:17:c3:19:71:92,80:8d:b7:55:25:e0,80:8d:b7:55:3a:42,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:50:24:a0,38:17:c3:1f:08:50,20:a6:cd:42:0b:f0,38:17:c3:19:45:a2,38:17:c3:19:45:a1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:19:45:a0,00:4e:35:de:e1:01,00:4e:35:de:e1:02,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:22,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:00:b0,00:4e:35:de:e1:00,44:48:c1:91:95:b2,20:a6:cd:42:0b:e2,44:48:c1:91:95:b3,38:17:c3:1f:22:22,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:df:0e:12,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:de:d7:43,38:17:c3:1f:22:21,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,00:4e:35:df:0e:10,a8:bd:27:4c:bd:20,38:17:c3:19:36:30,00:4e:35:df:0e:02,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:36:20,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:de:d7:40,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1f:22:20,00:4e:35:df:0e:01,00:4e:35:df:0e:00,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:27:12,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:de:d7:41,da:3b:bf:91:24:81,x,y,label
-58,-56,-70,-70,-72,-71,-72,-54,-54,-100,-100,-23,-61,-69,-69,-100,-100,-75,-79,-80,-70,-100,-100,-58,-58,-75,-75,-50,-50,-66,-75,-66,-81,-100,-74,-100,-75,-100,-100,-82,-72,-100,-78,-67,-73,-100,-84,-77,-77,-100,-75,-77,-100,-100,-81,-81,-100,-80,-100,-71,-72,-54,-100,-100,-100,-80,-70,-50,-75,-66,-55,-65,-75,-86,-80,-72,-75,-77,-100,-84,-100,-78,-84,-77,-71,-100,-100,-100,-88,-80,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-71,-72,-55,-55,-68,-100,-72,-68,-100,-100,-84,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-84,-84,-100,-79,-100,-76,-76,-100,-83,-100,-100,-100,-100,-84,-84,-100,-100,-100,-86,-86,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-58,-57,-70,-70,-71,-70,-71,-52,-52,-86,-87,-23,-64,-69,-69,-100,-100,-72,-79,-78,-69,-100,-100,-59,-58,-75,-75,-55,-55,-66,-75,-66,-82,-100,-73,-100,-73,-100,-100,-82,-72,-100,-78,-71,-73,-100,-83,-76,-76,-100,-79,-77,-100,-100,-81,-80,-84,-80,-100,-71,-71,-52,-87,-69,-74,-79,-69,-55,-75,-66,-55,-67,-73,-86,-79,-71,-79,-76,-100,-84,-80,-100,-84,-77,-69,-100,-100,-100,-88,-82,-78,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-71,-72,-55,-55,-67,-85,-72,-67,-100,-100,-82,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-86,-100,-88,-100,-84,-84,-86,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-60,-57,-70,-70,-71,-71,-72,-55,-55,-86,-87,-23,-60,-69,-69,-74,-74,-72,-79,-78,-69,-100,-100,-59,-60,-75,-75,-57,-57,-65,-75,-65,-82,-100,-74,-100,-74,-100,-100,-79,-72,-100,-81,-71,-70,-100,-80,-77,-77,-100,-79,-77,-100,-100,-81,-79,-84,-78,-100,-71,-71,-55,-87,-69,-74,-79,-69,-57,-75,-65,-56,-66,-74,-86,-79,-71,-79,-77,-100,-84,-80,-100,-84,-81,-68,-79,-83,-100,-88,-79,-78,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-74,-73,-56,-56,-65,-85,-74,-65,-100,-100,-83,-82,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-76,-77,-100,-80,-86,-100,-88,-100,-100,-84,-86,-100,-100,-100,-100,-100,-100,-77,-76,-86,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-63,-59,-68,-68,-72,-72,-72,-55,-55,-86,-87,-23,-59,-69,-69,-73,-73,-71,-79,-78,-68,-100,-100,-63,-62,-77,-77,-51,-51,-66,-77,-66,-83,-100,-74,-100,-74,-100,-100,-78,-71,-100,-81,-71,-70,-100,-82,-77,-77,-100,-76,-77,-100,-100,-81,-79,-86,-80,-100,-68,-72,-55,-87,-69,-73,-79,-69,-51,-77,-65,-53,-66,-74,-100,-79,-71,-76,-78,-100,-85,-80,-79,-84,-79,-68,-79,-83,-100,-100,-79,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-53,-53,-65,-85,-74,-66,-100,-100,-82,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-81,-79,-100,-100,-100,-77,-78,-100,-80,-86,-100,-88,-100,-84,-84,-86,-100,-100,-100,-100,-100,-100,-77,-78,-87,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-55,-66,-68,-68,-70,-70,-70,-60,-60,-86,-87,-24,-67,-100,-100,-66,-67,-71,-81,-81,-69,-100,-100,-54,-55,-75,-76,-58,-58,-63,-77,-64,-76,-100,-70,-100,-70,-100,-86,-79,-65,-100,-80,-71,-72,-100,-86,-74,-74,-100,-74,-74,-100,-100,-100,-79,-86,-78,-100,-70,-69,-58,-87,-100,-73,-81,-69,-58,-76,-64,-56,-66,-70,-85,-79,-65,-73,-74,-100,-85,-80,-79,-85,-76,-68,-78,-83,-100,-100,-79,-74,-84,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-72,-73,-57,-51,-64,-85,-74,-64,-100,-100,-86,-86,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-75,-76,-100,-100,-81,-81,-81,-100,-76,-82,-100,-83,-100,-84,-84,-87,-83,-83,-100,-100,-100,-81,-84,-83,-85,-100,-100,-100,-100,-82,-86,-86,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-58,-49,-68,-68,-67,-68,-67,-58,-58,-100,-100,-24,-65,-69,-70,-68,-67,-67,-79,-79,-69,-100,-100,-57,-57,-75,-76,-56,-56,-61,-77,-61,-77,-84,-73,-84,-70,-100,-86,-79,-65,-100,-82,-68,-74,-100,-87,-74,-74,-100,-73,-74,-100,-100,-100,-79,-83,-79,-100,-68,-68,-58,-100,-70,-68,-79,-68,-56,-76,-61,-56,-63,-70,-85,-79,-68,-73,-74,-100,-83,-79,-81,-84,-81,-68,-78,-77,-100,-100,-54,-73,-100,-100,-100,-100,-100,-84,-100,-81,-100,-100,-100,-100,-100,-74,-74,-57,-53,-64,-83,-74,-63,-100,-100,-84,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-75,-76,-100,-80,-81,-80,-79,-100,-78,-82,-100,-83,-100,-85,-85,-84,-83,-83,-100,-100,-100,-81,-80,-80,-85,-100,-100,-100,-100,-100,-85,-86,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-57,-67,-70,-70,-69,-68,-69,-56,-56,-100,-100,-24,-65,-69,-70,-68,-68,-71,-79,-80,-69,-100,-100,-56,-57,-76,-76,-55,-56,-60,-77,-60,-77,-84,-71,-84,-70,-100,-86,-79,-65,-100,-79,-60,-74,-100,-78,-74,-74,-100,-72,-74,-100,-100,-100,-79,-83,-79,-88,-70,-69,-56,-100,-74,-68,-81,-69,-56,-76,-61,-56,-65,-70,-85,-79,-65,-72,-74,-100,-83,-79,-80,-84,-75,-69,-79,-76,-100,-100,-81,-73,-100,-100,-100,-100,-100,-84,-100,-81,-100,-100,-100,-100,-100,-74,-74,-53,-53,-64,-83,-74,-65,-100,-100,-84,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-75,-76,-100,-80,-81,-80,-80,-100,-78,-82,-100,-83,-100,-85,-85,-87,-83,-83,-100,-100,-100,-81,-81,-80,-85,-100,-100,-100,-100,-100,-87,-87,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-55,-66,-70,-68,-68,-68,-69,-58,-58,-87,-86,-25,-65,-72,-72,-68,-68,-70,-78,-79,-70,-100,-100,-56,-56,-75,-75,-59,-59,-62,-75,-62,-76,-84,-70,-84,-70,-100,-100,-100,-66,-100,-80,-66,-73,-100,-80,-73,-74,-100,-73,-74,-100,-100,-100,-79,-82,-79,-88,-70,-68,-58,-86,-72,-68,-79,-68,-59,-75,-62,-100,-65,-70,-100,-100,-66,-73,-73,-100,-82,-79,-80,-84,-76,-69,-79,-76,-100,-100,-81,-73,-80,-100,-78,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-72,-72,-53,-54,-67,-84,-72,-66,-100,-100,-84,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-76,-75,-100,-80,-100,-80,-80,-100,-78,-83,-100,-84,-100,-85,-85,-84,-83,-83,-100,-100,-100,-100,-81,-80,-84,-100,-100,-100,-100,-100,-87,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-55,-66,-72,-72,-69,-69,-69,-58,-58,-87,-86,-24,-69,-72,-72,-100,-68,-69,-78,-79,-69,-100,-100,-54,-54,-75,-75,-56,-56,-62,-75,-62,-75,-100,-71,-100,-70,-100,-100,-100,-66,-100,-80,-66,-65,-100,-79,-75,-75,-100,-74,-75,-100,-100,-100,-79,-83,-79,-100,-72,-68,-58,-86,-72,-100,-79,-69,-57,-76,-62,-50,-65,-72,-100,-100,-66,-74,-75,-100,-84,-79,-100,-84,-75,-69,-100,-76,-100,-100,-78,-74,-80,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-50,-50,-64,-84,-72,-64,-100,-100,-84,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-76,-75,-100,-100,-100,-80,-79,-100,-100,-83,-100,-84,-100,-100,-86,-84,-83,-83,-100,-100,-100,-100,-80,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-57,-66,-68,-68,-69,-68,-69,-60,-60,-87,-86,-25,-67,-72,-72,-68,-68,-71,-81,-80,-67,-100,-100,-56,-57,-76,-76,-58,-58,-62,-76,-62,-76,-100,-69,-100,-70,-100,-100,-100,-65,-100,-80,-66,-74,-100,-79,-75,-75,-100,-73,-75,-100,-100,-100,-79,-83,-79,-100,-68,-68,-58,-86,-72,-68,-79,-68,-58,-76,-62,-50,-65,-69,-100,-100,-66,-73,-75,-100,-84,-79,-100,-84,-75,-67,-100,-77,-100,-100,-78,-73,-80,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-72,-72,-50,-56,-64,-84,-73,-66,-100,-88,-84,-85,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-81,-81,-100,-74,-83,-100,-84,-100,-100,-86,-85,-83,-83,-100,-100,-100,-100,-81,-81,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-56,-61,-68,-68,-70,-70,-69,-57,-57,-100,-100,-24,-63,-100,-100,-68,-68,-66,-83,-83,-67,-100,-100,-56,-56,-71,-71,-60,-60,-62,-71,-62,-79,-100,-73,-100,-73,-100,-86,-100,-68,-85,-80,-100,-71,-100,-79,-76,-76,-100,-73,-76,-100,-100,-78,-77,-82,-77,-100,-68,-70,-55,-100,-100,-68,-81,-68,-60,-71,-62,-50,-64,-74,-86,-77,-68,-76,-75,-100,-82,-77,-77,-80,-75,-67,-100,-77,-100,-87,-81,-76,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-87,-100,-89,-100,-100,-60,-61,-64,-81,-73,-65,-78,-88,-81,-80,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-77,-77,-100,-77,-100,-82,-82,-100,-77,-100,-100,-100,-100,-100,-86,-84,-100,-83,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-80,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-56,-62,-100,-100,-69,-69,-69,-57,-57,-100,-100,-24,-46,-100,-100,-68,-69,-64,-82,-83,-67,-100,-100,-56,-56,-71,-71,-60,-60,-61,-71,-62,-79,-100,-75,-100,-75,-100,-86,-100,-68,-85,-80,-68,-69,-100,-79,-76,-75,-100,-78,-76,-100,-100,-80,-77,-82,-77,-100,-100,-69,-56,-100,-100,-72,-83,-68,-60,-70,-62,-100,-64,-75,-87,-78,-68,-75,-75,-100,-82,-77,-77,-81,-78,-68,-100,-100,-100,-87,-81,-75,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-87,-100,-100,-100,-100,-60,-61,-100,-81,-100,-65,-77,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-100,-77,-100,-82,-82,-100,-77,-85,-100,-86,-100,-100,-100,-84,-100,-86,-100,-100,-100,-82,-82,-81,-81,-100,-100,-100,-100,-80,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-58,-62,-71,-71,-71,-70,-71,-55,-55,-100,-100,-24,-60,-100,-100,-68,-68,-65,-80,-81,-68,-100,-100,-57,-58,-72,-72,-59,-59,-62,-72,-62,-79,-100,-74,-100,-75,-100,-86,-100,-68,-85,-80,-68,-69,-100,-79,-76,-76,-100,-74,-76,-100,-100,-80,-78,-82,-78,-100,-71,-70,-55,-100,-100,-68,-80,-67,-59,-72,-63,-63,-64,-75,-87,-78,-68,-73,-76,-100,-82,-77,-77,-81,-80,-68,-100,-79,-100,-87,-82,-73,-78,-74,-74,-100,-100,-100,-74,-77,-100,-100,-89,-100,-100,-100,-100,-62,-62,-64,-81,-100,-65,-77,-100,-81,-81,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-77,-75,-100,-77,-100,-82,-82,-100,-77,-85,-100,-86,-100,-84,-83,-84,-100,-86,-100,-100,-100,-82,-83,-83,-81,-100,-100,-100,-100,-80,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-58,-63,-75,-75,-69,-69,-69,-56,-55,-100,-100,-25,-62,-100,-75,-70,-69,-77,-81,-81,-66,-100,-100,-56,-58,-71,-71,-60,-60,-62,-72,-62,-79,-100,-74,-100,-75,-100,-100,-100,-67,-100,-80,-69,-69,-100,-79,-76,-77,-100,-72,-77,-100,-100,-80,-78,-81,-78,-100,-75,-69,-56,-100,-75,-69,-81,-66,-60,-72,-62,-63,-64,-75,-86,-78,-68,-72,-76,-100,-81,-100,-100,-82,-81,-66,-100,-79,-100,-100,-82,-72,-78,-74,-74,-100,-100,-100,-74,-77,-100,-100,-89,-100,-100,-70,-70,-62,-62,-64,-82,-100,-64,-77,-100,-82,-81,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-85,-84,-100,-100,-85,-100,-86,-100,-84,-83,-100,-100,-86,-100,-100,-100,-82,-85,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-55,-62,-73,-73,-71,-71,-71,-56,-56,-100,-100,-24,-64,-100,-75,-70,-69,-69,-82,-82,-66,-100,-100,-55,-55,-71,-71,-58,-57,-62,-71,-62,-79,-100,-74,-100,-73,-100,-100,-78,-67,-100,-81,-69,-70,-83,-78,-76,-76,-100,-73,-76,-100,-100,-100,-78,-81,-78,-100,-73,-71,-55,-100,-75,-69,-83,-66,-57,-71,-62,-57,-100,-74,-87,-78,-68,-73,-76,-100,-81,-100,-100,-82,-77,-66,-78,-79,-100,-88,-80,-73,-100,-74,-74,-100,-100,-100,-100,-78,-100,-100,-89,-100,-100,-70,-70,-62,-100,-64,-81,-100,-64,-100,-100,-80,-81,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-74,-100,-79,-100,-82,-83,-100,-100,-100,-100,-100,-100,-84,-82,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-79,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-54,-61,-74,-73,-71,-71,-71,-56,-56,-100,-100,-25,-64,-100,-75,-69,-68,-65,-80,-82,-68,-100,-100,-55,-54,-71,-71,-61,-61,-61,-71,-62,-76,-100,-74,-100,-73,-100,-100,-78,-68,-100,-81,-69,-70,-83,-77,-76,-76,-100,-73,-76,-100,-100,-100,-77,-81,-78,-100,-74,-71,-56,-100,-75,-70,-83,-68,-61,-72,-62,-57,-100,-74,-87,-78,-68,-73,-76,-100,-81,-100,-100,-81,-74,-68,-78,-79,-100,-88,-84,-73,-82,-74,-73,-100,-100,-100,-75,-78,-100,-100,-89,-100,-100,-70,-70,-61,-62,-64,-81,-100,-63,-100,-100,-80,-81,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-74,-100,-79,-100,-82,-82,-100,-100,-100,-100,-100,-100,-84,-84,-86,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-79,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-61,-61,-74,-67,-70,-70,-70,-57,-57,-100,-100,-24,-62,-100,-100,-69,-68,-65,-83,-84,-66,-100,-100,-61,-61,-73,-73,-62,-62,-58,-73,-58,-76,-86,-68,-86,-68,-100,-100,-78,-68,-100,-85,-100,-73,-83,-77,-81,-80,-100,-74,-81,-100,-100,-100,-78,-83,-79,-100,-67,-70,-57,-100,-100,-70,-85,-66,-62,-73,-59,-57,-57,-68,-87,-78,-70,-73,-80,-100,-82,-78,-100,-80,-76,-66,-78,-79,-100,-88,-80,-74,-82,-100,-73,-100,-100,-87,-75,-78,-100,-100,-89,-100,-100,-72,-72,-61,-63,-58,-83,-72,-57,-100,-100,-80,-80,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-76,-76,-100,-81,-100,-80,-81,-100,-100,-87,-100,-100,-100,-84,-84,-84,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-83,-79,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
