44:48:c1:a5:82:30,b0:be:76:f8:30:5e,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,ac:e2:d3:c4:08:e6,00:4e:35:df:06:41,20:a6:cd:50:24:a1,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:32,00:4e:35:de:e1:10,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:31,00:4e:35:de:e1:11,38:17:c3:19:45:a2,38:17:c3:19:45:a1,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,38:17:c3:19:55:41,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:1e:ff:10,00:4e:35:df:06:42,b4:5d:50:e1:92:31,00:4e:35:de:e1:12,a8:bd:27:4c:bd:30,38:17:c3:19:45:a0,38:17:c3:1f:09:90,38:17:c3:19:55:40,80:8d:b7:55:35:01,80:8d:b7:55:35:03,60:32:b1:3e:1a:b7,44:48:c1:a5:82:21,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:19:d7:62,38:17:c3:19:d7:61,68:ff:7b:e4:af:38,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:19:45:b0,20:a6:cd:50:24:b0,38:17:c3:19:d7:60,66:2a:2f:53:7c:99,80:8d:b7:55:39:c1,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,00:4e:35:df:06:40,38:17:c3:1e:ff:01,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,80:8d:b7:55:35:02,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:42,20:a6:cd:50:24:a2,b4:5d:50:e1:92:22,38:17:c3:1f:09:83,68:ff:7b:e4:af:39,80:8d:b7:55:35:00,80:8d:b7:55:25:e0,b4:5d:50:e1:96:50,38:17:c3:1f:01:81,b4:5d:50:e1:92:23,38:17:c3:1e:ff:02,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,b4:5d:50:e1:96:43,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,38:17:c3:1f:22:30,38:17:c3:19:71:90,00:4e:35:de:e1:02,20:a6:cd:42:0b:f0,20:a6:cd:50:24:a0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:1f:22:22,00:4e:35:de:e1:01,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,72:32:b1:3e:1a:b8,38:17:c3:19:71:91,80:8d:b7:55:29:d0,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:19:71:92,38:17:c3:1f:08:52,00:4e:35:de:e1:00,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:09:91,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:09:92,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:df:0e:12,44:48:c1:91:95:b3,38:17:c3:1f:08:42,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:df:0e:11,a8:bd:27:4c:bd:22,38:17:c3:19:71:82,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:42,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:df:0e:10,00:4e:35:de:d7:41,38:17:c3:19:36:30,44:48:c1:91:95:b1,38:17:c3:19:36:31,00:4e:35:df:0e:02,38:17:c3:19:36:32,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:36:22,00:4e:35:df:0e:01,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a2,32:f7:72:50:57:3b,38:17:c3:24:58:a0,00:4e:35:df:27:02,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,00:4e:35:df:27:12,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:11,00:4e:35:df:27:10,x,y,label
-45,-62,-68,-67,-70,-71,-70,-54,-54,-83,-83,-58,-100,-100,-45,-45,-81,-81,-77,-77,-77,-57,-100,-75,-100,-67,-67,-72,-72,-74,-74,-100,-100,-84,-72,-100,-81,-75,-75,-78,-76,-82,-78,-100,-100,-85,-100,-78,-69,-70,-54,-84,-67,-82,-77,-71,-67,-74,-86,-71,-75,-78,-82,-100,-100,-77,-72,-68,-80,-49,-88,-100,-82,-82,-77,-79,-100,-100,-100,-100,-88,-83,-100,-85,-57,-49,-80,-71,-84,-56,-49,-84,-73,-81,-79,-66,-100,-83,-100,-100,-72,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-78,-100,-100,-100,-100,-100,-82,-100,-78,-100,-100,-84,-100,-100,-85,-83,-100,-85,-78,-100,-100,-100,-100,-100,-100,-79,-85,-85,-88,-100,-100,-100,-100,-100,-100,-87,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-47,-61,-100,-100,-70,-70,-70,-53,-53,-83,-85,-61,-70,-70,-47,-45,-82,-80,-79,-79,-78,-59,-100,-75,-67,-67,-67,-69,-69,-75,-75,-100,-100,-81,-71,-100,-81,-76,-76,-79,-76,-82,-79,-100,-100,-82,-100,-78,-100,-70,-54,-85,-100,-81,-78,-69,-67,-75,-87,-71,-76,-80,-82,-100,-100,-78,-71,-78,-80,-51,-100,-100,-82,-82,-80,-80,-89,-100,-100,-100,-89,-82,-81,-86,-58,-50,-80,-72,-100,-58,-51,-100,-71,-77,-77,-66,-100,-81,-100,-78,-71,-80,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-67,-87,-87,-100,-100,-100,-100,-100,-84,-82,-85,-100,-100,-100,-100,-100,-100,-83,-83,-100,-83,-100,-82,-83,-100,-85,-84,-100,-78,-85,-85,-100,-87,-100,-100,-86,-100,-100,-85,-87,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-53,-61,-71,-100,-71,-71,-71,-49,-49,-85,-84,-62,-70,-70,-53,-53,-85,-84,-73,-73,-73,-60,-84,-76,-67,-67,-67,-70,-68,-74,-74,-86,-100,-82,-72,-86,-79,-80,-79,-76,-79,-80,-76,-100,-100,-77,-100,-100,-100,-71,-49,-84,-70,-85,-73,-70,-67,-75,-87,-71,-80,-76,-80,-100,-100,-78,-71,-69,-80,-50,-100,-100,-83,-83,-79,-80,-83,-100,-100,-100,-88,-83,-81,-83,-60,-50,-84,-71,-100,-59,-50,-100,-71,-71,-71,-67,-100,-84,-100,-100,-71,-71,-100,-83,-83,-100,-87,-100,-100,-100,-100,-83,-67,-86,-87,-78,-100,-82,-100,-100,-82,-81,-85,-77,-100,-100,-100,-100,-100,-86,-84,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-87,-100,-100,-86,-100,-100,-82,-82,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-53,-61,-70,-70,-71,-71,-72,-49,-49,-100,-100,-59,-70,-70,-53,-53,-85,-85,-73,-73,-73,-60,-84,-84,-67,-65,-65,-68,-68,-75,-75,-100,-100,-83,-71,-86,-79,-81,-81,-76,-81,-80,-76,-100,-100,-79,-100,-100,-70,-71,-49,-88,-70,-86,-73,-68,-65,-75,-100,-71,-81,-76,-80,-100,-100,-100,-100,-70,-86,-50,-100,-100,-81,-81,-79,-100,-83,-100,-100,-100,-89,-80,-100,-84,-60,-50,-84,-71,-100,-59,-50,-100,-71,-71,-70,-67,-100,-100,-100,-80,-100,-71,-100,-83,-84,-100,-87,-100,-100,-100,-100,-83,-67,-85,-87,-78,-100,-82,-100,-100,-82,-81,-85,-78,-100,-100,-100,-100,-100,-85,-84,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-82,-83,-83,-83,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-53,-61,-70,-69,-71,-71,-72,-49,-49,-100,-100,-59,-70,-70,-53,-52,-84,-85,-73,-73,-74,-60,-84,-84,-67,-65,-65,-68,-68,-75,-75,-100,-100,-83,-71,-86,-80,-82,-81,-76,-82,-79,-76,-100,-100,-77,-100,-100,-70,-71,-49,-88,-70,-86,-73,-68,-65,-75,-100,-71,-82,-75,-80,-100,-100,-100,-100,-69,-86,-51,-100,-100,-81,-81,-79,-100,-83,-100,-100,-100,-89,-80,-100,-84,-60,-50,-84,-71,-100,-59,-50,-100,-71,-71,-70,-67,-100,-100,-100,-80,-100,-71,-100,-83,-84,-100,-87,-100,-100,-100,-100,-83,-67,-87,-87,-78,-100,-82,-100,-100,-82,-81,-85,-78,-100,-100,-79,-100,-100,-84,-84,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-89,-100,-100,-100,-100,-82,-83,-81,-82,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-53,-60,-70,-69,-70,-71,-70,-49,-49,-100,-100,-61,-70,-70,-53,-53,-86,-85,-73,-73,-73,-61,-100,-73,-67,-65,-65,-70,-70,-75,-75,-100,-100,-82,-70,-100,-80,-81,-80,-76,-81,-80,-76,-100,-100,-78,-100,-100,-70,-70,-49,-88,-70,-84,-73,-70,-65,-76,-100,-71,-80,-75,-80,-100,-100,-100,-71,-69,-86,-51,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-89,-80,-100,-83,-60,-51,-84,-100,-100,-59,-51,-100,-71,-71,-70,-100,-100,-100,-100,-80,-100,-71,-100,-100,-84,-100,-86,-87,-100,-100,-100,-100,-100,-86,-100,-78,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-78,-100,-100,-85,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-84,-82,-89,-100,-100,-100,-100,-82,-83,-83,-83,-100,-100,-85,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-53,-61,-70,-69,-70,-70,-70,-49,-49,-100,-100,-56,-100,-100,-53,-53,-84,-86,-73,-74,-73,-61,-100,-73,-67,-65,-65,-71,-71,-75,-75,-100,-100,-80,-71,-100,-80,-81,-81,-76,-82,-80,-76,-100,-100,-82,-100,-100,-70,-70,-49,-87,-71,-86,-74,-71,-65,-76,-100,-71,-82,-75,-80,-100,-100,-100,-70,-71,-100,-51,-100,-100,-80,-80,-100,-100,-83,-100,-100,-100,-90,-80,-100,-81,-60,-51,-84,-71,-100,-61,-51,-100,-72,-100,-100,-100,-82,-83,-100,-100,-72,-100,-100,-100,-82,-100,-86,-87,-100,-100,-100,-100,-100,-86,-100,-78,-100,-100,-100,-100,-83,-84,-100,-78,-100,-100,-79,-100,-100,-85,-86,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-89,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-85,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-52,-56,-69,-100,-71,-71,-71,-49,-49,-100,-100,-85,-100,-100,-54,-53,-85,-85,-73,-74,-73,-61,-100,-75,-67,-65,-65,-71,-71,-75,-75,-100,-100,-84,-71,-100,-79,-81,-81,-76,-82,-80,-76,-100,-100,-82,-100,-100,-100,-71,-49,-87,-71,-85,-74,-71,-65,-75,-100,-70,-82,-76,-79,-100,-100,-100,-70,-71,-100,-51,-100,-100,-80,-80,-100,-100,-83,-100,-100,-100,-90,-80,-100,-81,-61,-51,-85,-71,-100,-60,-51,-100,-72,-100,-100,-66,-82,-83,-100,-100,-72,-72,-100,-100,-82,-100,-87,-87,-100,-100,-100,-100,-67,-87,-100,-78,-100,-100,-100,-100,-83,-84,-100,-78,-100,-100,-79,-100,-100,-83,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-88,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-85,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-51,-56,-68,-100,-70,-71,-71,-56,-57,-100,-100,-85,-100,-100,-51,-51,-82,-82,-76,-76,-76,-61,-100,-75,-67,-63,-63,-71,-71,-70,-70,-100,-100,-83,-71,-100,-77,-77,-77,-75,-77,-78,-74,-100,-100,-84,-100,-100,-100,-71,-56,-87,-71,-83,-76,-71,-63,-70,-88,-70,-77,-74,-78,-100,-100,-100,-70,-68,-100,-51,-100,-100,-80,-80,-81,-100,-83,-100,-100,-100,-90,-80,-100,-81,-61,-58,-83,-71,-100,-60,-58,-100,-70,-100,-100,-66,-82,-83,-100,-76,-72,-72,-100,-100,-81,-100,-85,-85,-100,-100,-100,-100,-67,-86,-100,-78,-100,-100,-100,-100,-83,-84,-100,-78,-100,-100,-79,-84,-100,-83,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-88,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-50,-64,-69,-69,-72,-72,-72,-57,-57,-86,-85,-66,-74,-74,-50,-50,-84,-84,-76,-76,-77,-56,-100,-73,-63,-65,-65,-71,-71,-73,-70,-100,-100,-82,-67,-100,-77,-76,-76,-74,-76,-77,-74,-100,-100,-84,-100,-100,-69,-72,-58,-88,-100,-84,-76,-71,-65,-70,-88,-67,-76,-74,-78,-100,-100,-100,-70,-72,-82,-54,-100,-100,-84,-84,-81,-100,-83,-100,-100,-100,-88,-83,-100,-81,-56,-58,-83,-100,-100,-56,-54,-100,-70,-100,-100,-63,-100,-100,-100,-76,-100,-100,-100,-100,-82,-100,-85,-85,-100,-100,-100,-100,-63,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-84,-100,-100,-84,-85,-100,-76,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-50,-61,-69,-69,-71,-71,-71,-58,-58,-86,-85,-66,-74,-74,-50,-50,-84,-83,-76,-76,-76,-57,-100,-73,-63,-63,-63,-71,-71,-72,-72,-100,-100,-82,-67,-100,-78,-76,-76,-73,-76,-78,-73,-100,-100,-84,-100,-100,-69,-71,-58,-88,-73,-82,-76,-71,-63,-72,-88,-68,-76,-73,-78,-100,-100,-100,-69,-67,-82,-54,-100,-100,-84,-84,-81,-81,-83,-100,-100,-100,-88,-83,-100,-82,-56,-53,-83,-100,-100,-56,-54,-100,-69,-100,-100,-66,-100,-100,-100,-76,-69,-100,-100,-100,-82,-100,-85,-85,-100,-100,-100,-100,-63,-86,-100,-76,-100,-100,-100,-100,-100,-82,-100,-76,-100,-100,-83,-84,-100,-84,-84,-85,-83,-76,-100,-100,-100,-100,-100,-100,-75,-81,-82,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-53,-64,-68,-69,-70,-70,-70,-57,-57,-86,-86,-66,-74,-74,-53,-53,-84,-83,-76,-76,-76,-56,-100,-73,-63,-64,-64,-71,-72,-72,-72,-100,-100,-82,-67,-100,-78,-77,-76,-72,-76,-78,-72,-100,-100,-100,-100,-100,-68,-70,-57,-87,-73,-82,-76,-72,-64,-72,-100,-67,-77,-72,-78,-100,-100,-100,-70,-69,-82,-55,-100,-100,-84,-84,-82,-81,-83,-100,-100,-100,-88,-85,-80,-76,-55,-55,-100,-67,-100,-55,-55,-100,-70,-100,-100,-63,-100,-83,-100,-100,-70,-100,-100,-100,-81,-100,-84,-100,-100,-100,-100,-100,-63,-85,-85,-76,-100,-100,-100,-100,-83,-83,-100,-76,-100,-100,-83,-84,-100,-84,-84,-84,-83,-76,-100,-100,-100,-100,-100,-100,-75,-82,-81,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-52,-65,-69,-69,-71,-72,-71,-56,-56,-100,-86,-64,-75,-75,-52,-52,-82,-83,-76,-76,-76,-58,-100,-74,-64,-63,-63,-70,-72,-72,-72,-100,-100,-80,-68,-100,-78,-76,-76,-73,-76,-78,-73,-100,-100,-82,-100,-75,-68,-72,-56,-87,-75,-83,-76,-70,-63,-72,-100,-68,-76,-74,-78,-100,-100,-75,-70,-69,-82,-55,-100,-100,-84,-84,-82,-81,-83,-100,-100,-100,-90,-85,-80,-82,-57,-55,-100,-67,-100,-58,-55,-100,-70,-100,-77,-63,-100,-83,-100,-100,-70,-100,-100,-100,-81,-100,-85,-86,-100,-100,-100,-100,-63,-85,-85,-75,-100,-100,-100,-100,-83,-83,-83,-76,-100,-100,-83,-84,-100,-84,-84,-84,-84,-71,-100,-100,-100,-100,-100,-100,-75,-83,-83,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-87,-80,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-50,-65,-69,-69,-71,-71,-71,-56,-56,-100,-86,-65,-75,-75,-51,-51,-83,-83,-76,-76,-76,-58,-100,-73,-64,-64,-64,-71,-72,-71,-72,-100,-100,-80,-68,-100,-78,-77,-76,-73,-76,-78,-73,-100,-100,-84,-100,-75,-68,-72,-56,-87,-75,-83,-76,-71,-64,-100,-100,-68,-76,-73,-78,-100,-100,-75,-70,-73,-82,-56,-100,-100,-84,-84,-82,-81,-82,-100,-100,-100,-90,-85,-83,-80,-58,-56,-83,-68,-100,-58,-56,-100,-70,-100,-77,-63,-100,-81,-100,-100,-70,-100,-100,-100,-81,-100,-86,-85,-100,-100,-100,-100,-63,-84,-85,-75,-100,-100,-100,-100,-82,-81,-83,-77,-100,-100,-100,-85,-100,-84,-84,-84,-84,-71,-100,-100,-100,-100,-100,-100,-75,-82,-83,-87,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-87,-75,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-60,-58,-79,-78,-69,-69,-69,-55,-55,-100,-100,-57,-75,-75,-60,-59,-84,-85,-73,-73,-73,-56,-100,-73,-61,-64,-64,-69,-69,-70,-70,-100,-100,-82,-68,-100,-78,-79,-80,-69,-79,-78,-69,-100,-100,-84,-100,-75,-79,-69,-55,-100,-75,-85,-73,-68,-64,-70,-86,-63,-79,-68,-78,-100,-100,-78,-70,-72,-76,-56,-100,-100,-100,-100,-81,-80,-82,-100,-100,-100,-90,-100,-68,-71,-55,-56,-83,-68,-100,-57,-56,-100,-70,-100,-77,-63,-100,-81,-100,-100,-70,-100,-100,-100,-79,-100,-86,-85,-100,-100,-100,-100,-62,-84,-85,-75,-100,-100,-100,-100,-82,-81,-81,-78,-100,-100,-100,-85,-100,-86,-86,-84,-84,-79,-100,-100,-100,-83,-83,-100,-75,-80,-79,-87,-100,-100,-85,-100,-100,-100,-79,-79,-100,-100,-100,-100,-87,-86,-100,-84,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-58,-57,-75,-78,-71,-71,-71,-56,-56,-85,-85,-67,-100,-100,-58,-58,-84,-85,-73,-73,-73,-57,-100,-81,-61,-63,-64,-68,-67,-71,-71,-100,-100,-76,-66,-100,-77,-79,-79,-69,-79,-78,-69,-100,-100,-83,-100,-100,-79,-71,-56,-85,-100,-84,-73,-68,-64,-71,-88,-66,-79,-69,-100,-100,-100,-78,-74,-72,-78,-64,-88,-90,-83,-84,-80,-80,-83,-88,-100,-87,-88,-84,-80,-73,-57,-100,-100,-100,-100,-57,-63,-100,-74,-72,-73,-100,-100,-80,-100,-100,-74,-73,-88,-100,-82,-100,-83,-100,-100,-100,-100,-100,-62,-83,-83,-79,-100,-100,-100,-100,-80,-80,-81,-78,-100,-100,-100,-83,-100,-86,-86,-83,-100,-79,-100,-100,-100,-83,-83,-100,-100,-77,-77,-88,-100,-100,-86,-100,-100,-100,-77,-77,-100,-100,-100,-100,-88,-86,-100,-100,-86,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-58,-56,-77,-77,-71,-70,-71,-56,-56,-85,-86,-65,-77,-77,-59,-59,-85,-84,-73,-73,-73,-57,-100,-72,-59,-63,-64,-69,-69,-71,-71,-86,-100,-78,-66,-100,-78,-78,-78,-70,-78,-79,-70,-100,-100,-82,-100,-100,-79,-71,-56,-85,-77,-85,-73,-68,-64,-71,-87,-69,-78,-70,-79,-100,-100,-100,-74,-73,-75,-60,-88,-100,-85,-86,-79,-79,-83,-88,-88,-88,-89,-85,-79,-51,-57,-59,-77,-66,-100,-58,-60,-100,-74,-72,-72,-59,-100,-80,-100,-78,-74,-72,-89,-100,-79,-100,-83,-83,-100,-100,-100,-100,-60,-84,-82,-80,-100,-100,-100,-100,-79,-79,-81,-78,-100,-100,-85,-83,-100,-87,-86,-82,-100,-79,-100,-100,-100,-82,-100,-100,-100,-78,-78,-100,-84,-100,-84,-85,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
