60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,b4:5d:50:e1:96:53,38:17:c3:1f:14:12,38:17:c3:1f:14:11,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,44:48:c1:91:d0:12,44:48:c1:91:d0:10,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:d0:14,38:17:c3:1f:19:d2,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:19:d1,44:48:c1:91:d0:04,b4:5d:50:e1:96:43,38:17:c3:1f:09:92,38:17:c3:1f:09:83,38:17:c3:1f:09:93,a8:bd:27:4c:aa:91,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,38:17:c3:1f:09:81,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:83,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,44:48:c1:91:d0:11,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,38:17:c3:24:47:50,9c:d6:43:60:92:e0,38:17:c3:1f:09:80,a8:bd:27:4c:aa:90,44:48:c1:91:95:b2,38:17:c3:1f:09:91,a8:bd:27:4c:aa:82,38:17:c3:1f:09:90,38:17:c3:1f:09:82,38:17:c3:1f:1c:10,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c2,44:48:c1:91:aa:30,38:17:c3:1a:cf:d0,44:48:c1:91:d0:02,20:a6:cd:42:0a:c1,66:2a:2f:53:7c:99,b6:e6:2d:69:d5:58,38:17:c3:1a:cf:d1,44:48:c1:91:d0:00,b4:5d:50:e1:96:42,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:14:00,44:48:c1:91:d0:01,b4:5d:50:e1:96:40,38:17:c3:22:5e:f0,86:0d:8e:aa:25:a4,38:17:c3:1f:14:01,44:48:c1:91:95:a3,38:17:c3:19:45:a1,ac:e2:d3:c4:08:e6,44:48:c1:91:aa:22,80:8d:b7:55:25:e3,44:48:c1:91:95:a2,38:17:c3:19:36:30,20:a6:cd:42:13:f0,b4:5d:50:e1:96:41,44:48:c1:91:aa:21,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,a8:bd:27:4c:aa:80,44:48:c1:91:aa:20,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:19:45:a0,44:48:c1:91:95:a1,a8:bd:27:4c:aa:81,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,20:a6:cd:42:13:e0,38:17:c3:22:61:80,38:17:c3:1a:cf:d2,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,38:17:c3:1f:19:f1,44:48:c1:91:95:a0,38:17:c3:19:45:a2,20:a6:cd:42:0b:f0,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:36:31,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:35:10,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,b0:be:76:f8:30:5e,80:8d:b7:55:29:d0,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:01,80:8d:b7:55:35:00,68:ff:7b:e4:af:39,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:02,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,80:8d:b7:55:39:d0,20:a6:cd:50:24:a2,80:8d:b7:55:39:d1,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,68:ff:7b:e4:af:38,80:8d:b7:55:39:d2,80:8d:b7:55:3a:42,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:71:90,38:17:c3:19:71:82,20:a6:cd:50:24:a1,20:a6:cd:50:24:b0,20:a6:cd:50:24:a0,20:a6:cd:50:24:b1,38:17:c3:19:36:22,80:8d:b7:55:39:c2,00:4e:35:df:06:40,80:8d:b7:55:39:c0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,00:4e:35:df:06:52,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:19:71:81,38:17:c3:19:71:80,80:8d:b7:55:39:c1,00:4e:35:df:06:41,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:de:e1:12,80:8d:b7:55:29:c2,00:4e:35:df:06:42,38:17:c3:1f:22:21,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:22,b4:5d:50:e1:92:23,38:17:c3:1f:0e:02,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,80:8d:b7:55:4d:02,80:8d:b7:55:4d:10,80:8d:b7:55:4d:11,80:8d:b7:55:4d:12,x,y,label
-77,-56,-56,-68,-53,-53,-86,-86,-86,-81,-75,-100,-76,-75,-100,-100,-84,-84,-78,-78,-84,-100,-88,-100,-100,-83,-85,-82,-82,-81,-100,-100,-100,-100,-81,-87,-86,-75,-55,-53,-86,-76,-100,-84,-78,-100,-88,-81,-82,-86,-100,-81,-74,-82,-83,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-74,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-75,-100,-75,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-75,-80,-100,-100,-74,-84,-80,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-77,-56,-56,-68,-53,-52,-86,-86,-86,-85,-100,-100,-76,-76,-100,-100,-84,-84,-78,-78,-85,-100,-88,-100,-100,-80,-100,-82,-79,-81,-100,-100,-100,-100,-83,-87,-86,-75,-56,-53,-86,-76,-100,-84,-79,-100,-88,-80,-83,-87,-100,-81,-76,-82,-84,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-75,-100,-100,-100,-100,-75,-100,-74,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-70,-75,-100,-75,-100,-100,-100,-100,-100,-72,-100,-100,-75,-75,-75,-80,-100,-100,-74,-83,-100,-80,-83,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-78,-56,-56,-72,-53,-53,-86,-86,-86,-82,-81,-100,-76,-76,-100,-100,-84,-84,-79,-79,-84,-100,-88,-100,-100,-81,-100,-81,-80,-80,-100,-100,-100,-100,-83,-86,-86,-45,-56,-53,-86,-76,-100,-83,-80,-100,-88,-81,-82,-87,-100,-80,-74,-82,-83,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-100,-74,-100,-75,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-71,-74,-100,-74,-100,-100,-100,-100,-100,-75,-100,-100,-76,-75,-75,-80,-100,-100,-75,-83,-100,-80,-83,-84,-83,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-75,-46,-46,-70,-49,-48,-100,-100,-100,-84,-81,-100,-73,-73,-100,-100,-84,-84,-76,-76,-86,-100,-100,-100,-100,-81,-100,-81,-79,-85,-83,-100,-100,-100,-80,-84,-83,-73,-45,-49,-100,-73,-100,-83,-77,-100,-88,-81,-80,-83,-100,-86,-80,-86,-80,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-100,-74,-100,-78,-77,-100,-85,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-69,-78,-100,-78,-100,-100,-100,-100,-100,-70,-100,-100,-76,-75,-76,-80,-100,-100,-78,-81,-79,-80,-80,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-75,-46,-46,-70,-49,-48,-100,-100,-100,-84,-81,-100,-73,-73,-100,-100,-84,-84,-76,-76,-86,-100,-100,-100,-100,-81,-100,-81,-79,-85,-83,-100,-100,-100,-80,-84,-83,-73,-45,-49,-100,-73,-100,-83,-77,-100,-88,-81,-80,-83,-100,-86,-80,-86,-80,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-74,-100,-100,-100,-100,-74,-100,-78,-77,-100,-85,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-69,-78,-100,-78,-100,-100,-100,-100,-100,-70,-100,-100,-76,-75,-76,-80,-100,-100,-78,-81,-79,-80,-80,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-75,-46,-46,-66,-49,-49,-100,-86,-87,-82,-100,-100,-74,-73,-100,-100,-100,-87,-77,-77,-84,-100,-100,-100,-100,-83,-85,-100,-74,-85,-86,-100,-100,-100,-79,-85,-83,-74,-46,-48,-87,-74,-100,-87,-77,-100,-100,-80,-72,-85,-100,-86,-80,-85,-81,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-78,-67,-100,-87,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-71,-78,-100,-80,-100,-100,-100,-100,-100,-74,-100,-100,-100,-75,-75,-80,-100,-100,-78,-80,-80,-80,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-75,-46,-46,-69,-49,-49,-86,-87,-87,-83,-100,-100,-75,-75,-100,-100,-100,-86,-76,-76,-87,-100,-100,-100,-100,-83,-85,-100,-80,-85,-82,-100,-100,-100,-79,-82,-81,-73,-45,-49,-86,-75,-100,-86,-76,-100,-100,-80,-72,-81,-100,-85,-73,-85,-82,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-71,-100,-100,-67,-100,-87,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-71,-100,-100,-81,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-75,-80,-100,-100,-100,-81,-80,-80,-80,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-78,-44,-44,-68,-49,-49,-85,-84,-84,-84,-70,-100,-79,-79,-100,-100,-100,-86,-75,-75,-86,-100,-100,-100,-100,-100,-100,-83,-81,-83,-83,-100,-100,-100,-100,-82,-83,-73,-44,-49,-84,-79,-100,-86,-75,-100,-100,-100,-100,-82,-100,-84,-73,-84,-82,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-71,-100,-100,-66,-100,-87,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-80,-81,-80,-80,-80,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-78,-44,-44,-69,-49,-49,-88,-86,-87,-86,-70,-87,-77,-76,-100,-100,-100,-86,-73,-74,-86,-100,-100,-100,-100,-100,-100,-84,-82,-84,-82,-100,-100,-100,-100,-83,-83,-76,-44,-49,-87,-76,-100,-86,-74,-100,-100,-84,-100,-83,-100,-84,-81,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-71,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-78,-66,-100,-100,-82,-100,-100,-100,-100,-100,-80,-100,-100,-76,-76,-76,-81,-100,-100,-100,-82,-80,-82,-82,-82,-81,-83,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-77,-44,-44,-69,-42,-43,-86,-86,-86,-82,-70,-89,-76,-76,-100,-100,-85,-85,-70,-70,-84,-100,-100,-100,-100,-100,-100,-85,-82,-83,-82,-100,-100,-100,-100,-83,-82,-79,-41,-44,-85,-76,-89,-85,-70,-100,-100,-84,-100,-83,-100,-84,-81,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-71,-100,-100,-75,-100,-100,-100,-87,-100,-100,-100,-100,-100,-79,-100,-78,-66,-100,-100,-78,-100,-100,-100,-100,-100,-80,-100,-100,-76,-76,-76,-84,-100,-100,-100,-81,-80,-83,-81,-81,-81,-83,-83,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-78,-44,-44,-72,-42,-43,-85,-86,-85,-82,-100,-89,-76,-76,-100,-100,-85,-84,-71,-70,-85,-100,-100,-100,-100,-80,-100,-83,-85,-83,-83,-100,-100,-100,-100,-85,-83,-79,-43,-44,-86,-76,-89,-85,-71,-100,-100,-84,-100,-85,-100,-84,-100,-83,-84,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-82,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-87,-100,-100,-100,-100,-100,-79,-100,-78,-100,-100,-100,-78,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-78,-100,-100,-100,-82,-78,-79,-82,-82,-82,-100,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-79,-44,-44,-65,-44,-44,-85,-85,-86,-81,-75,-89,-78,-78,-100,-100,-85,-84,-71,-71,-84,-100,-100,-100,-100,-81,-85,-83,-83,-83,-83,-100,-100,-100,-84,-85,-83,-81,-42,-44,-85,-78,-90,-85,-71,-100,-100,-84,-84,-86,-100,-83,-83,-83,-85,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-82,-100,-100,-100,-76,-81,-100,-100,-100,-75,-100,-100,-69,-100,-100,-100,-87,-100,-100,-100,-100,-100,-82,-100,-78,-100,-100,-100,-78,-100,-100,-100,-100,-100,-74,-100,-100,-72,-72,-72,-82,-100,-100,-100,-82,-78,-79,-82,-83,-83,-76,-76,-100,-86,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-79,-43,-43,-76,-44,-44,-85,-85,-86,-82,-75,-89,-78,-78,-100,-100,-85,-84,-70,-70,-83,-100,-100,-100,-100,-81,-84,-82,-83,-83,-83,-100,-100,-100,-84,-85,-83,-79,-43,-44,-85,-78,-90,-85,-71,-100,-100,-100,-84,-86,-100,-83,-77,-83,-86,-100,-100,-83,-100,-100,-82,-100,-100,-100,-100,-82,-100,-100,-100,-76,-81,-100,-100,-100,-74,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-74,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-72,-72,-73,-79,-100,-100,-73,-82,-78,-79,-81,-81,-82,-76,-76,-100,-100,-88,-85,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-78,-44,-44,-73,-44,-44,-85,-84,-85,-83,-75,-88,-79,-79,-100,-100,-100,-100,-70,-70,-83,-100,-100,-100,-100,-81,-84,-82,-83,-83,-100,-100,-100,-100,-84,-85,-100,-77,-43,-44,-85,-78,-90,-100,-71,-100,-100,-100,-84,-85,-100,-83,-77,-83,-86,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-74,-100,-73,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-80,-100,-73,-100,-77,-100,-100,-100,-100,-100,-72,-100,-100,-72,-72,-72,-78,-100,-100,-73,-83,-78,-78,-83,-83,-83,-76,-76,-100,-100,-100,-85,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-43,-43,-76,-44,-44,-85,-85,-84,-61,-75,-88,-78,-78,-100,-100,-100,-100,-70,-70,-83,-100,-100,-100,-100,-100,-83,-83,-81,-83,-100,-100,-100,-100,-100,-86,-100,-79,-43,-44,-84,-78,-92,-100,-71,-100,-100,-100,-100,-86,-100,-82,-77,-84,-86,-100,-100,-86,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-75,-100,-73,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-80,-78,-73,-100,-77,-100,-100,-100,-100,-100,-72,-100,-100,-72,-71,-72,-77,-100,-100,-73,-83,-77,-79,-83,-82,-82,-76,-76,-76,-100,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-76,-42,-42,-72,-42,-42,-87,-87,-86,-86,-77,-88,-77,-77,-100,-100,-86,-100,-71,-71,-85,-100,-100,-100,-100,-100,-87,-83,-81,-83,-87,-100,-100,-100,-100,-85,-85,-79,-41,-42,-86,-78,-83,-85,-71,-100,-100,-100,-100,-84,-100,-82,-77,-84,-100,-100,-100,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-77,-100,-77,-72,-100,-100,-100,-86,-100,-100,-100,-100,-100,-78,-100,-77,-72,-77,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-72,-71,-74,-81,-100,-100,-77,-81,-77,-80,-81,-80,-81,-76,-76,-76,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-77,-44,-43,-72,-42,-42,-85,-85,-85,-83,-77,-100,-75,-74,-100,-100,-86,-100,-71,-71,-85,-100,-100,-100,-100,-100,-87,-100,-100,-84,-87,-100,-100,-100,-100,-85,-85,-100,-41,-42,-86,-75,-83,-85,-72,-100,-100,-100,-83,-84,-100,-85,-79,-85,-84,-100,-100,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-71,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-77,-72,-77,-100,-79,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-74,-80,-100,-100,-77,-80,-80,-80,-80,-79,-79,-100,-77,-100,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-78,-44,-44,-71,-42,-42,-85,-85,-85,-83,-77,-100,-78,-78,-100,-100,-86,-100,-75,-74,-85,-100,-100,-100,-100,-100,-87,-100,-80,-84,-87,-100,-100,-100,-100,-85,-85,-100,-44,-42,-86,-78,-83,-85,-75,-100,-100,-100,-83,-86,-100,-85,-79,-85,-79,-100,-100,-81,-100,-100,-100,-80,-88,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-77,-100,-71,-71,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-77,-69,-71,-100,-79,-100,-100,-100,-100,-100,-72,-100,-100,-76,-100,-74,-81,-100,-100,-71,-80,-80,-80,-80,-79,-79,-100,-78,-100,-100,-88,-86,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
