44:48:c1:a5:82:30,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,80:8d:b7:55:35:02,44:48:c1:a5:82:32,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:31,38:17:c3:1f:01:81,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,80:8d:b7:55:3a:51,00:4e:35:df:06:50,80:8d:b7:55:3a:52,00:4e:35:df:06:51,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:42,72:32:b1:3e:1a:b7,ac:e2:d3:c4:08:e6,68:ff:7b:e4:af:38,00:4e:35:df:06:41,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,80:8d:b7:55:35:03,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:35:00,38:17:c3:1f:01:90,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:d7:60,80:8d:b7:55:3a:40,00:4e:35:df:06:42,38:17:c3:1e:ff:10,20:a6:cd:50:24:a0,b4:5d:50:e1:92:31,38:17:c3:1f:22:30,00:4e:35:de:e1:12,66:2a:2f:53:7c:99,38:17:c3:1f:0e:01,80:8d:b7:55:39:c1,38:17:c3:19:55:52,44:48:c1:a5:82:21,38:17:c3:19:55:51,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,44:48:c1:a5:82:20,38:17:c3:19:55:50,38:17:c3:1f:09:90,20:a6:cd:42:0b:f0,38:17:c3:19:71:90,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:1f:01:82,b4:5d:50:e1:92:22,38:17:c3:1e:ff:02,a8:bd:27:4c:bd:31,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,a8:bd:27:4c:bd:30,38:17:c3:19:d7:61,60:32:b1:3e:1a:b7,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:40,38:17:c3:1f:22:31,20:a6:cd:42:0b:f2,38:17:c3:19:45:b0,80:8d:b7:55:25:e2,00:4e:35:de:e1:10,00:4e:35:de:e1:11,80:8d:b7:55:25:e0,44:48:c1:a5:82:22,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,a8:bd:27:4c:bd:32,38:17:c3:1f:22:32,00:4e:35:de:e1:00,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1e:ff:01,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:92:20,38:17:c3:1e:ff:00,b4:5d:50:e1:92:21,80:8d:b7:55:25:e1,38:17:c3:19:55:42,20:a6:cd:42:0b:e3,38:17:c3:19:71:92,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:08:50,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,20:a6:cd:42:0b:f1,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:1f:08:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:52,38:17:c3:1f:22:22,00:4e:35:df:0e:12,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:43,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:19:71:82,00:4e:35:de:d7:42,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:32,00:4e:35:de:d7:41,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:4f:02,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,00:4e:35:df:27:00,00:4e:35:df:27:01,38:17:c3:24:4f:00,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:4f:01,00:4e:35:df:27:12,38:17:c3:1b:08:a0,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:02,00:4e:35:df:27:11,00:4e:35:df:27:10,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,00:4e:35:de:d7:40,x,y,label
-52,-54,-53,-53,-53,-84,-100,-84,-54,-61,-62,-67,-69,-69,-24,-56,-100,-100,-100,-52,-83,-82,-52,-100,-80,-80,-78,-78,-78,-54,-67,-77,-67,-76,-79,-66,-78,-66,-81,-79,-87,-71,-85,-85,-100,-100,-70,-70,-73,-78,-82,-100,-70,-62,-69,-100,-100,-83,-80,-78,-76,-68,-79,-66,-72,-85,-100,-73,-85,-76,-86,-100,-54,-76,-53,-78,-100,-100,-80,-53,-100,-100,-100,-100,-100,-79,-100,-75,-100,-84,-100,-100,-84,-77,-80,-100,-100,-73,-100,-100,-100,-100,-76,-76,-100,-54,-82,-100,-83,-85,-81,-100,-100,-100,-100,-100,-76,-100,-76,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-84,-87,-87,-87,-86,-83,-100,-100,-100,-76,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-51,-55,-53,-53,-53,-84,-100,-84,-55,-61,-61,-69,-69,-69,-24,-62,-100,-100,-73,-51,-83,-82,-51,-100,-79,-80,-77,-77,-77,-55,-67,-75,-68,-75,-72,-66,-78,-67,-81,-79,-87,-71,-85,-85,-100,-100,-72,-72,-72,-78,-82,-100,-69,-62,-70,-68,-73,-83,-80,-77,-75,-68,-79,-66,-71,-84,-100,-72,-85,-80,-84,-69,-55,-77,-53,-74,-100,-100,-80,-53,-75,-100,-100,-100,-90,-79,-100,-75,-100,-84,-80,-100,-84,-77,-79,-86,-85,-72,-100,-100,-85,-100,-81,-80,-100,-54,-82,-100,-84,-85,-81,-100,-100,-100,-100,-100,-76,-100,-75,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-84,-87,-87,-87,-86,-83,-100,-87,-78,-76,-77,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-53,-54,-53,-53,-53,-84,-100,-84,-55,-62,-62,-70,-69,-69,-24,-50,-100,-100,-73,-53,-83,-82,-53,-100,-80,-80,-77,-77,-77,-54,-67,-73,-67,-73,-72,-66,-78,-67,-80,-72,-87,-71,-85,-85,-100,-100,-74,-74,-74,-76,-79,-100,-69,-63,-69,-68,-71,-83,-80,-77,-73,-67,-79,-67,-72,-85,-100,-74,-86,-79,-84,-69,-54,-76,-55,-74,-100,-89,-81,-55,-75,-100,-100,-100,-87,-79,-100,-75,-100,-84,-81,-100,-84,-77,-79,-86,-85,-71,-100,-100,-85,-100,-80,-79,-100,-55,-82,-100,-84,-85,-79,-100,-100,-83,-100,-100,-76,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-88,-86,-85,-86,-84,-100,-87,-78,-76,-77,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-53,-54,-53,-54,-54,-100,-100,-100,-55,-61,-61,-67,-68,-67,-28,-80,-100,-72,-73,-53,-81,-80,-53,-100,-82,-81,-81,-81,-81,-54,-68,-73,-68,-73,-79,-66,-78,-67,-82,-79,-87,-71,-85,-85,-100,-100,-73,-72,-72,-75,-84,-100,-68,-61,-68,-68,-71,-81,-81,-81,-73,-68,-100,-67,-72,-85,-100,-72,-87,-76,-85,-69,-54,-76,-53,-74,-100,-88,-82,-53,-75,-100,-100,-100,-89,-81,-100,-75,-100,-84,-81,-100,-100,-77,-79,-86,-85,-71,-100,-100,-85,-100,-77,-79,-100,-53,-82,-100,-84,-100,-81,-100,-100,-83,-100,-100,-76,-100,-76,-78,-84,-100,-100,-100,-100,-84,-79,-100,-100,-100,-100,-84,-85,-86,-87,-87,-84,-100,-87,-78,-76,-77,-100,-86,-80,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-53,-54,-53,-54,-54,-100,-100,-100,-55,-61,-61,-69,-69,-70,-25,-61,-100,-72,-100,-52,-82,-81,-52,-100,-80,-80,-79,-80,-80,-54,-68,-75,-68,-73,-79,-66,-100,-66,-80,-77,-87,-72,-85,-86,-100,-100,-72,-72,-72,-73,-84,-100,-68,-61,-70,-100,-71,-82,-81,-81,-76,-68,-100,-67,-72,-86,-100,-72,-87,-80,-87,-100,-53,-77,-52,-77,-100,-88,-84,-52,-100,-100,-100,-100,-89,-83,-100,-75,-100,-84,-81,-100,-100,-77,-100,-100,-100,-71,-100,-100,-100,-100,-80,-80,-100,-52,-100,-100,-83,-100,-81,-100,-100,-83,-100,-100,-75,-100,-75,-77,-84,-100,-100,-100,-100,-85,-79,-100,-100,-100,-100,-84,-85,-86,-87,-86,-85,-100,-100,-100,-100,-77,-100,-86,-80,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-49,-58,-51,-51,-51,-100,-100,-100,-59,-67,-66,-72,-71,-71,-25,-61,-100,-71,-71,-48,-82,-81,-48,-83,-79,-80,-78,-78,-78,-57,-65,-72,-65,-73,-73,-63,-100,-64,-80,-75,-87,-77,-85,-86,-100,-82,-72,-77,-77,-73,-84,-100,-74,-66,-71,-100,-71,-82,-80,-78,-72,-65,-81,-100,-77,-86,-82,-76,-88,-80,-87,-100,-57,-73,-50,-72,-100,-88,-84,-50,-72,-100,-100,-100,-89,-83,-100,-80,-100,-82,-100,-100,-81,-81,-81,-100,-100,-77,-100,-100,-100,-100,-80,-80,-100,-50,-100,-100,-81,-100,-81,-100,-100,-100,-100,-100,-81,-100,-75,-77,-84,-100,-100,-100,-100,-82,-79,-100,-100,-100,-100,-82,-86,-86,-87,-86,-82,-83,-100,-100,-100,-100,-88,-86,-80,-81,-87,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-47,-58,-50,-50,-50,-100,-100,-100,-60,-67,-68,-73,-73,-72,-26,-60,-100,-70,-70,-47,-100,-100,-47,-83,-80,-80,-77,-78,-78,-57,-66,-71,-66,-71,-76,-63,-100,-63,-100,-80,-100,-77,-100,-100,-100,-82,-77,-77,-77,-78,-88,-100,-70,-68,-72,-100,-71,-100,-79,-78,-71,-66,-81,-63,-77,-86,-82,-76,-88,-82,-83,-100,-57,-72,-49,-72,-100,-100,-79,-49,-72,-100,-100,-88,-100,-80,-100,-79,-82,-81,-100,-100,-81,-81,-81,-100,-100,-77,-100,-100,-100,-77,-81,-81,-76,-49,-100,-100,-81,-100,-80,-100,-100,-82,-100,-100,-79,-100,-80,-76,-76,-100,-100,-100,-100,-83,-100,-100,-100,-76,-100,-83,-83,-84,-100,-100,-82,-83,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-48,-58,-49,-49,-49,-100,-100,-100,-60,-69,-69,-72,-72,-72,-25,-61,-66,-70,-70,-48,-100,-100,-48,-83,-81,-80,-78,-77,-78,-57,-67,-71,-67,-71,-76,-63,-80,-64,-100,-80,-100,-78,-100,-100,-100,-82,-76,-76,-76,-78,-88,-100,-69,-68,-72,-67,-72,-100,-81,-77,-70,-67,-79,-63,-77,-86,-82,-76,-88,-78,-86,-66,-59,-73,-49,-73,-100,-100,-79,-49,-72,-100,-100,-87,-100,-79,-100,-79,-82,-82,-100,-100,-81,-80,-82,-100,-100,-77,-100,-100,-90,-77,-78,-78,-76,-49,-100,-100,-81,-100,-80,-100,-100,-82,-100,-100,-79,-100,-79,-76,-76,-100,-100,-100,-100,-83,-100,-100,-100,-76,-76,-83,-84,-85,-100,-100,-82,-83,-87,-100,-100,-100,-84,-84,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-47,-57,-50,-50,-50,-100,-100,-100,-63,-68,-68,-74,-74,-74,-28,-62,-66,-72,-70,-47,-100,-100,-47,-83,-81,-81,-79,-79,-79,-57,-65,-72,-66,-72,-76,-64,-80,-64,-100,-74,-100,-78,-100,-100,-81,-81,-76,-76,-76,-79,-88,-100,-83,-68,-74,-67,-71,-100,-81,-79,-72,-65,-79,-64,-77,-88,-100,-76,-100,-81,-84,-66,-58,-73,-50,-73,-100,-100,-81,-50,-72,-100,-100,-87,-100,-78,-100,-78,-82,-82,-100,-100,-100,-80,-82,-100,-100,-77,-100,-100,-90,-75,-80,-80,-75,-51,-100,-100,-82,-100,-81,-100,-100,-82,-100,-100,-79,-100,-78,-74,-76,-100,-100,-100,-100,-82,-100,-100,-100,-76,-76,-82,-86,-85,-100,-87,-82,-100,-87,-100,-100,-100,-85,-86,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-46,-56,-50,-50,-50,-100,-100,-100,-64,-68,-68,-70,-71,-71,-28,-61,-66,-72,-71,-46,-82,-81,-46,-85,-79,-81,-79,-79,-79,-56,-66,-71,-66,-71,-76,-63,-80,-63,-100,-81,-100,-74,-100,-100,-81,-81,-75,-75,-75,-79,-100,-100,-70,-67,-71,-67,-71,-82,-81,-79,-71,-66,-79,-64,-77,-87,-82,-75,-100,-78,-84,-68,-56,-72,-50,-73,-100,-100,-81,-51,-72,-100,-100,-87,-100,-78,-100,-79,-100,-82,-100,-100,-100,-80,-82,-100,-100,-75,-100,-100,-90,-75,-79,-79,-75,-50,-83,-100,-80,-100,-80,-100,-100,-100,-100,-100,-79,-100,-79,-74,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-76,-82,-86,-85,-100,-87,-82,-100,-87,-100,-100,-100,-85,-86,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-47,-56,-50,-50,-50,-100,-100,-100,-39,-68,-67,-71,-72,-72,-26,-59,-100,-72,-71,-47,-82,-81,-47,-85,-79,-80,-78,-78,-78,-57,-65,-71,-65,-71,-76,-63,-100,-63,-82,-82,-100,-74,-100,-100,-83,-81,-76,-76,-76,-71,-100,-100,-71,-68,-72,-100,-71,-80,-79,-78,-71,-64,-100,-63,-76,-88,-83,-76,-100,-81,-84,-68,-57,-72,-50,-73,-100,-100,-80,-50,-100,-100,-100,-100,-100,-79,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-75,-81,-81,-75,-50,-80,-100,-80,-100,-80,-100,-100,-100,-100,-100,-79,-100,-79,-74,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-87,-87,-100,-86,-81,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-51,-55,-54,-57,-57,-85,-85,-85,-61,-68,-67,-73,-73,-72,-25,-64,-100,-73,-74,-50,-83,-84,-50,-85,-79,-79,-76,-75,-75,-57,-64,-70,-64,-70,-74,-63,-100,-63,-83,-81,-84,-72,-100,-100,-83,-82,-76,-76,-76,-76,-82,-100,-71,-68,-72,-100,-71,-83,-80,-76,-70,-64,-100,-64,-73,-88,-83,-74,-85,-76,-79,-68,-56,-74,-49,-73,-100,-100,-80,-49,-73,-100,-100,-100,-100,-79,-100,-77,-100,-80,-100,-100,-80,-80,-100,-100,-100,-75,-100,-100,-100,-71,-76,-76,-100,-49,-80,-100,-81,-100,-79,-100,-100,-100,-100,-100,-79,-100,-77,-73,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-84,-86,-86,-100,-86,-83,-100,-100,-81,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-51,-55,-54,-56,-56,-85,-85,-85,-62,-100,-67,-73,-72,-73,-26,-60,-73,-73,-74,-50,-82,-83,-50,-100,-79,-80,-76,-76,-75,-54,-63,-69,-63,-69,-74,-63,-80,-63,-84,-82,-85,-72,-100,-100,-83,-82,-77,-77,-77,-76,-85,-100,-100,-67,-73,-100,-100,-82,-80,-76,-68,-63,-100,-63,-73,-89,-100,-76,-86,-75,-73,-100,-54,-76,-48,-76,-100,-100,-76,-49,-73,-100,-100,-100,-100,-79,-100,-77,-100,-80,-100,-100,-81,-80,-100,-100,-100,-73,-100,-100,-100,-71,-76,-75,-73,-48,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-77,-73,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-83,-85,-86,-87,-86,-83,-100,-100,-81,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-57,-56,-55,-54,-55,-85,-85,-85,-60,-64,-64,-72,-71,-72,-27,-60,-73,-73,-74,-57,-82,-83,-57,-100,-79,-80,-75,-75,-74,-55,-64,-70,-65,-70,-74,-63,-80,-63,-84,-82,-85,-73,-100,-100,-83,-82,-76,-76,-76,-76,-85,-100,-100,-64,-72,-69,-100,-82,-80,-75,-70,-65,-100,-63,-73,-89,-100,-76,-84,-79,-73,-69,-56,-76,-48,-75,-100,-100,-76,-49,-76,-100,-100,-86,-100,-79,-100,-77,-100,-80,-100,-100,-81,-80,-84,-100,-100,-73,-100,-100,-100,-71,-79,-78,-73,-48,-100,-100,-79,-84,-79,-100,-100,-100,-100,-100,-100,-100,-77,-73,-100,-100,-100,-100,-100,-83,-100,-86,-100,-100,-100,-84,-83,-84,-87,-86,-83,-100,-100,-81,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-47,-54,-57,-59,-59,-100,-100,-100,-48,-64,-69,-72,-72,-72,-27,-67,-75,-75,-75,-47,-82,-83,-47,-100,-79,-79,-75,-75,-75,-54,-64,-69,-64,-69,-74,-63,-80,-63,-84,-81,-85,-72,-100,-100,-100,-100,-77,-77,-77,-76,-84,-100,-75,-64,-72,-75,-75,-82,-80,-76,-70,-64,-100,-63,-72,-89,-100,-77,-84,-77,-59,-69,-54,-77,-48,-77,-100,-100,-76,-48,-76,-100,-100,-88,-100,-77,-100,-100,-100,-80,-100,-100,-81,-100,-85,-100,-100,-73,-86,-100,-100,-71,-78,-77,-73,-48,-100,-100,-80,-83,-100,-100,-100,-100,-100,-100,-100,-100,-77,-73,-100,-100,-100,-100,-100,-83,-100,-86,-100,-100,-100,-84,-84,-83,-87,-86,-85,-100,-88,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-51,-55,-56,-56,-56,-100,-100,-100,-61,-64,-66,-71,-71,-71,-28,-61,-75,-73,-73,-51,-83,-83,-51,-100,-79,-79,-76,-75,-75,-55,-64,-70,-65,-69,-70,-63,-100,-63,-84,-76,-84,-73,-100,-100,-100,-100,-78,-77,-78,-100,-84,-100,-71,-64,-71,-75,-75,-83,-79,-75,-70,-65,-100,-63,-73,-88,-100,-78,-84,-78,-53,-69,-55,-73,-51,-77,-100,-100,-77,-51,-76,-100,-100,-88,-100,-77,-100,-100,-100,-80,-84,-100,-100,-100,-85,-100,-100,-73,-86,-100,-100,-71,-77,-76,-72,-51,-100,-100,-80,-83,-77,-100,-100,-100,-100,-100,-100,-100,-77,-72,-74,-100,-100,-100,-100,-84,-100,-86,-100,-100,-100,-84,-84,-83,-100,-100,-83,-100,-88,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-51,-56,-56,-57,-57,-100,-100,-100,-61,-64,-68,-72,-71,-71,-25,-63,-75,-73,-73,-51,-85,-85,-51,-100,-80,-80,-76,-76,-76,-57,-63,-69,-63,-69,-69,-63,-100,-63,-84,-79,-84,-73,-100,-100,-100,-100,-76,-76,-76,-75,-82,-100,-71,-68,-71,-75,-75,-86,-81,-76,-69,-63,-100,-62,-73,-88,-100,-76,-85,-79,-52,-71,-57,-76,-51,-77,-100,-100,-77,-48,-76,-100,-100,-88,-100,-77,-100,-100,-100,-81,-84,-100,-81,-100,-85,-100,-100,-73,-85,-100,-100,-71,-79,-79,-72,-48,-100,-100,-81,-84,-77,-100,-100,-100,-100,-100,-100,-100,-77,-71,-74,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-84,-86,-85,-100,-100,-83,-100,-88,-100,-100,-100,-86,-87,-83,-100,-100,-100,-86,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-49,-56,-56,-57,-57,-100,-100,-100,-61,-64,-71,-71,-71,-71,-25,-71,-100,-73,-72,-46,-85,-85,-49,-100,-78,-77,-75,-75,-76,-57,-65,-70,-65,-70,-73,-63,-100,-63,-84,-79,-84,-73,-100,-100,-100,-100,-77,-77,-77,-83,-84,-100,-73,-72,-71,-100,-100,-86,-78,-76,-71,-65,-100,-62,-73,-88,-100,-77,-85,-76,-79,-71,-57,-77,-46,-77,-100,-100,-79,-46,-100,-100,-100,-100,-100,-77,-100,-77,-100,-81,-78,-100,-79,-100,-100,-100,-100,-73,-85,-100,-100,-71,-76,-76,-72,-46,-100,-100,-80,-84,-77,-100,-100,-100,-100,-100,-77,-100,-76,-71,-74,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-84,-86,-85,-100,-100,-83,-100,-100,-100,-100,-100,-86,-87,-83,-100,-100,-100,-86,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
