38:17:c3:1f:00:a0,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:43,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:1f:14:12,38:17:c3:1f:14:11,44:48:c1:91:d0:02,44:48:c1:91:d0:04,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:d0:14,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:d0:12,44:48:c1:91:d0:10,38:17:c3:1f:19:d1,38:17:c3:24:47:51,38:17:c3:1f:19:d2,38:17:c3:24:47:52,38:17:c3:1f:09:83,38:17:c3:1f:09:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:83,38:17:c3:1f:09:92,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:1f:09:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:95:b0,44:48:c1:91:95:b3,44:48:c1:91:aa:32,38:17:c3:22:61:91,ac:e2:d3:c4:08:e6,92:32:4b:b2:cc:47,38:17:c3:1f:00:b0,38:17:c3:1f:14:00,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,44:48:c1:91:d0:01,20:a6:cd:42:0a:c2,44:48:c1:91:d0:11,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,9c:d6:43:60:92:e0,38:17:c3:24:47:50,38:17:c3:1f:09:90,38:17:c3:1f:09:80,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,20:a6:cd:42:13:e0,38:17:c3:22:61:90,66:2a:2f:53:7c:99,44:48:c1:91:d0:00,20:a6:cd:42:0a:c3,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a3,44:48:c1:91:95:a0,44:48:c1:91:95:a1,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,44:48:c1:91:aa:31,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:19:45:a0,44:48:c1:91:95:a2,38:17:c3:1f:19:f0,44:48:c1:91:aa:30,38:17:c3:1a:cf:d0,44:48:c1:91:9d:50,38:17:c3:1f:09:82,44:48:c1:91:aa:21,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,a8:bd:27:4c:aa:80,38:17:c3:1f:19:c0,b0:b8:67:3d:c2:f2,44:48:c1:91:aa:22,38:17:c3:22:5e:f2,44:48:c1:91:aa:20,38:17:c3:1f:1c:10,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:40,20:a6:cd:42:0b:f3,38:17:c3:22:5e:f1,86:0d:8e:aa:25:a4,20:a6:cd:42:0b:f0,38:17:c3:19:d7:70,38:17:c3:1f:19:f2,38:17:c3:1f:19:e1,38:17:c3:1f:19:f1,38:17:c3:19:d7:71,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f2,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,38:17:c3:19:36:30,80:8d:b7:55:35:10,38:17:c3:19:36:31,80:8d:b7:55:35:03,80:8d:b7:55:29:d0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:13,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:35:01,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,20:a6:cd:50:24:a0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a2,38:17:c3:1e:ff:10,68:ff:7b:e4:af:38,80:8d:b7:55:29:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:71:92,80:8d:b7:55:29:d1,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a1,68:ff:7b:e4:af:39,38:17:c3:19:71:91,80:8d:b7:55:35:02,80:8d:b7:55:35:00,20:a6:cd:50:24:b0,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:06:52,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,20:a6:cd:50:24:b1,80:8d:b7:55:39:c0,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:50,80:8d:b7:55:29:c2,38:17:c3:1f:22:31,80:8d:b7:55:29:c0,38:17:c3:1f:22:32,00:4e:35:de:e1:12,00:4e:35:df:06:41,80:8d:b7:55:29:c1,00:4e:35:df:06:42,00:4e:35:df:06:40,00:4e:35:df:06:51,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:4d:10,80:8d:b7:55:4d:00,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,label
-59,-69,-100,-59,-58,-59,-59,-76,-57,-57,-67,-67,-81,-80,-82,-81,-80,-80,-64,-64,-100,-76,-100,-76,-73,-80,-80,-74,-74,-87,-83,-88,-83,-84,-100,-74,-75,-72,-87,-86,-87,-85,-83,-82,-81,-88,-86,-100,-100,-82,-100,-57,-67,-80,-82,-64,-100,-77,-73,-80,-88,-82,-84,-85,-100,-86,-84,-100,-100,-87,-100,-73,-100,-100,-82,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,141,7
-60,-69,-100,-61,-59,-59,-60,-76,-58,-57,-67,-67,-82,-80,-82,-82,-80,-80,-64,-64,-100,-74,-100,-100,-73,-80,-79,-74,-74,-87,-84,-87,-84,-81,-100,-60,-75,-59,-86,-100,-87,-87,-82,-83,-83,-100,-86,-100,-100,-82,-100,-56,-67,-80,-82,-64,-100,-77,-74,-80,-89,-79,-84,-86,-100,-87,-82,-100,-100,-86,-100,-73,-100,-100,-82,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,141,7
-59,-69,-100,-58,-59,-58,-59,-76,-57,-57,-67,-67,-82,-80,-81,-81,-80,-80,-64,-64,-76,-74,-75,-76,-73,-80,-80,-73,-73,-87,-83,-87,-83,-82,-82,-74,-73,-72,-86,-86,-100,-86,-83,-84,-83,-100,-86,-100,-100,-85,-100,-56,-67,-80,-81,-64,-75,-76,-73,-80,-89,-79,-83,-85,-83,-86,-83,-100,-100,-87,-76,-71,-81,-81,-82,-81,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-89,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,141,7
-59,-69,-69,-59,-59,-59,-59,-78,-57,-57,-67,-67,-82,-80,-82,-81,-80,-80,-63,-64,-76,-74,-76,-76,-73,-80,-80,-73,-73,-87,-83,-87,-83,-83,-82,-74,-73,-72,-86,-86,-100,-86,-83,-82,-82,-100,-86,-100,-100,-78,-100,-57,-67,-80,-82,-64,-75,-76,-73,-80,-89,-81,-83,-86,-83,-86,-83,-100,-100,-87,-76,-71,-81,-81,-100,-80,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-83,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-88,-87,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,141,7
-59,-70,-69,-57,-65,-59,-58,-78,-62,-62,-64,-64,-88,-82,-87,-86,-82,-82,-67,-67,-76,-75,-76,-76,-76,-81,-80,-76,-76,-100,-82,-100,-82,-82,-82,-76,-73,-72,-100,-86,-100,-84,-83,-82,-82,-100,-87,-100,-100,-77,-100,-62,-64,-82,-88,-67,-75,-76,-76,-80,-100,-81,-82,-86,-83,-86,-83,-100,-100,-86,-76,-76,-81,-81,-100,-80,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-85,-100,-100,-100,-85,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-59,-72,-100,-63,-65,-59,-58,-100,-59,-59,-64,-64,-87,-81,-88,-88,-81,-80,-67,-67,-100,-75,-76,-100,-80,-81,-81,-80,-80,-100,-79,-100,-79,-82,-100,-76,-100,-72,-100,-100,-100,-84,-87,-86,-86,-100,-87,-100,-100,-74,-100,-56,-65,-81,-89,-67,-100,-100,-80,-81,-88,-100,-79,-86,-100,-87,-86,-100,-100,-86,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-84,-100,-100,-100,-85,-85,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-56,-72,-100,-64,-63,-57,-56,-100,-53,-60,-64,-64,-85,-79,-85,-85,-79,-79,-66,-66,-77,-75,-76,-100,-77,-79,-79,-78,-79,-100,-85,-100,-85,-80,-100,-71,-100,-68,-100,-100,-100,-84,-87,-86,-86,-100,-87,-100,-100,-77,-100,-57,-64,-79,-84,-66,-78,-100,-77,-80,-88,-100,-86,-89,-100,-88,-86,-100,-100,-86,-78,-76,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-83,-100,-100,-100,-84,-86,-83,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-57,-72,-100,-65,-63,-57,-57,-100,-60,-60,-64,-64,-83,-79,-83,-84,-79,-79,-67,-67,-77,-100,-100,-100,-78,-79,-79,-78,-79,-100,-78,-100,-79,-81,-100,-70,-70,-68,-100,-100,-100,-87,-87,-86,-86,-100,-87,-100,-100,-74,-100,-59,-64,-79,-84,-67,-78,-100,-77,-80,-88,-100,-79,-87,-100,-88,-86,-100,-100,-100,-78,-77,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-86,-100,-100,-87,-83,-100,-100,-100,-84,-86,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-57,-72,-100,-70,-63,-57,-57,-79,-60,-60,-64,-64,-84,-79,-84,-84,-79,-79,-67,-67,-77,-77,-100,-100,-78,-81,-81,-78,-78,-100,-79,-100,-80,-81,-100,-70,-70,-69,-100,-100,-100,-87,-85,-86,-100,-100,-100,-100,-100,-78,-100,-59,-65,-79,-84,-67,-78,-79,-78,-82,-90,-100,-79,-87,-100,-88,-85,-100,-100,-100,-78,-75,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-82,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-86,-100,-100,-88,-83,-100,-100,-100,-84,-88,-100,-83,-87,-77,-78,-83,-84,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-57,-71,-100,-62,-63,-57,-58,-78,-60,-60,-64,-65,-84,-80,-83,-84,-80,-80,-67,-67,-76,-78,-78,-77,-78,-81,-81,-77,-78,-100,-79,-100,-79,-80,-82,-71,-72,-70,-100,-100,-100,-87,-85,-84,-85,-100,-87,-100,-100,-75,-100,-59,-65,-80,-84,-67,-76,-77,-78,-82,-90,-80,-79,-87,-82,-100,-85,-100,-100,-100,-100,-75,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-86,-100,-100,-88,-83,-100,-100,-100,-84,-87,-100,-83,-87,-77,-78,-83,-84,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-58,-71,-100,-64,-68,-58,-58,-77,-60,-60,-64,-65,-82,-80,-83,-82,-81,-80,-73,-73,-76,-80,-78,-80,-82,-81,-81,-77,-78,-100,-85,-100,-84,-80,-82,-73,-74,-75,-85,-100,-86,-86,-82,-83,-83,-100,-87,-100,-100,-79,-100,-60,-65,-81,-83,-73,-81,-80,-82,-82,-90,-78,-84,-85,-82,-100,-83,-100,-100,-100,-100,-79,-81,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-81,-84,-100,-100,-84,-80,-100,-100,-100,-80,-84,-80,-80,-84,-77,-81,-79,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-71,-100,-65,-68,-58,-58,-79,-63,-63,-76,-72,-82,-81,-83,-82,-80,-80,-70,-70,-100,-80,-100,-80,-82,-83,-83,-100,-100,-100,-86,-100,-85,-100,-100,-73,-73,-75,-84,-100,-86,-85,-83,-83,-83,-100,-100,-100,-100,-81,-100,-60,-70,-80,-83,-71,-81,-80,-82,-83,-100,-81,-86,-85,-100,-100,-83,-100,-100,-100,-100,-79,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-84,-100,-100,-84,-80,-100,-100,-100,-80,-85,-80,-79,-85,-100,-81,-79,-80,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-72,-100,-65,-68,-58,-58,-79,-61,-61,-76,-72,-85,-82,-85,-84,-81,-82,-70,-70,-100,-80,-100,-80,-81,-83,-84,-100,-100,-100,-87,-100,-85,-83,-84,-73,-73,-77,-86,-100,-86,-85,-83,-83,-83,-100,-100,-100,-100,-75,-100,-60,-70,-83,-85,-71,-81,-80,-82,-83,-100,-81,-86,-86,-84,-100,-83,-100,-100,-100,-100,-79,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-79,-81,-85,-100,-100,-86,-80,-100,-100,-100,-79,-85,-80,-80,-86,-100,-81,-81,-80,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-71,-100,-66,-66,-58,-58,-81,-59,-59,-76,-72,-84,-82,-84,-83,-82,-82,-71,-71,-79,-83,-80,-78,-81,-83,-84,-100,-100,-100,-86,-100,-85,-81,-82,-73,-74,-74,-85,-100,-87,-85,-83,-82,-82,-100,-100,-100,-100,-78,-100,-59,-70,-82,-84,-71,-80,-79,-81,-83,-100,-81,-86,-86,-83,-88,-83,-100,-100,-100,-81,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-79,-81,-84,-100,-100,-85,-80,-100,-100,-100,-80,-84,-80,-80,-85,-100,-81,-81,-100,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-71,-100,-63,-66,-58,-58,-81,-59,-60,-100,-100,-84,-82,-83,-83,-82,-82,-71,-71,-79,-83,-79,-79,-81,-83,-83,-100,-100,-100,-86,-100,-86,-47,-82,-74,-74,-73,-85,-100,-86,-86,-82,-83,-82,-100,-100,-100,-100,-72,-100,-59,-100,-82,-84,-71,-80,-79,-81,-83,-100,-100,-85,-86,-83,-88,-84,-100,-100,-100,-81,-74,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-81,-81,-85,-100,-100,-84,-81,-100,-100,-100,-80,-84,-80,-80,-84,-100,-81,-81,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-58,-71,-100,-66,-66,-58,-58,-81,-59,-59,-100,-74,-84,-82,-84,-84,-82,-82,-71,-71,-79,-83,-79,-79,-82,-83,-84,-100,-100,-100,-85,-100,-85,-82,-82,-74,-74,-74,-86,-100,-86,-86,-82,-82,-83,-100,-100,-100,-100,-78,-100,-59,-75,-82,-84,-71,-80,-79,-82,-83,-100,-100,-86,-85,-83,-88,-82,-100,-100,-100,-81,-74,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-85,-100,-100,-85,-80,-100,-100,-100,-80,-84,-80,-80,-84,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-55,-71,-100,-67,-100,-54,-54,-77,-53,-53,-68,-74,-84,-82,-84,-84,-82,-82,-71,-71,-100,-100,-79,-77,-83,-76,-76,-100,-100,-100,-85,-100,-85,-82,-100,-74,-75,-74,-85,-100,-84,-83,-82,-82,-83,-100,-100,-100,-100,-74,-100,-52,-68,-82,-84,-71,-100,-100,-82,-76,-100,-100,-87,-85,-100,-100,-82,-100,-100,-100,-100,-79,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-81,-100,-100,-82,-80,-100,-100,-100,-82,-81,-80,-80,-81,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
