60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,38:17:c3:24:47:51,38:17:c3:24:47:52,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,44:48:c1:91:d0:04,44:48:c1:91:95:b1,38:17:c3:1f:09:82,44:48:c1:91:95:a3,38:17:c3:1f:09:83,a8:bd:27:4c:aa:92,38:17:c3:19:45:b1,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:93,44:48:c1:91:95:b3,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,38:17:c3:24:47:50,b4:5d:50:e1:96:50,38:17:c3:1f:14:00,20:a6:cd:42:0a:c2,38:17:c3:1f:09:80,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:90,72:32:b1:3e:1a:b8,38:17:c3:1f:14:01,38:17:c3:1f:14:02,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:01,b4:5d:50:e1:96:40,38:17:c3:19:45:a0,38:17:c3:19:45:a2,38:17:c3:1f:09:81,38:17:c3:1f:00:a2,44:48:c1:91:d0:02,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:09:93,38:17:c3:1f:09:92,44:48:c1:91:95:b0,38:17:c3:1f:09:90,38:17:c3:1f:14:10,9c:d6:43:60:92:e0,44:48:c1:91:95:b2,38:17:c3:1f:09:91,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,44:48:c1:91:95:a0,38:17:c3:19:45:a1,a8:bd:27:4c:aa:80,72:32:b1:3e:1a:b7,44:48:c1:91:d0:00,20:a6:cd:42:13:e1,38:17:c3:19:36:30,38:17:c3:22:61:90,44:48:c1:91:95:a1,20:a6:cd:42:13:e2,44:48:c1:91:95:a2,20:a6:cd:42:13:e0,66:2a:2f:53:7c:99,38:17:c3:19:36:32,20:a6:cd:42:0b:e3,38:17:c3:1f:19:c2,38:17:c3:19:d7:70,20:a6:cd:42:13:f0,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:f3,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,b0:be:76:f8:30:5e,80:8d:b7:55:35:13,68:ff:7b:e4:af:39,80:8d:b7:55:35:10,80:8d:b7:55:35:01,80:8d:b7:55:25:e0,80:8d:b7:55:35:00,80:8d:b7:55:25:e1,80:8d:b7:55:35:02,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,80:8d:b7:55:39:c0,38:17:c3:19:71:91,38:17:c3:19:71:90,80:8d:b7:55:39:d0,ea:9e:b4:53:24:54,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:71:92,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,38:17:c3:19:71:81,20:a6:cd:50:24:a1,38:17:c3:19:71:82,38:17:c3:19:71:80,80:8d:b7:55:29:d0,68:ff:7b:e4:af:38,38:17:c3:19:36:31,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:c0,80:8d:b7:55:39:d2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:39:d1,38:17:c3:1f:22:30,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:50:24:b0,00:4e:35:df:06:41,38:17:c3:1f:22:32,00:4e:35:de:e1:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:22:22,38:17:c3:1f:22:31,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:e1:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:4d:02,38:17:c3:1f:0e:01,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,x,y,timestamp
-77,-55,-55,-77,-64,-100,-83,-100,-91,-88,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-84,-86,-87,-77,-85,-100,-87,-86,-100,-100,-54,-64,-84,-91,-91,-100,-79,-86,-87,-88,-100,-86,-73,-79,-79,-100,-100,-87,-87,-100,-100,-86,-86,-86,-65,-100,-76,-76,-84,-84,-100,-84,-77,-91,-100,-85,-82,-83,-100,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-85,-100,-100,-100,-100,-79,-89,-88,-88,-100,-100,-91,-100,-90,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,108,616,945094192868
-74,-52,-51,-79,-59,-100,-86,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-83,-100,-84,-85,-87,-79,-85,-100,-86,-85,-100,-100,-51,-59,-100,-100,-89,-100,-100,-100,-83,-88,-100,-85,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-83,-82,-59,-100,-75,-75,-84,-85,-100,-85,-75,-100,-100,-84,-83,-81,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-86,-86,-85,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,984595235978
-76,-52,-52,-76,-59,-100,-87,-100,-92,-100,-100,-100,-79,-100,-100,-100,-100,-91,-90,-100,-77,-100,-84,-85,-84,-83,-85,-100,-84,-84,-100,-100,-51,-59,-89,-92,-89,-90,-83,-88,-82,-85,-100,-84,-81,-84,-83,-100,-100,-100,-100,-100,-100,-83,-82,-82,-60,-100,-76,-76,-84,-85,-100,-84,-76,-100,-100,-84,-83,-83,-100,-83,-83,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-89,-100,-100,-79,-85,-84,-85,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,988876068007
-78,-55,-55,-79,-60,-86,-85,-86,-91,-100,-100,-89,-79,-100,-100,-100,-100,-90,-89,-100,-83,-100,-83,-88,-86,-81,-87,-100,-85,-84,-100,-100,-55,-60,-84,-91,-100,-92,-83,-88,-83,-85,-100,-89,-76,-84,-83,-100,-100,-88,-86,-100,-100,-83,-84,-84,-60,-100,-77,-77,-100,-100,-100,-84,-77,-100,-100,-100,-83,-83,-100,-84,-83,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-100,-100,-79,-85,-84,-85,-100,-100,-100,-100,-90,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,993181618110
-78,-55,-55,-55,-59,-86,-85,-86,-91,-100,-100,-89,-87,-100,-100,-100,-100,-90,-89,-100,-83,-100,-85,-88,-85,-82,-90,-100,-86,-100,-100,-100,-54,-59,-85,-90,-100,-92,-100,-87,-84,-85,-100,-89,-80,-86,-85,-100,-100,-88,-86,-100,-100,-83,-86,-83,-59,-100,-77,-77,-84,-87,-100,-86,-77,-89,-100,-85,-83,-83,-100,-84,-85,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-88,-100,-89,-100,-100,-82,-88,-85,-87,-100,-100,-89,-100,-88,-85,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,997572770608
-77,-54,-54,-78,-59,-87,-85,-85,-88,-100,-90,-100,-85,-100,-100,-100,-100,-100,-100,-100,-81,-100,-86,-100,-85,-82,-90,-100,-85,-100,-100,-100,-53,-59,-86,-89,-100,-93,-84,-84,-82,-85,-100,-100,-78,-84,-83,-100,-100,-84,-100,-100,-100,-100,-86,-82,-59,-100,-77,-77,-85,-85,-100,-85,-77,-89,-100,-85,-83,-83,-100,-84,-84,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-88,-100,-100,-100,-100,-78,-87,-87,-86,-100,-100,-87,-100,-88,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,1002054146961
-77,-53,-53,-75,-58,-87,-85,-85,-90,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-84,-100,-86,-100,-85,-83,-90,-100,-85,-100,-100,-100,-53,-59,-86,-90,-100,-93,-85,-84,-84,-86,-100,-100,-79,-80,-83,-100,-100,-84,-100,-100,-100,-100,-100,-84,-59,-100,-77,-77,-85,-86,-100,-87,-77,-100,-100,-86,-83,-83,-100,-84,-83,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-89,-100,-100,-84,-87,-87,-87,-100,-100,-87,-89,-87,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,128,616,1006438912011
-76,-49,-50,-100,-55,-86,-86,-86,-88,-90,-90,-90,-75,-100,-100,-100,-100,-100,-100,-100,-87,-100,-86,-86,-83,-85,-86,-100,-83,-84,-100,-100,-49,-55,-85,-90,-91,-100,-100,-86,-86,-84,-100,-85,-76,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-55,-100,-74,-74,-100,-100,-100,-100,-75,-95,-100,-100,-85,-85,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-87,-100,-100,-100,-100,-80,-79,-80,-79,-100,-100,-89,-100,-87,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1041862337050
-77,-49,-49,-74,-54,-86,-88,-86,-92,-91,-90,-90,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-86,-84,-83,-86,-100,-84,-84,-100,-100,-49,-54,-88,-93,-91,-100,-100,-88,-86,-85,-100,-86,-81,-100,-100,-100,-100,-89,-100,-100,-100,-81,-81,-88,-54,-100,-75,-75,-100,-100,-100,-100,-75,-95,-100,-100,-82,-85,-100,-80,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-87,-100,-100,-100,-100,-78,-79,-80,-79,-100,-100,-87,-100,-88,-100,-88,-87,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1046026154548
-76,-50,-50,-78,-55,-100,-86,-100,-89,-88,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-75,-87,-85,-86,-86,-100,-85,-85,-100,-100,-49,-55,-88,-89,-100,-100,-78,-88,-88,-85,-100,-86,-79,-78,-78,-100,-100,-89,-100,-100,-100,-83,-82,-86,-55,-100,-74,-74,-100,-100,-100,-100,-74,-95,-100,-100,-82,-85,-100,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-86,-100,-87,-100,-88,-77,-78,-78,-79,-100,-100,-87,-100,-88,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1050358638244
-77,-49,-49,-76,-55,-86,-85,-100,-89,-88,-89,-91,-87,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-84,-83,-82,-84,-100,-83,-84,-100,-100,-49,-53,-86,-90,-100,-100,-80,-89,-88,-83,-100,-84,-77,-81,-80,-100,-100,-89,-87,-100,-100,-84,-84,-86,-55,-100,-75,-75,-100,-100,-100,-100,-75,-95,-100,-100,-84,-83,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-86,-100,-87,-100,-88,-79,-78,-78,-79,-88,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1054682851263
-79,-49,-49,-77,-56,-86,-87,-100,-89,-100,-100,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-83,-85,-86,-100,-83,-86,-100,-100,-49,-56,-86,-90,-100,-100,-80,-89,-100,-83,-100,-86,-77,-80,-80,-100,-100,-89,-87,-100,-100,-83,-83,-100,-56,-100,-75,-75,-100,-100,-100,-100,-75,-100,-100,-100,-83,-83,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-86,-100,-89,-88,-89,-77,-80,-80,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1059149386470
-78,-46,-46,-76,-54,-100,-87,-100,-100,-100,-100,-90,-88,-100,-100,-100,-100,-100,-89,-100,-100,-100,-88,-83,-84,-82,-83,-100,-84,-84,-100,-100,-44,-54,-100,-100,-100,-100,-80,-89,-100,-84,-100,-83,-76,-82,-82,-100,-100,-100,-88,-100,-100,-81,-80,-100,-54,-100,-78,-77,-100,-100,-100,-100,-77,-90,-100,-100,-84,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-85,-100,-89,-88,-89,-55,-80,-80,-100,-88,-100,-100,-89,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,148,616,1063451267041
-79,-44,-44,-58,-50,-86,-85,-86,-100,-100,-100,-91,-90,-100,-100,-100,-100,-100,-90,-100,-88,-100,-100,-84,-80,-87,-86,-100,-80,-86,-100,-100,-44,-50,-85,-100,-100,-100,-86,-100,-100,-80,-100,-86,-81,-86,-86,-100,-100,-100,-100,-100,-100,-81,-100,-87,-50,-100,-75,-75,-100,-100,-100,-100,-75,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-84,-84,-87,-85,-88,-100,-100,-86,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1098372228434
-79,-44,-44,-80,-51,-85,-85,-84,-100,-100,-100,-91,-88,-100,-100,-100,-100,-100,-90,-100,-88,-100,-89,-84,-81,-87,-86,-100,-82,-86,-100,-100,-44,-51,-86,-100,-100,-100,-85,-100,-100,-82,-100,-85,-80,-84,-85,-100,-100,-100,-100,-100,-100,-81,-100,-87,-51,-100,-75,-75,-100,-100,-100,-100,-75,-89,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-90,-100,-100,-75,-82,-83,-83,-85,-84,-88,-85,-87,-100,-100,-88,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1102488377183
-79,-44,-44,-81,-51,-85,-85,-84,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-81,-87,-100,-100,-81,-100,-100,-100,-43,-51,-86,-100,-100,-100,-85,-100,-100,-82,-100,-85,-78,-80,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-51,-100,-79,-79,-100,-100,-100,-100,-79,-100,-100,-100,-87,-87,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-90,-100,-100,-74,-82,-82,-82,-85,-85,-87,-84,-87,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1106806681764
-79,-45,-45,-82,-51,-86,-86,-86,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-86,-81,-87,-87,-100,-81,-86,-100,-100,-44,-51,-85,-100,-100,-100,-84,-100,-87,-81,-100,-87,-73,-84,-80,-100,-100,-100,-100,-100,-100,-80,-79,-87,-51,-100,-80,-80,-90,-100,-100,-100,-80,-100,-100,-100,-87,-87,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-90,-100,-100,-74,-82,-83,-82,-85,-86,-89,-84,-87,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1111013847752
-80,-43,-43,-84,-51,-86,-86,-86,-89,-100,-100,-100,-88,-100,-100,-100,-100,-93,-100,-100,-87,-100,-89,-87,-82,-88,-87,-100,-81,-88,-100,-100,-43,-51,-86,-88,-91,-93,-84,-100,-87,-82,-100,-87,-84,-84,-84,-100,-100,-100,-100,-100,-100,-80,-79,-87,-51,-100,-80,-80,-90,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-76,-82,-83,-100,-85,-86,-89,-84,-88,-100,-100,-88,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1115388897230
-81,-44,-43,-81,-50,-100,-86,-100,-89,-100,-100,-100,-88,-100,-100,-100,-100,-92,-100,-100,-100,-100,-88,-88,-81,-86,-87,-100,-81,-87,-100,-100,-43,-50,-86,-88,-91,-91,-100,-100,-100,-81,-100,-86,-84,-84,-84,-100,-100,-100,-100,-100,-100,-79,-100,-100,-50,-100,-77,-77,-88,-100,-100,-88,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-87,-100,-100,-100,-100,-77,-82,-82,-83,-100,-100,-87,-100,-87,-85,-100,-88,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,616,1119857797332
-83,-44,-43,-79,-47,-100,-88,-100,-100,-100,-100,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-82,-85,-100,-100,-82,-100,-100,-100,-42,-47,-100,-100,-100,-100,-83,-100,-100,-82,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-83,-84,-100,-47,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-84,-100,-100,-100,-100,-79,-82,-82,-82,-100,-100,-87,-100,-88,-86,-84,-87,-86,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,188,616,1167547241012
