bssid,ssid,capabilities,frequency
20:a6:cd:42:13:f1,csu-eid,[WPA2-EAP-CCMP][ESS],5825
38:17:c3:19:d7:71,csu-eid,[WPA2-EAP-CCMP][ESS],5785
38:17:c3:19:d7:70,csu-guest,[ESS],5785
38:17:c3:1f:09:82,eduroam,[WPA2-EAP-CCMP][ESS],2462
20:a6:cd:42:0b:e3,engr_labs,[WPA2-PSK-CCMP][ESS],2462
38:17:c3:1f:19:f0,csu-guest,[ESS],5765
38:17:c3:1f:19:f2,eduroam,[WPA2-EAP-CCMP][ESS],5765
38:17:c3:1f:19:f1,csu-eid,[WPA2-EAP-CCMP][ESS],5765
38:17:c3:1f:19:e2,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:19:e0,csu-guest,[ESS],2437
ac:e2:d3:c4:08:e6,DIRECT-DF-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][WPS][ESS],2437
38:17:c3:19:d7:62,eduroam,[WPA2-EAP-CCMP][ESS],2462
38:17:c3:19:d7:61,csu-eid,[WPA2-EAP-CCMP][ESS],2462
20:a6:cd:42:0b:e0,csu-guest,[ESS],2462
38:17:c3:19:d7:60,csu-guest,[ESS],2462
20:a6:cd:42:0b:e1,csu-eid,[WPA2-EAP-CCMP][ESS],2462
20:a6:cd:42:0b:e2,eduroam,[WPA2-EAP-CCMP][ESS],2462
38:17:c3:19:d7:72,eduroam,[WPA2-EAP-CCMP][ESS],5785
20:a6:cd:42:0b:f0,csu-guest,[ESS],5220
20:a6:cd:42:0b:f3,engr_labs,[WPA2-PSK-CCMP][ESS],5220
20:a6:cd:42:0b:f2,eduroam,[WPA2-EAP-CCMP][ESS],5220
20:a6:cd:42:0b:f1,csu-eid,[WPA2-EAP-CCMP][ESS],5220
80:8d:b7:55:25:e3,engr_labs,[WPA2-PSK-CCMP][ESS],2437
38:17:c3:19:36:30,csu-guest,[ESS],5745
80:8d:b7:55:25:f3,engr_labs,[WPA2-PSK-CCMP][ESS],5805
80:8d:b7:55:25:f0,csu-guest,[ESS],5805
80:8d:b7:55:35:03,engr_labs,[WPA2-PSK-CCMP][ESS],2462
80:8d:b7:55:25:f1,csu-eid,[WPA2-EAP-CCMP][ESS],5805
80:8d:b7:55:25:f2,eduroam,[WPA2-EAP-CCMP][ESS],5805
80:8d:b7:55:25:e2,eduroam,[WPA2-EAP-CCMP][ESS],2437
80:8d:b7:55:25:e1,csu-eid,[WPA2-EAP-CCMP][ESS],2437
80:8d:b7:55:25:e0,csu-guest,[ESS],2437
38:17:c3:1e:ff:10,csu-guest,[ESS],5825
80:8d:b7:55:3a:51,csu-eid,[WPA2-EAP-CCMP][ESS],5785
80:8d:b7:55:3a:52,eduroam,[WPA2-EAP-CCMP][ESS],5785
80:8d:b7:55:35:11,csu-eid,[WPA2-EAP-CCMP][ESS],5765
80:8d:b7:55:35:13,engr_labs,[WPA2-PSK-CCMP][ESS],5765
80:8d:b7:55:3a:50,csu-guest,[ESS],5785
80:8d:b7:55:35:10,csu-guest,[ESS],5765
80:8d:b7:55:35:12,eduroam,[WPA2-EAP-CCMP][ESS],5765
02:54:af:fe:54:11,Subaru Wi-Fi,[WPA2-PSK-CCMP+TKIP][ESS],2437
38:17:c3:1e:ff:12,eduroam,[WPA2-EAP-CCMP][ESS],5825
80:8d:b7:55:35:02,eduroam,[WPA2-EAP-CCMP][ESS],2462
80:8d:b7:55:35:01,csu-eid,[WPA2-EAP-CCMP][ESS],2462
80:8d:b7:55:35:00,csu-guest,[ESS],2462
80:8d:b7:55:39:d0,csu-guest,[ESS],5240
68:ff:7b:e4:af:39,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
b0:be:76:f8:30:5e,TP-Link_305E,[WPA2-PSK-CCMP][WPS][ESS][BLE],2417
80:8d:b7:55:3a:41,csu-eid,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:3a:42,eduroam,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:3a:40,csu-guest,[ESS],2412
