60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,60:32:b1:3e:1a:b8,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:d0:12,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:52,38:17:c3:1f:14:11,38:17:c3:1f:14:12,44:48:c1:91:d0:02,38:17:c3:1f:14:01,44:48:c1:91:95:b1,38:17:c3:19:45:b1,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:09:91,20:a6:cd:42:0a:c3,38:17:c3:1f:09:93,44:48:c1:91:95:b3,38:17:c3:1f:09:92,38:17:c3:19:45:b2,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,44:48:c1:91:95:a3,38:17:c3:1f:00:b0,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,38:17:c3:24:47:50,44:48:c1:91:95:b2,38:17:c3:1f:19:d0,44:48:c1:91:d0:00,44:48:c1:91:d0:01,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:93,b4:5d:50:e1:96:40,38:17:c3:19:45:b0,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:90,38:17:c3:1f:14:00,b4:5d:50:e1:96:41,44:48:c1:91:d0:04,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,44:48:c1:91:95:a1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,38:17:c3:1f:00:a0,44:48:c1:91:95:a2,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,38:17:c3:1f:14:02,9c:d6:43:60:92:e0,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:42,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:b0,38:17:c3:1f:19:c1,20:a6:cd:42:13:e2,38:17:c3:1f:09:90,20:a6:cd:42:0a:c2,a8:bd:27:4c:aa:81,44:48:c1:91:95:a0,38:17:c3:19:45:a1,38:17:c3:1a:cf:d0,00:4e:35:de:d7:43,38:17:c3:19:45:a0,20:a6:cd:42:13:e0,20:a6:cd:42:0b:e3,38:17:c3:19:45:a2,38:17:c3:19:36:30,38:17:c3:22:61:90,ac:e2:d3:c4:08:e6,44:48:c1:91:aa:30,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:d7:70,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,38:17:c3:19:d7:61,38:17:c3:19:d7:62,20:a6:cd:42:0b:f0,38:17:c3:19:d7:60,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:50,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:1e:ff:10,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:39:d0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:36:22,38:17:c3:19:36:21,ea:9e:b4:53:24:54,38:17:c3:19:36:20,38:17:c3:19:71:92,38:17:c3:19:71:80,38:17:c3:19:71:81,38:17:c3:1e:ff:00,80:8d:b7:55:29:d2,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,68:ff:7b:e4:af:38,80:8d:b7:55:29:d1,38:17:c3:1e:ff:02,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,00:4e:35:de:e1:12,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,00:4e:35:df:06:52,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,00:4e:35:df:06:50,38:17:c3:1f:22:30,38:17:c3:1f:22:31,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,00:4e:35:df:06:51,00:4e:35:de:e1:11,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,00:4e:35:df:06:40,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,x,y,timestamp
-72,-61,-61,-67,-78,-79,-78,-83,-84,-84,-85,-90,-76,-76,-83,-72,-100,-86,-89,-89,-100,-100,-100,-84,-88,-100,-87,-88,-100,-100,-86,-82,-100,-61,-78,-84,-89,-76,-89,-100,-100,-84,-83,-82,-100,-85,-89,-83,-100,-72,-85,-79,-89,-89,-100,-65,-65,-100,-100,-100,-65,-100,-100,-100,-72,-85,-100,-100,-86,-86,-100,-100,-100,-86,-86,-83,-100,-84,-100,-100,-85,-100,-89,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,123,618,1154620332839
-72,-61,-61,-71,-78,-78,-78,-83,-86,-86,-86,-90,-76,-76,-83,-74,-100,-87,-89,-89,-90,-100,-100,-85,-88,-100,-100,-88,-100,-100,-85,-81,-100,-61,-79,-86,-89,-76,-89,-100,-100,-84,-83,-83,-100,-100,-88,-82,-100,-72,-100,-82,-100,-100,-100,-66,-66,-100,-100,-100,-65,-100,-100,-100,-72,-86,-75,-100,-86,-86,-100,-100,-100,-88,-100,-82,-100,-85,-100,-100,-86,-100,-89,-85,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,123,618,1158995181744
-72,-60,-60,-65,-79,-84,-78,-72,-86,-86,-85,-90,-77,-77,-82,-72,-100,-87,-89,-90,-90,-100,-100,-85,-89,-100,-100,-88,-100,-100,-87,-82,-100,-60,-78,-86,-90,-77,-100,-100,-100,-83,-82,-83,-88,-100,-88,-82,-90,-72,-100,-81,-100,-100,-100,-65,-65,-100,-100,-100,-65,-100,-100,-72,-73,-87,-75,-100,-86,-85,-100,-100,-100,-87,-87,-83,-100,-84,-100,-100,-84,-100,-100,-84,-100,-100,-82,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,123,618,1163345449815
-71,-60,-60,-75,-79,-79,-78,-84,-84,-84,-85,-91,-76,-76,-82,-71,-100,-88,-89,-90,-100,-100,-100,-85,-89,-100,-100,-86,-100,-100,-87,-82,-100,-59,-79,-84,-90,-77,-90,-100,-100,-83,-82,-83,-88,-100,-87,-83,-90,-72,-100,-81,-100,-100,-100,-65,-65,-100,-100,-100,-65,-100,-100,-72,-72,-85,-76,-100,-87,-87,-100,-100,-100,-87,-87,-82,-100,-84,-100,-100,-85,-100,-100,-84,-100,-100,-81,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,123,618,1167726313355
-72,-61,-61,-68,-78,-78,-78,-85,-85,-85,-85,-89,-77,-77,-81,-72,-100,-87,-88,-90,-100,-100,-100,-84,-100,-100,-100,-87,-100,-100,-86,-68,-100,-61,-79,-86,-89,-77,-90,-100,-100,-83,-84,-69,-100,-100,-87,-69,-100,-72,-100,-79,-88,-89,-100,-65,-65,-100,-100,-100,-65,-100,-100,-100,-72,-87,-72,-100,-87,-87,-100,-100,-100,-100,-86,-69,-100,-85,-100,-100,-84,-100,-91,-84,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,123,618,1172112205958
-72,-62,-62,-72,-79,-79,-79,-86,-88,-100,-100,-88,-76,-76,-100,-75,-100,-88,-88,-88,-87,-87,-100,-87,-86,-100,-100,-87,-100,-100,-90,-81,-100,-62,-80,-89,-89,-76,-87,-100,-100,-100,-100,-81,-88,-100,-87,-82,-87,-75,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-63,-100,-100,-100,-75,-87,-100,-100,-100,-85,-100,-100,-100,-87,-87,-82,-100,-86,-100,-100,-86,-100,-82,-87,-100,-100,-79,-100,-100,-100,-100,-100,-100,-91,-87,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1221291931043
-75,-62,-62,-76,-80,-79,-79,-86,-88,-89,-88,-88,-73,-73,-86,-75,-100,-84,-89,-89,-88,-86,-100,-86,-86,-100,-100,-84,-100,-100,-90,-80,-90,-62,-80,-89,-90,-73,-87,-100,-100,-100,-100,-82,-88,-100,-85,-82,-87,-76,-100,-86,-100,-100,-100,-63,-64,-100,-100,-100,-63,-100,-100,-75,-76,-87,-100,-100,-100,-89,-100,-100,-100,-87,-87,-82,-100,-86,-100,-100,-86,-100,-82,-87,-100,-100,-79,-100,-100,-100,-100,-87,-100,-91,-87,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1225551520729
-74,-64,-64,-78,-80,-81,-80,-100,-87,-89,-88,-90,-73,-73,-86,-75,-100,-84,-89,-89,-86,-87,-100,-85,-100,-100,-100,-84,-100,-100,-91,-80,-89,-64,-80,-88,-89,-73,-87,-100,-100,-85,-87,-83,-88,-100,-84,-81,-88,-75,-100,-90,-100,-100,-100,-64,-64,-100,-87,-100,-63,-100,-100,-75,-76,-100,-75,-100,-100,-89,-100,-100,-100,-88,-87,-81,-100,-89,-100,-100,-100,-100,-89,-100,-100,-100,-87,-100,-100,-100,-100,-87,-100,-91,-87,-87,-92,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1229887776613
-74,-64,-64,-68,-81,-80,-80,-63,-88,-88,-89,-90,-73,-73,-87,-75,-100,-85,-89,-89,-88,-87,-100,-85,-84,-100,-85,-84,-100,-100,-89,-81,-91,-64,-81,-88,-89,-73,-87,-100,-100,-89,-88,-83,-88,-100,-85,-81,-88,-75,-100,-89,-100,-100,-100,-63,-63,-100,-87,-100,-63,-100,-100,-75,-75,-86,-75,-100,-100,-100,-100,-100,-100,-85,-100,-82,-100,-89,-100,-100,-87,-100,-84,-87,-100,-100,-78,-100,-100,-100,-100,-100,-100,-91,-87,-87,-92,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1234401830100
-74,-62,-62,-71,-79,-79,-80,-63,-88,-89,-89,-88,-73,-73,-86,-75,-100,-86,-89,-89,-86,-87,-100,-86,-86,-100,-85,-85,-100,-100,-89,-82,-91,-62,-80,-88,-89,-73,-86,-100,-100,-87,-87,-82,-86,-100,-84,-82,-88,-75,-100,-89,-100,-100,-100,-63,-63,-100,-87,-100,-63,-100,-100,-74,-75,-86,-72,-100,-100,-100,-100,-100,-100,-86,-100,-82,-100,-100,-100,-100,-87,-100,-84,-87,-100,-100,-78,-100,-100,-100,-100,-90,-100,-91,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1238776311453
-76,-67,-67,-71,-80,-80,-81,-87,-88,-89,-89,-89,-73,-73,-86,-100,-100,-87,-90,-89,-88,-88,-100,-86,-85,-100,-100,-86,-100,-100,-90,-83,-91,-66,-80,-88,-88,-73,-88,-100,-100,-87,-87,-82,-86,-100,-86,-83,-88,-75,-100,-100,-100,-100,-100,-64,-64,-100,-87,-100,-63,-100,-100,-74,-75,-86,-73,-100,-87,-100,-100,-100,-100,-86,-100,-83,-100,-87,-100,-100,-100,-100,-85,-87,-100,-100,-78,-100,-100,-100,-100,-90,-100,-89,-88,-87,-90,-100,-89,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,138,618,1243190967493
-80,-55,-55,-74,-84,-84,-84,-100,-100,-100,-100,-100,-76,-77,-100,-76,-100,-84,-100,-100,-100,-100,-100,-86,-100,-100,-100,-83,-100,-100,-100,-83,-100,-54,-84,-100,-100,-76,-100,-100,-100,-100,-100,-100,-88,-100,-83,-81,-88,-77,-100,-100,-100,-100,-100,-59,-59,-100,-86,-88,-60,-100,-100,-100,-76,-92,-75,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-80,-100,-100,-83,-100,-100,-81,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1290415331381
-80,-54,-54,-71,-83,-84,-84,-91,-91,-100,-100,-100,-76,-76,-100,-76,-100,-84,-100,-100,-100,-100,-100,-88,-85,-100,-100,-84,-100,-100,-88,-83,-100,-54,-85,-89,-100,-76,-100,-100,-100,-100,-100,-81,-88,-100,-84,-82,-88,-77,-100,-91,-86,-86,-87,-60,-60,-100,-86,-88,-60,-100,-100,-100,-76,-91,-75,-100,-100,-100,-100,-100,-100,-89,-100,-81,-100,-84,-100,-100,-79,-100,-87,-84,-100,-100,-84,-100,-90,-100,-100,-88,-87,-100,-100,-100,-100,-88,-100,-100,-85,-87,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1294412162057
-84,-55,-55,-75,-84,-85,-84,-91,-89,-100,-100,-100,-77,-78,-100,-77,-100,-85,-100,-100,-100,-100,-100,-88,-86,-100,-100,-85,-100,-100,-88,-84,-100,-54,-83,-91,-100,-78,-100,-100,-100,-100,-100,-82,-88,-100,-84,-83,-88,-76,-100,-91,-87,-87,-87,-61,-61,-100,-100,-100,-61,-100,-100,-100,-77,-91,-100,-100,-87,-88,-100,-100,-100,-89,-87,-81,-100,-83,-100,-100,-83,-100,-84,-82,-100,-100,-82,-100,-90,-100,-100,-88,-100,-88,-89,-100,-91,-88,-100,-100,-84,-100,-94,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1298805904191
-81,-54,-55,-72,-83,-83,-84,-90,-92,-100,-100,-100,-78,-77,-100,-77,-100,-84,-100,-100,-100,-100,-100,-87,-88,-100,-100,-84,-100,-100,-88,-83,-100,-54,-83,-91,-100,-78,-100,-100,-100,-100,-100,-81,-88,-100,-85,-81,-88,-77,-100,-100,-88,-87,-86,-61,-61,-100,-100,-100,-61,-100,-100,-100,-77,-100,-79,-100,-87,-86,-100,-100,-100,-100,-87,-81,-100,-82,-100,-100,-83,-100,-85,-82,-100,-100,-76,-100,-100,-100,-100,-100,-100,-89,-89,-100,-89,-100,-100,-100,-85,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1303268735699
-80,-55,-55,-74,-74,-83,-84,-90,-91,-100,-100,-100,-77,-77,-100,-77,-100,-84,-93,-100,-100,-100,-100,-89,-87,-100,-100,-84,-100,-100,-88,-84,-100,-54,-84,-90,-92,-77,-100,-100,-100,-100,-100,-81,-88,-100,-85,-82,-87,-77,-100,-100,-88,-89,-89,-61,-61,-100,-100,-100,-61,-100,-100,-100,-77,-92,-73,-100,-87,-86,-100,-100,-100,-100,-100,-82,-100,-84,-100,-100,-84,-100,-85,-83,-100,-100,-81,-100,-100,-100,-100,-100,-100,-89,-89,-100,-90,-100,-100,-89,-85,-100,-92,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1307581500177
-81,-54,-55,-71,-83,-100,-100,-100,-92,-100,-100,-100,-77,-77,-100,-77,-100,-83,-93,-100,-100,-100,-100,-88,-88,-100,-100,-84,-100,-100,-89,-85,-100,-54,-84,-91,-92,-78,-100,-100,-100,-100,-100,-82,-91,-100,-84,-83,-90,-76,-100,-100,-100,-89,-87,-61,-61,-100,-100,-100,-61,-100,-100,-100,-76,-95,-78,-100,-87,-100,-100,-100,-100,-100,-89,-82,-100,-83,-100,-100,-84,-100,-86,-83,-100,-100,-85,-100,-100,-100,-100,-100,-100,-88,-100,-100,-90,-100,-100,-89,-86,-100,-92,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,153,618,1312040772102
-79,-56,-56,-72,-88,-100,-100,-100,-100,-100,-100,-100,-77,-77,-100,-78,-100,-87,-100,-100,-100,-100,-100,-84,-100,-100,-100,-88,-100,-100,-100,-84,-100,-52,-89,-100,-100,-78,-100,-100,-100,-100,-100,-100,-87,-100,-88,-100,-87,-79,-100,-100,-100,-100,-100,-59,-60,-100,-100,-100,-59,-100,-100,-100,-79,-92,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-83,-100,-83,-82,-100,-100,-81,-100,-100,-100,-100,-83,-100,-89,-100,-100,-91,-100,-100,-100,-80,-82,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,618,1357469538335
-80,-55,-56,-72,-88,-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-78,-100,-87,-92,-100,-100,-100,-83,-85,-83,-100,-83,-87,-100,-100,-88,-84,-100,-55,-89,-100,-92,-72,-100,-100,-100,-100,-100,-84,-87,-100,-87,-84,-87,-80,-100,-100,-100,-100,-100,-62,-62,-100,-100,-100,-61,-100,-100,-79,-79,-92,-74,-100,-87,-88,-100,-100,-100,-84,-86,-83,-100,-82,-100,-100,-82,-100,-84,-82,-100,-100,-82,-100,-100,-100,-100,-82,-81,-88,-100,-100,-92,-100,-100,-100,-80,-81,-100,-80,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,168,618,1361654580364
