b0:be:76:f8:30:5e,44:48:c1:a5:82:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,00:4e:35:df:06:51,00:4e:35:df:06:50,ea:9e:b4:53:24:54,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:25:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f0,80:8d:b7:55:39:d0,00:4e:35:df:06:52,80:8d:b7:55:35:10,38:17:c3:19:d7:70,44:48:c1:a5:82:21,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:71:90,44:48:c1:a5:82:22,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:23,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:39:c2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:19:45:b1,20:a6:cd:50:24:b1,b4:5d:50:e1:92:33,b4:5d:50:e1:92:22,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:1e:ff:10,44:48:c1:a5:82:20,20:a6:cd:50:24:b0,b4:5d:50:e1:92:21,b8:27:eb:9f:6b:77,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:35:02,38:17:c3:19:d7:62,38:17:c3:19:d7:61,60:32:b1:3e:1a:b7,38:17:c3:1f:01:81,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,38:17:c3:19:55:52,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:19:45:a0,38:17:c3:19:55:50,66:2a:2f:53:7c:99,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:39:c1,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1f:01:82,68:ff:7b:e4:af:38,20:a6:cd:50:24:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,38:17:c3:1f:01:80,b4:5d:50:e1:92:31,00:4e:35:df:06:42,b4:5d:50:e1:96:43,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,00:4e:35:df:06:41,b4:5d:50:e1:92:20,38:17:c3:1f:09:83,72:32:b1:3e:1a:b7,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,38:17:c3:19:55:42,38:17:c3:19:55:41,b4:5d:50:e1:92:32,38:17:c3:19:55:40,00:4e:35:df:06:40,00:4e:35:de:e1:12,38:17:c3:1f:22:30,00:4e:35:de:e1:10,00:4e:35:de:e1:00,00:4e:35:de:e1:11,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,44:48:c1:91:95:b3,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:50,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,3e:33:00:4a:90:c1,00:4e:35:de:d7:52,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:53,00:4e:35:de:d7:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1f:22:22,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,38:17:c3:19:36:31,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:19:71:81,38:17:c3:1e:fc:a0,38:17:c3:19:71:82,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,00:4e:35:df:27:01,38:17:c3:24:58:a0,00:4e:35:df:27:00,38:17:c3:24:4f:01,00:4e:35:df:27:02,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:a1,00:4e:35:de:d7:41,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,timestamp
-71,-68,-80,-80,-80,-64,-64,-73,-73,-64,-68,-68,-68,-68,-78,-80,-81,-80,-64,-73,-69,-82,-64,-71,-71,-70,-100,-100,-63,-68,-100,-100,-88,-81,-67,-75,-75,-79,-79,-61,-100,-86,-100,-100,-100,-85,-81,-82,-75,-80,-85,-63,-87,-100,-44,-72,-74,-72,-81,-80,-86,-85,-100,-100,-100,-81,-81,-92,-72,-81,-91,-100,-100,-88,-67,-67,-61,-73,-72,-100,-100,-84,-100,-70,-61,-73,-100,-82,-80,-100,-100,-100,-80,-100,-100,-85,-100,-88,-84,-84,-82,-85,-80,-83,-100,-84,-87,-85,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,468,1723227124133
-72,-69,-81,-80,-81,-66,-66,-74,-73,-69,-69,-69,-68,-68,-78,-81,-81,-81,-66,-74,-68,-81,-62,-71,-72,-71,-81,-100,-64,-68,-81,-81,-83,-82,-67,-75,-75,-80,-80,-61,-86,-86,-100,-100,-100,-85,-82,-83,-75,-80,-86,-63,-85,-83,-43,-72,-74,-72,-81,-80,-100,-85,-100,-100,-100,-80,-80,-92,-72,-81,-100,-100,-81,-90,-67,-67,-61,-73,-73,-100,-100,-85,-100,-70,-61,-73,-100,-82,-79,-100,-100,-100,-81,-84,-100,-86,-100,-100,-100,-100,-82,-100,-81,-84,-100,-85,-87,-85,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,468,1727956081891
-63,-69,-80,-79,-81,-64,-64,-74,-74,-68,-69,-68,-68,-68,-81,-81,-82,-81,-64,-74,-68,-81,-63,-69,-70,-70,-81,-100,-63,-68,-81,-81,-78,-83,-68,-75,-75,-80,-80,-60,-86,-86,-100,-100,-100,-86,-82,-83,-75,-80,-86,-63,-86,-83,-43,-73,-74,-71,-80,-79,-86,-84,-100,-100,-100,-81,-81,-100,-71,-81,-100,-100,-81,-87,-68,-67,-61,-73,-73,-100,-100,-86,-100,-100,-60,-73,-100,-82,-82,-100,-100,-100,-81,-84,-100,-86,-100,-100,-100,-100,-82,-100,-76,-89,-100,-85,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,468,1732642372463
-71,-69,-80,-81,-80,-64,-64,-73,-73,-68,-68,-68,-68,-68,-81,-81,-82,-80,-64,-73,-68,-81,-64,-70,-70,-70,-100,-100,-62,-68,-81,-100,-83,-81,-68,-75,-75,-79,-80,-61,-100,-100,-100,-100,-100,-86,-82,-83,-75,-80,-86,-64,-86,-83,-44,-72,-71,-72,-81,-69,-86,-85,-100,-100,-100,-81,-81,-100,-72,-81,-100,-100,-81,-89,-68,-68,-61,-73,-74,-100,-100,-86,-100,-89,-61,-73,-100,-100,-80,-100,-100,-100,-80,-84,-100,-100,-100,-100,-100,-100,-100,-100,-81,-84,-100,-85,-89,-85,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,468,1737356686888
-71,-69,-80,-81,-80,-64,-64,-73,-73,-66,-68,-69,-68,-68,-76,-81,-81,-79,-64,-73,-68,-81,-63,-70,-70,-70,-81,-100,-63,-68,-81,-82,-85,-78,-67,-75,-75,-79,-80,-61,-87,-86,-100,-100,-100,-85,-82,-76,-75,-80,-87,-63,-85,-77,-42,-72,-75,-72,-80,-79,-87,-85,-100,-100,-100,-80,-80,-100,-72,-81,-100,-100,-81,-91,-68,-68,-61,-73,-73,-100,-100,-86,-88,-89,-61,-73,-100,-100,-81,-100,-100,-100,-81,-83,-100,-100,-100,-100,-85,-86,-100,-84,-81,-83,-100,-82,-100,-83,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,468,1741948434126
-71,-67,-76,-76,-76,-59,-59,-79,-100,-60,-67,-67,-69,-69,-78,-81,-81,-76,-60,-79,-69,-81,-58,-67,-67,-67,-100,-100,-58,-68,-100,-79,-82,-82,-64,-72,-72,-100,-100,-64,-86,-87,-100,-100,-100,-85,-81,-80,-72,-100,-87,-59,-85,-80,-36,-73,-74,-73,-87,-88,-84,-100,-100,-100,-100,-100,-100,-93,-100,-88,-100,-100,-100,-88,-64,-64,-64,-69,-69,-87,-100,-85,-100,-100,-64,-69,-89,-81,-100,-100,-100,-100,-100,-81,-100,-84,-100,-100,-86,-100,-81,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1789426469785
-70,-67,-76,-76,-76,-59,-59,-80,-100,-62,-67,-67,-69,-69,-75,-81,-81,-76,-59,-81,-69,-81,-58,-66,-67,-66,-100,-100,-58,-69,-100,-79,-84,-81,-64,-72,-73,-85,-85,-63,-85,-87,-100,-100,-100,-88,-81,-80,-72,-85,-87,-58,-87,-80,-36,-72,-73,-72,-87,-88,-84,-100,-100,-100,-100,-100,-100,-93,-72,-86,-100,-100,-100,-89,-64,-64,-63,-69,-69,-87,-100,-88,-100,-85,-63,-69,-89,-81,-79,-100,-86,-85,-100,-80,-100,-85,-100,-86,-86,-100,-80,-100,-100,-85,-100,-100,-85,-86,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-87,-86,-100,-100,-89,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1794004515408
-70,-66,-77,-76,-76,-59,-59,-81,-80,-63,-66,-66,-69,-69,-79,-81,-82,-77,-59,-81,-69,-81,-58,-67,-67,-67,-78,-100,-58,-70,-100,-100,-88,-83,-64,-72,-72,-85,-85,-63,-85,-100,-100,-100,-100,-88,-80,-81,-72,-85,-87,-58,-88,-81,-36,-73,-74,-72,-87,-100,-85,-100,-100,-100,-100,-84,-84,-100,-72,-86,-94,-100,-85,-86,-64,-64,-63,-69,-69,-87,-100,-87,-85,-85,-63,-69,-100,-81,-80,-100,-86,-85,-100,-81,-100,-85,-100,-86,-100,-86,-80,-100,-100,-84,-100,-100,-84,-84,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-87,-86,-100,-100,-90,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1798753343844
-72,-67,-76,-76,-76,-59,-59,-81,-80,-63,-66,-67,-70,-69,-79,-81,-81,-76,-59,-80,-70,-81,-58,-67,-67,-67,-78,-100,-58,-69,-100,-100,-88,-82,-64,-72,-72,-85,-85,-62,-86,-85,-100,-100,-100,-86,-81,-81,-72,-85,-86,-58,-87,-81,-35,-73,-75,-72,-87,-100,-85,-100,-100,-100,-100,-84,-84,-100,-73,-100,-94,-100,-85,-87,-64,-64,-62,-69,-69,-100,-100,-86,-85,-85,-62,-100,-100,-81,-80,-100,-86,-100,-79,-81,-100,-84,-100,-100,-100,-86,-81,-100,-80,-87,-100,-100,-84,-84,-100,-100,-100,-100,-100,-88,-84,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-86,-86,-100,-100,-88,-86,-86,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1803499119675
-70,-68,-75,-75,-75,-60,-60,-81,-81,-63,-68,-68,-70,-70,-100,-81,-81,-76,-60,-81,-70,-82,-58,-67,-67,-67,-80,-100,-58,-70,-100,-100,-100,-82,-64,-100,-100,-85,-86,-64,-85,-86,-100,-100,-100,-87,-81,-80,-100,-82,-86,-58,-88,-79,-35,-72,-76,-72,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-88,-64,-64,-63,-70,-70,-100,-100,-86,-86,-89,-69,-69,-100,-81,-80,-100,-100,-100,-79,-81,-100,-84,-100,-100,-100,-100,-81,-100,-80,-85,-100,-85,-100,-85,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-86,-86,-100,-100,-88,-86,-86,-83,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1808104250611
-71,-68,-76,-76,-76,-60,-59,-81,-81,-60,-68,-68,-70,-69,-78,-81,-81,-76,-60,-80,-70,-82,-58,-67,-67,-67,-79,-100,-58,-69,-78,-100,-82,-82,-64,-73,-73,-85,-85,-63,-86,-87,-100,-100,-100,-87,-100,-80,-73,-85,-86,-58,-89,-79,-35,-72,-75,-73,-100,-100,-85,-86,-100,-100,-100,-84,-85,-91,-72,-87,-92,-100,-84,-89,-64,-64,-63,-70,-69,-100,-100,-87,-85,-89,-63,-59,-100,-100,-80,-100,-100,-100,-79,-81,-100,-84,-100,-87,-100,-100,-100,-100,-80,-84,-100,-85,-83,-85,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-84,-83,-84,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,449,1812684056547
-64,-64,-81,-81,-81,-62,-62,-75,-100,-65,-63,-63,-73,-72,-100,-83,-83,-81,-62,-75,-73,-83,-64,-100,-100,-100,-82,-100,-64,-73,-100,-100,-87,-80,-65,-73,-72,-100,-100,-58,-88,-88,-100,-100,-100,-100,-83,-80,-73,-100,-88,-64,-88,-80,-42,-100,-71,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-85,-64,-64,-59,-67,-67,-100,-100,-90,-91,-100,-58,-66,-100,-84,-80,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-83,-100,-100,-81,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1849895626272
-65,-64,-80,-80,-80,-65,-65,-76,-76,-65,-63,-63,-72,-73,-100,-83,-83,-80,-66,-76,-73,-85,-62,-66,-67,-67,-82,-100,-62,-73,-100,-100,-87,-78,-64,-74,-72,-100,-100,-58,-88,-86,-100,-100,-100,-100,-83,-78,-73,-100,-88,-63,-88,-79,-42,-78,-71,-77,-100,-100,-85,-87,-100,-100,-100,-81,-81,-100,-78,-84,-100,-100,-81,-89,-64,-64,-58,-65,-67,-100,-100,-90,-91,-100,-58,-68,-100,-84,-80,-100,-100,-100,-80,-79,-100,-100,-100,-100,-84,-100,-83,-100,-78,-81,-100,-83,-100,-81,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1854304396479
-64,-64,-80,-81,-78,-64,-64,-75,-75,-65,-64,-64,-72,-72,-76,-83,-83,-80,-64,-74,-72,-83,-63,-66,-66,-67,-100,-100,-63,-72,-100,-100,-84,-79,-65,-74,-100,-82,-83,-58,-100,-86,-100,-100,-100,-100,-83,-79,-100,-83,-88,-63,-100,-79,-43,-78,-77,-78,-85,-100,-86,-87,-100,-100,-100,-82,-82,-100,-100,-84,-100,-100,-82,-86,-66,-66,-58,-67,-67,-89,-100,-100,-92,-100,-58,-67,-89,-83,-80,-100,-100,-100,-80,-79,-100,-100,-100,-100,-84,-100,-100,-100,-80,-87,-100,-86,-100,-84,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1858967938300
-62,-64,-81,-81,-81,-64,-64,-74,-74,-65,-63,-63,-72,-72,-81,-82,-82,-81,-64,-75,-72,-82,-62,-66,-66,-67,-100,-100,-62,-72,-100,-100,-84,-78,-66,-100,-100,-83,-82,-58,-100,-100,-100,-100,-100,-89,-84,-79,-100,-83,-100,-62,-92,-79,-40,-78,-74,-78,-84,-100,-86,-100,-100,-100,-100,-82,-81,-100,-79,-84,-100,-100,-82,-89,-65,-66,-58,-67,-67,-89,-100,-100,-92,-100,-58,-67,-89,-83,-80,-100,-100,-100,-80,-79,-100,-100,-100,-88,-100,-100,-100,-100,-80,-83,-100,-82,-84,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1863516572986
-66,-64,-81,-82,-81,-63,-63,-73,-73,-66,-64,-64,-72,-72,-80,-83,-83,-82,-63,-73,-72,-83,-61,-66,-67,-66,-82,-100,-62,-72,-81,-82,-85,-80,-66,-100,-74,-83,-83,-58,-100,-100,-100,-100,-100,-89,-83,-80,-74,-83,-100,-61,-89,-79,-42,-78,-75,-78,-84,-100,-100,-100,-100,-100,-100,-100,-81,-100,-79,-84,-100,-100,-100,-88,-65,-65,-58,-67,-67,-89,-90,-100,-89,-87,-58,-67,-100,-100,-79,-100,-100,-100,-79,-79,-100,-85,-100,-90,-100,-100,-100,-100,-80,-84,-100,-84,-87,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1868139167932
-64,-64,-81,-80,-82,-63,-63,-73,-73,-66,-64,-64,-72,-72,-82,-82,-83,-80,-64,-73,-72,-83,-61,-66,-66,-66,-82,-100,-61,-72,-81,-80,-85,-80,-65,-74,-74,-83,-83,-59,-100,-100,-100,-100,-100,-100,-83,-80,-74,-83,-100,-62,-91,-79,-42,-78,-75,-78,-84,-84,-89,-100,-100,-100,-100,-81,-81,-100,-78,-84,-100,-100,-81,-87,-66,-65,-59,-67,-67,-89,-90,-100,-89,-87,-58,-67,-100,-100,-80,-100,-100,-100,-80,-79,-100,-85,-100,-90,-100,-100,-100,-100,-80,-84,-100,-84,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,430,1872766961680
-71,-59,-80,-80,-80,-55,-55,-74,-75,-67,-58,-59,-68,-68,-78,-82,-82,-81,-55,-74,-67,-83,-63,-67,-67,-66,-79,-100,-64,-68,-79,-79,-84,-84,-69,-78,-79,-85,-84,-60,-100,-100,-100,-100,-100,-100,-83,-82,-78,-85,-100,-63,-91,-83,-38,-77,-73,-77,-86,-86,-84,-100,-100,-100,-100,-83,-83,-100,-77,-100,-100,-100,-84,-89,-70,-70,-61,-70,-70,-76,-100,-100,-86,-83,-60,-70,-100,-83,-77,-100,-100,-100,-77,-82,-100,-85,-100,-88,-100,-100,-84,-100,-79,-80,-89,-82,-85,-83,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-90,-86,-100,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,411,1911977384321
-66,-61,-80,-79,-79,-55,-55,-100,-74,-69,-61,-61,-68,-68,-77,-82,-81,-79,-55,-75,-68,-81,-65,-67,-67,-67,-79,-100,-64,-68,-79,-79,-84,-82,-71,-80,-80,-85,-84,-60,-100,-100,-100,-100,-100,-100,-83,-84,-80,-85,-100,-65,-91,-83,-36,-77,-74,-77,-100,-100,-84,-100,-100,-100,-100,-84,-82,-100,-77,-100,-100,-100,-84,-88,-71,-71,-60,-70,-70,-76,-100,-100,-83,-100,-60,-70,-100,-83,-78,-100,-100,-100,-77,-83,-100,-85,-100,-100,-100,-100,-84,-100,-78,-82,-89,-82,-86,-82,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,411,1915592618591
