b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:35:13,44:48:c1:a5:82:31,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:3a:50,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,00:4e:35:df:06:42,38:17:c3:1f:0e:10,38:17:c3:19:d7:70,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:19:d7:62,38:17:c3:1f:01:91,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:01:92,80:8d:b7:55:25:f0,38:17:c3:1f:01:90,20:a6:cd:50:24:b0,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:42,38:17:c3:19:d7:61,00:4e:35:df:06:40,60:32:b1:3e:1a:b8,00:4e:35:de:e1:12,80:8d:b7:55:35:02,00:4e:35:df:06:50,60:32:b1:3e:1a:b7,44:48:c1:a5:82:21,44:48:c1:a5:82:22,00:4e:35:df:06:41,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:52,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:22:31,b4:5d:50:e1:92:33,b4:5d:50:e1:92:23,38:17:c3:1e:ff:10,38:17:c3:1f:22:30,80:8d:b7:55:35:01,80:8d:b7:55:39:c1,38:17:c3:1f:22:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:1f:09:90,b4:5d:50:e1:92:31,38:17:c3:1f:01:82,00:4e:35:df:06:51,80:8d:b7:55:39:c2,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,00:4e:35:de:e1:11,38:17:c3:1f:09:93,38:17:c3:1f:09:91,38:17:c3:1f:01:80,38:17:c3:19:d7:60,66:2a:2f:53:7c:99,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,72:32:b1:3e:1a:b8,20:a6:cd:50:24:a1,68:ff:7b:e4:af:39,38:17:c3:19:45:b0,20:a6:cd:50:24:a0,80:8d:b7:55:25:e0,38:17:c3:19:45:a2,38:17:c3:19:45:a1,80:8d:b7:55:3a:40,38:17:c3:19:45:a0,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,20:a6:cd:50:24:a2,b4:5d:50:e1:92:22,38:17:c3:19:55:40,38:17:c3:1e:ff:02,b4:5d:50:e1:96:53,38:17:c3:19:55:51,b4:5d:50:e1:96:52,38:17:c3:19:55:50,b4:5d:50:e1:92:21,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:19:71:90,44:48:c1:91:95:b2,38:17:c3:19:55:52,00:4e:35:de:e1:01,38:17:c3:1f:09:83,38:17:c3:19:55:41,44:48:c1:91:95:b3,20:a6:cd:42:0b:e3,00:4e:35:de:e1:02,38:17:c3:19:55:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,38:17:c3:1f:22:22,00:4e:35:df:0e:12,a8:bd:27:4c:bd:31,44:48:c1:91:95:b0,38:17:c3:1f:08:50,38:17:c3:1f:08:52,38:17:c3:1f:08:51,44:48:c1:91:95:b1,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:51,a8:bd:27:4c:bd:32,00:4e:35:de:d7:52,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:21,00:4e:35:de:d7:43,00:4e:35:df:0e:11,38:17:c3:1f:22:20,00:4e:35:df:0e:10,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1f:22:21,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:19:36:30,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:24:4f:01,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a1,00:4e:35:df:27:12,x,y,timestamp
-66,-67,-67,-59,-59,-60,-71,-61,-71,-71,-72,-73,-100,-100,-86,-86,-66,-59,-61,-71,-100,-74,-87,-76,-76,-76,-100,-100,-91,-88,-100,-76,-100,-90,-100,-100,-100,-83,-100,-100,-76,-83,-80,-76,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-88,-83,-100,-100,-86,-76,-61,-100,-84,-84,-76,-62,-100,-100,-83,-100,-100,-62,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-69,-100,-80,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1695402116435
-64,-68,-68,-63,-62,-63,-71,-63,-71,-71,-71,-74,-75,-76,-88,-88,-68,-63,-63,-71,-100,-82,-87,-76,-75,-75,-86,-100,-89,-88,-100,-75,-100,-89,-100,-100,-100,-86,-71,-86,-76,-84,-78,-76,-100,-84,-100,-100,-100,-100,-100,-90,-78,-100,-100,-88,-86,-83,-84,-100,-88,-77,-61,-86,-83,-85,-76,-61,-100,-100,-84,-100,-100,-61,-70,-100,-79,-100,-100,-100,-87,-81,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-71,-100,-79,-100,-100,-88,-100,-100,-100,-81,-100,-81,-87,-100,-100,-100,-100,-100,-81,-84,-100,-100,-100,-100,-79,-100,-100,-100,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1700558884142
-64,-68,-68,-61,-61,-59,-69,-59,-69,-70,-73,-74,-75,-75,-88,-88,-68,-62,-59,-70,-76,-75,-100,-76,-76,-76,-86,-100,-92,-89,-100,-76,-100,-92,-100,-100,-100,-88,-71,-85,-76,-84,-82,-76,-100,-84,-60,-60,-77,-100,-100,-100,-78,-100,-100,-88,-88,-82,-84,-100,-87,-77,-62,-88,-83,-82,-76,-62,-59,-100,-82,-100,-100,-62,-70,-100,-81,-100,-100,-100,-86,-81,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-71,-100,-81,-85,-100,-88,-100,-100,-100,-82,-100,-81,-87,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-82,-100,-100,-100,-88,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-84,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1706073271327
-66,-67,-67,-62,-62,-59,-70,-59,-70,-70,-72,-77,-75,-75,-87,-86,-67,-62,-59,-70,-75,-75,-100,-76,-76,-76,-85,-100,-89,-90,-100,-76,-100,-90,-76,-76,-76,-86,-72,-85,-75,-87,-83,-77,-73,-100,-61,-61,-75,-100,-100,-73,-86,-89,-100,-100,-88,-81,-84,-100,-87,-76,-62,-86,-81,-81,-77,-61,-61,-100,-82,-100,-73,-62,-72,-100,-83,-100,-100,-100,-86,-80,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-71,-100,-82,-85,-100,-86,-100,-100,-100,-80,-100,-81,-85,-100,-100,-100,-100,-100,-80,-84,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-91,-100,-100,-88,-100,-88,-100,-100,-100,-91,-100,-91,-85,-85,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1711693111950
-64,-68,-68,-61,-61,-59,-71,-59,-71,-71,-71,-75,-100,-76,-87,-86,-69,-61,-59,-71,-68,-74,-100,-76,-76,-77,-85,-100,-89,-90,-100,-76,-100,-91,-74,-74,-74,-82,-72,-85,-69,-87,-80,-76,-72,-84,-61,-61,-73,-100,-100,-71,-78,-89,-100,-100,-88,-83,-84,-100,-87,-76,-61,-86,-83,-84,-76,-61,-61,-100,-85,-100,-72,-62,-72,-100,-80,-100,-100,-100,-100,-80,-80,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-80,-100,-91,-86,-100,-100,-100,-81,-100,-81,-85,-100,-100,-100,-100,-100,-81,-70,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-86,-100,-100,-88,-100,-88,-100,-100,-100,-76,-76,-91,-85,-86,-85,-100,-85,-100,-100,-100,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1717462071427
-63,-67,-67,-59,-60,-63,-70,-63,-69,-70,-74,-75,-76,-76,-88,-87,-67,-60,-63,-70,-72,-77,-88,-75,-75,-75,-85,-89,-89,-89,-100,-76,-100,-89,-74,-74,-74,-82,-100,-86,-76,-80,-81,-76,-71,-84,-61,-61,-76,-100,-100,-70,-78,-100,-100,-100,-87,-83,-84,-100,-87,-76,-62,-86,-83,-84,-76,-62,-61,-100,-85,-100,-71,-62,-100,-100,-81,-100,-100,-100,-85,-68,-80,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-81,-86,-91,-87,-100,-100,-100,-81,-100,-81,-87,-87,-100,-100,-89,-100,-81,-70,-100,-100,-100,-100,-84,-100,-100,-100,-88,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-85,-84,-84,-100,-85,-100,-100,-100,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,482,1723182344393
-67,-64,-64,-66,-66,-65,-67,-65,-67,-67,-67,-100,-100,-100,-85,-86,-64,-66,-65,-67,-74,-72,-86,-80,-80,-80,-84,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-74,-82,-76,-100,-73,-78,-64,-64,-74,-100,-100,-73,-100,-100,-100,-100,-87,-82,-78,-100,-86,-100,-62,-87,-82,-82,-100,-62,-100,-100,-81,-100,-74,-60,-100,-79,-75,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-85,-100,-81,-100,-100,-100,-81,-100,-100,-80,-85,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-100,-82,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1768469374584
-68,-64,-64,-67,-67,-58,-68,-59,-68,-68,-67,-74,-100,-100,-88,-87,-64,-67,-59,-68,-74,-77,-87,-80,-79,-79,-84,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-69,-100,-74,-86,-76,-100,-79,-78,-67,-66,-73,-100,-100,-79,-75,-100,-100,-100,-86,-83,-78,-100,-86,-100,-63,-86,-83,-82,-78,-63,-67,-100,-82,-100,-78,-63,-69,-80,-76,-100,-100,-100,-86,-85,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-80,-85,-86,-100,-86,-100,-100,-85,-100,-81,-91,-100,-79,-78,-100,-100,-80,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-100,-82,-100,-100,-100,-88,-100,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1773884677134
-67,-64,-64,-70,-70,-59,-69,-59,-69,-69,-67,-74,-100,-100,-87,-87,-64,-70,-59,-69,-73,-77,-87,-79,-79,-79,-100,-100,-90,-91,-100,-79,-100,-91,-100,-100,-100,-100,-69,-100,-74,-79,-79,-100,-75,-80,-66,-66,-74,-100,-100,-75,-81,-100,-100,-100,-86,-81,-80,-100,-86,-100,-61,-86,-81,-81,-78,-61,-66,-100,-82,-100,-75,-60,-69,-81,-79,-100,-100,-100,-100,-81,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-74,-100,-85,-86,-100,-86,-100,-100,-100,-100,-100,-91,-100,-79,-79,-100,-100,-80,-100,-100,-90,-100,-100,-86,-87,-88,-100,-100,-100,-100,-100,-100,-80,-80,-81,-100,-80,-100,-100,-89,-88,-100,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1779549851195
-50,-62,-62,-69,-69,-59,-69,-59,-69,-69,-66,-74,-77,-77,-88,-88,-62,-69,-59,-69,-73,-78,-87,-79,-79,-79,-86,-100,-90,-91,-90,-79,-100,-91,-100,-78,-79,-100,-69,-100,-74,-86,-76,-77,-76,-80,-66,-65,-74,-100,-100,-75,-76,-100,-100,-100,-88,-81,-80,-100,-87,-77,-62,-87,-81,-81,-100,-57,-65,-100,-82,-100,-75,-62,-69,-81,-76,-100,-100,-100,-100,-83,-79,-78,-100,-100,-100,-100,-100,-78,-100,-100,-69,-100,-77,-85,-100,-80,-80,-100,-100,-77,-100,-78,-80,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-85,-79,-100,-100,-80,-85,-100,-90,-100,-100,-86,-87,-88,-100,-100,-100,-100,-100,-100,-83,-83,-83,-100,-82,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1785133623276
-71,-64,-64,-67,-67,-59,-68,-59,-68,-68,-66,-73,-76,-76,-87,-86,-64,-67,-59,-68,-74,-76,-87,-78,-78,-79,-84,-100,-100,-91,-89,-79,-100,-100,-100,-78,-79,-100,-69,-100,-74,-84,-76,-77,-76,-80,-67,-66,-73,-100,-100,-76,-77,-100,-100,-100,-87,-78,-79,-100,-86,-77,-64,-87,-78,-78,-100,-65,-66,-100,-78,-100,-76,-64,-69,-100,-76,-100,-100,-100,-100,-82,-100,-79,-100,-100,-100,-100,-100,-79,-100,-100,-69,-100,-76,-85,-100,-81,-100,-100,-100,-77,-100,-78,-80,-86,-85,-100,-85,-100,-77,-100,-100,-100,-100,-100,-84,-100,-100,-100,-80,-85,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-81,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1790861051763
-69,-65,-65,-68,-68,-60,-69,-59,-69,-69,-63,-73,-76,-76,-87,-88,-66,-68,-60,-69,-73,-76,-87,-79,-78,-79,-83,-87,-91,-91,-90,-79,-89,-100,-100,-100,-100,-85,-69,-100,-68,-87,-77,-100,-76,-79,-66,-65,-73,-100,-100,-75,-78,-100,-100,-100,-87,-83,-79,-100,-86,-100,-61,-86,-83,-83,-100,-62,-65,-100,-81,-100,-75,-61,-69,-100,-77,-100,-100,-100,-100,-84,-100,-79,-100,-100,-100,-100,-100,-79,-100,-100,-69,-100,-77,-85,-100,-73,-100,-100,-100,-100,-100,-77,-80,-86,-85,-100,-88,-100,-100,-85,-100,-100,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1796609923063
-51,-62,-62,-73,-73,-59,-69,-59,-68,-68,-71,-74,-100,-100,-86,-87,-62,-73,-59,-68,-72,-100,-86,-79,-80,-80,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-72,-82,-76,-75,-73,-79,-66,-66,-72,-100,-100,-74,-76,-100,-100,-100,-87,-83,-81,-100,-87,-100,-62,-100,-83,-83,-100,-63,-66,-100,-83,-100,-74,-62,-69,-79,-75,-100,-100,-100,-100,-83,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-76,-100,-100,-79,-81,-100,-100,-77,-100,-100,-61,-100,-100,-100,-100,-100,-77,-79,-100,-100,-100,-100,-79,-100,-100,-100,-79,-78,-100,-89,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-82,-83,-82,-100,-83,-100,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1854810548458
-58,-62,-62,-70,-70,-59,-69,-58,-68,-68,-66,-74,-100,-77,-86,-86,-63,-70,-59,-68,-72,-77,-86,-80,-79,-80,-85,-100,-100,-100,-100,-79,-100,-100,-77,-100,-100,-100,-100,-85,-72,-82,-75,-75,-73,-79,-66,-65,-72,-100,-100,-73,-77,-100,-100,-100,-85,-82,-81,-100,-87,-77,-62,-86,-82,-82,-100,-61,-65,-100,-82,-100,-73,-63,-69,-79,-75,-100,-100,-100,-84,-84,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-75,-84,-100,-79,-81,-100,-100,-77,-100,-78,-80,-100,-100,-100,-87,-90,-77,-79,-100,-100,-89,-100,-79,-100,-100,-100,-79,-78,-100,-89,-100,-100,-87,-87,-100,-88,-100,-100,-100,-100,-100,-84,-83,-84,-100,-84,-100,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1860283511893
-57,-63,-63,-68,-68,-59,-68,-59,-68,-68,-66,-74,-100,-77,-86,-86,-63,-68,-59,-68,-74,-77,-86,-80,-79,-79,-85,-100,-100,-100,-100,-80,-100,-93,-77,-100,-100,-100,-69,-85,-100,-100,-74,-100,-72,-80,-65,-65,-73,-100,-100,-72,-75,-100,-100,-100,-85,-81,-100,-100,-86,-77,-63,-86,-81,-81,-100,-62,-65,-100,-81,-100,-73,-63,-100,-100,-74,-100,-100,-100,-84,-85,-78,-78,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-75,-84,-100,-100,-80,-100,-100,-78,-100,-79,-80,-100,-82,-100,-87,-90,-78,-84,-100,-80,-89,-100,-85,-80,-100,-100,-100,-84,-100,-100,-100,-100,-100,-88,-86,-88,-86,-100,-100,-100,-100,-80,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1865971936631
-68,-62,-62,-68,-68,-61,-68,-61,-67,-68,-70,-74,-100,-100,-86,-86,-62,-68,-61,-68,-74,-100,-86,-79,-79,-79,-85,-100,-100,-100,-100,-80,-100,-91,-100,-78,-100,-100,-69,-85,-100,-86,-74,-78,-74,-80,-66,-65,-73,-100,-100,-74,-75,-100,-100,-100,-100,-82,-78,-100,-86,-100,-62,-88,-82,-83,-77,-62,-65,-100,-82,-100,-74,-62,-70,-80,-74,-100,-100,-100,-100,-82,-78,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-74,-100,-100,-79,-80,-100,-100,-78,-100,-78,-100,-100,-82,-100,-100,-100,-78,-84,-100,-80,-100,-100,-86,-80,-100,-100,-100,-84,-100,-90,-100,-87,-87,-88,-86,-100,-86,-100,-100,-100,-100,-81,-81,-81,-100,-81,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1871440107774
-70,-64,-64,-70,-69,-59,-68,-59,-68,-68,-67,-72,-100,-78,-87,-88,-64,-70,-59,-68,-73,-100,-87,-78,-78,-78,-100,-100,-100,-100,-100,-78,-100,-92,-100,-78,-78,-74,-69,-100,-100,-85,-74,-78,-76,-80,-64,-64,-73,-100,-100,-76,-76,-100,-100,-100,-86,-81,-78,-100,-85,-77,-63,-86,-81,-80,-77,-63,-64,-100,-81,-100,-76,-62,-70,-80,-74,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-70,-100,-74,-100,-100,-80,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-79,-83,-100,-100,-100,-100,-83,-100,-100,-100,-76,-82,-100,-90,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1876749953449
-70,-61,-61,-67,-66,-59,-68,-59,-67,-68,-69,-72,-100,-78,-88,-87,-61,-67,-59,-68,-73,-100,-87,-80,-80,-80,-85,-100,-100,-100,-100,-79,-100,-92,-100,-100,-78,-84,-69,-100,-100,-83,-74,-100,-76,-79,-65,-64,-74,-100,-100,-76,-76,-100,-100,-100,-86,-81,-100,-100,-85,-77,-62,-86,-80,-81,-100,-62,-65,-100,-81,-100,-75,-62,-100,-79,-75,-100,-100,-100,-100,-84,-100,-100,-100,-100,-85,-100,-100,-78,-100,-100,-70,-100,-74,-100,-100,-80,-80,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-79,-83,-100,-100,-100,-100,-83,-79,-100,-100,-76,-84,-100,-90,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,464,1881928864177
-67,-62,-62,-59,-59,-62,-69,-62,-69,-69,-73,-100,-100,-81,-84,-84,-62,-59,-61,-69,-100,-100,-84,-75,-75,-75,-84,-100,-88,-88,-100,-75,-100,-89,-77,-100,-100,-85,-100,-83,-100,-80,-77,-74,-70,-86,-67,-67,-100,-100,-100,-70,-78,-100,-100,-100,-87,-79,-79,-100,-86,-74,-63,-86,-79,-79,-100,-63,-67,-100,-79,-100,-70,-63,-66,-86,-77,-100,-100,-100,-82,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-88,-100,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,447,1922338884682
-67,-65,-65,-57,-57,-60,-67,-60,-67,-67,-74,-72,-100,-81,-83,-83,-65,-57,-60,-67,-73,-100,-84,-77,-76,-77,-84,-100,-87,-87,-100,-77,-100,-86,-77,-100,-100,-84,-100,-83,-73,-83,-77,-74,-70,-85,-67,-67,-100,-100,-100,-70,-77,-100,-100,-100,-84,-80,-85,-100,-85,-74,-63,-85,-80,-80,-74,-63,-66,-100,-80,-100,-70,-63,-66,-86,-77,-100,-100,-100,-82,-84,-78,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-77,-100,-88,-100,-100,-100,-100,-80,-100,-80,-86,-100,-100,-100,-100,-89,-79,-80,-100,-100,-88,-100,-80,-100,-100,-100,-100,-79,-100,-100,-90,-90,-88,-86,-87,-88,-100,-100,-100,-100,-100,-83,-83,-83,-89,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,447,1927757305513
