b8:27:eb:9f:6b:77,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b4:5d:50:e1:92:33,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,38:17:c3:19:d7:70,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:1f:01:81,80:8d:b7:55:39:c2,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,00:4e:35:df:06:51,00:4e:35:df:06:40,80:8d:b7:55:3a:40,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:45:a1,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:45:a0,80:8d:b7:55:39:c1,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:b0,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,38:17:c3:19:55:50,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,44:48:c1:a5:82:22,44:48:c1:a5:82:21,00:4e:35:df:06:50,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,38:17:c3:19:d7:60,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,b4:5d:50:e1:92:21,38:17:c3:1f:09:93,b4:5d:50:e1:96:43,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:19:55:52,00:4e:35:de:e1:10,38:17:c3:1f:22:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,b4:5d:50:e1:96:51,20:a6:cd:42:0b:e3,38:17:c3:19:71:90,38:17:c3:1f:22:32,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:08:51,44:48:c1:91:95:b3,44:48:c1:91:95:b0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b1,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,38:17:c3:1f:22:20,a8:bd:27:4c:bd:32,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:41,38:17:c3:1f:08:52,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,00:4e:35:df:27:01,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:58:a2,00:4e:35:df:27:00,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:24:58:a0,32:f7:72:50:57:3b,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b0,38:17:c3:1b:08:a2,x,y,timestamp
-43,-62,-64,-79,-79,-79,-65,-65,-68,-68,-68,-68,-68,-69,-75,-80,-75,-76,-86,-80,-74,-65,-68,-69,-65,-83,-81,-100,-100,-100,-87,-100,-79,-100,-100,-100,-100,-100,-84,-83,-100,-100,-77,-89,-76,-100,-91,-100,-65,-79,-63,-74,-71,-63,-70,-81,-58,-59,-78,-78,-100,-71,-100,-59,-77,-100,-65,-80,-83,-85,-100,-100,-84,-100,-100,-100,-100,-100,-81,-100,-82,-64,-64,-74,-100,-100,-100,-100,-64,-100,-81,-86,-83,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-81,-84,-81,-77,-85,-100,-81,-100,-100,-83,-85,-86,-84,-84,-100,-100,-79,-77,-78,-90,-91,-88,-100,-100,-100,-100,-100,-81,-81,-100,-82,-81,-100,-100,-100,-100,-100,-88,-100,-85,-100,-85,-100,-100,-100,-85,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,376,27902906651540
-42,-69,-60,-78,-78,-78,-70,-70,-69,-69,-72,-72,-72,-72,-70,-100,-100,-100,-86,-78,-71,-70,-70,-72,-63,-83,-78,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-80,-100,-100,-100,-100,-100,-63,-80,-69,-70,-71,-69,-72,-79,-61,-61,-100,-100,-100,-100,-100,-61,-100,-100,-63,-86,-81,-100,-100,-100,-85,-100,-100,-100,-100,-100,-76,-100,-100,-74,-74,-71,-100,-100,-100,-100,-74,-100,-80,-86,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-87,-100,-79,-100,-100,-100,-100,-100,-85,-86,-100,-100,-83,-84,-83,-89,-88,-84,-100,-100,-84,-100,-100,-84,-85,-100,-85,-86,-100,-100,-87,-100,-100,-89,-90,-100,-85,-86,-88,-88,-87,-100,-84,-85,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27962794807403
-43,-67,-58,-77,-77,-76,-68,-68,-68,-68,-72,-73,-73,-71,-71,-79,-73,-73,-85,-77,-71,-68,-68,-73,-63,-82,-79,-87,-87,-100,-82,-100,-79,-100,-100,-100,-100,-100,-82,-81,-100,-100,-80,-100,-74,-100,-100,-100,-63,-80,-68,-70,-72,-67,-72,-79,-62,-62,-100,-100,-100,-72,-100,-62,-100,-100,-63,-86,-81,-100,-100,-100,-83,-100,-100,-100,-100,-100,-76,-100,-85,-73,-74,-71,-100,-100,-100,-87,-74,-100,-78,-86,-100,-100,-100,-100,-100,-81,-100,-100,-79,-79,-100,-85,-76,-100,-76,-78,-87,-100,-78,-100,-100,-100,-85,-84,-85,-85,-100,-100,-83,-83,-83,-89,-88,-84,-100,-100,-84,-100,-100,-84,-85,-100,-86,-85,-100,-100,-88,-100,-100,-88,-90,-100,-85,-87,-88,-88,-87,-100,-84,-85,-88,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27967644694172
-47,-67,-59,-79,-78,-79,-62,-62,-67,-67,-72,-73,-73,-77,-70,-79,-72,-73,-81,-79,-70,-62,-67,-73,-100,-83,-80,-87,-87,-100,-83,-100,-80,-79,-79,-100,-100,-100,-82,-82,-100,-100,-79,-100,-73,-100,-93,-100,-64,-78,-68,-70,-72,-67,-72,-78,-63,-63,-75,-76,-100,-72,-100,-63,-75,-100,-64,-86,-82,-100,-100,-100,-84,-100,-100,-100,-100,-100,-75,-100,-85,-77,-77,-70,-85,-100,-100,-87,-77,-100,-78,-82,-100,-100,-100,-100,-100,-82,-100,-80,-80,-79,-100,-85,-75,-100,-75,-78,-100,-100,-78,-100,-100,-100,-85,-84,-81,-82,-100,-100,-83,-82,-82,-89,-90,-86,-100,-100,-86,-100,-100,-86,-86,-100,-86,-86,-100,-100,-88,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27972628426149
-47,-67,-59,-77,-77,-77,-65,-65,-70,-70,-72,-72,-72,-74,-70,-80,-74,-73,-81,-78,-70,-65,-70,-72,-65,-83,-80,-85,-85,-100,-86,-100,-80,-79,-82,-100,-100,-100,-82,-82,-100,-100,-79,-100,-73,-100,-93,-100,-65,-61,-67,-71,-72,-100,-72,-79,-62,-62,-75,-74,-100,-72,-100,-62,-75,-100,-65,-86,-82,-90,-100,-100,-84,-100,-100,-100,-100,-100,-75,-100,-100,-77,-77,-71,-85,-100,-100,-85,-75,-100,-78,-82,-100,-100,-100,-100,-100,-82,-100,-80,-80,-79,-100,-100,-76,-100,-75,-79,-85,-100,-78,-100,-100,-100,-100,-83,-81,-82,-100,-100,-83,-82,-82,-87,-90,-86,-100,-100,-87,-100,-100,-84,-83,-100,-84,-84,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27977524701199
-47,-68,-60,-78,-78,-79,-63,-63,-69,-69,-72,-72,-71,-78,-71,-80,-73,-73,-83,-78,-71,-63,-69,-72,-66,-81,-78,-85,-85,-100,-86,-100,-80,-81,-81,-100,-100,-100,-81,-81,-100,-100,-81,-100,-74,-100,-100,-100,-67,-80,-68,-71,-71,-69,-71,-78,-62,-62,-100,-74,-100,-71,-100,-62,-100,-100,-67,-87,-82,-90,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-72,-72,-71,-85,-100,-100,-85,-75,-100,-78,-83,-85,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-75,-85,-75,-78,-83,-100,-78,-100,-100,-100,-100,-83,-83,-100,-100,-100,-77,-83,-83,-87,-89,-85,-100,-100,-85,-100,-100,-84,-84,-100,-84,-84,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27982513183905
-47,-68,-60,-76,-76,-76,-62,-62,-67,-67,-73,-73,-73,-75,-72,-79,-74,-74,-86,-76,-74,-62,-67,-73,-67,-82,-78,-86,-85,-100,-84,-100,-78,-82,-82,-100,-100,-100,-82,-81,-100,-100,-82,-100,-74,-100,-91,-100,-67,-77,-68,-73,-72,-68,-72,-80,-64,-64,-72,-72,-100,-72,-100,-64,-71,-100,-67,-87,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-72,-72,-74,-85,-100,-100,-86,-72,-100,-79,-85,-85,-100,-100,-100,-100,-84,-100,-79,-100,-79,-100,-86,-75,-85,-75,-78,-86,-100,-78,-100,-100,-100,-86,-100,-85,-86,-100,-100,-77,-83,-83,-87,-89,-85,-100,-100,-85,-100,-100,-81,-81,-100,-83,-81,-100,-100,-87,-100,-100,-90,-100,-88,-100,-100,-86,-86,-86,-100,-100,-100,-89,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,357,27987285847966
-45,-61,-71,-74,-74,-73,-63,-63,-68,-68,-100,-100,-100,-75,-73,-100,-76,-76,-100,-74,-68,-63,-69,-100,-66,-84,-100,-88,-88,-89,-81,-100,-100,-80,-81,-100,-100,-100,-84,-83,-90,-100,-80,-100,-76,-100,-89,-100,-65,-84,-61,-68,-75,-60,-75,-81,-56,-56,-100,-100,-100,-74,-100,-56,-100,-100,-66,-100,-85,-86,-100,-100,-61,-100,-100,-93,-100,-100,-100,-100,-100,-71,-71,-68,-100,-100,-100,-100,-71,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-83,-100,-100,-78,-82,-84,-100,-81,-100,-100,-100,-84,-100,-100,-100,-100,-100,-77,-81,-82,-92,-91,-83,-100,-100,-84,-100,-100,-81,-82,-100,-82,-81,-100,-100,-89,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28025756490660
-49,-62,-70,-74,-74,-73,-63,-62,-70,-70,-73,-73,-73,-72,-73,-74,-76,-76,-88,-74,-68,-62,-71,-73,-64,-85,-74,-87,-86,-88,-85,-100,-74,-80,-81,-88,-100,-100,-86,-84,-88,-100,-80,-88,-77,-100,-89,-100,-64,-76,-62,-69,-75,-62,-75,-84,-57,-57,-100,-100,-100,-77,-100,-57,-100,-100,-64,-100,-85,-86,-100,-100,-87,-100,-100,-93,-100,-100,-100,-100,-100,-71,-72,-68,-100,-100,-100,-88,-71,-100,-78,-88,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-83,-100,-100,-78,-78,-84,-100,-81,-100,-100,-86,-84,-83,-87,-100,-100,-100,-77,-81,-82,-92,-91,-84,-100,-100,-84,-100,-100,-82,-81,-100,-82,-82,-100,-100,-89,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28030505240137
-47,-60,-75,-72,-72,-72,-63,-63,-71,-71,-74,-73,-73,-69,-73,-75,-76,-76,-89,-72,-69,-63,-71,-73,-63,-84,-75,-87,-86,-88,-83,-100,-75,-100,-100,-88,-100,-100,-85,-85,-89,-100,-100,-88,-76,-100,-88,-100,-63,-75,-61,-69,-100,-61,-74,-73,-56,-56,-77,-77,-100,-75,-100,-56,-78,-100,-63,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-82,-100,-100,-71,-72,-69,-100,-100,-100,-88,-71,-100,-79,-88,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-80,-100,-81,-78,-83,-100,-79,-100,-100,-86,-100,-83,-89,-88,-100,-84,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-82,-81,-100,-82,-82,-86,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-87,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28035450974458
-42,-61,-69,-73,-74,-75,-64,-64,-74,-74,-71,-71,-71,-75,-73,-75,-76,-100,-92,-74,-69,-65,-73,-71,-63,-84,-75,-87,-100,-88,-84,-100,-75,-100,-100,-100,-100,-100,-84,-84,-89,-100,-100,-100,-75,-100,-91,-100,-64,-69,-61,-69,-76,-62,-75,-82,-57,-57,-77,-77,-100,-76,-100,-57,-78,-100,-64,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-82,-100,-100,-73,-73,-69,-100,-100,-100,-100,-72,-100,-79,-88,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-80,-100,-77,-100,-83,-100,-79,-100,-100,-100,-83,-87,-89,-88,-100,-84,-80,-80,-79,-100,-100,-84,-100,-100,-84,-100,-100,-80,-81,-100,-81,-81,-86,-86,-100,-86,-100,-100,-84,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28040227528206
-49,-61,-60,-74,-73,-73,-65,-65,-69,-69,-72,-71,-72,-72,-70,-75,-100,-100,-89,-74,-68,-65,-69,-72,-67,-83,-78,-89,-88,-90,-84,-100,-78,-82,-83,-100,-100,-100,-84,-84,-89,-100,-82,-100,-75,-100,-88,-100,-66,-72,-61,-68,-74,-61,-75,-87,-59,-59,-78,-78,-100,-74,-100,-59,-100,-100,-66,-100,-83,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-68,-100,-100,-100,-100,-72,-100,-78,-90,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-83,-82,-100,-81,-79,-82,-100,-79,-100,-100,-100,-83,-87,-89,-90,-100,-100,-80,-80,-79,-100,-91,-85,-100,-100,-85,-100,-100,-82,-81,-100,-83,-81,-100,-86,-100,-86,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28045303747684
-46,-58,-67,-73,-73,-73,-63,-63,-67,-67,-73,-73,-73,-74,-73,-76,-77,-77,-89,-72,-68,-63,-67,-73,-66,-83,-76,-89,-87,-89,-85,-100,-77,-82,-82,-100,-100,-100,-85,-84,-87,-100,-82,-100,-77,-100,-88,-100,-66,-59,-60,-68,-74,-58,-74,-81,-54,-54,-78,-78,-100,-75,-100,-54,-100,-100,-66,-100,-83,-81,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-91,-72,-72,-68,-100,-87,-100,-100,-72,-100,-75,-88,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-83,-80,-100,-79,-76,-83,-100,-79,-100,-100,-100,-82,-100,-89,-88,-100,-100,-100,-81,-80,-100,-91,-84,-100,-100,-85,-100,-100,-83,-84,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-83,-100,-100,-100,-100,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,339,28050026937942
-42,-61,-59,-100,-100,-100,-66,-66,-71,-72,-75,-75,-75,-70,-77,-75,-78,-100,-85,-100,-72,-64,-72,-75,-100,-100,-76,-87,-86,-100,-81,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-88,-91,-100,-100,-100,-61,-72,-71,-62,-71,-76,-60,-60,-100,-100,-100,-71,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-72,-100,-100,-100,-86,-100,-100,-73,-85,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-80,-100,-100,-77,-74,-80,-100,-73,-100,-100,-85,-79,-84,-85,-84,-89,-100,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-84,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28091241361989
-41,-62,-62,-77,-77,-77,-67,-67,-72,-72,-74,-74,-74,-72,-74,-74,-74,-74,-86,-77,-73,-66,-73,-74,-100,-85,-74,-87,-86,-100,-90,-100,-74,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-75,-88,-91,-100,-67,-72,-62,-74,-71,-62,-71,-78,-59,-59,-75,-75,-100,-73,-100,-59,-76,-100,-67,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-90,-72,-75,-72,-100,-100,-100,-86,-75,-100,-74,-85,-100,-100,-100,-100,-100,-75,-100,-77,-78,-76,-100,-79,-100,-100,-77,-74,-81,-100,-74,-100,-100,-85,-81,-84,-85,-86,-89,-100,-76,-75,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-86,-88,-100,-100,-100,-87,-100,-100,-88,-100,-85,-87,-87,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28095717382404
-47,-61,-66,-76,-76,-76,-69,-69,-73,-72,-74,-74,-74,-74,-75,-76,-75,-76,-88,-77,-74,-69,-73,-75,-65,-86,-77,-87,-86,-100,-82,-100,-76,-83,-82,-100,-100,-100,-86,-86,-100,-100,-83,-90,-75,-100,-91,-100,-65,-75,-61,-73,-72,-61,-73,-77,-59,-59,-77,-76,-100,-73,-100,-59,-77,-100,-65,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-90,-76,-75,-73,-100,-100,-100,-86,-76,-100,-73,-88,-100,-100,-100,-100,-100,-75,-100,-77,-78,-76,-100,-81,-100,-100,-100,-74,-81,-100,-74,-100,-100,-85,-81,-84,-88,-89,-100,-100,-80,-80,-79,-87,-88,-81,-100,-100,-81,-100,-100,-84,-82,-100,-83,-83,-86,-85,-100,-86,-100,-88,-100,-100,-100,-86,-100,-88,-100,-85,-100,-84,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28100588916725
-45,-55,-65,-77,-76,-78,-68,-68,-71,-71,-76,-76,-76,-71,-74,-76,-76,-77,-86,-78,-73,-64,-71,-76,-65,-86,-76,-87,-87,-100,-82,-100,-77,-83,-82,-100,-100,-100,-86,-86,-100,-100,-83,-90,-77,-100,-100,-100,-72,-72,-61,-73,-72,-61,-72,-77,-61,-61,-77,-76,-100,-73,-100,-61,-76,-100,-65,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-74,-100,-100,-100,-86,-74,-100,-73,-85,-100,-100,-100,-100,-100,-100,-100,-75,-75,-75,-100,-81,-77,-100,-76,-73,-80,-100,-73,-100,-100,-100,-81,-84,-85,-85,-100,-100,-76,-80,-76,-87,-88,-81,-100,-100,-81,-100,-100,-81,-80,-100,-83,-81,-100,-100,-100,-100,-100,-89,-100,-100,-100,-86,-100,-100,-100,-84,-100,-84,-100,-81,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28105552495056
-46,-61,-67,-76,-76,-76,-65,-65,-74,-74,-73,-73,-73,-76,-74,-79,-75,-74,-87,-76,-75,-65,-74,-74,-73,-87,-79,-87,-87,-100,-82,-100,-79,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-100,-75,-100,-100,-100,-73,-71,-61,-75,-72,-61,-72,-77,-57,-57,-75,-75,-100,-72,-100,-57,-76,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-77,-100,-100,-76,-76,-75,-100,-100,-100,-87,-76,-100,-74,-86,-100,-100,-100,-100,-100,-82,-100,-77,-76,-77,-100,-80,-77,-100,-76,-74,-81,-100,-73,-100,-100,-84,-80,-85,-88,-86,-100,-100,-79,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-81,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-83,-92,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28110469159794
-40,-62,-65,-77,-77,-77,-67,-67,-71,-71,-75,-74,-75,-67,-78,-75,-77,-76,-87,-76,-74,-67,-71,-74,-72,-85,-76,-81,-87,-100,-75,-100,-75,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-78,-90,-100,-100,-71,-68,-61,-74,-72,-64,-72,-78,-57,-57,-75,-75,-100,-72,-100,-57,-76,-100,-72,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-77,-100,-100,-75,-75,-75,-100,-100,-100,-87,-75,-100,-74,-85,-100,-100,-100,-100,-100,-84,-100,-77,-76,-76,-100,-80,-100,-100,-77,-75,-81,-100,-75,-100,-100,-84,-80,-83,-88,-85,-87,-87,-76,-76,-76,-89,-100,-100,-100,-100,-100,-100,-100,-80,-85,-100,-77,-84,-85,-85,-100,-86,-87,-88,-100,-100,-88,-100,-100,-100,-100,-86,-86,-86,-100,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,321,28115305890886
