b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:25:e3,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:13,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1e:ff:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:02,38:17:c3:1f:01:82,38:17:c3:1f:01:80,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,80:8d:b7:55:3a:51,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1f:09:83,66:2a:2f:53:7c:99,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,38:17:c3:1f:09:93,00:4e:35:df:06:40,b4:5d:50:e1:92:23,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,44:48:c1:a5:82:20,00:4e:35:de:e1:12,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:19:d7:62,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:41,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,38:17:c3:19:45:a0,38:17:c3:19:71:90,38:17:c3:19:55:50,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:96:43,38:17:c3:1e:ff:00,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:01:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,60:32:b1:3e:1a:b8,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:40,b4:5d:50:e1:92:33,38:17:c3:19:45:b0,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:09:91,38:17:c3:1f:09:92,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,b4:5d:50:e1:92:31,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:08:50,38:17:c3:1f:08:52,44:48:c1:91:95:b3,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:41,00:4e:35:de:d7:53,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:36:30,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,00:4e:35:df:0e:00,38:17:c3:1b:08:b1,38:17:c3:24:4f:10,00:4e:35:df:27:12,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:1f:0f:92,00:4e:35:df:27:01,00:4e:35:df:27:02,20:a6:cd:42:0b:f1,70:56:81:c9:91:ab,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,00:4e:35:df:27:00,38:17:c3:19:36:32,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,56:13:79:14:54:6d,20:a6:cd:42:0b:f2,32:f7:72:50:57:3b,x,y,label
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,501.3999999999998,17.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,515.5999999999998,18.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,515.5999999999998,18.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,515.5999999999998,18.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,515.5999999999998,18.0
-63,-57,-73,-72,-72,-74,-68,-74,-68,-77,-74,-68,-72,-72,-68,-72,-64,-64,-71,-75,-75,-87,-85,-72,-79,-79,-84,-100,-100,-100,-100,-80,-83,-93,-100,-79,-100,-100,-90,-100,-57,-85,-86,-100,-100,-85,-64,-92,-57,-100,-100,-79,-72,-72,-72,-74,-74,-97,-100,-73,-88,-72,-75,-73,-77,-100,-100,-78,-78,-64,-64,-88,-80,-82,-81,-73,-78,-64,-87,-100,-90,-85,-100,-100,-100,-100,-100,-100,-73,-96,-100,-100,-100,-93,-77,-75,-82,-87,-98,-77,-100,-100,-100,-100,-93,-93,-100,-88,-93,-86,-83,-100,-100,-100,-100,-100,-100,-92,-92,-94,-82,-86,-83,-86,-86,-100,-100,-100,-100,-86,-100,-100,-90,-95,-95,-100,-86,-100,-83,-80,-80,-93,-87,-86,-94,-96,-95,-95,-94,-100,-95,-94,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-91,-100,-100,-100,-98,-100,-100,545.0,515.5999999999998,18.0
-63,-57,-73,-72,-72,-74,-68,-74,-68,-77,-74,-68,-72,-72,-68,-72,-64,-64,-71,-75,-75,-87,-85,-72,-79,-79,-84,-100,-100,-100,-100,-80,-83,-93,-100,-79,-100,-100,-90,-100,-57,-85,-86,-100,-100,-85,-64,-92,-57,-100,-100,-79,-72,-72,-72,-74,-74,-97,-100,-73,-88,-72,-75,-73,-77,-100,-100,-78,-78,-64,-64,-88,-80,-82,-81,-73,-78,-64,-87,-100,-90,-85,-100,-100,-100,-100,-100,-100,-73,-96,-100,-100,-100,-93,-77,-75,-82,-87,-98,-77,-100,-100,-100,-100,-93,-93,-100,-88,-93,-86,-83,-100,-100,-100,-100,-100,-100,-92,-92,-94,-82,-86,-83,-86,-86,-100,-100,-100,-100,-86,-100,-100,-90,-95,-95,-100,-86,-100,-83,-80,-80,-93,-87,-86,-94,-96,-95,-95,-94,-100,-95,-94,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-91,-100,-100,-100,-98,-100,-100,545.0,515.5999999999998,18.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
-66,-62,-70,-70,-70,-70,-67,-70,-67,-75,-70,-67,-69,-69,-70,-69,-72,-67,-72,-75,-75,-83,-87,-69,-92,-92,-100,-100,-100,-100,-100,-92,-93,-98,-100,-93,-100,-100,-87,-100,-62,-93,-100,-100,-100,-84,-72,-95,-62,-100,-100,-79,-72,-72,-72,-81,-81,-95,-100,-85,-95,-72,-74,-89,-82,-100,-100,-76,-76,-69,-75,-93,-92,-76,-76,-75,-77,-69,-97,-100,-88,-90,-95,-100,-100,-100,-100,-100,-75,-93,-100,-100,-100,-98,-81,-80,-86,-88,-98,-86,-100,-100,-100,-96,-92,-93,-100,-88,-96,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-91,-92,-89,-92,-100,-100,-100,-100,-91,-97,-96,-92,-90,-92,-94,-92,-94,-88,-79,-79,-94,-100,-97,-90,-92,-93,-95,-94,-100,-96,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
-66,-62,-71,-70,-70,-69,-67,-69,-67,-76,-69,-67,-68,-68,-70,-68,-65,-72,-71,-74,-74,-83,-86,-68,-88,-89,-100,-100,-100,-100,-100,-88,-96,-98,-100,-92,-100,-100,-84,-100,-62,-97,-100,-100,-100,-87,-65,-96,-62,-100,-100,-78,-71,-71,-71,-85,-80,-92,-100,-84,-93,-71,-74,-89,-81,-100,-100,-77,-77,-70,-76,-97,-89,-76,-76,-73,-77,-70,-94,-100,-90,-85,-93,-100,-100,-100,-100,-100,-73,-90,-100,-100,-100,-96,-81,-80,-87,-88,-96,-86,-100,-100,-100,-98,-90,-90,-100,-88,-93,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-94,-87,-91,-94,-100,-100,-100,-100,-91,-97,-97,-89,-89,-89,-95,-90,-95,-87,-79,-79,-98,-96,-94,-93,-95,-95,-93,-92,-100,-100,-94,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
-65,-61,-71,-71,-71,-70,-67,-70,-67,-76,-71,-67,-69,-69,-69,-69,-65,-72,-71,-74,-74,-83,-86,-69,-88,-88,-95,-100,-100,-100,-100,-84,-95,-96,-100,-88,-100,-100,-87,-100,-61,-94,-95,-100,-100,-87,-65,-96,-61,-100,-100,-78,-71,-71,-71,-85,-80,-95,-100,-79,-91,-71,-74,-89,-80,-100,-100,-77,-77,-68,-74,-94,-88,-77,-77,-73,-78,-68,-91,-100,-93,-86,-95,-100,-100,-100,-100,-100,-73,-93,-100,-100,-100,-93,-80,-79,-87,-87,-96,-84,-100,-100,-100,-100,-90,-90,-100,-88,-96,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-94,-87,-91,-94,-100,-100,-100,-100,-90,-97,-97,-92,-92,-92,-97,-90,-97,-83,-79,-79,-98,-93,-93,-95,-97,-98,-93,-95,-100,-100,-97,-98,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
-66,-62,-70,-70,-70,-70,-67,-70,-67,-75,-70,-67,-69,-69,-70,-69,-72,-67,-72,-75,-75,-83,-87,-69,-92,-92,-100,-100,-100,-100,-100,-92,-93,-98,-100,-93,-100,-100,-87,-100,-62,-93,-100,-100,-100,-84,-72,-95,-62,-100,-100,-79,-72,-72,-72,-81,-81,-95,-100,-85,-95,-72,-74,-89,-82,-100,-100,-76,-76,-69,-75,-93,-92,-76,-76,-75,-77,-69,-97,-100,-88,-90,-95,-100,-100,-100,-100,-100,-75,-93,-100,-100,-100,-98,-81,-80,-86,-88,-98,-86,-100,-100,-100,-96,-92,-93,-100,-88,-96,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-91,-92,-89,-92,-100,-100,-100,-100,-91,-97,-96,-92,-90,-92,-94,-92,-94,-88,-79,-79,-94,-100,-97,-90,-92,-93,-95,-94,-100,-96,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
-65,-61,-71,-71,-71,-70,-67,-70,-67,-76,-71,-67,-69,-69,-69,-69,-65,-72,-71,-74,-74,-83,-86,-69,-88,-88,-95,-100,-100,-100,-100,-84,-95,-96,-100,-88,-100,-100,-87,-100,-61,-94,-95,-100,-100,-87,-65,-96,-61,-100,-100,-78,-71,-71,-71,-85,-80,-95,-100,-79,-91,-71,-74,-89,-80,-100,-100,-77,-77,-68,-74,-94,-88,-77,-77,-73,-78,-68,-91,-100,-93,-86,-95,-100,-100,-100,-100,-100,-73,-93,-100,-100,-100,-93,-80,-79,-87,-87,-96,-84,-100,-100,-100,-100,-90,-90,-100,-88,-96,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-94,-87,-91,-94,-100,-100,-100,-100,-90,-97,-97,-92,-92,-92,-97,-90,-97,-83,-79,-79,-98,-93,-93,-95,-97,-98,-93,-95,-100,-100,-97,-98,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,545.0,529.7999999999998,19.0
