60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:51,38:17:c3:19:45:b2,20:a6:cd:42:0a:d1,38:17:c3:19:45:b1,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,b4:5d:50:e1:96:43,38:17:c3:1f:09:81,44:48:c1:91:d0:04,38:17:c3:1f:09:82,44:48:c1:91:d0:02,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:95:a3,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:40,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,9c:d6:43:60:92:e0,38:17:c3:1f:09:80,44:48:c1:91:d0:11,38:17:c3:24:47:50,38:17:c3:1f:19:d0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:14:01,44:48:c1:91:95:a1,44:48:c1:91:d0:14,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:93,44:48:c1:91:95:a2,a8:bd:27:4c:aa:90,b4:5d:50:e1:96:42,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:41,38:17:c3:1f:14:02,44:48:c1:91:d0:00,44:48:c1:91:95:a0,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:b3,38:17:c3:1f:14:00,44:48:c1:91:d0:01,38:17:c3:19:45:b0,a8:bd:27:4c:aa:80,38:17:c3:19:45:a0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,38:17:c3:1f:09:91,66:2a:2f:53:7c:99,38:17:c3:1f:09:92,ac:e2:d3:c4:08:e6,b6:e6:2d:69:d5:58,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,44:48:c1:91:95:b1,86:0d:8e:aa:25:a4,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f3,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,80:8d:b7:55:35:03,80:8d:b7:55:25:e3,b0:be:76:f8:30:5e,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:25:e1,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:35:01,80:8d:b7:55:25:f1,02:54:af:fe:54:11,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:3a:42,80:8d:b7:55:35:11,80:8d:b7:55:3a:50,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1e:ff:01,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:02,38:17:c3:1e:ff:10,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,38:17:c3:1e:ff:00,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:d0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,20:a6:cd:50:24:a0,80:8d:b7:55:39:c2,38:17:c3:19:71:90,80:8d:b7:55:29:c2,00:4e:35:df:06:42,00:4e:35:df:06:40,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:0e:10,00:4e:35:df:06:41,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:30,38:17:c3:1f:22:21,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:32,38:17:c3:1f:22:31,x,y,label
-65,-63,-63,-82,-67,-68,-81,-81,-83,-81,-88,-81,-88,-100,-75,-75,-80,-85,-100,-100,-82,-100,-100,-100,-100,-87,-77,-100,-100,-100,-63,-68,-81,-80,-84,-88,-75,-86,-100,-100,-100,-100,-83,-83,-70,-86,-91,-100,-100,-100,-86,-100,-80,-82,-80,-70,-100,-87,-80,-79,-83,-82,-83,-100,-70,-82,-81,-80,-82,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-78,-100,-100,-100,-89,-88,-90,-81,-81,-82,-88,-80,-80,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-65,-63,-63,-81,-67,-67,-81,-81,-82,-78,-88,-78,-88,-87,-75,-75,-79,-100,-100,-100,-82,-100,-100,-100,-100,-87,-76,-100,-100,-100,-63,-67,-80,-80,-83,-87,-75,-100,-84,-100,-100,-100,-83,-83,-70,-86,-91,-100,-100,-100,-86,-100,-80,-82,-80,-70,-100,-87,-81,-80,-82,-100,-100,-100,-70,-82,-78,-80,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-78,-100,-100,-100,-89,-87,-88,-81,-81,-82,-87,-80,-76,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-73,-53,-53,-82,-65,-65,-100,-100,-100,-82,-87,-81,-87,-87,-77,-77,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-53,-65,-100,-100,-100,-86,-78,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-75,-100,-100,-83,-83,-100,-82,-82,-100,-75,-100,-82,-82,-82,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-72,-52,-52,-83,-68,-67,-100,-100,-100,-81,-87,-81,-87,-87,-77,-77,-86,-100,-89,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-52,-68,-100,-100,-100,-87,-78,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-75,-100,-100,-82,-83,-100,-83,-83,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-71,-52,-52,-82,-68,-68,-100,-100,-100,-81,-87,-81,-87,-87,-77,-78,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-54,-68,-100,-100,-100,-87,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-76,-100,-100,-82,-83,-100,-100,-83,-100,-100,-100,-81,-100,-82,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-73,-52,-52,-82,-68,-68,-100,-100,-100,-80,-86,-80,-86,-86,-77,-77,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-52,-68,-100,-100,-100,-86,-77,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-75,-100,-100,-83,-83,-100,-82,-82,-100,-75,-87,-80,-100,-82,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-80,-80,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-71,-51,-52,-82,-68,-68,-100,-100,-100,-79,-86,-78,-86,-87,-77,-77,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-52,-67,-100,-100,-100,-86,-77,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-83,-82,-100,-82,-82,-100,-75,-87,-79,-100,-82,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-80,-79,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-58,-52,-52,-82,-67,-67,-100,-100,-100,-81,-87,-81,-87,-86,-78,-78,-85,-100,-88,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-53,-67,-100,-100,-100,-86,-78,-89,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-75,-100,-100,-69,-69,-89,-82,-82,-100,-75,-87,-81,-69,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-80,-79,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-69,-59,-59,-100,-63,-63,-100,-100,-100,-82,-100,-82,-100,-100,-76,-76,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-59,-63,-100,-100,-100,-100,-76,-88,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-75,-100,-100,-100,-76,-100,-81,-81,-100,-75,-100,-82,-76,-80,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-78,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-69,-58,-58,-100,-62,-63,-100,-100,-100,-80,-100,-80,-100,-100,-76,-77,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-58,-62,-100,-100,-100,-100,-77,-88,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-73,-100,-100,-77,-76,-86,-79,-78,-100,-73,-100,-80,-76,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-88,-100,-100,-90,-88,-100,-100,-100,-89,-78,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-69,-58,-57,-100,-63,-62,-100,-100,-100,-78,-100,-79,-100,-100,-76,-76,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-58,-62,-100,-100,-100,-100,-76,-88,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-73,-100,-100,-77,-77,-86,-79,-78,-100,-73,-100,-79,-78,-80,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-88,-88,-88,-89,-88,-100,-100,-100,-88,-78,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-57,-57,-100,-63,-63,-100,-100,-100,-80,-100,-79,-100,-100,-76,-76,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-58,-63,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-72,-100,-100,-77,-77,-86,-80,-79,-100,-73,-100,-80,-78,-79,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-76,-100,-87,-87,-87,-88,-87,-100,-100,-100,-89,-78,-78,-78,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-71,-57,-57,-100,-63,-63,-100,-100,-100,-80,-100,-80,-100,-100,-75,-76,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-58,-63,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-73,-100,-100,-78,-77,-100,-79,-79,-100,-73,-100,-80,-78,-79,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-76,-100,-88,-87,-87,-88,-88,-84,-84,-84,-88,-78,-78,-78,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-68,-57,-58,-88,-63,-63,-100,-100,-100,-80,-100,-80,-100,-100,-76,-76,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-58,-63,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-74,-100,-100,-78,-78,-85,-79,-79,-100,-73,-100,-80,-78,-79,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-87,-87,-87,-88,-87,-84,-84,-84,-88,-78,-78,-78,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-77,-51,-51,-86,-53,-53,-100,-100,-100,-75,-100,-75,-100,-90,-82,-82,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-51,-53,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-79,-100,-100,-100,-100,-86,-78,-79,-100,-100,-100,-75,-100,-79,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-83,-100,-100,-100,-88,-100,-87,-79,-100,-100,-100,-79,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-51,-51,-85,-53,-53,-100,-100,-100,-75,-100,-75,-100,-90,-82,-82,-87,-83,-88,-82,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-51,-53,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-79,-100,-100,-83,-100,-86,-79,-79,-100,-100,-100,-75,-100,-79,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-82,-100,-100,-100,-87,-100,-87,-79,-100,-100,-100,-80,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-51,-51,-85,-53,-53,-100,-100,-100,-75,-100,-76,-100,-90,-82,-82,-87,-82,-88,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-51,-53,-100,-100,-100,-100,-82,-100,-82,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-79,-100,-100,-83,-100,-87,-79,-79,-100,-100,-100,-75,-82,-79,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-80,-100,-100,-100,-88,-89,-87,-79,-100,-100,-90,-78,-79,-79,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-51,-51,-85,-53,-53,-100,-100,-100,-76,-100,-76,-100,-100,-83,-82,-100,-82,-88,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-51,-53,-100,-100,-100,-100,-82,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-83,-100,-86,-79,-78,-100,-100,-100,-75,-82,-79,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-80,-100,-100,-100,-88,-89,-88,-100,-100,-100,-90,-78,-79,-79,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-51,-51,-100,-53,-53,-100,-100,-100,-75,-100,-75,-100,-100,-82,-82,-100,-83,-100,-83,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-51,-53,-100,-100,-100,-91,-82,-100,-82,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-78,-100,-100,-100,-100,-86,-78,-78,-100,-100,-100,-75,-82,-78,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-80,-100,-88,-87,-87,-89,-87,-100,-100,-100,-90,-78,-79,-79,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-51,-51,-100,-53,-53,-100,-100,-100,-76,-100,-76,-100,-100,-82,-82,-87,-84,-100,-83,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-50,-53,-100,-100,-100,-91,-82,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-78,-100,-100,-68,-68,-86,-78,-78,-100,-100,-100,-76,-68,-78,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-80,-100,-88,-87,-88,-100,-87,-100,-100,-100,-91,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-50,-50,-100,-55,-55,-100,-100,-100,-81,-100,-81,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-55,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-81,-100,-78,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-74,-100,-84,-84,-85,-85,-84,-100,-100,-100,-85,-76,-75,-75,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-75,-51,-52,-100,-54,-54,-100,-100,-100,-80,-100,-80,-100,-100,-83,-83,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-52,-54,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-77,-100,-100,-100,-100,-84,-78,-79,-100,-76,-100,-80,-100,-78,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-74,-100,-85,-84,-85,-85,-85,-100,-100,-100,-86,-76,-75,-75,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-71,-50,-50,-86,-53,-53,-100,-100,-100,-78,-100,-78,-100,-100,-81,-83,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-51,-53,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-79,-100,-100,-100,-100,-85,-78,-79,-100,-76,-100,-78,-100,-79,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-74,-100,-84,-85,-85,-85,-84,-100,-100,-100,-84,-76,-75,-75,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
