b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:02,80:8d:b7:55:35:01,44:48:c1:a5:82:21,80:8d:b7:55:25:e3,44:48:c1:a5:82:22,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:92:23,00:4e:35:df:06:41,38:17:c3:19:55:52,b4:5d:50:e1:92:33,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,60:32:b1:3e:1a:b8,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,80:8d:b7:55:35:00,38:17:c3:1f:01:90,44:48:c1:a5:82:30,44:48:c1:a5:82:20,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:00,b4:5d:50:e1:92:31,00:4e:35:df:06:42,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:55:51,00:4e:35:df:06:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:32,b4:5d:50:e1:96:43,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,38:17:c3:19:55:50,66:2a:2f:53:7c:99,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:30,00:4e:35:df:06:51,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:de:e1:12,b4:5d:50:e1:96:53,20:a6:cd:50:24:a0,38:17:c3:19:d7:60,38:17:c3:19:45:a1,38:17:c3:19:45:a2,00:4e:35:df:06:50,20:a6:cd:42:0b:f3,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:19:55:42,00:4e:35:de:e1:00,a8:bd:27:4c:bd:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,00:4e:35:de:e1:01,60:32:b1:3e:1a:b7,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,00:4e:35:de:d7:53,38:17:c3:1f:22:21,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,00:4e:35:de:d7:52,00:4e:35:de:d7:51,38:17:c3:19:71:90,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:30,00:4e:35:de:d7:43,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:50,00:4e:35:df:0e:12,00:4e:35:df:0e:01,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:1e:fc:b1,38:17:c3:24:58:a1,00:4e:35:df:27:00,38:17:c3:24:58:b0,38:17:c3:1f:0f:90,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:a1,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:1b:08:a0,x,y,label
-67,-71,-71,-75,-30,-64,-63,-59,-75,-75,-100,-84,-58,-58,-71,-84,-85,-63,-63,-71,-72,-57,-79,-57,-100,-100,-85,-83,-84,-81,-81,-78,-82,-77,-80,-79,-100,-100,-86,-86,-100,-100,-80,-78,-84,-79,-100,-100,-100,-71,-75,-64,-58,-52,-72,-85,-63,-57,-88,-84,-81,-80,-100,-86,-100,-79,-78,-52,-54,-71,-71,-85,-100,-100,-79,-100,-100,-70,-100,-84,-100,-100,-79,-82,-100,-82,-90,-100,-100,-78,-100,-100,-81,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-83,-78,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-68,-65,-65,-77,-33,-64,-64,-59,-75,-77,-100,-100,-59,-59,-100,-100,-100,-63,-63,-72,-73,-59,-79,-59,-85,-86,-84,-83,-100,-81,-79,-80,-83,-100,-78,-79,-100,-100,-89,-86,-100,-100,-83,-78,-80,-84,-100,-100,-100,-64,-75,-64,-60,-53,-74,-100,-63,-59,-86,-83,-80,-79,-100,-88,-100,-84,-79,-53,-53,-71,-71,-80,-79,-100,-84,-100,-100,-71,-81,-84,-84,-84,-84,-81,-100,-82,-89,-100,-100,-78,-100,-100,-81,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-90,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-71,-63,-63,-75,-34,-63,-63,-59,-75,-75,-100,-100,-61,-61,-69,-100,-100,-61,-61,-69,-69,-55,-78,-55,-85,-86,-86,-86,-85,-78,-78,-77,-82,-75,-75,-75,-100,-100,-89,-100,-100,-100,-83,-78,-80,-78,-100,-100,-87,-63,-75,-63,-61,-58,-69,-100,-61,-55,-88,-86,-78,-75,-100,-87,-100,-78,-78,-58,-58,-70,-70,-80,-78,-100,-77,-100,-81,-70,-81,-86,-84,-84,-78,-81,-100,-81,-89,-100,-100,-76,-100,-100,-81,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-89,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-66,-72,-73,-78,-37,-100,-100,-61,-77,-77,-100,-100,-62,-62,-72,-83,-83,-55,-55,-75,-100,-45,-75,-45,-100,-100,-100,-100,-100,-77,-76,-100,-84,-100,-76,-76,-100,-100,-83,-84,-100,-100,-100,-100,-81,-81,-100,-100,-100,-72,-77,-100,-62,-54,-100,-84,-55,-45,-89,-100,-77,-75,-100,-84,-100,-80,-100,-54,-54,-64,-64,-81,-100,-100,-81,-100,-100,-64,-100,-84,-100,-100,-100,-80,-100,-100,-88,-100,-100,-100,-100,-100,-80,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-88,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-63,-69,-69,-75,-33,-100,-100,-58,-74,-74,-100,-100,-58,-58,-76,-85,-85,-55,-55,-78,-78,-44,-75,-44,-86,-87,-88,-87,-88,-78,-78,-100,-83,-100,-75,-75,-100,-100,-85,-85,-100,-100,-79,-78,-83,-81,-100,-100,-100,-69,-74,-67,-59,-57,-78,-84,-55,-44,-86,-88,-79,-75,-100,-85,-100,-81,-78,-57,-57,-63,-63,-83,-79,-79,-81,-100,-100,-64,-83,-85,-79,-79,-81,-80,-100,-80,-86,-100,-100,-100,-100,-100,-80,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-88,-87,-100,-85,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-66,-69,-70,-75,-32,-100,-100,-59,-75,-75,-82,-83,-62,-62,-72,-85,-85,-56,-56,-78,-78,-45,-77,-45,-86,-88,-88,-87,-88,-77,-77,-81,-86,-81,-75,-75,-100,-100,-84,-85,-100,-100,-79,-78,-81,-78,-100,-100,-100,-70,-76,-67,-62,-54,-78,-84,-55,-45,-88,-88,-79,-75,-100,-84,-100,-78,-78,-54,-54,-65,-63,-83,-79,-81,-78,-100,-82,-66,-83,-85,-80,-79,-78,-80,-100,-80,-87,-100,-100,-100,-100,-100,-79,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-89,-86,-87,-85,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-67,-67,-67,-76,-30,-100,-100,-62,-75,-75,-82,-83,-60,-60,-77,-100,-100,-55,-55,-77,-78,-45,-77,-45,-86,-86,-87,-87,-87,-78,-79,-81,-84,-81,-76,-76,-100,-100,-84,-85,-100,-100,-100,-81,-80,-81,-100,-100,-100,-68,-75,-100,-60,-54,-75,-100,-55,-45,-86,-87,-79,-76,-100,-84,-100,-80,-100,-54,-55,-67,-67,-80,-100,-78,-81,-100,-82,-67,-100,-86,-78,-100,-81,-80,-100,-80,-88,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-89,-86,-87,-100,-100,-84,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-68,-73,-73,-79,-32,-70,-70,-64,-78,-78,-83,-83,-64,-64,-73,-84,-83,-57,-57,-77,-77,-46,-77,-45,-86,-88,-86,-87,-87,-79,-78,-81,-83,-80,-76,-76,-100,-100,-85,-85,-100,-100,-81,-81,-81,-81,-100,-100,-100,-73,-78,-70,-64,-54,-77,-83,-57,-46,-88,-87,-79,-76,-100,-85,-100,-81,-82,-55,-54,-67,-65,-80,-100,-78,-81,-100,-83,-65,-80,-89,-78,-100,-82,-81,-100,-81,-88,-100,-100,-100,-100,-100,-81,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-88,-88,-87,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-65,-68,-67,-76,-31,-69,-69,-60,-76,-75,-83,-83,-62,-62,-74,-84,-83,-55,-55,-78,-77,-45,-77,-45,-100,-88,-86,-85,-86,-77,-77,-81,-83,-80,-75,-75,-100,-100,-86,-86,-100,-100,-81,-78,-79,-78,-100,-100,-100,-67,-76,-69,-62,-55,-77,-85,-55,-45,-88,-86,-78,-76,-100,-86,-100,-77,-78,-56,-54,-67,-66,-79,-79,-100,-78,-100,-83,-67,-80,-86,-78,-78,-78,-79,-100,-79,-87,-100,-100,-81,-100,-100,-80,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-88,-86,-88,-100,-100,-100,-100,-100,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-66,-68,-69,-100,-33,-69,-70,-61,-100,-100,-100,-82,-64,-64,-76,-100,-100,-56,-56,-100,-100,-49,-77,-47,-100,-100,-100,-86,-100,-81,-81,-78,-100,-100,-71,-70,-100,-100,-100,-100,-100,-100,-81,-72,-80,-79,-100,-100,-100,-69,-100,-70,-64,-58,-76,-100,-56,-49,-100,-86,-81,-71,-100,-100,-100,-79,-100,-58,-58,-68,-69,-100,-71,-80,-79,-100,-100,-69,-100,-83,-80,-80,-79,-78,-100,-78,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-67,-66,-66,-77,-31,-68,-67,-62,-78,-77,-82,-81,-66,-66,-72,-88,-87,-55,-55,-100,-100,-49,-82,-49,-100,-100,-86,-86,-86,-81,-81,-79,-100,-79,-69,-69,-100,-100,-100,-100,-100,-100,-79,-81,-83,-78,-100,-100,-87,-66,-77,-68,-66,-58,-76,-100,-55,-49,-100,-85,-81,-69,-100,-87,-100,-78,-100,-57,-57,-67,-67,-83,-81,-80,-78,-100,-82,-68,-83,-85,-80,-80,-78,-77,-100,-78,-88,-100,-100,-79,-100,-100,-77,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-65,-68,-69,-77,-29,-69,-67,-62,-77,-77,-82,-81,-61,-62,-74,-87,-87,-54,-54,-73,-73,-48,-81,-48,-100,-87,-85,-85,-86,-80,-81,-79,-79,-79,-71,-71,-100,-100,-100,-100,-100,-100,-80,-73,-82,-80,-100,-100,-87,-68,-77,-69,-62,-57,-72,-87,-55,-48,-100,-85,-100,-71,-100,-88,-100,-80,-73,-57,-57,-67,-67,-82,-69,-100,-81,-100,-82,-68,-82,-87,-100,-80,-80,-77,-100,-76,-90,-100,-100,-79,-100,-100,-76,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-87,-89,-100,-82,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-65,-67,-67,-80,-30,-69,-100,-62,-80,-81,-100,-100,-65,-65,-77,-87,-100,-57,-57,-77,-77,-48,-81,-48,-100,-87,-85,-85,-85,-79,-79,-79,-79,-80,-70,-70,-100,-100,-87,-86,-100,-100,-80,-72,-82,-79,-100,-100,-83,-67,-80,-69,-65,-56,-72,-87,-57,-48,-100,-85,-79,-71,-100,-87,-100,-79,-72,-56,-56,-68,-68,-82,-71,-100,-79,-100,-82,-69,-82,-86,-100,-80,-79,-76,-100,-76,-89,-100,-100,-80,-100,-100,-76,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-86,-100,-100,-82,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-63,-66,-66,-77,-33,-100,-100,-65,-77,-77,-83,-84,-64,-64,-76,-100,-100,-56,-56,-76,-76,-47,-81,-47,-100,-100,-85,-86,-85,-79,-79,-79,-78,-80,-71,-71,-100,-100,-86,-86,-100,-100,-100,-71,-78,-80,-100,-100,-83,-66,-77,-100,-64,-55,-76,-100,-55,-47,-100,-85,-79,-71,-100,-86,-100,-80,-71,-54,-55,-68,-68,-78,-71,-100,-80,-100,-84,-69,-100,-86,-100,-80,-80,-81,-100,-80,-89,-100,-100,-80,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-68,-69,-69,-78,-32,-68,-68,-61,-78,-78,-83,-84,-65,-64,-73,-86,-100,-55,-55,-75,-76,-49,-80,-49,-100,-100,-86,-86,-86,-78,-79,-100,-80,-100,-72,-72,-100,-100,-86,-86,-100,-100,-100,-72,-84,-81,-100,-100,-80,-69,-79,-68,-65,-60,-76,-87,-55,-47,-100,-86,-100,-72,-100,-88,-100,-80,-72,-60,-60,-100,-68,-84,-72,-100,-81,-100,-84,-68,-85,-86,-100,-80,-81,-76,-100,-76,-87,-100,-100,-100,-100,-100,-76,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-87,-100,-87,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-61,-66,-66,-75,-31,-70,-71,-63,-76,-75,-100,-100,-62,-62,-73,-100,-100,-59,-59,-73,-73,-54,-79,-54,-88,-88,-82,-83,-83,-78,-75,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-81,-73,-76,-77,-100,-100,-84,-66,-75,-70,-62,-60,-73,-89,-59,-54,-88,-84,-78,-76,-100,-100,-100,-76,-73,-60,-60,-63,-64,-76,-72,-100,-76,-100,-100,-64,-76,-83,-100,-100,-77,-77,-100,-77,-86,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-86,-86,-82,-81,-89,-100,-100,-100,-100,-100,-100,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-52,-65,-65,-75,-45,-70,-71,-61,-75,-74,-100,-100,-63,-63,-73,-100,-100,-64,-64,-72,-72,-55,-100,-55,-100,-100,-82,-82,-82,-78,-100,-100,-85,-83,-73,-74,-100,-100,-100,-100,-100,-100,-81,-73,-76,-78,-100,-100,-84,-65,-74,-70,-63,-58,-73,-89,-64,-55,-100,-82,-78,-73,-100,-88,-100,-78,-74,-58,-58,-63,-64,-76,-74,-100,-78,-100,-100,-64,-76,-81,-100,-100,-78,-77,-100,-79,-86,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-86,-86,-100,-78,-100,-100,-100,-87,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-63,-64,-64,-75,-34,-69,-69,-62,-75,-75,-100,-100,-63,-64,-100,-100,-100,-64,-64,-72,-72,-57,-81,-57,-100,-100,-84,-83,-83,-76,-77,-100,-83,-84,-75,-75,-100,-100,-100,-100,-100,-100,-100,-75,-75,-78,-100,-100,-83,-65,-76,-69,-64,-63,-73,-100,-64,-57,-100,-83,-77,-75,-100,-88,-100,-78,-74,-63,-63,-62,-62,-75,-74,-100,-78,-100,-100,-62,-76,-81,-100,-100,-78,-78,-100,-78,-88,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-85,-100,-100,-80,-100,-100,-100,-86,-100,-100,-100,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-63,-64,-65,-74,-29,-69,-69,-64,-75,-75,-100,-100,-65,-65,-73,-100,-100,-62,-62,-73,-73,-57,-81,-57,-100,-100,-83,-83,-83,-78,-77,-100,-83,-84,-74,-74,-100,-100,-100,-100,-100,-100,-100,-74,-75,-78,-100,-100,-83,-65,-75,-69,-65,-59,-72,-89,-62,-57,-100,-83,-79,-74,-100,-100,-100,-78,-74,-59,-59,-62,-62,-75,-70,-100,-78,-100,-100,-62,-75,-90,-100,-100,-78,-76,-100,-76,-86,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-85,-87,-100,-80,-100,-100,-100,-86,-100,-100,-100,-85,-91,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-62,-67,-67,-73,-36,-69,-69,-62,-73,-73,-100,-100,-62,-62,-73,-88,-87,-60,-60,-72,-72,-55,-80,-56,-100,-100,-84,-84,-84,-78,-77,-100,-87,-100,-74,-74,-100,-100,-100,-100,-100,-100,-81,-75,-76,-76,-100,-100,-100,-67,-73,-69,-62,-60,-72,-88,-60,-55,-100,-84,-77,-74,-100,-100,-100,-76,-74,-59,-60,-61,-61,-77,-70,-100,-76,-100,-100,-61,-75,-81,-83,-100,-76,-75,-100,-75,-85,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-86,-87,-100,-100,-100,-100,-100,-86,-83,-83,-100,-85,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-60,-67,-67,-75,-35,-71,-71,-62,-75,-75,-100,-100,-62,-62,-74,-88,-87,-61,-61,-72,-72,-58,-80,-58,-100,-100,-84,-84,-84,-78,-77,-100,-87,-100,-74,-74,-100,-100,-100,-100,-100,-100,-84,-72,-76,-79,-100,-100,-100,-67,-75,-71,-62,-61,-100,-89,-62,-58,-100,-84,-77,-74,-100,-88,-100,-79,-73,-61,-61,-64,-64,-76,-68,-100,-79,-100,-100,-61,-76,-83,-83,-100,-80,-77,-100,-77,-83,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-79,-88,-83,-83,-79,-100,-100,-100,-86,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
