60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d3,38:17:c3:1f:14:02,20:a6:cd:42:0a:c3,38:17:c3:1f:14:01,38:17:c3:19:45:a1,20:a6:cd:42:0a:c1,44:48:c1:91:d0:04,38:17:c3:19:45:a2,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:c0,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:a3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,44:48:c1:91:95:b3,38:17:c3:1f:09:93,38:17:c3:24:47:51,a8:bd:27:4c:aa:93,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,38:17:c3:1f:14:00,38:17:c3:19:45:b0,44:48:c1:91:d0:11,20:a6:cd:42:0a:c2,38:17:c3:1f:09:80,38:17:c3:1f:14:10,38:17:c3:1f:19:d0,38:17:c3:1f:19:c0,38:17:c3:24:47:50,a8:bd:27:4c:aa:90,66:2a:2f:53:7c:99,b4:5d:50:e1:96:41,44:48:c1:91:d0:02,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,44:48:c1:91:95:a0,38:17:c3:1f:09:92,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:09:91,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,44:48:c1:91:95:a2,a8:bd:27:4c:aa:80,44:48:c1:91:95:b2,38:17:c3:1f:09:90,44:48:c1:91:d0:00,20:a6:cd:42:13:e2,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,44:48:c1:91:aa:22,44:48:c1:91:aa:21,38:17:c3:19:45:a0,38:17:c3:24:47:52,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,38:17:c3:19:d7:61,20:a6:cd:42:0b:f3,38:17:c3:19:d7:60,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f1,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:35:10,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:35:01,80:8d:b7:55:3a:50,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:3a:51,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,80:8d:b7:55:3a:52,80:8d:b7:55:3a:40,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1e:ff:10,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:39:d0,38:17:c3:1e:ff:02,38:17:c3:1e:ff:11,80:8d:b7:55:39:c0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,20:a6:cd:50:24:a0,80:8d:b7:55:29:c1,20:a6:cd:50:24:b0,20:a6:cd:50:24:a1,00:4e:35:df:06:42,00:4e:35:df:06:52,00:4e:35:df:06:40,00:4e:35:df:06:41,20:a6:cd:50:24:b1,80:8d:b7:55:29:c0,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:22:21,38:17:c3:1f:22:31,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:32,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:4d:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,x,y,label
-74,-80,-54,-54,-100,-84,-69,-69,-89,-89,-100,-100,-100,-88,-72,-82,-72,-81,-100,-83,-82,-85,-85,-89,-100,-89,-100,-81,-81,-83,-100,-75,-74,-100,-100,-100,-100,-100,-100,-54,-69,-89,-88,-87,-72,-85,-89,-100,-81,-75,-100,-100,-100,-100,-100,-100,-82,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-85,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-72,-81,-54,-54,-100,-100,-69,-69,-89,-100,-100,-100,-100,-89,-71,-84,-71,-81,-100,-83,-100,-85,-86,-89,-100,-89,-100,-81,-81,-82,-100,-75,-74,-100,-100,-100,-100,-100,-91,-54,-69,-100,-88,-87,-71,-85,-89,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-70,-85,-56,-56,-100,-85,-64,-64,-87,-88,-100,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-84,-84,-88,-100,-100,-100,-100,-100,-84,-100,-69,-69,-100,-100,-100,-100,-100,-100,-56,-64,-100,-86,-100,-70,-84,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-78,-75,-75,-100,-100,-100,-100,-90,-100,-100,-100,-75,-100,-90,-100,-100,-100,-100,-100,-100,-81,-100,-81,-79,-100,-100,-100,-81,-100,-89,-100,-100,-100,-89,-82,-89,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-66,-84,-56,-56,-100,-85,-63,-63,-88,-87,-100,-88,-100,-88,-70,-84,-70,-83,-100,-100,-82,-84,-84,-88,-100,-100,-100,-100,-100,-84,-100,-69,-69,-100,-100,-100,-100,-100,-100,-56,-63,-100,-88,-100,-70,-84,-100,-84,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-80,-76,-74,-100,-100,-100,-100,-90,-100,-100,-100,-75,-100,-91,-100,-100,-100,-100,-100,-100,-81,-100,-80,-84,-100,-100,-100,-81,-100,-89,-100,-100,-100,-89,-82,-89,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-65,-86,-57,-57,-100,-85,-62,-62,-87,-87,-100,-87,-100,-87,-69,-84,-69,-83,-100,-85,-81,-84,-84,-91,-100,-100,-100,-81,-82,-84,-100,-69,-69,-100,-100,-100,-100,-100,-91,-57,-62,-87,-87,-100,-69,-82,-90,-84,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-79,-75,-75,-100,-100,-100,-100,-90,-100,-100,-100,-76,-100,-91,-100,-100,-100,-100,-100,-100,-81,-100,-82,-84,-100,-100,-100,-81,-100,-89,-100,-100,-100,-88,-82,-89,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-65,-86,-57,-57,-100,-100,-64,-64,-87,-86,-100,-87,-100,-87,-70,-85,-70,-81,-100,-85,-81,-83,-83,-90,-100,-100,-100,-82,-81,-83,-100,-70,-70,-100,-100,-100,-100,-100,-91,-57,-64,-87,-87,-86,-70,-82,-90,-100,-81,-70,-100,-100,-100,-100,-100,-100,-100,-100,-78,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-65,-100,-56,-56,-100,-100,-64,-63,-87,-86,-100,-87,-100,-86,-70,-85,-69,-80,-100,-100,-80,-84,-84,-90,-100,-100,-100,-82,-82,-83,-100,-70,-70,-100,-100,-100,-89,-100,-100,-56,-64,-100,-86,-86,-70,-84,-100,-100,-81,-70,-100,-100,-100,-100,-100,-100,-100,-100,-78,-75,-75,-100,-100,-100,-100,-90,-100,-100,-100,-74,-100,-90,-100,-100,-100,-100,-100,-100,-81,-100,-82,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-66,-85,-56,-56,-100,-100,-63,-63,-88,-88,-100,-87,-100,-86,-70,-83,-70,-80,-84,-100,-81,-85,-84,-91,-100,-100,-100,-100,-82,-84,-100,-70,-70,-100,-100,-100,-89,-100,-100,-56,-63,-100,-87,-86,-70,-85,-91,-100,-100,-70,-100,-100,-100,-100,-90,-100,-100,-100,-78,-75,-75,-100,-100,-100,-100,-90,-100,-100,-100,-75,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-80,-84,-100,-100,-100,-100,-83,-88,-100,-100,-100,-88,-82,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-70,-82,-51,-51,-100,-100,-58,-58,-100,-90,-100,-100,-100,-89,-73,-100,-74,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-89,-51,-57,-100,-89,-100,-74,-83,-100,-100,-100,-74,-100,-100,-100,-88,-100,-100,-100,-100,-76,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-78,-100,-78,-78,-78,-100,-85,-100,-89,-100,-86,-100,-88,-88,-85,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-71,-81,-50,-50,-100,-100,-57,-58,-100,-90,-100,-100,-100,-87,-73,-83,-74,-100,-100,-100,-83,-82,-83,-100,-100,-100,-100,-85,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-89,-51,-58,-100,-89,-100,-74,-82,-100,-100,-85,-74,-100,-100,-100,-88,-100,-100,-100,-100,-74,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-77,-100,-77,-78,-77,-84,-86,-84,-89,-100,-86,-100,-88,-88,-85,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-74,-81,-50,-50,-100,-100,-56,-56,-100,-90,-100,-100,-100,-87,-73,-83,-74,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-85,-100,-83,-100,-74,-74,-100,-100,-100,-100,-100,-89,-50,-56,-100,-89,-100,-73,-83,-100,-100,-85,-74,-100,-100,-100,-89,-100,-100,-100,-100,-74,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-77,-100,-77,-78,-77,-84,-87,-84,-89,-88,-86,-100,-88,-88,-85,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-74,-81,-50,-50,-100,-100,-57,-57,-88,-100,-100,-89,-100,-89,-100,-83,-74,-100,-100,-100,-100,-82,-83,-100,-100,-100,-100,-85,-100,-83,-100,-74,-74,-100,-100,-100,-100,-100,-88,-50,-57,-100,-88,-100,-73,-83,-100,-100,-85,-74,-100,-100,-100,-89,-100,-100,-100,-100,-74,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-77,-100,-77,-77,-77,-84,-85,-84,-100,-88,-86,-100,-89,-89,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-71,-81,-52,-50,-100,-100,-57,-57,-89,-100,-100,-89,-100,-88,-100,-81,-100,-100,-100,-100,-100,-83,-83,-100,-100,-90,-100,-85,-84,-83,-100,-74,-74,-100,-100,-100,-100,-100,-88,-50,-57,-100,-88,-100,-73,-82,-90,-100,-100,-74,-100,-100,-100,-88,-100,-100,-100,-100,-74,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-77,-100,-100,-78,-100,-100,-86,-100,-88,-89,-86,-100,-89,-89,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-70,-81,-51,-51,-100,-100,-57,-57,-89,-100,-100,-89,-100,-87,-72,-83,-72,-100,-100,-100,-100,-83,-84,-100,-100,-90,-100,-85,-84,-83,-100,-74,-74,-100,-100,-100,-100,-100,-88,-51,-57,-100,-87,-88,-73,-83,-90,-100,-100,-74,-100,-100,-100,-88,-100,-100,-100,-100,-74,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-80,-77,-100,-100,-78,-100,-84,-86,-84,-88,-89,-87,-84,-89,-89,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-74,-84,-50,-50,-100,-100,-55,-56,-100,-89,-100,-100,-100,-88,-74,-83,-74,-77,-82,-100,-78,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-100,-100,-100,-100,-100,-100,-50,-56,-89,-89,-100,-74,-80,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-75,-75,-100,-82,-83,-82,-100,-84,-100,-100,-100,-84,-100,-88,-87,-83,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-74,-84,-50,-50,-100,-100,-56,-56,-100,-89,-100,-100,-100,-89,-74,-83,-74,-77,-81,-83,-77,-80,-80,-100,-100,-100,-100,-100,-82,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-51,-56,-89,-88,-86,-74,-80,-100,-81,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-76,-77,-100,-100,-83,-81,-100,-83,-100,-100,-100,-84,-100,-100,-87,-84,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-78,-84,-51,-50,-100,-100,-56,-55,-100,-89,-100,-100,-100,-89,-74,-83,-73,-78,-82,-83,-77,-78,-78,-100,-100,-100,-100,-100,-82,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-51,-55,-88,-89,-86,-74,-79,-100,-82,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-76,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-73,-77,-100,-100,-83,-81,-100,-84,-100,-100,-100,-84,-100,-100,-87,-85,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-75,-84,-50,-50,-100,-100,-55,-55,-100,-89,-100,-100,-100,-89,-74,-83,-73,-78,-81,-83,-78,-79,-78,-100,-100,-100,-100,-100,-82,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-51,-55,-88,-89,-86,-74,-78,-100,-82,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-78,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-77,-100,-100,-100,-81,-100,-85,-100,-100,-100,-84,-100,-100,-87,-84,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-76,-84,-51,-51,-100,-100,-56,-56,-100,-88,-100,-100,-100,-89,-74,-100,-73,-78,-82,-100,-77,-78,-78,-100,-100,-100,-82,-82,-83,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-51,-56,-88,-88,-86,-74,-79,-100,-82,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-88,-88,-84,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-74,-83,-51,-51,-100,-100,-57,-57,-88,-89,-100,-100,-100,-88,-75,-100,-75,-78,-81,-82,-78,-78,-78,-100,-100,-100,-83,-82,-83,-79,-100,-78,-78,-100,-100,-100,-100,-100,-100,-50,-57,-88,-88,-88,-75,-78,-100,-82,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-77,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-100,-100,-100,-83,-100,-100,-84,-100,-100,-100,-84,-100,-87,-88,-84,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-79,-86,-51,-51,-100,-100,-62,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-82,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-51,-62,-100,-100,-100,-100,-76,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-74,-74,-100,-72,-72,-72,-100,-82,-100,-100,-100,-83,-100,-100,-100,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-51,-51,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-77,-100,-77,-84,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-51,-61,-100,-100,-100,-77,-76,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-74,-73,-100,-73,-74,-73,-100,-83,-100,-100,-100,-83,-100,-100,-100,-83,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
