38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,b0:be:76:f8:30:5e,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,80:8d:b7:55:25:f3,38:17:c3:19:d7:72,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:df:06:41,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:51,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:10,38:17:c3:1f:01:80,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:3a:40,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,38:17:c3:19:45:b0,00:4e:35:df:06:42,00:4e:35:df:06:52,20:a6:cd:50:24:b0,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:03,38:17:c3:19:d7:71,00:4e:35:df:06:40,38:17:c3:19:d7:62,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,b4:5d:50:e1:92:30,00:4e:35:df:06:51,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:96:53,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:19:d7:70,20:a6:cd:50:24:a0,80:8d:b7:55:3a:50,b4:5d:50:e1:96:50,b4:5d:50:e1:92:31,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:d7:61,20:a6:cd:50:24:a2,00:4e:35:df:06:50,38:17:c3:19:d7:60,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:21,b4:5d:50:e1:92:23,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,b4:5d:50:e1:92:22,38:17:c3:1e:ff:11,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:50,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:de:e1:12,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:00,60:32:b1:3e:1a:b7,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,a8:bd:27:4c:bd:22,00:4e:35:de:d7:51,38:17:c3:1f:08:50,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:19:71:90,38:17:c3:1f:22:30,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:20,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:21,38:17:c3:19:45:a0,00:4e:35:de:d7:40,38:17:c3:19:45:a2,38:17:c3:19:45:a1,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:12,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,64:e5:99:c3:13:3c,00:4e:35:df:27:00,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:b1,38:17:c3:24:58:b2,00:4e:35:df:27:02,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:01,38:17:c3:1f:0f:90,38:17:c3:24:4f:02,38:17:c3:1e:fc:b2,38:17:c3:1b:08:b0,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:1b:08:a0,38:17:c3:1b:08:a2,x,y,label
-72,-72,-29,-63,-100,-100,-69,-100,-88,-76,-76,-76,-100,-100,-54,-54,-57,-61,-61,-57,-67,-66,-51,-51,-83,-83,-76,-77,-78,-83,-100,-100,-100,-71,-76,-82,-76,-71,-100,-88,-77,-100,-62,-57,-67,-83,-76,-100,-71,-82,-87,-85,-69,-69,-72,-100,-71,-100,-100,-100,-87,-83,-82,-83,-84,-100,-69,-54,-51,-100,-100,-76,-100,-84,-100,-100,-100,-100,-100,-100,-100,-84,-80,-79,-100,-100,-80,-100,-79,-79,-79,-80,-80,-100,-80,-79,-79,-82,-100,-100,-100,-82,-82,-100,-90,-100,-100,-100,-100,-100,-89,-88,-100,-85,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-69,-69,-26,-63,-100,-100,-64,-100,-88,-77,-77,-76,-100,-100,-54,-54,-56,-61,-61,-56,-67,-66,-51,-51,-83,-83,-76,-77,-75,-83,-100,-100,-100,-71,-75,-85,-75,-69,-100,-88,-77,-100,-61,-56,-67,-83,-76,-100,-71,-81,-87,-82,-69,-69,-72,-100,-71,-82,-100,-87,-87,-83,-81,-83,-84,-100,-69,-54,-51,-100,-100,-75,-100,-84,-100,-100,-100,-82,-100,-81,-82,-84,-80,-79,-100,-100,-80,-100,-80,-81,-80,-80,-80,-100,-80,-81,-82,-82,-100,-100,-100,-82,-82,-100,-90,-100,-100,-100,-100,-100,-89,-90,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-76,-76,-33,-64,-100,-100,-69,-100,-100,-72,-71,-72,-100,-100,-59,-59,-61,-69,-68,-61,-69,-69,-63,-63,-86,-86,-72,-100,-75,-86,-88,-100,-100,-70,-73,-84,-73,-76,-100,-91,-71,-100,-69,-61,-69,-86,-100,-100,-69,-79,-100,-75,-73,-74,-75,-87,-70,-80,-100,-89,-100,-79,-78,-79,-79,-100,-73,-59,-63,-87,-100,-73,-100,-80,-100,-100,-100,-81,-100,-79,-78,-83,-78,-100,-100,-100,-78,-100,-78,-78,-77,-78,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-84,-100,-91,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-100,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-73,-73,-33,-63,-100,-100,-67,-88,-88,-72,-72,-72,-100,-100,-58,-58,-61,-65,-65,-61,-69,-66,-65,-65,-86,-85,-76,-76,-74,-85,-88,-100,-100,-70,-74,-100,-74,-73,-100,-87,-72,-100,-65,-61,-67,-85,-76,-100,-69,-76,-88,-77,-74,-74,-75,-100,-70,-79,-100,-100,-100,-81,-78,-80,-80,-100,-74,-58,-65,-88,-100,-74,-100,-80,-100,-100,-100,-78,-100,-79,-78,-78,-78,-77,-100,-100,-78,-100,-81,-81,-81,-79,-80,-81,-81,-100,-100,-84,-100,-100,-100,-84,-84,-80,-91,-100,-100,-100,-100,-100,-88,-89,-100,-100,-88,-82,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-72,-72,-37,-63,-100,-100,-66,-88,-88,-72,-72,-72,-100,-100,-60,-60,-62,-65,-65,-62,-69,-68,-59,-58,-83,-83,-76,-76,-72,-83,-100,-100,-100,-100,-71,-84,-71,-72,-100,-87,-72,-100,-65,-62,-68,-82,-76,-100,-72,-78,-87,-77,-72,-72,-71,-100,-71,-79,-100,-100,-100,-80,-78,-81,-81,-100,-74,-60,-59,-88,-100,-71,-100,-81,-100,-100,-100,-79,-100,-78,-78,-82,-78,-78,-100,-100,-78,-100,-80,-80,-81,-79,-82,-81,-81,-75,-75,-85,-100,-100,-100,-85,-85,-75,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-88,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-72,-72,-34,-62,-100,-100,-65,-100,-100,-72,-72,-72,-100,-100,-59,-59,-63,-64,-65,-63,-66,-66,-59,-59,-83,-83,-100,-100,-72,-83,-100,-100,-100,-71,-72,-83,-72,-72,-100,-100,-72,-100,-64,-63,-66,-82,-100,-100,-71,-78,-87,-77,-72,-73,-73,-88,-71,-79,-100,-100,-100,-81,-77,-81,-81,-100,-100,-59,-59,-100,-100,-72,-100,-79,-100,-100,-100,-78,-100,-78,-79,-82,-78,-78,-100,-100,-78,-100,-80,-79,-80,-79,-80,-80,-80,-77,-75,-86,-100,-100,-100,-86,-86,-75,-91,-100,-100,-100,-100,-100,-89,-89,-100,-100,-100,-100,-89,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-71,-71,-34,-65,-100,-100,-65,-100,-100,-72,-71,-72,-100,-100,-59,-59,-63,-64,-64,-63,-66,-66,-60,-59,-84,-100,-73,-73,-73,-83,-100,-100,-100,-71,-73,-84,-73,-72,-100,-100,-72,-100,-64,-63,-66,-84,-73,-100,-71,-81,-88,-77,-72,-73,-73,-88,-71,-79,-100,-100,-100,-80,-81,-81,-80,-100,-100,-59,-60,-100,-100,-73,-100,-79,-100,-100,-100,-78,-100,-78,-79,-81,-78,-78,-100,-100,-100,-100,-80,-80,-80,-77,-81,-81,-80,-77,-77,-85,-100,-100,-100,-86,-85,-78,-90,-100,-100,-100,-100,-100,-89,-89,-100,-100,-89,-84,-89,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-72,-72,-34,-62,-100,-100,-65,-100,-100,-72,-72,-72,-100,-100,-58,-58,-62,-65,-65,-62,-67,-67,-61,-61,-83,-83,-73,-74,-72,-83,-100,-100,-100,-71,-71,-84,-71,-72,-100,-100,-72,-100,-65,-63,-67,-82,-74,-100,-71,-80,-88,-81,-72,-73,-73,-100,-71,-78,-100,-100,-100,-80,-80,-81,-81,-100,-72,-100,-62,-100,-100,-71,-100,-81,-100,-100,-100,-78,-100,-80,-78,-79,-78,-78,-92,-100,-100,-100,-82,-81,-82,-77,-81,-81,-100,-77,-77,-83,-100,-100,-100,-83,-82,-78,-90,-100,-100,-100,-100,-100,-89,-89,-100,-100,-89,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-72,-72,-29,-70,-100,-100,-61,-100,-89,-80,-80,-80,-100,-100,-61,-61,-63,-62,-62,-63,-100,-100,-58,-58,-86,-87,-76,-77,-75,-86,-100,-100,-100,-72,-69,-86,-69,-71,-100,-88,-81,-100,-63,-63,-100,-86,-77,-100,-72,-76,-100,-82,-73,-73,-72,-100,-72,-100,-100,-100,-100,-83,-76,-83,-82,-100,-73,-61,-58,-100,-100,-69,-100,-82,-100,-100,-100,-100,-100,-76,-100,-100,-76,-75,-100,-100,-77,-100,-76,-100,-100,-77,-77,-77,-77,-100,-78,-86,-100,-86,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-86,-100,-86,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-72,-72,-31,-68,-100,-100,-62,-87,-88,-79,-79,-79,-100,-100,-59,-59,-65,-64,-64,-65,-64,-63,-63,-63,-86,-87,-76,-77,-74,-87,-100,-100,-100,-71,-68,-83,-69,-70,-100,-88,-79,-100,-64,-65,-100,-86,-77,-100,-71,-76,-100,-81,-72,-71,-72,-100,-71,-100,-100,-100,-100,-82,-75,-83,-83,-100,-73,-59,-63,-100,-100,-69,-100,-82,-100,-100,-100,-100,-100,-76,-100,-81,-77,-77,-100,-100,-77,-100,-76,-76,-76,-77,-75,-77,-74,-78,-78,-84,-100,-86,-100,-84,-84,-79,-100,-86,-86,-100,-100,-100,-88,-88,-100,-85,-88,-86,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-77,-29,-70,-100,-100,-61,-87,-88,-82,-81,-81,-100,-100,-60,-59,-65,-62,-61,-65,-63,-63,-61,-61,-86,-100,-77,-78,-78,-86,-100,-100,-100,-73,-68,-85,-68,-70,-100,-89,-82,-100,-62,-65,-63,-85,-77,-100,-73,-76,-100,-81,-74,-73,-74,-100,-71,-100,-100,-100,-100,-82,-76,-82,-82,-100,-73,-59,-61,-100,-100,-68,-100,-82,-100,-100,-100,-100,-100,-76,-100,-79,-77,-75,-100,-100,-77,-100,-75,-75,-76,-78,-74,-74,-74,-78,-78,-84,-100,-86,-100,-84,-84,-73,-100,-86,-86,-100,-100,-100,-88,-88,-100,-85,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-75,-28,-70,-100,-73,-63,-100,-100,-81,-81,-82,-100,-100,-59,-59,-65,-63,-63,-65,-62,-62,-59,-59,-86,-100,-77,-78,-78,-86,-100,-100,-100,-73,-68,-85,-68,-100,-100,-89,-81,-100,-63,-65,-61,-85,-77,-100,-74,-76,-100,-78,-72,-73,-74,-100,-73,-100,-100,-100,-100,-82,-76,-82,-82,-100,-72,-59,-59,-100,-100,-68,-100,-82,-100,-100,-100,-100,-100,-76,-100,-79,-78,-76,-100,-100,-78,-100,-77,-77,-77,-78,-74,-74,-74,-78,-100,-82,-100,-86,-100,-83,-82,-73,-100,-86,-86,-100,-100,-100,-87,-88,-100,-100,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-78,-77,-28,-69,-100,-73,-61,-100,-100,-79,-79,-79,-100,-100,-60,-60,-65,-65,-65,-65,-62,-62,-59,-58,-100,-100,-100,-100,-76,-87,-100,-100,-100,-74,-69,-100,-69,-77,-100,-100,-79,-100,-65,-65,-62,-87,-100,-100,-74,-77,-100,-80,-71,-71,-71,-100,-74,-82,-100,-100,-100,-83,-76,-82,-82,-100,-72,-59,-59,-100,-100,-69,-100,-82,-100,-100,-100,-83,-100,-76,-100,-79,-78,-76,-100,-100,-78,-100,-76,-76,-77,-78,-100,-100,-100,-100,-100,-86,-100,-86,-100,-86,-86,-100,-100,-86,-86,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-74,-75,-32,-66,-100,-100,-61,-100,-100,-82,-82,-82,-100,-100,-59,-59,-65,-63,-63,-65,-63,-63,-59,-59,-100,-100,-100,-100,-76,-84,-100,-100,-100,-71,-68,-84,-68,-75,-100,-100,-82,-100,-63,-65,-64,-85,-100,-100,-71,-75,-100,-80,-74,-74,-71,-100,-71,-83,-100,-100,-100,-82,-75,-82,-82,-100,-74,-59,-59,-90,-100,-68,-100,-82,-100,-100,-100,-83,-100,-75,-82,-79,-77,-100,-100,-100,-78,-100,-76,-77,-76,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-88,-88,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-84,-100,-39,-67,-100,-100,-63,-100,-100,-76,-77,-76,-100,-100,-58,-58,-70,-64,-64,-70,-64,-64,-63,-63,-85,-84,-76,-76,-100,-85,-100,-100,-100,-100,-69,-100,-68,-100,-100,-100,-76,-100,-64,-71,-64,-85,-75,-100,-69,-76,-100,-77,-70,-70,-67,-100,-100,-100,-100,-100,-100,-82,-76,-82,-81,-100,-100,-100,-63,-100,-100,-69,-100,-81,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-77,-100,-100,-100,-100,-100,-100,-85,-100,-86,-100,-100,-85,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-71,-71,-36,-66,-100,-100,-60,-100,-100,-76,-75,-76,-84,-100,-58,-58,-68,-63,-63,-68,-64,-65,-63,-63,-85,-85,-74,-74,-74,-85,-100,-100,-100,-70,-68,-100,-68,-71,-100,-89,-75,-100,-63,-68,-64,-85,-74,-100,-69,-76,-100,-78,-69,-69,-67,-100,-100,-100,-100,-100,-100,-85,-75,-84,-85,-100,-70,-58,-64,-88,-100,-68,-100,-84,-100,-100,-100,-100,-100,-75,-100,-100,-100,-79,-100,-100,-80,-100,-79,-79,-79,-81,-76,-76,-77,-79,-100,-87,-100,-86,-100,-86,-87,-79,-100,-87,-86,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-72,-72,-40,-66,-70,-70,-60,-100,-100,-75,-75,-75,-84,-100,-59,-59,-70,-63,-63,-70,-65,-65,-69,-69,-85,-84,-74,-74,-74,-83,-100,-100,-100,-70,-68,-83,-68,-72,-70,-89,-75,-100,-63,-70,-65,-85,-75,-100,-100,-76,-100,-78,-70,-70,-70,-100,-72,-100,-100,-100,-100,-85,-76,-86,-86,-100,-70,-59,-69,-88,-100,-68,-100,-84,-100,-100,-100,-100,-100,-75,-100,-100,-100,-78,-100,-100,-80,-100,-79,-79,-79,-82,-75,-76,-77,-81,-81,-86,-100,-87,-100,-86,-87,-81,-100,-87,-87,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-72,-72,-35,-66,-71,-71,-62,-100,-100,-77,-77,-77,-100,-100,-57,-57,-67,-62,-62,-67,-65,-65,-68,-69,-85,-84,-74,-74,-74,-85,-100,-100,-100,-71,-68,-83,-68,-72,-72,-88,-77,-84,-62,-67,-65,-84,-74,-100,-71,-76,-100,-79,-70,-70,-66,-100,-71,-81,-100,-100,-100,-100,-76,-85,-84,-100,-70,-58,-70,-100,-100,-68,-100,-82,-100,-100,-100,-100,-100,-76,-100,-81,-100,-78,-100,-100,-100,-100,-79,-79,-79,-80,-75,-100,-75,-81,-80,-87,-100,-87,-100,-87,-87,-81,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-76,-76,-35,-67,-76,-75,-64,-100,-100,-77,-75,-75,-100,-100,-57,-58,-68,-65,-65,-68,-64,-65,-70,-67,-85,-87,-75,-74,-74,-84,-100,-100,-100,-72,-68,-83,-68,-76,-76,-88,-75,-84,-65,-68,-64,-84,-74,-100,-72,-77,-100,-78,-69,-69,-66,-100,-72,-81,-100,-100,-100,-85,-77,-84,-84,-100,-69,-58,-71,-89,-100,-68,-100,-83,-100,-100,-100,-82,-100,-77,-100,-84,-100,-80,-100,-100,-100,-100,-80,-81,-80,-80,-75,-100,-75,-100,-80,-86,-100,-87,-100,-86,-87,-100,-88,-87,-100,-100,-100,-100,-88,-88,-100,-100,-88,-100,-89,-100,-86,-100,-90,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-72,-73,-35,-64,-71,-71,-63,-87,-100,-76,-76,-76,-100,-100,-58,-58,-68,-63,-63,-68,-66,-66,-67,-66,-86,-87,-74,-74,-75,-86,-88,-100,-100,-69,-67,-86,-68,-72,-72,-86,-77,-100,-63,-68,-66,-87,-75,-100,-69,-77,-88,-83,-70,-70,-69,-100,-69,-100,-87,-100,-100,-85,-77,-82,-83,-100,-70,-58,-67,-87,-87,-67,-100,-83,-100,-100,-100,-82,-100,-77,-100,-84,-81,-79,-100,-100,-82,-100,-78,-78,-79,-82,-75,-75,-75,-100,-100,-85,-100,-86,-100,-84,-85,-100,-100,-85,-86,-100,-100,-100,-88,-88,-85,-84,-88,-85,-89,-100,-100,-100,-90,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-77,-76,-33,-70,-70,-100,-61,-100,-100,-74,-74,-74,-100,-100,-63,-63,-69,-67,-67,-69,-60,-60,-100,-100,-84,-84,-75,-75,-74,-83,-100,-100,-100,-100,-64,-81,-64,-77,-71,-100,-74,-100,-67,-69,-60,-83,-74,-100,-100,-76,-89,-78,-67,-68,-68,-100,-100,-84,-100,-100,-100,-100,-76,-100,-87,-100,-68,-63,-65,-100,-100,-64,-100,-87,-100,-100,-100,-100,-100,-76,-100,-86,-100,-100,-100,-100,-82,-100,-76,-77,-76,-100,-71,-71,-71,-100,-100,-84,-100,-100,-100,-100,-100,-78,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-72,-72,-33,-66,-69,-68,-60,-100,-100,-76,-74,-76,-100,-100,-62,-62,-64,-67,-67,-65,-60,-60,-63,-63,-84,-84,-75,-76,-74,-85,-100,-100,-100,-100,-67,-81,-67,-72,-69,-100,-76,-100,-67,-65,-60,-83,-76,-100,-100,-75,-89,-80,-71,-71,-68,-100,-100,-84,-100,-100,-88,-100,-75,-100,-88,-100,-71,-62,-64,-100,-100,-67,-100,-88,-100,-100,-100,-100,-100,-76,-100,-86,-100,-100,-100,-100,-80,-100,-76,-76,-75,-100,-72,-72,-72,-77,-77,-85,-100,-100,-100,-85,-85,-78,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
