60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,60:32:b1:3e:1a:b7,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,44:48:c1:91:d0:04,b4:5d:50:e1:96:42,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,44:48:c1:91:d0:02,44:48:c1:91:d0:00,20:a6:cd:42:0a:c3,38:17:c3:1f:14:01,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,38:17:c3:19:45:a1,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,38:17:c3:1f:09:91,38:17:c3:1f:09:92,44:48:c1:91:95:b3,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,38:17:c3:1f:00:b0,44:48:c1:91:d0:11,38:17:c3:19:45:a0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,86:0d:8e:aa:25:a4,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c1,38:17:c3:1f:14:12,38:17:c3:19:45:a2,38:17:c3:1f:14:11,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,38:17:c3:1f:00:a1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:a0,38:17:c3:1f:09:81,38:17:c3:1f:09:83,a8:bd:27:4c:aa:82,44:48:c1:91:95:a3,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:14:00,44:48:c1:91:95:a2,38:17:c3:1f:09:80,66:2a:2f:53:7c:99,38:17:c3:1f:14:02,20:a6:cd:42:13:e2,38:17:c3:19:45:b0,a8:bd:27:4c:aa:80,44:48:c1:91:95:b0,44:48:c1:91:95:b1,a8:bd:27:4c:aa:81,38:17:c3:24:47:50,a8:bd:27:4c:aa:93,b6:e6:2d:69:d5:58,a8:bd:27:4c:aa:90,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:61,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b0:be:76:f8:30:5e,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:50,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:d0,38:17:c3:19:71:90,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:36:20,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:1e:ff:00,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:d2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1e:ff:02,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,20:a6:cd:50:24:b0,80:8d:b7:55:39:d1,00:4e:35:df:06:42,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:52,38:17:c3:1f:22:30,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:31,38:17:c3:1f:0e:00,38:17:c3:1f:22:32,x,y,label
-66,-56,-81,-86,-87,-87,-87,-100,-100,-62,-62,-100,-84,-81,-68,-100,-100,-100,-90,-90,-90,-100,-100,-75,-83,-100,-100,-100,-100,-100,-100,-57,-87,-100,-100,-83,-62,-90,-84,-100,-100,-100,-100,-100,-100,-100,-72,-100,-71,-100,-100,-71,-56,-81,-81,-100,-85,-86,-78,-100,-100,-100,-69,-100,-84,-100,-68,-100,-81,-78,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-82,-100,-83,-88,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-70,-55,-81,-100,-100,-87,-87,-85,-87,-62,-62,-83,-100,-72,-72,-87,-100,-100,-100,-100,-100,-75,-100,-75,-81,-100,-100,-100,-100,-100,-100,-55,-87,-100,-85,-84,-62,-100,-100,-100,-100,-100,-100,-74,-85,-74,-75,-76,-74,-100,-88,-75,-55,-82,-82,-100,-81,-82,-76,-100,-100,-100,-71,-100,-100,-100,-71,-100,-82,-76,-100,-100,-76,-100,-100,-100,-100,-82,-100,-100,-100,-77,-77,-78,-86,-87,-87,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-67,-54,-81,-100,-100,-87,-87,-100,-87,-61,-60,-100,-100,-100,-72,-87,-100,-100,-89,-89,-100,-100,-100,-76,-81,-100,-100,-100,-100,-100,-100,-54,-87,-100,-100,-100,-60,-100,-84,-100,-100,-100,-100,-100,-100,-100,-76,-83,-76,-100,-88,-76,-54,-81,-81,-100,-82,-86,-77,-100,-100,-100,-73,-100,-100,-100,-73,-100,-82,-77,-100,-100,-77,-100,-100,-100,-100,-86,-100,-100,-77,-78,-78,-78,-85,-86,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-69,-53,-82,-100,-100,-88,-87,-86,-100,-59,-59,-85,-100,-100,-73,-88,-100,-87,-89,-89,-100,-100,-100,-74,-82,-100,-100,-100,-100,-100,-100,-53,-89,-100,-100,-100,-59,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-83,-78,-100,-100,-78,-53,-83,-84,-100,-81,-86,-76,-100,-100,-100,-73,-100,-100,-100,-73,-100,-100,-76,-100,-100,-76,-100,-100,-100,-100,-80,-100,-100,-77,-78,-78,-78,-85,-85,-88,-85,-85,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-73,-53,-82,-100,-100,-87,-86,-86,-100,-60,-60,-85,-100,-84,-74,-88,-100,-87,-100,-91,-100,-100,-100,-77,-81,-100,-100,-100,-100,-100,-100,-54,-86,-100,-100,-100,-60,-100,-82,-100,-100,-100,-100,-100,-100,-100,-74,-100,-74,-100,-100,-75,-53,-80,-80,-100,-81,-100,-76,-100,-100,-100,-73,-100,-81,-100,-73,-100,-80,-78,-100,-100,-76,-100,-100,-100,-100,-76,-100,-100,-80,-78,-78,-78,-86,-86,-87,-85,-85,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-69,-54,-82,-100,-100,-88,-86,-100,-100,-60,-60,-85,-100,-83,-74,-86,-100,-100,-100,-91,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-54,-87,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-82,-100,-80,-54,-80,-81,-100,-81,-80,-77,-100,-100,-100,-100,-100,-81,-91,-74,-100,-81,-78,-100,-100,-77,-100,-100,-100,-100,-77,-100,-100,-80,-77,-77,-77,-85,-85,-88,-86,-85,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-72,-53,-82,-100,-100,-88,-100,-100,-100,-62,-62,-85,-100,-83,-75,-88,-100,-100,-100,-91,-100,-82,-100,-74,-81,-100,-100,-100,-100,-100,-100,-53,-88,-100,-100,-100,-62,-91,-83,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-82,-88,-78,-53,-82,-82,-100,-84,-80,-77,-100,-100,-100,-100,-100,-81,-91,-75,-100,-82,-77,-100,-100,-77,-100,-92,-100,-100,-75,-100,-100,-80,-77,-77,-77,-86,-86,-87,-87,-86,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-72,-55,-82,-86,-100,-100,-100,-100,-100,-54,-54,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-75,-100,-100,-82,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-54,-100,-75,-100,-100,-100,-100,-100,-100,-100,-82,-75,-82,-100,-100,-82,-55,-80,-81,-100,-100,-84,-81,-100,-100,-100,-73,-100,-82,-100,-73,-100,-81,-82,-100,-100,-82,-100,-100,-100,-100,-73,-100,-100,-78,-82,-100,-100,-86,-86,-87,-86,-86,-83,-84,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-72,-55,-82,-86,-100,-89,-100,-100,-100,-57,-57,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-74,-100,-80,-82,-100,-100,-100,-100,-100,-100,-55,-88,-100,-100,-100,-57,-100,-74,-100,-100,-100,-100,-100,-100,-100,-82,-74,-82,-82,-100,-82,-55,-82,-82,-100,-83,-83,-81,-100,-100,-100,-73,-100,-82,-100,-73,-100,-82,-82,-100,-100,-82,-100,-100,-100,-100,-80,-100,-100,-78,-82,-100,-100,-86,-85,-86,-86,-86,-83,-84,-86,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-77,-56,-82,-100,-100,-89,-100,-100,-100,-56,-56,-100,-100,-84,-73,-88,-100,-100,-100,-100,-100,-74,-100,-80,-82,-100,-100,-100,-100,-100,-100,-56,-89,-85,-100,-100,-56,-100,-74,-100,-100,-100,-100,-100,-100,-100,-82,-74,-82,-82,-88,-82,-56,-82,-83,-100,-83,-83,-80,-100,-100,-100,-73,-100,-82,-100,-73,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-80,-79,-79,-79,-85,-86,-86,-86,-86,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-73,-56,-82,-100,-100,-90,-100,-100,-100,-56,-56,-100,-100,-84,-73,-88,-100,-100,-100,-92,-100,-75,-100,-79,-82,-100,-100,-100,-100,-100,-100,-56,-89,-85,-100,-100,-56,-100,-75,-100,-100,-100,-100,-83,-100,-82,-82,-75,-82,-82,-88,-83,-55,-82,-83,-100,-83,-83,-80,-100,-100,-100,-73,-100,-100,-100,-73,-100,-83,-80,-100,-100,-100,-100,-100,-100,-100,-77,-91,-100,-80,-79,-79,-79,-86,-86,-85,-86,-86,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-72,-55,-82,-100,-100,-91,-100,-100,-100,-55,-55,-100,-100,-100,-72,-88,-100,-100,-100,-91,-100,-76,-100,-79,-100,-100,-100,-100,-100,-100,-100,-55,-91,-87,-100,-100,-55,-91,-76,-100,-100,-100,-100,-83,-100,-82,-81,-75,-80,-82,-89,-81,-55,-82,-82,-100,-100,-83,-80,-100,-100,-100,-72,-100,-100,-100,-72,-100,-82,-81,-100,-100,-80,-100,-100,-100,-100,-74,-91,-100,-100,-100,-100,-78,-85,-85,-86,-85,-85,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-77,-55,-82,-100,-100,-90,-100,-100,-100,-56,-56,-100,-100,-100,-73,-88,-100,-100,-100,-91,-100,-75,-100,-78,-100,-100,-100,-100,-100,-100,-100,-55,-90,-87,-100,-100,-56,-91,-75,-100,-100,-100,-100,-100,-100,-100,-80,-74,-80,-100,-89,-80,-55,-81,-80,-100,-100,-84,-80,-100,-100,-100,-73,-100,-100,-100,-73,-100,-81,-81,-100,-100,-80,-100,-100,-100,-100,-74,-87,-100,-100,-80,-80,-80,-85,-86,-85,-85,-85,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-71,-50,-83,-100,-100,-100,-100,-100,-100,-56,-56,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-77,-77,-100,-100,-83,-100,-100,-100,-100,-79,-100,-83,-100,-78,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-71,-100,-78,-100,-88,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-78,-49,-86,-100,-100,-100,-100,-88,-100,-56,-56,-100,-100,-100,-78,-88,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-49,-100,-86,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-84,-78,-100,-100,-78,-50,-79,-79,-100,-100,-83,-82,-100,-100,-100,-79,-100,-84,-100,-78,-100,-79,-100,-100,-100,-82,-100,-100,-100,-100,-73,-100,-100,-71,-80,-79,-79,-86,-86,-88,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-76,-49,-83,-100,-100,-100,-100,-88,-100,-53,-53,-100,-100,-86,-80,-88,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-50,-100,-86,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-83,-100,-100,-83,-49,-76,-76,-100,-100,-83,-83,-100,-100,-100,-79,-100,-84,-100,-79,-100,-77,-83,-100,-100,-82,-100,-100,-100,-100,-72,-100,-100,-71,-77,-79,-77,-81,-81,-88,-82,-82,-81,-81,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-73,-50,-86,-100,-100,-100,-100,-88,-100,-54,-54,-100,-100,-82,-80,-88,-100,-100,-100,-100,-100,-100,-100,-85,-83,-100,-100,-100,-100,-100,-100,-50,-100,-86,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-82,-76,-100,-100,-76,-50,-77,-77,-100,-100,-82,-83,-100,-100,-100,-100,-100,-84,-100,-79,-100,-77,-83,-100,-100,-82,-100,-100,-100,-100,-74,-100,-100,-100,-77,-79,-77,-85,-85,-88,-85,-82,-81,-81,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-71,-52,-86,-83,-100,-100,-100,-100,-100,-54,-54,-100,-100,-86,-78,-100,-100,-100,-100,-100,-100,-80,-100,-82,-83,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-54,-100,-81,-100,-100,-100,-100,-100,-100,-100,-78,-80,-78,-100,-100,-78,-52,-77,-77,-100,-81,-82,-83,-100,-100,-100,-100,-100,-100,-100,-79,-100,-77,-83,-100,-100,-82,-100,-100,-100,-100,-71,-100,-100,-100,-77,-79,-77,-86,-86,-88,-85,-82,-81,-81,-88,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-72,-53,-86,-83,-100,-100,-100,-87,-100,-54,-54,-100,-100,-79,-79,-90,-100,-100,-100,-100,-100,-79,-100,-70,-81,-100,-100,-100,-100,-100,-100,-53,-90,-100,-100,-100,-54,-100,-81,-100,-100,-100,-100,-75,-100,-75,-79,-79,-79,-75,-91,-79,-53,-76,-76,-100,-81,-82,-70,-100,-100,-100,-100,-100,-81,-100,-78,-100,-77,-70,-100,-100,-70,-100,-100,-100,-100,-71,-100,-100,-77,-78,-79,-80,-86,-86,-89,-85,-100,-81,-81,-88,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-71,-50,-87,-100,-100,-100,-100,-100,-100,-52,-52,-100,-100,-88,-77,-100,-100,-100,-100,-100,-100,-73,-100,-84,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-52,-100,-74,-100,-100,-100,-100,-100,-100,-100,-80,-74,-79,-100,-100,-80,-50,-83,-83,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-77,-100,-83,-100,-100,-100,-83,-100,-100,-100,-100,-75,-100,-100,-73,-77,-77,-77,-86,-87,-86,-100,-88,-100,-82,-85,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-71,-50,-87,-100,-100,-100,-100,-100,-100,-52,-52,-100,-100,-88,-79,-100,-100,-100,-100,-100,-100,-71,-100,-84,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-52,-100,-72,-100,-100,-100,-100,-100,-100,-100,-82,-72,-82,-100,-100,-83,-50,-82,-82,-100,-100,-100,-84,-100,-100,-100,-79,-100,-100,-100,-78,-100,-83,-100,-100,-100,-83,-100,-100,-100,-100,-78,-81,-100,-73,-77,-77,-77,-85,-85,-88,-84,-85,-100,-82,-88,-87,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-75,-48,-86,-100,-100,-91,-100,-100,-100,-52,-52,-100,-100,-88,-79,-100,-100,-100,-100,-100,-100,-72,-100,-84,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-52,-100,-72,-100,-100,-100,-100,-100,-100,-100,-85,-72,-85,-100,-100,-85,-48,-80,-80,-100,-100,-100,-84,-100,-100,-100,-79,-100,-100,-100,-78,-100,-80,-100,-100,-100,-83,-100,-100,-100,-100,-73,-81,-100,-74,-77,-77,-77,-86,-86,-86,-86,-86,-83,-82,-85,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-73,-51,-86,-100,-100,-91,-100,-100,-100,-50,-50,-100,-100,-87,-79,-100,-100,-100,-100,-100,-100,-72,-100,-84,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-50,-100,-72,-100,-100,-100,-100,-100,-100,-100,-83,-72,-83,-100,-100,-83,-50,-85,-84,-100,-100,-100,-84,-100,-100,-100,-79,-100,-100,-100,-79,-100,-84,-100,-100,-100,-84,-100,-100,-100,-100,-72,-89,-100,-74,-77,-77,-77,-84,-84,-86,-83,-83,-83,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
