_id,x,y,bssid,ssid,capabilities,frequency,level,atTimestamp
1,260.3294372558594,728.5162353515625,ea:9e:b4:53:24:54,DIRECT-54-HP M227f LaserJet,[WPA2-PSK-CCMP][ESS][WPS],2437.0,-44.0,773755966089.0
2,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:10,csu-guest,[ESS],5180.0,-46.0,773755966089.0
3,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:11,csu-eid,[WPA2-EAP-CCMP][ESS],5180.0,-53.0,773755966089.0
4,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-55.0,773755966089.0
5,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:12,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-55.0,773755966089.0
6,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:00,csu-guest,[ESS],2412.0,-55.0,773755966089.0
7,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:02,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-56.0,773755966089.0
8,260.3294372558594,728.5162353515625,80:8d:b7:55:35:11,csu-eid,[WPA2-EAP-CCMP][ESS],5765.0,-70.0,773755966089.0
9,260.3294372558594,728.5162353515625,80:8d:b7:55:35:12,eduroam,[WPA2-EAP-CCMP][ESS],5765.0,-70.0,773755966089.0
10,260.3294372558594,728.5162353515625,80:8d:b7:55:35:10,csu-guest,[ESS],5765.0,-71.0,773755966089.0
11,260.3294372558594,728.5162353515625,80:8d:b7:55:35:13,engr_labs,[WPA2-PSK-CCMP][ESS],5765.0,-71.0,773755966089.0
12,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d0,csu-guest,[ESS],5240.0,-72.0,773755966089.0
13,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-73.0,773755966089.0
14,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d2,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-73.0,773755966089.0
15,260.3294372558594,728.5162353515625,38:17:c3:1f:01:91,csu-eid,[WPA2-EAP-CCMP][ESS],5220.0,-73.0,773755966089.0
16,260.3294372558594,728.5162353515625,38:17:c3:1f:01:92,eduroam,[WPA2-EAP-CCMP][ESS],5220.0,-73.0,773755966089.0
17,260.3294372558594,728.5162353515625,38:17:c3:1f:01:90,csu-guest,[ESS],5220.0,-74.0,773755966089.0
18,260.3294372558594,728.5162353515625,44:48:c1:a5:82:30,csu-guest,[ESS],5200.0,-75.0,773755966089.0
19,260.3294372558594,728.5162353515625,b0:be:76:f8:30:5e,TP-Link_305E,[WPA2-PSK-CCMP][ESS][WPS],2417.0,-76.0,773755966089.0
20,260.3294372558594,728.5162353515625,44:48:c1:a5:82:31,csu-eid,[WPA2-EAP-CCMP][ESS],5200.0,-76.0,773755966089.0
21,260.3294372558594,728.5162353515625,44:48:c1:a5:82:32,eduroam,[WPA2-EAP-CCMP][ESS],5200.0,-76.0,773755966089.0
22,260.3294372558594,728.5162353515625,80:8d:b7:55:25:f2,eduroam,[WPA2-EAP-CCMP][ESS],5805.0,-76.0,773755966089.0
23,260.3294372558594,728.5162353515625,80:8d:b7:55:25:f0,csu-guest,[ESS],5805.0,-76.0,773755966089.0
24,260.3294372558594,728.5162353515625,80:8d:b7:55:25:f3,engr_labs,[WPA2-PSK-CCMP][ESS],5805.0,-77.0,773755966089.0
25,260.3294372558594,728.5162353515625,80:8d:b7:55:25:f1,csu-eid,[WPA2-EAP-CCMP][ESS],5805.0,-77.0,773755966089.0
26,260.3294372558594,728.5162353515625,80:8d:b7:55:39:c1,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-77.0,773755966089.0
27,260.3294372558594,728.5162353515625,80:8d:b7:55:25:e3,engr_labs,[WPA2-PSK-CCMP][ESS],2437.0,-77.0,773755966089.0
28,260.3294372558594,728.5162353515625,38:17:c3:19:d7:70,csu-guest,[ESS],5785.0,-77.0,773755966089.0
29,260.3294372558594,728.5162353515625,80:8d:b7:55:39:c0,csu-guest,[ESS],2412.0,-78.0,773755966089.0
30,260.3294372558594,728.5162353515625,38:17:c3:1f:01:80,csu-guest,[ESS],2437.0,-78.0,773755966089.0
31,260.3294372558594,728.5162353515625,38:17:c3:19:d7:72,eduroam,[WPA2-EAP-CCMP][ESS],5785.0,-78.0,773755966089.0
32,260.3294372558594,728.5162353515625,38:17:c3:1f:01:81,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-79.0,773755966089.0
33,260.3294372558594,728.5162353515625,38:17:c3:1f:01:82,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-79.0,773755966089.0
34,260.3294372558594,728.5162353515625,44:48:c1:a5:82:20,csu-guest,[ESS],2462.0,-80.0,773755966089.0
35,260.3294372558594,728.5162353515625,44:48:c1:a5:82:21,csu-eid,[WPA2-EAP-CCMP][ESS],2462.0,-80.0,773755966089.0
36,260.3294372558594,728.5162353515625,44:48:c1:a5:82:22,eduroam,[WPA2-EAP-CCMP][ESS],2462.0,-80.0,773755966089.0
37,260.3294372558594,728.5162353515625,80:8d:b7:55:25:e2,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-81.0,773755966089.0
38,260.3294372558594,728.5162353515625,80:8d:b7:55:25:e1,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-82.0,773755966089.0
39,260.3294372558594,728.5162353515625,20:a6:cd:50:24:b0,csu-guest,[ESS],5240.0,-83.0,773755966089.0
40,260.3294372558594,728.5162353515625,20:a6:cd:50:24:b2,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-83.0,773755966089.0
41,260.3294372558594,728.5162353515625,80:8d:b7:55:3a:52,eduroam,[WPA2-EAP-CCMP][ESS],5785.0,-83.0,773755966089.0
42,260.3294372558594,728.5162353515625,80:8d:b7:55:25:e0,csu-guest,[ESS],2437.0,-83.0,773755966089.0
43,260.3294372558594,728.5162353515625,80:8d:b7:55:3a:42,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-84.0,773755966089.0
44,260.3294372558594,728.5162353515625,20:a6:cd:50:24:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-84.0,773755966089.0
45,260.3294372558594,728.5162353515625,80:8d:b7:55:3a:50,csu-guest,[ESS],5785.0,-84.0,773755966089.0
46,260.3294372558594,728.5162353515625,80:8d:b7:55:3a:51,csu-eid,[WPA2-EAP-CCMP][ESS],5785.0,-84.0,773755966089.0
47,260.3294372558594,728.5162353515625,38:17:c3:19:d7:60,csu-guest,[ESS],2462.0,-85.0,773755966089.0
48,260.3294372558594,728.5162353515625,38:17:c3:19:d7:61,csu-eid,[WPA2-EAP-CCMP][ESS],2462.0,-85.0,773755966089.0
49,260.3294372558594,728.5162353515625,2a:16:ad:ec:da:ab,DIRECT-IWENS12311msRS,[WPA2-PSK-CCMP][ESS][WPS],5785.0,-86.0,773755966089.0
50,260.3294372558594,728.5162353515625,38:17:c3:19:d7:62,eduroam,[WPA2-EAP-CCMP][ESS],2462.0,-86.0,773755966089.0
51,260.3294372558594,728.5162353515625,38:17:c3:1e:ff:12,eduroam,[WPA2-EAP-CCMP][ESS],5825.0,-86.0,773755966089.0
52,260.3294372558594,728.5162353515625,38:17:c3:1e:ff:10,csu-guest,[ESS],5825.0,-87.0,773755966089.0
53,260.3294372558594,728.5162353515625,38:17:c3:1e:ff:11,csu-eid,[WPA2-EAP-CCMP][ESS],5825.0,-87.0,773755966089.0
54,260.3294372558594,728.5162353515625,20:a6:cd:50:24:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-88.0,773755966089.0
55,260.3294372558594,728.5162353515625,38:17:c3:19:45:b0,csu-guest,[ESS],5180.0,-88.0,773755966089.0
56,260.3294372558594,728.5162353515625,66:2a:2f:53:7c:99,SETUP,,2462.0,-89.0,773755966089.0
57,260.3294372558594,728.5162353515625,38:17:c3:19:45:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5180.0,-89.0,773755966089.0
58,260.3294372558594,728.5162353515625,38:17:c3:19:45:b2,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-89.0,773755966089.0
59,260.3294372558594,728.5162353515625,00:4e:35:df:06:42,csu-guest,[ESS],2412.0,-91.0,773755966089.0
60,260.3294372558594,728.5162353515625,b4:5d:50:e1:92:33,engr_labs,[WPA2-PSK-CCMP][ESS],5220.0,-92.0,773755966089.0
61,260.3294372558594,728.5162353515625,b4:5d:50:e1:92:23,engr_labs,[WPA2-PSK-CCMP][ESS],2462.0,-92.0,773755966089.0
62,260.3294372558594,728.5162353515625,ea:9e:b4:53:24:54,DIRECT-54-HP M227f LaserJet,[WPA2-PSK-CCMP][ESS][WPS],2437.0,-46.0,776419009479.0
63,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:10,csu-guest,[ESS],5180.0,-47.0,776419009479.0
64,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:11,csu-eid,[WPA2-EAP-CCMP][ESS],5180.0,-51.0,776419009479.0
65,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:12,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-51.0,776419009479.0
66,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-56.0,776419009479.0
67,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:00,csu-guest,[ESS],2412.0,-56.0,776419009479.0
68,260.3294372558594,728.5162353515625,38:17:c3:1f:0e:02,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-57.0,776419009479.0
69,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d0,csu-guest,[ESS],5240.0,-69.0,776419009479.0
70,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-69.0,776419009479.0
71,260.3294372558594,728.5162353515625,80:8d:b7:55:35:12,eduroam,[WPA2-EAP-CCMP][ESS],5765.0,-69.0,776419009479.0
72,260.3294372558594,728.5162353515625,80:8d:b7:55:39:d2,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-70.0,776419009479.0
