b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d2,80:8d:b7:55:35:10,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:90,80:8d:b7:55:25:e3,38:17:c3:1f:01:92,38:17:c3:1f:01:81,80:8d:b7:55:25:e1,00:4e:35:df:06:40,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,44:48:c1:a5:82:21,80:8d:b7:55:25:f1,00:4e:35:df:06:42,00:4e:35:df:06:41,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,38:17:c3:19:d7:72,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:70,20:a6:cd:50:24:a2,38:17:c3:19:d7:61,44:48:c1:a5:82:30,38:17:c3:19:d7:60,44:48:c1:a5:82:32,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:12,20:a6:cd:50:24:b0,ac:e2:d3:c4:08:e6,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,38:17:c3:1f:01:82,80:8d:b7:55:39:c0,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,20:a6:cd:50:24:b2,00:4e:35:df:06:50,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:40,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,66:2a:2f:53:7c:99,38:17:c3:1f:01:80,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:19:55:50,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:45:a1,38:17:c3:19:55:51,b4:5d:50:e1:92:31,b4:5d:50:e1:92:33,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:a0,00:4e:35:de:e1:12,b4:5d:50:e1:92:23,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:08:50,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:10,00:4e:35:de:e1:02,b4:5d:50:e1:92:20,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:38,00:4e:35:df:0e:12,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:d7:41,38:17:c3:19:71:92,38:17:c3:1f:22:32,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:0e:00,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,timestamp
-44,-66,-72,-100,-100,-74,-75,-74,-76,-76,-76,-72,-72,-64,-71,-64,-72,-63,-64,-63,-100,-85,-100,-100,-100,-81,-78,-79,-78,-79,-60,-80,-80,-80,-60,-78,-84,-60,-78,-78,-68,-85,-84,-100,-83,-67,-83,-68,-100,-100,-82,-83,-100,-89,-88,-74,-72,-100,-62,-100,-100,-88,-81,-100,-77,-83,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-88,-100,-100,-100,-100,-89,-100,-87,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-89,-100,-100,-89,-100,-100,-87,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,476,6567008654941
-34,-70,-100,-100,-100,-81,-80,-81,-76,-76,-100,-75,-75,-63,-74,-63,-79,-68,-67,-63,-100,-100,-100,-100,-100,-86,-100,-80,-81,-80,-57,-80,-76,-100,-57,-73,-100,-58,-72,-73,-61,-100,-91,-100,-100,-62,-100,-61,-100,-100,-80,-80,-100,-100,-84,-76,-70,-100,-69,-100,-100,-100,-81,-100,-72,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-85,-89,-88,-85,-100,-100,-84,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6657738056104
-32,-73,-100,-74,-100,-80,-80,-81,-75,-76,-76,-75,-75,-60,-75,-62,-75,-64,-65,-60,-100,-100,-100,-100,-100,-86,-75,-83,-82,-80,-57,-82,-79,-100,-58,-73,-86,-58,-72,-73,-61,-100,-88,-100,-100,-61,-100,-61,-100,-100,-83,-81,-100,-90,-100,-76,-70,-100,-65,-100,-100,-100,-81,-100,-73,-100,-74,-100,-100,-100,-100,-74,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-87,-85,-85,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-89,-100,-85,-89,-86,-85,-100,-100,-84,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6660990501780
-32,-66,-72,-71,-71,-74,-74,-75,-75,-75,-76,-75,-74,-60,-75,-61,-75,-64,-63,-60,-100,-100,-100,-100,-100,-100,-79,-81,-82,-84,-59,-82,-79,-80,-59,-73,-86,-59,-72,-73,-60,-88,-87,-100,-100,-60,-89,-60,-100,-100,-84,-82,-100,-90,-86,-75,-70,-100,-63,-100,-100,-100,-85,-100,-73,-100,-73,-100,-100,-100,-100,-73,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-86,-85,-85,-100,-100,-100,-100,-89,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6664381311987
-32,-66,-72,-71,-71,-78,-76,-77,-75,-75,-76,-74,-73,-62,-74,-61,-73,-64,-64,-61,-100,-100,-86,-100,-100,-83,-79,-84,-84,-83,-56,-82,-79,-80,-56,-74,-86,-56,-74,-75,-60,-87,-86,-100,-100,-60,-89,-60,-100,-100,-82,-82,-100,-100,-85,-73,-76,-100,-64,-83,-81,-100,-83,-100,-73,-100,-73,-100,-100,-100,-100,-74,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-86,-86,-86,-100,-100,-100,-100,-92,-85,-100,-100,-100,-100,-87,-85,-85,-87,-87,-87,-100,-100,-100,-88,-100,-100,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6667791979278
-31,-66,-74,-74,-74,-75,-75,-76,-100,-76,-100,-74,-75,-61,-76,-61,-76,-64,-64,-61,-100,-100,-86,-100,-85,-83,-80,-84,-84,-84,-58,-84,-79,-80,-58,-75,-86,-59,-75,-75,-61,-86,-85,-100,-100,-60,-100,-60,-100,-100,-83,-82,-100,-100,-100,-76,-69,-85,-64,-83,-81,-100,-83,-100,-73,-100,-73,-100,-100,-100,-85,-74,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-87,-85,-85,-87,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6671305211828
-39,-66,-74,-70,-74,-74,-75,-76,-100,-76,-100,-74,-74,-61,-74,-61,-76,-100,-100,-61,-100,-100,-100,-100,-85,-100,-80,-81,-83,-82,-58,-83,-79,-80,-58,-76,-88,-59,-75,-75,-59,-86,-88,-100,-100,-59,-100,-60,-100,-100,-83,-83,-100,-100,-100,-75,-72,-85,-100,-100,-100,-100,-83,-100,-73,-100,-73,-100,-100,-89,-85,-74,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-87,-100,-100,-90,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,463,6674042927869
-32,-59,-74,-76,-74,-73,-73,-73,-78,-100,-78,-73,-74,-64,-74,-64,-74,-64,-62,-65,-100,-100,-100,-100,-100,-100,-78,-82,-82,-82,-61,-82,-79,-80,-61,-72,-88,-61,-72,-72,-64,-89,-90,-100,-100,-64,-87,-63,-100,-100,-76,-79,-100,-91,-92,-74,-70,-100,-66,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-86,-84,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-85,-87,-88,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6733161150763
-30,-64,-74,-75,-75,-73,-73,-73,-78,-100,-78,-73,-74,-63,-74,-63,-74,-63,-62,-64,-100,-100,-80,-100,-100,-79,-79,-83,-83,-84,-60,-83,-80,-80,-60,-72,-88,-60,-72,-72,-64,-89,-90,-100,-100,-64,-87,-63,-100,-100,-77,-79,-100,-91,-100,-74,-67,-100,-63,-80,-79,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-90,-89,-100,-100,-100,-100,-86,-84,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-85,-87,-88,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6736490254564
-34,-60,-74,-75,-75,-73,-73,-73,-79,-79,-78,-73,-74,-66,-74,-66,-76,-64,-63,-66,-100,-100,-80,-100,-100,-79,-79,-83,-83,-84,-61,-83,-80,-80,-61,-72,-88,-61,-72,-72,-63,-100,-86,-100,-100,-63,-100,-63,-100,-100,-77,-79,-100,-100,-100,-74,-68,-100,-63,-80,-79,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-89,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6739905739146
-30,-59,-73,-73,-73,-73,-73,-73,-79,-79,-78,-72,-72,-66,-72,-66,-76,-62,-63,-66,-100,-100,-79,-100,-100,-100,-80,-84,-83,-84,-65,-84,-79,-80,-65,-72,-88,-65,-72,-72,-63,-100,-86,-100,-100,-63,-100,-63,-100,-100,-77,-79,-100,-100,-100,-72,-69,-100,-63,-80,-81,-100,-78,-100,-68,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-86,-89,-88,-100,-100,-100,-100,-83,-100,-100,-100,-100,-89,-85,-100,-100,-100,-100,-100,-100,-84,-83,-84,-83,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6743237811645
-31,-67,-73,-73,-73,-72,-72,-72,-79,-79,-79,-74,-73,-62,-74,-63,-76,-63,-63,-63,-100,-100,-79,-100,-86,-100,-80,-83,-81,-84,-64,-83,-79,-80,-64,-68,-100,-64,-69,-69,-63,-100,-86,-100,-100,-63,-100,-63,-100,-100,-79,-79,-100,-100,-100,-74,-66,-100,-63,-100,-81,-100,-78,-100,-68,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-89,-88,-85,-100,-100,-100,-83,-100,-100,-100,-100,-89,-84,-100,-100,-100,-100,-100,-83,-85,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6746700969404
-29,-64,-100,-100,-100,-72,-81,-72,-79,-79,-79,-73,-73,-62,-73,-63,-76,-63,-64,-63,-100,-100,-100,-100,-86,-100,-100,-82,-81,-82,-63,-81,-76,-100,-63,-70,-100,-62,-71,-70,-62,-100,-100,-100,-100,-61,-100,-61,-100,-100,-77,-79,-100,-100,-100,-73,-68,-100,-63,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-89,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-83,-85,-85,-83,-85,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,451,6750086079350
-30,-74,-80,-80,-80,-81,-80,-81,-76,-77,-76,-82,-79,-68,-79,-68,-75,-66,-66,-68,-100,-100,-100,-100,-100,-100,-77,-84,-84,-85,-61,-84,-78,-77,-63,-72,-100,-61,-72,-71,-64,-100,-90,-100,-100,-64,-100,-63,-100,-100,-78,-79,-100,-100,-100,-79,-61,-100,-66,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-84,-82,-100,-90,-100,-100,-100,-83,-83,-91,-100,-100,-83,-100,-100,-82,-84,-100,-100,-100,-100,-100,-87,-100,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6803301665215
-38,-70,-80,-80,-80,-81,-80,-81,-76,-76,-76,-76,-78,-68,-76,-68,-75,-66,-65,-68,-100,-100,-100,-100,-100,-100,-77,-83,-81,-81,-60,-82,-76,-77,-60,-69,-87,-59,-68,-69,-64,-88,-87,-100,-100,-64,-100,-63,-100,-100,-76,-77,-100,-100,-86,-76,-62,-100,-66,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-89,-88,-100,-100,-100,-100,-83,-80,-100,-90,-100,-88,-100,-83,-83,-91,-86,-87,-83,-81,-81,-82,-81,-85,-100,-100,-100,-100,-86,-100,-86,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6806671338964
-33,-71,-77,-79,-100,-83,-83,-81,-76,-76,-76,-77,-78,-68,-79,-69,-75,-64,-65,-68,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-60,-82,-76,-100,-60,-72,-87,-59,-72,-71,-63,-88,-88,-100,-100,-64,-100,-64,-100,-100,-83,-82,-100,-100,-84,-77,-62,-100,-64,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-85,-87,-87,-100,-100,-100,-100,-83,-80,-100,-100,-100,-88,-85,-100,-100,-100,-86,-87,-82,-81,-81,-82,-78,-85,-100,-100,-100,-100,-84,-100,-84,-84,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6810155728234
-32,-70,-77,-79,-100,-79,-80,-81,-78,-76,-76,-76,-76,-66,-76,-66,-76,-66,-65,-67,-100,-100,-78,-100,-100,-100,-77,-85,-84,-84,-57,-84,-77,-77,-58,-73,-88,-59,-74,-74,-62,-100,-89,-100,-100,-62,-100,-61,-100,-100,-82,-82,-100,-100,-89,-76,-62,-100,-64,-100,-100,-100,-81,-100,-72,-100,-73,-100,-100,-87,-100,-73,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-85,-85,-87,-85,-100,-100,-100,-82,-83,-100,-89,-100,-100,-87,-100,-100,-100,-86,-86,-82,-100,-100,-82,-83,-100,-100,-100,-100,-100,-88,-100,-88,-84,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6813524202191
-30,-72,-100,-76,-100,-77,-77,-77,-76,-77,-76,-77,-76,-67,-76,-66,-76,-66,-65,-67,-100,-100,-77,-100,-100,-80,-77,-85,-84,-84,-61,-84,-77,-77,-62,-73,-88,-62,-73,-72,-62,-100,-89,-100,-100,-62,-100,-64,-100,-100,-82,-82,-100,-100,-100,-77,-62,-100,-100,-100,-100,-100,-82,-100,-72,-100,-73,-100,-100,-87,-100,-73,-100,-100,-89,-100,-87,-100,-100,-100,-100,-100,-85,-85,-86,-85,-100,-100,-100,-85,-82,-100,-89,-100,-100,-88,-100,-100,-100,-86,-86,-85,-100,-86,-85,-83,-100,-100,-100,-100,-100,-87,-100,-87,-87,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6816935036825
-30,-67,-79,-77,-78,-77,-77,-79,-76,-77,-76,-77,-77,-67,-78,-67,-80,-100,-100,-67,-100,-100,-81,-100,-100,-80,-77,-82,-82,-82,-60,-82,-76,-100,-62,-73,-100,-61,-73,-73,-64,-100,-87,-100,-100,-64,-100,-64,-100,-100,-80,-81,-100,-100,-100,-78,-60,-100,-66,-100,-100,-100,-81,-100,-70,-100,-70,-100,-100,-87,-100,-70,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-86,-89,-89,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-86,-85,-85,-100,-86,-86,-85,-100,-86,-85,-100,-84,-100,-100,-100,-100,-84,-100,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,438,6820425509063
-30,-66,-79,-79,-80,-81,-100,-81,-100,-75,-100,-74,-76,-71,-74,-72,-76,-67,-68,-72,-100,-100,-100,-100,-100,-80,-72,-82,-81,-82,-66,-81,-72,-72,-65,-70,-100,-65,-70,-69,-69,-100,-100,-100,-100,-68,-100,-68,-100,-100,-71,-100,-100,-100,-100,-74,-65,-100,-100,-79,-79,-100,-71,-100,-68,-89,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-83,-100,-85,-84,-83,-83,-100,-84,-100,-100,-100,-100,-100,-100,-81,-100,-82,-82,-82,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,426,6881286715394
-30,-66,-79,-79,-80,-81,-80,-80,-100,-75,-100,-73,-76,-67,-73,-68,-76,-66,-65,-68,-100,-100,-100,-100,-100,-80,-72,-80,-81,-81,-66,-81,-75,-75,-65,-69,-87,-65,-70,-69,-69,-87,-87,-100,-100,-70,-100,-69,-100,-100,-73,-74,-100,-100,-100,-73,-67,-100,-100,-79,-79,-100,-72,-100,-71,-89,-100,-100,-100,-84,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-87,-100,-83,-100,-85,-85,-83,-91,-100,-84,-82,-100,-100,-100,-100,-100,-85,-100,-85,-84,-85,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,426,6884565985914
-32,-63,-100,-80,-100,-81,-80,-80,-100,-73,-74,-73,-74,-67,-73,-68,-71,-65,-65,-68,-100,-100,-79,-100,-100,-100,-76,-80,-81,-80,-63,-80,-75,-74,-65,-70,-87,-65,-70,-70,-70,-87,-87,-100,-100,-71,-100,-70,-100,-100,-73,-74,-100,-100,-100,-73,-66,-100,-66,-100,-100,-100,-72,-100,-71,-100,-100,-100,-100,-84,-100,-71,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-89,-86,-87,-100,-100,-100,-100,-88,-100,-100,-89,-100,-90,-84,-100,-100,-100,-86,-86,-87,-91,-100,-86,-82,-100,-100,-100,-100,-100,-84,-100,-83,-84,-83,-88,-100,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,426,6887992230183
