ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:25:f0,80:8d:b7:55:39:c1,80:8d:b7:55:25:f1,80:8d:b7:55:39:d2,80:8d:b7:55:25:f2,80:8d:b7:55:39:d1,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:25:f3,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:92,44:48:c1:a5:82:22,38:17:c3:1f:01:90,38:17:c3:19:d7:72,38:17:c3:19:d7:71,44:48:c1:a5:82:21,44:48:c1:a5:82:20,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:70,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,44:48:c1:a5:82:30,80:8d:b7:55:3a:51,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:01,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:00,80:8d:b7:55:3a:50,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:19:45:b0,00:4e:35:df:06:52,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:35:03,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,66:2a:2f:53:7c:99,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,b4:5d:50:e1:92:23,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,60:32:b1:3e:1a:b8,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:19:45:b1,00:4e:35:df:06:51,20:a6:cd:50:24:b1,00:4e:35:df:06:50,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:42,38:17:c3:19:55:50,00:4e:35:df:06:41,72:32:b1:3e:1a:b7,00:4e:35:df:06:40,00:4e:35:de:e1:12,60:32:b1:3e:1a:b7,38:17:c3:19:71:90,38:17:c3:1f:22:30,38:17:c3:19:55:51,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,38:17:c3:19:55:52,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:19:45:a0,b4:5d:50:e1:92:33,00:4e:35:de:e1:11,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:39,38:17:c3:1f:08:50,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:40,a8:bd:27:4c:bd:30,38:17:c3:19:71:82,38:17:c3:19:71:92,38:17:c3:19:71:91,a8:bd:27:4c:bd:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1e:fc:b0,38:17:c3:1f:22:31,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:df:0e:12,38:17:c3:1f:22:32,a8:bd:27:4c:bd:32,00:4e:35:df:0e:10,00:4e:35:df:0e:11,a8:bd:27:4c:bd:31,00:4e:35:df:0e:02,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,00:4e:35:de:d7:41,x,y,timestamp
-50,-50,-50,-50,-61,-61,-62,-67,-67,-67,-67,-71,-100,-80,-72,-81,-77,-81,-76,-71,-71,-72,-81,-76,-77,-78,-82,-78,-78,-78,-100,-100,-100,-78,-76,-85,-86,-85,-82,-86,-85,-100,-83,-100,-85,-100,-83,-84,-100,-100,-88,-73,-73,-71,-83,-83,-82,-90,-100,-100,-100,-100,-100,-74,-100,-100,-90,-100,-89,-100,-88,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,687278877861
-51,-50,-50,-50,-62,-62,-62,-67,-67,-67,-67,-72,-73,-81,-72,-77,-77,-79,-76,-72,-72,-72,-81,-77,-77,-76,-82,-78,-78,-78,-84,-100,-81,-78,-74,-85,-86,-85,-82,-85,-85,-100,-82,-81,-85,-100,-82,-83,-100,-90,-88,-73,-73,-71,-83,-83,-84,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-89,-100,-100,-100,-74,-100,-76,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,690519573693
-56,-58,-58,-58,-62,-62,-62,-67,-68,-67,-67,-71,-73,-76,-76,-77,-76,-77,-75,-74,-74,-72,-75,-76,-77,-76,-79,-77,-80,-80,-80,-80,-77,-80,-86,-83,-82,-82,-79,-81,-82,-100,-80,-82,-81,-100,-81,-82,-81,-100,-86,-77,-74,-73,-79,-79,-79,-100,-81,-81,-81,-100,-79,-100,-88,-87,-86,-100,-86,-87,-87,-76,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,740409478153
-52,-58,-56,-56,-59,-59,-59,-69,-68,-69,-69,-71,-72,-76,-72,-76,-76,-75,-76,-72,-72,-72,-76,-77,-76,-76,-79,-77,-79,-79,-80,-79,-86,-79,-78,-85,-84,-85,-78,-81,-81,-86,-78,-81,-81,-86,-78,-80,-81,-90,-88,-100,-74,-73,-79,-79,-79,-100,-81,-80,-81,-85,-100,-77,-100,-100,-100,-89,-86,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,743778290600
-55,-58,-56,-59,-59,-59,-59,-69,-69,-69,-69,-71,-72,-76,-72,-77,-78,-77,-78,-72,-73,-72,-76,-77,-77,-76,-79,-77,-79,-79,-81,-79,-82,-79,-80,-85,-84,-85,-78,-81,-81,-86,-78,-81,-81,-86,-79,-80,-100,-89,-86,-76,-74,-74,-100,-100,-100,-100,-100,-80,-100,-85,-100,-77,-100,-100,-100,-89,-86,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,747166461849
-64,-57,-56,-57,-59,-59,-59,-69,-69,-69,-70,-100,-100,-76,-100,-75,-77,-77,-77,-72,-73,-72,-76,-77,-78,-77,-79,-77,-79,-79,-81,-100,-100,-79,-78,-86,-84,-85,-79,-81,-81,-100,-79,-81,-81,-100,-79,-80,-100,-89,-86,-76,-100,-74,-80,-81,-80,-100,-82,-81,-100,-87,-100,-76,-87,-100,-100,-89,-86,-100,-86,-100,-76,-76,-89,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,750469264139
-54,-54,-56,-56,-59,-59,-59,-69,-69,-69,-70,-71,-72,-76,-71,-75,-77,-77,-77,-74,-74,-74,-76,-77,-77,-77,-80,-77,-79,-79,-79,-79,-79,-79,-78,-86,-84,-86,-79,-81,-81,-100,-78,-83,-81,-100,-78,-82,-81,-90,-86,-100,-76,-73,-80,-81,-80,-100,-81,-81,-100,-87,-100,-76,-89,-100,-100,-89,-86,-100,-87,-100,-76,-76,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,753702567211
-55,-54,-57,-58,-59,-59,-59,-69,-69,-69,-70,-71,-72,-78,-71,-77,-77,-77,-77,-73,-74,-73,-77,-77,-77,-77,-80,-77,-79,-79,-79,-79,-86,-80,-78,-85,-84,-86,-79,-81,-81,-100,-78,-83,-81,-100,-79,-80,-80,-89,-86,-76,-76,-67,-81,-80,-100,-100,-81,-100,-100,-100,-100,-76,-89,-100,-100,-88,-87,-100,-82,-77,-76,-76,-89,-85,-89,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,693,757096186011
-55,-60,-60,-60,-59,-60,-59,-68,-68,-68,-68,-71,-71,-100,-71,-100,-77,-100,-77,-71,-70,-71,-100,-77,-77,-78,-79,-77,-81,-80,-79,-79,-82,-80,-86,-85,-84,-85,-80,-85,-85,-85,-80,-84,-84,-100,-80,-85,-80,-87,-88,-100,-73,-69,-79,-79,-80,-100,-81,-80,-100,-89,-76,-74,-100,-87,-90,-87,-89,-100,-86,-100,-73,-74,-87,-100,-85,-100,-85,-100,-84,-90,-93,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,671,793725283758
-54,-59,-59,-59,-62,-61,-62,-68,-68,-68,-68,-71,-71,-76,-71,-100,-77,-100,-77,-70,-70,-71,-100,-77,-80,-81,-81,-79,-79,-78,-80,-81,-79,-78,-78,-82,-82,-82,-80,-84,-84,-85,-80,-84,-84,-100,-80,-85,-83,-88,-88,-100,-73,-69,-79,-100,-79,-100,-80,-100,-100,-100,-73,-74,-90,-87,-90,-87,-89,-100,-86,-100,-73,-74,-87,-100,-84,-100,-83,-100,-83,-90,-100,-93,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,671,797116503548
