b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,38:17:c3:1f:01:82,38:17:c3:1f:01:80,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:25:e2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:35:03,80:8d:b7:55:35:02,38:17:c3:19:d7:71,38:17:c3:19:d7:70,38:17:c3:19:d7:61,38:17:c3:19:d7:60,b0:be:76:f8:30:5e,20:a6:cd:50:24:a2,80:8d:b7:55:3a:50,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:25:f2,38:17:c3:1f:01:92,80:8d:b7:55:25:f3,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,44:48:c1:a5:82:31,44:48:c1:a5:82:30,38:17:c3:1e:ff:11,38:17:c3:1f:01:90,44:48:c1:a5:82:32,38:17:c3:1e:ff:10,00:4e:35:df:06:42,00:4e:35:df:06:52,20:a6:cd:50:24:b0,80:8d:b7:55:39:d1,38:17:c3:1f:01:81,38:17:c3:19:d7:72,80:8d:b7:55:35:01,80:8d:b7:55:35:00,38:17:c3:19:d7:62,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1e:ff:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:41,44:48:c1:a5:82:21,44:48:c1:a5:82:22,44:48:c1:a5:82:20,00:4e:35:df:06:40,80:8d:b7:55:25:e3,80:8d:b7:55:3a:40,20:a6:cd:50:24:a0,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,72:32:b1:3e:1a:b8,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:45:b0,66:2a:2f:53:7c:99,20:a6:cd:50:24:a1,38:17:c3:19:45:a0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:de:e1:12,38:17:c3:19:71:90,38:17:c3:19:55:50,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:1f:22:30,68:ff:7b:e4:af:39,38:17:c3:19:55:51,00:4e:35:de:e1:11,b4:5d:50:e1:92:32,00:4e:35:de:e1:02,b4:5d:50:e1:92:31,b4:5d:50:e1:92:33,72:32:b1:3e:1a:b7,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,b4:5d:50:e1:92:30,38:17:c3:1f:08:50,60:32:b1:3e:1a:b7,38:17:c3:1f:08:51,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:50,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:41,68:ff:7b:e4:af:38,38:17:c3:1f:22:32,38:17:c3:1f:08:52,a8:bd:27:4c:bd:21,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:1f:22:31,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:19:71:91,38:17:c3:1f:22:20,00:4e:35:df:0e:12,38:17:c3:19:36:30,38:17:c3:19:55:41,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,a8:bd:27:4c:bd:20,38:17:c3:19:71:92,00:4e:35:df:0e:10,38:17:c3:1f:08:42,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:22,00:4e:35:df:0e:00,00:4e:35:df:0e:11,00:4e:35:df:0e:02,38:17:c3:19:45:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:24:58:b1,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,x,y,timestamp
-40,-50,-54,-55,-56,-59,-60,-60,-71,-72,-73,-73,-73,-73,-73,-74,-74,-75,-76,-76,-77,-78,-78,-79,-80,-80,-82,-82,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-86,-87,-88,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,857023423682
-38,-56,-50,-51,-51,-59,-58,-58,-71,-75,-72,-71,-73,-73,-73,-71,-71,-75,-75,-75,-77,-77,-78,-78,-80,-82,-84,-83,-81,-83,-83,-81,-81,-84,-81,-85,-100,-81,-85,-86,-86,-82,-86,-86,-88,-88,-91,-75,-76,-78,-78,-78,-83,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,860283356857
-39,-54,-50,-50,-51,-59,-59,-59,-100,-75,-70,-71,-71,-73,-72,-71,-70,-78,-75,-75,-75,-77,-78,-78,-83,-82,-83,-83,-83,-83,-83,-83,-83,-84,-82,-83,-84,-82,-88,-88,-85,-82,-87,-85,-100,-89,-90,-75,-76,-78,-78,-78,-82,-89,-91,-77,-78,-84,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,863616472794
-39,-52,-50,-50,-50,-58,-59,-59,-100,-100,-70,-71,-72,-73,-72,-71,-70,-78,-75,-75,-75,-77,-78,-78,-83,-82,-83,-100,-82,-83,-83,-83,-83,-83,-83,-83,-82,-83,-87,-85,-85,-82,-87,-85,-100,-89,-90,-75,-100,-78,-78,-78,-82,-100,-100,-77,-78,-85,-89,-90,-83,-83,-85,-85,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,866968427740
-37,-52,-49,-49,-49,-58,-58,-59,-76,-100,-70,-71,-72,-71,-100,-71,-70,-100,-75,-75,-100,-100,-78,-78,-83,-81,-85,-100,-82,-83,-82,-83,-83,-83,-83,-82,-100,-83,-87,-85,-85,-82,-87,-85,-100,-100,-89,-75,-75,-78,-100,-100,-100,-90,-100,-77,-100,-85,-89,-90,-83,-83,-85,-85,-86,-85,-87,-79,-83,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,870431021176
-45,-44,-49,-49,-49,-58,-58,-58,-75,-75,-71,-71,-72,-71,-100,-71,-71,-100,-75,-75,-77,-79,-78,-78,-83,-82,-83,-100,-82,-82,-82,-83,-83,-80,-83,-81,-100,-83,-100,-100,-85,-82,-100,-86,-87,-100,-89,-75,-74,-78,-77,-100,-82,-90,-100,-77,-100,-85,-89,-90,-82,-100,-84,-100,-100,-85,-86,-79,-82,-84,-85,-86,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,653,873803675811
-39,-54,-54,-54,-55,-57,-57,-58,-100,-100,-65,-64,-75,-75,-75,-64,-65,-100,-70,-70,-70,-70,-78,-77,-79,-79,-79,-100,-82,-78,-76,-84,-83,-77,-82,-78,-80,-82,-84,-85,-87,-81,-84,-88,-100,-87,-100,-70,-74,-78,-71,-71,-80,-100,-100,-100,-100,-87,-100,-100,-100,-81,-100,-79,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,635,926281338759
-37,-57,-53,-53,-53,-56,-57,-56,-100,-100,-64,-64,-73,-73,-73,-64,-64,-100,-69,-70,-67,-69,-77,-77,-79,-78,-80,-100,-82,-76,-75,-81,-81,-77,-81,-75,-82,-81,-82,-81,-87,-81,-82,-87,-100,-87,-93,-69,-74,-77,-69,-69,-80,-89,-100,-100,-100,-87,-100,-100,-80,-81,-100,-79,-80,-78,-100,-100,-80,-85,-100,-100,-100,-100,-87,-87,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,635,929610363810
-37,-55,-55,-54,-53,-57,-57,-57,-73,-76,-64,-64,-73,-73,-73,-64,-64,-76,-69,-70,-67,-70,-77,-77,-100,-78,-78,-100,-81,-77,-77,-81,-81,-77,-81,-76,-100,-80,-82,-81,-87,-80,-82,-87,-100,-100,-92,-69,-76,-77,-69,-69,-80,-85,-100,-100,-100,-87,-100,-100,-80,-81,-100,-100,-100,-78,-100,-78,-80,-85,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,635,932897891257
-38,-54,-55,-55,-56,-57,-57,-57,-73,-76,-64,-65,-73,-73,-73,-64,-65,-75,-69,-70,-67,-69,-79,-77,-100,-100,-78,-84,-80,-76,-77,-80,-80,-75,-81,-76,-81,-80,-83,-83,-87,-80,-85,-87,-100,-86,-91,-69,-76,-76,-69,-70,-80,-91,-100,-76,-77,-87,-100,-100,-80,-81,-100,-100,-100,-100,-100,-75,-80,-85,-100,-100,-100,-100,-86,-86,-100,-89,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,635,936278791724
-39,-53,-55,-55,-55,-57,-56,-56,-74,-100,-65,-65,-73,-73,-73,-65,-65,-75,-69,-70,-67,-69,-78,-77,-79,-79,-81,-84,-81,-75,-77,-80,-81,-75,-81,-75,-81,-80,-82,-85,-87,-80,-84,-86,-100,-86,-92,-69,-100,-77,-69,-68,-100,-91,-100,-76,-77,-87,-100,-100,-100,-81,-100,-77,-77,-78,-100,-75,-100,-85,-100,-100,-100,-100,-85,-85,-90,-87,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,635,939705171619
