72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,44:48:c1:91:d0:04,a8:bd:27:4c:aa:83,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:42,b4:5d:50:e1:96:40,9c:d6:43:60:92:e0,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c0,44:48:c1:91:d0:02,44:48:c1:91:d0:01,44:48:c1:91:d0:12,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c1,44:48:c1:91:d0:00,38:17:c3:1f:14:02,44:48:c1:91:d0:10,44:48:c1:91:d0:11,38:17:c3:1f:14:01,38:17:c3:1f:14:00,44:48:c1:91:d0:14,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,44:48:c1:91:95:a3,20:a6:cd:42:0a:d2,38:17:c3:1f:09:83,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:1f:09:82,b4:5d:50:e1:96:50,38:17:c3:1f:14:11,44:48:c1:91:95:a2,44:48:c1:91:95:b1,a8:bd:27:4c:aa:82,38:17:c3:1f:14:12,38:17:c3:1f:14:10,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:1f:09:93,38:17:c3:24:47:50,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:90,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:45:b0,b4:5d:50:e1:96:41,38:17:c3:1f:09:81,38:17:c3:1f:09:80,a8:bd:27:4c:aa:80,38:17:c3:19:45:a1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,a8:bd:27:4c:aa:81,72:32:b1:3e:1a:b7,38:17:c3:1f:19:c0,20:a6:cd:42:13:e1,20:a6:cd:42:13:e0,44:48:c1:91:aa:20,44:48:c1:91:aa:22,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f0,80:8d:b7:55:25:e3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:35:03,80:8d:b7:55:35:10,66:2a:2f:53:7c:99,80:8d:b7:55:25:e2,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:51,80:8d:b7:55:3a:42,80:8d:b7:55:35:00,80:8d:b7:55:3a:52,b0:be:76:f8:30:5e,38:17:c3:19:71:90,68:ff:7b:e4:af:39,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,38:17:c3:19:71:81,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a0,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,20:a6:cd:50:24:a2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:29:c2,80:8d:b7:55:29:d1,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,x,y,timestamp
-71,-69,-76,-63,-63,-62,-59,-59,-59,-88,-63,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-70,-71,-90,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-71,-100,-100,-65,-71,-72,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-83,-84,-84,-100,-100,-100,-84,-90,-90,-90,-100,-100,-100,-100,-84,-100,-100,-83,-84,-64,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,204,678,1362523755364
-100,-72,-76,-63,-63,-62,-59,-59,-59,-88,-74,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-70,-72,-90,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-71,-100,-100,-75,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-83,-84,-84,-100,-100,-100,-84,-91,-90,-89,-100,-100,-100,-78,-84,-100,-100,-84,-85,-76,-76,-100,-100,-100,-100,-100,-76,-100,-89,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,204,678,1365493146456
-100,-71,-76,-63,-63,-62,-59,-59,-59,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-71,-100,-100,-76,-71,-71,-100,-100,-100,-100,-100,-100,-100,-90,-88,-100,-83,-84,-84,-100,-100,-100,-84,-89,-89,-89,-100,-100,-100,-78,-84,-100,-100,-84,-85,-76,-76,-100,-100,-100,-100,-100,-74,-100,-89,-100,-100,-85,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,204,678,1368553092184
-77,-73,-76,-63,-63,-64,-59,-59,-59,-100,-77,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-88,-72,-72,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-76,-72,-72,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-83,-84,-84,-100,-100,-100,-84,-89,-89,-90,-100,-100,-100,-79,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-76,-100,-89,-100,-100,-85,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,204,678,1371612514423
-73,-76,-80,-57,-58,-57,-53,-53,-54,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-74,-89,-100,-100,-100,-100,-100,-87,-100,-100,-100,-86,-100,-79,-100,-100,-85,-78,-80,-100,-100,-100,-89,-100,-100,-100,-91,-89,-100,-84,-84,-84,-100,-100,-100,-84,-90,-90,-90,-100,-86,-85,-100,-85,-100,-100,-100,-85,-86,-76,-100,-100,-100,-100,-100,-85,-100,-89,-100,-100,-100,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1411933329407
-77,-78,-81,-58,-58,-58,-54,-54,-55,-91,-82,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-76,-90,-88,-75,-76,-87,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-83,-100,-100,-85,-82,-82,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-84,-84,-100,-100,-100,-84,-90,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-79,-100,-89,-80,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1414994659146
-77,-76,-81,-63,-60,-62,-55,-55,-55,-91,-82,-100,-100,-100,-88,-100,-100,-100,-100,-89,-100,-100,-100,-78,-88,-88,-77,-77,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-80,-100,-100,-81,-81,-86,-100,-100,-100,-100,-100,-100,-81,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1418099070863
-81,-78,-81,-61,-61,-61,-55,-55,-55,-100,-82,-88,-100,-100,-100,-100,-87,-100,-100,-89,-88,-88,-100,-78,-88,-88,-77,-78,-88,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-85,-100,-100,-100,-85,-100,-100,-87,-100,-100,-100,-100,-81,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-83,-90,-100,-80,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1421071274716
-81,-79,-81,-61,-61,-62,-55,-55,-55,-100,-82,-89,-100,-100,-100,-100,-87,-100,-100,-100,-88,-88,-100,-78,-100,-100,-78,-78,-88,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-84,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-100,-100,-100,-85,-86,-100,-89,-100,-100,-100,-85,-81,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-81,-90,-100,-80,-100,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1424154439038
-83,-77,-82,-62,-61,-62,-55,-55,-55,-100,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-78,-78,-87,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-84,-100,-100,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-100,-100,-100,-85,-88,-100,-89,-100,-100,-100,-85,-81,-100,-100,-81,-81,-86,-81,-100,-100,-100,-100,-100,-81,-100,-89,-82,-100,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,219,678,1427258045391
-100,-78,-84,-48,-48,-49,-47,-47,-47,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-75,-100,-100,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-77,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1467443702251
-100,-78,-84,-48,-48,-49,-47,-47,-47,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-82,-100,-100,-85,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-100,-100,-100,-89,-84,-84,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-76,-100,-85,-78,-93,-100,-82,-86,-85,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1470392661468
-100,-81,-84,-49,-49,-49,-47,-47,-48,-100,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-83,-100,-100,-85,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-100,-100,-100,-89,-84,-84,-84,-100,-100,-100,-86,-81,-100,-100,-83,-83,-85,-83,-100,-100,-100,-100,-100,-80,-100,-84,-81,-91,-84,-82,-86,-83,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1473471138290
-100,-81,-84,-47,-47,-48,-47,-48,-48,-100,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-83,-100,-100,-85,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-88,-87,-87,-100,-100,-100,-86,-81,-100,-100,-81,-82,-85,-100,-100,-100,-100,-100,-100,-81,-100,-84,-81,-91,-84,-100,-84,-85,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1476574383393
-100,-79,-84,-48,-48,-49,-48,-48,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-86,-87,-87,-100,-100,-100,-79,-81,-100,-100,-81,-82,-100,-84,-100,-100,-100,-100,-100,-75,-100,-86,-78,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1479702440944
-81,-79,-84,-48,-48,-49,-48,-48,-48,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-84,-100,-100,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-90,-86,-85,-86,-100,-100,-100,-83,-81,-100,-100,-80,-81,-100,-84,-100,-100,-100,-100,-100,-74,-100,-85,-78,-100,-100,-100,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,234,678,1482603161359
-100,-77,-83,-55,-55,-56,-47,-46,-46,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-80,-100,-100,-100,-80,-80,-100,-100,-100,-91,-100,-100,-100,-89,-91,-100,-100,-90,-100,-100,-100,-100,-89,-85,-83,-83,-100,-88,-89,-87,-80,-100,-100,-100,-80,-100,-83,-100,-100,-100,-100,-100,-80,-100,-90,-100,-91,-84,-82,-88,-88,-83,-90,-100,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1531624935403
-100,-81,-83,-55,-56,-56,-45,-44,-44,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-79,-100,-100,-100,-80,-80,-100,-100,-100,-91,-100,-100,-100,-89,-90,-100,-100,-90,-100,-100,-100,-100,-89,-86,-86,-85,-100,-88,-89,-87,-80,-100,-100,-81,-80,-100,-83,-100,-100,-100,-100,-100,-76,-100,-90,-100,-89,-84,-82,-88,-88,-83,-92,-100,-90,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1534743961912
-100,-77,-83,-55,-54,-55,-46,-45,-46,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-75,-80,-80,-100,-100,-100,-100,-100,-100,-100,-91,-90,-100,-100,-88,-100,-100,-100,-100,-89,-86,-86,-87,-100,-100,-100,-75,-81,-100,-100,-81,-80,-75,-100,-100,-100,-100,-100,-100,-81,-100,-100,-83,-89,-100,-82,-100,-100,-100,-92,-100,-100,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1537894034203
-76,-78,-83,-55,-54,-55,-46,-46,-46,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-75,-80,-80,-100,-100,-100,-100,-100,-100,-100,-91,-90,-100,-100,-91,-100,-100,-100,-100,-89,-86,-87,-87,-100,-100,-100,-75,-79,-100,-100,-79,-79,-75,-100,-100,-100,-100,-100,-100,-78,-100,-100,-83,-88,-100,-82,-100,-100,-100,-91,-100,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1540951333368
-76,-77,-83,-56,-55,-55,-46,-46,-46,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-75,-80,-79,-100,-100,-100,-100,-100,-100,-100,-91,-89,-100,-100,-90,-100,-100,-100,-100,-89,-86,-87,-87,-100,-100,-100,-76,-79,-100,-100,-79,-79,-76,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-89,-82,-83,-100,-100,-84,-91,-100,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1544050611857
-77,-78,-83,-55,-55,-55,-46,-46,-46,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-74,-78,-79,-100,-100,-100,-100,-100,-100,-100,-91,-90,-100,-100,-88,-100,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-76,-78,-100,-100,-79,-79,-76,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-89,-82,-83,-100,-100,-84,-91,-100,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,249,678,1547111791022
-100,-80,-84,-56,-57,-55,-48,-48,-48,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-81,-100,-100,-83,-81,-81,-100,-100,-100,-90,-100,-100,-87,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-82,-100,-100,-100,-85,-80,-100,-100,-81,-80,-82,-100,-100,-100,-100,-100,-100,-85,-100,-100,-80,-92,-100,-78,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,678,1588967381267
