72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:40,44:48:c1:91:95:a3,44:48:c1:91:d0:11,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:1f:14:00,20:a6:cd:42:0a:d2,38:17:c3:1f:14:01,38:17:c3:1f:14:02,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,38:17:c3:1f:09:83,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:82,b4:5d:50:e1:96:53,38:17:c3:1f:09:81,38:17:c3:1f:09:80,a8:bd:27:4c:aa:81,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,a8:bd:27:4c:aa:93,38:17:c3:1f:09:82,38:17:c3:1f:19:d1,38:17:c3:1f:14:11,38:17:c3:1f:19:d0,38:17:c3:1f:14:12,a8:bd:27:4c:aa:92,38:17:c3:19:45:b2,38:17:c3:1f:14:10,38:17:c3:1f:19:d2,38:17:c3:19:45:b0,a8:bd:27:4c:aa:90,38:17:c3:19:45:b1,38:17:c3:1f:09:93,44:48:c1:91:aa:31,44:48:c1:91:aa:32,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,44:48:c1:91:d0:02,44:48:c1:91:d0:01,44:48:c1:91:d0:00,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:04,20:a6:cd:42:0a:c2,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:83,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b2,86:0d:8e:aa:25:a4,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,38:17:c3:22:61:90,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:95:a2,44:48:c1:91:95:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,ac:e2:d3:c4:08:e6,66:2a:2f:53:7c:99,44:48:c1:91:95:a0,38:17:c3:19:36:30,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:19:45:a1,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,38:17:c3:19:d7:62,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,80:8d:b7:55:25:e3,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:03,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:40,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:3a:51,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,38:17:c3:19:71:90,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,68:ff:7b:e4:af:39,38:17:c3:1e:ff:00,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:02,38:17:c3:19:71:91,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,80:8d:b7:55:39:d0,20:a6:cd:50:24:a1,00:4e:35:df:06:52,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,38:17:c3:1f:22:30,68:ff:7b:e4:af:38,20:a6:cd:50:24:b0,80:8d:b7:55:39:c0,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:31,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:32,38:17:c3:1f:22:21,x,y,timestamp
-76,-74,-76,-65,-66,-66,-65,-65,-65,-86,-100,-100,-100,-100,-88,-72,-100,-72,-100,-100,-100,-100,-85,-100,-76,-100,-100,-88,-76,-100,-100,-100,-85,-100,-100,-74,-100,-74,-84,-100,-74,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-86,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-85,-86,-100,-100,-89,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,194,654,988206450559
-76,-73,-76,-65,-66,-66,-65,-64,-63,-100,-100,-89,-100,-100,-86,-74,-100,-74,-74,-100,-100,-100,-85,-100,-75,-100,-100,-88,-76,-100,-100,-100,-85,-100,-100,-74,-100,-74,-86,-100,-74,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-75,-77,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,194,654,990004477433
-76,-72,-76,-66,-66,-65,-64,-66,-66,-100,-100,-89,-100,-100,-86,-74,-100,-74,-74,-100,-100,-100,-85,-100,-77,-100,-100,-100,-76,-100,-100,-100,-84,-100,-100,-73,-100,-73,-85,-100,-72,-100,-100,-84,-100,-100,-100,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-77,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,194,654,991789235402
-100,-73,-76,-65,-64,-64,-64,-66,-65,-85,-100,-100,-100,-100,-86,-72,-100,-72,-72,-100,-100,-100,-100,-100,-80,-100,-100,-100,-76,-100,-100,-100,-84,-100,-100,-75,-100,-73,-84,-100,-73,-100,-100,-84,-100,-100,-100,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-77,-84,-85,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-85,-90,-85,-100,-90,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,194,654,993554929515
-75,-74,-80,-60,-57,-57,-57,-61,-61,-100,-100,-100,-100,-100,-100,-76,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-73,-100,-73,-100,-88,-73,-100,-88,-87,-90,-90,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-90,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-83,-83,-74,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1051711649441
-75,-76,-82,-55,-57,-57,-56,-57,-57,-100,-100,-86,-87,-87,-86,-76,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-74,-100,-75,-100,-84,-75,-100,-84,-87,-84,-90,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-90,-89,-91,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-84,-83,-76,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-100,-100,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1053495994805
-75,-81,-82,-56,-57,-57,-56,-57,-57,-100,-100,-86,-87,-87,-90,-80,-92,-80,-80,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-100,-88,-75,-100,-88,-88,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-90,-89,-91,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-84,-83,-72,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1055339423086
-79,-79,-82,-62,-56,-56,-56,-63,-62,-100,-100,-89,-100,-100,-90,-76,-92,-76,-76,-100,-100,-100,-90,-100,-85,-100,-86,-100,-100,-100,-100,-100,-89,-100,-100,-73,-100,-74,-89,-89,-74,-100,-89,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1057192790325
-79,-79,-81,-65,-56,-56,-56,-65,-65,-100,-100,-89,-100,-100,-90,-76,-100,-76,-75,-100,-100,-100,-90,-100,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-74,-100,-74,-90,-89,-74,-100,-89,-88,-89,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-83,-79,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-81,-100,-100,-100,-100,-83,-84,-77,-100,-100,-100,-100,-100,-83,-100,-100,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1058964454907
-73,-75,-81,-69,-64,-64,-63,-67,-68,-100,-100,-100,-100,-100,-100,-74,-100,-74,-74,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-74,-100,-74,-90,-100,-74,-100,-89,-88,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-80,-100,-100,-100,-100,-83,-83,-75,-100,-100,-100,-100,-100,-83,-100,-100,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,209,654,1060795611469
-82,-74,-85,-54,-53,-53,-53,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-80,-78,-100,-100,-100,-86,-100,-73,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-85,-100,-83,-100,-85,-84,-100,-85,-90,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-69,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1142993550656
-82,-74,-85,-65,-53,-53,-53,-53,-54,-100,-100,-100,-100,-100,-100,-100,-100,-80,-78,-100,-100,-100,-86,-100,-73,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-84,-100,-83,-100,-87,-84,-100,-85,-89,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-73,-79,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-86,-84,-76,-100,-100,-100,-100,-100,-84,-100,-100,-90,-100,-100,-100,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1144729944249
-76,-74,-85,-57,-53,-53,-53,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-84,-100,-84,-100,-89,-84,-100,-89,-89,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-100,-82,-100,-88,-86,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-86,-83,-76,-100,-100,-100,-100,-100,-84,-100,-100,-90,-82,-88,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1146526357530
-74,-74,-84,-57,-56,-56,-57,-56,-56,-100,-100,-100,-100,-100,-100,-80,-100,-80,-80,-100,-100,-100,-87,-100,-86,-100,-100,-100,-86,-100,-100,-100,-89,-100,-100,-81,-100,-81,-100,-87,-81,-100,-87,-89,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-87,-82,-100,-88,-90,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-83,-77,-100,-100,-100,-100,-100,-84,-100,-100,-100,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1148237756436
-74,-77,-84,-56,-56,-55,-56,-55,-56,-100,-100,-100,-100,-100,-100,-80,-100,-80,-80,-100,-100,-100,-87,-100,-85,-100,-100,-100,-85,-100,-100,-100,-89,-100,-100,-81,-100,-81,-100,-88,-81,-100,-88,-100,-87,-89,-100,-100,-100,-87,-100,-100,-100,-100,-100,-85,-100,-85,-81,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-80,-100,-100,-100,-100,-100,-83,-100,-86,-100,-100,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1150016352633
-76,-73,-83,-54,-56,-55,-56,-54,-55,-100,-100,-100,-100,-100,-100,-80,-100,-79,-79,-100,-100,-100,-87,-100,-85,-100,-100,-100,-85,-100,-100,-100,-89,-89,-100,-81,-100,-81,-100,-85,-81,-100,-86,-91,-85,-89,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-85,-80,-100,-100,-89,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-81,-82,-78,-100,-100,-100,-100,-100,-81,-100,-85,-100,-83,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,224,654,1151785842320
-100,-84,-84,-49,-48,-48,-48,-49,-48,-100,-100,-100,-100,-100,-89,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-86,-79,-100,-87,-100,-86,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-100,-100,-100,-100,-100,-81,-100,-84,-100,-80,-100,-89,-84,-84,-89,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1206665814382
-84,-79,-84,-49,-48,-48,-48,-47,-48,-100,-100,-100,-100,-100,-89,-100,-100,-100,-80,-100,-100,-100,-100,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-79,-100,-80,-100,-87,-79,-100,-87,-100,-86,-90,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-90,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-77,-100,-100,-100,-100,-100,-81,-100,-84,-91,-80,-100,-89,-84,-84,-91,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1208365972350
-84,-83,-83,-48,-48,-48,-48,-47,-47,-100,-100,-91,-100,-100,-91,-100,-100,-100,-80,-100,-100,-100,-100,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-83,-100,-83,-100,-86,-83,-100,-87,-100,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-90,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-81,-88,-79,-100,-89,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1210170823443
-81,-83,-85,-47,-48,-48,-48,-47,-47,-100,-100,-91,-100,-100,-91,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-100,-86,-83,-100,-86,-100,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-79,-80,-78,-100,-100,-100,-100,-100,-80,-100,-81,-88,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1211952365943
-81,-82,-84,-47,-48,-48,-48,-47,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-86,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-79,-100,-77,-100,-86,-79,-100,-86,-100,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-79,-80,-84,-100,-100,-100,-100,-100,-80,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1213692783650
-86,-82,-85,-47,-48,-49,-48,-47,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-75,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-79,-100,-81,-100,-86,-79,-100,-87,-100,-85,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-73,-75,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-78,-79,-84,-100,-100,-100,-100,-100,-77,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,239,654,1215411454431
-79,-80,-83,-62,-45,-44,-44,-61,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-84,-100,-86,-84,-100,-86,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-88,-89,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,654,1261543957486
