38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:42,68:ff:7b:e4:af:38,b0:be:76:f8:30:5e,38:17:c3:24:58:b2,38:17:c3:24:58:b1,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:55:50,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,32:f7:72:50:57:3b,70:56:81:c9:91:ab,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,68:ff:7b:e4:af:39,38:17:c3:1e:fc:a0,66:2a:2f:53:7c:99,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:a1,56:13:79:14:54:6d,20:4e:7f:c2:ff:e8,80:8d:b7:55:3a:51,00:4e:35:df:06:40,80:8d:b7:55:3a:52,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:19:55:41,44:48:c1:a5:82:32,44:48:c1:a5:82:31,38:17:c3:1f:08:52,38:17:c3:1f:08:51,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:21,38:17:c3:19:55:40,44:48:c1:a5:82:30,38:17:c3:1f:08:50,80:8d:b7:55:39:d0,44:48:c1:a5:82:22,38:17:c3:24:58:a2,44:48:c1:a5:82:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e3,80:8d:b7:55:39:c2,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:11,b4:5d:50:e1:92:33,38:17:c3:1e:ff:12,38:17:c3:19:45:b1,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:45:b2,20:a6:cd:50:24:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a2,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:f3,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,80:8d:b7:55:25:e0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:10,38:17:c3:19:45:b0,38:17:c3:19:d7:60,38:17:c3:1f:09:90,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:1f:01:81,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:01:80,38:17:c3:1f:22:30,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,38:17:c3:1f:09:91,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,b4:5d:50:e1:92:31,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:31,b4:5d:50:e1:96:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:30,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:43,80:8d:b7:55:39:c1,a8:bd:27:4c:bd:32,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:20,80:8d:b7:55:39:c0,20:a6:cd:50:24:a0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:22:31,38:17:c3:1f:09:92,38:17:c3:1f:22:32,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:41,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:19:71:91,80:8d:b7:55:3a:40,00:4e:35:de:e1:01,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1e:ff:00,38:17:c3:19:71:92,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:40,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,00:4e:35:df:0e:12,44:48:c1:91:95:b1,44:48:c1:91:95:b0,00:4e:35:de:d7:53,38:17:c3:1f:08:41,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:de:d7:43,38:17:c3:1f:22:20,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:42,38:17:c3:19:36:30,9c:d6:43:60:92:e0,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:4f:00,38:17:c3:24:4f:01,38:17:c3:1b:08:b0,38:17:c3:1b:08:a0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a1,38:17:c3:24:4f:02,38:17:c3:1b:08:a2,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:df:27:00,00:4e:35:df:27:02,x,y,timestamp
-70,-70,-100,-100,-100,-100,-61,-100,-100,-71,-71,-70,-100,-100,-71,-70,-100,-100,-100,-100,-82,-100,-85,-100,-100,-100,-100,-100,-70,-73,-70,-73,-78,-100,-47,-47,-100,-84,-51,-51,-49,-100,-47,-84,-52,-51,-100,-50,-100,-69,-68,-70,-70,-70,-81,-81,-60,-71,-70,-76,-72,-72,-77,-77,-76,-75,-56,-83,-83,-74,-74,-83,-84,-84,-88,-74,-100,-100,-77,-77,-100,-100,-100,-100,-100,-85,-100,-81,-100,-68,-70,-82,-72,-77,-82,-75,-83,-87,-100,-78,-100,-100,-100,-100,-100,-78,-77,-100,-85,-81,-74,-100,-100,-100,-100,-74,-81,-80,-80,-100,-100,-81,-100,-100,-100,-56,-81,-100,-83,-56,-100,-82,-82,-100,-100,-86,-100,-100,-68,-68,-100,-100,-100,-100,-68,-80,-87,-85,-100,-100,-79,-79,-100,-83,-84,-100,-100,-100,-100,-100,-100,-85,-100,-83,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,536,1330704853137
-71,-71,-100,-100,-100,-100,-61,-100,-100,-68,-69,-71,-100,-100,-70,-70,-100,-100,-100,-100,-82,-100,-85,-100,-100,-100,-100,-100,-70,-73,-69,-73,-78,-78,-45,-47,-100,-85,-51,-51,-50,-100,-47,-84,-52,-50,-100,-51,-100,-69,-69,-70,-70,-70,-81,-81,-59,-71,-70,-74,-72,-72,-76,-76,-76,-75,-56,-83,-83,-74,-74,-83,-84,-83,-88,-75,-100,-100,-77,-77,-100,-82,-100,-100,-83,-85,-100,-81,-100,-69,-70,-82,-73,-76,-83,-75,-84,-86,-100,-78,-100,-100,-100,-100,-100,-77,-77,-100,-86,-75,-75,-100,-100,-100,-100,-75,-78,-77,-80,-100,-100,-81,-100,-100,-100,-56,-81,-100,-82,-56,-100,-82,-83,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-68,-80,-87,-87,-100,-100,-79,-79,-100,-83,-84,-100,-100,-100,-100,-100,-100,-85,-100,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,536,1337316252926
-77,-77,-100,-100,-100,-100,-59,-100,-100,-70,-70,-77,-100,-100,-70,-64,-100,-100,-100,-100,-78,-100,-80,-100,-100,-100,-100,-100,-64,-73,-64,-74,-79,-78,-49,-49,-84,-84,-55,-55,-51,-100,-50,-84,-55,-51,-100,-51,-100,-64,-63,-69,-69,-70,-87,-86,-61,-100,-100,-72,-72,-70,-75,-75,-76,-75,-62,-82,-82,-100,-100,-83,-87,-87,-100,-78,-100,-90,-77,-77,-100,-82,-100,-100,-83,-83,-100,-80,-100,-63,-69,-87,-73,-76,-83,-100,-88,-86,-100,-78,-100,-100,-100,-100,-100,-77,-81,-100,-86,-79,-78,-100,-100,-100,-100,-79,-78,-78,-80,-100,-100,-81,-100,-100,-100,-62,-81,-100,-80,-62,-100,-82,-83,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-66,-81,-87,-87,-100,-100,-79,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-83,-100,-84,-83,-84,-81,-86,-87,-89,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1365497285728
-77,-78,-100,-100,-100,-100,-59,-100,-100,-67,-67,-77,-100,-100,-67,-69,-100,-100,-100,-100,-78,-100,-90,-100,-100,-100,-100,-100,-69,-73,-69,-74,-75,-100,-50,-50,-85,-84,-55,-55,-52,-100,-50,-86,-55,-51,-100,-52,-100,-66,-66,-69,-71,-70,-86,-87,-61,-100,-100,-72,-100,-72,-76,-76,-76,-75,-62,-82,-81,-100,-100,-83,-86,-86,-100,-80,-100,-90,-100,-100,-100,-100,-100,-100,-100,-83,-100,-84,-100,-66,-70,-86,-100,-76,-81,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-86,-80,-79,-100,-100,-100,-100,-79,-78,-78,-82,-100,-100,-100,-100,-100,-100,-62,-83,-100,-80,-62,-100,-100,-79,-85,-100,-86,-100,-100,-65,-65,-100,-100,-100,-100,-66,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-85,-100,-85,-83,-86,-81,-86,-87,-89,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1371955395048
-76,-75,-100,-100,-100,-100,-68,-100,-100,-68,-68,-76,-100,-100,-68,-67,-100,-100,-100,-100,-78,-100,-82,-100,-100,-100,-100,-100,-67,-73,-67,-74,-75,-100,-51,-51,-83,-82,-58,-58,-45,-100,-51,-83,-58,-45,-100,-45,-100,-65,-64,-71,-71,-71,-83,-82,-61,-100,-100,-69,-68,-69,-77,-77,-76,-72,-56,-84,-83,-100,-100,-82,-82,-81,-100,-79,-100,-90,-100,-100,-100,-100,-100,-100,-100,-50,-100,-78,-100,-65,-71,-83,-69,-77,-83,-100,-81,-100,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-87,-81,-80,-100,-100,-100,-100,-80,-79,-75,-82,-100,-100,-100,-100,-100,-100,-56,-83,-100,-80,-55,-100,-100,-79,-85,-100,-86,-100,-100,-65,-67,-76,-100,-100,-100,-66,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-85,-100,-85,-83,-86,-81,-86,-87,-89,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1378370742702
-75,-75,-100,-100,-100,-100,-61,-100,-100,-66,-65,-76,-100,-100,-65,-68,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-68,-74,-68,-73,-76,-78,-50,-50,-84,-84,-58,-58,-49,-100,-51,-84,-58,-49,-100,-48,-100,-69,-69,-69,-69,-69,-83,-82,-62,-100,-100,-73,-72,-72,-75,-75,-75,-76,-55,-83,-82,-76,-100,-82,-82,-81,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-79,-100,-69,-69,-83,-71,-75,-83,-100,-81,-87,-100,-81,-100,-100,-100,-100,-100,-100,-84,-100,-87,-78,-78,-100,-100,-100,-100,-78,-76,-76,-81,-100,-100,-81,-100,-100,-100,-54,-82,-100,-100,-55,-100,-100,-81,-85,-100,-86,-100,-100,-66,-66,-73,-100,-100,-100,-66,-81,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-83,-100,-100,-100,-100,-85,-100,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1384875165095
-75,-75,-100,-100,-100,-100,-61,-100,-100,-66,-61,-76,-100,-100,-66,-67,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-67,-74,-67,-75,-77,-78,-49,-49,-82,-84,-56,-56,-49,-100,-49,-82,-56,-49,-100,-49,-100,-69,-69,-71,-70,-70,-83,-82,-59,-100,-71,-72,-67,-72,-75,-75,-75,-76,-56,-83,-82,-76,-76,-82,-82,-81,-84,-78,-86,-100,-82,-81,-100,-100,-100,-100,-100,-81,-100,-79,-100,-70,-70,-83,-76,-75,-84,-77,-81,-86,-100,-83,-100,-100,-100,-100,-100,-83,-84,-100,-87,-78,-78,-100,-100,-100,-100,-78,-78,-76,-81,-100,-88,-81,-100,-100,-100,-56,-81,-83,-100,-56,-100,-79,-80,-100,-100,-86,-100,-100,-66,-66,-74,-100,-100,-100,-66,-80,-100,-100,-100,-100,-81,-81,-100,-83,-83,-100,-83,-100,-100,-100,-100,-85,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1391199230093
-75,-76,-100,-100,-100,-86,-62,-100,-100,-67,-67,-76,-100,-100,-67,-67,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-67,-74,-67,-74,-79,-78,-49,-49,-83,-84,-56,-55,-51,-100,-49,-84,-55,-51,-100,-51,-100,-70,-69,-71,-69,-69,-100,-100,-61,-100,-71,-73,-75,-74,-75,-75,-76,-76,-56,-84,-85,-76,-76,-83,-100,-100,-84,-79,-86,-86,-82,-81,-85,-100,-100,-100,-100,-82,-100,-78,-100,-70,-70,-84,-76,-76,-84,-77,-100,-86,-87,-83,-100,-100,-100,-100,-100,-83,-100,-100,-87,-79,-79,-100,-100,-100,-100,-78,-79,-79,-81,-100,-88,-81,-100,-100,-100,-57,-81,-83,-79,-56,-100,-79,-79,-100,-100,-100,-100,-100,-66,-66,-74,-100,-100,-100,-65,-81,-100,-100,-100,-100,-81,-81,-100,-83,-83,-100,-83,-100,-100,-100,-100,-84,-100,-85,-85,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,518,1397708647747
-74,-74,-100,-100,-100,-86,-56,-100,-100,-69,-69,-74,-100,-100,-68,-63,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-63,-100,-63,-68,-70,-100,-50,-50,-83,-84,-57,-57,-55,-100,-51,-84,-57,-55,-100,-55,-100,-70,-69,-68,-68,-68,-100,-100,-68,-100,-71,-73,-71,-71,-77,-77,-77,-76,-60,-83,-81,-76,-76,-83,-100,-100,-84,-72,-86,-86,-79,-79,-85,-100,-100,-100,-100,-82,-100,-78,-100,-69,-68,-84,-72,-77,-82,-77,-100,-86,-87,-80,-100,-100,-100,-100,-100,-83,-100,-100,-86,-73,-72,-100,-100,-100,-100,-72,-70,-70,-78,-100,-85,-79,-100,-100,-100,-62,-79,-83,-79,-61,-100,-79,-79,-100,-100,-100,-100,-100,-63,-66,-68,-100,-100,-85,-65,-76,-100,-100,-100,-85,-81,-76,-100,-83,-83,-100,-83,-100,-100,-100,-100,-83,-100,-82,-83,-82,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1426864767579
-74,-74,-100,-100,-100,-100,-55,-100,-100,-67,-67,-74,-100,-100,-67,-64,-100,-100,-100,-100,-80,-100,-81,-100,-100,-100,-100,-100,-64,-100,-64,-68,-70,-100,-51,-51,-84,-84,-57,-57,-54,-100,-52,-82,-57,-54,-100,-54,-74,-72,-100,-68,-67,-67,-100,-100,-68,-73,-73,-72,-72,-71,-77,-78,-77,-73,-61,-82,-82,-100,-100,-79,-100,-100,-100,-72,-100,-100,-79,-79,-100,-100,-100,-100,-100,-82,-100,-100,-100,-72,-68,-100,-72,-78,-82,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-85,-100,-100,-86,-72,-72,-100,-100,-100,-100,-72,-70,-70,-80,-100,-84,-80,-100,-100,-100,-61,-80,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-64,-64,-68,-100,-100,-84,-63,-76,-100,-100,-100,-84,-100,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1433641624452
-74,-74,-100,-100,-100,-83,-56,-100,-100,-69,-69,-74,-100,-100,-69,-64,-100,-100,-100,-100,-80,-100,-71,-100,-100,-100,-100,-100,-64,-69,-64,-59,-69,-100,-50,-50,-84,-85,-57,-57,-54,-100,-50,-84,-58,-54,-100,-54,-74,-72,-100,-68,-67,-67,-87,-88,-63,-73,-73,-72,-72,-71,-77,-77,-78,-73,-61,-82,-82,-100,-100,-79,-100,-100,-100,-72,-100,-100,-79,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-71,-67,-87,-72,-78,-82,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-85,-84,-100,-86,-73,-72,-100,-100,-100,-100,-72,-69,-68,-80,-100,-84,-80,-100,-100,-100,-60,-80,-100,-79,-61,-100,-79,-79,-100,-100,-86,-100,-100,-64,-64,-68,-100,-100,-84,-64,-76,-100,-100,-100,-84,-77,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1439796949918
-75,-74,-100,-100,-100,-83,-50,-100,-100,-69,-67,-75,-100,-100,-67,-64,-100,-100,-100,-100,-80,-100,-81,-100,-100,-100,-100,-100,-63,-69,-64,-69,-69,-100,-50,-50,-84,-83,-57,-57,-54,-100,-50,-84,-58,-54,-100,-54,-74,-71,-71,-68,-67,-67,-87,-87,-62,-73,-73,-72,-72,-71,-77,-78,-77,-72,-61,-82,-82,-75,-75,-81,-86,-87,-100,-72,-100,-100,-80,-79,-100,-100,-100,-100,-100,-82,-100,-80,-100,-71,-68,-88,-72,-77,-82,-100,-86,-100,-100,-80,-100,-100,-100,-100,-100,-85,-84,-100,-85,-72,-72,-100,-100,-100,-100,-72,-69,-69,-80,-100,-86,-80,-100,-100,-100,-61,-80,-100,-79,-61,-100,-79,-79,-100,-100,-86,-100,-100,-64,-63,-69,-100,-100,-85,-64,-76,-100,-100,-100,-84,-77,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-84,-82,-83,-100,-100,-100,-100,-100,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1446217265436
-75,-74,-100,-100,-100,-83,-50,-100,-100,-69,-67,-75,-100,-100,-67,-64,-100,-100,-100,-100,-80,-100,-81,-100,-100,-100,-100,-100,-63,-69,-64,-69,-69,-100,-50,-50,-84,-83,-57,-57,-54,-100,-50,-84,-58,-54,-100,-54,-74,-71,-71,-68,-67,-67,-87,-87,-62,-73,-73,-72,-72,-71,-77,-78,-77,-72,-61,-82,-82,-75,-75,-81,-86,-87,-100,-72,-100,-100,-80,-79,-100,-100,-100,-100,-100,-82,-100,-80,-100,-71,-68,-88,-72,-77,-82,-100,-86,-100,-100,-80,-100,-100,-100,-100,-100,-85,-84,-100,-85,-72,-72,-100,-100,-100,-100,-72,-69,-69,-80,-100,-86,-80,-100,-100,-100,-61,-80,-100,-79,-61,-100,-79,-79,-100,-100,-86,-100,-100,-64,-63,-69,-100,-100,-85,-64,-76,-100,-100,-100,-84,-77,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-84,-82,-83,-100,-100,-100,-100,-100,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1452178555226
-75,-74,-100,-100,-100,-83,-50,-100,-100,-69,-67,-75,-100,-100,-67,-64,-100,-100,-100,-100,-80,-100,-81,-100,-100,-100,-100,-100,-63,-69,-64,-69,-69,-100,-50,-50,-84,-83,-57,-57,-54,-100,-50,-84,-58,-54,-100,-54,-74,-71,-71,-68,-67,-67,-87,-87,-62,-73,-73,-72,-72,-71,-77,-78,-77,-72,-61,-82,-82,-75,-75,-81,-86,-87,-100,-72,-100,-100,-80,-79,-100,-100,-100,-100,-100,-82,-100,-80,-100,-71,-68,-88,-72,-77,-82,-100,-86,-100,-100,-80,-100,-100,-100,-100,-100,-85,-84,-100,-85,-72,-72,-100,-100,-100,-100,-72,-69,-69,-80,-100,-86,-80,-100,-100,-100,-61,-80,-100,-79,-61,-100,-79,-79,-100,-100,-86,-100,-100,-64,-63,-69,-100,-100,-85,-64,-76,-100,-100,-100,-84,-77,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-84,-82,-83,-100,-100,-100,-100,-100,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,501,1454384300538
-68,-69,-100,-100,-100,-82,-67,-100,-100,-68,-68,-69,-100,-100,-68,-63,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-63,-71,-63,-71,-76,-100,-60,-60,-84,-85,-59,-59,-57,-100,-60,-84,-59,-57,-100,-57,-72,-73,-73,-72,-72,-72,-87,-87,-63,-72,-72,-71,-70,-72,-73,-73,-73,-71,-58,-82,-82,-73,-73,-88,-86,-86,-100,-73,-100,-100,-80,-79,-100,-100,-100,-100,-100,-83,-100,-80,-100,-73,-72,-88,-70,-73,-82,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-80,-84,-100,-86,-74,-73,-100,-100,-100,-100,-73,-77,-77,-80,-100,-87,-81,-100,-100,-100,-56,-80,-100,-100,-57,-100,-100,-100,-85,-100,-85,-100,-100,-64,-65,-71,-85,-100,-85,-65,-77,-100,-100,-100,-84,-77,-77,-100,-80,-80,-100,-80,-100,-100,-100,-100,-80,-100,-79,-79,-80,-100,-100,-100,-86,-100,-82,-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,484,1485988222453
-68,-68,-100,-100,-100,-82,-64,-100,-100,-69,-69,-68,-100,-100,-68,-63,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-63,-71,-63,-70,-77,-100,-60,-60,-85,-100,-58,-58,-59,-100,-60,-100,-58,-59,-100,-57,-72,-73,-73,-71,-71,-71,-88,-88,-64,-72,-72,-69,-70,-100,-73,-72,-72,-71,-57,-82,-82,-73,-73,-79,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-100,-73,-71,-87,-70,-73,-82,-72,-100,-100,-89,-100,-100,-100,-100,-100,-100,-81,-100,-100,-86,-73,-73,-100,-100,-100,-100,-73,-77,-77,-80,-100,-87,-83,-100,-100,-100,-57,-80,-100,-80,-57,-100,-100,-80,-85,-100,-100,-100,-100,-63,-65,-70,-100,-100,-100,-63,-79,-100,-100,-100,-100,-77,-72,-100,-80,-80,-100,-80,-100,-85,-100,-100,-76,-100,-77,-77,-77,-100,-100,-86,-86,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,484,1492619785002
-67,-67,-100,-100,-100,-81,-58,-100,-100,-69,-69,-68,-100,-100,-69,-63,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-63,-70,-63,-70,-77,-100,-59,-59,-85,-100,-58,-58,-59,-100,-59,-100,-58,-59,-100,-57,-72,-73,-75,-72,-72,-72,-87,-88,-65,-72,-72,-69,-70,-100,-73,-73,-73,-70,-58,-82,-82,-73,-73,-79,-86,-86,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-100,-75,-72,-88,-70,-73,-82,-72,-86,-100,-89,-100,-100,-100,-100,-100,-100,-80,-100,-100,-85,-73,-73,-100,-100,-100,-100,-73,-77,-76,-80,-100,-87,-83,-100,-100,-100,-58,-83,-81,-80,-57,-100,-100,-80,-85,-100,-100,-100,-100,-64,-65,-70,-100,-100,-100,-64,-79,-100,-100,-100,-85,-77,-79,-100,-80,-80,-100,-80,-100,-85,-100,-100,-76,-100,-76,-77,-76,-100,-100,-86,-86,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,484,1499137173541
