60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,44:48:c1:91:d0:12,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:19:45:b1,38:17:c3:1f:09:93,38:17:c3:1f:19:d2,38:17:c3:19:45:b2,38:17:c3:1f:19:d1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,38:17:c3:1f:09:91,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:09:92,44:48:c1:91:95:b1,a8:bd:27:4c:aa:93,44:48:c1:91:95:a3,a8:bd:27:4c:aa:81,44:48:c1:91:95:a1,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,44:48:c1:91:95:b0,44:48:c1:91:95:b3,a8:bd:27:4c:aa:92,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:c2,38:17:c3:1f:14:10,38:17:c3:19:45:b0,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,38:17:c3:24:47:50,44:48:c1:91:95:b2,44:48:c1:91:95:a2,38:17:c3:1f:1c:10,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:80,44:48:c1:91:d0:01,44:48:c1:91:d0:02,b4:5d:50:e1:96:42,44:48:c1:91:95:a0,44:48:c1:91:aa:21,44:48:c1:91:aa:22,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:83,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:aa:32,44:48:c1:91:aa:31,38:17:c3:1f:14:00,38:17:c3:1f:09:80,38:17:c3:22:5e:f0,66:2a:2f:53:7c:99,44:48:c1:91:aa:20,44:48:c1:91:d0:00,38:17:c3:1f:19:c2,44:48:c1:91:aa:30,38:17:c3:19:36:30,38:17:c3:1f:19:f0,b6:e6:2d:69:d5:58,b4:5d:50:e1:96:41,38:17:c3:19:45:a1,20:a6:cd:42:13:e2,38:17:c3:19:45:a2,20:a6:cd:42:13:f0,38:17:c3:19:45:a0,44:48:c1:91:9d:50,ac:e2:d3:c4:08:e6,20:a6:cd:42:13:e1,20:a6:cd:42:13:e0,38:17:c3:22:5e:f1,92:32:4b:b2:cc:47,38:17:c3:22:5e:f2,20:a6:cd:42:0b:e3,86:0d:8e:aa:25:a4,80:8d:b7:55:25:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:1a:cf:d0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:70,38:17:c3:19:d7:61,38:17:c3:19:d7:60,72:32:b1:3e:1a:b7,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,80:8d:b7:55:35:11,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:35:12,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:29:d1,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,ea:9e:b4:53:24:54,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,68:ff:7b:e4:af:38,38:17:c3:1e:ff:10,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:71:92,68:ff:7b:e4:af:39,80:8d:b7:55:39:c2,38:17:c3:1f:22:30,00:4e:35:df:06:52,80:8d:b7:55:39:c1,20:a6:cd:50:24:b1,80:8d:b7:55:39:c0,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:36:22,38:17:c3:19:36:20,00:4e:35:de:e1:12,38:17:c3:1e:ff:01,38:17:c3:19:71:80,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:19:36:21,38:17:c3:1f:0e:10,38:17:c3:1f:22:32,38:17:c3:1f:22:22,38:17:c3:1f:22:20,00:4e:35:df:06:50,38:17:c3:1f:0e:12,80:8d:b7:55:29:c2,38:17:c3:1f:22:31,20:a6:cd:50:24:b2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1f:0e:11,00:4e:35:df:06:41,38:17:c3:1f:22:21,b4:5d:50:e1:92:23,00:4e:35:df:06:42,00:4e:35:df:06:51,00:4e:35:df:06:40,00:4e:35:de:e1:00,80:8d:b7:55:4d:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,80:8d:b7:55:4d:01,38:17:c3:1f:0e:01,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,timestamp
-75,-47,-47,-49,-49,-100,-84,-84,-83,-100,-84,-87,-87,-87,-100,-100,-75,-74,-74,-85,-100,-74,-100,-84,-84,-83,-86,-100,-100,-86,-100,-86,-100,-79,-100,-72,-82,-100,-100,-84,-47,-49,-100,-90,-89,-100,-75,-74,-100,-100,-86,-87,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-85,-84,-71,-72,-72,-71,-82,-100,-84,-100,-100,-71,-80,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-72,-100,-88,-83,-83,-100,-100,-100,-81,-71,-81,-81,-84,-83,-78,-78,-78,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1249750927595
-75,-48,-48,-49,-49,-84,-87,-87,-84,-86,-89,-87,-87,-87,-100,-83,-73,-72,-73,-85,-100,-73,-100,-84,-84,-83,-86,-100,-100,-86,-100,-85,-100,-79,-100,-78,-58,-100,-100,-84,-47,-50,-85,-89,-89,-100,-73,-74,-100,-100,-87,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-86,-85,-70,-72,-74,-100,-82,-100,-84,-100,-100,-75,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-68,-100,-100,-100,-100,-100,-72,-100,-88,-83,-83,-100,-100,-100,-100,-71,-100,-81,-83,-83,-77,-77,-78,-80,-81,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1255554340822
-76,-47,-47,-49,-49,-84,-87,-87,-85,-86,-89,-89,-89,-87,-100,-83,-72,-72,-73,-85,-100,-74,-100,-84,-84,-83,-86,-100,-100,-86,-100,-85,-100,-79,-100,-78,-58,-100,-100,-84,-47,-49,-85,-89,-89,-100,-73,-74,-100,-100,-85,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-86,-84,-71,-72,-74,-100,-82,-100,-84,-100,-100,-75,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-68,-100,-100,-100,-100,-100,-73,-100,-87,-83,-83,-100,-100,-100,-73,-73,-73,-81,-84,-83,-77,-77,-78,-80,-81,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1261448968424
-76,-47,-47,-50,-50,-86,-87,-87,-84,-85,-89,-87,-87,-88,-82,-83,-73,-73,-74,-84,-100,-74,-100,-100,-100,-85,-84,-100,-100,-84,-100,-85,-100,-79,-100,-79,-58,-100,-100,-85,-47,-50,-85,-89,-88,-83,-73,-74,-100,-100,-84,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-85,-85,-74,-75,-74,-74,-80,-83,-83,-100,-100,-75,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-42,-100,-100,-100,-100,-100,-76,-100,-87,-83,-84,-100,-100,-100,-73,-73,-73,-100,-84,-83,-77,-79,-79,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1267302096755
-74,-48,-48,-49,-49,-85,-87,-87,-84,-85,-88,-87,-87,-88,-82,-100,-74,-74,-75,-84,-100,-75,-100,-100,-100,-84,-84,-100,-100,-84,-100,-85,-100,-79,-100,-79,-81,-100,-100,-85,-47,-49,-85,-87,-88,-83,-74,-75,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-72,-73,-100,-74,-82,-83,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-76,-100,-76,-100,-69,-100,-100,-100,-100,-100,-76,-100,-87,-84,-84,-100,-100,-100,-73,-73,-73,-100,-84,-83,-77,-78,-78,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1273177544826
-74,-48,-48,-49,-49,-85,-87,-87,-84,-85,-88,-87,-87,-88,-82,-100,-74,-74,-75,-84,-100,-75,-100,-100,-100,-84,-84,-100,-100,-84,-100,-85,-100,-79,-100,-79,-81,-100,-100,-85,-47,-49,-85,-87,-88,-83,-74,-75,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-72,-73,-100,-74,-82,-83,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-76,-100,-76,-100,-69,-100,-100,-100,-100,-100,-76,-100,-87,-84,-84,-100,-100,-100,-73,-73,-73,-100,-84,-83,-77,-78,-78,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,145,602,1279070786595
-77,-42,-42,-48,-48,-85,-87,-87,-87,-84,-88,-100,-89,-100,-100,-100,-78,-78,-72,-86,-100,-72,-100,-100,-100,-85,-83,-100,-100,-84,-100,-85,-100,-80,-100,-80,-80,-100,-100,-85,-42,-49,-85,-87,-88,-83,-78,-72,-100,-100,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-72,-73,-79,-80,-84,-86,-85,-100,-100,-80,-83,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-75,-100,-75,-100,-76,-100,-65,-100,-100,-100,-100,-100,-74,-100,-100,-78,-79,-100,-100,-100,-100,-100,-74,-100,-78,-79,-78,-79,-79,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1310437954916
-77,-43,-43,-43,-44,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-79,-79,-71,-86,-100,-71,-100,-84,-100,-85,-83,-100,-100,-84,-100,-85,-100,-100,-100,-100,-81,-100,-100,-85,-42,-44,-86,-100,-100,-100,-78,-71,-100,-100,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-76,-100,-79,-80,-67,-100,-83,-100,-100,-80,-83,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-75,-100,-75,-100,-76,-100,-63,-100,-100,-100,-100,-100,-74,-100,-100,-78,-78,-100,-100,-100,-82,-100,-81,-100,-78,-78,-78,-79,-79,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1316213669549
-77,-42,-42,-44,-44,-100,-100,-100,-84,-85,-100,-100,-88,-87,-100,-100,-79,-79,-71,-83,-100,-71,-100,-84,-100,-85,-84,-100,-100,-84,-100,-86,-100,-82,-100,-81,-78,-100,-100,-85,-42,-44,-86,-100,-87,-100,-79,-71,-100,-100,-86,-88,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-85,-86,-73,-71,-79,-80,-67,-100,-83,-100,-100,-79,-83,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-75,-100,-75,-100,-76,-100,-65,-100,-100,-100,-100,-100,-74,-100,-100,-78,-78,-100,-100,-100,-82,-100,-81,-79,-78,-78,-79,-78,-79,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1321634083610
-77,-42,-43,-44,-44,-100,-100,-100,-86,-85,-100,-87,-87,-88,-100,-100,-79,-79,-71,-84,-100,-71,-100,-84,-100,-100,-86,-100,-100,-85,-100,-85,-100,-82,-100,-81,-81,-100,-100,-100,-42,-44,-86,-100,-86,-100,-79,-71,-100,-100,-85,-88,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-86,-86,-77,-78,-79,-80,-67,-84,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-75,-100,-75,-100,-100,-100,-65,-100,-100,-100,-100,-100,-73,-100,-100,-78,-78,-100,-100,-100,-81,-81,-80,-85,-78,-78,-79,-78,-78,-71,-80,-100,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1327374302982
-77,-43,-43,-44,-44,-100,-100,-100,-86,-100,-100,-87,-87,-88,-100,-100,-79,-79,-71,-85,-100,-71,-100,-100,-84,-100,-83,-100,-100,-84,-100,-85,-100,-82,-100,-80,-81,-100,-100,-100,-42,-44,-100,-100,-87,-100,-79,-72,-87,-100,-84,-87,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-86,-87,-73,-78,-79,-80,-83,-84,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-100,-75,-100,-76,-100,-65,-100,-100,-100,-100,-100,-73,-100,-100,-78,-78,-100,-100,-100,-81,-81,-80,-85,-78,-78,-79,-79,-78,-71,-80,-100,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1333167329959
-77,-42,-43,-44,-44,-100,-100,-100,-87,-100,-100,-86,-87,-87,-100,-100,-79,-79,-72,-84,-100,-71,-100,-100,-84,-100,-85,-100,-100,-84,-100,-86,-100,-100,-100,-80,-81,-100,-100,-100,-42,-44,-100,-100,-87,-100,-79,-72,-87,-100,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-73,-78,-79,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-100,-76,-100,-75,-100,-76,-100,-100,-100,-100,-100,-73,-100,-100,-78,-78,-100,-100,-100,-81,-81,-81,-79,-78,-78,-78,-77,-79,-71,-100,-100,-86,-87,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,165,602,1338846949332
-79,-44,-44,-44,-44,-100,-100,-100,-87,-100,-100,-86,-87,-87,-100,-100,-78,-78,-70,-83,-100,-70,-100,-100,-81,-84,-84,-100,-100,-85,-100,-86,-100,-83,-100,-82,-81,-100,-100,-100,-44,-44,-100,-100,-87,-100,-78,-70,-87,-100,-86,-87,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-85,-86,-73,-76,-100,-80,-83,-100,-83,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-87,-100,-100,-100,-76,-100,-76,-100,-75,-100,-69,-100,-100,-100,-100,-100,-74,-100,-100,-80,-79,-100,-100,-100,-74,-75,-81,-79,-79,-79,-79,-79,-79,-100,-100,-78,-100,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,602,1385092337544
-79,-44,-44,-46,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-71,-85,-100,-71,-100,-100,-80,-84,-85,-100,-100,-84,-100,-100,-100,-82,-100,-82,-81,-100,-100,-100,-44,-46,-100,-100,-100,-100,-79,-71,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-80,-84,-100,-83,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-86,-100,-100,-100,-74,-100,-75,-100,-75,-100,-70,-100,-100,-100,-100,-100,-71,-100,-100,-79,-79,-100,-100,-100,-74,-75,-100,-79,-80,-79,-77,-78,-78,-79,-100,-78,-100,-100,-85,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,602,1390818079833
-79,-44,-44,-44,-44,-100,-100,-100,-100,-100,-100,-86,-85,-86,-100,-100,-79,-78,-70,-83,-100,-70,-100,-100,-86,-84,-85,-100,-100,-85,-100,-87,-100,-82,-100,-82,-81,-100,-100,-100,-44,-44,-88,-100,-85,-100,-78,-71,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-87,-86,-62,-74,-78,-80,-84,-100,-82,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-74,-100,-75,-100,-75,-100,-70,-100,-100,-100,-100,-100,-72,-100,-100,-80,-80,-100,-100,-100,-74,-75,-100,-79,-80,-80,-79,-78,-79,-79,-79,-78,-100,-100,-84,-88,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,602,1396333415821
-79,-44,-44,-44,-44,-100,-100,-100,-87,-100,-87,-86,-85,-86,-100,-100,-79,-79,-71,-83,-100,-71,-100,-100,-83,-100,-84,-100,-100,-84,-100,-87,-100,-82,-100,-82,-80,-100,-100,-100,-44,-44,-88,-89,-85,-100,-79,-71,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-74,-83,-78,-100,-83,-82,-82,-100,-100,-79,-82,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-75,-100,-76,-100,-76,-100,-70,-100,-100,-100,-100,-100,-70,-100,-87,-79,-79,-100,-100,-100,-75,-75,-75,-79,-80,-79,-77,-78,-79,-79,-79,-79,-100,-100,-84,-88,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,602,1402174557589
-79,-44,-44,-44,-44,-100,-100,-100,-87,-100,-87,-84,-85,-84,-100,-100,-78,-78,-70,-83,-100,-71,-100,-100,-83,-100,-84,-100,-100,-84,-100,-86,-100,-82,-100,-82,-80,-100,-100,-86,-44,-44,-88,-89,-85,-100,-78,-71,-100,-100,-84,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-86,-86,-74,-83,-78,-100,-83,-82,-82,-100,-100,-79,-82,-100,-81,-100,-100,-100,-100,-88,-100,-100,-100,-75,-100,-76,-100,-76,-100,-67,-100,-100,-100,-100,-100,-70,-100,-87,-79,-80,-100,-100,-100,-75,-75,-75,-79,-80,-80,-79,-79,-79,-79,-79,-79,-100,-100,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,602,1408073646962
