20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,38:17:c3:19:d7:71,44:48:c1:91:d0:10,38:17:c3:19:d7:72,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:22:61:92,66:2a:2f:53:7c:99,38:17:c3:22:61:90,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:00:a0,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,20:a6:cd:42:13:f2,b4:5d:50:e1:96:41,38:17:c3:1f:19:f0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:09:90,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,44:48:c1:91:95:a0,38:17:c3:19:45:a2,44:48:c1:91:aa:30,38:17:c3:1f:14:00,b4:5d:50:e1:96:40,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:81,80:8d:b7:55:25:f0,38:17:c3:22:5e:f2,44:48:c1:91:aa:31,44:48:c1:91:aa:32,38:17:c3:19:36:30,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,80:8d:b7:55:25:f3,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:03,b0:be:76:f8:30:5e,38:17:c3:1e:ff:10,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:35:13,80:8d:b7:55:25:e0,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:29:d0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ea:9e:b4:53:24:54,38:17:c3:1f:22:30,38:17:c3:1e:ff:12,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:c0,38:17:c3:1e:ff:00,80:8d:b7:55:29:c2,38:17:c3:1e:ff:02,38:17:c3:19:71:82,80:8d:b7:55:29:c1,80:8d:b7:55:39:c2,00:4e:35:df:06:52,20:a6:cd:50:24:a2,38:17:c3:1f:0e:10,38:17:c3:1f:22:32,20:a6:cd:50:24:b0,38:17:c3:1f:22:31,00:4e:35:df:06:50,00:4e:35:de:e1:12,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,00:4e:35:df:06:40,20:a6:cd:50:24:b1,00:4e:35:df:06:51,20:a6:cd:50:24:b2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:df:06:42,00:4e:35:df:06:41,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,x,y,label
-88,-88,-100,-100,-88,-100,-87,-100,-100,-90,-87,-88,-100,-100,-100,-88,-76,-94,-76,-54,-76,-55,-89,-87,-91,-85,-87,-85,-80,-81,-88,-81,-92,-89,-92,-93,-88,-88,-100,-100,-100,-100,-56,-89,-91,-87,-82,-87,-70,-87,-100,-89,-100,-81,-100,-100,-79,-79,-80,-100,-83,-69,-100,-88,-100,-68,-88,-91,-89,-86,-87,-87,-100,-94,-100,-94,-93,-83,-87,-82,-86,-84,-88,-100,-88,-100,-87,-90,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-84,-91,-91,-100,-89,-89,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-88,-88,-100,-100,-88,-100,-87,-100,-100,-90,-88,-88,-100,-100,-100,-88,-75,-94,-76,-55,-76,-54,-89,-87,-91,-87,-86,-87,-81,-81,-85,-80,-94,-89,-92,-93,-88,-88,-100,-100,-100,-100,-54,-89,-93,-86,-82,-86,-70,-85,-100,-89,-100,-88,-100,-100,-79,-79,-82,-100,-83,-69,-100,-88,-100,-68,-88,-90,-86,-87,-86,-87,-100,-91,-100,-94,-93,-83,-87,-83,-88,-83,-87,-100,-88,-100,-88,-90,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-84,-92,-94,-100,-89,-89,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-88,-88,-100,-100,-88,-100,-87,-100,-100,-90,-88,-88,-100,-100,-100,-88,-77,-94,-76,-54,-76,-55,-89,-87,-91,-85,-87,-86,-81,-80,-85,-81,-93,-89,-92,-93,-88,-88,-100,-100,-100,-100,-55,-89,-94,-86,-88,-86,-70,-87,-100,-87,-100,-90,-100,-100,-79,-79,-79,-100,-79,-89,-100,-88,-100,-70,-88,-90,-87,-86,-86,-87,-100,-88,-100,-94,-100,-84,-86,-83,-87,-84,-86,-100,-88,-100,-87,-90,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-84,-91,-92,-100,-89,-89,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-88,-100,-100,-88,-100,-89,-100,-100,-100,-87,-90,-100,-100,-100,-90,-73,-90,-72,-47,-72,-46,-100,-90,-89,-86,-86,-86,-82,-83,-88,-83,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-47,-100,-94,-85,-84,-85,-67,-81,-100,-83,-100,-83,-100,-100,-78,-82,-80,-100,-79,-67,-100,-100,-100,-66,-100,-90,-88,-87,-88,-88,-100,-88,-100,-100,-100,-74,-85,-76,-87,-76,-87,-100,-88,-100,-87,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-79,-84,-84,-100,-85,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-89,-100,-100,-100,-89,-89,-100,-100,-100,-90,-78,-89,-78,-49,-78,-48,-100,-88,-90,-86,-87,-86,-83,-84,-87,-83,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-48,-100,-94,-87,-86,-87,-65,-81,-100,-83,-100,-83,-100,-100,-80,-82,-79,-100,-79,-65,-100,-100,-100,-66,-100,-90,-87,-89,-86,-87,-100,-89,-100,-100,-100,-75,-85,-76,-86,-77,-86,-100,-88,-100,-84,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-80,-84,-85,-100,-85,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-87,-87,-100,-100,-100,-93,-80,-90,-79,-46,-80,-47,-100,-88,-89,-86,-87,-87,-83,-84,-86,-83,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-47,-100,-94,-87,-86,-88,-65,-81,-100,-83,-100,-83,-100,-100,-80,-86,-78,-100,-79,-66,-100,-100,-100,-66,-100,-92,-89,-88,-86,-87,-100,-89,-100,-100,-100,-77,-85,-77,-87,-77,-87,-100,-88,-100,-83,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-79,-84,-85,-100,-86,-84,-94,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-87,-87,-100,-100,-100,-93,-80,-91,-80,-48,-80,-47,-93,-88,-92,-86,-87,-87,-83,-84,-86,-83,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-46,-100,-94,-88,-86,-88,-66,-81,-100,-85,-100,-83,-100,-100,-78,-82,-78,-100,-79,-66,-100,-100,-100,-66,-100,-92,-88,-88,-87,-88,-100,-85,-100,-100,-100,-77,-85,-77,-87,-76,-86,-100,-88,-100,-83,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-79,-85,-85,-100,-85,-87,-94,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-86,-87,-100,-100,-100,-93,-80,-91,-80,-48,-80,-47,-93,-90,-90,-86,-87,-87,-82,-82,-86,-83,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-48,-100,-94,-87,-86,-88,-67,-80,-100,-86,-100,-84,-100,-100,-78,-82,-80,-100,-79,-67,-100,-100,-100,-66,-100,-91,-87,-87,-87,-87,-100,-85,-100,-100,-100,-77,-84,-77,-87,-76,-86,-100,-87,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-79,-85,-85,-100,-85,-84,-94,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-87,-88,-100,-100,-100,-93,-81,-90,-81,-47,-80,-47,-93,-91,-90,-86,-87,-88,-82,-83,-86,-82,-93,-100,-92,-93,-100,-100,-100,-100,-100,-100,-47,-100,-94,-88,-84,-88,-66,-81,-100,-85,-100,-85,-100,-100,-80,-85,-78,-100,-79,-67,-100,-100,-100,-67,-100,-91,-86,-87,-88,-89,-100,-85,-100,-100,-100,-78,-86,-77,-87,-76,-86,-100,-86,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-82,-84,-84,-100,-86,-84,-94,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-87,-88,-100,-100,-100,-93,-77,-91,-76,-40,-76,-41,-93,-91,-91,-86,-87,-85,-82,-83,-86,-82,-93,-100,-92,-100,-100,-100,-100,-100,-100,-100,-41,-100,-94,-89,-84,-91,-56,-81,-100,-85,-100,-85,-100,-100,-78,-79,-78,-100,-79,-55,-100,-100,-100,-55,-100,-91,-92,-87,-88,-90,-100,-85,-100,-100,-100,-76,-80,-77,-87,-76,-86,-100,-86,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-82,-88,-88,-100,-86,-88,-94,-87,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-85,-87,-100,-100,-100,-93,-77,-90,-76,-40,-77,-41,-93,-91,-90,-86,-86,-87,-84,-83,-88,-82,-93,-100,-92,-100,-100,-100,-100,-100,-100,-100,-41,-100,-94,-89,-85,-93,-57,-83,-100,-84,-100,-84,-100,-100,-78,-87,-80,-100,-79,-56,-100,-100,-100,-56,-100,-91,-92,-87,-88,-88,-100,-85,-100,-100,-100,-77,-81,-78,-89,-77,-86,-100,-84,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-82,-87,-88,-100,-88,-89,-94,-87,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-100,-88,-100,-87,-100,-100,-100,-85,-87,-100,-100,-100,-93,-77,-90,-77,-41,-76,-41,-93,-91,-90,-86,-87,-86,-81,-81,-88,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-40,-100,-94,-89,-84,-91,-55,-83,-100,-85,-100,-84,-100,-100,-79,-83,-80,-100,-79,-55,-100,-100,-100,-56,-100,-91,-92,-87,-88,-89,-100,-89,-100,-100,-100,-78,-86,-77,-90,-78,-86,-100,-84,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-84,-88,-89,-100,-89,-90,-94,-87,-86,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-100,-88,-100,-89,-100,-100,-100,-85,-87,-100,-100,-100,-93,-78,-90,-77,-40,-76,-40,-93,-91,-92,-88,-88,-87,-81,-81,-88,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-40,-100,-94,-89,-84,-91,-58,-84,-100,-84,-100,-84,-100,-100,-78,-87,-80,-100,-79,-55,-100,-100,-100,-56,-100,-91,-92,-87,-88,-89,-100,-89,-100,-100,-100,-78,-83,-78,-87,-77,-86,-100,-84,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-83,-88,-88,-100,-88,-89,-87,-87,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-100,-88,-100,-88,-100,-100,-100,-83,-85,-100,-100,-100,-93,-75,-90,-74,-43,-75,-43,-93,-91,-90,-89,-88,-87,-81,-80,-86,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-42,-100,-94,-89,-86,-93,-55,-82,-100,-84,-100,-85,-100,-100,-78,-84,-80,-100,-79,-55,-100,-100,-100,-55,-100,-93,-93,-87,-87,-87,-100,-89,-100,-100,-100,-76,-82,-76,-89,-76,-89,-100,-93,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-85,-86,-88,-88,-88,-88,-86,-86,-86,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-100,-88,-100,-89,-100,-100,-100,-85,-85,-100,-100,-100,-93,-76,-90,-76,-41,-74,-41,-93,-90,-90,-87,-89,-89,-83,-84,-86,-82,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-41,-100,-94,-89,-84,-91,-57,-83,-100,-83,-100,-83,-100,-100,-78,-82,-80,-100,-79,-57,-100,-100,-100,-57,-100,-93,-91,-87,-86,-87,-100,-89,-100,-100,-100,-77,-85,-78,-87,-76,-85,-100,-93,-100,-82,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-85,-89,-89,-89,-88,-88,-86,-86,-86,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-85,-83,-100,-100,-100,-93,-88,-93,-88,-46,-88,-45,-92,-90,-91,-84,-84,-84,-80,-81,-84,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-94,-90,-84,-91,-53,-90,-100,-84,-100,-84,-100,-100,-83,-82,-84,-100,-79,-53,-100,-100,-100,-55,-100,-93,-91,-90,-86,-87,-100,-89,-100,-100,-100,-79,-85,-79,-87,-79,-85,-100,-84,-100,-82,-100,-100,-100,-100,-88,-83,-81,-88,-100,-100,-100,-100,-100,-81,-85,-85,-89,-86,-85,-86,-86,-86,-89,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-83,-100,-100,-100,-93,-88,-91,-88,-45,-87,-45,-94,-90,-90,-83,-83,-84,-81,-80,-83,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-94,-90,-84,-90,-54,-87,-100,-84,-100,-84,-100,-100,-82,-84,-87,-100,-79,-54,-100,-100,-100,-55,-100,-93,-91,-90,-86,-89,-100,-88,-100,-100,-100,-79,-85,-79,-88,-80,-85,-100,-84,-100,-86,-100,-100,-100,-88,-88,-85,-87,-88,-100,-100,-100,-100,-100,-81,-86,-86,-89,-86,-87,-81,-81,-82,-89,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-85,-100,-100,-100,-93,-85,-93,-84,-47,-87,-46,-94,-90,-90,-83,-83,-84,-82,-80,-83,-82,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-94,-90,-84,-89,-55,-87,-100,-84,-100,-84,-100,-100,-83,-83,-85,-100,-85,-55,-100,-100,-100,-55,-100,-94,-90,-92,-86,-89,-100,-88,-100,-100,-100,-78,-81,-79,-88,-79,-85,-100,-85,-100,-87,-100,-100,-100,-88,-88,-85,-85,-88,-100,-100,-100,-100,-91,-81,-84,-85,-89,-85,-85,-81,-81,-82,-89,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-84,-87,-100,-100,-100,-93,-87,-92,-88,-46,-87,-48,-94,-90,-91,-83,-83,-83,-81,-81,-83,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-94,-88,-84,-89,-55,-88,-100,-84,-100,-84,-100,-100,-84,-83,-83,-100,-85,-56,-100,-100,-100,-55,-100,-94,-89,-89,-86,-88,-100,-88,-100,-100,-100,-77,-79,-77,-87,-77,-85,-100,-86,-100,-87,-100,-100,-100,-88,-88,-85,-85,-88,-100,-100,-100,-100,-91,-81,-85,-85,-89,-85,-85,-81,-81,-82,-89,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
