38:17:c3:1f:0e:12,38:17:c3:19:d7:62,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:19:45:a1,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,38:17:c3:19:45:a0,80:8d:b7:55:39:d0,00:4e:35:df:06:40,44:48:c1:a5:82:30,b0:be:76:f8:30:5e,00:4e:35:df:06:42,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,38:17:c3:1e:ff:00,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,b4:5d:50:e1:96:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:21,66:2a:2f:53:7c:99,44:48:c1:a5:82:20,44:48:c1:a5:82:22,68:ff:7b:e4:af:38,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:22:30,80:8d:b7:55:3a:52,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,80:8d:b7:55:3a:50,38:17:c3:1f:01:91,80:8d:b7:55:3a:51,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:55:52,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:0e:00,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,80:8d:b7:55:3a:41,38:17:c3:1f:01:82,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,80:8d:b7:55:25:e3,b4:5d:50:e1:92:31,00:4e:35:df:06:41,38:17:c3:19:45:a2,b4:5d:50:e1:92:23,b4:5d:50:e1:96:53,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:19:71:90,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,68:ff:7b:e4:af:39,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:42:0b:e3,38:17:c3:1f:08:50,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,a8:bd:27:4c:bd:30,38:17:c3:1f:00:b0,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:19:55:42,00:4e:35:de:d7:53,00:4e:35:de:d7:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,00:4e:35:de:d7:51,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,00:4e:35:de:d7:50,38:17:c3:1f:08:51,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:09:83,00:4e:35:de:e1:01,a8:bd:27:4c:bd:22,38:17:c3:1f:08:52,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:df:0e:12,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:19:71:82,38:17:c3:19:36:30,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:21,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,70:56:81:c9:91:ab,38:17:c3:1e:fc:b2,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:1f:0f:90,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a2,00:4e:35:df:27:10,00:4e:35:df:27:11,x,y,label
-76,-100,-73,-72,-72,-100,-78,-91,-77,-100,-100,-55,-75,-61,-67,-78,-61,-78,-59,-77,-78,-76,-27,-100,-78,-77,-78,-82,-82,-83,-76,-84,-76,-93,-73,-73,-74,-75,-86,-75,-75,-83,-78,-84,-77,-85,-89,-87,-74,-86,-87,-81,-89,-87,-57,-100,-100,-84,-89,-91,-59,-90,-58,-100,-100,-100,-86,-84,-85,-57,-56,-75,-100,-81,-91,-100,-85,-76,-76,-100,-72,-100,-72,-100,-80,-80,-100,-72,-80,-77,-78,-78,-80,-76,-78,-100,-84,-91,-85,-91,-89,-100,-100,-88,-100,-100,-89,-90,-86,-85,-100,-91,-100,-100,-100,-100,-100,-100,-90,-100,-93,-94,-88,-89,-84,-84,-85,-76,-77,-87,-87,-87,-77,-90,-91,-77,-87,-87,-85,-100,-85,-100,-88,-100,-100,-100,-100,-100,-88,-89,-91,-91,-89,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-75,-100,-73,-72,-72,-100,-78,-91,-75,-100,-100,-58,-75,-58,-63,-76,-58,-74,-58,-75,-73,-75,-29,-100,-74,-73,-76,-81,-80,-80,-76,-84,-76,-93,-71,-72,-73,-73,-86,-73,-72,-83,-72,-84,-77,-85,-89,-87,-79,-86,-87,-81,-89,-89,-57,-100,-100,-88,-89,-90,-58,-90,-58,-100,-100,-100,-86,-82,-83,-56,-57,-75,-100,-81,-91,-100,-83,-74,-74,-100,-68,-100,-70,-100,-80,-80,-100,-71,-80,-76,-77,-77,-80,-76,-76,-100,-83,-91,-85,-91,-89,-100,-100,-88,-100,-100,-90,-90,-87,-88,-100,-91,-100,-100,-100,-100,-100,-100,-91,-100,-93,-94,-90,-89,-84,-84,-85,-81,-81,-87,-85,-86,-81,-89,-89,-81,-87,-87,-88,-100,-89,-100,-88,-100,-100,-100,-100,-100,-87,-89,-91,-91,-89,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-76,-100,-73,-69,-71,-100,-77,-91,-75,-100,-100,-56,-77,-63,-63,-79,-61,-74,-62,-75,-74,-74,-29,-100,-75,-75,-75,-83,-82,-83,-71,-83,-71,-93,-72,-72,-74,-71,-86,-72,-72,-84,-71,-83,-71,-86,-89,-88,-76,-83,-85,-78,-89,-86,-58,-100,-100,-91,-89,-92,-58,-90,-58,-100,-100,-100,-86,-75,-83,-56,-55,-75,-100,-87,-91,-100,-80,-75,-74,-100,-73,-100,-73,-100,-81,-80,-100,-74,-81,-76,-76,-76,-80,-76,-77,-100,-83,-91,-85,-87,-88,-100,-100,-88,-100,-100,-89,-88,-87,-87,-100,-91,-100,-100,-100,-100,-100,-100,-91,-100,-93,-94,-90,-89,-84,-84,-85,-79,-79,-84,-86,-86,-78,-89,-89,-79,-87,-87,-89,-100,-89,-100,-88,-100,-100,-100,-100,-100,-87,-89,-91,-91,-89,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-76,-100,-73,-73,-72,-100,-75,-91,-75,-88,-100,-56,-80,-60,-65,-78,-60,-76,-61,-74,-75,-75,-27,-100,-77,-77,-76,-83,-81,-82,-71,-83,-72,-94,-73,-73,-75,-74,-86,-70,-71,-83,-73,-84,-73,-83,-89,-89,-76,-83,-85,-78,-89,-92,-58,-100,-100,-85,-89,-92,-57,-90,-57,-100,-100,-100,-86,-75,-83,-58,-58,-74,-100,-85,-91,-100,-80,-75,-74,-100,-69,-100,-68,-87,-82,-82,-100,-69,-81,-76,-76,-75,-79,-75,-77,-100,-83,-94,-85,-87,-88,-100,-100,-88,-100,-100,-89,-88,-87,-87,-100,-90,-100,-100,-100,-100,-100,-100,-90,-100,-93,-94,-90,-89,-84,-84,-85,-78,-76,-84,-86,-83,-78,-89,-91,-79,-87,-89,-87,-100,-87,-100,-88,-100,-88,-100,-100,-100,-88,-89,-91,-91,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-75,-100,-68,-68,-68,-100,-78,-91,-75,-88,-100,-58,-78,-62,-64,-78,-62,-74,-64,-74,-74,-75,-28,-100,-77,-77,-76,-83,-82,-83,-74,-84,-74,-94,-71,-73,-73,-76,-86,-76,-74,-84,-74,-84,-74,-83,-89,-88,-74,-86,-84,-81,-89,-92,-58,-100,-100,-90,-89,-91,-58,-90,-57,-100,-100,-100,-86,-81,-80,-55,-55,-74,-100,-88,-91,-100,-80,-75,-74,-100,-67,-100,-68,-87,-82,-82,-100,-70,-81,-78,-78,-79,-79,-79,-77,-100,-85,-94,-90,-87,-89,-100,-100,-88,-100,-100,-88,-88,-87,-87,-100,-90,-100,-100,-100,-100,-100,-100,-89,-100,-90,-89,-89,-91,-84,-86,-86,-82,-82,-88,-85,-85,-79,-88,-88,-78,-87,-87,-87,-100,-87,-100,-88,-100,-88,-100,-100,-100,-88,-89,-91,-91,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-79,-88,-68,-68,-68,-100,-81,-89,-79,-89,-100,-56,-83,-60,-64,-78,-60,-74,-59,-75,-74,-74,-29,-100,-74,-77,-75,-81,-81,-81,-73,-85,-74,-93,-71,-72,-72,-70,-86,-73,-70,-84,-73,-86,-74,-85,-88,-88,-80,-86,-87,-81,-89,-87,-58,-100,-100,-89,-90,-90,-58,-90,-57,-100,-100,-100,-86,-81,-82,-56,-55,-75,-100,-85,-91,-100,-80,-75,-75,-100,-73,-100,-68,-87,-81,-82,-100,-72,-81,-79,-79,-78,-79,-79,-78,-100,-85,-92,-90,-87,-92,-100,-100,-88,-100,-100,-88,-88,-87,-87,-100,-90,-100,-100,-100,-100,-100,-100,-89,-100,-90,-89,-89,-91,-84,-86,-86,-83,-83,-85,-86,-85,-83,-88,-88,-84,-87,-86,-84,-100,-85,-100,-88,-100,-88,-100,-100,-100,-87,-89,-91,-91,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-68,-88,-66,-65,-63,-100,-70,-89,-68,-89,-100,-63,-73,-65,-63,-73,-64,-74,-64,-73,-74,-74,-35,-100,-77,-77,-77,-79,-79,-78,-72,-84,-71,-93,-73,-75,-74,-71,-82,-72,-71,-84,-69,-87,-69,-86,-88,-91,-69,-86,-87,-81,-86,-87,-61,-100,-100,-89,-90,-86,-60,-87,-60,-100,-100,-100,-86,-82,-81,-64,-65,-74,-100,-85,-100,-100,-84,-75,-74,-100,-69,-100,-71,-87,-80,-79,-100,-70,-80,-81,-80,-81,-78,-80,-73,-100,-85,-92,-88,-87,-84,-100,-100,-100,-100,-100,-85,-86,-87,-87,-100,-86,-100,-100,-100,-100,-100,-100,-89,-100,-87,-89,-90,-88,-82,-83,-82,-89,-88,-88,-87,-89,-83,-90,-93,-89,-88,-86,-84,-100,-85,-100,-88,-100,-88,-100,-100,-100,-85,-89,-91,-91,-89,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-69,-88,-65,-65,-64,-100,-67,-89,-69,-89,-100,-57,-70,-66,-62,-72,-66,-74,-66,-75,-75,-75,-27,-100,-80,-79,-80,-80,-77,-78,-73,-84,-73,-94,-74,-74,-75,-70,-82,-70,-71,-84,-73,-86,-72,-86,-88,-91,-70,-79,-79,-78,-86,-86,-57,-100,-100,-87,-90,-86,-57,-87,-58,-100,-100,-100,-79,-82,-82,-59,-60,-72,-100,-87,-100,-100,-79,-73,-72,-100,-69,-100,-71,-87,-82,-82,-100,-70,-81,-77,-78,-81,-81,-78,-73,-100,-83,-92,-88,-87,-82,-100,-100,-100,-100,-100,-85,-86,-85,-86,-100,-90,-100,-100,-100,-100,-100,-100,-88,-100,-92,-91,-90,-88,-82,-83,-82,-85,-85,-88,-87,-89,-85,-88,-87,-86,-89,-86,-84,-100,-85,-100,-89,-100,-88,-100,-100,-100,-89,-89,-91,-91,-89,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-69,-88,-65,-63,-64,-100,-69,-89,-68,-89,-100,-59,-70,-66,-66,-72,-66,-73,-68,-74,-73,-73,-35,-100,-76,-76,-75,-78,-77,-78,-73,-87,-72,-93,-74,-73,-74,-73,-81,-71,-70,-84,-73,-86,-73,-87,-88,-93,-76,-80,-79,-75,-87,-87,-56,-100,-100,-88,-87,-87,-57,-86,-56,-100,-100,-100,-80,-82,-82,-59,-59,-73,-100,-89,-100,-100,-79,-73,-72,-100,-73,-100,-70,-87,-81,-79,-100,-74,-81,-78,-78,-78,-81,-77,-72,-100,-83,-94,-88,-87,-82,-100,-100,-100,-100,-100,-83,-82,-86,-85,-100,-87,-100,-100,-100,-100,-100,-100,-88,-100,-91,-92,-90,-88,-82,-82,-82,-85,-84,-88,-87,-87,-83,-88,-88,-85,-87,-86,-89,-100,-85,-100,-87,-100,-88,-100,-100,-100,-89,-89,-91,-91,-89,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-69,-88,-65,-68,-67,-100,-69,-89,-69,-89,-100,-60,-75,-69,-67,-72,-69,-75,-69,-74,-74,-74,-27,-100,-79,-77,-79,-78,-78,-79,-72,-87,-71,-93,-75,-75,-74,-72,-82,-70,-72,-84,-72,-85,-71,-84,-88,-91,-76,-79,-80,-73,-87,-88,-57,-100,-100,-86,-87,-87,-58,-86,-57,-100,-100,-100,-80,-78,-79,-58,-61,-71,-100,-90,-90,-100,-79,-71,-71,-100,-73,-100,-71,-87,-90,-81,-100,-74,-80,-75,-76,-89,-79,-75,-74,-100,-83,-94,-88,-87,-83,-100,-100,-100,-100,-100,-83,-82,-86,-85,-100,-87,-100,-100,-100,-100,-100,-100,-87,-100,-91,-92,-90,-88,-82,-82,-83,-82,-81,-88,-87,-87,-82,-87,-86,-82,-87,-86,-88,-100,-90,-100,-88,-100,-88,-100,-100,-100,-89,-89,-91,-91,-89,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-69,-90,-65,-68,-67,-100,-69,-89,-69,-88,-100,-61,-74,-66,-64,-73,-67,-74,-67,-74,-74,-73,-33,-100,-80,-79,-78,-78,-78,-79,-72,-88,-72,-93,-72,-73,-72,-70,-86,-70,-69,-87,-72,-87,-73,-87,-88,-90,-75,-81,-78,-73,-90,-89,-57,-100,-100,-89,-87,-89,-56,-88,-58,-100,-100,-100,-79,-80,-79,-60,-60,-72,-100,-90,-90,-100,-81,-73,-72,-100,-69,-100,-69,-87,-83,-83,-100,-70,-84,-79,-78,-79,-79,-78,-74,-100,-85,-94,-87,-87,-83,-100,-100,-84,-100,-100,-83,-84,-88,-86,-100,-90,-100,-100,-100,-100,-100,-100,-89,-100,-91,-92,-90,-88,-82,-82,-83,-84,-85,-89,-87,-87,-85,-88,-89,-88,-89,-86,-90,-100,-90,-100,-88,-100,-88,-100,-100,-100,-89,-89,-91,-91,-89,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-70,-87,-66,-66,-65,-100,-71,-89,-70,-88,-100,-60,-72,-66,-64,-74,-67,-76,-65,-75,-74,-75,-27,-100,-78,-78,-78,-77,-77,-78,-72,-89,-73,-93,-70,-70,-69,-69,-81,-69,-68,-84,-71,-87,-72,-88,-88,-90,-73,-77,-79,-73,-86,-86,-57,-100,-100,-86,-87,-88,-57,-87,-57,-100,-100,-100,-78,-80,-79,-58,-59,-72,-100,-90,-90,-100,-81,-74,-72,-100,-68,-100,-67,-87,-83,-83,-100,-68,-84,-78,-79,-78,-79,-78,-73,-100,-85,-94,-87,-87,-83,-100,-100,-84,-100,-100,-83,-83,-86,-85,-100,-90,-100,-100,-100,-100,-100,-100,-89,-100,-91,-92,-90,-88,-81,-81,-81,-86,-87,-89,-87,-88,-86,-88,-89,-88,-87,-87,-88,-100,-88,-100,-88,-100,-88,-100,-100,-100,-87,-89,-94,-91,-89,-88,-90,-87,-93,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-76,-87,-65,-66,-66,-100,-77,-89,-76,-88,-100,-59,-76,-65,-69,-76,-64,-72,-64,-72,-71,-72,-30,-100,-77,-77,-77,-82,-83,-82,-66,-88,-67,-93,-83,-82,-83,-78,-81,-82,-68,-79,-66,-89,-66,-88,-88,-91,-77,-78,-79,-79,-87,-79,-51,-100,-100,-86,-87,-86,-52,-86,-52,-100,-100,-100,-78,-81,-81,-60,-60,-76,-100,-82,-90,-100,-82,-78,-78,-100,-67,-100,-68,-87,-79,-80,-100,-67,-84,-81,-82,-81,-79,-81,-76,-100,-85,-94,-87,-87,-87,-100,-100,-84,-100,-100,-87,-87,-79,-81,-100,-87,-100,-100,-100,-100,-100,-100,-89,-100,-91,-92,-90,-88,-86,-85,-85,-80,-80,-89,-87,-88,-79,-90,-89,-79,-87,-87,-88,-100,-86,-100,-88,-100,-88,-89,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-73,-87,-65,-65,-65,-100,-72,-89,-72,-88,-100,-56,-76,-66,-67,-74,-65,-72,-64,-71,-72,-72,-30,-100,-79,-78,-79,-83,-82,-83,-70,-91,-71,-93,-79,-79,-79,-73,-81,-76,-75,-79,-71,-89,-70,-88,-88,-91,-71,-80,-81,-81,-88,-79,-52,-100,-100,-88,-87,-89,-55,-88,-53,-100,-100,-100,-81,-81,-81,-56,-58,-74,-100,-84,-90,-100,-81,-74,-74,-100,-68,-100,-67,-87,-79,-80,-100,-67,-84,-82,-82,-81,-79,-83,-75,-100,-85,-94,-87,-87,-87,-100,-100,-84,-100,-100,-86,-86,-79,-79,-100,-87,-100,-100,-100,-100,-100,-100,-92,-100,-91,-92,-90,-88,-87,-85,-85,-78,-78,-89,-87,-88,-78,-92,-89,-76,-87,-87,-86,-100,-86,-100,-88,-100,-88,-89,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-72,-87,-64,-64,-63,-100,-73,-89,-72,-88,-100,-59,-76,-65,-67,-79,-66,-71,-64,-71,-70,-69,-29,-100,-79,-78,-78,-82,-82,-82,-70,-88,-72,-93,-83,-81,-82,-74,-85,-76,-76,-80,-72,-89,-72,-88,-88,-88,-70,-80,-80,-79,-88,-82,-51,-100,-100,-88,-87,-89,-52,-88,-52,-100,-100,-100,-81,-80,-81,-58,-57,-74,-100,-93,-90,-100,-81,-74,-76,-100,-68,-100,-68,-87,-80,-80,-100,-67,-81,-82,-84,-81,-80,-84,-77,-100,-85,-94,-89,-87,-87,-100,-100,-84,-100,-100,-86,-86,-81,-81,-100,-87,-100,-100,-100,-100,-100,-100,-91,-100,-91,-92,-90,-88,-87,-85,-85,-82,-83,-89,-87,-88,-83,-92,-90,-84,-86,-87,-86,-100,-86,-100,-86,-100,-88,-89,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-72,-87,-67,-66,-67,-100,-73,-89,-72,-88,-100,-61,-77,-66,-71,-76,-66,-73,-65,-72,-73,-72,-30,-100,-80,-79,-78,-81,-82,-81,-67,-88,-67,-93,-78,-78,-80,-75,-85,-75,-76,-81,-67,-89,-67,-88,-88,-89,-77,-79,-79,-77,-88,-80,-53,-100,-100,-88,-87,-92,-53,-88,-54,-100,-100,-100,-81,-81,-81,-61,-61,-75,-100,-82,-90,-100,-81,-75,-74,-100,-65,-100,-66,-87,-80,-80,-100,-64,-79,-86,-84,-85,-77,-85,-77,-100,-85,-94,-88,-89,-86,-100,-100,-84,-100,-100,-85,-85,-81,-81,-100,-87,-100,-100,-100,-100,-100,-100,-93,-100,-91,-92,-90,-88,-87,-85,-85,-75,-75,-89,-87,-88,-75,-90,-89,-75,-86,-88,-87,-100,-87,-100,-86,-100,-87,-88,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-72,-87,-66,-67,-67,-100,-73,-89,-73,-88,-100,-62,-78,-69,-69,-76,-69,-71,-68,-72,-72,-71,-30,-100,-76,-76,-77,-83,-84,-84,-69,-88,-70,-93,-79,-79,-79,-75,-88,-75,-75,-81,-70,-89,-69,-88,-88,-88,-70,-79,-79,-79,-90,-80,-54,-100,-100,-88,-87,-88,-55,-88,-53,-100,-100,-100,-82,-81,-81,-60,-62,-75,-100,-82,-90,-100,-81,-75,-74,-100,-67,-100,-68,-88,-79,-81,-100,-69,-83,-87,-87,-88,-77,-86,-78,-100,-86,-94,-88,-89,-86,-100,-100,-84,-100,-100,-86,-88,-79,-80,-100,-87,-100,-100,-100,-100,-100,-100,-91,-100,-91,-92,-90,-88,-87,-85,-85,-79,-80,-89,-87,-88,-82,-91,-92,-79,-86,-88,-87,-100,-87,-100,-86,-100,-87,-88,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-74,-87,-65,-65,-65,-100,-74,-89,-73,-88,-100,-57,-79,-68,-70,-78,-68,-71,-69,-71,-70,-70,-29,-100,-76,-76,-72,-81,-83,-82,-70,-90,-78,-93,-80,-80,-79,-76,-88,-76,-72,-81,-70,-92,-70,-90,-88,-87,-75,-80,-79,-75,-90,-79,-53,-100,-100,-86,-87,-88,-54,-88,-53,-100,-100,-100,-80,-81,-80,-58,-55,-75,-100,-84,-90,-100,-80,-75,-74,-100,-66,-100,-67,-88,-79,-81,-100,-67,-83,-83,-82,-82,-80,-82,-76,-100,-86,-94,-87,-89,-87,-100,-100,-82,-100,-100,-87,-87,-82,-80,-100,-85,-100,-100,-100,-100,-100,-100,-88,-100,-91,-92,-90,-88,-87,-85,-85,-75,-74,-89,-90,-88,-75,-88,-89,-73,-84,-84,-86,-100,-85,-100,-85,-100,-87,-88,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-91,-86,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-74,-87,-65,-67,-67,-100,-74,-100,-76,-88,-100,-59,-73,-66,-62,-78,-67,-68,-67,-67,-69,-67,-28,-100,-79,-78,-79,-77,-76,-76,-70,-90,-71,-93,-74,-73,-74,-76,-82,-76,-72,-80,-71,-92,-70,-90,-88,-87,-75,-79,-81,-76,-87,-87,-55,-100,-100,-90,-87,-87,-54,-88,-54,-100,-100,-100,-79,-81,-80,-57,-57,-79,-100,-90,-90,-100,-80,-75,-78,-100,-66,-100,-66,-88,-79,-81,-100,-67,-83,-86,-85,-86,-80,-87,-76,-100,-86,-94,-92,-89,-84,-100,-100,-82,-100,-100,-83,-83,-86,-86,-100,-85,-100,-100,-100,-100,-100,-100,-87,-100,-91,-92,-90,-88,-79,-79,-85,-85,-86,-89,-90,-88,-85,-86,-88,-73,-84,-88,-86,-100,-85,-100,-85,-100,-87,-88,-100,-100,-87,-100,-94,-100,-100,-88,-90,-87,-93,-86,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
