20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,b6:e6:2d:69:d5:58,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:22:61:90,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,38:17:c3:19:d7:70,38:17:c3:19:d7:71,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:1c:12,38:17:c3:1f:1c:11,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:24:56:50,38:17:c3:1f:19:f0,38:17:c3:22:61:91,38:17:c3:1a:cf:d0,44:48:c1:91:95:a2,38:17:c3:19:36:30,38:17:c3:19:36:31,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e3,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,80:8d:b7:55:29:d0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:11,80:8d:b7:55:25:e0,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,38:17:c3:1e:ff:10,80:8d:b7:55:39:d0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,80:8d:b7:55:25:e2,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,38:17:c3:19:71:91,38:17:c3:19:71:90,68:ff:7b:e4:af:39,38:17:c3:1e:ff:12,38:17:c3:19:71:92,d8:07:b6:72:52:c0,80:8d:b7:55:35:02,38:17:c3:1f:22:30,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:29:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,00:4e:35:de:e1:12,38:17:c3:1f:0e:10,20:a6:cd:50:24:b0,00:4e:35:df:06:52,00:4e:35:df:06:50,20:a6:cd:50:24:b1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:df:06:51,20:a6:cd:50:24:b2,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:02,80:8d:b7:55:4d:10,38:17:c3:1f:22:22,x,y,label
-87,-86,-100,-100,-86,-90,-84,-84,-90,-90,-89,-89,-100,-88,-100,-91,-100,-82,-76,-82,-78,-62,-76,-59,-82,-90,-100,-82,-100,-100,-82,-83,-82,-82,-89,-88,-82,-91,-88,-88,-90,-60,-91,-90,-89,-91,-82,-81,-69,-82,-81,-100,-100,-100,-100,-91,-100,-69,-73,-72,-79,-65,-90,-100,-100,-67,-90,-91,-87,-91,-89,-100,-90,-93,-92,-91,-90,-81,-90,-81,-90,-81,-89,-100,-88,-87,-86,-85,-85,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-94,-86,-100,-90,-87,-86,-90,-87,-89,-87,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-87,-86,-100,-100,-87,-92,-84,-84,-90,-90,-89,-89,-100,-88,-100,-91,-100,-82,-76,-82,-76,-60,-76,-60,-82,-90,-100,-83,-100,-100,-81,-81,-82,-82,-90,-91,-82,-91,-88,-88,-90,-60,-91,-89,-93,-91,-82,-81,-68,-82,-80,-100,-100,-100,-100,-91,-100,-71,-73,-70,-73,-67,-90,-100,-100,-67,-90,-90,-85,-90,-87,-100,-89,-93,-92,-91,-90,-82,-93,-81,-90,-81,-89,-100,-88,-87,-87,-85,-86,-100,-100,-100,-88,-100,-86,-100,-100,-100,-100,-100,-94,-86,-100,-90,-87,-86,-89,-87,-89,-86,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-87,-86,-100,-100,-90,-92,-86,-84,-90,-90,-89,-88,-100,-88,-100,-100,-100,-82,-70,-82,-68,-56,-70,-57,-82,-93,-100,-83,-100,-100,-81,-81,-81,-82,-95,-91,-82,-91,-88,-88,-100,-57,-91,-92,-89,-90,-78,-81,-67,-77,-79,-100,-100,-100,-100,-91,-100,-75,-78,-78,-78,-68,-90,-100,-100,-67,-90,-90,-90,-90,-82,-100,-83,-100,-100,-100,-100,-80,-85,-81,-82,-82,-82,-100,-87,-85,-79,-82,-79,-100,-100,-100,-88,-100,-86,-100,-100,-100,-100,-100,-100,-86,-100,-90,-87,-86,-89,-87,-89,-89,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-87,-86,-100,-100,-90,-92,-89,-90,-90,-90,-88,-90,-100,-89,-100,-100,-100,-86,-69,-88,-68,-56,-68,-56,-87,-93,-100,-89,-100,-100,-81,-80,-80,-82,-95,-91,-82,-91,-88,-88,-100,-55,-91,-92,-89,-89,-78,-76,-58,-75,-79,-100,-100,-100,-100,-91,-100,-75,-83,-75,-78,-62,-90,-100,-100,-63,-90,-90,-92,-90,-82,-100,-81,-100,-100,-100,-100,-79,-87,-79,-81,-80,-82,-100,-87,-85,-79,-80,-78,-100,-100,-100,-88,-100,-93,-100,-100,-100,-100,-100,-91,-86,-100,-90,-87,-86,-90,-87,-89,-88,-87,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-87,-86,-100,-100,-90,-92,-86,-90,-90,-90,-86,-89,-100,-87,-100,-100,-100,-88,-70,-87,-69,-53,-69,-54,-88,-93,-100,-87,-100,-100,-81,-81,-81,-81,-92,-91,-82,-91,-88,-88,-100,-54,-91,-92,-89,-92,-80,-80,-64,-78,-81,-100,-100,-100,-100,-91,-100,-78,-82,-76,-82,-63,-90,-100,-100,-61,-90,-90,-92,-90,-82,-100,-81,-100,-100,-100,-100,-79,-80,-80,-81,-80,-82,-100,-83,-83,-78,-78,-81,-100,-100,-100,-88,-100,-93,-100,-100,-100,-100,-100,-91,-86,-100,-90,-87,-84,-88,-87,-89,-88,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-87,-86,-100,-100,-90,-92,-86,-90,-90,-90,-88,-89,-100,-88,-100,-100,-100,-88,-68,-87,-69,-55,-68,-56,-88,-93,-100,-85,-100,-100,-82,-81,-81,-81,-92,-91,-82,-93,-88,-88,-100,-57,-91,-92,-89,-91,-79,-80,-66,-81,-78,-100,-100,-100,-100,-91,-100,-76,-82,-78,-82,-66,-90,-100,-100,-66,-90,-91,-90,-90,-82,-100,-82,-100,-100,-100,-100,-79,-84,-80,-82,-79,-82,-100,-85,-85,-79,-78,-81,-100,-100,-100,-88,-100,-93,-100,-100,-100,-100,-100,-91,-86,-100,-90,-87,-84,-89,-87,-89,-88,-87,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-87,-86,-100,-100,-90,-92,-86,-90,-90,-90,-90,-89,-100,-88,-100,-100,-100,-88,-70,-87,-69,-56,-69,-57,-87,-93,-100,-88,-100,-100,-82,-81,-82,-81,-92,-91,-82,-93,-88,-88,-100,-57,-91,-92,-89,-89,-79,-81,-64,-80,-78,-100,-100,-100,-100,-91,-100,-76,-84,-77,-79,-67,-90,-100,-100,-66,-90,-91,-90,-90,-81,-100,-81,-100,-100,-100,-100,-81,-84,-82,-82,-81,-81,-100,-85,-85,-81,-78,-79,-100,-100,-100,-88,-100,-92,-100,-100,-100,-100,-100,-92,-86,-100,-90,-87,-85,-88,-87,-89,-89,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-89,-86,-100,-100,-90,-92,-87,-90,-90,-90,-90,-89,-100,-88,-100,-100,-100,-87,-70,-88,-70,-55,-69,-55,-87,-93,-100,-88,-100,-100,-81,-81,-81,-81,-92,-91,-90,-91,-88,-88,-100,-56,-91,-92,-90,-91,-80,-81,-65,-79,-78,-100,-100,-100,-100,-91,-100,-77,-84,-77,-79,-65,-90,-100,-100,-65,-90,-91,-90,-92,-81,-100,-81,-100,-100,-100,-100,-80,-68,-80,-81,-80,-82,-100,-84,-84,-79,-81,-78,-100,-100,-100,-88,-100,-91,-100,-100,-100,-100,-100,-92,-86,-100,-90,-87,-85,-87,-87,-89,-89,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-89,-86,-100,-100,-89,-92,-89,-90,-100,-100,-82,-81,-100,-81,-100,-100,-100,-88,-71,-89,-71,-56,-70,-55,-89,-94,-100,-88,-100,-100,-81,-81,-86,-81,-92,-91,-90,-91,-100,-100,-100,-56,-91,-90,-84,-85,-81,-80,-63,-79,-78,-100,-100,-100,-100,-100,-100,-80,-82,-75,-75,-61,-100,-100,-100,-61,-100,-85,-90,-85,-84,-100,-84,-100,-100,-100,-100,-78,-84,-78,-84,-77,-84,-100,-85,-83,-79,-84,-78,-100,-100,-100,-92,-100,-91,-100,-100,-100,-100,-100,-92,-90,-100,-100,-100,-83,-86,-87,-91,-85,-87,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-89,-86,-100,-100,-89,-92,-88,-90,-100,-100,-82,-81,-100,-81,-100,-100,-100,-91,-75,-90,-75,-55,-74,-54,-89,-94,-100,-89,-100,-100,-83,-83,-83,-84,-92,-91,-90,-91,-100,-100,-100,-55,-91,-92,-92,-90,-81,-80,-64,-79,-78,-100,-100,-100,-100,-100,-100,-76,-82,-75,-75,-65,-100,-100,-100,-65,-100,-90,-90,-91,-85,-100,-87,-100,-100,-100,-100,-78,-84,-81,-85,-80,-85,-100,-89,-87,-79,-84,-78,-100,-100,-100,-92,-100,-91,-100,-100,-100,-100,-100,-92,-90,-100,-100,-100,-86,-88,-87,-89,-89,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-89,-86,-100,-100,-89,-92,-87,-90,-100,-100,-81,-81,-100,-82,-100,-100,-100,-92,-74,-91,-74,-51,-74,-52,-89,-94,-100,-91,-100,-100,-86,-83,-84,-84,-91,-91,-90,-91,-100,-100,-100,-52,-91,-91,-90,-89,-81,-88,-57,-86,-78,-100,-100,-100,-100,-100,-100,-79,-82,-79,-75,-56,-100,-100,-100,-56,-100,-90,-90,-90,-88,-100,-87,-100,-100,-100,-100,-83,-80,-83,-85,-84,-87,-100,-89,-87,-79,-84,-78,-100,-100,-100,-90,-100,-91,-100,-100,-100,-100,-100,-92,-90,-100,-100,-100,-86,-89,-85,-86,-88,-85,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-89,-86,-100,-100,-89,-92,-87,-90,-100,-100,-89,-87,-100,-86,-100,-100,-100,-89,-76,-90,-77,-54,-76,-53,-90,-94,-100,-89,-100,-100,-84,-83,-83,-84,-91,-91,-90,-91,-100,-100,-100,-53,-91,-91,-89,-88,-81,-88,-55,-86,-82,-100,-100,-100,-100,-100,-100,-81,-83,-79,-82,-56,-100,-100,-100,-55,-100,-88,-90,-88,-86,-100,-87,-100,-100,-100,-100,-78,-85,-79,-85,-79,-86,-100,-82,-81,-79,-84,-84,-100,-100,-100,-84,-100,-91,-100,-100,-100,-100,-100,-92,-90,-100,-100,-100,-82,-88,-85,-86,-89,-85,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-89,-86,-100,-100,-89,-92,-87,-90,-100,-100,-85,-86,-100,-85,-100,-100,-100,-89,-69,-89,-68,-60,-70,-57,-90,-94,-100,-89,-100,-100,-80,-83,-81,-82,-91,-91,-90,-91,-100,-100,-100,-58,-91,-92,-89,-89,-90,-88,-59,-89,-82,-100,-100,-100,-100,-100,-100,-80,-81,-79,-82,-60,-100,-100,-100,-61,-100,-89,-90,-88,-81,-100,-81,-100,-100,-100,-100,-85,-77,-85,-80,-85,-81,-100,-82,-81,-86,-87,-86,-100,-100,-100,-88,-100,-92,-100,-100,-100,-100,-100,-92,-84,-100,-100,-100,-82,-81,-88,-86,-83,-88,-83,-82,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-90,-91,-100,-100,-88,-92,-86,-90,-100,-100,-85,-85,-100,-84,-100,-100,-100,-89,-70,-91,-72,-50,-71,-50,-90,-94,-100,-92,-100,-100,-88,-87,-87,-82,-91,-91,-89,-91,-100,-100,-100,-50,-91,-92,-89,-90,-83,-83,-61,-82,-82,-100,-100,-100,-100,-100,-100,-80,-84,-79,-82,-62,-100,-100,-100,-49,-100,-91,-90,-90,-86,-100,-87,-100,-100,-100,-100,-80,-79,-80,-86,-79,-86,-100,-86,-84,-85,-85,-85,-100,-100,-100,-89,-100,-92,-100,-100,-100,-100,-100,-92,-84,-100,-100,-100,-85,-88,-89,-88,-90,-86,-87,-87,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-90,-91,-100,-100,-88,-100,-92,-90,-100,-100,-88,-85,-100,-84,-100,-100,-100,-89,-86,-90,-85,-46,-86,-45,-90,-94,-100,-90,-100,-100,-87,-87,-89,-89,-91,-100,-89,-91,-100,-100,-100,-45,-100,-92,-86,-85,-83,-83,-62,-82,-69,-100,-100,-100,-100,-100,-100,-85,-81,-84,-82,-61,-100,-100,-100,-62,-100,-87,-92,-86,-86,-100,-87,-100,-100,-100,-100,-77,-87,-77,-89,-76,-86,-100,-88,-84,-74,-74,-75,-100,-100,-100,-89,-100,-92,-100,-100,-100,-92,-100,-92,-82,-100,-100,-100,-88,-88,-89,-88,-87,-86,-87,-88,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-90,-91,-100,-100,-88,-100,-92,-90,-100,-100,-88,-85,-100,-84,-100,-100,-100,-89,-83,-90,-83,-47,-84,-46,-90,-94,-100,-91,-100,-100,-88,-87,-90,-89,-91,-100,-89,-91,-100,-100,-100,-45,-100,-92,-86,-86,-85,-83,-61,-84,-82,-100,-100,-100,-100,-100,-100,-82,-81,-84,-82,-61,-100,-100,-100,-61,-100,-87,-90,-87,-86,-100,-88,-100,-100,-100,-100,-79,-83,-79,-89,-80,-86,-100,-82,-82,-85,-85,-85,-100,-100,-100,-89,-100,-92,-100,-100,-100,-92,-100,-92,-82,-100,-100,-100,-83,-89,-89,-88,-87,-86,-86,-88,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-90,-91,-100,-100,-88,-100,-92,-90,-100,-100,-91,-85,-100,-84,-100,-100,-100,-89,-81,-90,-81,-46,-82,-46,-90,-94,-100,-91,-100,-100,-91,-87,-89,-89,-91,-100,-89,-91,-100,-100,-100,-46,-100,-92,-87,-88,-82,-82,-63,-83,-82,-100,-100,-100,-100,-100,-100,-80,-81,-84,-82,-64,-100,-100,-100,-63,-100,-87,-90,-87,-86,-100,-86,-100,-100,-100,-100,-79,-82,-79,-87,-79,-86,-100,-84,-85,-85,-85,-85,-100,-100,-100,-89,-100,-92,-100,-100,-100,-92,-100,-92,-86,-100,-100,-100,-83,-89,-87,-87,-86,-86,-87,-87,-94,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-90,-91,-100,-100,-88,-100,-93,-90,-100,-100,-86,-86,-100,-85,-100,-100,-100,-89,-83,-90,-82,-48,-83,-46,-90,-93,-100,-91,-100,-100,-88,-87,-91,-89,-91,-100,-89,-91,-100,-100,-100,-48,-100,-92,-88,-87,-82,-83,-62,-82,-83,-100,-100,-100,-100,-100,-100,-80,-81,-84,-82,-63,-100,-100,-100,-63,-100,-86,-90,-86,-86,-100,-87,-100,-100,-100,-100,-79,-83,-79,-88,-79,-86,-100,-84,-82,-85,-85,-85,-100,-100,-100,-89,-100,-92,-100,-100,-100,-92,-100,-92,-85,-100,-100,-100,-83,-88,-86,-87,-87,-87,-88,-88,-94,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-90,-91,-100,-100,-88,-100,-93,-90,-100,-100,-85,-86,-100,-86,-100,-100,-100,-89,-82,-90,-81,-47,-84,-47,-90,-93,-100,-90,-100,-100,-88,-87,-88,-89,-91,-100,-89,-91,-100,-100,-100,-46,-100,-92,-86,-86,-83,-83,-64,-82,-82,-100,-100,-100,-100,-100,-100,-81,-88,-84,-81,-61,-100,-100,-100,-64,-100,-85,-90,-85,-86,-100,-87,-100,-100,-100,-100,-78,-79,-78,-89,-78,-86,-100,-86,-84,-85,-85,-85,-100,-100,-100,-89,-100,-92,-100,-100,-100,-92,-100,-92,-84,-100,-100,-100,-84,-87,-86,-87,-87,-87,-86,-88,-94,-87,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
