44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a3,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,38:17:c3:1f:09:92,38:17:c3:1f:09:93,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:09:80,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:aa:20,20:a6:cd:42:0a:c3,44:48:c1:91:aa:21,44:48:c1:91:d0:00,44:48:c1:91:aa:22,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,38:17:c3:24:56:50,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,38:17:c3:1f:1c:10,20:a6:cd:42:13:f2,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:1c:12,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:aa:31,44:48:c1:91:aa:32,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,38:17:c3:1a:cf:d0,38:17:c3:19:36:30,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:36:32,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e0,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:35:03,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,68:ff:7b:e4:af:39,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:35:12,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,80:8d:b7:55:25:e0,38:17:c3:19:71:90,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,68:ff:7b:e4:af:38,38:17:c3:19:71:92,20:a6:cd:50:24:b0,38:17:c3:19:71:91,80:8d:b7:55:29:d0,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:df:06:52,80:8d:b7:55:29:d1,ea:9e:b4:53:24:54,80:8d:b7:55:29:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:de:e1:12,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:21,80:8d:b7:55:4d:10,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,label
-100,-100,-100,-92,-89,-88,-87,-100,-100,-90,-88,-87,-89,-90,-74,-72,-89,-90,-100,-90,-90,-89,-89,-90,-90,-83,-84,-83,-100,-86,-85,-84,-100,-84,-100,-86,-100,-85,-86,-83,-92,-84,-85,-74,-86,-72,-59,-73,-58,-85,-85,-100,-84,-75,-75,-75,-78,-84,-85,-87,-80,-81,-89,-100,-100,-100,-58,-85,-84,-80,-74,-72,-74,-100,-78,-81,-100,-89,-100,-100,-72,-70,-71,-87,-100,-100,-71,-88,-87,-100,-86,-87,-86,-85,-100,-100,-95,-82,-80,-77,-91,-83,-100,-100,-79,-81,-100,-88,-92,-90,-90,-89,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-100,-100,-100,-92,-87,-89,-87,-100,-100,-90,-88,-92,-89,-94,-76,-74,-93,-90,-100,-90,-90,-90,-89,-90,-90,-84,-85,-83,-100,-88,-85,-84,-100,-86,-100,-86,-100,-85,-86,-83,-92,-84,-83,-72,-82,-71,-62,-71,-59,-82,-85,-100,-82,-77,-78,-78,-78,-87,-87,-88,-81,-89,-88,-100,-100,-100,-59,-87,-86,-77,-78,-65,-77,-100,-79,-79,-100,-89,-100,-100,-76,-70,-67,-87,-100,-100,-67,-88,-87,-100,-84,-84,-84,-85,-100,-100,-95,-79,-79,-79,-93,-84,-100,-100,-79,-81,-100,-88,-92,-90,-90,-89,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-100,-100,-100,-92,-87,-89,-87,-100,-100,-90,-88,-92,-89,-92,-75,-74,-91,-90,-100,-100,-90,-91,-89,-90,-90,-85,-85,-85,-100,-85,-85,-84,-100,-84,-100,-88,-100,-87,-86,-83,-92,-84,-83,-69,-84,-67,-61,-69,-60,-84,-85,-100,-84,-78,-78,-79,-78,-87,-85,-91,-79,-88,-89,-100,-100,-100,-60,-85,-85,-77,-77,-69,-77,-100,-79,-81,-100,-85,-100,-100,-75,-76,-66,-87,-100,-100,-66,-88,-85,-100,-84,-85,-84,-84,-100,-100,-95,-83,-82,-88,-93,-84,-100,-100,-79,-81,-100,-88,-92,-90,-90,-92,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-100,-100,-100,-92,-87,-89,-88,-100,-100,-90,-88,-92,-89,-91,-75,-78,-92,-90,-100,-100,-90,-91,-89,-90,-90,-85,-84,-84,-100,-85,-85,-84,-100,-84,-100,-88,-100,-87,-86,-83,-92,-84,-85,-71,-84,-70,-58,-70,-58,-86,-85,-100,-84,-79,-79,-79,-79,-86,-86,-89,-79,-88,-88,-100,-100,-100,-58,-86,-86,-74,-76,-68,-77,-100,-76,-81,-100,-85,-100,-100,-77,-74,-69,-87,-100,-100,-70,-88,-85,-100,-85,-84,-85,-84,-100,-100,-95,-80,-80,-88,-95,-84,-100,-100,-79,-91,-100,-88,-92,-90,-90,-92,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,124,8
-100,-100,-100,-92,-87,-89,-88,-100,-100,-90,-88,-92,-88,-88,-73,-78,-90,-90,-100,-100,-90,-91,-89,-90,-90,-80,-81,-81,-100,-83,-84,-82,-100,-84,-100,-89,-100,-89,-88,-83,-92,-84,-85,-74,-84,-74,-59,-73,-58,-86,-91,-100,-84,-80,-81,-79,-82,-86,-85,-92,-79,-88,-88,-100,-100,-100,-58,-86,-86,-74,-76,-71,-77,-100,-77,-82,-100,-85,-100,-100,-71,-74,-69,-87,-100,-100,-70,-88,-85,-100,-85,-89,-88,-88,-100,-100,-95,-81,-80,-79,-95,-84,-100,-100,-79,-91,-100,-88,-88,-89,-90,-90,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-92,-89,-88,-87,-100,-100,-90,-88,-92,-89,-88,-71,-73,-89,-88,-100,-100,-90,-89,-89,-90,-90,-81,-81,-81,-100,-83,-84,-82,-100,-80,-100,-89,-100,-89,-88,-83,-92,-84,-78,-79,-77,-78,-58,-77,-59,-77,-91,-100,-76,-81,-77,-80,-79,-85,-84,-88,-79,-89,-88,-100,-100,-100,-59,-84,-84,-81,-80,-71,-80,-100,-76,-80,-100,-85,-100,-100,-71,-73,-70,-87,-100,-100,-70,-88,-85,-100,-85,-91,-90,-88,-100,-100,-95,-81,-80,-79,-95,-89,-100,-100,-79,-91,-100,-84,-90,-89,-90,-90,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-92,-89,-88,-88,-100,-100,-90,-88,-92,-87,-88,-72,-73,-88,-87,-100,-100,-90,-89,-89,-90,-90,-82,-81,-82,-100,-83,-84,-82,-100,-80,-100,-89,-100,-87,-88,-83,-92,-84,-79,-80,-79,-78,-58,-79,-58,-78,-91,-100,-79,-80,-77,-79,-80,-85,-84,-90,-84,-89,-89,-100,-100,-100,-59,-84,-85,-78,-76,-86,-78,-100,-79,-80,-100,-88,-100,-100,-71,-73,-72,-88,-100,-100,-71,-88,-85,-100,-87,-87,-88,-87,-100,-100,-95,-80,-81,-83,-95,-84,-100,-100,-79,-91,-100,-84,-89,-90,-88,-90,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-92,-89,-88,-88,-100,-100,-90,-88,-92,-87,-87,-73,-75,-87,-87,-100,-100,-90,-89,-89,-92,-92,-81,-81,-81,-100,-77,-82,-82,-100,-80,-100,-89,-100,-87,-88,-83,-92,-84,-78,-78,-78,-78,-57,-79,-57,-79,-91,-100,-78,-79,-78,-79,-81,-87,-86,-89,-84,-88,-90,-100,-100,-100,-56,-87,-86,-80,-78,-71,-78,-100,-79,-80,-100,-88,-100,-100,-73,-73,-70,-88,-100,-100,-68,-88,-85,-100,-89,-89,-89,-88,-100,-100,-95,-88,-85,-77,-95,-86,-100,-100,-79,-91,-100,-86,-89,-89,-90,-90,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-92,-89,-88,-88,-100,-100,-90,-88,-92,-89,-88,-71,-76,-88,-88,-100,-100,-90,-89,-89,-92,-92,-81,-80,-81,-100,-90,-84,-83,-100,-80,-100,-89,-100,-87,-88,-83,-92,-84,-79,-78,-81,-78,-59,-78,-59,-80,-91,-100,-79,-80,-80,-80,-79,-86,-85,-88,-71,-87,-87,-100,-100,-100,-57,-85,-85,-91,-78,-72,-78,-100,-77,-81,-100,-88,-100,-100,-73,-73,-71,-88,-100,-100,-72,-88,-85,-100,-89,-91,-90,-88,-100,-100,-95,-81,-80,-77,-95,-85,-100,-100,-79,-91,-100,-86,-90,-91,-90,-90,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-92,-89,-88,-88,-100,-100,-90,-88,-92,-88,-88,-71,-77,-89,-88,-100,-100,-90,-89,-89,-92,-92,-82,-82,-80,-100,-83,-83,-82,-100,-80,-100,-89,-100,-87,-89,-83,-92,-84,-79,-78,-79,-78,-59,-79,-60,-80,-91,-100,-79,-80,-79,-79,-79,-86,-86,-89,-71,-89,-88,-100,-100,-100,-58,-85,-85,-80,-78,-85,-78,-100,-78,-81,-100,-88,-100,-100,-70,-73,-69,-88,-100,-100,-69,-88,-85,-100,-89,-92,-90,-88,-100,-100,-95,-81,-80,-77,-95,-85,-100,-100,-79,-91,-100,-87,-89,-88,-89,-89,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,367,124,9
-100,-100,-100,-100,-89,-88,-88,-100,-100,-90,-88,-92,-87,-88,-75,-77,-88,-89,-100,-100,-90,-86,-89,-92,-92,-87,-85,-86,-100,-83,-83,-89,-100,-88,-100,-89,-100,-87,-89,-100,-92,-100,-87,-77,-87,-77,-54,-77,-53,-87,-91,-100,-89,-77,-77,-79,-78,-86,-86,-90,-71,-89,-88,-100,-100,-100,-53,-85,-92,-79,-78,-65,-78,-100,-79,-82,-100,-88,-100,-100,-74,-78,-66,-88,-100,-100,-65,-88,-85,-100,-84,-84,-85,-85,-100,-100,-95,-82,-80,-84,-93,-85,-100,-100,-100,-91,-100,-87,-89,-86,-89,-88,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-88,-100,-100,-90,-100,-92,-88,-88,-73,-74,-92,-86,-100,-89,-90,-84,-89,-92,-92,-85,-86,-86,-100,-83,-83,-89,-100,-90,-100,-89,-100,-87,-89,-100,-92,-100,-85,-71,-85,-69,-51,-71,-51,-86,-91,-100,-85,-77,-77,-78,-77,-90,-86,-90,-71,-89,-88,-100,-100,-100,-52,-85,-91,-79,-76,-64,-76,-100,-81,-81,-100,-88,-100,-100,-74,-76,-64,-88,-100,-100,-64,-88,-85,-100,-83,-83,-83,-83,-100,-100,-95,-82,-81,-82,-93,-85,-100,-100,-100,-91,-100,-85,-90,-89,-89,-88,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-88,-100,-100,-90,-100,-92,-88,-89,-73,-74,-89,-89,-100,-89,-90,-87,-89,-92,-92,-84,-86,-84,-100,-83,-83,-89,-100,-86,-100,-89,-100,-87,-89,-100,-92,-100,-87,-75,-88,-72,-56,-74,-55,-87,-91,-100,-87,-86,-77,-78,-77,-93,-86,-95,-71,-89,-88,-100,-100,-100,-56,-85,-93,-78,-77,-64,-79,-100,-79,-84,-100,-88,-100,-100,-74,-75,-65,-88,-100,-100,-64,-88,-85,-100,-85,-84,-85,-85,-100,-100,-95,-83,-82,-82,-93,-85,-100,-100,-100,-91,-100,-85,-87,-88,-87,-89,-84,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-88,-100,-100,-90,-100,-92,-88,-88,-75,-74,-90,-90,-100,-89,-90,-87,-89,-92,-92,-84,-84,-84,-100,-83,-83,-89,-100,-86,-100,-89,-100,-87,-89,-100,-92,-100,-86,-72,-88,-71,-52,-72,-53,-87,-88,-100,-86,-77,-79,-79,-76,-90,-86,-91,-71,-89,-88,-100,-100,-100,-53,-85,-92,-79,-79,-66,-77,-100,-78,-83,-100,-88,-100,-100,-74,-75,-63,-88,-100,-100,-66,-88,-85,-100,-85,-86,-85,-85,-100,-100,-95,-84,-84,-82,-93,-82,-100,-100,-100,-91,-100,-85,-90,-89,-89,-89,-82,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-91,-100,-100,-90,-100,-92,-88,-89,-74,-78,-90,-89,-100,-89,-90,-87,-89,-92,-92,-84,-85,-84,-100,-83,-83,-89,-100,-83,-100,-89,-100,-87,-89,-100,-92,-100,-86,-73,-85,-74,-53,-75,-53,-86,-88,-100,-85,-77,-80,-77,-79,-91,-86,-91,-71,-89,-88,-100,-100,-100,-53,-85,-91,-77,-75,-64,-78,-100,-79,-84,-100,-88,-100,-100,-73,-75,-64,-88,-100,-100,-64,-88,-85,-100,-85,-85,-86,-85,-100,-100,-95,-85,-85,-80,-93,-83,-100,-100,-100,-91,-100,-85,-89,-91,-89,-90,-84,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-91,-100,-100,-90,-100,-92,-88,-88,-73,-80,-89,-89,-100,-89,-90,-88,-89,-92,-92,-83,-83,-83,-100,-83,-83,-89,-100,-85,-100,-89,-100,-87,-89,-100,-92,-100,-85,-74,-85,-73,-53,-73,-54,-86,-88,-100,-86,-78,-78,-79,-79,-93,-86,-91,-71,-89,-88,-100,-100,-100,-54,-85,-93,-76,-75,-63,-76,-100,-79,-84,-100,-88,-100,-100,-73,-79,-64,-88,-100,-100,-63,-88,-85,-100,-85,-86,-85,-86,-100,-100,-95,-85,-85,-83,-93,-84,-100,-100,-100,-91,-100,-85,-90,-87,-90,-89,-83,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,384,124,10
-100,-100,-100,-100,-89,-88,-91,-100,-100,-100,-100,-100,-86,-86,-78,-83,-86,-88,-100,-89,-100,-88,-100,-92,-92,-85,-85,-85,-90,-83,-83,-89,-100,-86,-100,-89,-100,-87,-89,-100,-100,-100,-85,-72,-89,-70,-53,-71,-54,-86,-88,-100,-89,-86,-78,-85,-79,-95,-86,-89,-71,-89,-89,-100,-100,-100,-54,-85,-90,-76,-79,-61,-76,-100,-77,-84,-100,-88,-100,-100,-78,-79,-61,-88,-100,-100,-60,-88,-100,-100,-82,-83,-83,-82,-100,-100,-100,-85,-86,-79,-94,-86,-100,-100,-100,-91,-100,-85,-86,-87,-87,-87,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
-100,-100,-100,-100,-89,-88,-91,-100,-100,-100,-100,-100,-86,-87,-79,-75,-87,-86,-88,-90,-100,-85,-100,-92,-92,-86,-85,-84,-88,-83,-83,-89,-100,-85,-100,-89,-100,-87,-89,-100,-100,-100,-91,-73,-87,-71,-48,-71,-48,-86,-88,-100,-89,-80,-78,-83,-79,-95,-86,-89,-71,-89,-89,-100,-100,-100,-50,-85,-90,-81,-81,-64,-81,-100,-77,-84,-100,-88,-100,-100,-78,-78,-62,-88,-100,-100,-63,-88,-100,-100,-84,-85,-86,-86,-100,-100,-100,-87,-85,-79,-91,-86,-100,-100,-100,-91,-100,-85,-88,-89,-87,-86,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,401,124,11
