20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:22:61:92,38:17:c3:24:47:51,38:17:c3:22:61:90,38:17:c3:1f:19:c2,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:00:a2,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:1c:12,38:17:c3:1f:09:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:91,38:17:c3:1f:09:82,a8:bd:27:4c:aa:90,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,44:48:c1:91:95:a2,38:17:c3:19:36:30,20:a6:cd:42:13:f1,38:17:c3:1f:1c:10,b4:5d:50:e1:96:42,38:17:c3:1f:1c:11,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:c0,66:2a:2f:53:7c:99,44:48:c1:91:95:a3,38:17:c3:1f:14:01,38:17:c3:22:61:91,44:48:c1:91:95:a1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:1f:19:f1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,44:48:c1:91:95:a0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,80:8d:b7:55:29:d0,38:17:c3:19:36:31,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:25:f3,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,80:8d:b7:55:25:e0,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,80:8d:b7:55:35:10,80:8d:b7:55:25:f1,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:1e:ff:12,ea:9e:b4:53:24:54,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,68:ff:7b:e4:af:39,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:1e:ff:11,38:17:c3:19:71:91,38:17:c3:19:71:92,80:8d:b7:55:35:02,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:29:d1,38:17:c3:1e:ff:02,80:8d:b7:55:29:d2,38:17:c3:19:71:80,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,80:8d:b7:55:35:00,38:17:c3:19:71:82,38:17:c3:19:71:81,20:a6:cd:50:24:b0,80:8d:b7:55:35:01,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,38:17:c3:1f:22:31,00:4e:35:df:06:52,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:29:c1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,80:8d:b7:55:39:c0,20:a6:cd:50:24:b2,38:17:c3:1f:22:32,00:4e:35:de:e1:12,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,x,y,label
-87,-88,-86,-87,-89,-100,-92,-100,-91,-100,-89,-75,-90,-75,-47,-75,-47,-90,-91,-100,-91,-100,-100,-86,-87,-87,-85,-89,-92,-88,-93,-87,-91,-100,-92,-100,-100,-46,-90,-92,-89,-84,-95,-83,-62,-83,-82,-100,-85,-84,-100,-89,-81,-79,-82,-80,-62,-90,-100,-63,-91,-90,-100,-89,-87,-86,-86,-87,-91,-100,-100,-100,-100,-76,-83,-87,-76,-76,-87,-86,-100,-100,-100,-100,-88,-100,-86,-88,-86,-100,-95,-100,-83,-100,-100,-89,-89,-90,-83,-83,-100,-82,-88,-89,-87,-88,-89,-89,-89,-85,-84,-85,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-87,-88,-86,-86,-89,-100,-92,-100,-100,-100,-91,-75,-91,-76,-47,-74,-47,-90,-90,-100,-91,-100,-100,-86,-86,-86,-82,-85,-92,-88,-93,-87,-91,-100,-92,-100,-100,-47,-90,-92,-89,-86,-92,-84,-63,-84,-81,-100,-85,-85,-100,-89,-81,-79,-83,-80,-64,-90,-100,-63,-91,-92,-100,-89,-87,-87,-86,-88,-84,-100,-100,-100,-100,-76,-83,-86,-76,-76,-86,-87,-100,-100,-100,-100,-88,-100,-87,-88,-87,-100,-95,-100,-83,-100,-100,-89,-89,-90,-83,-83,-100,-82,-87,-87,-87,-87,-89,-100,-100,-86,-84,-85,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-87,-88,-86,-90,-100,-100,-92,-100,-100,-100,-90,-75,-89,-74,-47,-75,-47,-90,-90,-100,-89,-100,-100,-87,-86,-87,-82,-87,-92,-88,-93,-90,-91,-100,-92,-100,-100,-47,-90,-92,-90,-86,-91,-83,-63,-82,-82,-100,-84,-86,-100,-89,-84,-82,-83,-80,-63,-90,-100,-63,-91,-92,-100,-91,-87,-87,-86,-86,-81,-100,-100,-100,-100,-77,-83,-86,-76,-76,-87,-88,-100,-100,-100,-100,-88,-100,-86,-88,-87,-100,-95,-100,-82,-100,-100,-89,-89,-90,-83,-83,-100,-82,-86,-87,-87,-87,-100,-100,-100,-84,-85,-85,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-87,-88,-86,-85,-100,-100,-100,-100,-100,-100,-91,-76,-90,-75,-47,-75,-46,-90,-90,-100,-92,-100,-100,-87,-85,-86,-83,-86,-92,-88,-93,-92,-91,-100,-92,-100,-100,-47,-90,-92,-90,-86,-92,-83,-62,-83,-81,-100,-85,-85,-100,-89,-81,-82,-82,-80,-63,-90,-100,-63,-92,-92,-100,-91,-87,-86,-89,-88,-84,-100,-100,-100,-100,-77,-79,-87,-77,-77,-86,-87,-100,-100,-100,-100,-88,-100,-86,-88,-87,-100,-95,-100,-82,-100,-100,-89,-89,-90,-83,-83,-100,-82,-87,-88,-88,-86,-100,-100,-100,-84,-86,-86,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-100,-88,-100,-94,-100,-100,-100,-100,-100,-100,-87,-74,-87,-73,-39,-73,-39,-87,-92,-100,-86,-100,-100,-87,-87,-87,-80,-87,-93,-100,-91,-92,-91,-100,-92,-100,-100,-39,-90,-93,-88,-81,-89,-82,-55,-82,-82,-100,-80,-80,-100,-100,-85,-82,-81,-82,-56,-100,-100,-55,-90,-93,-100,-90,-87,-86,-89,-87,-89,-100,-100,-100,-100,-76,-82,-85,-77,-76,-87,-87,-100,-91,-100,-100,-100,-100,-85,-84,-84,-100,-95,-100,-82,-100,-100,-89,-89,-90,-83,-83,-100,-79,-87,-87,-86,-85,-100,-100,-100,-83,-86,-82,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-92,-100,-100,-100,-100,-100,-100,-88,-78,-87,-79,-40,-79,-39,-89,-93,-100,-88,-100,-100,-88,-87,-88,-80,-87,-93,-100,-91,-92,-91,-100,-92,-100,-100,-40,-90,-93,-88,-82,-88,-82,-56,-84,-82,-100,-82,-81,-100,-100,-82,-80,-81,-82,-56,-100,-100,-56,-91,-93,-100,-87,-87,-86,-89,-89,-89,-100,-100,-100,-100,-77,-84,-90,-77,-76,-87,-87,-100,-91,-100,-100,-100,-100,-85,-84,-84,-100,-95,-100,-82,-100,-100,-89,-89,-90,-79,-81,-100,-82,-86,-86,-85,-86,-100,-100,-100,-84,-82,-83,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-92,-100,-100,-100,-100,-100,-100,-88,-78,-88,-77,-40,-77,-39,-88,-93,-100,-88,-100,-100,-88,-87,-88,-80,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-40,-90,-93,-88,-82,-89,-82,-54,-84,-82,-100,-81,-82,-100,-100,-85,-80,-81,-80,-54,-100,-100,-54,-88,-93,-100,-89,-87,-86,-89,-89,-89,-100,-100,-100,-100,-76,-82,-90,-76,-78,-87,-87,-100,-91,-100,-100,-100,-100,-85,-85,-85,-100,-95,-100,-82,-100,-100,-89,-89,-90,-79,-79,-100,-92,-87,-85,-87,-86,-100,-100,-100,-84,-85,-84,-100,-91,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-90,-100,-100,-100,-100,-100,-100,-90,-78,-89,-77,-40,-77,-40,-87,-93,-100,-89,-100,-100,-90,-87,-89,-79,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-40,-90,-93,-88,-81,-88,-93,-54,-84,-82,-100,-80,-81,-100,-100,-85,-83,-81,-80,-53,-100,-100,-52,-89,-93,-100,-89,-87,-86,-89,-90,-89,-100,-100,-100,-100,-76,-84,-90,-76,-76,-87,-87,-100,-91,-100,-100,-100,-100,-85,-84,-84,-100,-95,-100,-86,-100,-100,-89,-89,-90,-80,-80,-100,-92,-87,-88,-88,-87,-100,-100,-100,-85,-83,-84,-100,-91,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-89,-100,-100,-100,-100,-100,-100,-89,-77,-88,-78,-39,-77,-40,-88,-93,-100,-89,-100,-100,-89,-87,-89,-80,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-40,-90,-93,-87,-81,-87,-93,-52,-84,-80,-100,-80,-81,-100,-100,-86,-83,-81,-85,-52,-100,-100,-53,-88,-93,-100,-88,-87,-86,-89,-90,-89,-100,-100,-100,-100,-76,-81,-91,-77,-76,-87,-87,-100,-91,-100,-100,-100,-100,-84,-83,-84,-100,-100,-100,-86,-100,-100,-89,-89,-90,-80,-80,-100,-81,-89,-87,-87,-87,-100,-100,-100,-84,-84,-84,-100,-91,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-92,-100,-100,-100,-100,-100,-100,-87,-78,-91,-78,-39,-77,-40,-87,-93,-100,-88,-100,-100,-90,-87,-89,-81,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-39,-90,-93,-89,-81,-88,-93,-53,-86,-80,-100,-81,-81,-100,-100,-85,-83,-81,-79,-53,-100,-100,-53,-88,-93,-100,-89,-87,-86,-89,-91,-89,-100,-100,-100,-100,-76,-83,-91,-77,-77,-87,-87,-100,-91,-100,-100,-100,-100,-83,-83,-84,-100,-100,-100,-86,-100,-100,-89,-94,-90,-79,-80,-100,-83,-86,-87,-88,-87,-100,-100,-100,-84,-84,-86,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-100,-88,-100,-92,-100,-100,-100,-100,-100,-100,-89,-80,-89,-79,-50,-80,-50,-91,-93,-100,-88,-100,-100,-90,-87,-87,-82,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-50,-100,-93,-88,-81,-89,-85,-58,-86,-87,-100,-85,-87,-100,-100,-86,-84,-85,-79,-58,-100,-100,-56,-89,-93,-100,-88,-87,-88,-89,-89,-89,-100,-100,-100,-100,-77,-81,-88,-76,-76,-89,-87,-100,-91,-100,-100,-100,-100,-83,-83,-84,-100,-100,-100,-85,-100,-100,-89,-94,-90,-81,-81,-100,-80,-82,-83,-82,-82,-100,-100,-100,-84,-84,-80,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-88,-78,-89,-79,-46,-78,-46,-88,-93,-100,-90,-100,-100,-90,-87,-88,-80,-87,-93,-100,-91,-95,-91,-100,-92,-100,-100,-45,-100,-93,-89,-81,-89,-83,-70,-82,-86,-100,-85,-83,-100,-100,-86,-82,-85,-79,-56,-100,-100,-55,-89,-93,-100,-90,-87,-88,-89,-87,-87,-100,-100,-100,-100,-76,-82,-88,-76,-75,-88,-87,-100,-91,-100,-100,-100,-100,-86,-86,-85,-100,-100,-100,-84,-100,-100,-89,-94,-90,-80,-80,-100,-80,-82,-81,-81,-81,-100,-100,-100,-84,-84,-83,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-88,-77,-88,-78,-48,-79,-48,-88,-93,-100,-88,-100,-100,-90,-87,-87,-79,-87,-93,-100,-91,-94,-91,-100,-92,-100,-100,-48,-100,-93,-90,-81,-90,-84,-56,-84,-86,-100,-85,-83,-100,-100,-86,-82,-85,-81,-56,-100,-100,-56,-92,-93,-100,-90,-87,-89,-89,-89,-87,-100,-100,-100,-100,-75,-85,-89,-76,-75,-87,-87,-100,-91,-100,-100,-100,-100,-84,-84,-86,-100,-100,-100,-84,-100,-100,-89,-94,-90,-80,-81,-100,-82,-82,-82,-82,-82,-100,-100,-100,-84,-80,-80,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-87,-78,-89,-78,-48,-78,-47,-89,-93,-100,-88,-100,-100,-87,-87,-87,-79,-87,-93,-100,-91,-94,-91,-100,-92,-100,-100,-48,-100,-93,-90,-87,-91,-84,-55,-83,-85,-100,-85,-86,-100,-100,-87,-82,-85,-81,-54,-100,-100,-54,-90,-93,-100,-89,-87,-88,-89,-86,-89,-100,-100,-100,-100,-77,-78,-89,-77,-76,-87,-87,-100,-94,-100,-100,-100,-100,-86,-85,-86,-100,-100,-100,-84,-100,-100,-89,-94,-90,-79,-79,-100,-81,-81,-83,-81,-81,-100,-100,-100,-81,-81,-83,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-88,-78,-90,-78,-49,-77,-48,-89,-93,-100,-89,-100,-100,-88,-87,-86,-80,-88,-93,-100,-91,-94,-91,-100,-92,-100,-100,-48,-100,-93,-90,-86,-90,-84,-56,-83,-86,-100,-85,-86,-100,-100,-86,-82,-86,-81,-55,-100,-100,-55,-90,-93,-100,-89,-87,-88,-89,-89,-89,-100,-100,-100,-100,-76,-81,-89,-77,-76,-89,-87,-100,-94,-100,-100,-100,-100,-84,-86,-85,-100,-100,-100,-84,-100,-100,-89,-94,-90,-79,-79,-100,-81,-82,-82,-82,-81,-88,-100,-100,-82,-81,-80,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-89,-78,-88,-78,-46,-78,-46,-89,-93,-100,-90,-100,-100,-92,-88,-90,-80,-90,-93,-100,-91,-94,-91,-100,-92,-100,-100,-46,-100,-93,-90,-86,-91,-84,-58,-83,-87,-100,-86,-85,-100,-100,-86,-87,-86,-81,-57,-100,-100,-58,-89,-93,-100,-89,-87,-89,-89,-90,-89,-100,-100,-100,-100,-75,-81,-91,-76,-76,-89,-87,-100,-94,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-84,-100,-100,-100,-94,-100,-79,-79,-100,-77,-82,-82,-82,-82,-88,-100,-100,-82,-80,-80,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-91,-78,-89,-79,-46,-79,-45,-90,-93,-100,-91,-100,-100,-92,-88,-90,-76,-90,-93,-100,-91,-94,-100,-100,-100,-100,-100,-45,-100,-93,-87,-88,-89,-85,-55,-86,-85,-100,-89,-89,-100,-100,-85,-89,-82,-88,-56,-100,-100,-55,-87,-93,-100,-89,-87,-89,-89,-87,-85,-100,-100,-100,-100,-78,-82,-89,-77,-78,-88,-87,-100,-92,-100,-100,-100,-100,-81,-81,-81,-100,-100,-100,-86,-100,-100,-100,-94,-100,-75,-76,-100,-78,-83,-84,-84,-84,-87,-87,-88,-83,-82,-83,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-91,-85,-93,-83,-44,-84,-44,-90,-93,-100,-92,-100,-100,-87,-88,-86,-78,-90,-93,-100,-91,-94,-100,-100,-100,-100,-100,-44,-100,-93,-87,-88,-86,-85,-55,-86,-87,-100,-89,-89,-100,-100,-88,-89,-85,-88,-55,-100,-100,-56,-87,-93,-100,-87,-87,-88,-89,-89,-86,-100,-100,-100,-100,-80,-82,-88,-81,-80,-87,-87,-100,-92,-100,-100,-100,-100,-81,-81,-83,-100,-100,-100,-86,-100,-100,-100,-94,-100,-79,-78,-100,-86,-81,-84,-84,-83,-87,-85,-88,-83,-89,-84,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-91,-85,-91,-83,-44,-83,-44,-90,-93,-100,-92,-100,-100,-86,-88,-88,-77,-90,-93,-100,-91,-94,-100,-100,-100,-100,-100,-43,-100,-93,-87,-88,-86,-85,-54,-85,-87,-100,-89,-89,-100,-100,-85,-88,-85,-88,-56,-100,-100,-54,-87,-93,-100,-86,-87,-89,-89,-88,-88,-100,-100,-100,-100,-79,-82,-89,-79,-79,-87,-87,-100,-90,-100,-100,-100,-100,-81,-81,-82,-100,-100,-100,-86,-100,-100,-100,-94,-100,-77,-77,-100,-78,-84,-84,-84,-84,-86,-85,-86,-84,-83,-83,-100,-91,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
