38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,32:f7:72:50:57:3b,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b0:be:76:f8:30:5e,44:48:c1:a5:82:30,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,80:8d:b7:55:3a:50,64:e5:99:c3:13:3c,38:17:c3:1f:08:50,38:17:c3:1e:fc:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,38:17:c3:24:58:a1,38:17:c3:24:58:a2,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,44:48:c1:a5:82:32,44:48:c1:a5:82:31,70:56:81:c9:91:ab,00:4e:35:df:06:40,80:8d:b7:55:39:d0,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:01:81,38:17:c3:1e:ff:12,b4:5d:50:e1:92:33,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e3,44:48:c1:a5:82:20,38:17:c3:1f:01:82,80:8d:b7:55:25:e1,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,80:8d:b7:55:3a:40,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b8,80:8d:b7:55:25:e2,00:4e:35:df:06:41,38:17:c3:1f:09:90,38:17:c3:19:71:90,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,38:17:c3:1f:09:83,20:a6:cd:42:0b:f3,a8:bd:27:4c:bd:30,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:42:0b:f0,20:a6:cd:50:24:a0,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:00:b0,38:17:c3:19:45:a0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,00:4e:35:de:e1:01,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,00:4e:35:df:0e:12,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:d7:52,00:4e:35:de:d7:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,38:17:c3:19:71:91,00:4e:35:de:e1:00,00:4e:35:de:d7:40,00:4e:35:df:0e:10,00:4e:35:de:d7:43,00:4e:35:de:d7:42,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:19:36:31,a8:bd:27:4c:bd:22,00:4e:35:de:d7:41,a8:bd:27:4c:bd:21,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:df:0e:11,38:17:c3:1f:22:22,a8:bd:27:4c:bd:20,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:1f:0f:90,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:19:71:81,38:17:c3:19:71:82,00:4e:35:df:27:12,x,y,label
-100,-100,-100,-100,-90,-89,-88,-67,-45,-100,-100,-100,-71,-100,-90,-100,-89,-90,-100,-100,-81,-82,-80,-75,-72,-72,-92,-100,-100,-95,-91,-70,-72,-46,-44,-100,-82,-55,-82,-84,-83,-84,-67,-88,-69,-89,-67,-90,-70,-70,-70,-70,-100,-83,-83,-83,-67,-87,-69,-58,-58,-68,-86,-68,-88,-89,-87,-66,-85,-89,-100,-100,-87,-86,-86,-100,-94,-100,-100,-89,-81,-66,-66,-66,-94,-100,-100,-92,-79,-79,-77,-80,-77,-77,-56,-55,-89,-76,-74,-71,-82,-58,-100,-82,-100,-83,-88,-89,-72,-81,-82,-81,-89,-89,-86,-82,-100,-100,-100,-100,-100,-100,-90,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-86,-86,-89,-84,-87,-91,-91,-91,-91,-90,-88,-87,-88,-92,-88,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-85,-84,-88,-68,-46,-100,-100,-100,-66,-100,-90,-100,-89,-90,-100,-100,-81,-82,-81,-77,-77,-78,-93,-100,-100,-95,-93,-65,-64,-47,-47,-100,-82,-52,-83,-84,-79,-81,-75,-88,-75,-89,-76,-90,-74,-74,-74,-74,-100,-86,-85,-84,-75,-91,-74,-57,-58,-76,-90,-74,-92,-89,-88,-73,-85,-88,-100,-100,-88,-86,-86,-100,-94,-100,-100,-89,-80,-66,-68,-66,-94,-100,-100,-92,-79,-81,-77,-79,-78,-77,-52,-52,-89,-81,-72,-65,-84,-58,-100,-85,-100,-83,-88,-89,-72,-81,-80,-80,-89,-96,-86,-84,-100,-100,-100,-100,-100,-100,-90,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-86,-86,-89,-84,-87,-91,-91,-91,-91,-90,-88,-87,-88,-92,-88,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-85,-84,-88,-66,-47,-100,-100,-100,-61,-100,-92,-100,-89,-90,-100,-100,-76,-82,-76,-78,-77,-77,-88,-100,-100,-90,-93,-62,-62,-47,-46,-100,-76,-56,-78,-81,-83,-81,-73,-88,-73,-89,-76,-90,-73,-73,-73,-74,-100,-81,-81,-81,-70,-88,-69,-65,-67,-70,-90,-68,-90,-89,-89,-72,-85,-88,-100,-100,-88,-89,-86,-100,-94,-100,-100,-89,-78,-61,-61,-63,-94,-100,-100,-92,-80,-80,-78,-80,-78,-77,-58,-57,-92,-81,-71,-72,-84,-64,-100,-84,-100,-87,-87,-89,-71,-77,-79,-77,-89,-96,-85,-78,-100,-90,-100,-100,-100,-100,-90,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-87,-85,-88,-86,-87,-91,-91,-91,-91,-90,-88,-87,-88,-92,-88,-89,-85,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-89,-89,-88,-66,-47,-100,-100,-100,-65,-100,-92,-100,-89,-90,-100,-100,-77,-78,-78,-79,-79,-79,-87,-100,-100,-91,-93,-64,-64,-46,-47,-100,-76,-59,-75,-80,-80,-81,-77,-88,-78,-89,-77,-90,-75,-76,-75,-76,-100,-86,-84,-85,-68,-88,-69,-68,-65,-69,-90,-67,-90,-89,-91,-71,-85,-88,-100,-100,-87,-91,-86,-100,-94,-100,-100,-89,-77,-64,-63,-64,-94,-100,-100,-92,-77,-80,-78,-78,-86,-85,-59,-58,-92,-85,-72,-72,-79,-67,-100,-84,-100,-84,-87,-89,-74,-78,-78,-77,-89,-96,-84,-79,-100,-90,-100,-100,-100,-100,-89,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-87,-85,-89,-87,-87,-91,-91,-91,-91,-90,-88,-87,-88,-92,-88,-85,-85,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-89,-89,-88,-65,-47,-100,-100,-100,-63,-100,-92,-100,-89,-90,-100,-100,-78,-79,-78,-77,-77,-76,-86,-100,-100,-89,-93,-63,-62,-48,-48,-100,-76,-62,-75,-81,-81,-82,-76,-88,-76,-89,-76,-90,-76,-77,-76,-76,-100,-84,-84,-84,-72,-88,-74,-66,-66,-73,-90,-73,-90,-89,-91,-71,-85,-88,-100,-100,-90,-91,-86,-100,-94,-100,-100,-89,-76,-59,-59,-59,-94,-100,-100,-92,-78,-78,-78,-79,-86,-85,-60,-60,-91,-85,-73,-73,-79,-64,-100,-84,-100,-82,-87,-89,-89,-76,-77,-77,-82,-96,-84,-77,-100,-93,-100,-100,-100,-100,-91,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-87,-90,-87,-85,-90,-85,-85,-91,-91,-91,-91,-90,-88,-87,-88,-86,-88,-85,-85,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-89,-89,-88,-64,-47,-100,-100,-100,-63,-100,-91,-100,-89,-90,-100,-100,-78,-79,-78,-78,-79,-78,-94,-100,-100,-91,-93,-63,-61,-48,-47,-100,-79,-62,-75,-79,-78,-78,-77,-88,-76,-89,-76,-90,-76,-77,-77,-77,-100,-84,-84,-84,-74,-92,-74,-64,-64,-75,-90,-75,-90,-89,-91,-71,-91,-88,-100,-100,-90,-90,-91,-100,-94,-100,-100,-89,-79,-62,-63,-61,-94,-100,-100,-92,-84,-85,-78,-79,-86,-85,-62,-62,-89,-85,-70,-72,-79,-64,-100,-84,-100,-82,-87,-89,-72,-78,-78,-78,-82,-96,-83,-78,-100,-89,-100,-100,-100,-100,-91,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-87,-85,-90,-85,-85,-91,-100,-91,-91,-90,-88,-87,-88,-87,-86,-87,-86,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-89,-89,-88,-64,-47,-100,-100,-100,-64,-100,-92,-100,-89,-90,-100,-100,-76,-79,-76,-75,-77,-76,-94,-100,-100,-90,-93,-65,-64,-47,-48,-100,-79,-64,-78,-79,-78,-78,-77,-88,-76,-89,-76,-90,-77,-76,-76,-78,-100,-85,-84,-83,-74,-90,-74,-61,-61,-74,-90,-74,-90,-89,-91,-78,-90,-88,-100,-100,-89,-91,-89,-100,-100,-100,-100,-89,-79,-59,-64,-61,-100,-100,-100,-100,-79,-78,-78,-79,-81,-85,-60,-62,-90,-85,-72,-73,-79,-65,-100,-84,-100,-82,-88,-89,-73,-77,-78,-79,-82,-96,-83,-79,-100,-89,-100,-100,-100,-100,-90,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-87,-91,-88,-85,-91,-85,-85,-100,-100,-91,-91,-90,-88,-87,-88,-84,-86,-85,-86,-89,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-91,-89,-88,-64,-48,-100,-100,-100,-63,-100,-93,-100,-89,-90,-100,-100,-76,-76,-76,-79,-79,-79,-94,-100,-100,-90,-93,-63,-63,-48,-48,-100,-78,-63,-78,-78,-79,-78,-76,-88,-76,-89,-77,-90,-76,-77,-86,-76,-100,-82,-84,-84,-73,-90,-73,-64,-64,-74,-90,-74,-90,-89,-91,-70,-90,-90,-100,-100,-88,-90,-89,-100,-100,-100,-100,-89,-78,-60,-62,-61,-100,-100,-100,-100,-79,-81,-76,-81,-81,-81,-63,-62,-87,-85,-72,-72,-79,-64,-100,-83,-100,-84,-88,-89,-73,-78,-77,-78,-82,-96,-81,-77,-100,-89,-100,-100,-100,-100,-92,-85,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-91,-88,-87,-89,-86,-85,-100,-100,-91,-91,-90,-88,-87,-88,-86,-85,-89,-87,-89,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-91,-89,-88,-68,-59,-100,-100,-100,-63,-100,-88,-100,-89,-88,-100,-100,-76,-76,-77,-79,-77,-77,-80,-100,-100,-87,-93,-63,-64,-59,-57,-100,-83,-55,-82,-82,-83,-83,-73,-88,-74,-89,-73,-90,-74,-73,-73,-74,-100,-82,-82,-81,-70,-90,-72,-68,-69,-71,-90,-72,-90,-87,-89,-80,-89,-84,-100,-100,-83,-92,-89,-100,-100,-100,-100,-89,-80,-66,-67,-67,-100,-100,-100,-100,-81,-82,-78,-82,-81,-81,-58,-56,-92,-85,-70,-70,-79,-68,-100,-82,-100,-81,-83,-89,-70,-79,-79,-80,-83,-82,-82,-82,-100,-92,-100,-100,-100,-100,-91,-84,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-84,-90,-84,-89,-89,-85,-87,-100,-100,-91,-91,-87,-88,-87,-88,-83,-83,-82,-84,-88,-88,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-68,-60,-100,-100,-100,-63,-100,-86,-100,-87,-87,-100,-100,-75,-74,-73,-72,-71,-74,-85,-100,-100,-87,-93,-63,-64,-60,-61,-100,-80,-58,-78,-83,-83,-82,-76,-88,-76,-89,-75,-90,-75,-74,-75,-75,-100,-83,-83,-83,-78,-90,-77,-64,-66,-77,-90,-78,-90,-87,-89,-80,-89,-84,-100,-100,-84,-92,-89,-100,-100,-100,-100,-89,-80,-68,-67,-67,-100,-100,-100,-100,-81,-82,-78,-82,-81,-81,-57,-57,-84,-85,-71,-70,-82,-66,-100,-84,-100,-82,-83,-89,-71,-79,-80,-79,-83,-84,-82,-81,-100,-92,-100,-100,-100,-100,-90,-84,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-83,-90,-84,-86,-90,-87,-85,-100,-100,-91,-91,-87,-88,-87,-88,-81,-82,-81,-83,-88,-88,-89,-88,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-64,-60,-100,-100,-100,-63,-100,-86,-100,-87,-87,-100,-100,-75,-76,-75,-75,-76,-77,-81,-100,-100,-87,-93,-65,-64,-58,-60,-100,-80,-56,-78,-83,-84,-84,-77,-88,-78,-89,-78,-90,-74,-75,-76,-75,-100,-80,-81,-81,-77,-90,-78,-67,-67,-77,-90,-77,-90,-87,-89,-79,-89,-84,-100,-100,-83,-92,-89,-100,-100,-100,-100,-89,-82,-68,-68,-67,-100,-100,-100,-100,-82,-82,-78,-82,-81,-81,-58,-57,-84,-85,-71,-69,-82,-64,-100,-82,-100,-82,-83,-89,-67,-81,-81,-82,-83,-84,-83,-81,-100,-92,-100,-100,-100,-100,-90,-83,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-90,-84,-88,-90,-87,-85,-100,-100,-91,-91,-87,-88,-87,-88,-82,-82,-83,-82,-88,-88,-89,-86,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-69,-59,-100,-100,-100,-67,-100,-87,-100,-87,-86,-100,-100,-75,-76,-75,-77,-78,-76,-86,-100,-100,-89,-93,-65,-65,-60,-59,-100,-82,-58,-82,-83,-81,-82,-77,-88,-78,-89,-77,-90,-75,-75,-76,-74,-100,-81,-82,-81,-77,-90,-78,-66,-67,-79,-90,-78,-90,-87,-88,-79,-89,-86,-100,-100,-82,-92,-89,-100,-100,-100,-100,-89,-81,-67,-68,-65,-100,-100,-100,-100,-80,-83,-79,-82,-81,-81,-59,-59,-84,-85,-71,-71,-82,-66,-100,-82,-100,-82,-83,-89,-70,-81,-81,-80,-82,-82,-83,-81,-100,-92,-100,-100,-100,-100,-89,-84,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-85,-87,-87,-87,-87,-100,-100,-91,-91,-87,-88,-87,-100,-80,-81,-80,-80,-88,-84,-89,-87,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-70,-57,-100,-100,-100,-65,-100,-87,-100,-87,-86,-100,-100,-77,-75,-76,-79,-79,-79,-87,-100,-100,-89,-93,-64,-65,-58,-59,-100,-82,-64,-82,-84,-82,-84,-76,-100,-76,-89,-77,-90,-76,-76,-77,-77,-100,-81,-82,-81,-78,-90,-78,-68,-67,-76,-90,-76,-90,-87,-89,-79,-89,-84,-100,-100,-83,-92,-89,-100,-100,-100,-100,-89,-80,-68,-69,-69,-100,-100,-100,-100,-80,-81,-79,-82,-81,-81,-62,-63,-88,-85,-71,-71,-82,-67,-100,-82,-100,-82,-83,-89,-70,-80,-80,-78,-82,-84,-83,-81,-100,-88,-100,-100,-100,-100,-89,-82,-84,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-85,-87,-87,-87,-87,-100,-100,-91,-91,-87,-88,-87,-100,-83,-82,-82,-83,-91,-86,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-70,-58,-100,-100,-100,-65,-100,-87,-100,-87,-86,-100,-100,-77,-78,-78,-76,-78,-78,-81,-100,-100,-88,-93,-65,-65,-59,-59,-100,-82,-61,-82,-81,-82,-82,-76,-100,-76,-89,-77,-90,-76,-75,-75,-76,-100,-81,-82,-82,-78,-90,-79,-67,-66,-82,-90,-81,-90,-87,-89,-79,-89,-84,-100,-100,-85,-92,-89,-100,-100,-100,-100,-89,-79,-65,-67,-67,-100,-100,-100,-100,-80,-81,-79,-82,-81,-81,-59,-59,-91,-85,-71,-70,-82,-68,-100,-81,-100,-83,-86,-89,-70,-80,-80,-80,-83,-84,-82,-83,-100,-88,-100,-100,-100,-100,-89,-84,-83,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-82,-88,-83,-88,-89,-87,-88,-100,-100,-91,-91,-89,-88,-87,-100,-80,-81,-81,-81,-88,-86,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-82,-83,-83,-69,-55,-100,-100,-100,-65,-100,-87,-100,-87,-86,-100,-100,-79,-78,-78,-72,-74,-74,-89,-100,-100,-87,-93,-63,-66,-55,-55,-100,-82,-60,-75,-79,-79,-82,-76,-100,-92,-89,-76,-90,-76,-76,-76,-75,-100,-86,-85,-86,-76,-90,-74,-67,-65,-73,-89,-73,-89,-87,-91,-65,-89,-84,-100,-100,-86,-92,-89,-100,-93,-100,-100,-89,-81,-68,-68,-68,-93,-100,-100,-90,-77,-76,-74,-75,-81,-81,-58,-57,-90,-85,-71,-70,-80,-68,-100,-83,-100,-83,-85,-100,-72,-80,-81,-80,-83,-90,-83,-73,-100,-89,-100,-100,-100,-100,-91,-84,-83,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-86,-88,-89,-87,-88,-100,-100,-93,-91,-89,-88,-87,-100,-78,-79,-78,-78,-88,-88,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-100,-100,-100,-80,-79,-78,-71,-54,-100,-100,-100,-60,-100,-89,-100,-91,-90,-100,-100,-82,-82,-84,-72,-73,-72,-93,-100,-100,-86,-93,-59,-60,-55,-55,-100,-71,-57,-73,-82,-80,-79,-76,-100,-92,-100,-76,-90,-72,-72,-72,-73,-100,-86,-86,-87,-75,-87,-75,-71,-70,-75,-89,-74,-89,-87,-91,-75,-89,-87,-100,-100,-86,-92,-89,-100,-93,-100,-100,-89,-79,-68,-68,-68,-93,-100,-100,-90,-79,-79,-75,-80,-81,-81,-58,-58,-89,-79,-73,-73,-80,-70,-100,-80,-100,-80,-86,-100,-74,-78,-79,-79,-83,-90,-79,-73,-100,-86,-100,-100,-100,-100,-91,-84,-83,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-87,-88,-89,-87,-88,-100,-100,-93,-91,-89,-88,-87,-100,-77,-79,-77,-77,-87,-89,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-100,-100,-100,-80,-79,-79,-66,-56,-100,-100,-100,-59,-100,-90,-100,-91,-89,-100,-100,-79,-82,-84,-73,-73,-73,-89,-100,-100,-88,-93,-59,-59,-54,-54,-100,-73,-56,-74,-78,-79,-79,-79,-100,-78,-100,-77,-90,-71,-71,-71,-72,-100,-85,-86,-86,-78,-88,-78,-68,-67,-80,-89,-79,-89,-87,-91,-73,-89,-86,-100,-100,-84,-92,-89,-100,-93,-100,-100,-100,-80,-66,-68,-68,-93,-100,-100,-93,-76,-77,-77,-77,-81,-81,-57,-55,-89,-79,-74,-73,-80,-71,-100,-82,-100,-80,-86,-100,-74,-80,-79,-79,-88,-90,-82,-73,-100,-86,-100,-100,-100,-100,-92,-84,-83,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-86,-88,-87,-89,-89,-89,-88,-100,-100,-93,-91,-88,-100,-100,-100,-79,-79,-80,-80,-87,-88,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-100,-100,-100,-80,-79,-79,-66,-55,-100,-100,-100,-59,-100,-89,-100,-91,-91,-100,-100,-81,-82,-84,-72,-72,-73,-87,-100,-100,-89,-100,-60,-60,-56,-56,-100,-70,-57,-70,-79,-79,-80,-78,-100,-78,-100,-78,-90,-71,-71,-72,-70,-100,-88,-87,-85,-77,-89,-78,-70,-70,-79,-89,-77,-89,-87,-89,-77,-89,-86,-100,-100,-83,-92,-89,-100,-93,-100,-100,-100,-78,-68,-68,-68,-93,-100,-100,-93,-78,-78,-76,-79,-81,-81,-54,-54,-89,-79,-73,-74,-80,-70,-100,-82,-100,-83,-84,-100,-74,-78,-79,-78,-87,-90,-82,-70,-100,-86,-100,-100,-100,-100,-92,-84,-83,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-88,-89,-88,-88,-100,-100,-93,-91,-88,-100,-100,-100,-81,-83,-81,-82,-87,-87,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-100,-100,-100,-100,-80,-78,-79,-65,-54,-100,-100,-100,-59,-100,-89,-100,-91,-91,-100,-100,-80,-80,-78,-71,-72,-70,-88,-100,-100,-90,-100,-61,-60,-55,-55,-100,-73,-55,-74,-79,-80,-78,-78,-100,-78,-100,-77,-90,-71,-71,-74,-70,-100,-87,-87,-86,-81,-87,-78,-71,-70,-78,-89,-78,-89,-87,-89,-72,-89,-85,-100,-100,-84,-92,-89,-100,-92,-100,-100,-100,-79,-67,-68,-67,-93,-100,-100,-93,-79,-76,-77,-79,-88,-83,-54,-55,-89,-79,-74,-74,-80,-70,-100,-84,-100,-83,-87,-100,-74,-79,-78,-78,-85,-90,-83,-73,-100,-87,-100,-100,-100,-100,-92,-84,-83,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-87,-89,-89,-89,-90,-100,-100,-93,-91,-90,-100,-100,-100,-77,-76,-77,-77,-87,-88,-89,-85,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
