44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a3,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:19:36:30,38:17:c3:1a:cf:d0,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:09:80,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d1,38:17:c3:1f:14:11,20:a6:cd:42:0a:d2,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,66:2a:2f:53:7c:99,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,a8:bd:27:4c:aa:80,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,38:17:c3:24:56:51,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:aa:21,86:0d:8e:aa:25:a4,38:17:c3:22:5e:f2,44:48:c1:91:aa:20,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:24:56:52,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,38:17:c3:19:36:32,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:29:d0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:71:92,38:17:c3:19:71:90,68:ff:7b:e4:af:38,38:17:c3:19:71:91,80:8d:b7:55:39:d0,80:8d:b7:55:35:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:25:e0,68:ff:7b:e4:af:39,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:c1,38:17:c3:1f:22:30,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,38:17:c3:1f:22:32,38:17:c3:1f:0e:10,80:8d:b7:55:29:d1,38:17:c3:1e:ff:02,80:8d:b7:55:29:d2,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,00:4e:35:df:06:52,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:51,00:4e:35:df:06:50,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,80:8d:b7:55:4d:10,x,y,timestamp
-100,-100,-100,-100,-86,-86,-86,-100,-84,-100,-100,-100,-88,-90,-100,-100,-80,-78,-89,-87,-89,-89,-89,-100,-100,-100,-100,-76,-76,-76,-91,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-81,-89,-78,-88,-44,-79,-45,-88,-94,-100,-87,-100,-100,-91,-87,-91,-88,-94,-89,-89,-100,-100,-100,-100,-44,-90,-92,-88,-89,-83,-53,-83,-100,-85,-86,-100,-87,-100,-100,-100,-100,-78,-100,-80,-54,-100,-100,-100,-53,-100,-91,-87,-90,-90,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-84,-85,-85,-84,-86,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,178,665,1224329394271
-100,-100,-100,-100,-86,-86,-86,-100,-81,-100,-100,-100,-90,-90,-95,-100,-77,-78,-89,-88,-87,-89,-85,-100,-100,-100,-100,-76,-76,-75,-92,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-78,-90,-77,-89,-48,-77,-47,-89,-94,-100,-88,-100,-100,-86,-84,-85,-86,-94,-100,-89,-100,-100,-100,-100,-48,-100,-92,-91,-87,-83,-56,-88,-100,-81,-86,-100,-87,-100,-100,-100,-100,-78,-100,-80,-56,-100,-100,-100,-56,-100,-91,-86,-89,-89,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-82,-85,-86,-84,-84,-85,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1275047791804
-100,-100,-100,-100,-81,-86,-86,-100,-85,-100,-100,-100,-90,-90,-95,-100,-81,-78,-89,-88,-87,-90,-85,-100,-100,-100,-100,-76,-76,-75,-92,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-77,-89,-77,-89,-50,-77,-49,-89,-94,-100,-91,-100,-100,-88,-87,-88,-88,-94,-100,-89,-100,-100,-100,-100,-49,-100,-92,-91,-87,-83,-54,-88,-100,-85,-86,-100,-87,-100,-100,-100,-100,-81,-100,-80,-54,-100,-100,-100,-54,-100,-91,-87,-89,-84,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-86,-87,-85,-84,-85,-85,-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1278831371334
-100,-100,-100,-100,-82,-76,-82,-100,-81,-100,-100,-100,-89,-90,-95,-100,-82,-81,-90,-91,-89,-88,-87,-100,-100,-100,-100,-77,-78,-77,-92,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-77,-89,-77,-90,-48,-77,-47,-90,-94,-100,-87,-100,-100,-87,-87,-87,-87,-94,-100,-93,-100,-100,-100,-100,-47,-100,-92,-91,-87,-83,-55,-88,-100,-85,-86,-100,-87,-100,-100,-100,-100,-81,-100,-80,-56,-100,-100,-100,-55,-100,-91,-87,-89,-84,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-84,-86,-86,-86,-83,-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1282616502999
-100,-100,-100,-100,-82,-84,-85,-100,-79,-100,-100,-100,-90,-91,-95,-100,-81,-86,-89,-90,-90,-88,-88,-100,-100,-100,-100,-77,-79,-78,-92,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-77,-89,-76,-89,-48,-75,-48,-90,-94,-100,-88,-100,-100,-87,-87,-91,-87,-94,-100,-93,-100,-100,-100,-100,-47,-100,-92,-91,-87,-83,-56,-88,-100,-85,-86,-100,-87,-100,-100,-100,-100,-81,-100,-85,-56,-100,-100,-100,-55,-100,-91,-88,-89,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-79,-80,-85,-85,-85,-85,-83,-83,-83,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1286397263727
-100,-100,-100,-100,-82,-84,-85,-100,-79,-100,-100,-100,-90,-90,-95,-100,-81,-87,-90,-91,-89,-88,-86,-100,-100,-100,-100,-75,-76,-75,-90,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-77,-89,-76,-89,-47,-77,-47,-90,-93,-100,-88,-100,-100,-87,-88,-88,-88,-94,-100,-93,-100,-100,-100,-100,-46,-100,-92,-91,-87,-83,-56,-88,-100,-82,-86,-100,-87,-100,-100,-100,-100,-81,-100,-85,-56,-100,-100,-100,-56,-100,-92,-88,-89,-86,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-80,-79,-85,-85,-85,-85,-82,-85,-84,-88,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1290171598361
-100,-100,-100,-100,-82,-84,-85,-100,-80,-100,-100,-100,-88,-89,-95,-100,-81,-87,-89,-89,-89,-88,-88,-100,-100,-100,-100,-75,-76,-75,-90,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-77,-91,-76,-90,-48,-77,-47,-90,-93,-100,-90,-100,-100,-87,-88,-88,-87,-94,-100,-92,-100,-100,-100,-100,-47,-100,-92,-91,-87,-86,-56,-88,-100,-86,-86,-100,-87,-100,-100,-100,-100,-81,-100,-86,-56,-100,-100,-100,-56,-100,-92,-87,-90,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-81,-80,-85,-86,-85,-84,-83,-84,-84,-88,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,665,1293966175182
-100,-100,-100,-100,-82,-84,-85,-100,-83,-100,-100,-100,-89,-88,-95,-100,-80,-82,-89,-91,-89,-88,-87,-100,-100,-100,-100,-78,-79,-78,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-81,-91,-81,-90,-44,-81,-43,-90,-93,-100,-89,-100,-100,-87,-88,-90,-87,-94,-100,-92,-100,-100,-100,-100,-43,-100,-92,-91,-86,-85,-54,-88,-100,-84,-88,-100,-87,-100,-100,-100,-100,-81,-100,-86,-55,-100,-100,-100,-55,-100,-92,-87,-87,-79,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-82,-81,-81,-82,-82,-83,-84,-84,-88,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1348553656672
-100,-100,-100,-100,-87,-84,-86,-100,-82,-100,-100,-100,-89,-88,-95,-100,-81,-79,-88,-89,-89,-88,-87,-100,-100,-100,-100,-81,-81,-81,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-81,-91,-80,-91,-42,-80,-42,-90,-93,-100,-93,-100,-100,-89,-88,-87,-87,-94,-100,-92,-100,-100,-100,-100,-41,-100,-92,-91,-86,-85,-52,-85,-100,-87,-88,-100,-87,-100,-100,-100,-100,-82,-100,-86,-54,-100,-100,-100,-53,-100,-92,-86,-86,-83,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-80,-82,-82,-82,-83,-83,-84,-86,-90,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1352338712764
-100,-100,-100,-100,-87,-84,-86,-100,-82,-100,-100,-100,-89,-89,-95,-100,-81,-79,-91,-89,-89,-88,-87,-100,-100,-100,-100,-82,-82,-83,-88,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-79,-91,-81,-91,-44,-79,-44,-90,-93,-100,-93,-100,-100,-89,-88,-87,-87,-94,-100,-92,-100,-100,-100,-100,-44,-100,-92,-91,-88,-87,-57,-87,-100,-90,-88,-100,-87,-100,-100,-100,-100,-83,-100,-86,-57,-100,-100,-100,-49,-100,-92,-86,-88,-83,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-82,-83,-82,-84,-83,-83,-83,-84,-86,-88,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1355994530471
-100,-100,-100,-100,-83,-84,-84,-100,-79,-100,-100,-100,-89,-90,-95,-100,-84,-79,-90,-90,-88,-88,-88,-100,-100,-100,-100,-81,-81,-82,-88,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-82,-91,-81,-91,-43,-82,-43,-90,-93,-100,-93,-100,-100,-89,-88,-87,-87,-94,-100,-92,-100,-100,-100,-100,-43,-100,-92,-91,-88,-86,-58,-87,-100,-89,-88,-100,-87,-100,-100,-100,-100,-83,-100,-87,-58,-100,-100,-100,-58,-100,-92,-86,-88,-80,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-79,-83,-83,-83,-83,-83,-84,-86,-88,-88,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1359775381615
-100,-100,-100,-100,-84,-84,-84,-100,-78,-100,-100,-100,-89,-89,-95,-100,-83,-79,-90,-88,-89,-88,-89,-100,-100,-100,-100,-82,-82,-81,-86,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-80,-91,-81,-91,-45,-80,-44,-90,-93,-100,-93,-100,-100,-90,-88,-88,-87,-94,-100,-92,-100,-100,-100,-100,-45,-100,-92,-91,-87,-88,-57,-86,-100,-89,-88,-100,-87,-100,-100,-100,-100,-82,-100,-84,-56,-100,-100,-100,-56,-100,-92,-88,-88,-88,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-78,-83,-84,-84,-83,-89,-84,-86,-89,-88,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1363587754739
-100,-100,-100,-100,-84,-84,-86,-100,-79,-100,-100,-100,-89,-89,-95,-100,-83,-80,-89,-90,-88,-87,-90,-100,-100,-100,-100,-81,-82,-82,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-80,-91,-81,-94,-44,-81,-43,-90,-93,-100,-93,-100,-100,-88,-88,-87,-87,-94,-100,-92,-100,-100,-100,-100,-44,-100,-92,-91,-87,-88,-56,-86,-100,-91,-88,-100,-87,-100,-100,-100,-100,-84,-100,-84,-56,-100,-100,-100,-55,-100,-92,-88,-86,-77,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-79,-84,-83,-83,-83,-89,-84,-86,-89,-88,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,213,665,1367371143123
-100,-100,-100,-100,-83,-83,-82,-100,-76,-100,-100,-100,-87,-87,-95,-100,-80,-84,-87,-87,-88,-87,-90,-100,-100,-100,-100,-74,-74,-76,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-80,-91,-81,-91,-43,-80,-43,-90,-93,-100,-92,-100,-100,-90,-88,-89,-87,-90,-91,-92,-100,-100,-100,-100,-43,-100,-90,-91,-87,-88,-55,-86,-100,-88,-88,-100,-100,-100,-100,-100,-100,-81,-100,-84,-56,-100,-100,-100,-55,-100,-91,-88,-91,-80,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-77,-78,-79,-79,-78,-80,-89,-84,-86,-89,-87,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,230,665,1406897542326
-100,-100,-100,-100,-87,-85,-86,-100,-77,-100,-100,-100,-85,-85,-95,-100,-83,-82,-85,-84,-88,-87,-88,-100,-100,-100,-100,-77,-78,-76,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-81,-90,-81,-89,-45,-82,-45,-90,-93,-100,-88,-100,-100,-90,-88,-89,-87,-90,-91,-92,-100,-100,-100,-100,-44,-100,-93,-91,-87,-88,-58,-86,-100,-87,-88,-100,-100,-100,-100,-100,-100,-83,-100,-84,-58,-100,-100,-100,-59,-100,-91,-88,-87,-80,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-77,-78,-82,-81,-82,-82,-82,-82,-82,-89,-87,-85,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,230,665,1410688203627
-100,-100,-100,-100,-87,-85,-86,-100,-78,-100,-100,-100,-88,-89,-95,-100,-83,-82,-90,-88,-88,-87,-88,-100,-100,-100,-100,-79,-80,-79,-88,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-79,-90,-80,-89,-47,-79,-47,-90,-93,-100,-88,-100,-100,-89,-87,-87,-90,-90,-91,-92,-100,-100,-100,-100,-47,-100,-93,-88,-87,-88,-58,-86,-100,-87,-87,-100,-89,-100,-100,-100,-100,-81,-100,-84,-58,-100,-100,-100,-59,-100,-91,-88,-88,-76,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-75,-76,-80,-79,-80,-80,-86,-85,-87,-85,-85,-84,-95,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,230,665,1414471463469
-100,-100,-100,-100,-85,-85,-85,-92,-76,-100,-100,-100,-88,-86,-96,-100,-82,-78,-87,-88,-88,-87,-87,-100,-100,-100,-100,-73,-75,-72,-88,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-80,-90,-81,-90,-53,-80,-52,-90,-93,-100,-92,-100,-100,-88,-89,-87,-88,-92,-91,-92,-100,-100,-100,-100,-53,-100,-93,-87,-87,-88,-58,-86,-100,-87,-86,-100,-86,-100,-100,-100,-100,-84,-100,-84,-58,-100,-100,-100,-59,-100,-91,-88,-90,-76,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-75,-77,-80,-81,-81,-80,-85,-85,-87,-84,-85,-84,-95,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,230,665,1418250509614
-100,-100,-100,-100,-82,-82,-82,-92,-73,-100,-100,-100,-88,-86,-96,-100,-82,-79,-91,-88,-88,-87,-87,-100,-100,-100,-100,-78,-78,-77,-88,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-80,-90,-80,-90,-54,-79,-53,-90,-93,-100,-90,-100,-100,-88,-87,-86,-87,-92,-91,-92,-100,-100,-100,-100,-53,-100,-93,-87,-87,-88,-59,-86,-100,-83,-86,-100,-86,-100,-100,-100,-100,-82,-100,-84,-59,-100,-100,-100,-58,-100,-91,-87,-88,-72,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-74,-73,-85,-84,-85,-84,-85,-85,-87,-85,-85,-86,-95,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,230,665,1422037621592
