38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1f:22:31,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,2a:16:ad:ec:da:ab,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:de:e1:02,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,b4:5d:50:e1:96:53,68:ff:7b:e4:af:39,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,72:32:b1:3e:1a:b7,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,a8:bd:27:4c:bd:30,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:1f:22:32,20:a6:cd:50:24:a1,a8:bd:27:4c:bd:31,b4:5d:50:e1:96:52,72:32:b1:3e:1a:b8,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:09:91,b4:5d:50:e1:96:51,38:17:c3:19:71:90,20:a6:cd:50:24:a2,b4:5d:50:e1:96:50,20:a6:cd:50:24:a0,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:45:a1,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,38:17:c3:1f:00:b0,38:17:c3:19:45:a2,38:17:c3:1f:00:b1,a8:bd:27:4c:bd:32,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,38:17:c3:1f:09:83,38:17:c3:19:55:41,38:17:c3:1f:08:52,00:4e:35:de:e1:00,00:4e:35:df:0e:12,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,b4:5d:50:e1:92:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,00:4e:35:de:e1:01,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:51,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:df:0e:11,38:17:c3:19:36:30,00:4e:35:df:0e:10,38:17:c3:19:71:80,38:17:c3:19:36:31,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1e:fc:b0,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:19:36:32,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a0,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,x,y,timestamp
-75,-85,-76,-85,-75,-86,-49,-48,-75,-48,-76,-77,-75,-100,-83,-83,-84,-71,-88,-74,-62,-62,-62,-72,-87,-74,-87,-88,-89,-79,-87,-87,-88,-86,-92,-87,-87,-75,-100,-92,-100,-76,-76,-100,-100,-88,-100,-78,-80,-80,-79,-84,-62,-61,-62,-49,-78,-79,-77,-78,-86,-85,-84,-89,-77,-77,-79,-88,-91,-100,-92,-89,-83,-82,-77,-69,-87,-70,-69,-82,-79,-81,-50,-51,-90,-75,-73,-73,-73,-84,-83,-100,-100,-90,-85,-84,-88,-100,-89,-100,-93,-100,-100,-100,-100,-100,-92,-100,-92,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-94,-100,-85,-86,-86,-100,-100,-100,-92,-100,-90,-91,-92,-100,-88,-88,-86,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,536,1617264883444
-76,-87,-75,-87,-75,-86,-49,-49,-74,-49,-75,-75,-75,-100,-83,-84,-83,-75,-86,-89,-61,-62,-62,-75,-86,-76,-85,-88,-90,-70,-91,-89,-88,-87,-92,-87,-87,-75,-100,-92,-100,-77,-76,-100,-100,-88,-100,-78,-79,-79,-80,-84,-60,-62,-59,-52,-81,-79,-81,-78,-85,-85,-86,-89,-77,-77,-77,-88,-91,-91,-92,-91,-83,-82,-76,-67,-87,-68,-68,-79,-80,-80,-52,-52,-90,-80,-70,-73,-73,-84,-83,-100,-100,-92,-85,-84,-88,-100,-89,-100,-91,-100,-100,-100,-100,-100,-100,-100,-92,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-92,-100,-85,-86,-86,-100,-100,-100,-92,-100,-90,-91,-92,-100,-88,-88,-86,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,536,1621104227662
-74,-87,-75,-86,-75,-87,-49,-49,-75,-49,-76,-75,-76,-100,-85,-84,-84,-72,-88,-73,-62,-62,-62,-72,-86,-73,-88,-88,-90,-71,-91,-88,-88,-87,-92,-87,-87,-76,-100,-92,-100,-76,-77,-100,-100,-88,-100,-81,-79,-80,-79,-84,-60,-60,-60,-50,-81,-79,-78,-80,-89,-88,-86,-89,-77,-78,-77,-88,-91,-91,-92,-91,-87,-82,-86,-68,-85,-67,-67,-79,-80,-79,-50,-50,-90,-80,-73,-73,-74,-84,-83,-100,-100,-91,-85,-85,-88,-100,-89,-100,-91,-100,-100,-100,-100,-100,-100,-100,-92,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-91,-100,-85,-86,-86,-100,-100,-100,-92,-100,-90,-91,-92,-100,-88,-88,-86,-92,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,536,1624965337243
-75,-89,-75,-86,-75,-88,-48,-49,-75,-50,-76,-76,-74,-100,-85,-83,-84,-73,-87,-72,-62,-62,-62,-73,-88,-73,-87,-88,-87,-72,-88,-88,-88,-88,-92,-88,-88,-77,-100,-92,-100,-77,-77,-100,-100,-88,-100,-81,-80,-80,-80,-84,-62,-61,-60,-51,-81,-77,-78,-81,-90,-89,-90,-89,-74,-74,-73,-88,-94,-92,-92,-91,-83,-82,-75,-69,-89,-67,-68,-82,-80,-76,-51,-51,-91,-80,-72,-74,-73,-84,-83,-100,-100,-91,-85,-85,-88,-100,-89,-100,-91,-100,-100,-100,-100,-100,-100,-100,-92,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-91,-100,-85,-86,-86,-100,-100,-100,-92,-88,-90,-91,-92,-100,-87,-88,-86,-92,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,536,1628813389221
-76,-88,-76,-89,-75,-85,-50,-49,-75,-49,-75,-75,-75,-100,-84,-84,-84,-72,-87,-72,-61,-61,-62,-73,-86,-73,-87,-88,-87,-70,-90,-90,-88,-86,-92,-87,-89,-78,-100,-92,-100,-77,-76,-100,-100,-88,-100,-79,-80,-80,-79,-86,-61,-76,-60,-50,-77,-75,-78,-78,-89,-90,-90,-89,-76,-77,-76,-88,-94,-92,-92,-91,-83,-82,-75,-68,-89,-68,-66,-82,-80,-78,-50,-51,-91,-80,-73,-74,-74,-84,-83,-100,-100,-91,-85,-85,-88,-100,-89,-100,-91,-100,-100,-100,-100,-100,-100,-100,-92,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-93,-100,-85,-86,-86,-100,-100,-100,-92,-88,-90,-91,-92,-100,-87,-88,-91,-92,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,536,1632652241563
-73,-88,-72,-89,-72,-85,-52,-51,-78,-51,-80,-78,-79,-100,-83,-83,-83,-72,-87,-68,-65,-65,-65,-73,-86,-69,-87,-88,-89,-81,-87,-88,-86,-85,-90,-86,-88,-73,-100,-92,-100,-73,-73,-100,-100,-88,-100,-80,-80,-80,-80,-86,-67,-64,-67,-51,-79,-67,-81,-80,-82,-81,-83,-89,-77,-78,-77,-87,-89,-92,-100,-91,-79,-79,-75,-60,-86,-58,-60,-82,-81,-81,-51,-53,-91,-81,-73,-72,-73,-84,-83,-100,-100,-91,-85,-85,-87,-100,-89,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-88,-100,-85,-88,-86,-100,-84,-86,-92,-88,-90,-91,-92,-100,-87,-88,-91,-92,-87,-88,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1673553091183
-73,-88,-72,-89,-74,-85,-53,-52,-79,-52,-79,-79,-79,-100,-82,-82,-82,-72,-87,-71,-67,-66,-67,-71,-87,-69,-88,-88,-90,-78,-87,-87,-87,-85,-89,-90,-88,-73,-100,-93,-100,-75,-74,-100,-100,-88,-100,-80,-80,-79,-80,-86,-66,-62,-63,-52,-79,-67,-79,-82,-80,-81,-82,-90,-77,-77,-78,-87,-85,-92,-100,-91,-81,-79,-78,-59,-86,-59,-59,-82,-82,-80,-53,-54,-90,-80,-73,-72,-71,-84,-83,-100,-100,-89,-88,-88,-87,-100,-91,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-88,-100,-85,-88,-86,-88,-82,-81,-92,-88,-90,-91,-92,-100,-87,-88,-91,-92,-87,-88,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1677429775765
-73,-88,-74,-89,-75,-85,-50,-52,-79,-50,-80,-81,-81,-100,-83,-83,-84,-73,-87,-72,-65,-65,-67,-74,-87,-72,-89,-88,-90,-72,-87,-87,-87,-87,-89,-92,-88,-73,-100,-93,-100,-72,-72,-100,-100,-88,-100,-78,-78,-79,-78,-84,-67,-68,-68,-53,-79,-64,-80,-79,-85,-86,-84,-92,-78,-76,-77,-87,-83,-92,-100,-91,-81,-81,-79,-60,-87,-60,-61,-82,-82,-80,-52,-52,-89,-80,-67,-71,-71,-85,-82,-100,-100,-90,-86,-86,-87,-100,-91,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-89,-100,-85,-88,-86,-92,-84,-84,-92,-88,-90,-91,-92,-100,-87,-88,-91,-92,-87,-88,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1681272458524
-74,-88,-74,-89,-75,-85,-51,-51,-82,-51,-81,-80,-81,-100,-84,-84,-83,-72,-88,-70,-64,-67,-67,-71,-89,-72,-87,-88,-90,-74,-87,-87,-87,-88,-89,-92,-88,-72,-100,-93,-100,-74,-72,-100,-100,-88,-100,-79,-81,-80,-79,-84,-68,-69,-68,-53,-79,-66,-82,-81,-84,-84,-84,-91,-75,-74,-74,-87,-86,-92,-100,-91,-81,-81,-79,-60,-87,-60,-62,-82,-80,-79,-52,-52,-89,-80,-72,-71,-71,-85,-75,-100,-100,-91,-87,-86,-88,-100,-90,-100,-84,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-86,-100,-85,-87,-86,-91,-84,-84,-92,-88,-90,-91,-92,-85,-87,-89,-91,-92,-87,-88,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1685117066023
-73,-88,-73,-89,-73,-85,-50,-49,-82,-50,-82,-82,-81,-100,-83,-85,-83,-73,-88,-73,-64,-66,-64,-72,-88,-73,-89,-88,-90,-73,-87,-88,-87,-87,-85,-90,-88,-73,-100,-93,-100,-73,-73,-100,-100,-88,-100,-80,-80,-79,-81,-87,-68,-67,-68,-54,-79,-66,-79,-81,-82,-81,-82,-92,-75,-74,-74,-86,-83,-92,-100,-89,-84,-82,-81,-62,-86,-60,-60,-82,-79,-79,-53,-53,-90,-77,-71,-71,-71,-85,-75,-100,-100,-89,-87,-86,-88,-100,-91,-100,-84,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-87,-100,-85,-88,-85,-91,-86,-84,-92,-88,-90,-91,-92,-86,-87,-89,-91,-92,-87,-87,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1688964390917
-73,-88,-73,-89,-73,-85,-50,-50,-80,-50,-80,-82,-81,-100,-83,-84,-85,-72,-88,-73,-64,-65,-65,-73,-88,-73,-89,-88,-90,-78,-87,-88,-87,-88,-90,-90,-88,-73,-100,-93,-100,-73,-72,-100,-100,-88,-100,-80,-80,-80,-80,-87,-67,-67,-67,-53,-80,-66,-76,-80,-82,-82,-81,-92,-75,-74,-74,-88,-88,-92,-100,-89,-81,-82,-81,-63,-86,-62,-59,-83,-77,-79,-52,-52,-90,-80,-72,-71,-71,-85,-75,-100,-100,-89,-87,-86,-87,-100,-91,-100,-84,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-89,-100,-85,-88,-87,-91,-83,-82,-92,-88,-90,-91,-92,-90,-87,-86,-91,-92,-87,-87,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,519,1692814427738
-75,-88,-77,-89,-76,-85,-60,-59,-77,-60,-78,-77,-76,-100,-86,-87,-86,-76,-90,-74,-69,-69,-69,-74,-89,-74,-89,-88,-90,-77,-87,-87,-85,-83,-90,-91,-88,-76,-100,-93,-100,-75,-75,-100,-100,-100,-100,-70,-71,-70,-70,-87,-67,-67,-67,-57,-76,-75,-76,-76,-80,-81,-81,-88,-75,-75,-75,-85,-84,-88,-100,-89,-81,-82,-81,-56,-86,-59,-57,-83,-77,-79,-58,-56,-87,-80,-74,-72,-74,-85,-75,-100,-100,-92,-83,-84,-87,-100,-92,-100,-88,-100,-100,-100,-100,-100,-92,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-90,-100,-84,-89,-85,-89,-75,-76,-92,-85,-100,-100,-92,-76,-88,-89,-91,-92,-100,-88,-75,-75,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1743058969959
-77,-88,-77,-89,-78,-85,-62,-62,-77,-61,-78,-85,-77,-100,-86,-87,-86,-72,-89,-73,-68,-69,-69,-74,-88,-72,-89,-88,-90,-77,-87,-86,-85,-85,-90,-91,-88,-76,-100,-93,-100,-76,-75,-100,-100,-100,-100,-72,-71,-71,-70,-87,-67,-65,-67,-59,-76,-73,-76,-76,-81,-78,-81,-91,-76,-75,-77,-86,-86,-86,-100,-89,-81,-84,-80,-58,-84,-60,-58,-82,-77,-81,-56,-57,-87,-81,-72,-74,-75,-82,-79,-100,-100,-91,-82,-82,-85,-100,-93,-100,-88,-100,-100,-100,-100,-100,-92,-100,-94,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-90,-100,-84,-89,-85,-89,-77,-77,-92,-87,-100,-100,-92,-85,-86,-89,-91,-92,-100,-89,-77,-76,-88,-88,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1746921781103
-77,-88,-77,-89,-77,-85,-59,-52,-77,-59,-76,-76,-77,-100,-78,-79,-79,-74,-90,-73,-68,-69,-68,-74,-88,-72,-88,-100,-90,-76,-87,-86,-86,-79,-90,-91,-88,-76,-100,-93,-100,-77,-75,-100,-100,-100,-100,-70,-70,-70,-70,-87,-63,-63,-63,-54,-78,-73,-76,-79,-77,-77,-77,-91,-78,-76,-78,-86,-83,-86,-100,-93,-81,-78,-80,-61,-82,-61,-63,-82,-84,-85,-54,-54,-87,-81,-72,-74,-75,-82,-79,-100,-100,-91,-82,-82,-86,-100,-93,-100,-88,-100,-100,-100,-100,-100,-87,-100,-94,-100,-85,-84,-89,-90,-100,-100,-100,-100,-100,-100,-90,-100,-91,-100,-84,-89,-85,-89,-79,-80,-92,-87,-100,-100,-92,-85,-86,-89,-91,-92,-100,-90,-80,-80,-88,-88,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1750789001883
-76,-88,-76,-89,-75,-85,-59,-57,-73,-58,-74,-73,-74,-100,-83,-82,-82,-71,-89,-70,-68,-69,-68,-72,-88,-71,-88,-100,-90,-76,-87,-87,-86,-83,-90,-91,-88,-78,-100,-93,-100,-77,-77,-100,-100,-100,-100,-70,-70,-72,-71,-87,-65,-66,-66,-56,-72,-73,-78,-75,-83,-85,-84,-88,-75,-76,-77,-86,-89,-90,-100,-93,-80,-77,-75,-65,-83,-66,-65,-81,-83,-82,-54,-54,-87,-83,-71,-71,-72,-82,-79,-100,-100,-91,-82,-82,-87,-100,-88,-100,-88,-100,-100,-100,-100,-100,-90,-100,-94,-100,-82,-82,-89,-89,-100,-100,-100,-100,-100,-100,-90,-100,-90,-100,-83,-89,-87,-89,-80,-79,-92,-87,-100,-100,-92,-87,-86,-87,-91,-92,-100,-90,-80,-79,-88,-88,-88,-90,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1754675924173
-78,-88,-78,-89,-77,-85,-62,-62,-74,-62,-75,-73,-73,-100,-83,-84,-84,-69,-89,-71,-68,-68,-67,-72,-88,-70,-88,-100,-90,-77,-87,-87,-87,-83,-90,-91,-88,-75,-100,-93,-100,-75,-74,-100,-100,-100,-100,-71,-71,-71,-71,-87,-65,-66,-66,-57,-79,-60,-81,-81,-80,-80,-79,-88,-77,-77,-75,-85,-85,-84,-100,-88,-80,-77,-75,-61,-83,-63,-61,-81,-83,-83,-54,-58,-88,-80,-83,-70,-70,-84,-82,-100,-100,-92,-82,-82,-86,-100,-88,-100,-88,-100,-100,-100,-100,-100,-88,-100,-94,-100,-84,-82,-88,-87,-100,-100,-100,-100,-100,-100,-90,-100,-91,-100,-85,-89,-86,-89,-80,-80,-92,-87,-100,-100,-92,-86,-86,-87,-91,-92,-100,-90,-80,-80,-88,-88,-88,-90,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1758531198078
-78,-88,-76,-89,-75,-85,-57,-58,-77,-56,-78,-77,-78,-100,-83,-84,-84,-74,-85,-73,-67,-67,-65,-75,-88,-73,-88,-100,-90,-76,-87,-85,-87,-82,-90,-93,-88,-79,-100,-93,-100,-79,-78,-100,-100,-100,-100,-71,-70,-71,-71,-87,-66,-66,-66,-55,-79,-68,-81,-79,-78,-78,-80,-88,-76,-76,-76,-85,-87,-88,-100,-88,-80,-77,-75,-63,-80,-65,-63,-81,-81,-82,-55,-55,-88,-83,-70,-70,-72,-84,-82,-100,-100,-89,-82,-82,-87,-100,-88,-100,-94,-100,-100,-100,-100,-100,-88,-100,-94,-100,-81,-81,-88,-87,-100,-100,-100,-100,-100,-100,-88,-100,-91,-100,-80,-89,-86,-89,-81,-81,-92,-87,-100,-100,-92,-85,-86,-87,-91,-92,-100,-90,-81,-81,-88,-88,-88,-90,-94,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,501,1762385900056
-76,-100,-75,-100,-77,-100,-62,-62,-66,-60,-67,-67,-66,-100,-83,-83,-82,-71,-91,-72,-72,-71,-71,-74,-88,-71,-88,-100,-90,-71,-87,-86,-86,-87,-90,-93,-88,-80,-100,-93,-100,-79,-78,-100,-100,-100,-100,-78,-79,-78,-77,-85,-69,-69,-70,-53,-79,-62,-81,-77,-79,-79,-80,-88,-68,-69,-69,-87,-85,-88,-100,-88,-80,-83,-84,-60,-80,-62,-61,-81,-81,-82,-54,-53,-85,-83,-65,-67,-68,-84,-82,-100,-100,-90,-82,-82,-86,-100,-89,-100,-94,-100,-100,-100,-100,-100,-87,-100,-94,-100,-81,-81,-86,-86,-100,-100,-100,-100,-100,-100,-91,-100,-90,-100,-80,-89,-86,-89,-85,-86,-100,-87,-100,-100,-100,-86,-86,-87,-100,-100,-100,-90,-85,-87,-88,-88,-88,-90,-94,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,484,1816207113212
-76,-100,-75,-100,-76,-100,-60,-59,-69,-58,-69,-68,-69,-100,-83,-83,-83,-74,-90,-73,-69,-72,-72,-73,-89,-73,-89,-100,-89,-76,-87,-87,-87,-87,-90,-93,-88,-80,-100,-93,-100,-79,-78,-100,-100,-100,-100,-77,-78,-77,-76,-85,-68,-68,-69,-54,-79,-60,-82,-75,-79,-80,-80,-88,-71,-71,-70,-87,-86,-88,-100,-88,-82,-83,-84,-62,-80,-63,-60,-81,-83,-83,-54,-53,-85,-85,-67,-67,-67,-84,-82,-100,-100,-92,-82,-82,-87,-100,-90,-100,-94,-100,-100,-100,-100,-100,-87,-100,-94,-100,-81,-81,-88,-86,-100,-100,-100,-100,-100,-100,-88,-100,-90,-100,-80,-90,-86,-87,-84,-84,-100,-87,-100,-100,-100,-86,-86,-87,-100,-100,-100,-89,-84,-84,-88,-88,-88,-90,-94,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,484,1820089913054
