20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,44:48:c1:91:d0:10,38:17:c3:19:d7:72,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,66:2a:2f:53:7c:99,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:22:61:90,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,38:17:c3:22:5e:f2,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,38:17:c3:1f:19:f0,20:a6:cd:42:13:f2,b4:5d:50:e1:96:42,38:17:c3:1f:00:a2,b4:5d:50:e1:96:43,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,44:48:c1:91:95:a3,38:17:c3:19:d7:71,38:17:c3:19:36:30,44:48:c1:91:aa:21,38:17:c3:1f:14:01,38:17:c3:1f:1c:10,72:32:b1:3e:1a:b8,38:17:c3:1f:1c:11,80:8d:b7:55:25:e3,38:17:c3:22:61:92,38:17:c3:22:61:91,38:17:c3:1f:19:f1,38:17:c3:1a:cf:d0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,38:17:c3:19:36:31,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:03,38:17:c3:19:36:32,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1e:ff:11,38:17:c3:19:71:90,80:8d:b7:55:39:d0,80:8d:b7:55:29:d0,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:e0,68:ff:7b:e4:af:39,38:17:c3:19:71:92,80:8d:b7:55:39:d1,38:17:c3:19:71:91,ea:9e:b4:53:24:54,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,20:a6:cd:50:24:b0,38:17:c3:19:71:80,80:8d:b7:55:39:c1,80:8d:b7:55:29:d1,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:d2,80:8d:b7:55:39:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:50:24:a2,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,00:4e:35:de:e1:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:12,80:8d:b7:55:4d:10,38:17:c3:1f:22:21,x,y,timestamp
-84,-84,-100,-100,-100,-73,-70,-87,-87,-86,-89,-91,-89,-85,-91,-85,-82,-73,-82,-72,-62,-72,-63,-82,-88,-100,-82,-100,-100,-80,-77,-80,-87,-77,-87,-85,-86,-85,-86,-86,-85,-93,-100,-100,-86,-100,-63,-86,-86,-94,-82,-91,-74,-66,-75,-80,-100,-82,-100,-81,-100,-92,-88,-100,-73,-72,-68,-66,-88,-91,-100,-87,-66,-83,-93,-90,-89,-88,-86,-88,-87,-91,-93,-92,-91,-80,-82,-88,-81,-81,-88,-91,-90,-86,-100,-100,-75,-100,-72,-100,-100,-84,-86,-89,-100,-88,-90,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,642,964644867130
-84,-84,-100,-100,-100,-73,-83,-87,-87,-86,-89,-91,-89,-85,-91,-85,-80,-75,-80,-74,-56,-74,-59,-80,-88,-100,-81,-100,-100,-78,-79,-80,-86,-78,-85,-90,-89,-85,-89,-89,-85,-95,-100,-100,-86,-100,-57,-90,-89,-94,-80,-91,-77,-65,-74,-79,-100,-79,-100,-80,-100,-92,-88,-100,-71,-72,-68,-66,-88,-91,-100,-87,-66,-83,-93,-90,-89,-89,-87,-88,-87,-91,-93,-93,-92,-87,-82,-87,-87,-86,-85,-91,-90,-86,-100,-100,-77,-100,-72,-100,-100,-84,-86,-89,-100,-88,-90,-100,-86,-87,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,642,968419080358
-86,-86,-100,-100,-100,-86,-83,-88,-88,-88,-89,-91,-89,-85,-91,-85,-82,-71,-82,-70,-58,-70,-57,-82,-88,-100,-81,-100,-100,-83,-79,-82,-88,-78,-86,-89,-91,-85,-92,-88,-88,-95,-100,-100,-86,-100,-59,-90,-90,-94,-79,-92,-80,-71,-76,-77,-100,-80,-100,-80,-100,-92,-88,-100,-70,-72,-76,-70,-88,-92,-100,-87,-70,-89,-92,-90,-89,-86,-88,-88,-93,-91,-93,-93,-92,-85,-77,-86,-86,-84,-86,-91,-91,-86,-100,-100,-77,-100,-73,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,642,972219188221
-86,-84,-100,-100,-100,-84,-82,-88,-88,-88,-89,-91,-89,-85,-91,-85,-82,-71,-82,-71,-58,-72,-59,-83,-88,-100,-82,-100,-100,-83,-82,-84,-85,-83,-85,-91,-91,-85,-92,-90,-88,-95,-100,-100,-86,-100,-57,-90,-89,-94,-80,-90,-78,-72,-79,-77,-100,-81,-100,-81,-100,-92,-88,-100,-72,-72,-80,-72,-88,-92,-100,-87,-72,-89,-90,-90,-89,-86,-90,-88,-93,-91,-93,-93,-92,-84,-78,-89,-85,-86,-89,-91,-91,-86,-100,-100,-80,-100,-79,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,642,976055851761
-85,-84,-100,-100,-100,-88,-82,-88,-88,-88,-89,-91,-89,-85,-91,-85,-81,-74,-80,-74,-56,-75,-58,-80,-87,-100,-80,-100,-100,-84,-83,-84,-85,-85,-85,-89,-91,-85,-92,-90,-88,-95,-100,-100,-86,-100,-58,-90,-89,-94,-81,-90,-82,-72,-81,-79,-100,-82,-100,-79,-100,-92,-88,-100,-70,-72,-76,-73,-88,-92,-100,-87,-73,-89,-91,-90,-89,-87,-87,-88,-93,-91,-93,-93,-92,-86,-84,-87,-86,-85,-87,-91,-91,-86,-100,-100,-82,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,642,979731918687
-85,-87,-100,-100,-100,-85,-82,-88,-88,-88,-89,-91,-89,-85,-90,-85,-81,-72,-82,-70,-60,-72,-59,-82,-87,-100,-82,-100,-100,-79,-83,-80,-81,-85,-81,-89,-89,-85,-87,-89,-88,-95,-100,-100,-86,-100,-60,-88,-88,-90,-81,-91,-82,-66,-81,-79,-100,-80,-100,-79,-100,-92,-100,-100,-73,-72,-74,-65,-88,-92,-100,-100,-66,-89,-89,-90,-100,-87,-87,-100,-93,-100,-100,-93,-92,-79,-79,-87,-77,-78,-87,-100,-91,-81,-100,-100,-82,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-90,-91,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1035896005592
-85,-85,-100,-100,-100,-84,-81,-88,-88,-88,-89,-91,-89,-85,-93,-85,-81,-70,-81,-70,-59,-71,-59,-81,-87,-100,-81,-100,-100,-79,-83,-80,-81,-85,-83,-86,-87,-85,-88,-86,-86,-95,-100,-100,-86,-100,-58,-87,-86,-89,-81,-89,-82,-65,-81,-79,-100,-80,-100,-79,-100,-92,-100,-100,-71,-70,-71,-65,-88,-92,-100,-100,-66,-89,-88,-90,-100,-87,-87,-100,-93,-100,-100,-93,-92,-78,-79,-87,-79,-77,-87,-100,-91,-82,-100,-100,-82,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-89,-90,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1039701599237
-85,-85,-100,-100,-100,-84,-81,-88,-88,-87,-89,-91,-89,-100,-90,-100,-80,-72,-82,-71,-61,-73,-60,-83,-87,-100,-81,-100,-100,-82,-82,-82,-81,-82,-82,-89,-88,-85,-88,-86,-87,-95,-100,-100,-86,-100,-60,-88,-89,-89,-80,-91,-77,-64,-80,-79,-100,-80,-100,-81,-100,-92,-100,-100,-73,-70,-79,-65,-88,-92,-100,-100,-64,-89,-89,-90,-100,-87,-91,-100,-88,-100,-100,-93,-92,-77,-80,-89,-77,-78,-87,-100,-91,-82,-100,-100,-78,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-89,-90,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1043528508819
-85,-85,-100,-100,-100,-84,-82,-88,-88,-87,-89,-91,-89,-100,-90,-100,-81,-74,-81,-74,-58,-73,-58,-84,-87,-100,-81,-100,-100,-81,-81,-80,-83,-81,-82,-86,-86,-85,-87,-85,-87,-95,-100,-100,-86,-100,-58,-86,-87,-89,-81,-89,-79,-62,-80,-80,-100,-82,-100,-78,-100,-92,-100,-100,-71,-71,-79,-65,-88,-92,-100,-100,-65,-89,-89,-90,-100,-87,-88,-100,-89,-100,-100,-93,-93,-78,-79,-87,-77,-77,-86,-100,-91,-84,-100,-100,-80,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-90,-91,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1047322427984
-85,-85,-100,-100,-100,-85,-82,-86,-85,-86,-89,-91,-89,-100,-90,-100,-82,-74,-82,-73,-57,-73,-55,-82,-87,-100,-82,-100,-100,-81,-81,-81,-85,-81,-83,-86,-86,-84,-86,-88,-88,-95,-100,-100,-86,-100,-58,-85,-85,-88,-81,-91,-82,-66,-82,-77,-100,-83,-100,-78,-100,-92,-100,-100,-70,-71,-72,-61,-88,-92,-100,-89,-64,-89,-90,-90,-100,-87,-90,-100,-89,-100,-100,-92,-92,-77,-79,-88,-77,-78,-86,-100,-91,-84,-100,-100,-82,-100,-74,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-92,-91,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1051125797982
-87,-86,-100,-100,-100,-84,-84,-86,-85,-86,-89,-91,-89,-100,-90,-91,-81,-71,-82,-71,-61,-70,-60,-83,-89,-100,-81,-100,-100,-79,-80,-79,-85,-80,-83,-87,-85,-84,-91,-88,-88,-95,-100,-100,-86,-100,-60,-86,-86,-88,-81,-89,-81,-66,-81,-80,-100,-81,-100,-81,-100,-92,-90,-100,-70,-72,-69,-66,-88,-92,-100,-89,-68,-89,-89,-88,-100,-87,-90,-100,-88,-100,-100,-92,-95,-75,-85,-88,-76,-75,-86,-100,-91,-84,-100,-100,-83,-100,-71,-100,-100,-84,-86,-89,-100,-88,-89,-100,-86,-87,-92,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,141,642,1054940736523
-87,-86,-100,-100,-100,-84,-88,-86,-85,-86,-91,-100,-100,-100,-90,-91,-89,-75,-88,-75,-56,-74,-55,-83,-89,-100,-90,-100,-100,-86,-86,-86,-89,-87,-88,-87,-85,-84,-95,-88,-88,-95,-100,-100,-86,-100,-55,-86,-91,-85,-83,-85,-81,-64,-76,-79,-100,-83,-100,-83,-100,-100,-90,-100,-75,-76,-74,-64,-100,-91,-100,-89,-62,-89,-83,-84,-100,-84,-83,-100,-88,-100,-100,-92,-95,-78,-79,-84,-77,-91,-84,-100,-91,-84,-100,-100,-76,-100,-71,-100,-100,-84,-86,-89,-100,-88,-89,-100,-88,-87,-91,-91,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1095997591976
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-88,-74,-88,-74,-55,-73,-56,-88,-89,-100,-88,-100,-100,-82,-82,-81,-86,-82,-85,-92,-85,-84,-92,-88,-88,-95,-100,-100,-86,-100,-55,-86,-92,-86,-83,-86,-75,-65,-73,-83,-100,-82,-100,-83,-100,-100,-90,-100,-76,-77,-78,-65,-100,-92,-100,-89,-63,-90,-85,-85,-100,-86,-87,-100,-85,-100,-100,-92,-95,-80,-79,-85,-80,-80,-84,-100,-91,-85,-100,-100,-73,-100,-77,-100,-100,-84,-86,-89,-100,-88,-89,-100,-90,-87,-90,-90,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1099805774110
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-88,-76,-89,-76,-56,-76,-56,-88,-89,-100,-90,-100,-100,-82,-82,-82,-83,-82,-82,-92,-85,-84,-94,-88,-88,-95,-100,-100,-100,-100,-55,-86,-92,-85,-83,-86,-73,-63,-73,-83,-100,-82,-100,-83,-100,-100,-90,-100,-76,-78,-76,-63,-100,-91,-100,-89,-62,-90,-86,-86,-100,-86,-87,-100,-84,-100,-100,-92,-95,-80,-75,-87,-80,-80,-87,-100,-91,-82,-100,-100,-73,-100,-75,-100,-100,-100,-100,-89,-100,-100,-89,-100,-90,-87,-90,-90,-91,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1103599639733
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-90,-76,-88,-75,-55,-75,-54,-90,-89,-100,-89,-100,-100,-82,-82,-82,-82,-82,-83,-91,-85,-84,-94,-88,-88,-95,-100,-100,-100,-100,-55,-86,-91,-87,-83,-87,-73,-61,-72,-83,-100,-82,-100,-84,-100,-100,-90,-100,-76,-75,-75,-60,-100,-91,-100,-89,-62,-90,-87,-86,-100,-88,-90,-100,-85,-100,-100,-92,-95,-80,-81,-88,-79,-78,-89,-100,-91,-82,-100,-100,-73,-100,-75,-100,-100,-100,-100,-89,-100,-100,-89,-100,-90,-87,-90,-90,-91,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1107396894784
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-87,-73,-90,-73,-56,-72,-55,-89,-89,-100,-88,-100,-100,-82,-82,-81,-85,-82,-84,-90,-89,-84,-95,-88,-88,-95,-100,-100,-100,-100,-56,-90,-90,-87,-82,-86,-75,-61,-74,-79,-100,-84,-100,-82,-100,-100,-90,-100,-78,-81,-75,-63,-100,-91,-100,-89,-63,-90,-87,-87,-100,-87,-87,-100,-82,-100,-100,-92,-95,-80,-81,-87,-79,-79,-88,-100,-91,-84,-100,-100,-75,-100,-75,-100,-100,-100,-100,-89,-100,-100,-89,-100,-90,-87,-88,-91,-91,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1111292003480
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-90,-73,-87,-73,-55,-73,-56,-89,-89,-100,-87,-100,-100,-82,-82,-81,-85,-84,-85,-89,-90,-84,-95,-88,-88,-95,-100,-100,-100,-100,-56,-90,-90,-87,-85,-87,-74,-62,-73,-77,-100,-83,-100,-90,-100,-100,-90,-100,-79,-81,-80,-63,-100,-91,-100,-89,-63,-90,-88,-88,-100,-87,-88,-100,-82,-100,-100,-92,-95,-80,-84,-88,-78,-78,-88,-100,-91,-84,-100,-100,-73,-100,-75,-100,-100,-100,-100,-89,-100,-91,-86,-100,-90,-87,-88,-88,-91,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,156,642,1115094669520
-80,-78,-100,-100,-100,-79,-78,-86,-85,-86,-91,-100,-100,-100,-90,-91,-90,-71,-87,-69,-56,-69,-55,-89,-89,-100,-89,-100,-100,-86,-85,-86,-85,-85,-85,-89,-90,-84,-95,-88,-88,-100,-100,-100,-100,-100,-57,-90,-90,-87,-85,-87,-74,-61,-73,-81,-100,-85,-100,-87,-100,-100,-90,-100,-81,-80,-76,-62,-100,-91,-100,-89,-62,-90,-86,-88,-100,-86,-85,-100,-82,-100,-100,-92,-95,-82,-80,-86,-83,-81,-85,-100,-100,-84,-100,-100,-73,-100,-78,-100,-100,-100,-100,-90,-100,-89,-86,-100,-90,-100,-90,-89,-89,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,171,642,1152617250808
-80,-78,-100,-100,-100,-79,-88,-86,-85,-86,-91,-100,-100,-100,-90,-91,-88,-71,-91,-71,-55,-70,-54,-89,-89,-100,-87,-100,-100,-85,-84,-85,-83,-87,-85,-89,-90,-84,-95,-88,-88,-100,-100,-100,-100,-100,-55,-90,-90,-87,-88,-88,-74,-64,-73,-84,-100,-87,-100,-86,-100,-100,-90,-100,-81,-80,-79,-65,-100,-91,-100,-89,-64,-90,-87,-88,-100,-85,-86,-100,-88,-100,-100,-92,-95,-82,-79,-87,-82,-81,-86,-100,-100,-84,-100,-100,-73,-100,-78,-100,-100,-100,-100,-90,-100,-89,-86,-100,-90,-100,-86,-87,-88,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,171,642,1156410266328
